INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidos y comunidades segun cuenten con sociedades de produccion rural, tipo de participantes",,,,,,,cuadro 34
y finalidad de las sociedades por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,con_sociedades_de_produccion_rural_total,con_sociedades_de_produccion_rural_ejidatarios_participantes,con_sociedades_de_produccion_rural_mujeres,con_participantes_no_ejidatarios_,solo_para_actividades_agropecuarias_o_forestales,sin_sociedades_de_produccion_rural
Tzimol,18,0,0,0,0,0,18
Union Juarez,12,1,25,0,1,1,11
Venustiano Carranza,41,4,107,22,3,3,37
Villa Corzo,71,10,596,48,6,10,61
Villaflores,67,17,800,133,10,15,50
Yajalon,8,1,15,0,0,1,7
San Lucas,C,C,0,0,0,0,C
Zinacantan,6,0,0,0,0,0,6
San Juan Cancuc,C,C,0,0,0,0,C
Aldama,C,C,0,0,0,0,C
Benemerito de las Americas,14,1,25,10,0,1,13
Maravilla Tenejapa,33,0,0,0,0,0,33
Marques de Comillas,23,5,255,74,3,4,18
Montecristo de Guerrero,5,1,66,3,0,1,4
San Andres Duraznal,5,0,0,0,0,0,5
Santiago el Pinar,C,C,0,0,0,0,C
Chihuahua,987,23,1391,227,6,13,964
Ahumada,24,4,90,5,1,3,20
Aldama,24,0,0,0,0,0,24
Allende,21,0,0,0,0,0,21
Aquiles Serdan,C,C,0,0,0,0,C
Ascension,21,1,50,5,0,0,20
Bachiniva,11,0,0,0,0,0,11
Balleza,20,0,0,0,0,0,20
Batopilas,12,0,0,0,0,0,12
Bocoyna,26,1,16,0,0,0,25
Buenaventura,9,0,0,0,0,0,9
Camargo,24,0,0,0,0,0,24
Carichi,23,0,0,0,0,0,23
Casas Grandes,13,1,20,0,1,1,12
Coronado,6,1,20,0,1,0,5
Coyame del Sotol,12,1,15,3,0,0,11
La Cruz,5,0,0,0,0,0,5
Cuauhtemoc,26,0,0,0,0,0,26
Cusihuiriachi,21,1,14,0,1,0,20
Chihuahua,47,0,0,0,0,0,47
Chinipas,16,0,0,0,0,0,16
Delicias,4,0,0,0,0,0,4
Dr. Belisario Dominguez,9,0,0,0,0,0,9
Galeana,4,0,0,0,0,0,4
Santa Isabel,8,0,0,0,0,0,8
Gomez Farias,7,1,30,3,0,1,6
Gran Morelos,10,0,0,0,0,0,10
Guachochi,26,1,240,5,1,1,25
Guadalupe,7,0,0,0,0,0,7
Guadalupe y Calvo,45,0,0,0,0,0,45
Guazapares,11,0,0,0,0,0,11
Guerrero,50,0,0,0,0,0,50
Hidalgo del Parral,12,0,0,0,0,0,12
Huejotitan,8,0,0,0,0,0,8
Ignacio Zaragoza,4,0,0,0,0,0,4
Janos,14,0,0,0,0,0,14
Jimenez,53,2,20,6,0,2,51
Juarez,10,2,17,6,0,1,8
Julimes,6,0,0,0,0,0,6
Lopez,12,1,42,4,0,1,11
Madera,20,1,444,170,0,1,19
Maguarichi,5,0,0,0,0,0,5
Manuel Benavides,14,0,0,0,0,0,14
Matachi,5,0,0,0,0,0,5
Matamoros,8,0,0,0,0,0,8
Meoqui,4,0,0,0,0,0,4
Morelos,17,0,0,0,0,0,17
Moris,10,1,50,0,0,1,9
Namiquipa,12,2,160,20,1,1,10
Nonoava,C,C,0,0,0,0,C
Nuevo Casas Grandes,C,C,0,0,0,0,C
Ocampo,17,0,0,0,0,0,17
Ojinaga,33,0,0,0,0,0,33
Praxedis G. Guerrero,5,1,140,0,0,0,4
Riva Palacio,9,0,0,0,0,0,9
Rosales,11,0,0,0,0,0,11
Rosario,7,0,0,0,0,0,7
San Francisco de Borja,9,0,0,0,0,0,9
San Francisco de Conchos,7,0,0,0,0,0,7
San Francisco del Oro,4,0,0,0,0,0,4
Santa Barbara,9,0,0,0,0,0,9
Satevo,20,0,0,0,0,0,20
Saucillo,13,1,23,0,0,0,12
Temosachi,13,0,0,0,0,0,13
El Tule,4,0,0,0,0,0,4
Urique,29,0,0,0,0,0,29
Uruachi,19,0,0,0,0,0,19
Valle de Zaragoza,15,0,0,0,0,0,15
Distrito Federal,37,7,735,104,4,5,30
Cuajimalpa de Morelos,C,C,0,0,0,0,C
La Magdalena Contreras,3,1,6,5,1,1,2
Milpa Alta,8,0,0,0,0,0,8
alvaro Obregon,C,C,0,0,0,0,C
Tlahuac,7,3,330,50,2,2,4
Tlalpan,10,2,250,43,1,1,8
Xochimilco,4,1,149,6,0,1,3
Durango,1124,65,3215,546,28,50,1059
Canatlan,40,4,320,36,1,3,36
Canelas,C,C,0,0,0,0,C
Coneto de Comonfort,8,0,0,0,0,0,8
Cuencame,28,5,519,88,3,3,23
Durango,122,6,151,54,2,6,116
General Simon Bolivar,21,0,0,0,0,0,21
Gomez Palacio,98,2,50,12,1,1,96
Guadalupe Victoria,10,3,230,34,1,2,7
Guanacevi,40,0,0,0,0,0,40
Hidalgo,18,0,0,0,0,0,18
Inde,12,0,0,0,0,0,12
Lerdo,31,4,62,6,4,3,27
Mapimi,78,2,200,24,1,1,76
Mezquital,22,1,100,40,0,1,21
Nazas,24,2,46,7,1,0,22
Nombre de Dios,19,5,325,79,1,5,14
Ocampo,24,0,0,0,0,0,24
El Oro,25,0,0,0,0,0,25
Otaez,14,0,0,0,0,0,14
Panuco de Coronado,17,1,191,25,1,1,16
Peñon Blanco,5,1,25,3,1,1,4
Poanas,20,6,371,39,3,5,14
Pueblo Nuevo,24,1,44,15,0,1,23
Rodeo,29,5,162,14,2,2,24
San Bernardo,24,0,0,0,0,0,24
San Dimas,49,3,72,17,1,3,46
San Juan de Guadalupe,21,0,0,0,0,0,21
San Juan del Rio,22,1,8,0,0,1,21
San Luis del Cordero,C,C,0,0,0,0,C
San Pedro del Gallo,11,0,0,0,0,0,11
Santa Clara,6,0,0,0,0,0,6
Santiago Papasquiaro,62,2,23,6,1,2,60
Suchil,10,1,17,7,1,1,9
Tamazula,49,0,0,0,0,0,49
Tepehuanes,26,0,0,0,0,0,26
Tlahualilo,57,3,90,15,2,1,54
Topia,15,1,5,0,0,1,14
Vicente Guerrero,9,0,0,0,0,0,9
Nuevo Ideal,29,6,204,25,1,6,23
Guanajuato,1543,35,1847,439,14,28,1508
Abasolo,47,1,12,0,0,0,46
Acambaro,69,1,136,20,0,1,68
San Miguel de Allende,61,0,0,0,0,0,61
Apaseo el Alto,28,0,0,0,0,0,28
Apaseo el Grande,39,1,7,0,1,1,38
Atarjea,12,0,0,0,0,0,12
Celaya,40,0,0,0,0,0,40
Manuel Doblado,33,0,0,0,0,0,33
Comonfort,32,1,40,7,0,0,31
Coroneo,C,C,0,0,0,0,C
Cortazar,23,2,42,4,0,1,21
Cueramaro,15,1,6,1,0,1,14
Doctor Mora,5,0,0,0,0,0,5
Dolores Hidalgo Cuna de la Independencia Nal.,60,2,50,4,0,2,58
Guanajuato,29,1,34,0,1,1,28
Huanimaro,20,0,0,0,0,0,20
Irapuato,80,1,18,0,0,1,79
Jaral del Progreso,15,2,73,22,2,1,13
Jerecuaro,42,0,0,0,0,0,42
Leon,50,1,5,2,1,1,49
Moroleon,8,0,0,0,0,0,8
Ocampo,16,4,83,19,3,3,12
Penjamo,151,2,70,5,1,2,149
Pueblo Nuevo,6,0,0,0,0,0,6
Purisima del Rincon,11,0,0,0,0,0,11
Romita,47,0,0,0,0,0,47
Salamanca,54,0,0,0,0,0,54
Salvatierra,58,1,9,0,1,1,57
San Diego de la Union,34,2,106,14,0,2,32
San Felipe,81,4,711,207,0,3,77
San Francisco del Rincon,26,1,30,0,0,1,25
San Jose Iturbide,3,1,24,4,0,0,2
San Luis de la Paz,24,2,170,110,2,2,22
Santa Catarina,C,C,0,0,0,0,C
Santa Cruz de Juventino Rosas,26,0,0,0,0,0,26
Santiago Maravatio,9,0,0,0,0,0,9
Silao,64,0,0,0,0,0,64
Tarandacuao,3,0,0,0,0,0,3
Tarimoro,14,0,0,0,0,0,14
Tierra Blanca,3,0,0,0,0,0,3
Uriangato,9,1,14,1,0,1,8
Valle de Santiago,98,1,60,5,1,1,97
Victoria,15,0,0,0,0,0,15
Villagran,11,1,137,14,0,1,10
Xichu,14,0,0,0,0,0,14
Yuriria,53,1,10,0,1,1,52
Guerrero,1259,53,4198,1054,32,45,1206
Acapulco de Juarez,45,2,27,2,0,2,43
Ahuacuotzingo,28,0,0,0,0,0,28
Ajuchitlan del Progreso,39,1,54,1,1,1,38
Alcozauca de Guerrero,14,1,401,44,0,1,13
Alpoyeca,5,0,0,0,0,0,5
Apaxtla,4,0,0,0,0,0,4
Arcelia,23,2,26,9,1,2,21
Atenango del Rio,14,0,0,0,0,0,14
Atlamajalcingo del Monte,7,0,0,0,0,0,7
Atlixtac,5,0,0,0,0,0,5
Atoyac de alvarez,36,3,41,12,0,2,33
Ayutla de los Libres,28,2,895,541,2,2,26
Azoyu,11,2,48,2,2,1,9
Benito Juarez,6,0,0,0,0,0,6
Buenavista de Cuellar,7,0,0,0,0,0,7
Coahuayutla de Jose Maria Izazaga,35,2,16,2,1,2,33
Cocula,16,0,0,0,0,0,16
Copala,6,0,0,0,0,0,6
Copalillo,9,0,0,0,0,0,9
Copanatoyac,8,0,0,0,0,0,8
Coyuca de Benitez,32,7,370,83,6,7,25
Coyuca de Catalan,56,2,67,15,1,2,54
Cuajinicuilapa,11,1,25,12,1,1,10
Cualac,C,C,0,0,0,0,C
Cuautepec,5,0,0,0,0,0,5
Cuetzala del Progreso,12,1,35,10,0,0,11
Cutzamala de Pinzon,33,0,0,0,0,0,33
Chilapa de alvarez,45,0,0,0,0,0,45
Chilpancingo de los Bravo,31,0,0,0,0,0,31
Florencio Villarreal,C,C,0,0,0,0,C
General Canuto A. Neri,5,0,0,0,0,0,5
General Heliodoro Castillo,7,0,0,0,0,0,7
Huamuxtitlan,8,0,0,0,0,0,8
Huitzuco de los Figueroa,21,2,129,28,1,1,19
Iguala de la Independencia,15,3,118,16,2,2,12
Igualapa,7,0,0,0,0,0,7
Ixcateopan de Cuauhtemoc,C,C,0,0,0,0,C
Jose Azueta,18,1,20,1,1,1,17
Juan R. Escudero,11,1,30,0,1,1,10
Leonardo Bravo,16,0,0,0,0,0,16
Malinaltepec,9,0,0,0,0,0,9
Martir de Cuilapan,11,0,0,0,0,0,11
Metlatonoc,9,0,0,0,0,0,9
Mochitlan,26,0,0,0,0,0,26
Olinala ,7,1,16,8,1,1,6
Ometepec,26,2,42,2,1,2,24
Petatlan,27,1,110,30,1,1,26
Pilcaya,6,0,0,0,0,0,6
Pungarabato,10,0,0,0,0,0,10
Quechultenango,26,0,0,0,0,0,26
San Luis Acatlan,23,1,800,0,0,1,22
San Marcos,33,5,389,63,2,4,28
San Miguel Totolapan,8,0,0,0,0,0,8
Taxco de Alarcon,23,0,0,0,0,0,23
Tecoanapa,39,0,0,0,0,0,39
Tecpan de Galeana,25,3,69,10,2,3,22
Teloloapan,27,1,198,36,0,0,26
Tepecoacuilco de Trujano,25,1,10,4,1,1,24
Tetipac,5,0,0,0,0,0,5
Tixtla de Guerrero,10,0,0,0,0,0,10
Tlacoachistlahuaca,15,0,0,0,0,0,15
Tlacoapa,C,C,0,0,0,0,C
Tlalchapa,16,0,0,0,0,0,16
Tlalixtaquilla de Maldonado,5,0,0,0,0,0,5
Tlapa de Comonfort,30,1,15,1,1,0,29
Tlapehuala,12,0,0,0,0,0,12
La Union de Isidoro Montes de Oca,31,1,17,2,1,1,30
Xalpatlahuac,8,0,0,0,0,0,8
Xochihuehuetlan,7,0,0,0,0,0,7
Xochistlahuaca,7,0,0,0,0,0,7
Zapotitlan Tablas,C,C,0,0,0,0,C
Zirandaro,28,0,0,0,0,0,28
Zitlala,11,0,0,0,0,0,11
Eduardo Neri,16,1,10,0,1,1,15
Acatepec,C,C,200,120,0,1,C
Marquelia,3,1,20,0,1,1,2
Cochoapa el Grande,C,C,0,0,0,0,C
Jose Joaquin de Herrera,C,C,0,0,0,0,C
Juchitan,C,C,0,0,0,0,C
Iliatenco,4,0,0,0,0,0,4
Hidalgo,1189,48,2756,455,20,33,1141
Acatlan,17,2,228,21,1,1,15
Acaxochitlan,13,0,0,0,0,0,13
Actopan,11,0,0,0,0,0,11
Agua Blanca de Iturbide,10,0,0,0,0,0,10
Ajacuba,8,2,136,22,0,1,6
Alfajayucan,28,0,0,0,0,0,28
Almoloya,13,5,167,32,4,5,8
Apan,15,3,65,0,2,2,12
El Arenal,8,1,40,20,0,1,7
Atitalaquia,5,0,0,0,0,0,5
Atlapexco,9,1,10,0,1,1,8
Atotonilco el Grande,24,2,136,68,2,2,22
Atotonilco de Tula,7,0,0,0,0,0,7
Calnali,C,C,0,0,0,0,C
Cardonal,20,1,98,2,0,1,19
Cuautepec de Hinojosa,24,0,0,0,0,0,24
Chapantongo,14,0,0,0,0,0,14
Chapulhuacan,22,0,0,0,0,0,22
Chilcuautla,6,0,0,0,0,0,6
Eloxochitlan,8,0,0,0,0,0,8
Emiliano Zapata,4,1,348,93,1,1,3
Epazoyucan,12,0,0,0,0,0,12
Francisco I. Madero,C,C,0,0,0,0,C
Huasca de Ocampo,27,0,0,0,0,0,27
Huautla,42,0,0,0,0,0,42
Huazalingo,12,0,0,0,0,0,12
Huehuetla,6,0,0,0,0,0,6
Huejutla de Reyes,47,1,17,7,0,0,46
Huichapan,35,2,40,5,0,2,33
Ixmiquilpan,24,0,0,0,0,0,24
Jacala de Ledezma,13,0,0,0,0,0,13
Jaltocan,16,0,0,0,0,0,16
Juarez Hidalgo,4,0,0,0,0,0,4
Lolotla,10,0,0,0,0,0,10
Metepec,11,1,30,2,0,1,10
San Agustin Metzquititlan,7,0,0,0,0,0,7
Metztitlan,27,0,0,0,0,0,27
Mineral del Chico,6,0,0,0,0,0,6
Mineral del Monte,C,C,0,0,0,0,C
Mixquiahuala de Juarez,7,2,457,4,1,2,5
Molango de Escamilla,13,0,0,0,0,0,13
Nicolas Flores,4,0,0,0,0,0,4
Nopala de Villagran,9,0,0,0,0,0,9
Omitlan de Juarez,4,1,50,25,0,0,3
San Felipe Orizatlan,80,2,35,2,0,0,78
Pacula,C,C,0,0,0,0,C
Pachuca de Soto,7,0,0,0,0,0,7
Pisaflores,6,0,0,0,0,0,6
Progreso de Obregon,C,C,0,0,0,0,C
Mineral de la Reforma,7,0,0,0,0,0,7
San Agustin Tlaxiaca,10,1,62,10,1,1,9
San Bartolo Tutotepec,7,0,0,0,0,0,7
San Salvador,18,1,8,8,0,1,17
Santiago de Anaya,13,4,330,48,1,2,9
Santiago Tulantepec de Lugo Guerrero,6,0,0,0,0,0,6
Singuilucan,15,0,0,0,0,0,15
Tasquillo,17,1,52,25,0,0,16
Tecozautla,32,0,0,0,0,0,32
Tenango de Doria,5,0,0,0,0,0,5
Tepeapulco,9,2,14,3,2,0,7
Tepehuacan de Guerrero,31,1,16,0,0,1,30
Tepeji del Rio de Ocampo,16,0,0,0,0,0,16
Tepetitlan,12,3,63,4,2,3,9
Tetepango,C,C,12,0,0,1,C
Villa de Tezontepec,C,C,0,0,0,0,C
Tezontepec de Aldama,5,0,0,0,0,0,5
Tianguistengo,24,0,0,0,0,0,24
Tizayuca,3,0,0,0,0,0,3
Tlahuelilpan,C,C,0,0,0,0,C
Tlahuiltepa,15,0,0,0,0,0,15
Tlanalapa,3,0,0,0,0,0,3
Tlanchinol,34,0,0,0,0,0,34
Tlaxcoapan,4,0,0,0,0,0,4
Tolcayuca,3,0,0,0,0,0,3
Tula de Allende,25,3,54,8,2,2,22
Tulancingo de Bravo,14,1,113,28,0,1,13
Xochiatipan,25,0,0,0,0,0,25
Xochicoatlan,15,0,0,0,0,0,15
Yahualica,20,0,0,0,0,0,20
Zacualtipan de angeles,19,2,84,18,0,1,17
Zapotlan de Juarez,3,1,91,0,0,0,2
Zempoala,24,0,0,0,0,0,24
Zimapan,46,0,0,0,0,0,46
Jalisco,1429,67,2629,469,29,50,1362
Acatic,C,C,0,0,0,0,C
Acatlan de Juarez,7,0,0,0,0,0,7
Ahualulco de Mercado,8,2,486,115,0,0,6
Amacueca,C,C,0,0,0,0,C
Amatitan,5,0,0,0,0,0,5
Ameca,44,3,112,6,0,2,41
San Juanito de Escobedo,5,1,15,3,0,0,4
Arandas,C,C,0,0,0,0,C
El Arenal,C,C,0,0,0,0,C
Atemajac de Brizuela,9,0,0,0,0,0,9
Atengo,12,0,0,0,0,0,12
Atenguillo,5,0,0,0,0,0,5
Atotonilco el Alto,19,0,0,0,0,0,19
Atoyac,11,0,0,0,0,0,11
Autlan de Navarro,27,0,0,0,0,0,27
Ayotlan,15,1,8,0,0,0,14
Ayutla,27,0,0,0,0,0,27
La Barca,28,4,80,7,2,4,24
Bolaños,C,C,0,0,0,0,C
Cabo Corrientes,20,2,125,20,1,2,18
Casimiro Castillo,16,1,10,0,0,1,15
Cihuatlan,15,1,20,0,1,1,14
Zapotlan el Grande,5,1,30,5,0,1,4
Cocula,19,1,10,0,0,1,18
Colotlan,7,0,0,0,0,0,7
Concepcion de Buenos Aires,11,0,0,0,0,0,11
Cuautitlan de Garcia Barragan,12,2,120,53,2,2,10
Cuautla,4,0,0,0,0,0,4
Cuquio,13,0,0,0,0,0,13
Chapala,6,0,0,0,0,0,6
Chimaltitan,C,C,0,0,0,0,C
Chiquilistlan,6,0,0,0,0,0,6
Degollado,23,2,30,0,2,2,21
Ejutla,3,0,0,0,0,0,3
Encarnacion de Diaz,12,0,0,0,0,0,12
Etzatlan,10,1,6,0,0,1,9
El Grullo,8,0,0,0,0,0,8
