INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades segun tipo de organizacion o asociacion,,,,,,,,,,cuadro 32
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_total, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_asociacion_rural_de_interes_colectivo, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_union_de_ejidos_y_comunidades_agrarias, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_grupos_para_la_produccion, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_produccion_rural, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_solidaridad_social, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_mercantiles, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_otras_formas_de_asociacion,sin_formas_de_organizacion_o_asociacion
Escuintla,35,15,3,10,7,2,0,0,0,20
Francisco Leon,6,2,0,1,0,0,0,0,1,4
Frontera Comalapa,38,12,3,5,5,4,2,0,0,26
Frontera Hidalgo,C,C,0,0,0,0,0,0,1,C
La Grandeza,3,0,0,0,0,0,0,0,0,3
Huehuetan,19,2,0,1,0,0,1,0,0,17
Huixtan,19,0,0,0,0,0,0,0,0,19
Huitiupan,50,7,0,1,2,3,1,0,0,43
Huixtla,20,18,2,12,7,6,2,1,4,2
La Independencia,32,19,2,8,6,7,6,0,6,13
Ixhuatan,6,1,0,1,1,0,1,0,0,5
Ixtacomitan,12,2,0,1,0,0,0,0,1,10
Ixtapa,32,9,0,1,7,2,1,0,1,23
Ixtapangajoya,4,1,0,0,1,0,0,0,1,3
Jiquipilas,64,14,2,7,10,2,1,0,0,50
Jitotol,22,3,0,2,0,0,1,0,0,19
Juarez,6,3,1,0,2,0,0,0,1,3
Larrainzar,3,0,0,0,0,0,0,0,0,3
La Libertad,4,1,0,1,0,0,0,0,0,3
Mapastepec,56,23,1,1,1,14,12,0,4,33
Las Margaritas,145,75,2,62,10,2,31,0,2,70
Mazapa de Madero,4,2,0,1,0,1,0,0,0,2
Mazatan,18,6,0,6,0,0,0,0,0,12
Metapa,C,C,0,1,0,0,0,0,0,C
Mitontic,C,C,0,1,0,0,0,0,0,C
Motozintla,43,17,6,11,7,0,2,0,0,26
Ocosingo,159,100,52,46,9,4,7,3,8,59
Ocotepec,C,C,0,0,0,0,0,0,0,C
Ocozocoautla de Espinosa,74,40,28,30,5,1,0,0,1,34
Ostuacan,29,4,0,1,0,3,1,0,0,25
Osumacinta,3,0,0,0,0,0,0,0,0,3
Oxchuc,3,0,0,0,0,0,0,0,0,3
Palenque,163,25,1,14,5,1,7,1,3,138
Pantelho,9,0,0,0,0,0,0,0,0,9
Pantepec,6,2,0,0,1,0,2,0,1,4
Pichucalco,9,0,0,0,0,0,0,0,0,9
Pijijiapan,70,58,4,54,3,3,1,0,1,12
El Porvenir,5,1,0,0,1,0,0,0,0,4
Villa Comaltitlan,19,5,0,1,1,2,1,0,0,14
Pueblo Nuevo Solistahuacan,21,2,0,2,0,0,0,0,0,19
Rayon,4,0,0,0,0,0,0,0,0,4
Reforma,7,2,0,2,0,0,0,0,0,5
Las Rosas,17,0,0,0,0,0,0,0,0,17
Sabanilla,19,7,0,7,1,1,0,0,0,12
Salto de Agua,86,34,0,31,3,1,1,0,3,52
San Cristobal de las Casas,16,1,0,0,0,0,1,0,0,15
San Fernando,18,7,2,4,5,0,2,0,1,11
Siltepec,18,1,1,0,0,0,0,0,0,17
Simojovel,53,3,0,1,2,1,0,0,0,50
Sitala,7,0,0,0,0,0,0,0,0,7
Socoltenango,33,4,0,0,1,0,0,0,3,29
Solosuchiapa,11,3,0,1,1,1,0,0,1,8
Soyalo,4,0,0,0,0,0,0,0,0,4
Suchiapa,9,2,0,0,2,1,1,0,1,7
Suchiate,17,5,0,3,0,0,1,0,1,12
Sunuapa,C,C,0,0,0,0,0,0,0,C
Tapachula,52,20,3,15,5,1,3,1,1,32
Tapalapa,C,C,0,0,1,0,0,0,0,C
Tapilula,4,0,0,0,0,0,0,0,0,4
Tecpatan,59,32,11,27,4,6,2,0,1,27
Tenejapa,7,2,0,1,2,1,0,0,0,5
Teopisca,16,2,1,1,1,0,0,0,0,14
Tila,29,5,1,0,3,0,0,0,1,24
Tonala,54,36,0,33,8,2,1,8,1,18
Totolapa,8,0,0,0,0,0,0,0,0,8
La Trinitaria,85,37,3,8,15,12,5,0,6,48
