INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades segun tipo de organizacion o asociacion,,,,,,,,,,cuadro 32
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_total, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_asociacion_rural_de_interes_colectivo, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_union_de_ejidos_y_comunidades_agrarias, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_grupos_para_la_produccion, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_produccion_rural, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_solidaridad_social, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_mercantiles, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_otras_formas_de_asociacion,sin_formas_de_organizacion_o_asociacion
Tingüindin,7,6,0,6,0,0,0,0,0,1
Tiquicheo de Nicolas Romero,18,1,0,1,1,0,0,0,0,17
Tlalpujahua,11,4,0,1,0,0,3,1,1,7
Tlazazalca,10,0,0,0,0,0,0,0,0,10
Tocumbo,9,1,0,1,0,0,0,0,0,8
Tumbiscatio,12,3,0,2,1,1,0,0,1,9
Turicato,21,0,0,0,0,0,0,0,0,21
Tuxpan,16,1,1,0,0,0,0,0,0,15
Tuzantla,28,5,1,1,3,0,0,0,0,23
Tzintzuntzan,8,1,0,1,0,0,0,0,0,7
Tzitzio,4,2,0,1,0,0,1,0,0,2
Uruapan,31,13,9,4,6,2,1,0,1,18
Venustiano Carranza,8,1,0,0,1,0,0,0,0,7
Villamar,20,3,0,1,0,1,1,0,0,17
Vista Hermosa,6,0,0,0,0,0,0,0,0,6
Yurecuaro,13,0,0,0,0,0,0,0,0,13
Zacapu,24,6,0,6,1,0,0,0,0,18
Zamora,26,4,1,1,1,0,2,0,0,22
Zinaparo,7,3,0,3,1,0,0,0,0,4
Zinapecuaro,31,7,0,1,3,4,1,0,0,24
Ziracuaretiro,10,4,1,2,2,3,1,0,0,6
Zitacuaro,31,11,3,7,4,3,0,0,1,20
Jose Sixto Verduzco,18,4,0,2,0,2,0,0,0,14
Morelos,234,111,9,60,42,38,4,2,3,123
Amacuzac,4,0,0,0,0,0,0,0,0,4
Atlatlahucan,C,C,0,0,1,0,0,0,0,C
Axochiapan,7,4,0,3,2,0,1,0,0,3
Ayala,16,15,5,13,2,4,0,0,0,1
Coatlan del Rio,5,4,0,0,4,1,0,0,0,1
Cuautla,9,5,0,3,1,3,0,0,0,4
Cuernavaca,11,5,1,2,2,2,0,0,1,6
Emiliano Zapata,6,1,0,1,0,0,0,0,0,5
Huitzilac,C,C,0,0,1,1,0,0,0,C
Jantetelco,7,5,0,3,0,2,0,0,1,2
Jiutepec,7,2,0,2,0,0,0,0,0,5
Jojutla,9,3,1,1,0,2,0,0,0,6
Jonacatepec,4,4,0,3,1,2,0,0,0,0
Mazatepec,C,C,0,0,1,1,0,0,0,C
Miacatlan,6,3,0,0,3,2,1,0,0,3
Ocuituco,9,1,0,0,1,0,1,0,0,8
Puente de Ixtla,9,3,0,1,2,1,0,0,0,6
Temixco,8,3,0,2,1,2,0,0,0,5
Tepalcingo,10,9,0,9,3,3,1,1,0,1
Tepoztlan,C,C,0,1,1,2,0,0,0,C
Tetecala,3,3,0,0,2,2,0,0,0,0
Tetela del Volcan,7,3,1,0,2,0,0,0,0,4
Tlalnepantla,3,1,0,0,1,0,0,0,0,2
Tlaltizapan,17,12,1,12,1,0,0,1,0,5
Tlaquiltenango,19,2,0,0,1,1,0,0,1,17
Tlayacapan,7,3,0,0,3,0,0,0,0,4
Totolapan,6,1,0,0,1,1,0,0,0,5
Xochitepec,6,1,0,0,1,1,0,0,0,5
Yautepec,10,4,0,0,2,2,0,0,0,6
Yecapixtla,11,3,0,0,1,2,0,0,0,8
Zacatepec de Hidalgo,3,0,0,0,0,0,0,0,0,3
Zacualpan de Amilpas,C,C,0,2,1,0,0,0,0,C
Temoac,4,3,0,2,0,1,0,0,0,1
Nayarit,404,283,60,174,90,104,26,4,17,121
Acaponeta,24,19,6,15,5,11,1,0,5,5
Ahuacatlan,8,3,1,2,1,0,0,0,0,5
Amatlan de Cañas,17,17,0,16,2,0,0,0,0,0
Compostela,31,24,7,23,16,3,6,0,0,7
Huajicori,10,6,0,3,2,0,3,0,0,4
Ixtlan del Rio,10,0,0,0,0,0,0,0,0,10
Jala,10,5,0,1,3,2,1,0,0,5
Xalisco,16,16,0,7,9,6,0,1,0,0
Del Nayar,24,18,0,13,6,1,0,0,3,6
Rosamorada,32,11,3,3,2,8,0,1,2,21
Ruiz,7,5,1,3,3,1,1,1,1,2
San Blas,33,27,4,3,5,22,3,0,1,6
San Pedro Lagunillas,9,5,0,5,0,0,0,0,0,4
Santa Maria del Oro,17,15,1,13,6,4,1,0,0,2
Santiago Ixcuintla,58,49,29,27,15,22,9,1,2,9
Tecuala,25,21,3,18,4,4,0,0,0,4
Tepic,51,27,2,9,7,15,1,0,3,24
Tuxpan,6,5,2,4,2,4,0,0,0,1
La Yesca,4,4,1,3,0,0,0,0,0,0
Bahia de Banderas,12,6,0,6,2,1,0,0,0,6
Nuevo Leon,607,128,17,68,47,9,2,1,7,479
Abasolo,C,C,0,0,0,0,0,0,0,C
Agualeguas,6,0,0,0,0,0,0,0,0,6
Los Aldamas,C,C,0,0,0,0,0,0,0,C
Allende,C,C,0,0,0,0,0,0,0,C
Anahuac,13,1,1,1,0,0,0,0,0,12
Apodaca,C,C,0,0,0,0,0,0,0,C
Aramberri,43,11,0,6,4,3,0,0,0,32
Bustamante,C,C,0,1,1,0,0,0,0,C
Cadereyta Jimenez,32,6,1,0,4,1,0,0,1,26
Carmen,C,C,0,1,0,0,0,0,0,C
Cerralvo,C,C,0,0,0,0,0,0,0,C
Cienega de Flores,C,C,0,0,0,0,0,0,0,C
China,4,2,0,0,2,0,0,0,0,2
Dr. Arroyo,106,14,0,0,12,0,0,0,2,92
Dr. Gonzalez,3,0,0,0,0,0,0,0,0,3
Galeana,110,33,5,20,15,1,1,0,1,77
Garcia,11,1,0,0,1,0,0,0,0,10
Gral. Bravo,C,C,0,0,0,0,0,0,0,C
Gral. Escobedo,C,C,0,0,0,0,0,0,0,C
Gral. Teran,16,14,0,13,0,1,0,0,0,2
Gral. Zaragoza,15,7,0,7,0,0,0,0,1,8
Gral. Zuazua,C,C,0,0,0,0,0,0,0,C
Guadalupe,C,C,0,0,0,0,0,0,0,C
Hualahuises,5,0,0,0,0,0,0,0,0,5
Iturbide,12,5,1,2,3,2,0,0,1,7
Juarez,4,0,0,0,0,0,0,0,0,4
Lampazos de Naranjo,7,0,0,0,0,0,0,0,0,7
Linares,68,15,7,5,2,0,0,0,1,53
Marin,C,C,0,0,0,0,0,0,0,C
Mier y Noriega,14,1,0,0,1,0,0,0,0,13
Mina,23,4,2,3,0,1,0,0,0,19
Montemorelos,26,4,0,2,1,0,1,1,0,22
Monterrey,C,C,0,0,0,0,0,0,0,C
Paras,3,3,0,3,0,0,0,0,0,0
Pesqueria,8,0,0,0,0,0,0,0,0,8
Los Ramones,4,0,0,0,0,0,0,0,0,4
Rayones,8,0,0,0,0,0,0,0,0,8
Sabinas Hidalgo,9,0,0,0,0,0,0,0,0,9
Salinas Victoria,7,0,0,0,0,0,0,0,0,7
Hidalgo,C,C,0,1,0,0,0,0,0,C
Santa Catarina,5,0,0,0,0,0,0,0,0,5
Santiago,9,3,0,3,0,0,0,0,0,6
Vallecillo,11,1,0,0,1,0,0,0,0,10
Villaldama,5,0,0,0,0,0,0,0,0,5
Oaxaca,1632,608,71,263,272,126,74,19,87,1024
Abejones,C,C,0,0,0,0,0,0,0,C
Acatlan de Perez Figueroa,38,20,1,6,17,2,0,1,2,18
Asuncion Cacalotepec,C,C,0,0,0,0,0,0,0,C
Asuncion Cuyotepeji,C,C,0,0,0,0,0,0,0,C
Asuncion Ixtaltepec,11,2,0,1,0,0,1,0,0,9
Asuncion Nochixtlan,11,4,1,1,2,0,2,0,0,7
Asuncion Tlacolulita,C,C,0,2,0,0,0,0,0,C
Ayotzintepec,6,3,0,1,0,1,0,0,2,3
El Barrio de la Soledad,C,C,0,0,0,0,0,0,0,C
Calihuala,4,0,0,0,0,0,0,0,0,4
Candelaria Loxicha,C,C,0,0,1,0,0,0,0,C
Cienega de Zimatlan,C,C,0,0,0,0,0,0,0,C
Ciudad Ixtepec,C,C,0,1,1,1,0,0,0,C
Coatecas Altas,C,C,0,0,0,0,0,0,0,C
Coicoyan de las Flores,C,C,0,0,0,0,0,0,0,C
La Compañia,C,C,0,0,1,1,0,0,0,C
Concepcion Buenavista,4,1,0,0,1,0,0,0,0,3
Concepcion Papalo,C,C,0,1,0,0,0,0,0,C
Constancia del Rosario,C,C,0,0,0,0,0,0,0,C
Cosolapa,8,1,0,0,1,0,0,0,0,7
Cosoltepec,3,2,0,2,1,1,0,0,0,1
Cuilapam de Guerrero,4,0,0,0,0,0,0,0,0,4
Cuyamecalco Villa de Zaragoza,C,C,0,0,0,0,0,0,0,C
Chahuites,C,C,0,0,0,0,0,0,0,C
Chalcatongo de Hidalgo,C,C,0,0,0,0,0,0,0,C
Chiquihuitlan de Benito Juarez,C,C,0,1,0,0,0,0,0,C
Heroica Ciudad de Ejutla de Crespo,13,2,0,2,0,0,0,0,0,11
Tamazulapam del Espiritu Santo,C,C,1,0,1,0,0,0,0,C
Fresnillo de Trujano,C,C,0,0,0,0,0,0,0,C
Guadalupe Etla,C,C,0,0,1,0,0,0,1,C
Guadalupe de Ramirez,C,C,0,0,0,0,0,0,0,C
Guelatao de Juarez,C,C,0,1,1,0,0,0,0,C
Guevea de Humboldt,C,C,0,1,0,0,1,0,0,C
Mesones Hidalgo,3,0,0,0,0,0,0,0,0,3
Villa Hidalgo,C,C,0,0,0,0,0,0,0,C
Heroica Ciudad de Huajuapan de Leon,8,0,0,0,0,0,0,0,0,8
Huautepec,C,C,0,0,0,0,0,0,0,C
Ixtlan de Juarez,10,8,2,6,3,0,0,0,1,2
Heroica Ciudad de Juchitan de Zaragoza,5,4,0,1,2,0,2,1,1,1
Loma Bonita,37,15,3,3,7,6,5,0,0,22
Magdalena Apasco,4,3,0,0,0,0,2,0,2,1
Magdalena Jaltepec,C,C,1,0,0,0,1,0,0,C
Santa Magdalena Jicotlan,C,C,0,0,0,0,0,0,0,C
Magdalena Mixtepec,C,C,0,0,0,0,0,0,0,C
Magdalena Ocotlan,C,C,0,0,0,0,0,0,0,C
Magdalena Peñasco,C,C,0,0,0,0,0,0,0,C
Magdalena Teitipac,C,C,0,0,0,0,0,0,0,C
Magdalena Tequisistlan,3,2,0,1,1,0,0,0,1,1
Magdalena Tlacotepec,C,C,0,0,0,0,0,0,0,C
Magdalena Zahuatlan,C,C,0,0,0,0,0,0,0,C
Mariscala de Juarez,3,0,0,0,0,0,0,0,0,3
Martires de Tacubaya,C,C,0,0,1,0,0,0,0,C
Matias Romero Avendaño,24,8,0,1,3,2,2,1,3,16
Miahuatlan de Porfirio Diaz,9,4,0,3,1,0,0,0,0,5
Mixistlan de la Reforma,C,C,0,0,1,0,0,0,0,C
Monjas,C,C,0,0,0,0,0,0,0,C
Nazareno Etla,C,C,0,0,0,0,0,0,0,C
Nejapa de Madero,9,7,0,7,2,1,0,0,0,2
Ixpantepec Nieves,3,1,0,0,1,0,0,0,0,2
Santiago Niltepec,4,3,0,2,1,0,0,0,0,1
Oaxaca de Juarez,9,1,0,1,0,0,1,0,0,8
Ocotlan de Morelos,10,0,0,0,0,0,0,0,0,10
"La ""Pe""",C,C,0,0,0,0,0,0,0,C
Pinotepa de Don Luis,C,C,1,1,1,0,0,0,0,C
San Jose del Progreso,C,C,0,0,0,0,0,0,0,C
Putla Villa de Guerrero,15,3,1,0,2,1,1,0,0,12
Santa Catarina Quioquitani,C,C,0,0,0,0,0,0,0,C
Reforma de Pineda,C,C,0,1,1,1,0,0,0,C
La Reforma,4,3,0,0,2,1,0,0,0,1
Reyes Etla,C,C,0,0,1,1,0,0,0,C
Rojas de Cuauhtemoc,C,C,0,0,0,0,0,0,0,C
Salina Cruz,3,2,0,1,1,0,1,0,0,1
San Agustin Amatengo,C,C,0,1,0,0,0,0,0,C
San Agustin Atenango,C,C,0,0,0,0,0,0,0,C
San Agustin Chayuco,5,3,1,2,2,1,0,2,1,2
San Agustin de las Juntas,C,C,0,1,0,0,0,0,0,C
San Agustin Etla,C,C,0,0,0,0,0,0,1,C
San Agustin Loxicha,C,C,0,1,1,0,0,0,0,C
San Agustin Tlacotepec,C,C,0,0,0,0,0,0,0,C
San Agustin Yatareni,C,C,0,0,0,0,0,0,0,C
San Andres Cabecera Nueva,C,C,0,0,1,0,0,0,0,C
San Andres Dinicuiti,3,0,0,0,0,0,0,0,0,3
San Andres Huaxpaltepec,C,C,0,1,0,0,0,0,0,C
San Andres Huayapam,C,C,0,0,1,0,0,1,1,C
San Andres Ixtlahuaca,C,C,0,0,0,0,0,0,0,C
San Andres Lagunas,C,C,0,0,0,0,0,0,0,C
San Andres Nuxiño,C,C,0,0,0,0,0,0,0,C
San Andres Sinaxtla,C,C,0,1,1,0,0,0,0,C
San Andres Solaga,3,1,1,1,1,0,1,0,0,2
San Andres Teotilalpam,C,C,0,0,0,0,0,0,0,C
San Andres Yaa,C,C,0,0,0,0,0,0,0,C
San Andres Zabache,C,C,0,0,0,0,0,0,0,C
San Andres Zautla,3,1,0,0,0,0,0,0,1,2
San Antonino Castillo Velasco,C,C,0,0,0,0,0,0,0,C
San Antonino el Alto,C,C,1,2,1,1,0,0,1,C
San Antonino Monte Verde,C,C,0,0,0,0,0,0,0,C
San Antonio Acutla,C,C,0,0,0,0,0,0,0,C
San Antonio de la Cal,C,C,0,0,0,0,0,0,0,C
San Antonio Huitepec,C,C,1,1,0,0,0,0,0,C
San Antonio Nanahuatipam,3,2,0,1,1,0,0,0,0,1
San Antonio Sinicahua,C,C,0,0,0,0,0,0,0,C
San Antonio Tepetlapa,3,1,0,1,0,0,0,0,0,2
San Baltazar Chichicapam,C,C,0,0,0,1,0,0,0,C
San Baltazar Loxicha,C,C,0,0,0,0,1,0,0,C
San Baltazar Yatzachi el Bajo,4,3,0,1,2,0,0,0,0,1
San Bartolo Coyotepec,4,0,0,0,0,0,0,0,0,4
San Bartolome Ayautla,C,C,1,1,2,2,0,0,1,C
San Bartolome Loxicha,C,C,1,0,1,0,0,0,0,C
San Bartolome Quialana,C,C,0,0,0,0,0,0,0,C
San Bartolome Yucuañe,C,C,0,0,0,0,0,0,0,C
San Bartolome Zoogocho,C,C,0,0,0,0,0,0,0,C
San Bartolo Soyaltepec,C,C,0,0,0,0,0,0,0,C
San Bartolo Yautepec,C,C,0,1,1,0,0,0,0,C
San Bernardo Mixtepec,3,1,0,1,1,0,0,0,0,2
San Blas Atempa,C,C,0,0,1,0,0,0,1,C
San Carlos Yautepec,18,11,1,9,2,1,0,0,0,7
San Cristobal Amatlan,4,2,1,0,0,0,0,0,1,2
San Cristobal Amoltepec,C,C,0,0,0,0,0,0,0,C
San Cristobal Suchixtlahuaca,C,C,0,0,0,0,0,0,0,C
San Dionisio del Mar,C,C,0,1,1,0,0,0,0,C
San Dionisio Ocotepec,5,0,0,0,0,0,0,0,0,5
San Dionisio Ocotlan,C,C,0,0,0,0,0,0,0,C
San Esteban Atatlahuca,C,C,0,0,0,1,1,0,0,C
San Felipe Jalapa de Diaz,12,5,0,3,2,1,0,0,0,7
San Felipe Tejalapam,C,C,0,0,0,0,0,0,0,C
San Felipe Usila,8,5,3,1,1,1,2,0,0,3
San Francisco Cahuacua,C,C,0,2,1,1,0,0,0,C
San Francisco Cajonos,C,C,0,0,0,0,0,0,1,C
San Francisco Chapulapa,C,C,0,0,0,0,0,0,0,C
San Francisco Chindua,C,C,0,1,0,0,0,0,0,C
San Francisco del Mar,C,C,0,0,0,0,0,0,0,C
San Francisco Huehuetlan,C,C,0,0,0,0,0,0,0,C
San Francisco Ixhuatan,3,3,0,0,3,1,0,0,0,0
San Francisco Jaltepetongo,C,C,0,0,0,0,0,0,0,C
San Francisco Lachigolo,C,C,0,0,0,0,0,0,0,C
San Francisco Nuxaño,C,C,0,0,0,0,0,0,0,C
San Francisco Ozolotepec,3,3,0,3,0,0,0,0,0,0
San Francisco Sola,C,C,1,0,0,0,0,0,0,C
San Francisco Telixtlahuaca,C,C,0,0,0,0,0,0,0,C
San Francisco Teopan,C,C,0,0,0,0,0,0,0,C
San Francisco Tlapancingo,C,C,0,0,0,0,0,0,0,C
San Gabriel Mixtepec,C,C,0,0,0,0,0,0,0,C
San Ildefonso Amatlan,C,C,0,0,0,0,0,0,0,C
San Ildefonso Sola,C,C,0,0,0,0,1,0,0,C
San Ildefonso Villa Alta,5,3,1,1,1,1,0,0,0,2
San Jacinto Amilpas,C,C,0,0,0,0,0,0,0,C
San Jacinto Tlacotepec,C,C,0,0,0,0,0,0,0,C
San Jeronimo Coatlan,C,C,0,0,0,1,0,0,0,C
San Jeronimo Silacayoapilla,C,C,0,0,0,0,0,0,0,C
San Jeronimo Sosola,6,2,0,0,0,0,0,0,2,4
San Jeronimo Taviche,C,C,0,0,0,0,0,0,0,C
San Jeronimo Tecoatl,C,C,0,0,1,0,0,0,0,C
San Jorge Nuchita,3,0,0,0,0,0,0,0,0,3
San Jose Ayuquila,C,C,0,0,0,0,0,0,0,C
San Jose Chiltepec,11,2,0,0,1,1,0,0,0,9
San Jose del Peñasco,C,C,0,0,0,0,0,0,0,C
San Jose Estancia Grande,C,C,1,1,1,0,0,0,0,C
San Jose Tenango,C,C,0,1,0,0,0,0,0,C
San Juan Achiutla,C,C,0,0,0,0,0,0,0,C
San Juan Atepec,C,C,0,1,0,0,0,0,0,C
Animas Trujano,C,C,0,0,0,0,0,0,0,C
San Juan Bautista Atatlahuca,3,1,1,0,0,0,1,0,0,2
San Juan Bautista Coixtlahuaca,3,0,0,0,0,0,0,0,0,3
San Juan Bautista Cuicatlan,16,3,0,3,0,2,0,0,0,13
San Juan Bautista Guelache,3,0,0,0,0,0,0,0,0,3
San Juan Bautista Jayacatlan,C,C,0,0,0,0,0,0,0,C
San Juan Bautista lo de Soto,C,C,0,0,1,0,0,0,0,C
San Juan Bautista Suchitepec,C,C,0,0,0,0,0,0,1,C
San Juan Bautista Tlacoatzintepec,C,C,1,0,0,0,0,0,0,C
San Juan Bautista Tlachichilco,C,C,0,0,0,0,0,0,0,C
San Juan Bautista Tuxtepec,68,29,3,8,17,6,0,1,1,39
San Juan Cacahuatepec,6,2,0,1,1,0,0,0,0,4
San Juan Cieneguilla,C,C,0,0,0,0,0,0,0,C
San Juan Coatzospam,C,C,1,0,1,0,0,0,0,C
San Juan Colorado,6,5,0,0,2,1,1,0,1,1
San Juan Comaltepec,3,0,0,0,0,0,0,0,0,3
San Juan Cotzocon,18,5,0,0,4,1,0,0,1,13
San Juan Chicomezuchil,C,C,0,0,1,0,0,0,0,C
San Juan Chilateca,C,C,0,0,0,0,0,0,0,C
San Juan del Estado,C,C,0,0,0,0,0,0,0,C
San Juan del Rio,C,C,0,0,0,1,0,0,0,C
San Juan Diuxi,C,C,0,0,0,0,0,0,0,C
San Juan Evangelista Analco,C,C,0,0,0,1,0,0,0,C
San Juan Guelavia,C,C,0,0,0,0,0,0,0,C
San Juan Guichicovi,31,11,5,2,2,1,3,0,2,20
San Juan Ihualtepec,C,C,0,0,0,0,0,0,0,C
San Juan Juquila Mixes,C,C,0,1,0,0,0,0,0,C
San Juan Juquila Vijanos,C,C,0,1,0,0,0,0,0,C
San Juan Lachao,C,C,0,0,0,0,0,0,0,C
San Juan Lachigalla,4,0,0,0,0,0,0,0,0,4
San Juan Lajarcia,C,C,1,1,0,1,0,1,0,C
San Juan Lalana,4,1,0,0,0,1,0,0,0,3
San Juan de los Cues,C,C,0,1,0,0,0,0,0,C
San Juan Mazatlan,20,8,1,1,4,4,1,0,1,12
San Juan Mixtepec -Dto. 08-,C,C,0,0,0,0,0,0,0,C
San Juan Mixtepec -Dto. 26-,C,C,0,0,0,0,0,0,0,C
San Juan Ñumi,3,0,0,0,0,0,0,0,0,3
San Juan Ozolotepec,4,4,0,4,0,1,0,0,0,0
San Juan Petlapa,6,1,0,1,0,0,0,0,0,5
San Juan Quiahije,C,C,0,0,1,1,1,1,0,C
San Juan Quiotepec,4,2,0,1,1,0,1,0,0,2
San Juan Sayultepec,3,2,0,1,1,0,0,0,0,1
San Juan Tabaa,C,C,1,1,0,0,0,0,0,C
San Juan Tamazola,C,C,0,0,0,0,0,0,0,C
San Juan Teita,C,C,0,0,0,0,0,0,0,C
San Juan Teitipac,C,C,0,0,0,0,0,0,0,C
San Juan Tepeuxila,5,2,1,1,0,0,0,0,1,3
San Juan Teposcolula,C,C,0,0,0,0,0,0,0,C
San Juan Yaee,3,2,0,1,0,0,0,1,1,1
San Juan Yatzona,C,C,0,0,0,0,0,0,0,C
San Juan Yucuita,C,C,0,0,0,0,0,0,0,C
San Lorenzo,3,2,1,0,0,0,0,1,2,1
San Lorenzo Albarradas,3,0,0,0,0,0,0,0,0,3
San Lorenzo Cacaotepec,3,1,0,1,0,0,0,0,0,2
San Lorenzo Texmelucan,C,C,0,0,0,0,0,0,0,C
San Lorenzo Victoria,C,C,0,0,0,0,0,0,0,C
San Lucas Camotlan,C,C,1,1,1,1,1,0,0,C
San Lucas Ojitlan,31,10,0,1,9,3,1,0,0,21
San Lucas Quiavini,C,C,0,0,0,0,0,0,0,C
San Luis Amatlan,C,C,0,0,0,0,0,0,0,C
San Marcos Arteaga,3,1,0,0,1,0,0,0,0,2
San Martin de los Cansecos,C,C,0,0,0,0,0,0,0,C
San Martin Huamelulpam,C,C,0,0,0,0,0,0,0,C
San Martin Itunyoso,C,C,0,1,0,0,0,0,0,C
San Martin Lachila,C,C,0,0,0,0,0,0,0,C
San Martin Peras,C,C,0,0,0,0,0,0,0,C
San Martin Tilcajete,C,C,0,0,0,0,0,0,0,C
San Martin Toxpalan,C,C,0,1,0,0,0,0,0,C
San Mateo Cajonos,C,C,0,1,0,0,0,0,0,C
Capulalpam de Mendez,C,C,1,1,1,0,1,0,0,C
San Mateo del Mar,C,C,0,0,0,0,0,0,0,C
San Mateo Etlatongo,C,C,0,1,1,0,0,0,0,C
San Mateo Nejapam,C,C,0,0,0,0,0,0,0,C
San Mateo Peñasco,C,C,0,0,0,0,0,0,0,C
San Mateo Rio Hondo,C,C,0,0,0,0,0,0,0,C
San Mateo Sindihui,C,C,0,0,0,0,0,0,0,C
San Mateo Tlapiltepec,C,C,0,0,0,0,0,0,0,C
San Melchor Betaza,C,C,0,0,0,0,0,0,0,C
San Miguel Achiutla,C,C,0,0,0,0,0,0,0,C
San Miguel Aloapam,C,C,1,1,1,1,1,0,0,C
San Miguel Amatitlan,9,1,0,0,1,0,0,0,0,8
San Miguel Coatlan,C,C,0,0,0,0,0,0,0,C
San Miguel Chicahua,C,C,0,0,0,0,0,0,0,C
San Miguel Chimalapa,C,C,0,1,0,0,0,0,0,C
San Miguel del Puerto,3,3,1,3,1,0,1,1,0,0
San Miguel Ejutla,C,C,0,0,0,0,0,0,0,C
San Miguel el Grande,C,C,0,0,0,0,0,0,0,C
San Miguel Huautla,C,C,0,0,0,0,0,0,0,C
San Miguel Mixtepec,C,C,1,0,0,0,0,0,0,C
San Miguel Panixtlahuaca,C,C,0,0,0,0,0,0,0,C
San Miguel Peras,C,C,0,0,1,0,0,0,0,C
San Miguel Piedras,C,C,0,0,1,0,0,0,0,C
San Miguel Quetzaltepec,C,C,0,1,0,0,0,1,0,C
San Miguel Santa Flor,C,C,0,0,0,0,0,0,0,C
Villa Sola de Vega,6,3,1,0,2,1,0,0,0,3
San Miguel Soyaltepec,35,11,0,5,6,0,2,0,0,24
San Miguel Suchixtepec,C,C,0,0,1,0,0,0,0,C
Villa Talea de Castro,3,1,0,0,1,0,0,0,0,2
San Miguel Tecomatlan,C,C,1,1,0,0,0,0,0,C
San Miguel Tenango,C,C,0,0,0,0,0,0,0,C
San Miguel Tequixtepec,C,C,0,0,0,0,0,0,0,C
San Miguel Tilquiapam,C,C,0,0,0,0,0,0,0,C
San Miguel Tlacamama,4,1,0,0,1,1,1,0,0,3
San Miguel Tlacotepec,C,C,0,0,0,0,0,0,0,C
San Miguel Tulancingo,C,C,0,0,0,0,0,0,0,C
San Miguel Yotao,C,C,0,0,0,0,0,0,1,C
San Nicolas Hidalgo,C,C,0,0,0,0,0,0,0,C
San Pablo Coatlan,3,0,0,0,0,0,0,0,0,3
San Pablo Cuatro Venados,C,C,0,0,0,0,0,1,0,C
San Pablo Etla,3,2,1,0,1,0,0,0,1,1
San Pablo Huitzo,C,C,1,1,0,1,0,0,0,C
San Pablo Huixtepec,C,C,0,0,1,0,0,0,0,C
San Pablo Macuiltianguis,C,C,0,0,0,1,0,0,0,C
San Pablo Tijaltepec,C,C,0,0,0,0,0,0,0,C
San Pablo Villa de Mitla,6,1,0,0,1,0,0,0,0,5
San Pablo Yaganiza,C,C,0,0,0,0,0,0,0,C
San Pedro Amuzgos,C,C,0,0,0,0,0,0,0,C
San Pedro Apostol,C,C,0,0,1,1,0,0,0,C
San Pedro Atoyac,3,2,1,1,1,1,0,0,1,1
San Pedro Cajonos,C,C,0,0,0,0,0,0,0,C
San Pedro Coxcaltepec Cantaros,C,C,0,0,1,0,0,0,0,C
San Pedro Comitancillo,C,C,0,0,1,1,0,0,1,C
San Pedro el Alto,C,C,0,1,1,0,0,0,1,C
San Pedro Huamelula,4,4,0,4,1,0,1,0,1,0
San Pedro Huilotepec,C,C,0,0,0,0,0,0,1,C
San Pedro Ixcatlan,8,2,0,0,2,0,0,0,0,6
San Pedro Ixtlahuaca,C,C,0,0,0,0,0,0,0,C
San Pedro Jaltepetongo,C,C,0,0,0,0,0,0,0,C
San Pedro Jicayan,C,C,1,0,1,0,0,0,0,C
San Pedro Jocotipac,C,C,0,0,0,0,0,0,0,C
San Pedro Juchatengo,C,C,0,0,1,0,0,0,0,C
San Pedro Martir,C,C,0,0,0,0,0,0,0,C
San Pedro Martir Quiechapa,C,C,0,0,0,0,0,0,0,C
San Pedro Martir Yucuxaco,C,C,0,0,1,0,0,0,0,C
San Pedro Mixtepec -Dto. 22-,C,C,0,0,0,0,0,0,0,C
San Pedro Mixtepec -Dto. 26-,C,C,0,0,0,0,0,0,0,C
San Pedro Molinos,C,C,0,0,0,0,0,0,0,C
San Pedro Nopala,C,C,0,0,0,0,0,0,0,C
San Pedro Ocopetatillo,C,C,0,0,0,0,0,0,0,C
San Pedro Ocotepec,C,C,0,1,1,1,0,0,0,C
San Pedro Pochutla,C,C,0,1,2,1,1,0,0,C
San Pedro Quiatoni,C,C,0,0,0,0,0,0,0,C
San Pedro Sochiapam,5,0,0,0,0,0,0,0,0,5
San Pedro Tapanatepec,8,4,0,0,1,1,3,0,0,4
San Pedro Taviche,C,C,0,0,0,0,0,0,0,C
San Pedro Teozacoalco,C,C,0,0,0,0,0,0,0,C
San Pedro Teutila,3,3,0,2,0,0,0,0,1,0
San Pedro Tidaa,C,C,0,0,0,0,0,0,0,C
San Pedro Topiltepec,C,C,0,0,0,0,0,0,0,C
San Pedro Totolapa,3,0,0,0,0,0,0,0,0,3
Villa de Tututepec de Melchor Ocampo,6,5,2,2,2,1,1,0,4,1
San Pedro Yaneri,C,C,0,1,1,0,0,0,0,C
San Pedro Yolox,6,3,0,0,1,1,0,0,2,3
San Pedro y San Pablo Ayutla,C,C,0,0,0,0,0,1,0,C
