INEGI. IX Censo Ejidal 2007,,,,,
Superficie parcelada segun uso agricola y riego,,,,cuadro 3,
por entidad federativa y municipio,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_parcelada,superficie_parcelada_(ha)_total,superficie_parcelada_(ha)_con_uso_agricola,superficie_parcelada_(ha)_con_riego,unidad_de_medida
Huixtan,18,22820.8500,11881.0000,0.0000,Hectarea
Huitiupan,43,18412.1500,15986.6500,924.9600,Hectarea
Huixtla,17,17120.5700,14347.1500,0.0000,Hectarea
La Independencia,23,18998.0000,15859.5000,338.0000,Hectarea
Ixhuatan,6,6489.0000,4152.0000,0.0000,Hectarea
Ixtacomitan,12,5862.0000,3489.5000,0.0000,Hectarea
Ixtapa,31,18357.9600,12699.5300,438.2400,Hectarea
Ixtapangajoya,4,3018.5000,2958.0000,0.0000,Hectarea
Jiquipilas,58,52178.0000,25708.0000,635.0000,Hectarea
Jitotol,21,13095.0000,11452.0000,2.0000,Hectarea
Juarez,6,5648.0000,680.0000,0.0000,Hectarea
Larrainzar,1,621.0000,621.0000,0.0000,Hectarea
La Libertad,4,5672.4000,842.7900,0.0000,Hectarea
Mapastepec,48,42878.0000,13126.0000,0.0000,Hectarea
Las Margaritas,134,82098.8200,54900.3600,3674.0000,Hectarea
Mazapa de Madero,4,9190.0000,9187.0000,0.0000,Hectarea
Mazatan,18,17708.0000,15343.0000,235.0000,Hectarea
Metapa,1,839.0000,587.0000,42.0000,Hectarea
Mitontic,1,2199.5000,1190.0000,0.0000,Hectarea
Motozintla,42,24668.5000,23838.5000,78.0000,Hectarea
Ocosingo,90,110571.8800,81249.2500,70.0000,Hectarea
Ocozocoautla de Espinosa,69,56706.9400,38697.1300,100.0000,Hectarea
Ostuacan,27,23523.5000,7153.0000,0.0000,Hectarea
Osumacinta,1,2938.1700,1470.5000,0.0000,Hectarea
Oxchuc,3,15267.0000,15267.0000,0.0000,Hectarea
Palenque,152,138537.8600,104509.1900,0.0000,Hectarea
Pantelho,9,5809.0000,5150.0000,0.0000,Hectarea
Pantepec,5,6783.6400,6253.0000,20.0000,Hectarea
Pichucalco,8,7457.0000,2644.0000,0.0000,Hectarea
Pijijiapan,66,61573.5000,6771.0000,0.0000,Hectarea
El Porvenir,5,7291.0000,4550.0000,13.0000,Hectarea
Villa Comaltitlan,18,18977.6000,12486.6700,0.0000,Hectarea
Pueblo Nuevo Solistahuacan,18,16233.0000,13191.0000,5.0000,Hectarea
Rayon,4,1550.0000,1508.0000,0.0000,Hectarea
Reforma,7,7780.0000,904.0000,0.0000,Hectarea
Las Rosas,14,8834.8000,8393.5000,3611.0000,Hectarea
Sabanilla,16,14458.2300,13015.7300,0.0000,Hectarea
Salto de Agua,84,73293.5000,42342.5000,0.0000,Hectarea
San Cristobal de las Casas,15,9051.1500,6899.1500,303.0000,Hectarea
San Fernando,16,9395.8700,6331.3300,0.5000,Hectarea
Siltepec,18,44537.0000,28184.0000,2030.0000,Hectarea
Simojovel,31,12950.2600,10332.2600,50.0000,Hectarea
Sitala,7,1461.0000,408.0000,0.0000,Hectarea
Socoltenango,33,19660.0000,15939.0000,4727.0000,Hectarea
Solosuchiapa,10,4842.7500,3157.0000,0.0000,Hectarea
Soyalo,2,162.3300,132.0000,0.0000,Hectarea
Suchiapa,8,16443.1300,8243.5700,10.0000,Hectarea
Suchiate,17,9106.5300,5154.8300,3340.1300,Hectarea
Sunuapa,1,470.0000,50.0000,0.0000,Hectarea
Tapachula,51,24484.1800,23569.4800,3499.0000,Hectarea
Tapalapa,2,81.5200,73.5200,0.0000,Hectarea
Tapilula,4,1970.0000,1539.0000,0.0000,Hectarea
Tecpatan,56,60282.1500,12381.7000,0.0000,Hectarea
Tenejapa,5,11892.7500,8969.7500,0.0000,Hectarea
Teopisca,16,9684.0000,9475.3900,122.0000,Hectarea
Tila,14,26344.1800,20434.8000,0.0000,Hectarea
Tonala,51,47448.0000,5260.0000,0.0000,Hectarea
Totolapa,8,4659.9300,3008.9300,0.0000,Hectarea
La Trinitaria,74,35282.9700,32085.7800,3643.4500,Hectarea
Tumbala,22,18906.3700,15192.4800,0.0000,Hectarea
Tuxtla Gutierrez,6,6592.8900,3533.9000,15.0000,Hectarea
Tuxtla Chico,7,3767.5000,3627.5000,0.0000,Hectarea
Tuzantan,16,10262.8200,10062.8200,49.7300,Hectarea
Tzimol,15,17400.0000,11983.0000,3172.0000,Hectarea
Union Juarez,12,3429.0000,3429.0000,0.0000,Hectarea
Venustiano Carranza,36,29533.2000,19514.3100,1520.5000,Hectarea
