INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidatarios, comuneros y posesionarios",,,,,,,cuadro 13
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres
San Andres Lagunas,C,900,500,400,900,500,400
San Andres Nuxiño,C,405,385,20,405,385,20
San Andres Sinaxtla,C,711,412,299,711,412,299
San Andres Solaga,3,723,623,100,520,450,70
San Andres Teotilalpam,C,1533,991,542,1533,991,542
San Andres Yaa,C,405,350,55,405,350,55
San Andres Zabache,C,100,60,40,60,60,0
San Andres Zautla,3,500,420,80,486,420,66
San Antonino Castillo Velasco,C,296,216,80,296,216,80
San Antonino el Alto,C,576,506,70,576,506,70
San Antonino Monte Verde,C,2780,1280,1500,2780,1280,1500
San Antonio Acutla,C,347,247,100,347,247,100
San Antonio de la Cal,C,280,250,30,280,250,30
San Antonio Huitepec,C,1015,745,270,995,745,250
San Antonio Nanahuatipam,3,237,188,49,237,188,49
San Antonio Sinicahua,C,600,250,350,600,250,350
San Antonio Tepetlapa,3,738,646,92,578,506,72
San Baltazar Chichicapam,C,373,293,80,173,123,50
San Baltazar Loxicha,C,416,301,115,416,301,115
San Baltazar Yatzachi el Bajo,4,386,282,104,386,282,104
San Bartolo Coyotepec,4,693,448,245,619,448,171
San Bartolome Ayautla,C,1873,870,1003,800,800,0
San Bartolome Loxicha,C,617,557,60,617,557,60
San Bartolome Quialana,C,250,125,125,0,0,0
San Bartolome Yucuañe,C,331,256,75,331,256,75
San Bartolome Zoogocho,C,120,10,110,120,10,110
San Bartolo Soyaltepec,C,907,628,279,907,628,279
San Bartolo Yautepec,C,280,264,16,280,264,16
San Bernardo Mixtepec,3,1135,682,453,1135,682,453
San Blas Atempa,C,2800,1400,1400,2800,1400,1400
San Carlos Yautepec,18,2353,1972,381,1095,1009,86
San Cristobal Amatlan,4,1024,684,340,1024,684,340
San Cristobal Amoltepec,C,523,385,138,523,385,138
San Cristobal Suchixtlahuaca,C,125,95,30,95,95,0
San Dionisio del Mar,C,1028,1013,15,1018,1003,15
San Dionisio Ocotepec,5,3340,2995,345,2187,1927,260
San Dionisio Ocotlan,C,119,87,32,119,87,32
San Esteban Atatlahuca,C,1379,1129,250,1379,1129,250
San Felipe Jalapa de Diaz,12,2002,1792,210,2001,1792,209
San Felipe Tejalapam,C,4773,4623,150,4623,4623,0
San Felipe Usila,8,2563,1593,970,2261,1406,855
San Francisco Cahuacua,C,800,640,160,800,640,160
San Francisco Cajonos,C,344,330,14,344,330,14
San Francisco Chapulapa,C,837,492,345,837,492,345
San Francisco Chindua,C,419,286,133,419,286,133
San Francisco del Mar,C,903,803,100,903,803,100
San Francisco Huehuetlan,C,850,425,425,400,300,100
San Francisco Ixhuatan,3,250,215,35,250,215,35
San Francisco Jaltepetongo,C,465,380,85,465,380,85
San Francisco Lachigolo,C,156,94,62,156,94,62
San Francisco Nuxaño,C,200,30,170,200,30,170
San Francisco Ozolotepec,3,503,462,41,503,462,41
San Francisco Sola,C,1200,700,500,70,20,50
San Francisco Telixtlahuaca,C,985,872,113,880,872,8
San Francisco Teopan,C,128,119,9,118,109,9
San Francisco Tlapancingo,C,150,100,50,150,100,50
San Gabriel Mixtepec,C,190,190,0,70,70,0
San Ildefonso Amatlan,C,210,190,20,210,190,20
San Ildefonso Sola,C,800,350,450,800,350,450
San Ildefonso Villa Alta,5,795,710,85,438,408,30
San Jacinto Amilpas,C,83,56,27,0,0,0
San Jacinto Tlacotepec,C,450,392,58,450,392,58
San Jeronimo Coatlan,C,2200,2185,15,2200,2185,15
San Jeronimo Silacayoapilla,C,701,526,175,701,526,175
San Jeronimo Sosola,6,1090,782,308,980,742,238
San Jeronimo Taviche,C,1048,908,140,1048,908,140
San Jeronimo Tecoatl,C,1304,704,600,730,330,400
San Jorge Nuchita,3,417,327,90,392,308,84
San Jose Ayuquila,C,102,93,9,102,93,9
San Jose Chiltepec,11,883,745,138,694,595,99
San Jose del Peñasco,C,1500,750,750,70,60,10
San Jose Estancia Grande,C,148,128,20,148,128,20
San Jose Tenango,C,1852,1852,0,1852,1852,0
San Juan Achiutla,C,472,347,125,472,347,125
San Juan Atepec,C,700,350,350,400,200,200
Animas Trujano,C,379,329,50,379,329,50
San Juan Bautista Atatlahuca,3,674,635,39,507,498,9
San Juan Bautista Coixtlahuaca,3,2003,1683,320,1943,1643,300
San Juan Bautista Cuicatlan,16,1476,1118,358,1472,1118,354
San Juan Bautista Guelache,3,451,216,235,91,56,35
San Juan Bautista Jayacatlan,C,1500,700,800,50,40,10
San Juan Bautista lo de Soto,C,426,316,110,426,316,110
San Juan Bautista Suchitepec,C,88,73,15,88,73,15
San Juan Bautista Tlacoatzintepec,C,470,420,50,0,0,0
San Juan Bautista Tlachichilco,C,115,102,13,115,102,13
San Juan Bautista Tuxtepec,68,4902,3872,1030,3952,3187,765
San Juan Cacahuatepec,6,795,671,124,795,671,124
San Juan Cieneguilla,C,146,128,18,146,128,18
San Juan Coatzospam,C,1519,719,800,1519,719,800
San Juan Colorado,6,1724,1450,274,1700,1450,250
San Juan Comaltepec,3,393,388,5,1,1,0
San Juan Cotzocon,18,7289,4779,2510,4022,2579,1443
San Juan Chicomezuchil,C,256,231,25,256,231,25
San Juan Chilateca,C,61,52,9,61,52,9
San Juan del Estado,C,550,520,30,350,320,30
San Juan del Rio,C,460,276,184,460,276,184
San Juan Diuxi,C,400,300,100,0,0,0
San Juan Evangelista Analco,C,148,130,18,148,130,18
San Juan Guelavia,C,503,488,15,503,488,15
San Juan Guichicovi,31,4112,3227,885,3191,2677,514
San Juan Ihualtepec,C,256,204,52,256,204,52
San Juan Juquila Mixes,C,2000,1650,350,500,450,50
San Juan Juquila Vijanos,C,693,656,37,693,656,37
San Juan Lachao,C,220,207,13,203,193,10
San Juan Lachigalla,4,716,626,90,716,626,90
San Juan Lajarcia,C,260,230,30,215,185,30
San Juan Lalana,4,2781,2476,305,1372,1067,305
San Juan de Los Cues,C,600,400,200,600,400,200
San Juan Mazatlan,20,3680,3045,635,1449,1254,195
San Juan Mixtepec -Dto. 08-,C,8000,3000,5000,8000,3000,5000
San Juan Mixtepec -Dto. 26-,C,250,100,150,250,100,150
San Juan Ñumi,3,2256,1553,703,2256,1553,703
San Juan Ozolotepec,4,860,552,308,860,552,308
San Juan Petlapa,6,711,610,101,658,559,99
San Juan Quiahije,C,1780,880,900,1280,880,400
San Juan Quiotepec,4,1511,999,512,1108,999,109
San Juan Sayultepec,3,638,492,146,523,407,116
San Juan Tabaa,C,399,364,35,399,364,35
San Juan Tamazola,C,1867,1763,104,1867,1763,104
San Juan Teita,C,1122,522,600,542,522,20
San Juan Teitipac,C,360,350,10,360,350,10
San Juan Tepeuxila,5,1590,1073,517,1155,933,222
San Juan Teposcolula,C,811,581,230,651,481,170
San Juan Yaee,3,484,330,154,462,328,134
San Juan Yatzona,C,250,200,50,250,200,50
San Juan Yucuita,C,201,148,53,163,110,53
San Lorenzo,3,598,549,49,598,549,49
San Lorenzo Albarradas,3,1100,820,280,868,588,280
San Lorenzo Cacaotepec,3,757,574,183,657,574,83
San Lorenzo Texmelucan,C,400,350,50,400,350,50
San Lorenzo Victoria,C,380,295,85,380,295,85
San Lucas Camotlan,C,1750,1250,500,1550,1050,500
San Lucas Ojitlan,31,1392,1195,197,1207,1053,154
San Lucas Quiavini,C,664,643,21,664,643,21
San Luis Amatlan,C,512,430,82,369,297,72
San Marcos Arteaga,3,352,237,115,96,79,17
San Martin de Los Cansecos,C,180,160,20,180,160,20
San Martin Huamelulpam,C,730,630,100,730,630,100
San Martin Itunyoso,C,1520,1070,450,1520,1070,450
San Martin Lachila,C,319,288,31,200,190,10
San Martin Peras,C,15200,7020,8180,15200,7020,8180
San Martin Tilcajete,C,283,223,60,283,223,60
San Martin Toxpalan,C,609,459,150,609,459,150
San Mateo Cajonos,C,280,140,140,100,50,50
Capulalpam de Mendez,C,347,342,5,347,342,5
San Mateo del Mar,C,2054,1944,110,2054,1944,110
San Mateo Etlatongo,C,403,223,180,403,223,180
San Mateo Nejapam,C,190,160,30,0,0,0
San Mateo Peñasco,C,672,337,335,672,337,335
San Mateo Rio Hondo,C,100,95,5,0,0,0
San Mateo Sindihui,C,475,475,0,475,475,0
San Mateo Tlapiltepec,C,421,324,97,421,324,97
San Melchor Betaza,C,642,641,1,172,171,1
San Miguel Achiutla,C,424,326,98,424,326,98
San Miguel Aloapam,C,709,709,0,709,709,0
San Miguel Amatitlan,9,1349,978,371,1031,860,171
San Miguel Coatlan,C,1000,300,700,0,0,0
San Miguel Chicahua,C,1522,1022,500,1522,1022,500
San Miguel Chimalapa,C,1730,1408,322,960,838,122
San Miguel del Puerto,3,1731,1271,460,767,507,260
San Miguel Ejutla,C,150,120,30,150,120,30
San Miguel el Grande,C,850,500,350,850,500,350
San Miguel Huautla,C,500,400,100,500,400,100
San Miguel Mixtepec,C,477,177,300,477,177,300
San Miguel Panixtlahuaca,C,1200,500,700,800,500,300
San Miguel Peras,C,1027,1011,16,0,0,0
San Miguel Piedras,C,295,286,9,0,0,0
San Miguel Quetzaltepec,C,3120,1620,1500,3120,1620,1500
San Miguel Santa Flor,C,35,33,2,35,33,2
Villa Sola de Vega,6,2813,1708,1105,2476,1506,970
San Miguel Soyaltepec,35,2892,2592,300,2802,2512,290
San Miguel Suchixtepec,C,747,577,170,0,0,0
Villa Talea de Castro,3,1113,770,343,770,427,343
San Miguel Tecomatlan,C,295,295,0,295,295,0
San Miguel Tenango,C,264,214,50,264,214,50
San Miguel Tequixtepec,C,664,554,110,664,554,110
San Miguel Tilquiapam,C,616,397,219,616,397,219
San Miguel Tlacamama,4,693,593,100,690,590,100
San Miguel Tlacotepec,C,132,90,42,15,15,0
San Miguel Tulancingo,C,133,93,40,133,93,40
San Miguel Yotao,C,242,175,67,130,85,45
San Nicolas Hidalgo,C,176,145,31,176,145,31
San Pablo Coatlan,3,766,566,200,532,362,170
San Pablo Cuatro Venados,C,749,719,30,0,0,0
San Pablo Etla,3,258,196,62,247,189,58
San Pablo Huitzo,C,818,618,200,818,618,200
San Pablo Huixtepec,C,567,395,172,489,352,137
San Pablo Macuiltianguis,C,418,393,25,418,393,25
San Pablo Tijaltepec,C,4835,2335,2500,4835,2335,2500
San Pablo Villa de Mitla,6,992,806,186,577,551,26
San Pablo Yaganiza,C,400,365,35,400,365,35
San Pedro Amuzgos,C,392,345,47,392,345,47
San Pedro Apostol,C,86,77,9,86,77,9
San Pedro Atoyac,3,696,636,60,696,636,60
San Pedro Cajonos,C,229,195,34,229,195,34
San Pedro Coxcaltepec Cantaros,C,599,359,240,200,150,50
San Pedro Comitancillo,C,466,408,58,466,408,58
San Pedro el Alto,C,1250,950,300,1250,950,300
San Pedro Huamelula,4,1540,1350,190,363,345,18
San Pedro Huilotepec,C,305,254,51,218,167,51
San Pedro Ixcatlan,8,572,487,85,546,461,85
San Pedro Ixtlahuaca,C,330,269,61,330,269,61
San Pedro Jaltepetongo,C,250,180,70,250,180,70
San Pedro Jicayan,C,2393,1893,500,2393,1893,500
San Pedro Jocotipac,C,341,191,150,341,191,150
San Pedro Juchatengo,C,300,280,20,280,280,0
San Pedro Martir,C,320,203,117,320,203,117
San Pedro Martir Quiechapa,C,190,110,80,190,110,80
San Pedro Martir Yucuxaco,C,307,171,136,307,171,136
San Pedro Mixtepec -Dto. 22-,C,290,290,0,68,68,0
San Pedro Mixtepec -Dto. 26-,C,250,240,10,250,240,10
San Pedro Molinos,C,292,92,200,292,92,200
San Pedro Nopala,C,362,228,134,362,228,134
San Pedro Ocopetatillo,C,612,412,200,300,150,150
San Pedro Ocotepec,C,2100,1750,350,2100,1750,350
San Pedro Pochutla,C,3469,2666,803,2715,2198,517
San Pedro Quiatoni,C,3114,2914,200,3114,2914,200
San Pedro Sochiapam,5,1283,1069,214,1283,1069,214
San Pedro Tapanatepec,8,1192,1020,172,1165,998,167
San Pedro Taviche,C,276,265,11,276,265,11
San Pedro Teozacoalco,C,300,300,0,300,300,0
San Pedro Teutila,3,674,595,79,674,595,79
San Pedro Tidaa,C,483,0,483,483,0,483
San Pedro Topiltepec,C,819,489,330,819,489,330
San Pedro Totolapa,3,719,647,72,462,396,66
Villa de Tututepec de Melchor Ocampo,6,5688,4201,1487,4032,3045,987
San Pedro Yaneri,C,321,256,65,321,256,65
San Pedro Yolox,6,1226,956,270,599,514,85
San Pedro y San Pablo Ayutla,C,4974,3474,1500,4974,3474,1500
Villa de Etla,C,52,31,21,52,31,21
San Pedro y San Pablo Teposcolula,7,1447,841,606,1447,841,606
San Pedro y San Pablo Tequixtepec,8,1066,680,386,1066,680,386
San Pedro Yucunama,C,300,250,50,0,0,0
San Raymundo Jalpan,C,50,15,35,50,15,35
San Sebastian Abasolo,C,1699,1686,13,899,886,13
San Sebastian Coatlan,C,406,300,106,406,300,106
San Sebastian Ixcapa,7,952,867,85,917,834,83
San Sebastian Nicananduta,C,812,547,265,812,547,265
San Sebastian Rio Hondo,4,448,403,45,448,403,45
San Sebastian Tecomaxtlahuaca,3,4221,3540,681,4040,3540,500
San Sebastian Teitipac,C,374,246,128,374,246,128
San Sebastian Tutla,C,2719,1199,1520,219,199,20
San Simon Almolongas,C,425,355,70,340,288,52
San Simon Zahuatlan,C,200,200,0,200,200,0
Santa Ana,C,606,401,205,606,401,205
Santa Ana Cuauhtemoc,C,138,108,30,20,15,5
Santa Ana del Valle,C,250,200,50,0,0,0
Santa Ana Tavela,C,237,207,30,237,207,30
Santa Ana Tlapacoyan,C,180,160,20,180,160,20
Santa Ana Yareni,C,150,110,40,60,50,10
Santa Ana Zegache,C,136,120,16,136,120,16
Santa Catalina Quieri,C,700,550,150,700,550,150
Santa Catarina Cuixtla,C,756,736,20,0,0,0
Santa Catarina Ixtepeji,C,725,724,1,226,225,1
Santa Catarina Juquila,6,5111,2921,2190,4241,2471,1770
Santa Catarina Lachatao,C,1500,1050,450,1000,550,450
Santa Catarina Loxicha,C,832,728,104,832,728,104
Santa Catarina Mechoacan,C,633,503,130,633,503,130
Santa Catarina Minas,C,380,365,15,380,365,15
Santa Catarina Quiane,C,374,293,81,374,293,81
Santa Catarina Tayata,C,830,480,350,514,228,286
Santa Catarina Ticua,C,800,300,500,800,300,500
Santa Catarina Yosonotu,C,2000,1500,500,2000,1500,500
Santa Catarina Zapoquila,3,183,151,32,183,151,32
Santa Cruz Amilpas,C,161,99,62,161,99,62
Santa Cruz Itundujia,C,2567,2064,503,2567,2064,503
Santa Cruz Mixtepec,4,1213,666,547,1213,666,547
Santa Cruz Nundaco,C,3100,1300,1800,3100,1300,1800
Santa Cruz Papalutla,C,320,270,50,320,270,50
Santa Cruz Tacache de Mina,C,204,163,41,204,163,41
Santa Cruz Tacahua,C,500,400,100,450,400,50
Santa Cruz Tayata,C,68,58,10,66,56,10
Santa Cruz Xitla,C,1342,842,500,1200,700,500
Santa Cruz Xoxocotlan,5,1152,1028,124,392,293,99
Santa Cruz Zenzontepec,C,7000,3800,3200,7000,3800,3200
Santa Gertrudis,5,641,501,140,641,501,140
Santa Ines del Monte,C,812,600,212,0,0,0
Santa Lucia del Camino,C,163,97,66,133,77,56
Santa Lucia Miahuatlan,C,416,266,150,416,266,150
Santa Lucia Monteverde,4,2758,1933,825,1709,1284,425
Santa Lucia Ocotlan,C,300,250,50,300,250,50
Santa Maria Alotepec,3,1138,1060,78,1138,1060,78
Santa Maria Apazco,C,600,300,300,600,300,300
Heroica Ciudad de Tlaxiaco,8,8985,5582,3403,8985,5582,3403
Ayoquezco de Aldama,C,718,711,7,718,711,7
Santa Maria Atzompa,C,273,218,55,273,218,55
Santa Maria Camotlan,C,546,537,9,70,61,9
Santa Maria Colotepec,C,1088,938,150,1088,938,150
Santa Maria Cortijo,C,228,171,57,194,171,23
Santa Maria Coyotepec,C,370,346,24,366,346,20
Santa Maria Chachoapam,C,363,252,111,213,152,61
Villa de Chilapa de Diaz,4,1323,777,546,1323,777,546
Santa Maria Chilchotla,5,559,383,176,376,305,71
Santa Maria Chimalapa,3,3239,1998,1241,3239,1998,1241
Santa Maria del Rosario,C,353,200,153,353,200,153
Santa Maria del Tule,3,919,780,139,460,321,139
Santa Maria Ecatepec,9,1255,1119,136,372,362,10
Santa Maria Guelace,C,76,71,5,76,71,5
Santa Maria Guienagati,C,706,683,23,0,0,0
Santa Maria Huatulco,C,1749,1574,175,1749,1574,175
Santa Maria Huazolotitlan,6,1631,1419,212,1631,1419,212
Santa Maria Ipalapa,3,921,696,225,896,671,225
Santa Maria Ixcatlan,C,220,122,98,220,122,98
Santa Maria Jacatepec,15,1156,987,169,784,667,117
Santa Maria Jalapa del Marques,C,1200,1130,70,300,290,10
Santa Maria Jaltianguis,C,394,358,36,164,128,36
Santa Maria Mixtequilla,C,640,586,54,604,550,54
Santa Maria Nativitas,C,356,184,172,356,184,172
Santa Maria Nduayaco,3,734,413,321,364,223,141
Santa Maria Papalo,C,550,470,80,550,470,80
Santa Maria Peñoles,4,2635,2258,377,2585,2258,327
Santa Maria Petapa,C,620,470,150,620,470,150
Santa Maria Quiegolani,C,761,410,351,41,40,1
Santa Maria Sola,4,357,321,36,330,294,36
Santa Maria Tataltepec,C,675,495,180,675,495,180
Santa Maria Tecomavaca,C,641,499,142,641,499,142
Santa Maria Temaxcalapa,C,356,328,28,356,328,28
Santa Maria Temaxcaltepec,C,580,290,290,10,7,3
Santa Maria Teopoxco,C,1900,1600,300,1900,1600,300
Santa Maria Tepantlali,C,693,643,50,693,643,50
Santa Maria Texcatitlan,C,260,252,8,260,252,8
Santa Maria Tlahuitoltepec,C,3685,3435,250,3685,3435,250
Santa Maria Tlalixtac,C,900,800,100,900,800,100
Santa Maria Tonameca,C,3268,2368,900,3268,2368,900
Santa Maria Totolapilla,C,257,257,0,257,257,0
Santa Maria Yalina,C,216,197,19,216,197,19
Santa Maria Yolotepec,C,209,149,60,209,149,60
Santa Maria Yosoyua,C,288,138,150,288,138,150
Santa Maria Yucuhiti,C,1879,1276,603,1845,1258,587
Santa Maria Zacatepec,C,4312,2162,2150,4312,2162,2150
Santa Maria Zaniza,C,834,417,417,834,417,417
Santa Maria Zoquitlan,C,1200,1000,200,1200,1000,200
Santiago Amoltepec,C,1480,1355,125,1480,1355,125
Santiago Apoala,C,356,319,37,356,319,37
Santiago Astata,C,927,807,120,897,807,90
Santiago Atitlan,C,1000,700,300,1000,700,300
Santiago Ayuquililla,C,267,258,9,267,258,9
Santiago Cacaloxtepec,C,444,424,20,444,424,20
Santiago Camotlan,4,774,774,0,727,727,0
Santiago Comaltepec,C,332,277,55,332,277,55
Santiago Chazumba,10,1297,867,430,1104,733,371
Santiago Choapam,6,1374,1140,234,250,250,0
Santiago del Rio,C,740,490,250,640,490,150
Santiago Huajolotitlan,7,993,828,165,859,704,155
Santiago Huauclilla,4,710,421,289,670,421,249
Santiago Ihuitlan Plumas,C,300,229,71,270,229,41
Santiago Ixcuintepec,C,358,332,26,332,332,0
Santiago Ixtayutla,7,2725,2120,605,2275,2120,155
Santiago Jamiltepec,6,841,771,70,739,686,53
Santiago Jocotepec,23,1776,1607,169,1126,993,133
Santiago Juxtlahuaca,10,11301,9903,1398,10496,9903,593
Santiago Lachiguiri,C,1620,1481,139,1520,1481,39
Santiago Lalopa,C,141,116,25,141,116,25
Santiago Laollaga,C,410,350,60,410,350,60
Santiago Laxopa,3,810,461,349,473,217,256
Santiago Llano Grande,3,518,397,121,498,377,121
Santiago Matatlan,3,2996,2228,768,2916,2148,768
Santiago Minas,C,750,330,420,750,330,420
Santiago Nacaltepec,5,714,569,145,649,565,84
Santiago Nejapilla,C,64,53,11,64,53,11
Santiago Nundiche,C,386,186,200,386,186,200
Santiago Nuyoo,3,1120,744,376,940,744,196
Santiago Pinotepa Nacional,23,3983,3263,720,3911,3195,716
Santiago Suchilquitongo,6,1373,1085,288,799,674,125
Santiago Tamazola,4,533,347,186,329,203,126
Santiago Tapextla,3,621,541,80,574,502,72
Villa Tejupam de la Union,C,400,150,250,400,150,250
Santiago Tenango,C,347,294,53,347,294,53
Santiago Tepetlapa,C,170,150,20,147,127,20
Santiago Tetepec,6,853,773,80,674,611,63
Santiago Texcalcingo,C,736,536,200,736,536,200
Santiago Textitlan,C,1950,850,1100,1500,640,860
Santiago Tilantongo,C,1900,1600,300,1900,1600,300
Santiago Tillo,C,522,357,165,521,356,165
Santiago Tlazoyaltepec,C,2500,1000,1500,1000,1000,0
Santiago Xanica,C,770,480,290,770,480,290
Santiago Xiacui,3,556,556,0,449,449,0
Santiago Yaitepec,C,468,468,0,468,468,0
Santiago Yaveo,8,1791,1457,334,831,702,129
Santiago Yosondua,4,3368,1797,1571,3368,1797,1571
Santiago Yucuyachi,C,32,27,5,32,27,5
Santiago Zacatepec,3,2906,2456,450,2286,1986,300
Santiago Zoochila,C,250,238,12,250,238,12
Nuevo Zoquiapam,C,535,535,0,40,40,0
Santo Domingo Ingenio,C,2020,920,1100,1600,500,1100
Santo Domingo Albarradas,C,303,281,22,303,281,22
Santo Domingo Armenta,C,609,579,30,609,579,30
Santo Domingo Chihuitan,C,563,451,112,148,146,2
Santo Domingo de Morelos,C,1400,1250,150,1200,1050,150
Santo Domingo Ixcatlan,C,170,133,37,170,133,37
Santo Domingo Nuxaa,C,884,849,35,884,849,35
Santo Domingo Ozolotepec,C,350,200,150,350,200,150
Santo Domingo Petapa,C,466,460,6,466,460,6
Santo Domingo Roayaga,C,231,211,20,231,211,20
Santo Domingo Tehuantepec,17,2082,1706,376,1594,1289,305
Santo Domingo Teojomulco,C,1200,800,400,1200,800,400
Santo Domingo Tepuxtepec,C,800,600,200,800,600,200
Santo Domingo Tlatayapam,C,61,41,20,61,41,20
Santo Domingo Tomaltepec,C,183,163,20,183,163,20
Santo Domingo Tonala,4,858,638,220,858,638,220
Santo Domingo Tonaltepec,C,145,105,40,145,105,40
Santo Domingo Xagacia,C,260,260,0,260,260,0
Santo Domingo Yanhuitlan,C,1014,714,300,489,343,146
Santo Domingo Zanatepec,6,1645,1519,126,1482,1364,118
Santos Reyes Nopala,4,9860,5530,4330,1393,1293,100
Santos Reyes Papalo,C,520,500,20,520,500,20
Santos Reyes Tepejillo,C,690,518,172,690,518,172
Santos Reyes Yucuna,C,247,223,24,247,223,24
Santo Tomas Jalieza,5,730,595,135,570,475,95
Santo Tomas Mazaltepec,C,660,510,150,510,510,0
Santo Tomas Ocotepec,C,1160,760,400,1160,760,400
San Vicente Coatlan,C,648,581,67,648,581,67
San Vicente Lachixio,C,1028,928,100,1028,928,100
San Vicente Nuñu,C,1010,510,500,1010,510,500
Silacayoapam,9,2276,1615,661,1691,1109,582
Soledad Etla,C,248,158,90,248,158,90
Villa de Tamazulapam del Progreso,C,2572,2072,500,2572,2072,500
Tanetze de Zaragoza,C,1176,638,538,1176,638,538
Taniche,C,240,140,100,240,140,100
Tataltepec de Valdes,C,143,73,70,143,73,70
Teococuilco de Marcos Perez,C,90,80,10,90,80,10
Teotitlan de Flores Magon,C,115,90,25,45,33,12
Teotitlan del Valle,C,635,507,128,635,507,128
Teotongo,C,319,119,200,319,119,200
Tepelmeme Villa de Morelos,C,720,640,80,720,640,80
Tezoatlan de Segura y Luna,9,3276,1991,1285,3276,1991,1285
San Jeronimo Tlacochahuaya,3,730,607,123,730,607,123
Tlacolula de Matamoros,6,952,781,171,659,536,123
Tlacotepec Plumas,C,653,503,150,653,503,150
Tlalixtac de Cabrera,C,556,329,227,556,329,227
Totontepec Villa de Morelos,11,1491,1264,227,1057,940,117
Trinidad Zaachila,5,1527,1227,300,1527,1227,300
La Trinidad Vista Hermosa,C,405,205,200,405,205,200
Valerio Trujano,C,119,91,28,119,91,28
San Juan Bautista Valle Nacional,24,3094,2775,319,1720,1529,191
Villa Diaz Ordaz,3,2163,1943,220,2163,1943,220
Yaxe,C,315,245,70,315,245,70
Magdalena Yodocono de Porfirio Diaz,C,844,764,80,844,764,80
Yogana,C,604,456,148,556,408,148
Yutanduchi de Guerrero,C,406,256,150,406,256,150
Villa de Zaachila,3,1357,607,750,1357,607,750
Zapotitlan del Rio,C,1079,884,195,1079,884,195
Zapotitlan Lagunas,C,318,268,50,318,268,50
Zapotitlan Palmas,C,505,250,255,505,250,255
Santa Ines de Zaragoza,C,964,775,189,964,775,189
Zimatlan de alvarez,8,2548,1724,824,1738,1334,404
Puebla,1194,216675,165575,51100,191934,148788,43146
Acajete,8,2348,1589,759,2184,1589,595
Acateno,4,182,151,31,182,151,31
Acatlan,16,1954,1436,518,1665,1218,447
Acatzingo,9,1377,1172,205,1368,1172,196
Acteopan,C,477,455,22,333,333,0
Ahuacatlan,C,684,304,380,684,304,380
Ahuatlan,C,130,106,24,130,106,24
Ahuazotepec,6,588,478,110,588,478,110
Ahuehuetitla,3,272,182,90,272,182,90
Ajalpan,10,2383,1998,385,2269,1933,336
Albino Zertuche,C,136,116,20,136,116,20
Aljojuca,4,935,791,144,935,791,144
Altepexi,C,1368,1029,339,1318,1029,289
Amixtlan,C,90,86,4,90,86,4
Amozoc,7,1115,921,194,1115,921,194
Aquixtla,5,353,316,37,93,88,5
Atexcal,9,951,767,184,696,556,140
Atlixco,29,5011,3830,1181,4831,3687,1144
Atoyatempan,C,51,41,10,51,41,10
Atzala,C,117,83,34,117,83,34
Atzitzihuacan,9,1728,1448,280,1728,1448,280
Atzitzintla,5,524,489,35,524,489,35
Axutla,C,324,174,150,60,48,12
Ayotoxco de Guerrero,3,388,283,105,388,283,105
Calpan,3,1101,912,189,1034,855,179
Caltepec,9,2986,2627,359,2696,2419,277
Camocuautla,C,58,58,0,58,58,0
Caxhuacan,C,74,69,5,74,69,5
Coatzingo,C,549,465,84,549,465,84
Cohetzala,3,476,428,48,169,169,0
Cohuecan,C,212,189,23,212,189,23
Coronango,3,798,647,151,798,647,151
Coxcatlan,9,1735,1383,352,1720,1383,337
Coyomeapan,3,1674,1144,530,1674,1144,530
Coyotepec,4,807,630,177,233,140,93
Cuapiaxtla de Madero,C,260,180,80,260,180,80
Cuautempan,C,72,57,15,72,57,15
Cuautinchan,7,436,369,67,436,369,67
Cuautlancingo,3,936,716,220,936,716,220
Cuayuca de Andrade,5,276,220,56,276,220,56
Cuetzalan del Progreso,C,125,107,18,73,63,10
Cuyoaco,11,1980,1592,388,1765,1455,310
Chalchicomula de Sesma,24,5370,4326,1044,5370,4326,1044
Chapulco,C,1188,618,570,388,318,70
Chiautla,6,972,891,81,871,796,75
Chiautzingo,5,1894,1497,397,1894,1497,397
Chiconcuautla,C,545,398,147,545,398,147
Chietla,21,2228,1671,557,2096,1562,534
Chignahuapan,45,4028,3090,938,3527,2717,810
Chignautla,C,537,511,26,109,97,12
Chila,4,484,425,59,454,425,29
Chila de la Sal,C,88,31,57,68,31,37
Honey,C,27,17,10,27,17,10
Chilchotla,C,901,551,350,901,551,350
Chinantla,3,323,225,98,323,225,98
Domingo Arenas,C,646,392,254,646,392,254
Eloxochitlan,C,1068,1035,33,1068,1035,33
Epatlan,4,570,386,184,545,361,184
Esperanza,9,1043,875,168,1043,875,168
Francisco Z. Mena,21,1215,1031,184,1215,1031,184
General Felipe angeles,5,1903,1369,534,1903,1369,534
Guadalupe,3,1039,803,236,1039,803,236
Guadalupe Victoria,10,1825,1438,387,1825,1438,387
Huaquechula,26,3235,2104,1131,3174,2049,1125
Huatlatlauca,8,2456,2361,95,2442,2352,90
Huauchinango,4,155,108,47,106,72,34
Huehuetlan el Chico,4,925,867,58,925,867,58
Huejotzingo,11,2990,2342,648,2579,2151,428
