INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidatarios, comuneros y posesionarios",,,,,,,cuadro 13
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres
Valle de Zaragoza,15,746,600,146,676,540,136
Distrito Federal,37,29007,18386,10621,14814,12594,2220
Cuajimalpa de Morelos,C,2809,1420,1389,0,0,0
La Magdalena Contreras,3,2240,1647,593,428,368,60
Milpa Alta,8,12951,6814,6137,6051,5854,197
alvaro Obregon,C,997,867,130,0,0,0
Tlahuac,7,3808,2690,1118,3141,2176,965
Tlalpan,10,2592,2019,573,1728,1385,343
Xochimilco,4,3610,2929,681,3466,2811,655
Durango,1124,149890,112405,37485,83984,70302,13682
Canatlan,40,6783,5883,900,6504,5640,864
Canelas,C,250,166,84,150,115,35
Coneto de Comonfort,8,776,680,96,741,648,93
Cuencame,28,3975,3460,515,3783,3289,494
Durango,122,10090,8714,1376,7805,6842,963
General Simon Bolivar,21,2526,2220,306,2315,2047,268
Gomez Palacio,98,5746,4401,1345,5060,3962,1098
Guadalupe Victoria,10,4923,3740,1183,4889,3740,1149
Guanacevi,40,2398,1970,428,1167,1003,164
Hidalgo,18,1862,1619,243,1564,1331,233
Inde,12,1618,1392,226,1459,1249,210
Lerdo,31,3446,2542,904,2605,1965,640
Mapimi,78,3649,3145,504,3256,2828,428
Mezquital,22,28085,13418,14667,377,350,27
Nazas,24,2050,1734,316,1849,1569,280
Nombre de Dios,19,2595,2179,416,2503,2100,403
Ocampo,24,2590,2076,514,1577,1268,309
El Oro,25,2955,2519,436,2607,2284,323
Otaez,14,2296,1457,839,664,443,221
Panuco de Coronado,17,2323,1969,354,2319,1969,350
Peñon Blanco,5,873,755,118,842,729,113
Poanas,20,3164,2553,611,3059,2450,609
Pueblo Nuevo,24,5340,3690,1650,887,855,32
Rodeo,29,1905,1615,290,1563,1321,242
San Bernardo,24,1392,1163,229,1157,959,198
San Dimas,49,4000,2991,1009,989,830,159
San Juan de Guadalupe,21,1802,1601,201,1651,1456,195
San Juan del Rio,22,2607,2219,388,2392,2049,343
San Luis del Cordero,C,597,442,155,597,442,155
San Pedro del Gallo,11,757,698,59,587,538,49
Santa Clara,6,1805,1415,390,1805,1415,390
Santiago Papasquiaro,62,9037,7002,2035,4496,3702,794
Suchil,10,997,820,177,827,733,94
Tamazula,49,5969,5195,774,165,161,4
Tepehuanes,26,4543,3411,1132,382,370,12
Tlahualilo,57,6596,5323,1273,3726,2785,941
Topia,15,1830,1297,533,35,35,0
Vicente Guerrero,9,1344,1166,178,1336,1159,177
Nuevo Ideal,29,4396,3765,631,4294,3671,623
Guanajuato,1543,108703,87935,20768,102468,84164,18304
Abasolo,47,2753,2345,408,2753,2345,408
Acambaro,69,5034,4123,911,4978,4093,885
San Miguel de Allende,61,3314,2683,631,3075,2497,578
Apaseo el Alto,28,1835,1555,280,1747,1502,245
Apaseo el Grande,39,2872,2301,571,2782,2239,543
Atarjea,12,859,745,114,859,745,114
Celaya,40,3420,2564,856,3414,2564,850
Manuel Doblado,33,2574,2068,506,2477,2017,460
Comonfort,32,2355,1755,600,1955,1503,452
Coroneo,C,164,143,21,164,143,21
Cortazar,23,1406,1071,335,1266,991,275
Cueramaro,15,1694,1395,299,1687,1388,299
Doctor Mora,5,1099,658,441,289,232,57
Dolores Hidalgo Cuna de la Independencia Nal.,60,3055,2302,753,2709,2174,535
Guanajuato,29,1564,1232,332,1351,1093,258
Huanimaro,20,1145,1000,145,1145,1000,145
