INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tematica de la capacitacion recibida en ultimos cinco años,,,,,,,,,,,,,,,cuadro 36
y ejidatarios participantes por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,total,recibieron_capacitacion_tematica_organizacion_agraria_total,recibieron_capacitacion_tematica_organizacion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_administracion_agraria_total,recibieron_capacitacion_tematica_administracion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_ejidatarios_participantes,recibieron_capacitacion_tematica_comercializacion_total,recibieron_capacitacion_tematica_comercializacion_ejidatarios_participantes,recibieron_capacitacion_tematica_derechos_agrarios_total,recibieron_capacitacion_tematica_derechos_agrarios_ejidatarios_participantes,no recibieroncapacitacion sobre estas tematicas
San Juan de los Lagos,7,3,0,0,0,0,0,0,1,4,0,0,2,23,4
San Marcos,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
San Martin Hidalgo,18,1,0,0,0,0,1,20,0,0,0,0,0,0,17
San Miguel el Alto,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Gomez Farias,5,3,1,50,0,0,2,70,0,0,1,50,2,66,2
San Sebastian del Oeste,18,3,0,0,0,0,2,35,0,0,1,1,1,3,15
Santa Maria de los angeles,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Sayula,5,1,0,0,0,0,0,0,1,10,0,0,0,0,4
Tala,13,1,0,0,0,0,1,20,0,0,0,0,0,0,12
Talpa de Allende,17,4,2,175,1,70,4,118,0,0,0,0,2,195,13
Tamazula de Gordiano,35,12,4,101,3,96,7,195,1,15,1,2,4,172,23
Tapalpa,8,3,0,0,0,0,3,33,0,0,0,0,0,0,5
Tecalitlan,17,4,1,20,0,0,2,19,0,0,1,25,0,0,13
Tecolotlan,20,4,0,0,0,0,3,8,1,8,0,0,0,0,16
Techaluta de Montenegro,C,C,0,0,0,0,0,0,1,15,0,0,0,0,C
Tenamaxtlan,12,2,0,0,0,0,1,10,1,3,0,0,0,0,10
Teocaltiche,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Teocuitatlan de Corona,27,4,3,166,1,100,1,58,1,80,0,0,2,144,23
Tepatitlan de Morelos,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Tequila,15,1,0,0,0,0,1,3,0,0,0,0,0,0,14
Teuchitlan,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Tizapan el Alto,14,3,2,467,0,0,1,30,1,437,1,437,1,93,11
Tlajomulco de Zuñiga,25,5,1,4,0,0,1,60,2,63,1,4,2,151,20
Tlaquepaque,7,3,3,137,1,15,1,15,2,55,2,55,1,236,4
Toliman,12,6,0,0,1,62,6,199,0,0,0,0,1,62,6
Tomatlan,40,8,2,50,1,30,5,76,3,8,1,30,1,40,32
Tonala,8,3,2,24,1,50,2,53,1,6,0,0,0,0,5
Tonaya,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Tonila,8,3,2,38,2,38,2,38,3,43,1,8,2,38,5
Tototlan,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Tuxcacuesco,8,1,1,20,0,0,0,0,0,0,0,0,0,0,7
Tuxcueca,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Tuxpan,14,3,2,70,0,0,2,6,0,0,1,40,1,40,11
Union de San Antonio,17,3,0,0,0,0,1,10,2,60,0,0,2,15,14
Union de Tula,14,1,0,0,0,0,1,62,0,0,0,0,0,0,13
Valle de Guadalupe,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Valle de Juarez,9,2,0,0,0,0,2,27,0,0,0,0,0,0,7
San Gabriel,22,2,2,119,1,69,1,50,1,69,0,0,0,0,20
Villa Corona,5,1,0,0,0,0,0,0,0,0,1,21,0,0,4
Villa Guerrero,C,C,0,0,0,0,1,40,1,40,1,40,1,72,C
Villa Hidalgo,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Cañadas de Obregon,C,C,1,20,0,0,0,0,0,0,0,0,1,20,C
Yahualica de Gonzalez Gallo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Zacoalco de Torres,16,1,0,0,0,0,0,0,0,0,0,0,1,42,15
Zapopan,32,6,4,162,0,0,6,193,2,75,0,0,1,220,26
Zapotiltic,18,6,3,70,3,55,2,230,1,30,2,25,4,78,12
Zapotitlan de Vadillo,4,1,0,0,0,0,1,15,0,0,0,0,1,15,3
Zapotlan del Rey,22,3,0,0,0,0,1,40,2,15,0,0,0,0,19
Zapotlanejo,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Mexico,1233,571,245,9441,142,6842,318,14804,156,5278,52,1893,186,16220,662
Acambay,32,5,1,237,1,237,5,891,1,100,0,0,1,232,27
Acolman,13,6,2,27,2,92,3,65,2,15,0,0,1,100,7
Aculco,26,7,4,103,3,87,4,118,2,52,0,0,5,161,19
Almoloya de Alquisiras,12,6,3,83,1,15,3,45,0,0,0,0,2,62,6
Almoloya de Juarez,36,11,5,151,3,227,2,270,3,32,0,0,1,6,25
Almoloya del Rio,4,3,1,20,0,0,2,35,0,0,1,20,1,15,1
Amanalco,19,18,7,372,7,450,18,1249,9,387,5,322,7,546,1
Amatepec,17,13,6,197,3,107,6,138,2,30,0,0,8,235,4
Amecameca,11,5,1,18,0,0,4,182,0,0,0,0,0,0,6
Apaxco,C,C,2,56,2,58,0,0,1,40,2,43,1,50,C
Atenco,5,1,1,40,0,0,1,16,1,10,0,0,1,8,4
Atizapan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Atizapan de Zaragoza,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Atlacomulco,29,13,6,145,4,228,3,50,5,66,3,73,7,371,16
Atlautla,C,C,1,60,1,30,3,35,0,0,0,0,1,15,C
Axapusco,16,14,13,294,4,182,7,156,7,132,2,45,4,77,2
Ayapango,5,3,3,80,1,29,1,107,1,200,1,30,0,0,2
Calimaya,9,4,3,209,2,188,1,20,2,182,1,172,2,839,5
Capulhuac,4,1,0,0,0,0,1,4,0,0,0,0,0,0,3
Coacalco de Berriozabal,C,C,0,0,1,40,0,0,0,0,0,0,0,0,C
Coatepec Harinas,11,9,3,49,2,29,9,425,0,0,5,148,3,184,2
Cocotitlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Coyotepec,C,C,0,0,0,0,1,10,0,0,0,0,1,220,C
Cuautitlan,C,C,0,0,1,18,0,0,1,30,0,0,0,0,C
Chalco,14,8,8,222,4,69,3,166,2,24,0,0,0,0,6
Chapa de Mota,15,7,2,13,1,6,5,207,1,10,0,0,1,20,8
Chapultepec,C,C,0,0,1,20,0,0,0,0,0,0,0,0,C
Chiautla,5,4,2,52,0,0,3,125,1,1,0,0,0,0,1
Chicoloapan,C,C,1,100,1,100,1,150,1,12,1,12,1,659,C
Chiconcuac,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Chimalhuacan,C,C,0,0,1,1814,0,0,1,100,1,100,1,1814,C
Donato Guerra,17,15,3,35,1,18,13,303,4,98,0,0,5,222,2
Ecatepec de Morelos,8,3,2,50,1,4,1,21,0,0,0,0,0,0,5
Ecatzingo,C,C,1,70,1,70,2,126,1,70,1,70,1,70,C
Huehuetoca,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Hueypoxtla,11,7,3,81,4,28,1,6,3,35,1,80,3,177,4
Huixquilucan,7,3,2,57,0,0,2,95,0,0,0,0,1,200,4
Isidro Fabela,4,2,1,10,2,8,0,0,0,0,0,0,2,10,2
Ixtapaluca,9,6,2,60,1,200,2,262,1,4,0,0,0,0,3
Ixtapan de la Sal,C,C,0,0,1,121,0,0,0,0,0,0,0,0,C
Ixtapan del Oro,8,8,8,515,8,515,5,241,4,134,1,20,8,510,0
Ixtlahuaca,36,9,6,162,0,0,2,206,4,152,1,25,4,272,27
Jaltenco,C,C,0,0,0,0,0,0,0,0,0,0,1,29,C
Jilotepec,33,16,5,224,2,46,10,395,10,446,0,0,2,127,17
Jilotzingo,7,6,3,57,0,0,5,156,2,61,0,0,0,0,1
Jiquipilco,15,9,4,131,2,63,8,536,2,80,0,0,3,273,6
Jocotitlan,15,2,1,12,1,18,0,0,0,0,0,0,0,0,13
Joquicingo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Juchitepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Lerma,20,7,4,430,1,16,4,626,1,5,0,0,2,500,13
Malinalco,13,6,4,358,1,40,3,63,1,40,1,50,1,40,7
Melchor Ocampo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Metepec,5,1,1,56,0,0,0,0,0,0,0,0,0,0,4
Mexicaltzingo,C,C,1,130,0,0,0,0,0,0,0,0,0,0,C
Morelos,14,7,2,125,2,36,4,151,1,6,0,0,2,148,7
Naucalpan de Juarez,8,4,1,28,1,1,1,56,0,0,0,0,1,1,4
Nextlalpan,3,2,0,0,2,22,1,20,0,0,0,0,0,0,1
Nicolas Romero,9,5,3,121,0,0,4,88,5,112,0,0,1,12,4
Nopaltepec,4,4,1,20,1,20,2,40,1,40,0,0,3,104,0
Ocoyoacac,8,6,3,94,0,0,5,214,1,35,0,0,1,45,2
Ocuilan,5,3,1,19,0,0,2,50,1,15,0,0,2,348,2
El Oro,12,4,0,0,0,0,2,128,0,0,0,0,3,313,8
Otumba,12,3,2,22,2,19,1,11,1,37,0,0,0,0,9
Otzoloapan,C,C,1,17,0,0,0,0,1,46,1,46,1,46,C
Otzolotepec,10,3,1,28,1,15,1,25,0,0,0,0,0,0,7
Ozumba,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Papalotla,C,C,1,12,0,0,1,12,0,0,1,12,0,0,C
La Paz,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Polotitlan,10,4,2,55,1,17,1,30,3,32,0,0,2,110,6
Rayon,4,1,1,57,0,0,0,0,0,0,0,0,0,0,3
San Antonio la Isla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Felipe del Progreso,47,10,5,141,2,30,4,369,2,29,0,0,4,145,37
San Martin de las Piramides,8,5,3,73,2,40,1,48,0,0,1,20,2,80,3
San Mateo Atenco,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Simon de Guerrero,C,C,0,0,0,0,2,70,0,0,0,0,2,215,C
Santo Tomas,6,5,2,41,2,41,3,37,4,50,1,7,1,26,1
Soyaniquilpan de Juarez,7,1,0,0,0,0,1,12,1,7,0,0,0,0,6
Sultepec,9,3,2,39,0,0,1,12,0,0,0,0,0,0,6
Tecamac,10,8,4,169,3,42,1,28,1,19,1,25,7,1005,2
Tejupilco,14,3,0,0,0,0,2,35,0,0,0,0,2,246,11
Temamatla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Temascalapa,11,7,1,50,1,20,2,56,1,20,0,0,5,650,4
Temascalcingo,27,2,0,0,1,12,0,0,0,0,0,0,1,75,25
Temascaltepec,36,30,14,360,13,357,26,1152,7,235,2,163,4,208,6
Temoaya,9,5,1,26,1,19,2,114,0,0,0,0,4,558,4
Tenancingo,22,9,4,145,3,198,1,6,1,65,0,0,2,65,13
Tenango del Aire,4,2,2,55,0,0,1,15,0,0,1,15,0,0,2
Tenango del Valle,13,6,3,56,0,0,4,62,1,10,0,0,1,12,7
Teoloyucan,7,2,1,15,0,0,0,0,1,15,0,0,1,25,5
Teotihuacan,8,3,2,30,2,30,1,10,1,10,1,10,2,55,5
Tepetlaoxtoc,10,4,1,20,1,28,3,50,1,5,1,4,1,12,6
Tepetlixpa,4,1,0,0,1,20,0,0,0,0,0,0,0,0,3
Tepotzotlan,5,2,0,0,0,0,1,24,0,0,0,0,1,58,3
Tequixquiac,3,1,1,30,0,0,0,0,1,60,1,60,0,0,2
Texcaltitlan,8,3,1,85,0,0,3,228,0,0,0,0,2,135,5
Texcalyacac,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Texcoco,31,17,6,310,6,216,12,360,4,85,5,172,4,396,14
Tezoyuca,C,C,1,10,0,0,0,0,1,2,0,0,0,0,C
Tianguistenco,3,1,0,0,0,0,1,350,1,100,0,0,1,100,2
Timilpan,7,2,1,20,0,0,2,45,1,50,0,0,0,0,5
Tlalmanalco,6,3,1,35,0,0,2,37,1,10,0,0,1,35,3
Tlalnepantla de Baz,5,2,0,0,0,0,2,52,0,0,1,20,1,167,3
Tlatlaya,23,13,2,287,2,110,6,585,6,438,0,0,8,683,10
Toluca,22,10,6,309,1,2,3,130,3,100,0,0,0,0,12
Tonatico,5,2,2,22,0,0,0,0,0,0,0,0,0,0,3
Tultepec,C,C,0,0,0,0,0,0,0,0,0,0,1,50,C
Tultitlan,4,2,0,0,2,39,0,0,0,0,0,0,0,0,2
Valle de Bravo,20,15,8,276,4,93,10,317,3,98,1,47,9,364,5
Villa de Allende,32,12,4,176,0,0,11,169,2,30,1,2,1,30,20
Villa del Carbon,11,8,2,154,0,0,8,228,3,61,3,46,1,193,3
Villa Guerrero,12,6,3,281,1,6,4,560,0,0,0,0,1,100,6
Villa Victoria,28,16,6,186,3,57,7,394,5,226,0,0,4,387,12
Xonacatlan,3,2,0,0,1,15,1,54,0,0,0,0,0,0,1
Zacazonapan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Zacualpan,12,4,2,56,0,0,1,9,2,56,0,0,3,59,8
Zinacantepec,18,8,4,201,3,60,4,64,3,123,0,0,0,0,10
Zumpahuacan,C,C,0,0,1,45,0,0,1,5,0,0,1,5,C
Zumpango,9,4,0,0,1,16,2,116,0,0,0,0,3,347,5
Cuautitlan Izcalli,9,3,1,8,2,25,3,134,1,8,1,8,1,70,6
Valle de Chalco Solidaridad,C,C,1,8,1,18,0,0,1,8,0,0,0,0,C
Luvianos,3,2,1,100,0,0,2,280,1,250,0,0,2,310,1
San Jose del Rincon,50,16,2,103,0,0,9,267,5,232,2,26,4,183,34
Michoacan de Ocampo,1910,431,134,7751,63,3185,255,9850,95,4805,45,2624,88,5332,1479
Acuitzio,8,1,1,27,1,27,1,27,0,0,0,0,1,27,7
Aguililla,16,1,0,0,0,0,0,0,1,20,0,0,0,0,15
alvaro Obregon,23,1,1,14,0,0,1,25,0,0,0,0,0,0,22
Angamacutiro,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Angangueo,6,1,1,3,1,3,1,3,0,0,1,3,1,3,5
Apatzingan,51,14,6,205,8,171,3,57,8,122,2,33,1,8,37
Aporo,C,C,1,1,0,0,1,1,0,0,0,0,0,0,C
Aquila,7,6,3,1420,0,0,5,1406,3,1365,1,10,3,1390,1
Ario,40,7,0,0,0,0,5,90,2,53,2,29,0,0,33
Arteaga,20,3,0,0,0,0,1,10,1,13,0,0,1,3,17
Briseñas,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Buenavista,47,2,2,10,1,4,0,0,0,0,0,0,1,4,45
Caracuaro,12,4,0,0,0,0,2,8,1,26,0,0,1,21,8
Coahuayana,12,4,0,0,0,0,2,52,4,98,0,0,0,0,8
Coalcoman de Vazquez Pallares,10,4,0,0,0,0,3,288,1,43,0,0,0,0,6
Coeneo,35,5,3,105,0,0,5,83,0,0,1,20,1,52,30
Contepec,30,5,1,2,0,0,3,52,1,2,2,14,3,72,25
Copandaro,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Cotija,19,2,0,0,0,0,2,27,1,20,1,5,0,0,17
Cuitzeo,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Charapan,4,1,0,0,0,0,1,5,0,0,0,0,0,0,3
Charo,17,5,1,95,1,95,3,14,2,60,0,0,0,0,12
Chavinda,12,1,1,5,1,5,1,5,1,5,1,5,1,5,11
Cheran,C,C,0,0,0,0,1,15,1,10,1,15,0,0,C
Chilchota,13,3,0,0,0,0,3,12,0,0,0,0,0,0,10
Chinicuila,8,3,2,31,1,27,1,10,0,0,1,21,0,0,5
Chucandiro,14,2,0,0,0,0,2,12,0,0,0,0,0,0,12
Churintzio,16,2,1,51,0,0,0,0,1,11,0,0,0,0,14
Churumuco,25,5,1,60,0,0,2,32,1,20,0,0,1,50,20
Ecuandureo,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Epitacio Huerta,15,5,2,84,1,28,2,11,1,28,2,72,0,0,10
Erongaricuaro,12,9,6,41,5,41,6,37,2,42,2,10,6,65,3
Gabriel Zamora,7,1,0,0,0,0,1,12,0,0,0,0,0,0,6
Hidalgo,31,14,1,23,1,23,12,407,0,0,0,0,4,81,17
La Huacana,68,18,6,116,3,61,11,279,5,148,0,0,3,55,50
Huandacareo,5,2,2,91,1,12,1,59,0,0,1,60,1,12,3
Huaniqueo,20,1,0,0,0,0,1,8,0,0,0,0,0,0,19
Huetamo,54,11,2,18,1,16,6,150,8,142,1,10,2,28,43
Huiramba,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Indaparapeo,12,4,1,30,0,0,2,8,1,19,1,10,0,0,8
Irimbo,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Ixtlan,13,3,2,150,0,0,1,2,0,0,1,26,1,124,10
Jacona,4,2,2,33,1,3,0,0,0,0,1,30,0,0,2
Jimenez,20,2,0,0,0,0,2,6,0,0,0,0,0,0,18
Jiquilpan,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Juarez,9,2,2,81,0,0,0,0,0,0,0,0,0,0,7
Jungapeo,17,2,0,0,1,22,1,11,0,0,0,0,0,0,15
Lagunillas,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Madero,15,7,0,0,0,0,7,245,1,20,0,0,0,0,8
Maravatio,34,6,2,74,0,0,3,113,1,30,1,20,0,0,28
Marcos Castellanos,8,1,0,0,0,0,1,5,0,0,0,0,0,0,7
Lazaro Cardenas,22,10,7,170,3,51,2,107,5,139,0,0,1,43,12
Morelia,83,12,0,0,0,0,12,246,1,21,1,21,1,17,71
Morelos,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Mugica,5,1,1,10,1,10,0,0,0,0,0,0,1,10,4
Nahuatzen,8,3,1,535,0,0,3,140,0,0,0,0,0,0,5
Nocupetaro,13,5,2,137,3,71,2,122,0,0,0,0,0,0,8
Nuevo Parangaricutiro,4,2,1,1254,1,1254,2,1289,1,1254,2,1289,1,1254,2
Nuevo Urecho,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Numaran,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ocampo,9,3,1,5,0,0,2,10,2,9,0,0,1,135,6
Pajacuaran,10,3,2,81,0,0,0,0,1,3,1,30,0,0,7
Panindicuaro,18,1,0,0,0,0,1,2,0,0,0,0,0,0,17
Paracuaro,21,6,3,352,0,0,1,22,2,33,0,0,0,0,15
Paracho,8,5,0,0,0,0,5,241,1,20,0,0,1,20,3
Patzcuaro,32,17,6,155,3,81,12,250,0,0,0,0,1,20,15
Penjamillo,22,5,2,75,0,0,3,103,2,130,1,100,2,130,17
Periban,8,3,1,22,0,0,3,48,0,0,0,0,0,0,5
La Piedad,26,1,1,66,1,30,0,0,0,0,0,0,0,0,25
Purepero,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Puruandiro,40,4,1,10,0,0,1,5,1,250,0,0,1,16,36
Querendaro,10,7,1,6,0,0,6,162,2,60,0,0,0,0,3
Quiroga,4,2,1,12,0,0,2,212,1,30,0,0,0,0,2
Cojumatlan de Regules,10,1,0,0,0,0,1,14,0,0,0,0,0,0,9
Los Reyes,18,2,2,75,1,28,0,0,0,0,0,0,1,28,16
Sahuayo,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
San Lucas,26,18,3,69,2,299,0,0,1,10,0,0,17,397,8
Santa Ana Maya,8,2,1,7,0,0,0,0,0,0,0,0,1,86,6
Salvador Escalante,37,13,4,76,2,46,12,394,0,0,0,0,0,0,24
Senguio,15,1,0,0,0,0,1,61,0,0,0,0,0,0,14
Susupuato,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Tacambaro,20,4,1,20,1,20,4,160,1,23,1,20,1,20,16
Tancitaro,12,1,0,0,0,0,0,0,0,0,1,55,0,0,11
Tangamandapio,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Tangancicuaro,21,8,4,54,2,4,2,45,3,38,0,0,1,3,13
Tanhuato,12,1,0,0,0,0,0,0,1,20,0,0,0,0,11
Taretan,14,4,2,43,0,0,2,22,0,0,0,0,0,0,10
Tarimbaro,29,5,2,75,0,0,1,3,2,12,0,0,1,20,24
Tepalcatepec,34,4,0,0,1,30,1,1,2,45,0,0,0,0,30
Tingambato,4,2,1,60,1,60,2,42,1,20,1,30,2,70,2
Tingüindin,7,1,0,0,0,0,1,86,0,0,0,0,1,86,6
Tiquicheo de Nicolas Romero,18,2,1,60,0,0,0,0,0,0,0,0,1,27,16
Tlalpujahua,11,6,0,0,0,0,5,134,0,0,1,75,2,33,5
Tlazazalca,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Tocumbo,9,2,0,0,0,0,2,103,0,0,0,0,0,0,7
Tumbiscatio,12,1,1,60,0,0,0,0,0,0,0,0,1,50,11
Turicato,21,5,1,70,1,55,2,60,3,54,0,0,0,0,16
Tuxpan,16,1,0,0,0,0,1,10,0,0,0,0,0,0,15
Tuzantla,28,3,2,107,0,0,1,20,1,20,1,20,0,0,25
Tzintzuntzan,8,2,1,150,0,0,2,32,0,0,0,0,0,0,6
Tzitzio,4,1,0,0,0,0,1,20,1,3,0,0,0,0,3
Uruapan,31,17,5,317,2,260,15,922,1,28,4,135,2,260,14
Venustiano Carranza,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Villamar,20,7,4,157,1,21,2,13,1,10,1,37,2,70,13
Vista Hermosa,6,1,1,80,0,0,0,0,0,0,0,0,0,0,5
Yurecuaro,13,1,0,0,0,0,0,0,1,20,0,0,0,0,12
Zacapu,24,9,1,50,0,0,8,265,3,112,3,181,4,213,15
Zamora,26,6,1,15,1,20,1,19,3,54,0,0,0,0,20
Zinaparo,7,1,1,14,1,14,0,0,0,0,0,0,1,15,6
Zinapecuaro,31,12,5,276,2,87,9,211,0,0,2,128,2,107,19
Ziracuaretiro,10,5,1,40,1,40,5,146,1,20,1,30,1,30,5
Zitacuaro,31,15,4,206,3,162,10,501,2,70,1,80,5,172,16
Jose Sixto Verduzco,18,3,1,10,1,4,1,20,0,0,0,0,0,0,15
Morelos,234,69,5,307,5,161,40,1578,34,864,14,795,14,1121,165
Amacuzac,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Atlatlahucan,C,C,0,0,0,0,2,78,2,32,0,0,1,60,C
Axochiapan,7,3,0,0,0,0,1,10,3,28,0,0,0,0,4
Ayala,16,4,0,0,0,0,3,266,3,50,1,20,0,0,12
Coatlan del Rio,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Cuautla,9,3,0,0,0,0,2,100,2,30,2,105,0,0,6
Cuernavaca,11,5,2,78,0,0,3,158,1,5,2,129,3,509,6
Emiliano Zapata,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Huitzilac,C,C,0,0,0,0,1,20,0,0,0,0,0,0,C
Jantetelco,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Jiutepec,7,1,0,0,0,0,1,20,0,0,0,0,0,0,6
Jojutla,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Jonacatepec,4,2,0,0,0,0,1,1,1,20,1,10,0,0,2
Mazatepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Miacatlan,6,2,0,0,0,0,2,45,1,33,1,15,0,0,4
Ocuituco,9,1,0,0,0,0,1,20,0,0,0,0,0,0,8
Puente de Ixtla,9,4,0,0,0,0,3,131,2,101,0,0,1,81,5
Temixco,8,4,0,0,1,6,1,30,1,22,0,0,2,199,4
Tepalcingo,10,7,2,130,2,130,4,157,5,147,2,354,2,64,3
Tepoztlµn,C,C,0,0,0,0,0,0,0,0,1,10,1,20,C
Tetecala,3,1,0,0,0,0,0,0,1,10,0,0,0,0,2
Tetela del Volcµn,7,3,0,0,0,0,2,153,0,0,0,0,1,50,4
Tlalnepantla,3,1,0,0,0,0,1,50,0,0,0,0,0,0,2
Tlaltizapµn,17,7,1,99,1,10,2,40,3,110,3,146,1,96,10
Tlaquiltenango,19,7,0,0,1,15,5,222,5,167,1,6,0,0,12
Tlayacapan,7,2,0,0,0,0,2,17,0,0,0,0,0,0,5
Totolapan,6,1,0,0,0,0,1,15,0,0,0,0,0,0,5
Xochitepec,6,1,0,0,0,0,1,25,1,6,0,0,0,0,5
Yautepec,10,2,0,0,0,0,0,0,0,0,0,0,2,42,8
Yecapixtla,11,2,0,0,0,0,1,20,1,3,0,0,0,0,9
Zacatepec de Hidalgo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Zacualpan de Amilpas,C,C,0,0,0,0,0,0,1,30,0,0,0,0,C
Temoac,4,1,0,0,0,0,0,0,1,70,0,0,0,0,3
Nayarit,404,226,145,11542,45,2511,106,4188,74,2550,37,1824,43,3248,178
Acaponeta,24,8,3,280,3,163,1,20,3,46,0,0,0,0,16
Ahuacatlan,8,3,2,214,1,109,2,13,1,11,0,0,0,0,5
Amatlan de Cañas,17,4,4,197,2,4,0,0,0,0,0,0,0,0,13
Compostela,31,21,14,998,4,251,17,413,8,175,5,84,9,307,10
Huajicori,10,6,4,109,3,59,4,274,2,14,0,0,1,29,4
Ixtlan del Rio,10,4,1,22,1,6,4,18,1,18,0,0,0,0,6
Jala,10,4,3,285,2,12,2,17,0,0,1,15,0,0,6
Xalisco,16,10,7,420,1,6,5,80,2,8,5,232,2,44,6
Del Nayar,24,16,13,1817,5,1146,7,1209,5,992,5,576,7,1296,8
Rosamorada,32,15,12,559,3,38,3,67,4,180,1,60,1,40,17
Ruiz,7,4,3,265,2,100,3,48,2,50,1,96,0,0,3
San Blas,33,25,11,1289,3,12,14,324,10,112,7,289,1,20,8
San Pedro Lagunillas,9,6,6,714,2,14,1,2,1,6,0,0,1,8,3
Santa Maria del Oro,17,12,8,596,4,302,4,13,5,79,2,25,0,0,5
Santiago Ixcuintla,58,35,20,1261,7,280,20,1113,12,422,6,388,14,1067,23
Tecuala,25,10,3,347,1,3,6,100,2,44,0,0,0,0,15
Tepic,51,30,22,1358,1,6,9,333,10,169,1,5,4,317,21
Tuxpan,6,5,3,137,0,0,3,104,4,134,2,14,0,0,1
La Yesca,4,2,0,0,0,0,0,0,1,50,0,0,2,80,2
Bahia de Banderas,12,6,6,674,0,0,1,40,1,40,1,40,1,40,6
Nuevo Leon,607,106,36,718,9,256,36,900,32,478,11,222,36,1533,501
Abasolo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Agualeguas,6,1,0,0,0,0,0,0,1,15,0,0,0,0,5
Los Aldamas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Allende,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Anahuac,13,3,1,11,1,11,0,0,3,49,1,8,1,11,10
Apodaca,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Aramberri,43,9,2,55,0,0,5,53,2,14,0,0,0,0,34
Bustamante,C,C,0,0,0,0,0,0,1,50,0,0,1,95,C
Cadereyta Jimenez,32,2,0,0,0,0,1,6,1,5,0,0,0,0,30
