INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tematica de la capacitacion recibida en ultimos cinco años,,,,,,,,,,,,,,,cuadro 36
y ejidatarios participantes por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,total,recibieron_capacitacion_tematica_organizacion_agraria_total,recibieron_capacitacion_tematica_organizacion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_administracion_agraria_total,recibieron_capacitacion_tematica_administracion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_ejidatarios_participantes,recibieron_capacitacion_tematica_comercializacion_total,recibieron_capacitacion_tematica_comercializacion_ejidatarios_participantes,recibieron_capacitacion_tematica_derechos_agrarios_total,recibieron_capacitacion_tematica_derechos_agrarios_ejidatarios_participantes,no recibieroncapacitacion sobre estas tematicas
Acacoyagua,18,12,9,596,2,126,7,274,3,62,2,121,5,551,6
Acala,28,1,1,100,0,0,0,0,0,0,0,0,0,0,27
Acapetahua,22,6,4,160,2,310,3,55,5,129,0,0,1,30,16
Altamirano,26,9,3,143,2,107,7,480,5,217,0,0,2,138,17
Amatan,22,2,1,74,1,70,1,75,0,0,0,0,0,0,20
Amatenango de la Frontera,13,5,1,37,0,0,4,249,0,0,1,50,3,118,8
Amatenango del Valle,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Angel Albino Corzo,15,7,3,333,0,0,6,544,0,0,1,40,3,328,8
Arriaga,24,12,9,401,9,490,7,292,7,340,2,89,4,256,12
Bejucal de Ocampo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Bella Vista,9,4,0,0,0,0,3,270,1,20,1,5,1,180,5
Berriozabal,16,4,2,130,0,0,2,113,0,0,0,0,1,90,12
Bochil,38,7,4,378,2,336,0,0,2,57,0,0,5,198,31
El Bosque,13,7,3,204,2,172,5,413,4,91,0,0,0,0,6
Cacahoatan,21,9,6,250,5,612,2,105,0,0,1,45,5,216,12
Catazaja,28,11,6,256,2,109,1,20,3,53,2,71,6,262,17
Cintalapa,81,21,2,160,0,0,18,713,8,177,2,78,1,110,60
Coapilla,9,5,2,150,1,86,1,30,1,37,2,90,2,62,4
Comitan de Dominguez,34,8,5,406,2,223,7,1243,3,373,3,529,4,385,26
La Concordia,43,13,5,367,1,300,7,512,6,419,3,320,3,379,30
Copainala,15,7,2,138,0,0,2,140,2,162,0,0,4,211,8
Chalchihuitan,C,C,1,58,0,0,0,0,0,0,0,0,0,0,C
Chamula,5,3,2,2304,1,105,1,2,0,0,0,0,2,3214,2
Chanal,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Chapultenango,9,1,1,44,0,0,0,0,0,0,0,0,0,0,8
Chenalho,10,3,2,497,2,169,2,184,1,147,2,164,2,257,7
Chiapa de Corzo,44,11,6,236,3,396,3,79,2,95,1,30,1,36,33
Chiapilla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Chicoasen,C,C,0,0,0,0,0,0,1,16,0,0,0,0,C
Chicomuselo,32,7,5,327,1,270,1,21,2,106,0,0,2,46,25
Chilon,25,5,4,204,1,51,2,77,0,0,0,0,1,28,20
Escuintla,35,18,7,514,3,200,10,453,5,210,2,106,4,428,17
Francisco Leon,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Frontera Comalapa,38,10,2,74,0,0,4,295,6,426,0,0,2,264,28
Frontera Hidalgo,C,C,1,6,0,0,0,0,0,0,0,0,1,164,C
La Grandeza,3,2,1,41,1,41,2,129,0,0,0,0,0,0,1
Huehuetan,19,8,4,840,4,690,1,30,3,56,0,0,0,0,11
Huixtan,19,3,0,0,0,0,3,65,1,50,0,0,0,0,16
Huitiupan,50,11,0,0,0,0,5,98,1,20,0,0,6,320,39
Huixtla,20,9,2,195,5,760,3,67,1,31,2,41,0,0,11
La Independencia,32,8,1,30,0,0,6,153,0,0,1,3,0,0,24
Ixhuatan,6,3,1,120,0,0,0,0,1,20,1,172,1,120,3
Ixtacomitan,12,7,2,117,2,255,2,140,5,144,0,0,1,120,5
Ixtapa,32,10,5,261,1,30,8,461,2,155,0,0,3,240,22
Ixtapangajoya,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Jiquipilas,64,11,3,152,0,0,9,420,1,15,3,62,2,72,53
Jitotol,22,4,3,212,0,0,3,75,0,0,0,0,0,0,18
Juarez,6,2,0,0,1,10,0,0,2,130,1,29,0,0,4
Larrainzar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
La Libertad,4,2,0,0,0,0,1,18,1,5,0,0,0,0,2
Mapastepec,56,26,22,1094,7,618,11,279,0,0,2,80,6,435,30
Las Margaritas,145,24,5,204,2,110,13,690,2,173,1,17,7,805,121
Mazapa de Madero,4,2,1,294,0,0,1,40,0,0,0,0,0,0,2
Mazatan,18,6,3,169,1,240,2,51,2,29,0,0,0,0,12
