INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie total de ejidos y comunidades Agrarias segun distribucion interna de la tierra ,,,,,,,,cuadro 1,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,superficie_total_(ha),distribucion_interna_de_la_tierra_(ha)_superficie_parcelada,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_uso_comun,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_reserva_de_crecimiento,otras_superficies_(ha),unidad_de_medida
San Juan Coatzospam,     C,2525.0000,700.0000,1797.0000,1787.0000,10.0000,10.0000,28.0000,Hectarea
San Juan Colorado,6,10028.6900,7483.2400,2302.1200,2067.3600,234.7600,2.0000,243.3400,Hectarea
San Juan Comaltepec,3,12177.0000,60.0000,11952.0000,11792.0000,160.0000,35.0000,165.0000,Hectarea
San Juan Cotzocon,18,132700.3400,54537.5000,77935.5500,77283.5500,652.0000,69.5000,227.2900,Hectarea
San Juan Chicomezuchil,     C,1420.0000,110.0000,1270.0000,1220.0000,50.0000,10.0000,40.0000,Hectarea
San Juan Chilateca,     C,195.1300,192.8200,0.0000,0.0000,0.0000,0.0000,2.3100,Hectarea
San Juan del Estado,     C,13750.0000,400.0000,13307.6000,13157.6000,150.0000,60.0000,42.4000,Hectarea
San Juan del Rio,     C,6948.0000,2084.0000,4784.0000,4754.0000,30.0000,0.0000,80.0000,Hectarea
San Juan Diuxi,     C,3513.0000,0.0000,3400.0000,3300.0000,100.0000,0.0000,113.0000,Hectarea
San Juan Evangelista Analco,     C,1658.0000,222.9000,1401.1000,1300.6800,100.4200,0.0000,34.0000,Hectarea
San Juan Guelavia,     C,2911.5000,1683.6300,1152.6400,1087.6400,65.0000,0.0000,75.2400,Hectarea
San Juan Guichicovi,31,88618.7600,50410.9300,36037.5100,34820.4600,1217.0500,302.6200,2170.3200,Hectarea
San Juan Ihualtepec,     C,7365.0000,1800.0000,5235.0000,5201.0000,34.0000,30.0000,330.0000,Hectarea
San Juan Juquila Mixes,     C,23849.0000,5500.0000,18310.0000,18230.0000,80.0000,10.0000,39.0000,Hectarea
San Juan Juquila Vijanos,     C,6192.0000,2800.0000,3350.0000,3338.0000,12.0000,0.0000,42.0000,Hectarea
San Juan Lachao,     C,15328.0000,13912.0000,1400.0000,1300.0000,100.0000,40.0000,16.0000,Hectarea
San Juan Lachigalla,4,6488.0000,1519.0000,4658.0000,4601.0000,57.0000,0.0000,311.0000,Hectarea
San Juan Lajarcia,     C,18184.8000,500.0000,17651.8000,17502.8000,149.0000,134.0000,33.0000,Hectarea
San Juan Lalana,4,49664.0000,18814.0000,30840.0000,30576.0000,264.0000,0.0000,10.0000,Hectarea
San Juan de los Cues,     C,12960.0000,4410.0000,8090.0000,8000.0000,90.0000,30.0000,460.0000,Hectarea
San Juan Mazatlan,20,156656.3800,31094.6900,125303.8300,124550.2500,753.5800,136.0000,257.8600,Hectarea
San Juan Mixtepec -Distr. 08-,     C,38960.0000,12300.0000,22660.0000,22510.0000,150.0000,0.0000,4000.0000,Hectarea
San Juan Mixtepec -Distr. 26-,     C,7500.0000,7486.0000,9.0000,9.0000,0.0000,0.0000,5.0000,Hectarea
San Juan Ñumi,3,20277.2500,9645.0000,10421.2500,10335.7500,85.5000,12.0000,211.0000,Hectarea
San Juan Ozolotepec,4,24970.4000,10027.0000,14893.2500,14697.2500,196.0000,3.0000,50.1500,Hectarea
San Juan Petlapa,6,22559.0000,3268.0000,19169.0000,19127.0000,42.0000,10.0000,122.0000,Hectarea
San Juan Quiahije,     C,25034.0000,12455.0000,12459.0000,12414.0000,45.0000,5.0000,120.0000,Hectarea
San Juan Quiotepec,4,19888.0000,1060.0000,18756.0000,18529.0000,227.0000,40.0000,72.0000,Hectarea
San Juan Sayultepec,3,1455.6900,1170.0800,190.5200,108.4000,82.1200,21.0400,95.0900,Hectarea
San Juan Tabaa,     C,1946.5500,1566.0000,380.5500,350.5500,30.0000,0.0000,0.0000,Hectarea
San Juan Tamazola,     C,37346.0000,11993.0000,25297.0000,25187.0000,110.0000,25.0000,56.0000,Hectarea
San Juan Teita,     C,7821.0000,80.0000,7716.0000,7691.0000,25.0000,0.0000,25.0000,Hectarea
San Juan Teitipac,     C,5419.0000,517.3000,4124.7000,4054.7000,70.0000,0.0000,777.0000,Hectarea
San Juan Tepeuxila,5,25683.1000,7250.0000,17973.1000,17683.1000,290.0000,65.0000,460.0000,Hectarea
San Juan Teposcolula,     C,6785.0000,5306.1400,1427.1300,1260.9900,166.1400,3.3400,51.7300,Hectarea
San Juan Yae,3,3434.0000,1651.0000,1679.0000,1534.0000,145.0000,20.0000,104.0000,Hectarea
San Juan Yatzona,     C,12000.0000,3000.0000,7500.0000,7491.5000,8.5000,3.0000,1500.0000,Hectarea
San Juan Yucuita,     C,3506.0400,1184.4900,2242.9500,1999.9900,242.9600,7.7300,78.6000,Hectarea
San Lorenzo,3,5791.2000,5606.4500,153.0000,1.0000,152.0000,12.0000,31.7500,Hectarea
San Lorenzo Albarradas,3,13329.9800,7702.5000,5317.6600,5039.4500,278.2100,98.9000,309.8200,Hectarea
San Lorenzo Cacaotepec,3,6508.7400,3888.7000,2576.8400,2530.0100,46.8300,10.0000,43.2000,Hectarea
San Lorenzo Texmelucan,     C,14110.0000,7100.0000,6507.0000,6407.0000,100.0000,0.0000,503.0000,Hectarea
San Lorenzo Victoria,     C,9009.0000,550.0000,8446.0000,8359.5000,86.5000,0.5000,13.0000,Hectarea
San Lucas Camotlan,     C,7392.0000,3600.0000,3282.0000,3168.0000,114.0000,114.0000,510.0000,Hectarea
San Lucas Ojitlan,31,19692.2200,10011.6100,9628.0000,9141.5000,486.5000,49.0000,52.1600,Hectarea
San Lucas Quiavini,     C,5177.6400,616.4200,4555.4900,3955.4900,600.0000,0.0000,5.7300,Hectarea
San Luis Amatlan,     C,16878.0000,2731.0000,14023.0000,13992.0000,31.0000,0.0000,124.0000,Hectarea
San Marcos Arteaga,3,8087.0000,851.0000,7145.0000,7015.0000,130.0000,21.0000,91.0000,Hectarea
San Martin de los Cansecos,     C,2783.0000,300.0000,2033.0000,2018.0000,15.0000,0.0000,450.0000,Hectarea
San Martin Huamelulpam,     C,4510.0000,500.0000,4005.0000,3975.0000,30.0000,0.0000,5.0000,Hectarea
San Martin Itunyoso,     C,20277.7500,8270.7500,11320.0000,11100.0000,220.0000,60.0000,687.0000,Hectarea
San Martin Lachila,     C,2000.0000,500.0000,1470.0000,1390.0000,80.0000,0.0000,30.0000,Hectarea
San Martin Peras,     C,20938.6700,9900.0000,10591.6700,10021.6700,570.0000,0.0000,447.0000,Hectarea
San Martin Tilcajete,     C,2300.0000,1585.0000,510.0000,500.0000,10.0000,5.0000,205.0000,Hectarea
San Martin Toxpalan,     C,7414.0000,4400.0000,2810.0000,2700.0000,110.0000,32.0000,204.0000,Hectarea
San Mateo Cajonos,     C,1500.0000,400.0000,1094.0000,1073.0000,21.0000,7.0000,6.0000,Hectarea
Capulalpam de Mendez,     C,3850.0000,394.9800,3385.0200,3300.8800,84.1400,0.0000,70.0000,Hectarea
San Mateo del Mar,     C,7716.0000,5660.0000,1920.0000,1820.0000,100.0000,0.0000,136.0000,Hectarea
San Mateo Etlatongo,     C,1814.8700,1025.8700,458.0000,208.0000,250.0000,40.0000,331.0000,Hectarea
San Mateo Nejapam,     C,6397.0000,0.0000,6335.0000,6229.0000,106.0000,0.0000,62.0000,Hectarea
San Mateo Peñasco,     C,5355.0000,1500.0000,3853.0000,3695.0000,158.0000,0.0000,2.0000,Hectarea
San Mateo Rio Hondo,     C,190.0000,0.0000,190.0000,190.0000,0.0000,0.0000,0.0000,Hectarea
San Mateo Sindihui,     C,10300.0000,2500.0000,7450.0000,7450.0000,0.0000,0.0000,350.0000,Hectarea
San Mateo Tlapiltepec,     C,2432.0000,333.0000,2087.0000,1970.0000,117.0000,0.0000,12.0000,Hectarea
San Melchor Betaza,     C,3942.0000,1013.0000,2903.0200,2848.0200,55.0000,17.0000,25.9800,Hectarea
San Miguel Achiutla,     C,6882.0000,690.0000,5992.0000,4991.0000,1001.0000,0.0000,200.0000,Hectarea
San Miguel Aloapam,     C,13508.0000,800.0000,12308.0000,12268.0000,40.0000,5.0000,400.0000,Hectarea
San Miguel Amatitlan,9,20130.7000,2759.1200,17323.2900,15437.1700,1886.1200,8.0000,48.2900,Hectarea
San Miguel Coatlan,     C,12234.6100,0.0000,12183.4400,12183.4400,0.0000,0.0000,51.1700,Hectarea
San Miguel Chicahua,     C,6144.4800,2928.6300,3163.9300,3049.5900,114.3400,0.0000,51.9200,Hectarea
San Miguel Chimalapa,     C,137779.0000,81700.0000,55952.0000,55732.0000,220.0000,110.0000,127.0000,Hectarea
San Miguel del Puerto,3,33021.6500,6065.0000,23401.0000,23329.0000,72.0000,0.0000,3555.6500,Hectarea
San Miguel Ejutla,     C,692.0000,671.0000,10.0000,5.0000,5.0000,0.0000,11.0000,Hectarea
San Miguel el Grande,     C,10036.0000,1310.0000,8706.0000,8526.0000,180.0000,40.0000,20.0000,Hectarea
San Miguel Huautla,     C,9352.0000,695.0000,8377.0000,8325.0000,52.0000,0.0000,280.0000,Hectarea
San Miguel Mixtepec,     C,8515.8800,2500.0000,5514.9000,5500.0000,14.9000,5.9000,500.9800,Hectarea
San Miguel Panixtlahuaca,     C,19065.0000,12920.0000,6080.0000,6000.0000,80.0000,8.0000,65.0000,Hectarea
San Miguel Peras,     C,14634.0000,0.0000,14476.0000,13776.0000,700.0000,220.0000,158.0000,Hectarea
San Miguel Piedras,     C,4510.2000,0.0000,4488.3000,4063.3000,425.0000,200.0000,21.9000,Hectarea
San Miguel Quetzaltepec,     C,24014.0000,7525.0000,15989.0000,15839.0000,150.0000,0.0000,500.0000,Hectarea
San Miguel Santa Flor,     C,400.0000,140.0000,258.0000,248.0000,10.0000,6.0000,2.0000,Hectarea
Villa Sola de Vega,6,108682.2000,39414.0000,69024.2000,68486.0000,538.2000,28.0000,244.0000,Hectarea
Nuevo Soyaltepec,35,43316.5900,26848.8700,16124.0200,15022.6800,1101.3400,75.0000,343.7000,Hectarea
San Miguel Suchixtepec,     C,153.0000,0.0000,151.0000,151.0000,0.0000,0.0000,2.0000,Hectarea
Villa Talea de Castro,3,5626.0000,3516.0000,2100.0000,2034.0000,66.0000,5.0000,10.0000,Hectarea
San Miguel Tecomatlan,     C,2566.0000,1180.0000,1376.0000,1305.0000,71.0000,10.0000,10.0000,Hectarea
San Miguel Tenango,     C,17272.6400,3.8800,17153.9100,17069.5500,84.3600,0.0000,114.8500,Hectarea
San Miguel Tequixtepec,     C,15092.6000,3948.8800,10738.7100,10403.7500,334.9600,0.0000,405.0100,Hectarea
San Miguel Tilquiapam,     C,6507.6600,4295.9000,2199.6700,1542.4700,657.2000,0.0000,12.0900,Hectarea
San Miguel Tlacamama,4,9279.1800,9020.6300,209.6100,0.0000,209.6100,1.0000,48.9400,Hectarea
San Miguel Tlacotepec,     C,8644.0000,2000.0000,6600.0000,6000.0000,600.0000,0.0000,44.0000,Hectarea
San Miguel Tulancingo,     C,4576.0000,279.0000,4283.0000,4250.0000,33.0000,0.0000,14.0000,Hectarea
San Miguel Yotao,     C,3665.0000,400.0000,3205.0000,3145.0000,60.0000,10.0000,60.0000,Hectarea
San Nicolas Hidalgo,     C,2219.6700,1091.0000,1053.1700,1005.1700,48.0000,0.0000,75.5000,Hectarea
San Pablo Coatlan,3,17617.6700,1530.0000,14808.6100,14375.6100,433.0000,10.0000,1279.0600,Hectarea
San Pablo Cuatro Venados,     C,7628.6000,0.0000,7598.6000,7388.6000,210.0000,15.0000,30.0000,Hectarea
San Pablo Etla,3,4392.1100,678.0700,3671.7600,3400.6400,271.1200,90.6500,42.2800,Hectarea
San Pablo Huitzo,     C,7382.6000,670.0000,6438.6000,5838.6000,600.0000,200.0000,274.0000,Hectarea
San Pablo Huixtepec,     C,2637.9300,1134.1400,1499.2400,1473.6900,25.5500,0.0000,4.5500,Hectarea
San Pablo Macuiltianguis,     C,14023.0000,400.0000,13595.0000,13550.0000,45.0000,5.0000,28.0000,Hectarea
San Pablo Tijaltepec,     C,9738.0000,4400.0000,5333.0000,4733.0000,600.0000,0.0000,5.0000,Hectarea
San Pablo Villa de Mitla,6,27539.7200,1343.4800,26101.8900,25715.7100,386.1800,0.0000,94.3500,Hectarea
San Pablo Yaganiza,     C,3541.2000,0.0200,3524.7200,3490.6200,34.1000,0.0000,16.4600,Hectarea
San Pedro Amuzgos,     C,11897.1200,11321.2900,550.3100,341.8900,208.4200,0.0000,25.5200,Hectarea
San Pedro Apostol,     C,456.7900,363.1600,87.0000,87.0000,0.0000,0.0000,6.6300,Hectarea
San Pedro Atoyac,3,6935.3900,6824.2800,45.8600,4.0000,41.8600,0.0000,65.2400,Hectarea
San Pedro Cajonos,     C,3580.0000,385.0000,3175.0000,3151.0000,24.0000,0.0000,20.0000,Hectarea
San Pedro Coxcaltepec Cantaros,     C,10127.1900,2111.1100,8001.9600,7986.9600,15.0000,0.0000,14.1200,Hectarea
San Pedro Comitancillo,     C,8345.0000,8345.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
San Pedro el Alto,     C,6665.0000,4000.0000,2600.0000,2450.0000,150.0000,0.0000,65.0000,Hectarea
San Pedro Huamelula,4,64671.0000,5274.0000,58626.0000,57954.0000,672.0000,0.0000,771.0000,Hectarea
San Pedro Huilotepec,     C,2650.0000,948.0000,1514.0000,1450.0000,64.0000,50.0000,188.0000,Hectarea
San Pedro Ixcatlan,8,2382.0000,1693.0000,683.0000,608.0000,75.0000,1.0000,6.0000,Hectarea
San Pedro Ixtlahuaca,     C,999.6500,921.3600,46.9700,5.0000,41.9700,15.2700,31.2300,Hectarea
San Pedro Jaltepetongo,     C,5749.0000,750.0000,4951.0000,4901.0000,50.0000,0.0000,48.0000,Hectarea
San Pedro Jicayan,     C,8514.0000,8118.0000,208.0000,0.0000,208.0000,0.0000,188.0000,Hectarea
San Pedro Jocotipac,     C,12984.0800,4000.0000,8956.2800,8803.5100,152.7700,0.0000,27.8000,Hectarea
San Pedro Juchatengo,     C,4700.0000,3500.0000,100.0000,0.0000,100.0000,0.0000,1100.0000,Hectarea
San Pedro Martir,     C,440.2700,392.1300,8.8200,0.0000,8.8200,0.0000,39.3200,Hectarea
San Pedro Martir Quiechapa,     C,7400.0000,6890.0000,510.0000,500.0000,10.0000,0.0000,0.0000,Hectarea
San Pedro Martir Yucuxaco,     C,8188.0000,800.0000,7370.0000,7370.0000,0.0000,0.0000,18.0000,Hectarea
San Pedro Mixtepec -Distr. 22-,     C,34010.0000,32876.0000,1124.0000,984.0000,140.0000,0.0000,10.0000,Hectarea
San Pedro Mixtepec -Distr. 26-,     C,15703.0000,15488.0000,207.0000,200.0000,7.0000,3.0000,8.0000,Hectarea
San Pedro Molinos,     C,2748.0000,1943.0000,800.0000,300.0000,500.0000,0.0000,5.0000,Hectarea
San Pedro Nopala,     C,7483.0000,331.0000,7151.0000,7130.0000,21.0000,0.0000,1.0000,Hectarea
San Pedro Ocopetatillo,     C,680.0000,200.0000,470.0000,70.0000,400.0000,100.0000,10.0000,Hectarea
San Pedro Ocotepec,     C,21800.0000,6520.0000,15198.0000,15128.0000,70.0000,30.0000,82.0000,Hectarea
San Pedro Pochutla,     C,44213.8000,39240.0000,3170.8000,2300.0000,870.8000,205.0000,1803.0000,Hectarea
San Pedro Quiatoni,     C,54800.0000,10000.0000,44680.0000,44650.0000,30.0000,10.0000,120.0000,Hectarea
San Pedro Sochiapam,5,14481.0000,10536.0000,3814.0000,3639.0000,175.0000,6.0000,131.0000,Hectarea
San Pedro Tapanatepec,8,23263.0000,17224.0000,5877.0000,5265.0000,612.0000,40.0000,162.0000,Hectarea
San Pedro Taviche,     C,9345.5000,341.2200,8832.0000,8622.4900,209.5100,150.0000,172.2800,Hectarea
San Pedro Teozacoalco,     C,8000.0000,2000.0000,5998.0000,5498.0000,500.0000,0.0000,2.0000,Hectarea
San Pedro Teutila,3,21199.6000,6150.0000,14934.1600,14614.8100,319.3500,19.0000,115.4400,Hectarea
San Pedro Tidaa,     C,4583.5000,530.0000,4012.5000,3600.0000,412.5000,0.0000,41.0000,Hectarea
San Pedro Topiltepec,     C,3392.0000,883.0000,2451.0000,2391.0000,60.0000,0.0000,58.0000,Hectarea
San Pedro Totolapa,3,39608.0000,6185.0000,33011.0000,32711.0000,300.0000,75.0000,412.0000,Hectarea
Villa de Tututepec de Melchor Ocampo,6,98896.8000,44431.6500,53134.6500,52443.6500,691.0000,50.0000,1330.5000,Hectarea
San Pedro Yaneri,     C,7295.0000,650.0000,6533.0000,6473.0000,60.0000,10.0000,112.0000,Hectarea
San Pedro Yolox,6,26315.0000,3706.0000,21833.0000,21418.0000,415.0000,100.5000,776.0000,Hectarea
San Pedro y San Pablo Ayutla,     C,18000.0000,17770.0000,160.0000,65.0000,95.0000,60.0000,70.0000,Hectarea
Villa de Etla,     C,526.8600,349.8600,160.0000,0.0000,160.0000,100.0000,17.0000,Hectarea
San Pedro y San Pablo Teposcolula,7,16590.2700,2743.9400,13733.3800,13508.7300,224.6500,0.0000,112.9500,Hectarea
San Pedro y San Pablo Tequixtepec,8,21973.2800,3349.9000,18527.6000,18108.1000,419.5000,23.5000,95.7800,Hectarea
San Pedro Yucunama,     C,2497.5700,0.0000,2495.5500,2495.5500,0.0000,0.0000,2.0200,Hectarea
San Raymundo Jalpan,     C,337.0000,325.0000,0.0000,0.0000,0.0000,0.0000,12.0000,Hectarea
San Sebastian Abasolo,     C,1870.0000,1091.0000,761.0000,603.0000,158.0000,0.0000,18.0000,Hectarea
San Sebastian Coatlan,     C,25211.4000,8000.0000,12671.4000,12541.4000,130.0000,0.0000,4540.0000,Hectarea
San Sebastian Ixcapa,7,14331.2400,14177.3500,101.3300,9.3300,92.0000,5.0000,52.5600,Hectarea
San Sebastian Nicananduta,     C,4750.0000,1375.0000,3360.0000,3325.0000,35.0000,0.0000,15.0000,Hectarea
San Sebastian Rio Hondo,4,4035.0000,3546.0000,388.5000,316.5000,72.0000,10.0000,100.5000,Hectarea
San Sebastian Tecomaxtlahuaca,3,23383.0000,6947.0000,15080.0000,14734.0000,346.0000,200.0000,1356.0000,Hectarea
San Sebastian Teitipac,     C,2733.9800,1282.2100,1205.0200,1125.0200,80.0000,0.0000,246.7500,Hectarea
San Sebastian Tutla,     C,580.0000,70.8000,497.2000,249.2000,248.0000,2.0000,12.0000,Hectarea
San Simon Almolongas,     C,2200.0000,806.0000,1385.0000,1285.0000,100.0000,0.0000,9.0000,Hectarea
San Simon Zahuatlan,     C,5134.2000,1600.0000,3534.0000,3034.0000,500.0000,0.0000,0.2000,Hectarea
Santa Ana,     C,6338.0000,606.0000,5602.0000,5602.0000,0.0000,0.0000,130.0000,Hectarea
Santa Ana Cuauhtemoc,     C,4080.0000,2032.0000,2045.0000,2000.0000,45.0000,15.0000,3.0000,Hectarea
Santa Ana del Valle,     C,2844.0000,0.0000,2844.0000,2644.0000,200.0000,0.0000,0.0000,Hectarea
Santa Ana Tavela,     C,17235.0000,6.6400,17051.8200,16920.0000,131.8200,0.0000,176.5400,Hectarea
Santa Ana Tlapacoyan,     C,3582.0000,185.0000,3327.0000,3302.0000,25.0000,0.0000,70.0000,Hectarea
Santa Ana Yareni,     C,4595.6500,20.0000,4569.0900,3948.5600,620.5300,20.0000,6.5600,Hectarea
Santa Ana Zegache,     C,4738.7000,4277.0000,461.7000,0.0000,461.7000,0.0000,0.0000,Hectarea
Santa Catalina Quieri,     C,9189.2000,3000.0000,6169.2000,5969.2000,200.0000,20.0000,20.0000,Hectarea
Santa Catarina Cuixtla,     C,3534.1500,0.0000,2976.2200,2976.2200,0.0000,0.0000,557.9300,Hectarea
Santa Catarina Ixtepeji,     C,21999.0000,4590.0000,17309.0000,17229.0000,80.0000,18.0000,100.0000,Hectarea
Santa Catarina Juquila,6,114514.1500,66336.0000,47735.0000,46503.0000,1232.0000,125.0000,443.1500,Hectarea
Santa Catarina Lachatao,     C,24932.0000,578.7500,23584.0000,23400.0000,184.0000,0.0000,769.2500,Hectarea
Santa Catarina Loxicha,     C,12749.7000,60.0000,12659.7000,12379.7000,280.0000,40.0000,30.0000,Hectarea
Santa Catarina Mechoacan,     C,5840.0000,4032.0000,1808.0000,1728.0000,80.0000,30.0000,0.0000,Hectarea
Santa Catarina Minas,     C,3116.8400,311.0000,2799.3400,2799.3400,0.0000,0.0000,6.5000,Hectarea
Santa Catarina Quiane,     C,1608.7200,893.3500,715.3700,490.3700,225.0000,0.0000,0.0000,Hectarea
Santa Catarina Tayata,     C,3859.0000,1288.0000,2459.0000,2327.0000,132.0000,0.0000,112.0000,Hectarea
Santa Catarina Ticua,     C,2789.5000,1500.0000,1287.5000,700.0000,587.5000,0.0000,2.0000,Hectarea
Santa Catarina Yosonotu,     C,4112.0000,2000.0000,2110.0000,2050.0000,60.0000,20.0000,2.0000,Hectarea
Santa Catarina Zapoquila,3,10792.1700,981.0500,9777.6800,9630.5300,147.1500,0.0000,33.4400,Hectarea
Santa Cruz Amilpas,     C,220.0000,28.9000,175.1000,2.5000,172.6000,10.0000,16.0000,Hectarea
Santa Cruz Itundujia,     C,56916.1400,36361.1400,19489.0000,19400.0000,89.0000,0.0000,1066.0000,Hectarea
Santa Cruz Mixtepec,4,4308.0000,2192.0000,1907.0000,1737.0000,170.0000,0.0000,209.0000,Hectarea
Santa Cruz Nundaco,     C,5220.0000,2600.0000,2616.0000,2613.0000,3.0000,0.0000,4.0000,Hectarea
Santa Cruz Papalutla,     C,1386.0000,1000.0000,336.0000,276.0000,60.0000,5.0000,50.0000,Hectarea
Santa Cruz Tacache de Mina,     C,2688.0000,795.0000,1891.0000,1796.0000,95.0000,0.0000,2.0000,Hectarea
Santa Cruz Tacahua,     C,4741.0000,4718.0000,18.0000,13.0000,5.0000,0.0000,5.0000,Hectarea
Santa Cruz Tayata,     C,364.0000,168.0000,179.0000,163.0000,16.0000,0.0000,17.0000,Hectarea
Santa Cruz Xitla,     C,4130.0000,2500.0000,1628.0000,1326.0000,302.0000,0.0000,2.0000,Hectarea
Santa Cruz Xoxocotlan,5,1360.8700,467.4600,853.1200,415.8000,437.3200,4.0000,40.2900,Hectarea
Santa Cruz Zenzontepec,     C,55600.0000,35053.0000,20547.0000,20320.0000,227.0000,0.0000,0.0000,Hectarea
Santa Gertrudis,5,1292.8000,1101.1000,166.6500,85.4200,81.2300,1.0000,25.0500,Hectarea
Santa Ines del Monte,     C,4109.6000,0.0000,4109.6000,3909.6000,200.0000,0.0000,0.0000,Hectarea
Santa Lucia del Camino,     C,452.0000,309.0000,126.5000,10.0000,116.5000,0.0000,16.5000,Hectarea
Santa Lucia Miahuatlan,     C,6997.2500,1.6300,6967.2900,6967.2900,0.0000,0.0000,28.3300,Hectarea
Santa Lucia Monteverde,4,15750.0000,8058.6400,7584.3600,7218.3600,366.0000,80.0000,107.0000,Hectarea
Santa Lucia Ocotlan,     C,640.0000,620.0000,10.0000,0.0000,10.0000,5.0000,10.0000,Hectarea
Santa Maria Alotepec,3,10153.0000,4756.0000,5279.0000,5089.0000,190.0000,65.0000,118.0000,Hectarea
Santa Maria Apazco,     C,8018.8000,2385.9600,5545.4700,5514.7800,30.6900,0.0000,87.3700,Hectarea
Heroica Ciudad de Tlaxiaco,8,11560.7000,7675.0000,3843.7000,3636.7000,207.0000,19.0000,42.0000,Hectarea
Ayoquezco de Aldama,     C,12689.0000,600.0000,12060.0000,11990.0000,70.0000,0.0000,29.0000,Hectarea
Santa Maria Atzompa,     C,837.4100,194.7300,619.2900,513.1400,106.1500,0.0000,23.3900,Hectarea
Santa Maria Camotlan,     C,9404.4000,96.0000,9299.8000,9036.6000,263.2000,100.0000,8.6000,Hectarea
Santa Maria Colotepec,     C,57346.0000,55383.0000,1300.0000,800.0000,500.0000,100.0000,663.0000,Hectarea
Santa Maria Cortijo,     C,8767.0000,8531.0000,86.0000,0.0000,86.0000,0.0000,150.0000,Hectarea
Santa Maria Coyotepec,     C,1800.0000,341.0000,1459.0000,1389.0000,70.0000,20.0000,0.0000,Hectarea
Santa Maria Chachoapam,     C,4716.0000,924.5000,3761.5900,3699.6600,61.9300,0.5000,29.9100,Hectarea
Santa Maria Chilapa de Diaz,4,20047.0100,426.2200,19594.3200,19484.3500,109.9700,0.0000,26.4700,Hectarea
Santa Maria Chilchotla,5,3347.9300,996.1400,2347.1700,2267.6300,79.5400,4.0000,4.6200,Hectarea
Santa Maria Chimalapa,3,466130.0000,52722.0000,409762.0000,408925.0000,837.0000,8.0000,3646.0000,Hectarea
Santa Maria del Rosario,     C,2468.0000,503.0000,1948.0000,1904.0000,44.0000,5.0000,17.0000,Hectarea
Santa Maria del Tule,3,1429.0000,593.0000,809.0000,804.0000,5.0000,0.0000,27.0000,Hectarea
Santa Maria Ecatepec,9,72436.0200,8.0000,72092.9100,71805.3900,287.5200,151.0000,335.1100,Hectarea
Santa Maria Guelace,     C,450.0000,313.0000,126.0000,85.0000,41.0000,0.0000,11.0000,Hectarea
Santa Maria Guienagati,     C,76000.0000,0.0000,72215.7500,72115.7500,100.0000,0.0000,3784.2500,Hectarea
Santa Maria Huatulco,     C,31000.0000,21711.0000,8765.0000,8340.0000,425.0000,7.0000,524.0000,Hectarea
Santa Maria Huazolotitlan,6,24900.0000,24138.0000,344.0000,33.0000,311.0000,46.0000,418.0000,Hectarea
Santa Maria Ipalapa,3,15553.2000,12810.0000,2697.0000,2630.0000,67.0000,10.0000,46.2000,Hectarea
Santa Maria Ixcatlan,     C,41530.0000,305.2700,41164.3800,41056.3500,108.0300,10.0000,60.3500,Hectarea
Santa Maria Jacatepec,15,29568.2300,5963.4000,23497.5600,23136.3400,361.2200,0.0000,107.2700,Hectarea
Santa Maria Jalapa del Marques,     C,64176.0000,6417.0000,51984.0000,51939.0000,45.0000,0.0000,5775.0000,Hectarea
Santa Maria Jaltianguis,     C,5670.0000,3486.0000,1589.0000,1500.0000,89.0000,0.0000,595.0000,Hectarea
Santa Maria Mixtequilla,     C,23000.0000,30.0000,22930.0000,22805.0000,125.0000,40.0000,40.0000,Hectarea
Santa Maria Nativitas,     C,4308.9800,4.1200,4208.4300,4079.9900,128.4400,0.0000,96.4300,Hectarea
Santa Maria Nduayaco,3,7314.0000,608.0800,6689.7500,6661.6000,28.1500,9.0000,16.1700,Hectarea
Santa Maria Papalo,     C,6022.0000,1500.0000,4497.0000,4477.0000,20.0000,0.0000,25.0000,Hectarea
Santa Maria Peñoles,4,25210.9000,16551.0000,7554.9000,7451.9000,103.0000,0.0000,1105.0000,Hectarea
Santa Maria Petapa,     C,37270.0000,3770.0000,31730.0000,31530.0000,200.0000,0.0000,1770.0000,Hectarea
Santa Maria Quiegolani,     C,23956.0000,55.0000,23887.5000,23873.5000,14.0000,4.5000,13.5000,Hectarea
Santa Maria Sola,4,4233.0000,1416.0000,2805.0000,2698.7500,106.2500,0.0000,12.0000,Hectarea
Santa Maria Tataltepec,     C,9899.0000,340.0000,9159.0000,8959.0000,200.0000,150.0000,400.0000,Hectarea
Santa Maria Tecomavaca,     C,14927.3700,1421.9100,13415.7000,13296.4300,119.2700,0.0000,89.7600,Hectarea
Santa Maria Temaxcalapa,     C,1339.0000,991.5000,344.5000,334.5000,10.0000,2.0000,3.0000,Hectarea
Santa Maria Temaxcaltepec,     C,16993.0000,8100.0000,8882.0000,8874.0000,8.0000,0.0000,11.0000,Hectarea
