INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie total de ejidos y comunidades Agrarias segun distribucion interna de la tierra ,,,,,,,,cuadro 1,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,superficie_total_(ha),distribucion_interna_de_la_tierra_(ha)_superficie_parcelada,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_uso_comun,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_reserva_de_crecimiento,otras_superficies_(ha),unidad_de_medida
La Independencia,32,37848.2500,18998.0000,18493.7500,17526.0800,967.6700,83.0000,356.5000,Hectarea
Ixhuatan,6,6790.0000,6489.0000,173.0000,70.0000,103.0000,0.0000,128.0000,Hectarea
Ixtacomitan,12,6123.0000,5862.0000,186.5000,28.5000,158.0000,5.5000,74.5000,Hectarea
Ixtapa,32,27526.4000,18357.9600,8810.0900,8167.6900,642.4000,2.5000,358.3500,Hectarea
Ixtapangajoya,4,3579.0000,3018.5000,353.5000,289.5000,64.0000,2.0000,207.0000,Hectarea
Jiquipilas,64,78124.0000,52178.0000,24420.0000,23335.0000,1085.0000,8.5000,1526.0000,Hectarea
Jitotol,22,17996.0000,13095.0000,4708.0000,3965.0000,743.0000,50.0000,193.0000,Hectarea
Juarez,6,6170.0000,5648.0000,436.0000,339.0000,97.0000,45.0000,86.0000,Hectarea
Larrainzar,3,15931.0000,621.0000,15229.0000,14517.0000,712.0000,0.0000,81.0000,Hectarea
La Libertad,4,5996.8700,5672.4000,275.3500,78.6500,196.7000,0.0000,49.1200,Hectarea
Mapastepec,56,67365.0000,42878.0000,23609.0000,22448.0000,1161.0000,93.0000,878.0000,Hectarea
Las Margaritas,145,206704.4800,82098.8200,121762.6000,116612.6000,5150.0100,474.9600,2843.0600,Hectarea
Mazapa de Madero,4,9860.0000,9190.0000,636.0000,566.0000,70.0000,0.0000,34.0000,Hectarea
Mazatan,18,21563.0000,17708.0000,3824.5000,3121.0000,703.5000,0.0000,30.5000,Hectarea
Metapa,     C,871.0000,839.0000,0.0000,0.0000,0.0000,0.0000,32.0000,Hectarea
Mitontic,     C,3150.7500,2199.5000,893.2500,872.2500,21.0000,1.2500,58.0000,Hectarea
Motozintla,43,39771.0000,24668.5000,12892.0000,12087.0000,805.0000,222.0000,2210.5000,Hectarea
Ocosingo,159,789758.2200,110571.8800,549527.2900,470547.3000,78979.9900,25517.5000,129659.0500,Hectarea
Ocotepec,     C,8097.4800,0.0000,8043.4800,7943.4800,100.0000,0.0000,54.0000,Hectarea
