INEGI. IX Censo Ejidal 2007,,,,
"Ejidos y comunidades con tractores de su propiedad, segun cantidad y funcionamiento",,,,cuadro 26
por entidad federativa y municipio,,,,
,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,cantidad_de_tractores,ejidos_y_comunidades_con tractores_en_funcionamiento,cantidad_de_tractores_en_funcionamiento
Irimbo,2,3,1,2
Ixtlan,2,3,2,2
Madero,1,1,1,1
Maravatio,1,1,1,1
Lazaro Cardenas,2,3,2,3
Morelia,3,6,3,6
Morelos,2,2,2,2
Mugica,1,3,1,3
Nahuatzen,1,1,1,1
Nuevo Parangaricutiro,2,4,2,4
Panindicuaro,1,1,1,1
Paracho,1,1,0,0
Patzcuaro,4,5,4,5
Penjamillo,2,5,2,5
Querendaro,1,1,1,1
Quiroga,2,3,2,3
Los Reyes,2,6,2,6
San Lucas,1,1,1,1
Salvador Escalante,8,13,8,13
Susupuato,1,1,1,1
Tacambaro,2,6,2,6
Tangancicuaro,1,2,1,2
Taretan,1,1,1,1
Tarimbaro,3,8,3,8
Tingambato,3,4,3,4
Tlazazalca,1,1,1,1
Tuxpan,1,2,1,2
Uruapan,4,6,4,6
Venustiano Carranza,1,2,1,2
Villamar,1,1,1,1
Zacapu,5,9,5,9
Zamora,2,6,2,6
Zinaparo,1,1,1,1
Zinapecuaro,5,7,3,4
Ziracuaretiro,1,1,0,0
Zitacuaro,2,2,2,2
Morelos,27,36,22,30
Amacuzac,1,1,0,0
Ayala,2,2,1,1
Cuernavaca,4,5,4,5
Emiliano Zapata,1,1,1,1
Jantetelco,1,1,1,1
Jojutla,1,1,1,1
Jonacatepec,1,2,1,2
Puente de Ixtla,3,7,3,7
Temixco,2,2,2,2
Tlaltizapan,3,4,2,3
Tlaquiltenango,3,3,3,3
Yecapixtla,1,1,1,1
Temoac,1,2,0,0
Nayarit,28,44,28,42
Ahuacatlan,1,1,1,1
Amatlan de Cañas,1,1,1,1
Compostela,2,5,2,5
Huajicori,5,7,5,7
Jala,2,2,2,2
Del Nayar,3,7,3,5
Rosamorada,4,5,4,5
