INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades con avecindados segun sexo de los avencindados,,,,,cuadro 15
por entidad federativa y municipio,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_avecindados, avecindados_total, avecindados_hombres, avecindados_mujeres,ejidos_y_comunidades_sin_avecindados
Santa Maria Nativitas,0,0,0,0,1
Santa Maria Nduayaco,1,54,24,30,2
Santa Maria Papalo,0,0,0,0,1
Santa Maria Peñoles,3,600,566,34,1
Santa Maria Petapa,1,600,300,300,0
Santa Maria Quiegolani,1,10,5,5,1
Santa Maria Sola,2,10,5,5,2
Santa Maria Tataltepec,1,30,15,15,0
Santa Maria Tecomavaca,0,0,0,0,1
Santa Maria Temaxcalapa,1,10,5,5,0
Santa Maria Temaxcaltepec,0,0,0,0,1
Santa Maria Teopoxco,1,9,6,3,0
Santa Maria Tepantlali,0,0,0,0,1
Santa Maria Texcatitlan,0,0,0,0,1
Santa Maria Tlahuitoltepec,0,0,0,0,2
Santa Maria Tlalixtac,1,20,18,2,0
Santa Maria Tonameca,2,1600,950,650,0
Santa Maria Totolapilla,1,6,6,0,0
Santa Maria Yalina,1,4,0,4,0
Santa Maria Yolotepec,0,0,0,0,1
Santa Maria Yosoyua,0,0,0,0,1
Santa Maria Yucuhiti,1,51,42,9,1
Santa Maria Zacatepec,1,500,300,200,0
Santa Maria Zaniza,1,2,2,0,0
Santa Maria Zoquitlan,0,0,0,0,1
Santiago Amoltepec,1,32,20,12,0
Santiago Apoala,0,0,0,0,1
Santiago Astata,1,1100,650,450,0
Santiago Atitlan,1,20,10,10,0
Santiago Ayuquililla,2,231,196,35,0
Santiago Cacaloxtepec,0,0,0,0,1
Santiago Camotlan,2,22,22,0,2
Santiago Comaltepec,2,22,13,9,0
Santiago Chazumba,2,70,35,35,8
Santiago Choapam,3,48,25,23,3
Santiago del Rio,0,0,0,0,2
Santiago Huajolotitlan,6,91,48,43,1
Santiago Huauclilla,1,30,17,13,3
Santiago Ihuitlan Plumas,2,60,30,30,0
Santiago Ixcuintepec,0,0,0,0,1
Santiago Ixtayutla,5,26,25,1,2
Santiago Jamiltepec,2,18,12,6,4
Santiago Jocotepec,15,1455,871,584,8
Santiago Juxtlahuaca,4,729,15,714,6
Santiago Lachiguiri,1,271,268,3,1
Santiago Lalopa,1,2,2,0,0
Santiago Laollaga,1,400,200,200,1
Santiago Laxopa,2,14,8,6,1
Santiago Llano Grande,3,211,112,99,0
Santiago Matatlan,0,0,0,0,3
Santiago Minas,0,0,0,0,1
Santiago Nacaltepec,3,153,128,25,2
Santiago Nejapilla,0,0,0,0,1
Santiago Nundiche,0,0,0,0,1
Santiago Nuyoo,0,0,0,0,3
Santiago Pinotepa Nacional,21,12245,6018,6227,2
Santiago Suchilquitongo,4,1031,526,505,2
Santiago Tamazola,0,0,0,0,4
Santiago Tapextla,3,287,206,81,0
Villa Tejupam de la Union,1,20,10,10,0
Santiago Tenango,0,0,0,0,1
Santiago Tepetlapa,1,1,0,1,0
Santiago Tetepec,3,56,46,10,3
Santiago Texcalcingo,0,0,0,0,1
Santiago Textitlan,2,30,30,0,0
Santiago Tilantongo,0,0,0,0,1
Santiago Tillo,2,138,67,71,0
Santiago Tlazoyaltepec,0,0,0,0,1
Santiago Xanica,0,0,0,0,2
Santiago Xiacui,2,65,65,0,1
Santiago Yaitepec,0,0,0,0,1
Santiago Yaveo,5,1550,1495,55,3
Santiago Yosondua,2,27,11,16,2
Santiago Yucuyachi,0,0,0,0,1
Santiago Zacatepec,1,15,5,10,2
Santiago Zoochila,1,3,2,1,0
Nuevo Zoquiapam,1,5,5,0,0
Santo Domingo Ingenio,0,0,0,0,1
Santo Domingo Albarradas,1,4,2,2,0
Santo Domingo Armenta,0,0,0,0,1
Santo Domingo Chihuitan,1,40,30,10,0
Santo Domingo de Morelos,0,0,0,0,1
Santo Domingo Ixcatlan,0,0,0,0,1
Santo Domingo Nuxaa,0,0,0,0,1
Santo Domingo Ozolotepec,0,0,0,0,1
Santo Domingo Petapa,1,500,200,300,0
Santo Domingo Roayaga,1,10,6,4,1
Santo Domingo Tehuantepec,14,6609,3503,3106,3
Santo Domingo Teojomulco,0,0,0,0,1
Santo Domingo Tepuxtepec,1,20,20,0,0
Santo Domingo Tlatayapam,0,0,0,0,1
Santo Domingo Tomaltepec,0,0,0,0,2
Santo Domingo Tonala,1,40,0,40,3
Santo Domingo Tonaltepec,0,0,0,0,1
Santo Domingo Xagacia,1,3,1,2,0
Santo Domingo Yanhuitlan,0,0,0,0,1
Santo Domingo Zanatepec,3,155,104,51,3
Santos Reyes Nopala,3,1066,745,321,1
Santos Reyes Papalo,0,0,0,0,1
Santos Reyes Tepejillo,1,200,194,6,0
Santos Reyes Yucuna,0,0,0,0,1
Santo Tomas Jalieza,0,0,0,0,5
Santo Tomas Mazaltepec,0,0,0,0,1
Santo Tomas Ocotepec,0,0,0,0,1
San Vicente Coatlan,0,0,0,0,1
San Vicente Lachixio,1,5,5,0,1
San Vicente Nuñu,0,0,0,0,1
Silacayoapam,3,159,119,40,6
Soledad Etla,1,70,40,30,0
Villa de Tamazulapam del Progreso,1,200,100,100,0
Tanetze de Zaragoza,1,2,2,0,1
Taniche,1,15,15,0,0
Tataltepec de Valdes,2,40,25,15,0
Teococuilco de Marcos Perez,0,0,0,0,1
Teotitlan de Flores Magon,0,0,0,0,2
Teotitlan del Valle,1,40,25,15,1
Teotongo,1,216,66,150,0
Tepelmeme Villa de Morelos,0,0,0,0,1
Tezoatlan de Segura y Luna,2,9,7,2,7
San Jeronimo Tlacochahuaya,2,100,67,33,1
Tlacolula de Matamoros,2,130,92,38,4
Tlacotepec Plumas,1,5,5,0,0
Tlalixtac de Cabrera,2,5005,4,5001,0
Totontepec Villa de Morelos,5,42,42,0,6
Trinidad Zaachila,1,30,15,15,4
La Trinidad Vista Hermosa,0,0,0,0,1
Valerio Trujano,0,0,0,0,1
San Juan Bautista Valle Nacional,14,1315,1053,262,10
Villa Diaz Ordaz,0,0,0,0,3
Yaxe,0,0,0,0,1
Magdalena Yodocono de Porfirio Diaz,1,15,7,8,0
Yogana,0,0,0,0,2
Yutanduchi de Guerrero,0,0,0,0,1
Villa de Zaachila,1,50,40,10,2
Zapotitlan del Rio,2,13,9,4,0
Zapotitlan Lagunas,1,32,32,0,0
Zapotitlan Palmas,0,0,0,0,2
Santa Ines de Zaragoza,0,0,0,0,1
Zimatlan de alvarez,6,930,525,405,2
Puebla,563,59462,40170,19292,631
Acajete,1,656,453,203,7
Acateno,2,103,52,51,2
Acatlan,8,1521,888,633,8
Acatzingo,5,61,43,18,4
Acteopan,0,0,0,0,3
Ahuacatlan,0,0,0,0,1
Ahuatlan,1,65,35,30,0
Ahuazotepec,3,127,68,59,3
Ahuehuetitla,0,0,0,0,3
Ajalpan,9,4376,2314,2062,1
Albino Zertuche,0,0,0,0,1
Aljojuca,1,23,17,6,3
Altepexi,1,41,39,2,1
Amixtlan,0,0,0,0,1
Amozoc,2,70,10,60,5
Aquixtla,1,5,4,1,4
Atexcal,3,17,14,3,6
Atlixco,21,3203,2462,741,8
Atoyatempan,0,0,0,0,1
Atzala,0,0,0,0,1
Atzitzihuacan,2,22,7,15,7
Atzitzintla,4,78,63,15,1
Axutla,0,0,0,0,1
Ayotoxco de Guerrero,2,43,12,31,1
Calpan,1,12,12,0,2
Caltepec,4,138,87,51,5
Camocuautla,0,0,0,0,1
Caxhuacan,0,0,0,0,1
Coatzingo,1,9,6,3,1
Cohetzala,1,78,68,10,2
Cohuecan,1,1,1,0,1
Coronango,2,107,98,9,1
Coxcatlan,2,145,137,8,7
Coyomeapan,1,35,29,6,2
Coyotepec,1,411,381,30,3
Cuapiaxtla de Madero,1,20,12,8,0
Cuautempan,0,0,0,0,1
Cuautinchan,2,165,85,80,5
Cuautlancingo,1,10,10,0,2
Cuayuca de Andrade,1,20,20,0,4
Cuetzalan del Progreso,2,23,18,5,0
Cuyoaco,9,585,348,237,2
Chalchicomula de Sesma,15,589,440,149,9
Chapulco,1,412,289,123,1
Chiautla,4,404,324,80,2
Chiautzingo,0,0,0,0,5
Chiconcuautla,0,0,0,0,1
Chietla,14,3464,2244,1220,7
Chignahuapan,31,1835,1335,500,14
Chignautla,2,85,45,40,0
Chila,0,0,0,0,4
Chila de la Sal,0,0,0,0,1
Honey,0,0,0,0,1
Chilchotla,1,50,50,0,1
Chinantla,1,3,2,1,2
Domingo Arenas,1,2,2,0,1
Eloxochitlan,2,200,75,125,0
Epatlan,2,28,26,2,2
Esperanza,3,84,62,22,6
Francisco Z. Mena,8,114,97,17,13
General Felipe angeles,3,48,33,15,2
Guadalupe,1,291,241,50,2
Guadalupe Victoria,5,128,115,13,5
Huaquechula,15,453,386,67,11
Huatlatlauca,1,16,10,6,7
Huauchinango,1,139,103,36,3
Huehuetlan el Chico,1,440,440,0,3
Huejotzingo,3,29,23,6,8
Hueytamalco,6,382,214,168,3
Hueytlalpan,0,0,0,0,2
Huitzilan de Serdan,0,0,0,0,2
Ixcamilpa de Guerrero,2,955,453,502,2
Ixcaquixtla,2,10,10,0,5
Ixtacamaxtitlan,18,1166,883,283,6
Izucar de Matamoros,13,2375,1367,1008,13
Jalpan,5,1021,727,294,2
Jolalpan,4,342,237,105,5
Jonotla,3,16,13,3,1
Jopala,0,0,0,0,1
Juan C. Bonilla,0,0,0,0,2
Juan N. Mendez,0,0,0,0,3
Lafragua,2,6,6,0,5
Libres,4,325,258,67,2
La Magdalena Tlatlauquitepec,1,3,3,0,0
Mazapiltepec de Juarez,0,0,0,0,3
Mixtla,1,1,0,1,0
Molcaxac,1,1,1,0,8
Cañada Morelos,3,190,145,45,2
Nicolas Bravo,1,30,30,0,1
Nopalucan,3,49,21,28,3
Ocotepec,0,0,0,0,2
Ocoyucan,2,154,132,22,9
Olintla,0,0,0,0,1
Oriental,5,781,567,214,2
Pahuatlan,0,0,0,0,2
Palmar de Bravo,10,110,81,29,4
Pantepec,10,778,648,130,6
Petlalcingo,0,0,0,0,8
Piaxtla,2,4,4,0,3
Puebla,11,2468,1386,1082,9
Quecholac,5,81,59,22,7
Rafael Lara Grajales,0,0,0,0,1
Los Reyes de Juarez,1,50,50,0,2
San Andres Cholula,2,306,256,50,4
San Antonio Cañada,0,0,0,0,2
San Diego la Mesa Tochimiltzingo,3,170,160,10,1
San Felipe Teotlalcingo,1,3,3,0,2
San Gabriel Chilac,2,56,34,22,2
San Jeronimo Tecuanipan,0,0,0,0,3
San Jeronimo Xayacatlan,0,0,0,0,3
San Jose Chiapa,1,3,2,1,6
San Jose Miahuatlan,2,14,8,6,6
San Juan Atenco,4,48,22,26,1
San Martin Texmelucan,7,1564,1288,276,4
San Martin Totoltepec,1,153,53,100,0
San Matias Tlalancaleca,2,214,144,70,1
San Miguel Xoxtla,0,0,0,0,1
San Nicolas Buenos Aires,1,1,1,0,6
San Nicolas de los Ranchos,0,0,0,0,3
San Pablo Anicano,2,648,439,209,4
San Pedro Cholula,1,20,17,3,2
San Pedro Yeloixtlahuaca,2,799,678,121,0
San Salvador el Seco,1,8,8,0,3
San Salvador el Verde,3,23,23,0,5
San Salvador Huixcolotla,1,1046,946,100,0
San Sebastian Tlacotepec,0,0,0,0,1
Santa Catarina Tlaltempan,0,0,0,0,1
Santa Ines Ahuatempan,0,0,0,0,1
Santa Isabel Cholula,1,25,18,7,3
Santiago Miahuatlan,3,39,36,3,0
Huehuetlan el Grande,5,250,128,122,8
Santo Tomas Hueyotlipan,0,0,0,0,2
Soltepec,1,20,20,0,6
Tecali de Herrera,4,80,80,0,8
Tecamachalco,10,566,302,264,8
Tecomatlan,0,0,0,0,3
Tehuacan,9,3744,3501,243,3
Tehuitzingo,3,193,141,52,7
Tenampulco,7,518,291,227,1
Teopantlan,2,821,321,500,1
Teotlalco,2,827,748,79,2
Tepanco de Lopez,7,264,204,60,0
Tepatlaxco de Hidalgo,0,0,0,0,2
Tepeaca,15,344,239,105,8
Tepemaxalco,1,15,11,4,2
Tepeojuma,6,255,162,93,2
Tepetzintla,2,52,33,19,1
Tepexco,0,0,0,0,4
Tepexi de Rodriguez,2,101,51,50,10
Tepeyahualco,9,767,584,183,5
Tepeyahualco de Cuauhtemoc,2,32,28,4,0
Tetela de Ocampo,1,3,3,0,3
Teziutlan,1,10,2,8,1
Tianguismanalco,1,46,25,21,5
Tilapa,5,400,285,115,2
Tlacotepec de Benito Juarez,6,656,594,62,12
Tlacuilotepec,1,152,90,62,3
Tlachichuca,18,377,300,77,6
Tlahuapan,8,2770,1558,1212,10
Tlanepantla,1,27,23,4,1
Tlapacoya,1,5,5,0,2
Tlapanala,1,2,2,0,5
Tlatlauquitepec,1,3,3,0,3
Tlaxco,0,0,0,0,1
Tochimilco,3,53,42,11,9
Tochtepec,3,86,44,42,1
Totoltepec de Guerrero,0,0,0,0,3
Tulcingo,1,106,96,10,1
Tuzamapan de Galeana,1,6,3,3,0
Tzicatlacoyan,2,52,47,5,5
Venustiano Carranza,9,462,382,80,3
Vicente Guerrero,3,3165,1583,1582,1
Xayacatlan de Bravo,0,0,0,0,1
Xicotepec,6,561,485,76,4
Xicotlan,0,0,0,0,2
Xiutetelco,0,0,0,0,3
Xochiapulco,1,10,6,4,0
Xochiltepec,0,0,0,0,3
Xochitlan de Vicente Suarez,0,0,0,0,2
Xochitlan Todos Santos,1,20,20,0,2
Yehualtepec,2,224,167,57,7
Zacapala,2,65,34,31,5
Zacapoaxtla,3,247,171,76,7
Zacatlan,11,304,167,137,7
Zapotitlan,5,166,80,86,2
Zaragoza,2,2550,1000,1550,0
Zautla,4,368,289,79,4
Zihuateutla,3,260,226,34,5
Zinacatepec,1,17,17,0,0
Zoquiapan,2,18,11,7,0
Zoquitlan,0,0,0,0,1
Queretaro,247,20396,14327,6069,131
Amealco de Bonfil,12,686,493,193,11
Pinal de Amoles,13,607,366,241,6
Arroyo Seco,9,151,122,29,4
Cadereyta de Montes,26,4373,2729,1644,12
Colon,26,674,456,218,16
Corregidora,9,2387,1329,1058,7
Ezequiel Montes,4,180,176,4,4
Huimilpan,13,2299,1401,898,3
Jalpan de Serra,5,346,307,39,1
Landa de Matamoros,2,14,9,5,2
El Marques,20,1825,1548,277,19
Pedro Escobedo,16,929,800,129,3
Peñamiller,14,1172,722,450,2
Queretaro,24,1226,922,304,17
San Joaquin,1,40,15,25,3
San Juan del Rio,38,3160,2675,485,14
Tequisquiapan,7,106,77,29,5
Toliman,8,221,180,41,2
Quintana Roo,188,11429,9525,1904,94
Cozumel,0,0,0,0,1
Felipe Carrillo Puerto,29,893,830,63,26
Isla Mujeres,2,113,73,40,0
Othon P. Blanco,88,3826,2403,1423,17
Benito Juarez,2,29,24,5,1
Jose Maria Morelos,33,5693,5470,223,32
Lazaro Cardenas,21,532,392,140,13
Solidaridad,13,343,333,10,4
San Luis Potosi,877,62533,42673,19860,544
Ahualulco,7,614,511,103,7
Alaquines,6,500,404,96,5
Aquismon,25,2157,1539,618,3
Armadillo de los Infante,3,143,116,27,4
Cardenas,5,4118,2437,1681,0
Catorce,12,457,310,147,9
Cedral,14,456,321,135,15
Cerritos,10,151,136,15,8
Cerro de San Pedro,4,48,40,8,1
Ciudad del Maiz,22,786,660,126,6
Ciudad Fernandez,10,985,538,447,5
Tancanhuitz,24,707,545,162,2
Ciudad Valles,53,3587,2751,836,7
Coxcatlan,21,343,294,49,7
Charcas,15,268,205,63,12
ebano,29,806,423,383,63
Guadalcazar,29,1113,876,237,23
Huehuetlan,6,111,66,45,7
Lagunillas,6,585,445,140,1
Matehuala,24,349,289,60,20
Mexquitic de Carmona,27,1359,1072,287,3
Moctezuma,23,979,784,195,7
Rayon,8,2135,1398,737,0
Rioverde,36,3867,2886,981,19
Salinas,8,4788,2291,2497,3
San Antonio,10,219,183,36,0
San Ciro de Acosta,3,215,161,54,2
San Luis Potosi,22,6454,4634,1820,13
San Martin Chalchicuautla,39,574,522,52,19
San Nicolas Tolentino,4,508,435,73,2
Santa Catarina,5,446,362,84,0
Santa Maria del Rio,9,727,513,214,3
Santo Domingo,18,253,193,60,7
San Vicente Tancuayalab,16,1009,489,520,7
Soledad de Graciano Sanchez,6,588,341,247,2
Tamasopo,17,1782,1117,665,4
Tamazunchale,24,1389,844,545,9
Tampacan,19,295,284,11,4
Tampamolon Corona,14,127,122,5,17
Tamuin,47,3351,1849,1502,128
Tanlajas,21,919,865,54,5
Tanquian de Escobedo,0,0,0,0,5
Tierra Nueva,1,25,24,1,0
Vanegas,2,3,3,0,18
Venado,13,275,218,57,5
Villa de Arriaga,10,1272,638,634,1
Villa de Guadalupe,11,364,299,65,9
Villa de la Paz,1,130,82,48,4
Villa de Ramos,13,1347,1038,309,5
Villa de Reyes,17,3968,2635,1333,3
Villa Hidalgo,25,1068,774,294,2
Villa Juarez,8,588,73,515,1
Axtla de Terrazas,26,662,539,123,3
Xilitla,17,985,748,237,18
Zaragoza,5,299,249,50,2
Villa de Arista,5,440,396,44,3
Matlapa,9,161,139,22,3
El Naranjo,13,678,567,111,3
Sinaloa,653,117028,61081,55947,656
Ahome,70,40693,17817,22876,45
Angostura,33,3933,2964,969,29
Badiraguato,10,239,180,59,34
Concordia,19,2177,1240,937,10
Cosala,25,271,219,52,12
Culiacan,100,23012,11147,11865,85
Choix,29,572,544,28,34
Elota,16,1923,869,1054,23
Escuinapa,7,92,57,35,13
El Fuerte,51,1805,1419,386,52
Guasave,77,16933,9407,7526,63
Mazatlan,22,2863,1785,1078,23
Mocorito,16,219,141,78,55
Rosario,17,1164,908,256,34
Salvador Alvarado,18,3766,2485,1281,4
San Ignacio,19,819,506,313,32
Sinaloa,70,3107,2243,864,84
Navolato,54,13440,7150,6290,24
Sonora,430,173052,86140,86912,549
Aconchi,0,0,0,0,1
Agua Prieta,1,3,2,1,5
alamos,60,1461,1136,325,24
Altar,3,88,47,41,4
Arivechi,2,10,8,2,1
Arizpe,3,29,29,0,3
Atil,1,12,12,0,1
Bacadehuachi,1,343,286,57,0
Bacanora,0,0,0,0,4
Bacerac,1,12,9,3,3
Bacoachi,2,7,7,0,3
Bacum,10,1154,674,480,34
Banamichi,0,0,0,0,3
Baviacora,0,0,0,0,2
Bavispe,1,15,15,0,1
Benjamin Hill,2,38,18,20,1
Caborca,33,5215,2717,2498,39
Cajeme,23,47126,18431,28695,80
Cananea,3,47,47,0,4
Carbo,2,35,27,8,0
La Colorada,4,47,29,18,2
Cucurpe,1,3,2,1,2
Cumpas,1,12,12,0,6
Divisaderos,0,0,0,0,1
Empalme,9,5005,2213,2792,7
Etchojoa,21,14708,6550,8158,24
Fronteras,1,1,1,0,11
Granados,0,0,0,0,1
Guaymas,14,3745,1852,1893,17
Hermosillo,37,29869,14932,14937,15
Huachinera,1,15,15,0,1
Huasabas,0,0,0,0,1
Huatabampo,51,15683,8521,7162,6
Huepac,0,0,0,0,3
Imuris,3,730,410,320,3
Magdalena,2,39,23,16,7
Mazatan,2,27,27,0,1
Moctezuma,0,0,0,0,4
Naco,1,30,30,0,1
Nacori Chico,2,134,113,21,2
Nacozari de Garcia,2,8,8,0,2
Navojoa,29,5954,2807,3147,16
Nogales,1,60,30,30,7
Onavas,2,14,12,2,0
Opodepe,2,22,15,7,4
Oquitoa,0,0,0,0,1
Pitiquito,1,4,2,2,10
Puerto Peñasco,6,108,75,33,21
Quiriego,9,232,150,82,8
Rayon,1,8,8,0,4
Rosario,8,82,54,28,9
Sahuaripa,7,136,118,18,11
San Felipe de Jesus,0,0,0,0,1
San Javier,0,0,0,0,1
San Luis Rio Colorado,14,33876,18916,14960,27
San Miguel de Horcasitas,3,4425,4293,132,1
San Pedro de la Cueva,0,0,0,0,6
Santa Ana,4,223,105,118,3
Santa Cruz,0,0,0,0,2
Saric,0,0,0,0,5
Soyopa,3,85,62,23,3
Suaqui Grande,1,30,22,8,1
Tepache,0,0,0,0,2
Trincheras,1,6,6,0,2
Tubutama,2,162,107,55,5
Ures,3,37,22,15,9
Villa Hidalgo,2,22,22,0,2
Villa Pesqueira,2,22,2,20,1
Yecora,0,0,0,0,9
General Plutarco Elias Calles,10,362,203,159,19
Benito Juarez,6,841,471,370,4
San Ignacio Rio Muerto,13,690,435,255,25
Tabasco,463,69520,38629,30891,316
Balancan,41,3160,2237,923,14
Cardenas,38,5488,3706,1782,24
Centla,22,1378,831,547,33
Centro,32,4678,3051,1627,32
Comalcalco,21,3551,2168,1383,12
Cunduacan,21,1418,793,625,23
Emiliano Zapata,10,362,328,34,4
Huimanguillo,76,11447,6816,4631,47
Jalapa,16,452,292,160,7
Jalpa de Mendez,14,1437,713,724,14
Jonuta,16,1434,890,544,21
Macuspana,39,2889,1344,1545,27
Nacajuca,14,798,657,141,15
Paraiso,6,146,79,67,10
Tacotalpa,23,7046,3449,3597,13
Teapa,16,19265,8775,10490,5
Tenosique,58,4571,2500,2071,15
Tamaulipas,951,40642,27810,12832,440
Abasolo,6,30,30,0,31
Aldama,50,1496,1158,338,12
Altamira,26,3007,1347,1660,13
Antiguo Morelos,11,288,240,48,6
Burgos,18,230,189,41,1
Bustamante,21,924,722,202,1
Camargo,3,176,140,36,6
Casas,17,133,110,23,6
Cruillas,4,10,9,1,6
Gomez Farias,21,427,383,44,4
Gonzalez,62,1554,1253,301,25
Güemez,31,2038,1138,900,10
Guerrero,0,0,0,0,2
Gustavo Diaz Ordaz,6,205,156,49,3
Hidalgo,52,2594,1918,676,10
Jaumave,33,778,610,168,7
Jimenez,21,185,169,16,1
Llera,46,1192,967,225,8
Mainero,10,37,31,6,4
El Mante,74,4164,2737,1427,50
Matamoros,66,8148,4805,3343,12
Mendez,17,299,198,101,5
Miquihuana,6,27,27,0,3
Nuevo Laredo,7,98,57,41,9
Nuevo Morelos,4,23,19,4,2
Ocampo,24,476,441,35,10
Padilla,17,1891,874,1017,3
Palmillas,4,12,8,4,1
Reynosa,30,2211,1643,568,44
Rio Bravo,1,20,17,3,22
San Carlos,36,519,491,28,17
San Fernando,46,1822,1404,418,21
San Nicolas,5,95,94,1,2
Soto la Marina,35,1062,820,242,24
Tampico,1,1,1,0,0
Tula,45,1098,1000,98,15
Valle Hermoso,1,2,2,0,26
Victoria,32,1889,1475,414,8
Villagran,26,456,415,41,5
Xicotencatl,36,1025,712,313,5
Tlaxcala,105,3923,2648,1275,141
Amaxac de Guerrero,0,0,0,0,1
Atlangatepec,2,53,38,15,2
Altzayanca,7,24,24,0,11
Apizaco,2,4,4,0,2
Calpulalpan,7,543,302,241,4
El Carmen Tequexquitla,3,15,10,5,0
Cuapiaxtla,3,22,17,5,8
Cuaxomulco,0,0,0,0,1
Chiautempan,0,0,0,0,5
Muñoz de Domingo Arenas,1,10,8,2,3
Españita,5,270,238,32,6
Huamantla,10,719,468,251,15
Hueyotlipan,7,737,442,295,6
Ixtacuixtla de Mariano Matamoros,9,271,249,22,7
Ixtenco,0,0,0,0,1
Tepetitla de Lardizabal,1,20,10,10,1
Sanctorum de Lazaro Cardenas,4,71,47,24,0
Nanacamilpa de Mariano Arista,3,161,101,60,2
Nativitas,4,20,17,3,11
Panotla,1,6,5,1,5
Santa Cruz Tlaxcala,3,61,46,15,1
Teolocholco,0,0,0,0,2
Terrenate,2,30,19,11,4
Tetla de la Solidaridad,4,240,175,65,3
Tetlatlahuca,1,24,19,5,2
Tlaxcala,1,3,3,0,2
Tlaxco,12,380,222,158,17
Tocatlan,0,0,0,0,1
Totolac,0,0,0,0,1
Zitlaltepec de Trinidad Sanchez Santos,2,6,5,1,1
Tzompantepec,0,0,0,0,3
Xaloztoc,1,5,5,0,1
Xaltocan,0,0,0,0,4
Papalotla de Xicohtencatl,0,0,0,0,1
Xicohtzinco,1,30,27,3,0
Yauhquemecan,2,14,11,3,1
Zacatelco,1,100,70,30,0
Benito Juarez,1,20,19,1,0
Emiliano Zapata,1,4,4,0,1
Lazaro Cardenas,1,5,2,3,1
La Magdalena Tlaltelulco,0,0,0,0,1
San Damian Texoloc,1,10,10,0,0
San Jose Teacalco,1,30,20,10,0
San Lorenzo Axocomanitla,0,0,0,0,1
San Lucas Tecopilco,1,15,11,4,0
Santa Ana Nopalucan,0,0,0,0,1
Santa Apolonia Teacalco,0,0,0,0,1
Veracruz de Ignacio de la Llave,2584,390562,228693,161869,1100
Acajete,0,0,0,0,2
Acatlan,0,0,0,0,1
Acayucan,25,5094,3012,2082,6
Actopan,21,3989,3338,651,8
Acula,1,6,6,0,8
Acultzingo,8,592,370,222,8
Camaron de Tejeda,3,469,341,128,2
Alto Lucero de Gutierrez Barrios,9,212,205,7,7
Altotonga,10,2141,1808,333,6
Alvarado,14,5838,2792,3046,5
Amatitlan,0,0,0,0,6
Naranjos Amatlan,4,100,58,42,7
Amatlan de los Reyes,4,211,156,55,15
angel R. Cabada,17,9377,8355,1022,4
La Antigua,9,1096,711,385,2
Apazapan,3,130,98,32,2
Atlahuilco,0,0,0,0,1
Atoyac,14,5349,2708,2641,1
Atzacan,4,56,32,24,3
Atzalan,33,2018,1505,513,6
Tlaltetela,9,324,296,28,5
Banderilla,0,0,0,0,1
Benito Juarez,2,7,7,0,21
Boca del Rio,3,23400,11660,11740,0
Calcahualco,1,10,7,3,3
Camerino Z. Mendoza,1,112,80,32,0
Carrillo Puerto,3,75,43,32,1
Catemaco,27,3125,2411,714,3
Cazones,22,3443,2253,1190,2
Cerro Azul,5,296,279,17,2
Citlaltepetl,1,6,6,0,0
Coacoatzintla,2,5,4,1,1
Coahuitlan,0,0,0,0,2
Coatepec,8,486,368,118,6
Coatzacoalcos,7,3142,1579,1563,1
Coatzintla,11,1997,1425,572,5
Coetzala,0,0,0,0,1
Colipa,1,60,30,30,2
Comapa,8,471,416,55,7
Cordoba,2,13,10,3,22
Cosamaloapan de Carpio,30,5498,3442,2056,2
Coscomatepec,3,176,166,10,1
Cosoleacaque,11,3831,2165,1666,5
Cotaxtla,16,665,498,167,0
Coxquihui,4,1102,977,125,1
Coyutla,8,3428,2958,470,0
Cuichapa,5,491,205,286,1
Cuitlahuac,7,1749,889,860,8
Chacaltianguis,7,432,195,237,5
Chalma,3,15,15,0,13
Chiconamel,8,165,130,35,3
Chiconquiaco,2,14,4,10,7
Chicontepec,59,2042,1803,239,25
Chinameca,10,3289,1524,1765,0
Chinampa de Gorostiza,4,37,30,7,3
Las Choapas,97,1313,897,416,24
Chocaman,1,10,6,4,2
Chontla,2,36,30,6,10
Chumatlan,0,0,0,0,1
Emiliano Zapata,14,1645,1030,615,12
Espinal,17,4793,2906,1887,3
Fortin,6,598,350,248,1
Gutierrez Zamora,3,72,23,49,12
Hidalgotitlan,27,1197,796,401,13
Huatusco,1,5,5,0,9
Huayacocotla,21,882,681,201,4
Hueyapan de Ocampo,21,4204,2737,1467,15
Huiloapan,0,0,0,0,1
Ignacio de la Llave,23,2571,1438,1133,7
Ilamatlan,3,13,12,1,12
Isla,38,1644,1301,343,9
Ixcatepec,0,0,0,0,9
Ixhuacan de los Reyes,1,1,1,0,5
Ixhuatlan del Cafe,1,4,4,0,12
Ixhuatlancillo,1,30,20,10,2
Ixhuatlan del Sureste,6,97,28,69,6
Ixhuatlan de Madero,57,1516,1136,380,12
Ixmatlahuacan,3,85,85,0,5
Ixtaczoquitlan,7,1993,1249,744,8
Jalacingo,6,189,185,4,11
Xalapa,2,33,25,8,8
Jalcomulco,2,503,501,2,2
Jaltipan,10,2794,1691,1103,4
Jamapa,10,1677,339,1338,2
Jesus Carranza,47,1559,960,599,5
Xico,8,739,465,274,4
Jilotepec,2,44,22,22,3
Juan Rodriguez Clara,41,2860,2448,412,5
Juchique de Ferrer,4,74,53,21,7
Lerdo de Tejada,3,6862,6632,230,0
Maltrata,2,449,294,155,1
