INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades con avecindados segun sexo de los avencindados,,,,,cuadro 15
por entidad federativa y municipio,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_avecindados, avecindados_total, avecindados_hombres, avecindados_mujeres,ejidos_y_comunidades_sin_avecindados
Cuetzala del Progreso,0,0,0,0,12
Cutzamala de Pinzon,2,4,4,0,31
Chilapa de alvarez,11,1003,453,550,34
Chilpancingo de los Bravo,15,314,207,107,16
Florencio Villarreal,0,0,0,0,1
General Canuto A. Neri,2,22,18,4,3
General Heliodoro Castillo,3,2043,1231,812,4
Huamuxtitlan,2,26,18,8,6
Huitzuco de los Figueroa,4,327,147,180,17
Iguala de la Independencia,3,4320,1915,2405,12
Igualapa,5,62,57,5,2
Ixcateopan de Cuauhtemoc,0,0,0,0,2
Jose Azueta,4,238,135,103,14
Juan R. Escudero,8,5180,2599,2581,3
Leonardo Bravo,7,450,445,5,9
Malinaltepec,6,396,321,75,3
Martir de Cuilapan,3,138,115,23,8
Metlatonoc,1,336,136,200,8
Mochitlan,2,8,6,2,24
Olinala ,3,85,65,20,4
Ometepec,5,114,45,69,21
Petatlan,21,4631,2741,1890,6
Pilcaya,4,24,15,9,2
Pungarabato,8,41,41,0,2
Quechultenango,11,241,178,63,15
San Luis Acatlan,6,70,70,0,17
San Marcos,18,540,440,100,15
San Miguel Totolapan,5,445,300,145,3
Taxco de Alarcon,11,1825,1695,130,12
Tecoanapa,27,325,216,109,12
Tecpan de Galeana,8,430,239,191,17
Teloloapan,2,882,470,412,25
Tepecoacuilco de Trujano,10,519,293,226,15
Tetipac,2,9,9,0,3
Tixtla de Guerrero,6,42,31,11,4
Tlacoachistlahuaca,3,97,80,17,12
Tlacoapa,0,0,0,0,3
Tlalchapa,2,310,210,100,14
Tlalixtaquilla de Maldonado,1,3,3,0,4
Tlapa de Comonfort,9,661,600,61,21
Tlapehuala,2,45,35,10,10
La Union de Isidoro Montes de Oca,23,4194,2301,1893,8
Xalpatlahuac,0,0,0,0,8
Xochihuehuetlan,1,2,2,0,6
Xochistlahuaca,0,0,0,0,7
Zapotitlan Tablas,0,0,0,0,1
Zirandaro,1,1,1,0,27
Zitlala,3,74,38,36,8
Eduardo Neri,6,41,40,1,10
Acatepec,1,5000,2400,2600,0
Marquelia,1,20,15,5,2
Cochoapa el Grande,0,0,0,0,1
Jose Joaquin de Herrera,0,0,0,0,1
Juchitan,1,50,35,15,0
Iliatenco,1,40,20,20,3
Hidalgo,531,41384,26955,14429,658
Acatlan,16,1916,1476,440,1
Acaxochitlan,10,500,414,86,3
Actopan,2,28,24,4,9
Agua Blanca de Iturbide,7,211,177,34,3
Ajacuba,1,6,4,2,7
Alfajayucan,3,21,14,7,25
Almoloya,10,536,437,99,3
Apan,9,272,262,10,6
El Arenal,3,18,9,9,5
Atitalaquia,2,717,486,231,3
Atlapexco,7,650,513,137,2
Atotonilco el Grande,7,741,454,287,17
Atotonilco de Tula,6,496,313,183,1
Calnali,2,21,21,0,1
Cardonal,7,223,151,72,13
Cuautepec de Hinojosa,15,2513,1321,1192,9
Chapantongo,4,138,115,23,10
Chapulhuacan,6,22,19,3,16
Chilcuautla,0,0,0,0,6
Eloxochitlan,3,44,20,24,5
Emiliano Zapata,1,63,48,15,3
Epazoyucan,6,397,200,197,6
Francisco I. Madero,1,15,12,3,1
Huasca de Ocampo,16,1551,1092,459,11
Huautla,31,560,439,121,11
Huazalingo,12,733,505,228,0
Huehuetla,2,26,25,1,4
Huejutla de Reyes,30,1544,1427,117,17
Huichapan,12,473,418,55,23
Ixmiquilpan,6,497,273,224,18
Jacala de Ledezma,5,156,155,1,8
Jaltocan,10,198,162,36,6
Juarez Hidalgo,2,61,26,35,2
Lolotla,3,137,101,36,7
Metepec,9,1367,731,636,2
San Agustin Metzquititlan,3,163,158,5,4
Metztitlan,2,102,86,16,25
Mineral del Chico,4,462,312,150,2
Mineral del Monte,0,0,0,0,2
Mixquiahuala de Juarez,1,30,15,15,6
Molango de Escamilla,2,100,40,60,11
Nicolas Flores,1,220,205,15,3
Nopala de Villagran,6,270,214,56,3
Omitlan de Juarez,2,621,439,182,2
San Felipe Orizatlan,49,741,700,41,31
Pacula,1,143,143,0,1
Pachuca de Soto,3,1508,858,650,4
Pisaflores,3,12,10,2,3
Progreso de Obregon,1,6,6,0,0
Mineral de la Reforma,1,1000,500,500,6
San Agustin Tlaxiaca,5,1967,1196,771,5
San Bartolo Tutotepec,1,2,1,1,6
San Salvador,9,213,175,38,9
Santiago de Anaya,4,227,156,71,9
Santiago Tulantepec de Lugo Guerrero,5,501,294,207,1
Singuilucan,5,14,12,2,10
Tasquillo,7,254,149,105,10
Tecozautla,6,39,30,9,26
Tenango de Doria,1,4,2,2,4
Tepeapulco,5,979,760,219,4
Tepehuacan de Guerrero,6,114,113,1,25
Tepeji del Rio de Ocampo,14,2155,1268,887,2
Tepetitlan,8,458,237,221,4
Tetepango,2,30,18,12,0
Villa de Tezontepec,0,0,0,0,1
Tezontepec de Aldama,4,351,275,76,1
Tianguistengo,6,27,23,4,18
Tizayuca,2,5,4,1,1
Tlahuelilpan,1,80,60,20,0
Tlahuiltepa,1,3,3,0,14
Tlanalapa,3,129,102,27,0
Tlanchinol,17,3849,2031,1818,17
Tlaxcoapan,0,0,0,0,4
Tolcayuca,2,19,15,4,1
Tula de Allende,13,2361,1507,854,12
Tulancingo de Bravo,4,1035,602,433,10
Xochiatipan,7,284,281,3,18
Xochicoatlan,1,15,15,0,14
Yahualica,4,530,367,163,16
Zacualtipan de angeles,6,102,67,35,13
Zapotlan de Juarez,2,13,9,4,1
Zempoala,12,338,233,105,12
Zimapan,23,3057,1420,1637,23
Jalisco,676,160972,84827,76145,753
Acatic,0,0,0,0,2
Acatlan de Juarez,0,0,0,0,7
Ahualulco de Mercado,2,600,390,210,6
Amacueca,0,0,0,0,1
Amatitan,0,0,0,0,5
Ameca,28,2250,1723,527,16
San Juanito de Escobedo,4,75,75,0,1
Arandas,1,100,90,10,0
El Arenal,2,107,87,20,1
Atemajac de Brizuela,8,159,109,50,1
Atengo,4,30,28,2,8
Atenguillo,2,124,107,17,3
Atotonilco el Alto,5,245,130,115,14
Atoyac,5,63,42,21,6
Autlan de Navarro,8,662,420,242,19
Ayotlan,7,275,233,42,8
Ayutla,4,12,12,0,23
La Barca,8,200,154,46,20
Bolaños,0,0,0,0,1
Cabo Corrientes,11,3240,2684,556,9
Casimiro Castillo,3,5065,2440,2625,13
Cihuatlan,13,34191,6645,27546,2
Zapotlan el Grande,2,20074,10067,10007,3
Cocula,7,238,200,38,12
Colotlan,4,52,48,4,3
Concepcion de Buenos Aires,6,531,299,232,5
Cuautitlan de Garcia Barragan,3,242,64,178,9
Cuautla,0,0,0,0,4
Cuquio,5,1030,725,305,8
Chapala,1,8,5,3,5
Chimaltitan,2,37,20,17,0
Chiquilistlan,3,7,5,2,3
Degollado,11,359,246,113,12
Ejutla,0,0,0,0,3
Encarnacion de Diaz,4,729,645,84,8
Etzatlan,5,39,38,1,5
El Grullo,3,1113,683,430,5
Guachinango,5,40,39,1,8
Guadalajara,0,0,0,0,1
Hostotipaquillo,11,118,107,11,6
Huejucar,2,11,11,0,3
Huejuquilla el Alto,3,475,250,225,0
La Huerta,24,3087,1735,1352,8
Ixtlahuacan de los Membrillos,0,0,0,0,10
Ixtlahuacan del Rio,9,403,317,86,3
Jalostotitlan,0,0,0,0,1
Jamay,1,7,4,3,3
Jesus Maria,1,1,1,0,1
Jilotlan de los Dolores,15,420,275,145,11
Jocotepec,9,413,301,112,6
Juanacatlan,4,391,287,104,2
Juchitlan,6,231,122,109,1
Lagos de Moreno,24,613,610,3,20
El Limon,2,3,3,0,4
Magdalena,2,41,40,1,8
Santa Maria del Oro,4,16,16,0,0
La Manzanilla de la Paz,4,70,49,21,5
Mascota,7,96,84,12,9
Mazamitla,13,658,474,184,6
Mexticacan,0,0,0,0,3
Mezquitic,4,2031,1029,1002,4
Mixtlan,4,121,91,30,1
Ocotlan,7,1483,764,719,9
Ojuelos de Jalisco,9,1023,632,391,11
Pihuamo,9,2342,662,1680,9
Poncitlan,8,240,166,74,9
Puerto Vallarta,7,751,355,396,8
