INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun segun uso agricola,,,,,,cuadro 4,
por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
Taretan,14,12261.7000,6,4,4,1,Hectarea
Tarimbaro,18,2921.4500,2,2,2,1,Hectarea
Tepalcatepec,22,15788.2300,4,4,4,1,Hectarea
Tingambato,3,9097.5900,1,1,1,0,Hectarea
Tingüindin,7,6983.0000,2,1,1,0,Hectarea
Tiquicheo de Nicolas Romero,17,25824.6700,5,5,5,5,Hectarea
Tlalpujahua,9,4970.6900,2,2,2,0,Hectarea
Tlazazalca,9,5392.8100,1,1,1,0,Hectarea
Tocumbo,8,7104.0000,5,5,5,0,Hectarea
Tumbiscatio,11,37311.7300,6,6,6,4,Hectarea
Turicato,20,27652.0800,3,2,2,0,Hectarea
Tuxpan,15,5897.5000,1,1,1,0,Hectarea
Tuzantla,20,15862.6500,8,7,7,2,Hectarea
Tzintzuntzan,8,1568.0000,2,1,1,0,Hectarea
Tzitzio,2,394.0000,1,0,0,0,Hectarea
Uruapan,26,37901.8900,6,4,4,2,Hectarea
Venustiano Carranza,5,970.3600,3,3,3,0,Hectarea
Villamar,16,18244.3800,8,8,8,1,Hectarea
Vista Hermosa,1,110.0000,1,1,1,0,Hectarea
Yurecuaro,11,6008.6200,5,5,5,1,Hectarea
Zacapu,23,9301.2500,14,14,14,1,Hectarea
Zamora,24,17508.7200,12,10,10,1,Hectarea
Zinaparo,7,2190.8000,1,1,1,0,Hectarea
Zinapecuaro,30,18669.5100,11,11,11,0,Hectarea
Ziracuaretiro,9,4921.2100,2,1,1,0,Hectarea
Zitacuaro,30,15901.7000,8,8,8,1,Hectarea
Jose Sixto Verduzco,9,2203.2500,2,2,2,1,Hectarea
Morelos,180,143823.2300,40,28,28,3,Hectarea
Amacuzac,4,3053.3500,1,0,0,0,Hectarea
Atlatlahucan,1,278.0000,0,0,0,0,Hectarea
Axochiapan,4,37.8800,1,0,0,0,Hectarea
Ayala,14,8531.2500,1,0,0,0,Hectarea
Coatlan Del Rio,5,1363.3900,1,0,0,0,Hectarea
Cuautla,4,1644.0000,1,1,1,0,Hectarea
Cuernavaca,10,5953.5000,2,2,2,0,Hectarea
Emiliano Zapata,5,2830.0100,1,1,1,0,Hectarea
Huitzilac,1,5613.0000,1,1,1,0,Hectarea
Jantetelco,5,754.8600,0,0,0,0,Hectarea
Jiutepec,3,1924.0000,0,0,0,0,Hectarea
Jojutla,7,2212.3900,0,0,0,0,Hectarea
Jonacatepec,2,1757.2300,0,0,0,0,Hectarea
Mazatepec,3,891.5500,0,0,0,0,Hectarea
Miacatlan,6,8088.1400,3,1,1,0,Hectarea
Ocuituco,4,719.6800,0,0,0,0,Hectarea
Puente de Ixtla,9,8571.1400,2,2,2,1,Hectarea
Temixco,7,4542.8700,1,0,0,0,Hectarea
Tepalcingo,10,15218.5500,1,0,0,0,Hectarea
Tepoztlan,2,12800.0000,1,1,1,0,Hectarea
Tetecala,3,2444.1500,1,0,0,0,Hectarea
Tetela Del Volcan,6,3089.1500,1,1,1,0,Hectarea
Tlalnepantla,3,4953.7400,0,0,0,0,Hectarea
Tlaltizapan,14,6478.6900,6,5,5,0,Hectarea
Tlaquiltenango,19,23721.8500,6,6,6,1,Hectarea
Tlayacapan,4,5492.7000,1,1,1,0,Hectarea
Totolapan,5,1684.4100,1,1,1,0,Hectarea
Xochitepec,4,1247.7200,1,0,0,1,Hectarea
Yautepec,7,6216.8500,3,3,3,0,Hectarea
Yecapixtla,3,241.0000,1,1,1,0,Hectarea
Zacatepec de Hidalgo,2,193.1800,1,0,0,0,Hectarea
Zacualpan de Amilpas,2,652.0000,0,0,0,0,Hectarea
Temoac,2,623.0000,1,1,1,0,Hectarea
Nayarit,302,1351431.6500,100,82,82,36,Hectarea
Acaponeta,13,97912.7400,4,4,4,3,Hectarea
Ahuacatlan,8,22337.0000,1,1,1,0,Hectarea
Amatlan de Cañas,14,16109.9900,3,2,2,2,Hectarea
Compostela,25,46996.8600,2,1,1,0,Hectarea
Huajicori,10,198468.7000,7,6,6,3,Hectarea
Ixtlan Del Rio,8,14856.8500,5,4,4,0,Hectarea
Jala,10,62329.9700,5,2,2,4,Hectarea
Xalisco,12,15078.8000,5,3,3,0,Hectarea
Del Nayar,24,480067.3300,23,23,23,19,Hectarea
Rosamorada,19,64528.3900,4,4,4,0,Hectarea
Ruiz,6,18606.2400,3,2,2,0,Hectarea
San Blas,20,5938.4000,1,1,1,1,Hectarea
San Pedro Lagunillas,7,18776.7300,1,1,1,0,Hectarea
Santa Maria Del Oro,17,45693.5500,7,7,7,0,Hectarea
Santiago Ixcuintla,32,66727.6300,5,2,2,1,Hectarea
Tecuala,15,26784.8500,2,2,2,0,Hectarea
Tepic,43,55237.1500,17,14,14,2,Hectarea
Tuxpan,5,10015.0000,1,1,1,0,Hectarea
La Yesca,4,63745.3100,1,1,1,1,Hectarea
Bahia de Banderas,10,21220.1600,3,1,1,0,Hectarea
Nuevo Leon,535,1466753.2900,72,60,60,8,Hectarea
Abasolo,1,315.0000,0,0,0,0,Hectarea
Agualeguas,5,16691.0000,1,1,1,0,Hectarea
Los Aldamas,3,8359.0000,0,0,0,0,Hectarea
Anahuac,6,10250.4000,0,0,0,0,Hectarea
Aramberri,43,164365.1300,4,2,2,0,Hectarea
Bustamante,2,12592.5000,0,0,0,0,Hectarea
Cadereyta Jimenez,20,4641.3200,2,2,2,0,Hectarea
Carmen,1,80.0000,0,0,0,0,Hectarea
Cerralvo,1,34000.0000,0,0,0,0,Hectarea
Cienega de Flores,2,1016.0000,0,0,0,0,Hectarea
China,2,2315.0000,0,0,0,0,Hectarea
Dr. Arroyo,106,324725.2600,12,10,10,3,Hectarea
Dr. Gonzalez,2,8473.0000,0,0,0,0,Hectarea
Galeana,110,416842.6000,23,21,21,3,Hectarea
Garcia,11,26941.0000,1,0,0,0,Hectarea
Gral. Bravo,1,1238.0000,0,0,0,0,Hectarea
Gral. Escobedo,2,663.0000,0,0,0,0,Hectarea
Gral. Teran,13,7943.8000,1,1,1,0,Hectarea
Gral. Zaragoza,15,71866.0000,0,0,0,0,Hectarea
Hualahuises,2,1620.0000,0,0,0,0,Hectarea
Iturbide,12,23779.0000,3,1,1,0,Hectarea
Juarez,1,178.0000,1,1,1,1,Hectarea
Lampazos de Naranjo,6,14996.6200,0,0,0,0,Hectarea
Linares,51,46472.0200,7,7,7,0,Hectarea
Marin,1,2.0000,0,0,0,0,Hectarea
Mier y Noriega,14,62440.0000,3,2,2,1,Hectarea
Mina,21,72026.0000,4,2,2,0,Hectarea
Montemorelos,23,22002.3400,7,7,7,0,Hectarea
Paras,1,70.0000,0,0,0,0,Hectarea
Pesqueria,5,262.2600,0,0,0,0,Hectarea
Los Ramones,4,972.0000,0,0,0,0,Hectarea
Rayones,8,47161.7500,1,1,1,0,Hectarea
Sabinas Hidalgo,7,11764.3500,1,1,1,0,Hectarea
Salinas Victoria,5,1912.0000,0,0,0,0,Hectarea
Hidalgo,1,4908.0000,0,0,0,0,Hectarea
Santa Catarina,3,13213.0000,1,1,1,0,Hectarea
Santiago,8,16571.7800,0,0,0,0,Hectarea
Vallecillo,11,8179.1500,0,0,0,0,Hectarea
Villaldama,5,4905.0000,0,0,0,0,Hectarea
Oaxaca,1277,5311626.2900,557,499,499,174,Hectarea
Abejones,1,6300.0000,1,1,1,0,Hectarea
Acatlan de Perez Figueroa,27,24318.1500,11,10,10,4,Hectarea
Asuncion Cacalotepec,1,130.0000,0,0,0,0,Hectarea
Asuncion Cuyotepeji,1,8038.0000,0,0,0,0,Hectarea
Asuncion Ixtaltepec,8,10113.5500,1,1,1,1,Hectarea
Asuncion Nochixtlan,11,25154.0300,3,3,3,0,Hectarea
Asuncion Tlacolulita,2,21933.0000,2,2,2,1,Hectarea
Ayotzintepec,6,12708.0000,3,3,3,1,Hectarea
El Barrio de la Soledad,2,24132.0000,2,2,2,2,Hectarea
Calihuala,2,2621.5500,1,1,1,0,Hectarea
Ciudad Ixtepec,1,13928.0000,1,1,1,1,Hectarea
Coatecas Altas,2,4364.0000,1,1,1,0,Hectarea
Coicoyan de las Flores,2,9500.0000,1,1,1,0,Hectarea
La Compañia,2,6320.5000,1,1,1,0,Hectarea
Concepcion Buenavista,4,22565.6700,0,0,0,0,Hectarea
Concepcion Papalo,2,10897.0000,0,0,0,0,Hectarea
Constancia Del Rosario,1,83.8300,0,0,0,0,Hectarea
Cosolapa,8,2454.7500,2,2,2,1,Hectarea
Cosoltepec,3,6271.7100,1,1,1,0,Hectarea
Cuilapam de Guerrero,2,4314.0000,1,1,1,1,Hectarea
Cuyamecalco Villa de Zaragoza,2,1564.0000,0,0,0,0,Hectarea
Chahuites,1,400.0000,0,0,0,0,Hectarea
Chalcatongo de Hidalgo,2,6189.9400,1,1,1,0,Hectarea
Chiquihuitlan de Benito Juarez,1,2000.0000,1,1,1,0,Hectarea
Heroica Ciudad de Ejutla de Crespo,11,9661.2000,2,2,2,0,Hectarea
Tamazulapam Del Espiritu Santo,1,5.0000,0,0,0,0,Hectarea
Fresnillo de Trujano,2,1460.0000,0,0,0,0,Hectarea
Guadalupe de Ramirez,2,2476.0000,1,1,1,0,Hectarea
Guelatao de Juarez,1,202.0000,1,1,1,0,Hectarea
Guevea de Humboldt,1,13000.0000,0,0,0,0,Hectarea
Mesones Hidalgo,1,100.0000,0,0,0,0,Hectarea
Villa Hidalgo,1,214.0000,0,0,0,0,Hectarea
Heroica Ciudad de Huajuapan de Leon,4,4295.0000,1,1,1,0,Hectarea
Huautepec,1,1765.0000,1,1,1,1,Hectarea
Ixtlan de Juarez,10,53841.8700,7,6,6,1,Hectarea
Heroica Ciudad de Juchitan de Zaragoza,4,4967.0200,1,1,1,0,Hectarea
Loma Bonita,18,6432.3800,10,6,6,2,Hectarea
Magdalena Apasco,4,790.5800,0,0,0,0,Hectarea
Magdalena Jaltepec,2,13834.0900,0,0,0,0,Hectarea
Santa Magdalena Jicotlan,1,2352.0000,0,0,0,0,Hectarea
Magdalena Mixtepec,2,3449.9200,0,0,0,0,Hectarea
Magdalena Ocotlan,1,500.0000,0,0,0,0,Hectarea
Magdalena Peñasco,1,6184.0000,1,1,1,0,Hectarea
Magdalena Teitipac,1,1524.0000,1,1,1,1,Hectarea
Magdalena Tequisistlan,3,73371.4000,3,3,3,2,Hectarea
Magdalena Tlacotepec,1,194.1200,0,0,0,0,Hectarea
Magdalena Zahuatlan,1,250.0000,0,0,0,0,Hectarea
Mariscala de Juarez,3,6275.0000,2,2,2,0,Hectarea
Matias Romero Avendaño,7,2584.0000,2,1,1,0,Hectarea
Miahuatlan de Porfirio Diaz,5,13253.9500,2,2,2,0,Hectarea
Mixistlan de la Reforma,1,1500.0000,0,0,0,0,Hectarea
Nejapa de Madero,9,55420.5600,5,5,5,1,Hectarea
Ixpantepec Nieves,3,4764.4000,0,0,0,0,Hectarea
Santiago Niltepec,4,13562.3600,0,0,0,0,Hectarea
Oaxaca de Juarez,6,2612.0000,3,1,1,0,Hectarea
Ocotlan de Morelos,7,4331.5200,3,2,2,0,Hectarea
San Jose Del Progreso,2,3973.0000,0,0,0,0,Hectarea
Putla Villa de Guerrero,10,12725.2100,2,2,2,1,Hectarea
Santa Catarina Quioquitani,1,173.0000,0,0,0,0,Hectarea
Reforma de Pineda,1,412.0700,0,0,0,0,Hectarea
La Reforma,2,4881.0000,0,0,0,0,Hectarea
Reyes Etla,1,26.5000,0,0,0,0,Hectarea
Salina Cruz,3,5319.9900,0,0,0,0,Hectarea
San Agustin Amatengo,2,4116.0000,1,1,1,0,Hectarea
San Agustin Atenango,2,7531.0000,0,0,0,0,Hectarea
San Agustin Chayuco,3,2668.0000,0,0,0,0,Hectarea
San Agustin de las Juntas,2,1321.0000,0,0,0,0,Hectarea
San Agustin Etla,1,4115.0000,0,0,0,0,Hectarea
San Agustin Loxicha,1,50.0000,0,0,0,0,Hectarea
San Agustin Tlacotepec,1,4500.0000,0,0,0,0,Hectarea
San Andres Cabecera Nueva,1,1325.0000,1,1,1,0,Hectarea
San Andres Dinicuiti,3,7971.0000,1,1,1,0,Hectarea
San Andres Huaxpaltepec,1,2.0000,0,0,0,0,Hectarea
San Andres Huayapam,1,2001.0800,0,0,0,0,Hectarea
San Andres Ixtlahuaca,1,86.5400,1,1,1,0,Hectarea
San Andres Lagunas,1,3980.4700,0,0,0,0,Hectarea
San Andres Nuxiño,1,5243.0000,1,1,1,0,Hectarea
San Andres Sinaxtla,2,352.4000,0,0,0,0,Hectarea
San Andres Solaga,3,4250.0000,2,2,2,0,Hectarea
San Andres Teotilalpam,2,11044.0000,1,1,1,0,Hectarea
San Andres Yaa,1,2077.5600,1,1,1,0,Hectarea
San Andres Zabache,1,475.0000,0,0,0,0,Hectarea
San Andres Zautla,1,1270.0400,0,0,0,0,Hectarea
San Antonino el Alto,2,7173.0000,2,2,2,0,Hectarea
San Antonino Monte Verde,1,10345.0000,1,1,1,0,Hectarea
San Antonio Acutla,1,1232.6100,0,0,0,0,Hectarea
San Antonio Huitepec,2,20436.2400,1,1,1,1,Hectarea
San Antonio Nanahuatipam,3,6434.5000,0,0,0,0,Hectarea
San Antonio Sinicahua,1,3051.0000,1,1,1,0,Hectarea
San Baltazar Chichicapam,2,5554.8800,1,1,1,0,Hectarea
San Baltazar Loxicha,2,7011.0000,2,2,2,1,Hectarea
San Baltazar Yatzachi el Bajo,4,7580.0000,1,1,1,1,Hectarea
San Bartolo Coyotepec,3,2299.0000,0,0,0,0,Hectarea
San Bartolome Ayautla,2,5085.7600,2,1,1,0,Hectarea
San Bartolome Loxicha,1,14094.0000,1,1,1,0,Hectarea
San Bartolome Quialana,1,1103.1500,1,1,1,0,Hectarea
San Bartolome Yucuañe,1,8361.4000,1,1,1,0,Hectarea
San Bartolome Zoogocho,1,572.0000,1,1,1,0,Hectarea
San Bartolo Soyaltepec,2,4869.3000,0,0,0,0,Hectarea
San Bartolo Yautepec,1,25240.0000,1,1,1,1,Hectarea
San Bernardo Mixtepec,3,10625.5400,1,1,1,0,Hectarea
San Blas Atempa,1,10249.5400,0,0,0,0,Hectarea
San Carlos Yautepec,18,156926.0400,15,14,14,11,Hectarea
San Cristobal Amatlan,4,4060.8700,0,0,0,0,Hectarea
San Cristobal Amoltepec,1,70.0000,0,0,0,0,Hectarea
San Cristobal Suchixtlahuaca,1,4475.0000,0,0,0,0,Hectarea
San Dionisio Del Mar,1,4280.0000,1,1,1,0,Hectarea
San Dionisio Ocotepec,5,30009.0000,1,1,1,0,Hectarea
San Dionisio Ocotlan,2,146.2700,0,0,0,0,Hectarea
San Esteban Atatlahuca,2,7229.0000,0,0,0,0,Hectarea
San Felipe Jalapa de Diaz,3,162.0000,2,1,1,0,Hectarea
San Felipe Tejalapam,2,1073.0000,1,1,1,0,Hectarea
San Felipe Usila,7,28264.6900,4,4,4,0,Hectarea
San Francisco Cahuacua,2,18433.2000,0,0,0,0,Hectarea
San Francisco Cajonos,2,4718.5000,1,1,1,0,Hectarea
San Francisco Chapulapa,2,2732.0000,0,0,0,0,Hectarea
San Francisco Chindua,1,949.6000,0,0,0,0,Hectarea
San Francisco Huehuetlan,1,160.0000,0,0,0,0,Hectarea
San Francisco Ixhuatan,3,1293.5400,0,0,0,0,Hectarea
San Francisco Jaltepetongo,1,1200.0000,0,0,0,0,Hectarea
San Francisco Lachigolo,1,57.0000,0,0,0,0,Hectarea
San Francisco Nuxaño,1,1252.0000,0,0,0,0,Hectarea
San Francisco Ozolotepec,1,10.0000,1,0,0,0,Hectarea
San Francisco Sola,1,3442.0000,1,0,0,0,Hectarea
San Francisco Telixtlahuaca,2,17983.8200,2,2,2,0,Hectarea
San Francisco Teopan,1,5136.0000,0,0,0,0,Hectarea
San Francisco Tlapancingo,1,4802.0000,0,0,0,0,Hectarea
San Ildefonso Amatlan,1,1200.0000,1,1,1,1,Hectarea
San Ildefonso Sola,1,2826.0000,1,1,1,1,Hectarea
San Ildefonso Villa Alta,5,21639.9000,4,3,3,1,Hectarea
San Jacinto Amilpas,1,51.0000,1,1,1,0,Hectarea
San Jacinto Tlacotepec,1,1640.0000,0,0,0,0,Hectarea
San Jeronimo Coatlan,2,55755.0000,2,2,2,0,Hectarea
San Jeronimo Silacayoapilla,1,240.0000,0,0,0,0,Hectarea
San Jeronimo Sosola,6,15876.0700,1,1,1,0,Hectarea
San Jeronimo Taviche,2,2185.0400,0,0,0,0,Hectarea
San Jeronimo Tecoatl,1,650.0000,0,0,0,0,Hectarea
San Jorge Nuchita,3,3596.0000,0,0,0,0,Hectarea
San Jose Ayuquila,1,1955.0000,0,0,0,0,Hectarea
San Jose Chiltepec,7,8952.4400,5,4,4,1,Hectarea
San Jose Del Peñasco,1,1296.0000,0,0,0,0,Hectarea
San Jose Estancia Grande,1,227.0000,0,0,0,0,Hectarea
San Jose Tenango,1,4100.8800,1,1,1,1,Hectarea
San Juan Achiutla,1,3000.0000,0,0,0,0,Hectarea
San Juan Atepec,1,12613.0000,0,0,0,0,Hectarea
San Juan Bautista Atatlahuca,3,27860.3700,0,0,0,0,Hectarea
San Juan Bautista Coixtlahuaca,3,23005.4700,1,1,1,0,Hectarea
San Juan Bautista Cuicatlan,14,32290.4800,2,1,1,0,Hectarea
San Juan Bautista Guelache,3,4413.5000,1,0,0,0,Hectarea
San Juan Bautista Jayacatlan,1,10723.6000,1,1,1,1,Hectarea
San Juan Bautista Suchitepec,2,4776.0000,2,1,1,0,Hectarea
San Juan Bautista Tlacoatzintepec,1,9890.0000,1,1,1,0,Hectarea
San Juan Bautista Tlachichilco,2,879.0000,0,0,0,0,Hectarea
San Juan Bautista Tuxtepec,28,7478.8400,9,8,8,0,Hectarea
San Juan Cacahuatepec,2,888.0000,0,0,0,0,Hectarea
San Juan Cieneguilla,1,4874.0000,0,0,0,0,Hectarea
San Juan Coatzospam,1,1787.0000,1,1,1,1,Hectarea
San Juan Colorado,2,2067.3600,1,1,1,1,Hectarea
San Juan Comaltepec,3,11792.0000,3,3,3,0,Hectarea
San Juan Cotzocon,11,77283.5500,7,5,5,3,Hectarea
San Juan Chicomezuchil,1,1220.0000,0,0,0,0,Hectarea
San Juan Del Estado,1,13157.6000,1,1,1,0,Hectarea
San Juan Del Rio,1,4754.0000,0,0,0,0,Hectarea
San Juan Diuxi,1,3300.0000,0,0,0,0,Hectarea
San Juan Evangelista Analco,1,1300.6800,0,0,0,0,Hectarea
San Juan Guelavia,1,1087.6400,1,1,1,0,Hectarea
San Juan Guichicovi,18,34820.4600,10,10,10,8,Hectarea
San Juan Ihualtepec,1,5201.0000,1,1,1,0,Hectarea
San Juan Juquila Mixes,1,18230.0000,0,0,0,0,Hectarea
San Juan Juquila Vijanos,1,3338.0000,1,1,1,0,Hectarea
San Juan Lachao,1,1300.0000,1,1,1,1,Hectarea
San Juan Lachigalla,3,4601.0000,0,0,0,0,Hectarea
San Juan Lajarcia,2,17502.8000,2,1,1,1,Hectarea
San Juan Lalana,4,30576.0000,2,1,1,1,Hectarea
San Juan de los Cues,1,8000.0000,0,0,0,0,Hectarea
San Juan Mazatlan,12,124550.2500,8,8,8,4,Hectarea
San Juan Mixtepec -Dto. 08-,1,22510.0000,0,0,0,0,Hectarea
San Juan Mixtepec -Dto. 26-,1,9.0000,1,1,1,1,Hectarea
San Juan Ñumi,3,10335.7500,1,0,0,0,Hectarea
San Juan Ozolotepec,4,14697.2500,1,1,1,0,Hectarea
San Juan Petlapa,6,19127.0000,2,2,2,0,Hectarea
San Juan Quiahije,1,12414.0000,1,1,1,1,Hectarea
San Juan Quiotepec,4,18529.0000,1,1,1,1,Hectarea
San Juan Sayultepec,1,108.4000,1,1,1,0,Hectarea
San Juan Tabaa,1,350.5500,0,0,0,0,Hectarea
San Juan Tamazola,2,25187.0000,2,2,2,0,Hectarea
San Juan Teita,1,7691.0000,1,1,1,0,Hectarea
San Juan Teitipac,1,4054.7000,0,0,0,0,Hectarea
San Juan Tepeuxila,5,17683.1000,1,1,1,0,Hectarea
San Juan Teposcolula,2,1260.9900,0,0,0,0,Hectarea
San Juan Yaee,3,1534.0000,3,3,3,1,Hectarea
San Juan Yatzona,1,7491.5000,0,0,0,0,Hectarea
San Juan Yucuita,2,1999.9900,1,1,1,0,Hectarea
San Lorenzo,1,1.0000,0,0,0,0,Hectarea
San Lorenzo Albarradas,3,5039.4500,3,3,3,0,Hectarea
San Lorenzo Cacaotepec,2,2530.0100,1,1,1,1,Hectarea
San Lorenzo Texmelucan,1,6407.0000,1,1,1,1,Hectarea
San Lorenzo Victoria,2,8359.5000,1,1,1,0,Hectarea
San Lucas Camotlan,2,3168.0000,2,2,2,1,Hectarea
San Lucas Ojitlan,23,9141.5000,16,16,16,6,Hectarea
San Lucas Quiavini,1,3955.4900,1,1,1,0,Hectarea
San Luis Amatlan,2,13992.0000,0,0,0,0,Hectarea
San Marcos Arteaga,3,7015.0000,1,1,1,0,Hectarea
San Martin de los Cansecos,1,2018.0000,1,1,1,0,Hectarea
San Martin Huamelulpam,1,3975.0000,1,1,1,0,Hectarea
San Martin Itunyoso,2,11100.0000,1,1,1,0,Hectarea
San Martin Lachila,1,1390.0000,0,0,0,0,Hectarea
San Martin Peras,2,10021.6700,1,1,1,0,Hectarea
San Martin Tilcajete,1,500.0000,0,0,0,0,Hectarea
San Martin Toxpalan,2,2700.0000,0,0,0,0,Hectarea
San Mateo Cajonos,1,1073.0000,1,1,1,0,Hectarea
Capulalpam de Mendez,1,3300.8800,1,1,1,0,Hectarea
San Mateo Del Mar,1,1820.0000,0,0,0,0,Hectarea
San Mateo Etlatongo,1,208.0000,0,0,0,0,Hectarea
San Mateo Nejapam,1,6229.0000,1,0,0,0,Hectarea
San Mateo Peñasco,2,3695.0000,1,1,1,0,Hectarea
San Mateo Rio Hondo,1,190.0000,0,0,0,0,Hectarea
San Mateo Sindihui,1,7450.0000,0,0,0,0,Hectarea
San Mateo Tlapiltepec,1,1970.0000,1,1,1,0,Hectarea
San Melchor Betaza,2,2848.0200,1,1,1,1,Hectarea
San Miguel Achiutla,2,4991.0000,1,1,1,0,Hectarea
San Miguel Aloapam,1,12268.0000,0,0,0,0,Hectarea
San Miguel Amatitlan,8,15437.1700,3,1,1,0,Hectarea
San Miguel Coatlan,1,12183.4400,1,1,1,0,Hectarea
San Miguel Chicahua,1,3049.5900,1,1,1,0,Hectarea
San Miguel Chimalapa,2,55732.0000,0,0,0,0,Hectarea
San Miguel Del Puerto,3,23329.0000,2,2,2,2,Hectarea
San Miguel Ejutla,1,5.0000,0,0,0,0,Hectarea
San Miguel el Grande,1,8526.0000,1,1,1,0,Hectarea
San Miguel Huautla,1,8325.0000,1,0,0,0,Hectarea
San Miguel Mixtepec,1,5500.0000,0,0,0,0,Hectarea
San Miguel Panixtlahuaca,1,6000.0000,1,0,0,0,Hectarea
San Miguel Peras,1,13776.0000,1,1,1,1,Hectarea
San Miguel Piedras,1,4063.3000,1,1,1,0,Hectarea
San Miguel Quetzaltepec,1,15839.0000,1,1,1,1,Hectarea
San Miguel Santa Flor,1,248.0000,0,0,0,0,Hectarea
Villa Sola de Vega,6,68486.0000,3,3,3,0,Hectarea
San Miguel Soyaltepec,17,15022.6800,4,4,4,3,Hectarea
San Miguel Suchixtepec,1,151.0000,0,0,0,0,Hectarea
Villa Talea de Castro,3,2034.0000,2,2,2,2,Hectarea
San Miguel Tecomatlan,1,1305.0000,0,0,0,0,Hectarea
San Miguel Tenango,1,17069.5500,1,1,1,1,Hectarea
San Miguel Tequixtepec,2,10403.7500,1,1,1,0,Hectarea
San Miguel Tilquiapam,1,1542.4700,1,1,1,0,Hectarea
San Miguel Tlacotepec,1,6000.0000,0,0,0,0,Hectarea
San Miguel Tulancingo,1,4250.0000,1,1,1,0,Hectarea
San Miguel Yotao,1,3145.0000,1,1,1,1,Hectarea
San Nicolas Hidalgo,2,1005.1700,0,0,0,0,Hectarea
San Pablo Coatlan,3,14375.6100,3,3,3,1,Hectarea
San Pablo Cuatro Venados,1,7388.6000,1,1,1,0,Hectarea
San Pablo Etla,1,3400.6400,1,1,1,1,Hectarea
San Pablo Huitzo,2,5838.6000,1,1,1,0,Hectarea
San Pablo Huixtepec,2,1473.6900,1,1,1,0,Hectarea
San Pablo Macuiltianguis,2,13550.0000,1,1,1,0,Hectarea
San Pablo Tijaltepec,1,4733.0000,0,0,0,0,Hectarea
San Pablo Villa de Mitla,6,25715.7100,3,3,3,2,Hectarea
San Pablo Yaganiza,1,3490.6200,1,1,1,1,Hectarea
San Pedro Amuzgos,1,341.8900,1,1,1,0,Hectarea
San Pedro Apostol,1,87.0000,0,0,0,0,Hectarea
San Pedro Atoyac,1,4.0000,0,0,0,0,Hectarea
San Pedro Cajonos,1,3151.0000,1,1,1,0,Hectarea
San Pedro Coxcaltepec Cantaros,2,7986.9600,1,1,1,0,Hectarea
San Pedro el Alto,1,2450.0000,0,0,0,0,Hectarea
San Pedro Huamelula,4,57954.0000,1,1,1,0,Hectarea
San Pedro Huilotepec,1,1450.0000,1,1,1,0,Hectarea
San Pedro Ixcatlan,5,608.0000,4,4,4,0,Hectarea
San Pedro Ixtlahuaca,1,5.0000,0,0,0,0,Hectarea
San Pedro Jaltepetongo,1,4901.0000,1,1,1,0,Hectarea
San Pedro Jocotipac,1,8803.5100,0,0,0,0,Hectarea
San Pedro Martir Quiechapa,1,500.0000,0,0,0,0,Hectarea
San Pedro Martir Yucuxaco,1,7370.0000,0,0,0,0,Hectarea
San Pedro Mixtepec -Dto. 22-,1,984.0000,0,0,0,0,Hectarea
San Pedro Mixtepec -Dto. 26-,1,200.0000,0,0,0,0,Hectarea
San Pedro Molinos,1,300.0000,1,1,1,0,Hectarea
San Pedro Nopala,1,7130.0000,1,1,1,0,Hectarea
San Pedro Ocopetatillo,1,70.0000,0,0,0,0,Hectarea
San Pedro Ocotepec,1,15128.0000,1,1,1,0,Hectarea
San Pedro Pochutla,1,2300.0000,0,0,0,0,Hectarea
San Pedro Quiatoni,1,44650.0000,0,0,0,0,Hectarea
San Pedro Sochiapam,5,3639.0000,2,0,0,0,Hectarea
San Pedro Tapanatepec,5,5265.0000,2,1,1,1,Hectarea
San Pedro Taviche,2,8622.4900,0,0,0,0,Hectarea
San Pedro Teozacoalco,1,5498.0000,0,0,0,0,Hectarea
San Pedro Teutila,3,14614.8100,3,3,3,1,Hectarea
San Pedro Tidaa,1,3600.0000,1,1,1,0,Hectarea
San Pedro Topiltepec,2,2391.0000,0,0,0,0,Hectarea
San Pedro Totolapa,3,32711.0000,2,1,1,0,Hectarea
Villa de Tututepec de Melchor Ocampo,6,52443.6500,3,1,1,2,Hectarea
San Pedro Yaneri,2,6473.0000,2,2,2,2,Hectarea
San Pedro Yolox,5,21418.0000,0,0,0,0,Hectarea
San Pedro y San Pablo Ayutla,1,65.0000,0,0,0,0,Hectarea
San Pedro y San Pablo Teposcolula,7,13508.7300,1,0,0,0,Hectarea
San Pedro y San Pablo Tequixtepec,8,18108.1000,1,1,1,0,Hectarea
San Pedro Yucunama,1,2495.5500,1,1,1,0,Hectarea
San Sebastian Abasolo,2,603.0000,0,0,0,0,Hectarea
San Sebastian Coatlan,1,12541.4000,1,1,1,1,Hectarea
San Sebastian Ixcapa,1,9.3300,0,0,0,0,Hectarea
