INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun segun uso agricola,,,,,,cuadro 4,
por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
Tecpatan,27,2577.3600,13,11,11,1,Hectarea
Tenejapa,3,1219.0000,2,2,2,0,Hectarea
Teopisca,16,8869.0000,4,4,4,0,Hectarea
Tila,24,36601.1300,18,18,18,11,Hectarea
Tonala,21,12468.0000,1,1,1,1,Hectarea
Totolapa,2,2696.0700,0,0,0,0,Hectarea
La Trinitaria,70,40557.3400,19,18,18,1,Hectarea
Tumbala,10,8801.0700,6,6,6,5,Hectarea
Tuxtla Gutierrez,3,1879.0100,1,1,1,0,Hectarea
Tuxtla Chico,1,55.0000,1,0,0,0,Hectarea
Tuzantan,2,19.9300,1,0,0,0,Hectarea
Tzimol,12,4736.5000,5,4,4,0,Hectarea
Union Juarez,5,231.0000,0,0,0,0,Hectarea
Venustiano Carranza,26,73516.9600,8,8,8,0,Hectarea
Villa Corzo,38,16189.8400,13,13,13,0,Hectarea
Villaflores,52,18262.9400,14,13,13,0,Hectarea
Yajalon,7,2822.0000,5,5,5,1,Hectarea
San Lucas,2,948.0000,0,0,0,0,Hectarea
Zinacantan,5,3612.5000,1,1,1,1,Hectarea
Aldama,1,2595.0000,1,1,1,0,Hectarea
Benemerito de las Americas,7,16569.9600,3,3,3,1,Hectarea
Maravilla Tenejapa,30,20566.9900,3,3,3,1,Hectarea
Marques de Comillas,20,18412.7200,2,2,2,0,Hectarea
Montecristo de Guerrero,5,14447.5000,4,4,4,0,Hectarea
San Andres Duraznal,5,937.0000,2,2,2,0,Hectarea
Santiago el Pinar,1,1725.0000,1,1,1,0,Hectarea
Chihuahua,951,8947730.0900,232,210,210,46,Hectarea
Ahumada,24,282976.0000,3,3,3,0,Hectarea
Aldama,23,223050.0000,1,1,1,0,Hectarea
Allende,21,52448.5400,3,3,3,0,Hectarea
Aquiles Serdan,2,7818.5100,1,1,1,0,Hectarea
Ascension,19,503655.0000,1,1,1,0,Hectarea
Bachiniva,11,42573.0000,2,2,2,0,Hectarea
Balleza,19,418676.8200,11,11,11,0,Hectarea
Batopilas,12,172554.0000,4,4,4,4,Hectarea
Bocoyna,26,250836.0000,20,20,20,0,Hectarea
Buenaventura,9,224313.0000,1,1,1,0,Hectarea
Camargo,24,136023.8300,3,1,1,0,Hectarea
Carichi,23,198328.5000,0,0,0,0,Hectarea
Casas Grandes,13,247244.7500,1,1,1,0,Hectarea
Coronado,6,27995.0000,1,1,1,0,Hectarea
Coyame Del Sotol,12,137397.4600,1,1,1,0,Hectarea
La Cruz,3,30923.0000,0,0,0,0,Hectarea
Cuauhtemoc,26,37138.3200,0,0,0,0,Hectarea
Cusihuiriachi,20,42200.0000,4,3,3,0,Hectarea
Chihuahua,44,266012.1500,0,0,0,0,Hectarea
Chinipas,16,111849.0000,12,10,10,9,Hectarea
Delicias,2,8330.0000,0,0,0,0,Hectarea
Dr. Belisario Dominguez,9,73373.0000,1,1,1,0,Hectarea
Galeana,4,122326.0000,0,0,0,0,Hectarea
Santa Isabel,8,20526.7200,1,1,1,0,Hectarea
Gomez Farias,7,33727.0000,0,0,0,0,Hectarea
Gran Morelos,10,17566.5000,0,0,0,0,Hectarea
Guachochi,26,328306.1500,9,9,9,2,Hectarea
Guadalupe,6,59910.3700,1,1,1,0,Hectarea
Guadalupe y Calvo,45,754765.0000,35,35,35,24,Hectarea
Guazapares,11,161073.0000,8,6,6,3,Hectarea
Guerrero,49,305954.9000,7,4,4,0,Hectarea
Hidalgo Del Parral,12,30261.5500,0,0,0,0,Hectarea
Huejotitan,8,38322.5500,1,1,1,0,Hectarea
Ignacio Zaragoza,4,112035.5600,1,1,1,0,Hectarea
Janos,14,209011.0000,3,3,3,0,Hectarea
Jimenez,42,257003.0000,7,4,4,1,Hectarea
Juarez,8,76208.5000,0,0,0,0,Hectarea
Julimes,6,74512.0000,1,1,1,1,Hectarea
Lopez,12,49848.0000,2,1,1,0,Hectarea
Madera,20,581775.9600,7,6,6,0,Hectarea
Maguarichi,5,29021.0000,3,3,3,0,Hectarea
Manuel Benavides,14,198640.0000,0,0,0,0,Hectarea
Matachi,5,21281.7500,0,0,0,0,Hectarea
Matamoros,8,46741.0000,0,0,0,0,Hectarea
Meoqui,2,6057.4300,0,0,0,0,Hectarea
Morelos,17,107563.6300,12,11,11,1,Hectarea
Moris,10,30978.0000,8,8,8,0,Hectarea
Namiquipa,12,146414.0000,2,2,2,0,Hectarea
Nonoava,3,58466.0000,1,1,1,0,Hectarea
Nuevo Casas Grandes,2,15419.0000,0,0,0,0,Hectarea
Ocampo,17,149031.0000,11,11,11,0,Hectarea
Ojinaga,30,308866.2300,0,0,0,0,Hectarea
Praxedis G. Guerrero,5,20722.0700,0,0,0,0,Hectarea
Riva Palacio,8,16317.5900,0,0,0,0,Hectarea
Rosales,9,38951.9500,3,2,2,0,Hectarea
Rosario,7,54044.0700,0,0,0,0,Hectarea
San Francisco de Borja,9,26232.0000,2,1,1,0,Hectarea
San Francisco de Conchos,7,40417.0000,1,1,1,0,Hectarea
San Francisco Del Oro,4,23388.0000,1,1,1,0,Hectarea
Santa Barbara,9,13557.0000,3,2,2,0,Hectarea
Satevo,19,97636.1300,1,0,0,0,Hectarea
Saucillo,13,50480.0000,0,0,0,0,Hectarea
Temosachi,13,221123.5000,1,1,1,0,Hectarea
El Tule,4,19844.0000,0,0,0,0,Hectarea
Urique,29,265396.0000,20,18,18,0,Hectarea
Uruachi,19,126327.0000,9,9,9,1,Hectarea
Valle de Zaragoza,15,85965.1000,1,1,1,0,Hectarea
Distrito Federal,26,44155.0000,13,13,13,1,Hectarea
Cuajimalpa de Morelos,3,2106.0000,2,2,2,0,Hectarea
La Magdalena Contreras,3,4679.0000,2,2,2,0,Hectarea
Milpa Alta,5,17034.5000,2,2,2,1,Hectarea
alvaro Obregon,2,671.0000,1,1,1,0,Hectarea
Tlahuac,3,404.0000,2,2,2,0,Hectarea
Tlalpan,8,18846.5000,3,3,3,0,Hectarea
Xochimilco,2,414.0000,1,1,1,0,Hectarea
Durango,1072,7292613.0500,328,303,303,68,Hectarea
Canatlan,40,218409.6600,4,4,4,0,Hectarea
Canelas,3,12511.0000,3,3,3,1,Hectarea
Coneto de Comonfort,8,49417.5000,1,1,1,0,Hectarea
Cuencame,26,187157.0500,3,3,3,1,Hectarea
Durango,114,495994.1800,28,27,27,0,Hectarea
