INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidos y comunidades segun cuenten con sociedades mercantiles, tipo de participantes",,,,,,,cuadro 35
y finalidades de las sociedades por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,_ejidos_y_comunidades,con_sociedades_mercantiles_total,con_sociedades_mercantiles_ejidatarios_participantes,con_sociedades_mercantiles_ejidatarios_participantes_mujeres,con_participantes_no_ejidatarios,solo_para_actividades_agropecuarias_o_forestales,sin_sociedades_mercantiles
Guadalupe y Calvo,45,0,0,0,0,0,45
Guazapares,11,0,0,0,0,0,11
Guerrero,50,1,50,25,1,0,49
Hidalgo del Parral,12,0,0,0,0,0,12
Huejotitan,8,0,0,0,0,0,8
Ignacio Zaragoza,4,0,0,0,0,0,4
Janos,14,0,0,0,0,0,14
Jimenez,53,0,0,0,0,0,53
Juarez,10,0,0,0,0,0,10
Julimes,6,0,0,0,0,0,6
Lopez,12,0,0,0,0,0,12
Madera,20,1,1270,474,0,1,19
Maguarichi,5,0,0,0,0,0,5
Manuel Benavides,14,0,0,0,0,0,14
Matachi,5,0,0,0,0,0,5
Matamoros,8,0,0,0,0,0,8
Meoqui,4,0,0,0,0,0,4
Morelos,17,0,0,0,0,0,17
Moris,10,0,0,0,0,0,10
Namiquipa,12,1,60,0,1,1,11
Nonoava,C,C,0,0,0,0,C
Nuevo Casas Grandes,C,C,0,0,0,0,C
Ocampo,17,0,0,0,0,0,17
Ojinaga,33,0,0,0,0,0,33
Praxedis G. Guerrero,5,0,0,0,0,0,5
Riva Palacio,9,0,0,0,0,0,9
Rosales,11,0,0,0,0,0,11
Rosario,7,0,0,0,0,0,7
San Francisco de Borja,9,0,0,0,0,0,9
San Francisco de Conchos,7,0,0,0,0,0,7
San Francisco del Oro,4,0,0,0,0,0,4
Santa Barbara,9,0,0,0,0,0,9
Satevo,20,0,0,0,0,0,20
Saucillo,13,0,0,0,0,0,13
Temosachi,13,0,0,0,0,0,13
El Tule,4,0,0,0,0,0,4
Urique,29,0,0,0,0,0,29
Uruachi,19,0,0,0,0,0,19
Valle de Zaragoza,15,0,0,0,0,0,15
Distrito Federal,37,1,336,90,0,1,36
Cuajimalpa de Morelos,C,C,0,0,0,0,C
La Magdalena Contreras,3,1,336,90,0,1,2
Milpa Alta,8,0,0,0,0,0,8
alvaro Obregon,C,C,0,0,0,0,C
Tlahuac,7,0,0,0,0,0,7
Tlalpan,10,0,0,0,0,0,10
Xochimilco,4,0,0,0,0,0,4
Durango,1124,7,193,26,1,4,1117
Canatlan,40,2,84,6,0,1,38
Canelas,C,C,0,0,0,0,C
Coneto de Comonfort,8,0,0,0,0,0,8
Cuencame,28,1,5,1,0,1,27
Durango,122,0,0,0,0,0,122
General Simon Bolivar,21,0,0,0,0,0,21
Gomez Palacio,98,1,40,15,1,1,97
Guadalupe Victoria,10,0,0,0,0,0,10
Guanacevi,40,0,0,0,0,0,40
Hidalgo,18,0,0,0,0,0,18
Inde,12,0,0,0,0,0,12
Lerdo,31,1,26,0,0,0,30
Mapimi,78,1,10,4,0,0,77
Mezquital,22,0,0,0,0,0,22
Nazas,24,0,0,0,0,0,24
Nombre de Dios,19,0,0,0,0,0,19
Ocampo,24,0,0,0,0,0,24
El Oro,25,0,0,0,0,0,25
Otaez,14,0,0,0,0,0,14
Panuco de Coronado,17,0,0,0,0,0,17
Peñon Blanco,5,0,0,0,0,0,5
Poanas,20,0,0,0,0,0,20
Pueblo Nuevo,24,0,0,0,0,0,24
Rodeo,29,0,0,0,0,0,29
San Bernardo,24,0,0,0,0,0,24
San Dimas,49,0,0,0,0,0,49
San Juan de Guadalupe,21,0,0,0,0,0,21
San Juan del Rio,22,0,0,0,0,0,22
San Luis del Cordero,C,C,0,0,0,0,C
San Pedro del Gallo,11,0,0,0,0,0,11
Santa Clara,6,0,0,0,0,0,6
Santiago Papasquiaro,62,0,0,0,0,0,62
Suchil,10,0,0,0,0,0,10
Tamazula,49,0,0,0,0,0,49
Tepehuanes,26,0,0,0,0,0,26
Tlahualilo,57,0,0,0,0,0,57
Topia,15,0,0,0,0,0,15
Vicente Guerrero,9,0,0,0,0,0,9
Nuevo Ideal,29,1,28,0,0,1,28
Guanajuato,1543,3,213,102,1,2,1540
Abasolo,47,0,0,0,0,0,47
Acambaro,69,0,0,0,0,0,69
San Miguel de Allende,61,0,0,0,0,0,61
Apaseo el Alto,28,0,0,0,0,0,28
Apaseo el Grande,39,0,0,0,0,0,39
Atarjea,12,0,0,0,0,0,12
Celaya,40,0,0,0,0,0,40
