INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun sin vegetacion,,,,,,cuadro 10,
por entidad federativa y municipio,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,con_arenales_o_pedregales,ensalitradas,erosionadas,cubiertas_con_agua,otras,erosionadas
Aljojuca,1,1,0,0,0,0,0
Altepexi,2,2,0,1,0,0,1
Amozoc,2,2,0,0,0,1,0
Atexcal,2,1,1,0,0,1,0
Atlixco,7,6,0,1,0,2,1
Atzitzihuacan,2,0,0,2,0,1,2
Atzitzintla,2,1,0,1,0,0,1
Ayotoxco de Guerrero,1,1,0,0,0,0,0
Calpan,1,1,0,0,0,0,0
Caltepec,3,3,0,0,0,1,0
Cohuecan,1,1,0,0,0,0,0
Coxcatlan,1,1,0,0,0,0,0
Coyomeapan,2,1,0,2,0,0,2
Coyotepec,1,0,0,0,0,1,0
Cuautinchan,2,0,0,2,0,0,2
Cuyoaco,2,2,0,0,0,0,0
Chalchicomula de Sesma,14,14,1,1,0,3,1
Chiautla,3,1,0,0,0,2,0
Chiautzingo,2,0,0,2,0,0,2
Chietla,10,7,3,2,2,4,2
Chignahuapan,12,9,1,4,0,2,4
Chignautla,2,1,1,1,0,1,1
Chila,1,0,0,0,0,1,0
Chinantla,2,1,0,0,0,2,0
Eloxochitlan,1,1,0,0,0,0,0
Epatlan,1,1,0,0,0,0,0
Esperanza,2,2,0,0,0,0,0
General Felipe angeles,3,3,0,0,0,2,0
Guadalupe,1,1,0,0,0,0,0
Guadalupe Victoria,8,7,0,1,1,0,1
Huaquechula,9,6,1,0,1,3,0
Huatlatlauca,3,3,0,0,0,1,0
Huauchinango,2,0,0,0,1,1,0
Huejotzingo,1,0,0,0,0,1,0
Hueytamalco,1,1,0,0,0,0,0
Hueytlalpan,1,1,0,0,0,0,0
Ixcamilpa de Guerrero,1,1,1,0,0,1,0
Ixcaquixtla,1,1,0,0,0,0,0
Ixtacamaxtitlan,17,17,2,13,1,1,13
Izucar de Matamoros,13,9,0,2,0,7,2
Jolalpan,2,0,1,2,0,2,2
Jonotla,2,2,1,2,0,1,2
Juan N. Mendez,1,0,0,0,0,1,0
Lafragua,1,1,0,0,0,0,0
Libres,2,0,0,2,0,0,2
La Magdalena Tlatlauquitepec,1,1,0,0,0,0,0
Mazapiltepec de Juarez,1,1,1,0,0,0,0
Mixtla,1,1,0,0,0,0,0
Molcaxac,3,2,0,0,0,1,0
Cañada Morelos,3,2,1,1,0,1,1
Nicolas Bravo,2,2,1,0,0,1,0
Ocotepec,1,1,0,0,0,0,0
Ocoyucan,4,4,0,0,1,1,0
Oriental,6,4,4,0,1,4,0
Pahuatlan,1,1,0,0,0,1,0
Palmar de Bravo,11,11,0,3,1,8,3
Petlalcingo,4,2,0,0,0,3,0
Piaxtla,2,2,1,0,2,1,0
Puebla,10,9,0,1,2,3,1
Quecholac,6,5,0,1,0,6,1
Los Reyes de Juarez,2,2,1,0,0,0,0
San Andres Cholula,1,0,0,0,0,1,0
San Antonio Cañada,2,2,0,1,0,1,1
San Diego la Mesa Tochimiltzingo,3,3,0,0,0,1,0
San Gabriel Chilac,2,1,0,0,0,1,0
San Jeronimo Tecuanipan,1,1,0,0,0,1,0
San Jeronimo Xayacatlan,1,0,0,0,0,1,0
San Jose Chiapa,3,1,2,0,0,0,0
San Jose Miahuatlan,6,4,2,3,0,2,3
San Juan Atenco,4,4,0,0,0,1,0
San Martin Texmelucan,2,0,0,1,0,1,1
San Matias Tlalancaleca,2,1,0,0,0,2,0
San Miguel Xoxtla,1,0,0,0,0,1,0
San Nicolas Buenos Aires,1,0,1,0,0,0,0
San Nicolas de los Ranchos,1,1,0,0,0,0,0
San Pablo Anicano,4,4,0,0,0,1,0
San Pedro Yeloixtlahuaca,1,1,1,0,0,0,0
San Sebastian Tlacotepec,1,1,0,0,1,0,0
Santa Ines Ahuatempan,1,0,0,1,0,0,1
Santiago Miahuatlan,3,3,1,0,0,2,0
Huehuetlan el Grande,2,2,1,2,0,0,2
Tecali de Herrera,6,5,0,1,1,0,1
Tecamachalco,2,2,0,0,0,0,0
Tecomatlan,3,3,0,0,1,0,0
Tehuacan,8,5,0,6,0,3,6
Tenampulco,2,2,0,0,1,1,0
Teopantlan,2,2,0,1,0,0,1
Teotlalco,2,1,1,1,0,0,1
Tepanco de Lopez,3,3,0,1,0,2,1
Tepeaca,7,5,0,1,0,2,1
Tepemaxalco,2,2,1,1,0,2,1
Tepeojuma,2,1,0,0,0,1,0
Tepetzintla,1,1,0,0,0,0,0
Tepexco,2,2,0,0,0,0,0
Tepeyahualco,12,9,4,3,0,4,3
Tetela de Ocampo,2,2,0,0,0,1,0
Teziutlan,2,2,0,0,0,1,0
Tianguismanalco,4,4,1,0,0,0,0
Tilapa,4,3,1,1,0,2,1
Tlacotepec de Benito Juarez,7,7,0,0,0,1,0
Tlacuilotepec,1,1,0,0,0,1,0
Tlachichuca,9,9,0,0,0,1,0
Tlahuapan,5,3,0,2,1,1,2
Tlanepantla,1,1,0,0,0,0,0
Tlapanala,3,3,1,0,0,0,0
Tochimilco,4,4,0,0,0,1,0
Tochtepec,2,1,0,0,0,2,0
Tulcingo,1,1,0,0,1,0,0
Tzicatlacoyan,4,3,0,1,0,0,1
Venustiano Carranza,2,0,0,0,0,2,0
Vicente Guerrero,3,3,0,1,0,0,1
Xiutetelco,2,2,0,0,0,2,0
Xochiapulco,1,1,0,0,0,1,0
Xochitlan Todos Santos,2,1,0,0,0,2,0
Yehualtepec,2,2,0,0,0,1,0
Zacapoaxtla,2,2,1,0,0,1,0
Zacatlan,5,4,0,0,1,2,0
Zapotitlan,4,4,1,1,0,3,1
Zautla,7,7,0,6,0,4,6
Zoquitlan,1,0,0,0,1,0,0
Queretaro,154,127,19,49,21,48,49
Amealco de Bonfil,18,14,3,12,1,7,12
Pinal de Amoles,11,9,0,3,1,5,3
Arroyo Seco,2,2,0,0,0,0,0
Cadereyta de Montes,22,19,7,11,4,6,11
Colon,11,9,0,2,1,4,2
Corregidora,7,5,0,0,0,4,0
Ezequiel Montes,3,3,0,0,0,2,0
Huimilpan,8,8,0,1,0,1,1
El Marques,15,10,2,1,9,5,1
Pedro Escobedo,13,10,0,1,1,4,1
Peñamiller,7,5,4,7,0,1,7
Queretaro,10,10,1,6,2,1,6
San Joaquin,3,1,0,2,0,3,2
San Juan del Rio,13,12,2,2,1,4,2
Tequisquiapan,5,4,0,1,1,1,1
Toliman,6,6,0,0,0,0,0
Quintana Roo,85,23,2,3,59,64,3
Felipe Carrillo Puerto,5,1,0,1,4,5,1
Isla Mujeres,1,1,0,0,0,0,0
Othon P. Blanco,29,13,0,0,13,20,0
Benito Juarez,1,1,1,0,0,1,0
Jose Maria Morelos,33,2,0,1,31,27,1
Lazaro Cardenas,14,4,1,1,10,9,1
Solidaridad,2,1,0,0,1,2,0
San Luis Potosi,229,136,62,58,28,75,58
Ahualulco,1,1,0,0,0,0,0
Alaquines,4,0,0,1,1,2,1
Aquismon,6,6,0,3,0,0,3
Armadillo de los Infante,1,1,0,0,0,0,0
Cardenas,1,0,0,1,0,1,1
Catorce,2,2,2,0,1,0,0
Cedral,2,1,0,0,0,1,0
Cerritos,2,1,0,1,1,1,1
Ciudad del Maiz,5,5,1,1,0,2,1
Tancanhuitz,2,2,0,0,0,1,0
Ciudad Valles,1,1,0,0,0,0,0
Charcas,11,5,2,2,1,8,2
Guadalcazar,11,7,5,1,0,0,1
Huehuetlan,1,0,0,1,0,0,1
Lagunillas,4,2,0,0,0,2,0
Matehuala,8,4,5,0,0,0,0
Mexquitic de Carmona,12,11,1,1,0,2,1
Moctezuma,4,3,1,0,0,0,0
Rayon,5,4,1,1,2,5,1
Rioverde,14,9,6,3,1,4,3
Salinas,4,1,2,1,1,1,1
San Antonio,2,0,0,2,0,1,2
San Ciro de Acosta,1,1,0,0,0,1,0
San Luis Potosi,14,11,4,2,0,2,2
San Martin Chalchicuautla,1,0,0,0,0,1,0
San Nicolas Tolentino,2,2,0,0,1,0,0
Santa Catarina,1,0,0,0,0,1,0
Santa Maria del Rio,2,1,0,0,1,0,0
Santo Domingo,14,4,9,1,4,2,1
San Vicente Tancuayalab,3,0,0,0,3,3,0
Soledad de Graciano Sanchez,5,4,0,1,0,1,1
Tamasopo,3,2,0,0,0,3,0
Tamazunchale,8,8,1,2,0,3,2
Tamuin,16,6,3,10,1,11,10
Tanlajas,2,0,1,1,0,1,1
Vanegas,4,1,3,0,0,0,0
Venado,1,0,0,0,0,1,0
Villa de Arriaga,10,7,2,10,0,5,10
Villa de Guadalupe,7,5,3,0,2,3,0
Villa de Ramos,8,2,5,1,5,0,1
Villa de Reyes,6,5,2,3,2,1,3
Villa Hidalgo,9,8,2,1,0,3,1
Villa Juarez,2,0,1,2,1,1,2
Axtla de Terrazas,2,0,0,1,0,1,1
Zaragoza,5,3,0,4,0,0,4
Sinaloa,359,177,142,40,61,108,40
Ahome,46,12,33,3,6,10,3
Angostura,12,1,9,0,2,3,0
Badiraguato,8,6,0,1,0,3,1
Concordia,12,11,2,4,2,8,4
Cosala,22,17,0,5,2,7,5
Culiacan,37,13,17,2,5,14,2
Choix,23,18,0,0,0,8,0
Elota,4,1,2,2,0,0,2
Escuinapa,8,1,3,1,3,0,1
El Fuerte,25,17,3,4,2,14,4
Guasave,46,6,38,0,9,10,0
Mazatlan,19,13,4,2,8,8,2
Mocorito,14,11,5,2,0,3,2
Rosario,19,15,7,3,3,1,3
Salvador Alvarado,2,2,0,0,0,1,0
San Ignacio,11,9,3,1,8,3,1
Sinaloa,26,20,3,7,3,6,7
Navolato,25,4,13,3,8,9,3
Sonora,390,208,105,46,47,170,46
alamos,43,20,3,1,14,23,1
Altar,1,0,0,0,0,1,0
Arivechi,2,2,1,1,0,2,1
Arizpe,1,1,1,0,0,0,0
Atil,2,2,1,1,0,0,1
Bacadehuachi,1,1,1,0,0,0,0
Bacanora,3,3,0,3,1,2,3
Bacerac,2,2,0,0,0,1,0
Bacoachi,1,0,0,1,0,0,1
Bacum,21,8,9,2,12,4,2
Benjamin Hill,1,1,0,0,0,0,0
Caborca,25,21,2,1,0,6,1
Cajeme,37,7,16,6,2,16,6
Cananea,1,1,0,0,0,0,0
La Colorada,3,2,2,0,0,1,0
Cucurpe,2,1,0,0,0,2,0
Cumpas,3,3,1,0,1,2,0
Empalme,5,3,0,0,0,4,0
Etchojoa,26,0,13,0,0,17,0
Guaymas,13,11,5,7,0,4,7
Hermosillo,18,16,3,4,1,5,4
Huatabampo,36,8,19,0,5,19,0
Imuris,3,3,0,2,0,1,2
Magdalena,4,3,0,2,0,1,2
Mazatan,2,2,1,0,0,2,0
Nacozari de Garcia,3,3,0,0,0,0,0
Navojoa,8,6,0,1,1,2,1
Nogales,5,4,0,2,0,1,2
Onavas,2,2,1,0,0,2,0
Pitiquito,3,3,0,1,0,1,1
Puerto Peñasco,15,15,1,0,0,1,0
Quiriego,2,1,0,0,0,1,0
Rosario,4,2,0,1,1,1,1
Sahuaripa,7,5,1,2,2,2,2
San Javier,1,0,0,0,0,1,0
San Luis Rio Colorado,32,14,2,0,1,20,0
San Pedro de la Cueva,6,5,3,2,2,6,2
Santa Ana,1,1,0,0,0,1,0
Santa Cruz,1,0,0,0,0,1,0
Soyopa,2,2,1,1,1,1,1
Trincheras,1,0,0,0,0,1,0
Tubutama,1,1,1,1,0,1,1
Ures,1,0,0,1,0,1,1
Villa Hidalgo,3,3,1,0,2,2,0
Villa Pesqueira,2,2,1,1,0,2,1
Yecora,2,2,0,1,0,2,1
General Plutarco Elias Calles,10,8,0,0,0,4,0
San Ignacio Rio Muerto,22,8,15,1,1,3,1
Tabasco,104,26,17,5,67,42,5
Balancan,4,1,0,1,3,2,1
Cardenas,6,2,3,0,1,2,0
Centla,21,9,3,1,16,7,1
Centro,4,0,0,1,2,4,1
Comalcalco,6,0,4,0,5,3,0
Emiliano Zapata,3,0,0,0,0,3,0
Huimanguillo,11,3,0,0,10,1,0
Jalapa,2,0,0,0,2,0,0
Jalpa de Mendez,6,0,1,0,5,2,0
Jonuta,4,0,0,0,2,3,0
Macuspana,9,0,0,0,7,3,0
Nacajuca,6,0,0,1,5,4,1
Paraiso,7,0,6,0,6,1,0
Tenosique,15,11,0,1,3,7,1
Tamaulipas,251,163,72,33,48,64,33
Abasolo,9,2,6,4,0,6,4
Aldama,13,6,2,0,8,3,0
Altamira,21,12,3,1,10,2,1
Antiguo Morelos,6,5,0,0,1,1,0
Burgos,8,6,2,3,1,3,3
Bustamante,5,3,1,0,0,3,0
Casas,2,1,2,0,0,0,0
Cruillas,6,5,4,1,2,3,1
Gomez Farias,2,2,0,0,0,0,0
Gonzalez,21,14,5,3,3,7,3
Güemez,13,12,1,1,0,5,1
Gustavo Diaz Ordaz,1,0,0,0,1,0,0
Hidalgo,10,7,1,0,3,3,0
Jaumave,16,13,2,4,0,0,4
Jimenez,4,1,2,0,3,1,0
Llera,7,5,5,0,0,0,0
El Mante,11,8,1,2,1,0,2
Matamoros,11,1,10,0,2,4,0
Mendez,5,3,3,2,0,1,2
Nuevo Laredo,3,3,0,0,0,2,0
Ocampo,6,4,1,3,0,2,3
Padilla,6,4,2,1,0,2,1
Palmillas,2,2,1,0,0,0,0
Reynosa,16,7,0,1,2,9,1
San Carlos,4,4,0,0,1,0,0
San Fernando,6,2,3,0,3,2,0
Soto la Marina,17,15,3,1,4,3,1
Tampico,1,0,0,0,1,0,0
Tula,12,10,9,6,1,2,6
Victoria,3,3,1,0,0,0,0
Xicotencatl,4,3,2,0,1,0,0
Tlaxcala,68,40,4,31,8,33,31
Atlangatepec,1,0,0,1,0,1,1
Altzayanca,2,1,1,1,1,1,1
Apizaco,1,0,0,0,0,1,0
Calpulalpan,3,2,1,1,1,2,1
Cuapiaxtla,1,1,0,1,0,0,1
Chiautempan,1,1,0,0,0,0,0
Muñoz de Domingo Arenas,2,1,1,0,0,0,0
Españita,5,3,1,2,0,4,2
Huamantla,3,2,0,2,0,1,2
Hueyotlipan,5,0,0,4,2,2,4
Ixtacuixtla de Mariano Matamoros,4,3,0,1,0,1,1
Ixtenco,1,1,0,1,0,0,1
Nanacamilpa de Mariano Arista,3,1,0,2,0,1,2
Nativitas,1,0,0,0,1,1,0
Panotla,3,2,0,2,0,2,2
Terrenate,4,4,0,0,0,1,0
Tetla de la Solidaridad,4,3,0,1,0,2,1
Tetlatlahuca,1,0,0,0,1,0,0
Tlaxco,15,12,0,7,2,7,7
Xaloztoc,1,0,0,0,0,1,0
Xaltocan,2,0,0,1,0,2,1
Yauhquemecan,2,2,0,2,0,2,2
San Damian Texoloc,1,1,0,0,0,0,0
San Lucas Tecopilco,1,0,0,1,0,1,1
Santa Ana Nopalucan,1,0,0,1,0,0,1
Veracruz de Ignacio de la Llave,286,153,23,19,69,159,19
Acayucan,3,3,0,0,0,1,0
Actopan,3,1,0,0,0,3,0
Acula,1,1,0,0,0,0,0
Acultzingo,10,5,0,0,0,5,0
Alto Lucero de Gutierrez Barrios,1,1,0,0,0,0,0
Altotonga,1,1,0,0,0,0,0
Alvarado,2,0,0,0,1,2,0
Naranjos Amatlan,1,1,0,0,0,1,0
Amatlan de los Reyes,1,0,0,0,0,1,0
angel R. Cabada,1,1,0,0,0,0,0
La Antigua,1,1,1,0,0,1,0
Apazapan,1,1,0,0,0,1,0
Atzacan,2,2,0,0,0,2,0
Atzalan,3,2,0,0,0,1,0
Tlaltetela,4,3,1,0,2,4,0
Boca del Rio,1,0,0,0,1,0,0
Calcahualco,1,0,0,1,0,1,1
Carrillo Puerto,1,0,0,0,0,1,0
Coacoatzintla,1,1,0,0,0,0,0
Coahuitlan,1,1,0,0,1,0,0
Coatepec,2,1,0,0,2,1,0
Coatzintla,1,0,0,0,0,1,0
Cosamaloapan de Carpio,2,0,0,0,1,2,0
Coscomatepec,2,2,0,0,0,1,0
Chalma,3,3,1,0,1,1,0
Chiconquiaco,2,2,0,0,0,0,0
Chicontepec,11,1,1,1,1,10,1
Chinampa de Gorostiza,2,2,0,0,0,2,0
Las Choapas,17,14,0,0,5,9,0
Chontla,1,1,0,0,0,1,0
Emiliano Zapata,3,2,0,1,0,1,1
Espinal,1,0,0,0,0,1,0
Hidalgotitlan,1,1,0,0,0,0,0
Huayacocotla,12,8,2,4,0,7,4
Hueyapan de Ocampo,3,2,0,1,0,2,1
Isla,4,1,0,0,2,2,0
Ixhuacan de los Reyes,2,2,0,0,0,0,0
Ixhuatlan de Madero,5,4,0,0,1,4,0
Ixmatlahuacan,1,1,0,0,0,0,0
Ixtaczoquitlan,1,1,0,0,0,1,0
Jalcomulco,2,1,1,1,1,2,1
Jaltipan,3,2,0,1,1,2,1
Jesus Carranza,12,12,0,0,0,3,0
Xico,1,1,0,1,0,0,1
Juan Rodriguez Clara,1,1,0,0,1,1,0
Maltrata,2,1,0,0,0,1,0
Manlio Fabio Altamirano,3,2,0,0,1,2,0
Martinez de la Torre,3,0,0,0,1,3,0
Miahuatlan,1,0,0,0,0,1,0
Minatitlan,19,1,0,0,6,17,0
Nogales,3,3,0,0,0,1,0
Omealca,1,1,0,0,0,0,0
Ozuluama de Mascareñas,4,2,1,1,3,2,1
Pajapan,1,0,0,0,1,1,0
Panuco,14,4,5,0,4,4,0
Papantla,1,0,0,0,0,1,0
Paso del Macho,1,1,0,0,0,0,0
Perote,6,4,0,0,0,5,0
Platon Sanchez,1,0,0,1,0,1,1
Las Vigas de Ramirez,4,4,3,3,1,3,3
Pueblo Viejo,2,0,1,0,1,1,0
Puente Nacional,2,1,0,0,1,0,0
Los Reyes,1,0,0,0,0,1,0
San Andres Tuxtla,10,7,0,0,0,6,0
San Juan Evangelista,1,0,0,0,1,1,0
Santiago Tuxtla,2,0,0,0,1,1,0
Soledad Atzompa,1,1,0,0,0,0,0
Soledad de Doblado,1,1,0,0,0,0,0
Soteapan,1,0,0,1,0,0,1
Tamalin,1,0,0,0,1,1,0
Tamiahua,8,1,0,0,7,3,0
Tampico Alto,6,4,3,0,4,3,0
Tancoco,1,0,0,0,0,1,0
Tantima,2,0,0,0,1,1,0
Tantoyuca,1,1,0,0,0,0,0
Tecolutla,4,2,0,0,2,2,0
Temapache,3,1,0,0,2,0,0
Tempoal,1,1,0,0,0,0,0
Tenampa,1,1,0,0,0,0,0
Tepetlan,2,1,1,0,0,1,0
Jose Azueta,2,1,0,0,2,1,0
Texistepec,1,0,0,0,1,0,0
Tezonapa,1,0,0,0,1,0,0
Tierra Blanca,1,0,0,0,1,1,0
Tihuatlan,2,2,1,0,0,0,0
Tlachichilco,1,0,0,0,0,1,0
Tlapacoyan,1,0,0,0,0,1,0
Tlilapan,1,1,0,0,0,0,0
Tonayan,2,0,0,0,0,2,0
Totutla,1,1,0,0,0,0,0
Tuxpam,4,0,0,0,2,2,0
ursulo Galvan,1,1,0,0,0,0,0
Veracruz,1,0,0,1,0,0,1
Xoxocotla,1,1,0,0,0,0,0
Yecuatla,1,1,0,0,0,0,0
Zacualpan,1,1,0,0,0,1,0
El Higo,1,0,0,1,0,0,1
Tres Valles,3,2,0,0,2,1,0
Carlos A. Carrillo,1,0,0,0,0,1,0
Tatahuicapan de Juarez,3,2,0,0,1,3,0
Uxpanapa,6,5,1,0,0,3,0
Yucatan,96,46,8,10,20,83,10
Abala,2,0,0,0,0,2,0
Acanceh,2,0,0,0,0,2,0
Akil,1,1,0,0,0,0,0
Buctzotz,1,0,0,0,0,1,0
Cansahcab,1,0,0,0,0,1,0
Conkal,2,2,0,1,0,1,1
Chankom,2,0,0,0,0,2,0
Chapab,1,0,0,0,0,1,0
Chemax,6,5,0,0,1,5,0
Chichimila,2,1,0,0,0,2,0
Dzilam de Bravo,1,1,1,1,0,1,1
Halacho,6,6,2,3,3,5,3
Ixil,1,1,1,1,1,1,1
Izamal,2,2,0,0,0,1,0
Kopoma,1,1,0,0,0,1,0
Maxcanu,8,5,0,1,0,7,1
Merida,2,2,0,0,0,0,0
Opichen,2,2,0,1,0,1,1
Oxkutzcab,2,1,0,0,0,1,0
Progreso,1,1,0,0,0,1,0
Quintana Roo,1,1,0,0,0,1,0
Sinanche,3,0,1,0,0,2,0
Tekax,13,1,0,0,10,12,0
Telchac,1,1,0,0,0,1,0
Temax,2,0,0,0,0,2,0
Temozon,2,2,0,0,0,2,0
Tinum,2,0,0,0,0,2,0
Tizimin,7,2,2,1,4,6,1
Uayma,2,0,0,0,0,2,0
Uman,1,0,0,0,0,1,0
Valladolid,14,8,1,1,1,14,1
Yobain,2,0,0,0,0,2,0
Zacatecas,242,180,62,53,64,90,53
Apozol,2,2,0,0,0,1,0
Apulco,1,1,0,0,0,0,0
Atolinga,1,1,0,0,1,1,0
Benito Juarez,1,0,0,0,0,1,0
Calera,2,1,0,1,1,1,1
Cañitas de Felipe Pescador,2,1,2,0,1,1,0
Concepcion del Oro,9,5,4,2,6,4,2
Cuauhtemoc,2,2,0,0,0,2,0
Fresnillo,19,16,0,3,3,3,3
Genaro Codina,2,2,0,0,0,0,0
General Enrique Estrada,1,1,0,0,0,0,0
General Francisco R. Murguia,6,4,3,1,1,2,1
El Plateado de Joaquin Amaro,3,2,1,1,1,1,1
General Panfilo Natera,5,3,1,0,0,1,0
Guadalupe,9,6,4,5,5,8,5
Jalpa,4,4,0,0,1,2,0
Jerez,12,11,4,1,1,4,1
Jimenez del Teul,2,2,0,1,0,0,1
Juan Aldama,1,0,0,0,0,1,0
Juchipila,4,4,1,4,0,1,4
Loreto,3,2,0,0,2,2,0
Mazapil,21,6,7,2,10,14,2
Melchor Ocampo,3,2,2,0,1,2,0
Miguel Auza,3,1,0,0,2,1,0
Monte Escobedo,3,2,0,1,1,0,1
Morelos,2,1,2,1,1,2,1
Ojocaliente,1,1,0,0,0,1,0
Panuco,6,6,6,6,6,6,6
Pinos,11,9,1,4,0,0,4
Rio Grande,12,10,2,0,1,1,0
Sain Alto,2,2,0,0,0,0,0
El Salvador,1,1,1,1,1,1,1
Sombrerete,11,10,0,0,1,4,0
Susticacan,2,2,0,0,0,0,0
Tabasco,1,1,0,0,0,0,0
Tepechitlan,1,1,0,1,0,1,1
Tepetongo,7,4,0,1,2,1,1
Teul de Gonzalez Ortega,2,1,0,0,0,1,0
Valparaiso,18,14,3,5,6,5,5
Vetagrande,2,2,2,1,2,1,1
Villa de Cos,28,22,14,6,6,10,6
Villa Garcia,4,3,1,3,1,1,3
Villa Gonzalez Ortega,1,1,1,1,0,1,
Villanueva,1,1,0,1,0,0,
Zacatecas,5,5,0,0,0,0,
Trancoso,2,1,0,0,0,1,
Santa Maria de la Paz,1,1,0,0,0,0,
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  15, 15.1 y 15.2",,,,,,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,,,,,
