INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad_,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
Axochiapan,7,0,0,0,0,0.0000,Hectarea
Ayala,16,3,0,3,18,28.0000,Hectarea
Coatlan del Rio,5,0,0,0,0,0.0000,Hectarea
Cuautla,8,1,1,0,0,25.0000,Hectarea
Cuernavaca,5,2,1,1,100,406.5000,Hectarea
Emiliano Zapata,4,2,2,0,0,51.8000,Hectarea
Huitzilac,1,0,0,0,0,0.0000,Hectarea
Jantetelco,6,0,0,0,0,0.0000,Hectarea
Jiutepec,6,5,5,0,0,171.1000,Hectarea
Jojutla,9,6,5,1,1,353.0000,Hectarea
Jonacatepec,4,0,0,0,0,0.0000,Hectarea
Mazatepec,3,0,0,0,0,0.0000,Hectarea
Miacatlan,6,0,0,0,0,0.0000,Hectarea
Ocuituco,7,1,0,1,1,2.0000,Hectarea
Puente de Ixtla,8,0,0,0,0,0.0000,Hectarea
Temixco,8,4,2,2,30,366.0000,Hectarea
Tepalcingo,10,0,0,0,0,0.0000,Hectarea
Tetecala,3,0,0,0,0,0.0000,Hectarea
Tetela del Volcµn,5,0,0,0,0,0.0000,Hectarea
Tlalnepantla,2,0,0,0,0,0.0000,Hectarea
Tlaltizapµn,17,3,0,3,4,16.0000,Hectarea
Tlaquiltenango,19,0,0,0,0,0.0000,Hectarea
Tlayacapan,5,0,0,0,0,0.0000,Hectarea
Totolapan,6,0,0,0,0,0.0000,Hectarea
Xochitepec,6,3,2,1,6,26.0000,Hectarea
Yautepec,10,3,2,1,3,26.0000,Hectarea
Yecapixtla,11,1,0,1,50,30.0000,Hectarea
Zacatepec de Hidalgo,3,0,0,0,0,0.0000,Hectarea
Zacualpan de Amilpas,2,0,0,0,0,0.0000,Hectarea
Temoac,4,0,0,0,0,0.0000,Hectarea
Nayarit,352,93,57,36,333,27097.5500,Hectarea
Acaponeta,19,0,0,0,0,0.0000,Hectarea
Ahuacatlan,8,7,7,0,0,0.0000,Hectarea
Amatlan de Cañas,14,5,5,0,0,1304.0000,Hectarea
Compostela,29,18,16,2,19,6973.0000,Hectarea
Huajicori,8,0,0,0,0,0.0000,Hectarea
Ixtlan del Rio,10,1,0,1,8,500.0000,Hectarea
Jala,10,5,5,0,0,4.0000,Hectarea
Xalisco,12,0,0,0,0,0.0000,Hectarea
Del Nayar,22,3,3,0,0,0.0000,Hectarea
Rosamorada,27,8,5,3,11,119.0000,Hectarea
Ruiz,2,1,1,0,0,12.0000,Hectarea
San Blas,29,10,0,10,104,665.0000,Hectarea
San Pedro Lagunillas,9,5,5,0,0,5227.5000,Hectarea
Santa Maria del Oro,17,2,0,2,4,21.0000,Hectarea
Santiago Ixcuintla,52,1,1,0,0,20.0000,Hectarea
Tecuala,22,1,1,0,0,6493.0000,Hectarea
Tepic,49,19,2,17,165,1048.5000,Hectarea
Tuxpan,3,0,0,0,0,0.0000,Hectarea
La Yesca,1,0,0,0,0,0.0000,Hectarea
Bahia de Banderas,9,7,6,1,22,4710.5500,Hectarea
Nuevo Leon,571,139,120,19,360,50435.1600,Hectarea
Abasolo,1,0,0,0,0,0.0000,Hectarea
Agualeguas,5,1,1,0,0,0.0000,Hectarea
Allende,1,0,0,0,0,0.0000,Hectarea
Anahuac,13,8,8,0,0,4558.5000,Hectarea
Apodaca,1,1,1,0,0,41.0000,Hectarea
Aramberri,43,0,0,0,0,0.0000,Hectarea
Bustamante,2,1,0,1,100,3000.0000,Hectarea
Cadereyta Jimenez,32,21,17,4,48,4622.0000,Hectarea
Carmen,1,1,1,0,0,86.0000,Hectarea
Cienega de Flores,2,2,2,0,0,1504.0000,Hectarea
China,3,0,0,0,0,0.0000,Hectarea
Dr. Arroyo,99,1,1,0,0,600.0000,Hectarea
Dr. Gonzalez,2,2,2,0,0,1923.0000,Hectarea
Galeana,104,1,1,0,0,80.0000,Hectarea
Garcia,11,8,5,3,19,739.0000,Hectarea
Gral. Bravo,1,1,1,0,0,980.0000,Hectarea
Gral. Escobedo,2,2,2,0,0,1272.0000,Hectarea
Gral. Teran,16,3,1,2,62,986.5100,Hectarea
Gral. Zaragoza,12,0,0,0,0,0.0000,Hectarea
Gral. Zuazua,1,1,1,0,0,540.0000,Hectarea
Guadalupe,1,1,1,0,0,6.0000,Hectarea
Hualahuises,5,3,3,0,0,0.0000,Hectarea
Iturbide,10,0,0,0,0,0.0000,Hectarea
Juarez,4,4,4,0,0,1653.0000,Hectarea
Lampazos de Naranjo,7,2,2,0,0,0.0000,Hectarea
Linares,66,16,13,3,15,5026.2500,Hectarea
Marin,1,0,0,0,0,0.0000,Hectarea
Mier y Noriega,11,0,0,0,0,0.0000,Hectarea
Mina,21,6,6,0,0,2926.0000,Hectarea
Montemorelos,26,13,12,1,7,1303.3000,Hectarea
Monterrey,1,1,1,0,0,0.0000,Hectarea
Paras,3,2,2,0,0,1684.0000,Hectarea
Pesqueria,8,7,7,0,0,2026.6000,Hectarea
Los Ramones,2,2,2,0,0,1204.0000,Hectarea
Rayones,8,1,1,0,0,0.0000,Hectarea
Sabinas Hidalgo,9,6,4,2,44,1952.0000,Hectarea
Salinas Victoria,7,5,5,0,0,8767.0000,Hectarea
Santa Catarina,4,2,2,0,0,7.0000,Hectarea
Santiago,9,5,5,0,0,24.0000,Hectarea
Vallecillo,11,5,3,2,53,2655.0000,Hectarea
Villaldama,5,4,3,1,12,269.0000,Hectarea
Oaxaca,1105,240,175,65,5284,401948.6200,Hectarea
Acatlan de Perez Figueroa,37,5,1,4,33,203.0000,Hectarea
Asuncion Cuyotepeji,1,0,0,0,0,0.0000,Hectarea
Asuncion Ixtaltepec,10,5,5,0,0,15541.0000,Hectarea
Asuncion Nochixtlan,9,2,2,0,0,2570.0000,Hectarea
Asuncion Tlacolulita,2,0,0,0,0,0.0000,Hectarea
Ayotzintepec,4,0,0,0,0,0.0000,Hectarea
El Barrio de la Soledad,1,0,0,0,0,0.0000,Hectarea
Calihuala,1,0,0,0,0,0.0000,Hectarea
Candelaria Loxicha,1,0,0,0,0,0.0000,Hectarea
Cienega de Zimatlan,1,0,0,0,0,0.0000,Hectarea
Ciudad Ixtepec,1,1,1,0,0,12.0000,Hectarea
La Compañia,1,0,0,0,0,0.0000,Hectarea
Concepcion Buenavista,2,0,0,0,0,0.0000,Hectarea
Concepcion Papalo,2,0,0,0,0,0.0000,Hectarea
Constancia del Rosario,1,1,1,0,0,200.0000,Hectarea
Cosolapa,8,1,0,1,4,13.5000,Hectarea
Cosoltepec,3,0,0,0,0,0.0000,Hectarea
Cuilapam de Guerrero,2,2,0,2,23,60.0000,Hectarea
Cuyamecalco Villa de Zaragoza,2,2,2,0,0,1988.0000,Hectarea
Chahuites,1,1,1,0,0,6191.0000,Hectarea
Chiquihuitlan de Benito Juarez,1,1,1,0,0,3483.0000,Hectarea
Heroica Ciudad de Ejutla de Crespo,9,5,5,0,0,6783.0000,Hectarea
Fresnillo de Trujano,1,0,0,0,0,0.0000,Hectarea
Guadalupe Etla,1,1,1,0,0,40.0000,Hectarea
Guadalupe de Ramirez,2,0,0,0,0,0.0000,Hectarea
Guevea de Humboldt,1,0,0,0,0,0.0000,Hectarea
Mesones Hidalgo,2,2,2,0,0,2000.0000,Hectarea
Heroica Ciudad de Huajuapan de Leon,7,4,2,2,28,323.0000,Hectarea
Huautepec,1,0,0,0,0,0.0000,Hectarea
Ixtlan de Juarez,3,1,1,0,0,6620.0000,Hectarea
Heroica Ciudad de Juchitan de Zaragoza,5,3,3,0,0,2003.9400,Hectarea
Loma Bonita,36,6,3,3,36,819.0000,Hectarea
Magdalena Apasco,3,0,0,0,0,0.0000,Hectarea
Magdalena Jaltepec,1,1,1,0,0,8162.2900,Hectarea
Santa Magdalena Jicotlan,1,0,0,0,0,0.0000,Hectarea
Magdalena Mixtepec,2,0,0,0,0,0.0000,Hectarea
Magdalena Tequisistlan,3,1,1,0,0,8000.0000,Hectarea
Magdalena Tlacotepec,1,1,1,0,0,944.0000,Hectarea
Mariscala de Juarez,3,0,0,0,0,0.0000,Hectarea
Martires de Tacubaya,1,0,0,0,0,0.0000,Hectarea
Matias Romero Avendaño,22,6,4,2,33,5359.0000,Hectarea
Miahuatlan de Porfirio Diaz,9,1,1,0,0,20.0000,Hectarea
Mixistlan de la Reforma,2,0,0,0,0,0.0000,Hectarea
Monjas,1,0,0,0,0,0.0000,Hectarea
Nejapa de Madero,7,2,2,0,0,2240.0000,Hectarea
Santiago Niltepec,3,0,0,0,0,0.0000,Hectarea
Oaxaca de Juarez,6,2,1,1,10,10.0000,Hectarea
Ocotlan de Morelos,6,0,0,0,0,0.0000,Hectarea
"La ""Pe""",2,1,0,1,10,30.0000,Hectarea
San Jose del Progreso,1,1,0,1,20,8.0000,Hectarea
Putla Villa de Guerrero,10,4,4,0,0,634.5900,Hectarea
Santa Catarina Quioquitani,1,0,0,0,0,0.0000,Hectarea
Reforma de Pineda,1,0,0,0,0,0.0000,Hectarea
La Reforma,4,2,2,0,0,1818.0000,Hectarea
Reyes Etla,2,0,0,0,0,0.0000,Hectarea
Rojas de Cuauhtemoc,1,0,0,0,0,0.0000,Hectarea
Salina Cruz,3,2,2,0,0,808.0000,Hectarea
San Agustin Amatengo,2,0,0,0,0,0.0000,Hectarea
San Agustin Atenango,2,0,0,0,0,0.0000,Hectarea
San Agustin Chayuco,2,1,1,0,0,1930.0000,Hectarea
San Agustin de las Juntas,1,0,0,0,0,0.0000,Hectarea
San Agustin Loxicha,1,0,0,0,0,0.0000,Hectarea
San Agustin Tlacotepec,1,0,0,0,0,0.0000,Hectarea
San Andres Cabecera Nueva,1,1,1,0,0,32974.6300,Hectarea
San Andres Dinicuiti,3,0,0,0,0,0.0000,Hectarea
San Andres Huayapam,1,0,0,0,0,0.0000,Hectarea
San Andres Lagunas,1,0,0,0,0,0.0000,Hectarea
San Andres Nuxiño,1,0,0,0,0,0.0000,Hectarea
San Andres Sinaxtla,2,0,0,0,0,0.0000,Hectarea
San Andres Solaga,1,1,1,0,0,1307.0000,Hectarea
San Andres Teotilalpam,1,0,0,0,0,0.0000,Hectarea
San Andres Yaa,1,1,0,1,250,28.0000,Hectarea
San Andres Zautla,2,1,1,0,0,0.0000,Hectarea
San Antonino el Alto,2,0,0,0,0,0.0000,Hectarea
San Antonino Monte Verde,1,0,0,0,0,0.0000,Hectarea
San Antonio Acutla,1,0,0,0,0,0.0000,Hectarea
San Antonio Huitepec,1,0,0,0,0,0.0000,Hectarea
San Antonio Nanahuatipam,2,2,2,0,0,231.0000,Hectarea
San Baltazar Chichicapam,2,1,1,0,0,0.0000,Hectarea
San Baltazar Loxicha,2,0,0,0,0,0.0000,Hectarea
San Bartolo Coyotepec,3,0,0,0,0,0.0000,Hectarea
San Bartolome Ayautla,1,0,0,0,0,0.0000,Hectarea
San Bartolome Loxicha,1,0,0,0,0,0.0000,Hectarea
San Bartolome Yucuañe,1,0,0,0,0,0.0000,Hectarea
San Bartolo Soyaltepec,1,0,0,0,0,0.0000,Hectarea
San Bernardo Mixtepec,3,0,0,0,0,0.0000,Hectarea
San Blas Atempa,1,1,1,0,0,3000.0000,Hectarea
San Carlos Yautepec,6,1,1,0,0,920.3200,Hectarea
San Cristobal Amatlan,4,1,1,0,0,5.0000,Hectarea
San Cristobal Amoltepec,1,0,0,0,0,0.0000,Hectarea
San Dionisio del Mar,1,1,1,0,0,20.0000,Hectarea
San Dionisio Ocotepec,4,2,0,2,645,1500.0000,Hectarea
San Dionisio Ocotlan,2,0,0,0,0,0.0000,Hectarea
San Esteban Atatlahuca,1,0,0,0,0,0.0000,Hectarea
San Felipe Jalapa de Diaz,12,1,0,1,15,20.0000,Hectarea
San Felipe Tejalapam,2,0,0,0,0,0.0000,Hectarea
San Felipe Usila,2,0,0,0,0,0.0000,Hectarea
San Francisco Cahuacua,1,0,0,0,0,0.0000,Hectarea
San Francisco Cajonos,1,0,0,0,0,0.0000,Hectarea
San Francisco Chapulapa,2,0,0,0,0,0.0000,Hectarea
San Francisco Chindua,1,1,1,0,0,400.0000,Hectarea
San Francisco Huehuetlan,1,0,0,0,0,0.0000,Hectarea
San Francisco Ixhuatan,3,0,0,0,0,0.0000,Hectarea
San Francisco Lachigolo,1,0,0,0,0,0.0000,Hectarea
San Francisco Nuxaño,1,0,0,0,0,0.0000,Hectarea
San Francisco Ozolotepec,3,0,0,0,0,0.0000,Hectarea
San Francisco Telixtlahuaca,2,1,1,0,0,42.0000,Hectarea
San Francisco Teopan,1,0,0,0,0,0.0000,Hectarea
San Ildefonso Amatlan,1,0,0,0,0,0.0000,Hectarea
San Ildefonso Villa Alta,4,2,1,1,75,450.0000,Hectarea
San Jacinto Amilpas,1,0,0,0,0,0.0000,Hectarea
San Jacinto Tlacotepec,1,0,0,0,0,0.0000,Hectarea
San Jeronimo Coatlan,2,0,0,0,0,0.0000,Hectarea
San Jeronimo Silacayoapilla,1,1,0,1,150,6.0000,Hectarea
San Jeronimo Sosola,2,0,0,0,0,0.0000,Hectarea
San Jeronimo Taviche,2,0,0,0,0,0.0000,Hectarea
San Jeronimo Tecoatl,1,0,0,0,0,0.0000,Hectarea
San Jorge Nuchita,1,0,0,0,0,0.0000,Hectarea
San Jose Chiltepec,10,1,0,1,5,10.0000,Hectarea
San Jose Estancia Grande,1,0,0,0,0,0.0000,Hectarea
San Juan Achiutla,1,0,0,0,0,0.0000,Hectarea
San Juan Bautista Atatlahuca,1,0,0,0,0,0.0000,Hectarea
San Juan Bautista Coixtlahuaca,2,0,0,0,0,0.0000,Hectarea
San Juan Bautista Cuicatlan,10,10,9,1,36,9974.6900,Hectarea
San Juan Bautista Guelache,3,0,0,0,0,0.0000,Hectarea
San Juan Bautista lo de Soto,1,0,0,0,0,0.0000,Hectarea
San Juan Bautista Suchitepec,2,1,1,0,0,39.0000,Hectarea
San Juan Bautista Tlachichilco,1,0,0,0,0,0.0000,Hectarea
San Juan Bautista Tuxtepec,68,10,0,10,25,193.0000,Hectarea
San Juan Cacahuatepec,2,1,1,0,0,3500.0000,Hectarea
San Juan Cieneguilla,1,0,0,0,0,0.0000,Hectarea
San Juan Coatzospam,1,0,0,0,0,0.0000,Hectarea
San Juan Colorado,4,0,0,0,0,0.0000,Hectarea
San Juan Comaltepec,2,1,1,0,0,6700.0000,Hectarea
San Juan Cotzocon,15,3,3,0,0,2285.6000,Hectarea
San Juan Chicomezuchil,1,1,1,0,0,111.0000,Hectarea
San Juan Chilateca,1,0,0,0,0,0.0000,Hectarea
San Juan del Rio,1,1,0,1,30,20.0000,Hectarea
San Juan Evangelista Analco,1,0,0,0,0,0.0000,Hectarea
San Juan Guichicovi,24,1,0,1,6,14.0000,Hectarea
San Juan Lachigalla,2,2,2,0,0,2027.0000,Hectarea
San Juan Lajarcia,1,0,0,0,0,0.0000,Hectarea
San Juan Lalana,2,0,0,0,0,0.0000,Hectarea
San Juan de los Cues,1,1,1,0,0,4000.0000,Hectarea
San Juan Mazatlan,15,2,0,2,37,670.0000,Hectarea
San Juan Mixtepec -Dto. 26-,1,1,0,1,40,150.0000,Hectarea
San Juan Ñumi,2,0,0,0,0,0.0000,Hectarea
San Juan Ozolotepec,2,0,0,0,0,0.0000,Hectarea
San Juan Petlapa,1,0,0,0,0,0.0000,Hectarea
San Juan Quiotepec,3,0,0,0,0,0.0000,Hectarea
San Juan Sayultepec,3,0,0,0,0,0.0000,Hectarea
San Juan Tamazola,1,0,0,0,0,0.0000,Hectarea
San Juan Tepeuxila,2,0,0,0,0,0.0000,Hectarea
San Juan Teposcolula,2,0,0,0,0,0.0000,Hectarea
San Juan Yucuita,2,0,0,0,0,0.0000,Hectarea
San Lorenzo,3,0,0,0,0,0.0000,Hectarea
San Lorenzo Albarradas,3,1,1,0,0,500.0000,Hectarea
San Lorenzo Cacaotepec,3,1,1,0,0,12.1900,Hectarea
San Lucas Ojitlan,21,2,0,2,20,30.0000,Hectarea
San Lucas Quiavini,2,1,0,1,40,40.0000,Hectarea
San Luis Amatlan,1,0,0,0,0,0.0000,Hectarea
San Marcos Arteaga,3,0,0,0,0,0.0000,Hectarea
San Martin Huamelulpam,1,0,0,0,0,0.0000,Hectarea
San Martin Toxpalan,1,1,0,1,109,200.0000,Hectarea
San Mateo Cajonos,1,0,0,0,0,0.0000,Hectarea
San Mateo Etlatongo,2,2,2,0,0,626.8700,Hectarea
San Mateo Nejapam,1,0,0,0,0,0.0000,Hectarea
San Mateo Peñasco,2,0,0,0,0,0.0000,Hectarea
San Mateo Rio Hondo,1,0,0,0,0,0.0000,Hectarea
San Mateo Tlapiltepec,1,1,1,0,0,800.0000,Hectarea
San Melchor Betaza,2,0,0,0,0,0.0000,Hectarea
San Miguel Achiutla,1,0,0,0,0,0.0000,Hectarea
San Miguel Amatitlan,5,2,2,0,0,142.1200,Hectarea
San Miguel Coatlan,1,0,0,0,0,0.0000,Hectarea
San Miguel Chicahua,1,0,0,0,0,0.0000,Hectarea
San Miguel Chimalapa,1,0,0,0,0,0.0000,Hectarea
San Miguel del Puerto,2,0,0,0,0,0.0000,Hectarea
San Miguel Ejutla,1,0,0,0,0,0.0000,Hectarea
San Miguel Mixtepec,1,0,0,0,0,0.0000,Hectarea
San Miguel Santa Flor,1,1,1,0,0,400.0000,Hectarea
Villa Sola de Vega,1,0,0,0,0,0.0000,Hectarea
San Miguel Soyaltepec,33,0,0,0,0,0.0000,Hectarea
Villa Talea de Castro,1,0,0,0,0,0.0000,Hectarea
San Miguel Tenango,1,0,0,0,0,0.0000,Hectarea
San Miguel Tequixtepec,1,0,0,0,0,0.0000,Hectarea
San Miguel Tlacamama,4,0,0,0,0,0.0000,Hectarea
San Miguel Tulancingo,1,0,0,0,0,0.0000,Hectarea
San Nicolas Hidalgo,1,0,0,0,0,0.0000,Hectarea
San Pablo Coatlan,2,1,1,0,0,2617.6700,Hectarea
San Pablo Etla,2,2,1,1,33,47.0000,Hectarea
San Pablo Huixtepec,2,0,0,0,0,0.0000,Hectarea
San Pablo Macuiltianguis,1,0,0,0,0,0.0000,Hectarea
San Pablo Tijaltepec,1,0,0,0,0,0.0000,Hectarea
San Pablo Villa de Mitla,6,4,4,0,0,16099.3000,Hectarea
San Pablo Yaganiza,1,1,0,1,100,50.0000,Hectarea
San Pedro Amuzgos,1,0,0,0,0,0.0000,Hectarea
San Pedro Apostol,1,0,0,0,0,0.0000,Hectarea
San Pedro Atoyac,1,0,0,0,0,0.0000,Hectarea
San Pedro Coxcaltepec Cantaros,2,0,0,0,0,0.0000,Hectarea
San Pedro Comitancillo,1,0,0,0,0,0.0000,Hectarea
San Pedro Huamelula,3,1,1,0,0,4000.0000,Hectarea
San Pedro Huilotepec,1,1,1,0,0,948.0000,Hectarea
San Pedro Ixcatlan,5,0,0,0,0,0.0000,Hectarea
San Pedro Ixtlahuaca,1,0,0,0,0,0.0000,Hectarea
San Pedro Jicayan,1,0,0,0,0,0.0000,Hectarea
San Pedro Jocotipac,1,0,0,0,0,0.0000,Hectarea
San Pedro Martir,1,0,0,0,0,0.0000,Hectarea
San Pedro Martir Yucuxaco,1,0,0,0,0,0.0000,Hectarea
San Pedro Nopala,1,0,0,0,0,0.0000,Hectarea
San Pedro Ocopetatillo,1,0,0,0,0,0.0000,Hectarea
San Pedro Pochutla,1,1,1,0,0,0.0000,Hectarea
San Pedro Quiatoni,1,1,0,1,2000,6000.0000,Hectarea
San Pedro Tapanatepec,8,3,3,0,0,725.0000,Hectarea
San Pedro Taviche,2,0,0,0,0,0.0000,Hectarea
San Pedro Teutila,1,1,1,0,0,0.0000,Hectarea
San Pedro Tidaa,1,1,0,1,250,530.0000,Hectarea
San Pedro Topiltepec,1,0,0,0,0,0.0000,Hectarea
San Pedro Totolapa,3,1,0,1,6,8.0000,Hectarea
Villa de Tututepec de Melchor Ocampo,1,0,0,0,0,0.0000,Hectarea
San Pedro Yaneri,2,0,0,0,0,0.0000,Hectarea
San Pedro Yolox,5,0,0,0,0,0.0000,Hectarea
Villa de Etla,1,1,1,0,0,5.0000,Hectarea
San Pedro y San Pablo Teposcolula,5,0,0,0,0,0.0000,Hectarea
San Pedro y San Pablo Tequixtepec,4,1,1,0,0,90.6000,Hectarea
San Pedro Yucunama,1,0,0,0,0,0.0000,Hectarea
San Raymundo Jalpan,1,1,0,1,15,45.0000,Hectarea
San Sebastian Abasolo,1,0,0,0,0,0.0000,Hectarea
San Sebastian Ixcapa,7,5,5,0,0,8770.2400,Hectarea
San Sebastian Nicananduta,1,0,0,0,0,0.0000,Hectarea
San Sebastian Rio Hondo,4,1,0,1,2,0.2500,Hectarea
San Sebastian Tecomaxtlahuaca,1,0,0,0,0,0.0000,Hectarea
San Sebastian Teitipac,1,1,1,0,0,109.2100,Hectarea
San Sebastian Tutla,1,0,0,0,0,0.0000,Hectarea
San Simon Almolongas,1,0,0,0,0,0.0000,Hectarea
San Simon Zahuatlan,1,0,0,0,0,0.0000,Hectarea
Santa Ana,1,1,1,0,0,425.0000,Hectarea
Santa Ana Cuauhtemoc,1,1,1,0,0,4080.0000,Hectarea
Santa Ana Tavela,1,0,0,0,0,0.0000,Hectarea
Santa Ana Zegache,1,0,0,0,0,0.0000,Hectarea
Santa Catarina Cuixtla,1,0,0,0,0,0.0000,Hectarea
Santa Catarina Ixtepeji,2,0,0,0,0,0.0000,Hectarea
Santa Catarina Juquila,2,1,1,0,0,3553.0000,Hectarea
Santa Catarina Loxicha,1,0,0,0,0,0.0000,Hectarea
Santa Catarina Mechoacan,1,0,0,0,0,0.0000,Hectarea
Santa Catarina Minas,1,0,0,0,0,0.0000,Hectarea
Santa Catarina Tayata,1,1,1,0,0,130.0000,Hectarea
Santa Catarina Ticua,1,1,0,1,10,10.0000,Hectarea
Santa Catarina Zapoquila,1,1,0,1,3,2.0000,Hectarea
Santa Cruz Amilpas,1,0,0,0,0,0.0000,Hectarea
Santa Cruz Itundujia,2,2,2,0,0,55890.0000,Hectarea
Santa Cruz Mixtepec,3,0,0,0,0,0.0000,Hectarea
Santa Cruz Papalutla,1,0,0,0,0,0.0000,Hectarea
Santa Cruz Tacache de Mina,2,0,0,0,0,0.0000,Hectarea
Santa Cruz Tacahua,1,1,1,0,0,1500.0000,Hectarea
Santa Cruz Tayata,1,1,1,0,0,168.0000,Hectarea
Santa Cruz Xoxocotlan,3,2,1,1,80,90.0000,Hectarea
Santa Gertrudis,5,0,0,0,0,0.0000,Hectarea
Santa Ines del Monte,1,0,0,0,0,0.0000,Hectarea
Santa Lucia Miahuatlan,1,0,0,0,0,0.0000,Hectarea
Santa Lucia Monteverde,1,0,0,0,0,0.0000,Hectarea
Santa Lucia Ocotlan,1,0,0,0,0,0.0000,Hectarea
Santa Maria Apazco,1,0,0,0,0,0.0000,Hectarea
Heroica Ciudad de Tlaxiaco,4,2,2,0,0,1750.0000,Hectarea
Ayoquezco de Aldama,1,0,0,0,0,0.0000,Hectarea
Santa Maria Atzompa,1,1,1,0,0,837.4100,Hectarea
Santa Maria Cortijo,1,0,0,0,0,0.0000,Hectarea
Santa Maria Coyotepec,1,0,0,0,0,0.0000,Hectarea
Santa Maria Chachoapam,1,0,0,0,0,0.0000,Hectarea
Villa de Chilapa de Diaz,2,0,0,0,0,0.0000,Hectarea
Santa Maria Chilchotla,5,1,1,0,0,340.0000,Hectarea
Santa Maria Chimalapa,2,0,0,0,0,0.0000,Hectarea
Santa Maria del Rosario,1,1,0,1,25,40.0000,Hectarea
Santa Maria del Tule,3,1,1,0,0,408.0000,Hectarea
Santa Maria Ecatepec,5,1,0,1,80,120.0000,Hectarea
Santa Maria Guelace,1,1,1,0,0,450.0000,Hectarea
Santa Maria Guienagati,1,1,1,0,0,28000.0000,Hectarea
Santa Maria Huatulco,1,0,0,0,0,0.0000,Hectarea
Santa Maria Huazolotitlan,6,6,6,0,0,24132.0000,Hectarea
Santa Maria Ipalapa,3,2,2,0,0,3298.0000,Hectarea
Santa Maria Ixcatlan,1,1,1,0,0,10.0000,Hectarea
Santa Maria Jacatepec,14,0,0,0,0,0.0000,Hectarea
Santa Maria Jalapa del Marques,1,0,0,0,0,0.0000,Hectarea
Santa Maria Mixtequilla,1,1,1,0,0,2484.0000,Hectarea
Santa Maria Nativitas,1,0,0,0,0,0.0000,Hectarea
Santa Maria Nduayaco,2,0,0,0,0,0.0000,Hectarea
Santa Maria Papalo,1,0,0,0,0,0.0000,Hectarea
Santa Maria Peñoles,1,0,0,0,0,0.0000,Hectarea
Santa Maria Quiegolani,1,0,0,0,0,0.0000,Hectarea
Santa Maria Sola,1,0,0,0,0,0.0000,Hectarea
Santa Maria Tecomavaca,1,1,1,0,0,1421.9100,Hectarea
Santa Maria Temaxcalapa,1,1,1,0,0,1318.0000,Hectarea
Santa Maria Tlahuitoltepec,1,0,0,0,0,0.0000,Hectarea
Santa Maria Tlalixtac,1,1,1,0,0,2564.0000,Hectarea
Santa Maria Tonameca,2,0,0,0,0,0.0000,Hectarea
Santa Maria Totolapilla,1,0,0,0,0,0.0000,Hectarea
Santa Maria Yalina,1,0,0,0,0,0.0000,Hectarea
Santa Maria Yosoyua,1,0,0,0,0,0.0000,Hectarea
Santa Maria Yucuhiti,2,0,0,0,0,0.0000,Hectarea
Santa Maria Zoquitlan,1,1,0,1,700,1400.0000,Hectarea
Santiago Apoala,1,0,0,0,0,0.0000,Hectarea
Santiago Astata,1,1,1,0,0,24.0000,Hectarea
Santiago Ayuquililla,2,0,0,0,0,0.0000,Hectarea
Santiago Cacaloxtepec,1,0,0,0,0,0.0000,Hectarea
Santiago Camotlan,1,1,1,0,0,30.0000,Hectarea
Santiago Comaltepec,1,0,0,0,0,0.0000,Hectarea
Santiago Chazumba,7,0,0,0,0,0.0000,Hectarea
Santiago Choapam,2,1,1,0,0,1934.0000,Hectarea
Santiago del Rio,2,0,0,0,0,0.0000,Hectarea
Santiago Huajolotitlan,6,0,0,0,0,0.0000,Hectarea
Santiago Huauclilla,3,0,0,0,0,0.0000,Hectarea
Santiago Ihuitlan Plumas,2,0,0,0,0,0.0000,Hectarea
Santiago Ixtayutla,3,1,1,0,0,2700.0000,Hectarea
Santiago Jamiltepec,4,0,0,0,0,0.0000,Hectarea
Santiago Jocotepec,18,1,0,1,10,175.0000,Hectarea
Santiago Juxtlahuaca,2,0,0,0,0,0.0000,Hectarea
Santiago Lachiguiri,2,0,0,0,0,0.0000,Hectarea
Santiago Laollaga,2,2,2,0,0,20542.0000,Hectarea
Santiago Laxopa,1,0,0,0,0,0.0000,Hectarea
Santiago Llano Grande,2,0,0,0,0,0.0000,Hectarea
Santiago Matatlan,2,1,0,1,111,738.0000,Hectarea
Santiago Nacaltepec,3,0,0,0,0,0.0000,Hectarea
Santiago Nejapilla,1,0,0,0,0,0.0000,Hectarea
Santiago Pinotepa Nacional,22,0,0,0,0,0.0000,Hectarea
Santiago Suchilquitongo,5,2,2,0,0,133.5000,Hectarea
Santiago Tamazola,4,0,0,0,0,0.0000,Hectarea
Santiago Tapextla,3,0,0,0,0,0.0000,Hectarea
Santiago Tetepec,4,0,0,0,0,0.0000,Hectarea
Santiago Tillo,2,0,0,0,0,0.0000,Hectarea
Santiago Tlazoyaltepec,1,0,0,0,0,0.0000,Hectarea
