INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad_,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
Salto de Agua,76,0,0,0,0,0.0000,Hectarea
San Cristobal de las Casas,9,2,2,0,0,1876.0000,Hectarea
San Fernando,18,2,2,0,0,955.0000,Hectarea
Siltepec,1,1,1,0,0,800.0000,Hectarea
Simojovel,13,0,0,0,0,0.0000,Hectarea
Socoltenango,28,0,0,0,0,0.0000,Hectarea
Solosuchiapa,8,2,2,0,0,1329.0000,Hectarea
Soyalo,3,1,1,0,0,20.0000,Hectarea
Suchiapa,8,1,0,1,1,4.9000,Hectarea
Suchiate,14,2,2,0,0,42.0000,Hectarea
Sunuapa,1,0,0,0,0,0.0000,Hectarea
Tapachula,42,5,2,3,14,249.0000,Hectarea
Tapalapa,2,0,0,0,0,0.0000,Hectarea
Tapilula,2,1,1,0,0,20.0000,Hectarea
Tecpatan,54,0,0,0,0,0.0000,Hectarea
Tenejapa,6,0,0,0,0,0.0000,Hectarea
Teopisca,12,2,2,0,0,629.0000,Hectarea
Tila,13,2,1,1,300,1512.0000,Hectarea
Tonala,51,0,0,0,0,0.0000,Hectarea
Totolapa,8,0,0,0,0,0.0000,Hectarea
La Trinitaria,70,1,1,0,0,480.0000,Hectarea
Tumbala,21,15,14,1,17,13203.1300,Hectarea
Tuxtla Gutierrez,6,1,0,1,35,250.0000,Hectarea
Tuxtla Chico,7,0,0,0,0,0.0000,Hectarea
Tuzantan,16,3,3,0,0,1665.4200,Hectarea
Tzimol,14,2,2,0,0,2062.0000,Hectarea
Union Juarez,12,0,0,0,0,0.0000,Hectarea
Venustiano Carranza,33,3,2,1,21,318.0000,Hectarea
Villa Corzo,64,23,22,1,5,17845.6200,Hectarea
Villaflores,63,16,15,1,2,11765.7200,Hectarea
Yajalon,8,4,4,0,0,2449.5000,Hectarea
San Lucas,2,0,0,0,0,0.0000,Hectarea
Zinacantan,4,0,0,0,0,0.0000,Hectarea
San Juan Cancuc,1,0,0,0,0,0.0000,Hectarea
Aldama,1,0,0,0,0,0.0000,Hectarea
Benemerito de las Americas,12,5,4,1,90,22044.2000,Hectarea
Maravilla Tenejapa,11,0,0,0,0,0.0000,Hectarea
Marques de Comillas,17,3,2,1,20,1292.0000,Hectarea
Montecristo de Guerrero,5,3,3,0,0,7601.0000,Hectarea
San Andres Duraznal,2,1,1,0,0,308.0000,Hectarea
Santiago el Pinar,1,0,0,0,0,0.0000,Hectarea
Chihuahua,839,311,268,43,3194,135992.9200,Hectarea
