INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades con bodegas y naves propias segun cantidad y capacidad,,,,,,,,,,cuadro 24
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bodegas,cantidad_con_bodegas,superficie,unidad_de_medida,ejidos_y_comunidades_con_naves_para_aves,cantidad_con_naves_para_aves,capacidad_en_numero_de_cabezas,ejidos_y_comunidades_con_naves_para_cerdos,cantidad_con_naves_para_cerdos,capacidad_en_numero_de_cabezas
Tecpatan,3,3,700,Metros,0,0,0,0,0,0
Teopisca,1,6,4500,Metros,0,0,0,0,0,0
Tila,1,1,30,Metros,0,0,0,0,0,0
Tonala,0,0,0,Metros,1,1,320,2,2,100
Totolapa,2,2,200,Metros,0,0,0,0,0,0
La Trinitaria,4,11,5220,Metros,0,0,0,1,3,210
Tuxtla Gutierrez,1,1,1500,Metros,0,0,0,0,0,0
Tuxtla Chico,1,1,300,Metros,0,0,0,0,0,0
Tzimol,2,2,540,Metros,0,0,0,0,0,0
Union Juarez,2,2,1300,Metros,0,0,0,0,0,0
Venustiano Carranza,4,5,4230,Metros,0,0,0,0,0,0
Villa Corzo,11,22,5962,Metros,0,0,0,0,0,0
Villaflores,20,26,36749,Metros,0,0,0,2,2,80
San Lucas,1,1,100,Metros,0,0,0,0,0,0
Benemerito de las Americas,1,1,1000,Metros,0,0,0,0,0,0
Maravilla Tenejapa,1,1,792,Metros,0,0,0,0,0,0
Marques de Comillas,2,3,1260,Metros,0,0,0,0,0,0
Montecristo de Guerrero,1,1,400,Metros,0,0,0,0,0,0
Chihuahua,226,374,162465,Metros,7,15,7720,6,8,3605
Ahumada,9,10,2596,Metros,0,0,0,1,1,155
Aldama,5,9,8744,Metros,1,1,500,0,0,0
Allende,5,6,940,Metros,1,1,3000,0,0,0
Ascension,4,10,3177,Metros,0,0,0,1,1,50
Bachiniva,8,15,4050,Metros,0,0,0,0,0,0
Balleza,3,3,1325,Metros,0,0,0,0,0,0
Batopilas,2,2,210,Metros,0,0,0,0,0,0
Bocoyna,7,7,309,Metros,0,0,0,0,0,0
Buenaventura,3,9,3744,Metros,0,0,0,0,0,0
Camargo,7,10,2392,Metros,0,0,0,0,0,0
Carichi,4,7,2700,Metros,0,0,0,0,0,0
Casas Grandes,2,2,1400,Metros,0,0,0,0,0,0
Coronado,1,2,300,Metros,0,0,0,0,0,0
Coyame del Sotol,5,5,520,Metros,0,0,0,0,0,0
Cuauhtemoc,6,9,5730,Metros,1,2,20,1,1,50
Cusihuiriachi,6,9,7000,Metros,0,0,0,0,0,0
Chihuahua,9,10,4235,Metros,2,2,3400,1,3,3000
Chinipas,2,2,150,Metros,0,0,0,0,0,0
Delicias,2,3,3940,Metros,0,0,0,0,0,0
Dr. Belisario Dominguez,3,4,1290,Metros,0,0,0,0,0,0
Galeana,1,1,1934,Metros,0,0,0,0,0,0
Santa Isabel,1,1,400,Metros,0,0,0,0,0,0
Gomez Farias,6,24,7480,Metros,0,0,0,0,0,0
Gran Morelos,5,6,11600,Metros,0,0,0,0,0,0
Guachochi,6,6,664,Metros,0,0,0,0,0,0
Guadalupe y Calvo,1,2,600,Metros,0,0,0,0,0,0
Guerrero,20,39,26990,Metros,1,1,500,1,1,50
Hidalgo del Parral,1,1,500,Metros,0,0,0,0,0,0
Huejotitan,1,1,5000,Metros,0,0,0,0,0,0
Ignacio Zaragoza,2,10,6600,Metros,0,0,0,0,0,0
Janos,3,3,625,Metros,0,0,0,0,0,0
Jimenez,11,26,4993,Metros,0,0,0,0,0,0
Juarez,2,3,410,Metros,0,0,0,0,0,0
Julimes,2,2,790,Metros,0,0,0,0,0,0
Lopez,4,7,422,Metros,0,0,0,0,0,0
Madera,7,26,9455,Metros,0,0,0,0,0,0
Manuel Benavides,2,3,250,Metros,0,0,0,0,0,0
Matachi,2,5,1000,Metros,0,0,0,0,0,0
Matamoros,2,2,178,Metros,0,0,0,0,0,0
Moris,4,4,1587,Metros,0,0,0,0,0,0
Namiquipa,6,10,10520,Metros,0,0,0,0,0,0
Ocampo,2,2,280,Metros,0,0,0,0,0,0
Ojinaga,1,8,80,Metros,0,0,0,0,0,0
Praxedis G. Guerrero,2,2,735,Metros,0,0,0,0,0,0
Riva Palacio,2,3,1130,Metros,0,0,0,0,0,0
Rosales,3,3,810,Metros,0,0,0,0,0,0
San Francisco de Borja,2,2,260,Metros,0,0,0,0,0,0
Santa Barbara,1,1,24,Metros,0,0,0,0,0,0
Satevo,1,2,1200,Metros,0,0,0,0,0,0
Saucillo,4,6,950,Metros,1,8,300,1,1,300
Temosachi,6,8,7600,Metros,0,0,0,0,0,0
El Tule,1,1,280,Metros,0,0,0,0,0,0
Urique,12,13,1102,Metros,0,0,0,0,0,0
Uruachi,4,4,458,Metros,0,0,0,0,0,0
Valle de Zaragoza,3,3,806,Metros,0,0,0,0,0,0
Distrito Federal,11,18,12540,Metros,0,0,0,1,15,1500
Cuajimalpa de Morelos,2,4,4120,Metros,0,0,0,1,15,1500
La Magdalena Contreras,1,1,200,Metros,0,0,0,0,0,0
Milpa Alta,3,3,940,Metros,0,0,0,0,0,0
Tlahuac,1,1,1900,Metros,0,0,0,0,0,0
Tlalpan,4,9,5380,Metros,0,0,0,0,0,0
Durango,274,610,312057,Metros,13,59,1015415,19,23,1710
Canatlan,19,45,18372,Metros,0,0,0,1,2,200
Coneto de Comonfort,2,2,540,Metros,0,0,0,0,0,0
Cuencame,14,29,36711,Metros,0,0,0,0,0,0
Durango,31,50,15657,Metros,0,0,0,4,4,250
General Simon Bolivar,12,18,4930,Metros,0,0,0,0,0,0
Gomez Palacio,15,24,5632,Metros,2,11,35500,1,1,100
Guadalupe Victoria,7,25,2205,Metros,0,0,0,1,1,50
Guanacevi,2,2,354,Metros,0,0,0,0,0,0
Hidalgo,2,3,920,Metros,0,0,0,1,1,50
Inde,3,3,2250,Metros,0,0,0,1,1,40
Lerdo,8,42,6736,Metros,3,19,725115,0,0,0
Mapimi,18,25,3118,Metros,0,0,0,5,8,660
Mezquital,1,2,400,Metros,0,0,0,0,0,0
Nazas,10,14,6641,Metros,1,3,1200,0,0,0
Nombre de Dios,4,8,15415,Metros,0,0,0,0,0,0
Ocampo,11,22,5050,Metros,0,0,0,0,0,0
El Oro,1,3,650,Metros,0,0,0,0,0,0
Otaez,2,12,800,Metros,0,0,0,0,0,0
Panuco de Coronado,7,21,6096,Metros,0,0,0,0,0,0
Peñon Blanco,2,5,362,Metros,0,0,0,0,0,0
Poanas,12,36,24022,Metros,0,0,0,0,0,0
Pueblo Nuevo,11,20,14046,Metros,0,0,0,0,0,0
Rodeo,4,8,1087,Metros,1,1,5000,0,0,0
San Bernardo,2,2,700,Metros,0,0,0,0,0,0
San Dimas,9,12,4229,Metros,1,1,2500,0,0,0
San Juan de Guadalupe,4,4,345,Metros,1,1,600,0,0,0
San Juan del Rio,4,4,826,Metros,0,0,0,0,0,0
San Luis del Cordero,1,2,765,Metros,0,0,0,1,1,50
San Pedro del Gallo,3,4,904,Metros,0,0,0,1,1,50
Santa Clara,2,2,1800,Metros,0,0,0,0,0,0
Santiago Papasquiaro,12,21,9167,Metros,0,0,0,0,0,0
Suchil,1,1,600,Metros,0,0,0,0,0,0
Tamazula,1,2,176,Metros,1,1,1500,1,1,100
Tepehuanes,3,5,1596,Metros,0,0,0,0,0,0
Tlahualilo,12,93,102390,Metros,3,22,244000,2,2,160
Topia,3,5,496,Metros,0,0,0,0,0,0
Vicente Guerrero,2,2,114,Metros,0,0,0,0,0,0
Nuevo Ideal,17,32,15956,Metros,0,0,0,0,0,0
Guanajuato,169,296,161504,Metros,2,2,3000,9,9,906
Abasolo,4,8,2763,Metros,0,0,0,0,0,0
Acambaro,11,15,9479,Metros,0,0,0,0,0,0
San Miguel de Allende,6,7,2331,Metros,0,0,0,0,0,0
Apaseo el Alto,4,4,2335,Metros,0,0,0,0,0,0
Apaseo el Grande,3,4,2484,Metros,0,0,0,0,0,0
