INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad agropecuaria o forestal,,,,,,,,,,,,,,,CUADRO 18
y forma de explotacion por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidada_federativa_y _municipio,ejidos_y_comunidades,actividad_agropecuaria_o_forestal_a_total_de_ejidos_y_comunidades_con_actividad_agropecuaria_o_forestal,actividad_agropecuaria_o_forestal_a_agricola_total,actividad_agropecuaria_o_forestal_a_agricola_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_agricola_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_ganadera_total,actividad_agropecuaria_o_forestal_a_ganadera_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_ganadera_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_forestal_total,actividad_agropecuaria_o_forestal_a_forestal_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_forestal_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_recoleccion_total,actividad_agropecuaria_o_forestal_a_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_en_forma_colectiva,sin actividades_de_este_tipo
Tototlan,22,22,22,19,0,22,1,0,0,0,0,1,0,0,0
Tuxcacuesco,8,8,8,8,0,8,6,0,2,2,2,3,3,0,0
Tuxcueca,5,5,5,2,0,4,2,0,0,0,0,1,0,0,0
Tuxpan,14,14,14,12,1,14,6,1,2,1,1,1,0,0,0
Union de San Antonio,17,17,17,15,7,16,15,3,0,0,0,7,5,3,0
Union de Tula,14,14,14,14,0,14,12,0,0,0,0,0,0,0,0
Valle de Guadalupe,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Valle de Juarez,9,9,9,5,0,9,6,0,1,0,1,0,0,0,0
San Gabriel,22,22,18,16,0,21,15,1,5,4,5,3,1,1,0
Villa Corona,5,5,5,3,0,5,0,0,0,0,0,1,0,0,0
Villa Guerrero,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
Villa Hidalgo,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0
Cañadas de Obregon,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Yahualica de Gonzalez Gallo,3,3,3,3,0,3,1,0,0,0,0,0,0,0,0
Zacoalco de Torres,16,16,16,16,1,14,3,0,1,0,0,2,1,0,0
Zapopan,32,31,30,26,2,29,10,1,3,2,1,3,1,0,1
Zapotiltic,18,18,18,15,0,14,3,0,2,0,1,1,0,0,0
Zapotitlan de Vadillo,4,4,3,3,0,3,0,0,3,2,3,1,1,0,0
Zapotlan del Rey,22,22,22,21,1,20,15,1,1,1,1,0,0,0,0
Zapotlanejo,11,11,11,6,0,11,7,0,0,0,0,2,1,2,0
Mexico,1233,1217,1183,1081,107,679,303,30,174,123,85,316,210,54,16
Acambay,32,32,32,30,2,18,2,0,6,5,2,1,1,0,0
Acolman,13,13,13,13,2,5,1,0,0,0,0,0,0,0,0
Aculco,26,26,26,24,1,21,17,2,3,1,1,6,6,1,0
Almoloya de Alquisiras,12,12,12,7,0,3,2,0,1,1,0,0,0,0,0
Almoloya de Juarez,36,36,36,35,3,25,23,3,2,2,1,10,8,1,0
Almoloya del Rio,4,3,3,3,0,1,0,0,0,0,0,0,0,0,1
Amanalco,19,19,18,16,0,12,3,0,7,6,5,14,11,0,0
Amatepec,17,17,17,17,2,15,9,1,1,1,0,3,2,1,0
Amecameca,11,11,10,8,1,5,0,0,3,2,1,2,0,1,0
Apaxco,C,C,2,2,1,1,0,0,0,0,0,0,0,0,C
Atenco,5,5,5,4,1,4,1,0,0,0,0,1,1,0,0
Atizapan,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Atizapan de Zaragoza,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Atlacomulco,29,29,29,28,4,13,6,1,0,0,0,11,4,3,0
Atlautla,C,C,3,2,0,2,1,0,1,0,0,0,0,0,C
Axapusco,16,16,16,16,0,15,2,0,0,0,0,5,4,0,0
Ayapango,5,5,5,5,0,1,1,0,0,0,0,4,4,2,0
Calimaya,9,9,8,8,3,3,0,1,0,0,0,0,0,0,0
Capulhuac,4,4,4,2,0,2,0,0,0,0,0,3,2,0,0
Coacalco de Berriozabal,C,C,2,1,1,1,0,0,0,0,0,1,1,0,C
Coatepec Harinas,11,11,11,11,2,5,3,0,8,5,5,3,2,2,0
Cocotitlan,C,C,2,2,0,0,0,0,0,0,0,2,2,0,C
Coyotepec,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
Cuautitlan,C,C,2,2,0,2,2,0,0,0,0,0,0,0,C
Chalco,14,14,13,13,0,7,2,1,3,3,3,8,8,1,0
Chapa de Mota,15,15,14,12,2,10,6,0,4,3,0,10,6,0,0
Chapultepec,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Chiautla,5,5,5,5,1,5,1,1,0,0,0,0,0,0,0
Chicoloapan,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Chiconcuac,C,C,1,1,1,1,0,0,0,0,0,0,0,0,C
Chimalhuacan,C,C,1,1,1,1,1,1,1,0,0,1,1,0,C
Donato Guerra,17,17,12,10,0,4,0,0,9,7,6,3,2,1,0
Ecatepec de Morelos,8,6,6,3,0,2,0,0,0,0,0,3,3,0,2
Ecatzingo,C,C,2,2,0,2,1,0,1,0,0,0,0,0,C
Huehuetoca,3,3,3,3,0,2,0,0,0,0,0,0,0,0,0
Hueypoxtla,11,11,11,11,0,6,4,0,0,0,0,0,0,0,0
Huixquilucan,7,3,3,1,0,1,0,0,1,0,1,0,0,0,4
Isidro Fabela,4,4,4,4,1,3,2,0,1,0,0,1,0,0,0
Ixtapaluca,9,8,8,8,2,6,1,0,4,3,1,3,3,1,1
Ixtapan de la Sal,C,C,2,2,0,1,0,0,0,0,0,0,0,0,C
Ixtapan del Oro,8,8,8,7,0,8,6,0,4,3,1,5,2,0,0
Ixtlahuaca,36,36,36,34,5,15,6,0,2,1,1,14,10,5,0
Jaltenco,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Jilotepec,33,33,32,31,1,20,11,0,3,3,3,4,3,1,0
Jilotzingo,7,7,3,2,0,4,1,0,1,0,0,5,4,1,0
Jiquipilco,15,15,15,15,2,11,7,1,2,1,0,0,0,0,0
Jocotitlan,15,15,15,15,1,11,5,0,0,0,0,4,2,0,0
Joquicingo,3,3,3,3,0,2,1,0,0,0,0,1,0,0,0
Juchitepec,C,C,2,2,0,1,1,0,1,0,0,0,0,0,C
Lerma,20,19,17,11,0,8,2,1,4,1,1,5,5,0,1
Malinalco,13,13,13,13,0,5,2,0,2,0,0,5,2,1,0
Melchor Ocampo,3,3,3,2,0,3,2,0,0,0,0,0,0,0,0
Metepec,5,5,5,5,0,2,1,0,0,0,0,1,0,0,0
Mexicaltzingo,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Morelos,14,14,14,12,9,8,4,2,1,1,0,1,1,0,0
Naucalpan de Juarez,8,6,6,2,0,1,1,0,0,0,0,0,0,0,2
Nextlalpan,3,3,3,3,0,1,0,0,0,0,0,1,1,0,0
Nicolas Romero,9,9,9,8,0,5,0,0,1,0,0,0,0,0,0
Nopaltepec,4,4,4,4,0,2,0,0,0,0,0,1,1,0,0
Ocoyoacac,8,7,6,5,0,3,2,1,1,1,0,3,1,0,1
Ocuilan,5,5,5,5,1,5,3,1,2,2,2,3,1,1,0
El Oro,12,12,12,11,1,5,3,0,3,3,2,2,2,1,0
Otumba,12,12,12,12,2,6,1,1,0,0,0,4,3,0,0
Otzoloapan,C,C,2,2,0,2,2,0,0,0,0,0,0,0,C
Otzolotepec,10,10,10,9,1,7,1,0,2,1,1,1,0,0,0
Ozumba,5,4,4,3,0,2,2,0,1,1,1,1,1,1,1
Papalotla,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
La Paz,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Polotitlan,10,10,10,10,0,8,6,1,0,0,0,1,1,0,0
Rayon,4,4,4,4,0,2,1,0,0,0,0,0,0,0,0
San Antonio la Isla,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
San Felipe del Progreso,47,47,47,44,3,27,17,1,3,2,1,8,4,1,0
San Martin de las Piramides,8,8,8,7,0,5,1,0,0,0,0,4,3,0,0
San Mateo Atenco,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
San Simon de Guerrero,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Santo Tomas,6,6,6,5,2,6,5,2,0,0,0,2,0,1,0
Soyaniquilpan de Juarez,7,7,7,7,0,6,4,0,0,0,0,0,0,0,0
Sultepec,9,9,9,9,2,4,3,0,1,1,1,0,0,0,0
Tecamac,10,10,10,9,0,6,2,0,0,0,0,3,1,0,0
Tejupilco,14,14,13,13,0,8,3,0,1,1,0,0,0,0,0
Temamatla,C,C,2,2,0,1,1,0,0,0,0,1,1,0,C
Temascalapa,11,11,11,10,0,5,1,0,0,0,0,4,2,1,0
Temascalcingo,27,27,25,22,2,16,4,0,1,0,0,2,0,0,0
Temascaltepec,36,36,31,27,6,11,7,0,17,14,11,9,7,1,0
Temoaya,9,9,9,9,0,6,1,0,0,0,0,3,3,0,0
Tenancingo,22,22,22,19,1,12,5,1,3,3,0,17,7,0,0
Tenango del Aire,4,4,4,3,0,0,0,0,0,0,0,2,2,1,0
Tenango del Valle,13,13,13,11,1,6,0,0,2,0,0,3,0,0,0
Teoloyucan,7,6,6,5,3,2,0,0,0,0,0,3,2,1,1
Teotihuacan,8,8,8,6,2,8,2,0,0,0,0,2,2,2,0
Tepetlaoxtoc,10,10,9,8,0,5,0,0,3,2,1,1,0,0,0
Tepetlixpa,4,4,4,4,1,3,2,0,0,0,0,2,1,0,0
Tepotzotlan,5,5,5,5,0,3,2,0,0,0,0,0,0,0,0
Tequixquiac,3,3,3,3,0,3,2,0,0,0,0,1,1,1,0
Texcaltitlan,8,8,8,7,0,5,3,0,2,2,1,2,1,0,0
Texcalyacac,C,C,1,1,0,1,0,0,1,0,1,1,0,0,C
Texcoco,31,31,31,27,2,14,0,0,7,5,4,8,5,3,0
Tezoyuca,C,C,2,2,0,2,1,0,0,0,0,1,1,0,C
Tianguistenco,3,3,3,2,0,3,0,0,1,0,1,1,0,1,0
Timilpan,7,7,6,6,2,6,2,1,1,1,0,2,1,1,0
Tlalmanalco,6,6,6,4,1,3,2,1,2,1,2,2,2,1,0
Tlalnepantla de Baz,5,4,4,3,1,2,0,0,0,0,0,1,1,0,1
Tlatlaya,23,23,23,22,1,20,12,0,7,6,2,4,3,1,0
Toluca,22,22,20,18,0,14,6,0,0,0,0,5,2,0,0
Tonatico,5,5,5,4,0,1,0,0,0,0,0,0,0,0,0
Tultepec,C,C,2,2,0,2,1,0,0,0,0,1,1,0,C
Tultitlan,4,4,4,4,0,2,1,0,0,0,0,0,0,0,0
Valle de Bravo,20,20,20,16,3,5,3,0,3,3,3,8,8,1,0
Villa de Allende,32,32,31,30,3,5,4,0,6,6,4,7,3,2,0
Villa del Carbon,11,11,11,10,2,9,5,1,2,1,1,5,4,2,0
Villa Guerrero,12,12,12,12,1,1,0,0,1,0,0,1,1,0,0
Villa Victoria,28,28,28,28,3,19,15,2,6,6,2,13,8,2,0
Xonacatlan,3,3,3,3,0,3,0,0,0,0,0,3,2,1,0
Zacazonapan,C,C,2,2,0,2,0,0,0,0,0,0,0,0,C
Zacualpan,12,12,11,11,2,4,1,0,0,0,0,3,3,0,0
Zinacantepec,18,18,17,17,3,11,3,1,0,0,0,13,11,3,0
Zumpahuacan,C,C,2,2,0,0,0,0,0,0,0,1,1,0,C
Zumpango,9,9,9,9,0,4,2,0,0,0,0,1,1,0,0
Cuautitlan Izcalli,9,8,8,3,2,5,0,1,0,0,0,1,1,0,1
Valle de Chalco Solidaridad,C,C,2,2,0,1,0,0,0,0,0,0,0,0,C
Luvianos,3,3,3,3,0,3,1,0,2,0,2,1,0,0,0
San Jose del Rincon,50,50,50,48,4,26,14,0,16,12,10,5,2,2,0
Michoacan de Ocampo,1910,1902,1834,1685,111,1669,685,57,289,214,132,338,240,57,8
Acuitzio,8,8,8,8,1,7,3,0,3,2,1,2,1,0,0
Aguililla,16,16,16,12,0,16,11,0,1,1,0,1,0,0,0
alvaro Obregon,23,23,22,22,0,22,5,0,0,0,0,4,1,0,0
Angamacutiro,24,24,24,21,1,16,4,0,0,0,0,1,1,1,0
Angangueo,6,6,5,5,0,5,1,0,3,3,2,1,1,1,0
Apatzingan,51,51,51,46,1,46,22,1,2,1,1,8,3,0,0
Aporo,C,C,2,2,1,1,0,0,2,2,2,0,0,0,C
Aquila,7,7,6,5,3,6,2,2,0,0,0,0,0,0,0
Ario,40,40,40,36,2,37,15,1,18,14,10,20,13,1,0
Arteaga,20,20,19,19,4,20,10,1,4,4,2,7,5,3,0
Briseñas,4,4,4,4,0,4,0,0,0,0,0,1,0,0,0
Buenavista,47,47,45,44,1,43,20,1,3,3,1,10,8,4,0
Caracuaro,12,12,12,12,0,12,7,0,0,0,0,4,4,0,0
Coahuayana,12,12,12,10,2,12,5,0,4,3,0,1,1,0,0
Coalcoman de Vazquez Pallares,10,10,9,9,0,9,1,0,2,2,1,3,3,1,0
Coeneo,35,35,35,32,3,34,8,1,2,1,0,0,0,0,0
Contepec,30,30,29,28,2,26,13,0,7,7,5,1,1,0,0
Copandaro,5,5,5,4,0,5,4,0,0,0,0,0,0,0,0
Cotija,19,19,18,16,0,17,5,0,3,2,1,3,1,0,0
Cuitzeo,9,9,9,9,1,6,2,0,0,0,0,1,1,0,0
Charapan,4,4,4,4,0,4,2,0,1,0,0,2,1,0,0
Charo,17,17,16,15,0,15,3,0,4,1,0,1,1,1,0
Chavinda,12,12,12,11,0,11,3,0,0,0,0,1,1,1,0
Cheran,C,C,2,2,1,2,1,0,1,1,0,1,0,0,C
Chilchota,13,13,11,11,0,11,2,1,3,0,0,1,0,0,0
Chinicuila,8,8,8,7,1,8,7,1,1,1,0,1,1,1,0
Chucandiro,14,14,14,13,1,13,10,0,0,0,0,0,0,0,0
Churintzio,16,16,15,14,1,14,6,0,0,0,0,1,1,0,0
Churumuco,25,25,22,21,2,21,15,0,2,2,1,1,1,1,0
Ecuandureo,17,17,17,16,1,12,5,0,1,0,1,10,10,1,0
Epitacio Huerta,15,15,15,15,0,13,9,0,2,2,2,0,0,0,0
Erongaricuaro,12,12,12,9,3,9,1,0,6,6,2,1,1,1,0
Gabriel Zamora,7,7,7,7,0,7,4,0,2,0,0,2,2,1,0
Hidalgo,31,31,28,22,0,24,9,0,15,13,1,13,7,2,0
La Huacana,68,68,59,56,6,68,57,6,21,20,14,11,9,1,0
Huandacareo,5,5,5,5,0,5,3,0,0,0,0,1,1,0,0
Huaniqueo,20,20,19,17,0,20,11,1,0,0,0,0,0,0,0
Huetamo,54,54,53,53,0,54,31,0,0,0,0,5,1,1,0
Huiramba,5,5,5,5,1,4,2,0,1,1,1,1,1,0,0
Indaparapeo,12,12,12,10,0,12,1,0,1,0,0,2,1,1,0
Irimbo,6,6,6,6,0,6,2,0,0,0,0,0,0,0,0
Ixtlan,13,13,13,13,0,11,1,0,0,0,0,0,0,0,0
Jacona,4,4,4,4,0,3,0,1,0,0,0,1,1,0,0
Jimenez,20,20,20,20,0,19,14,0,2,1,1,0,0,0,0
Jiquilpan,10,10,9,4,0,10,3,0,0,0,0,9,5,0,0
Juarez,9,9,9,9,0,6,1,0,1,1,0,0,0,0,0
Jungapeo,17,17,15,14,0,12,7,0,3,3,2,3,2,1,0
Lagunillas,5,5,5,5,0,4,2,0,1,0,0,0,0,0,0
Madero,15,15,12,11,1,11,4,1,7,6,1,6,5,0,0
Maravatio,34,34,34,34,0,30,9,0,2,1,1,8,6,0,0
Marcos Castellanos,8,8,8,6,0,8,8,0,0,0,0,0,0,0,0
Lazaro Cardenas,22,22,17,15,1,21,13,1,4,2,0,6,5,1,0
Morelia,83,81,76,70,4,69,35,2,7,6,3,11,10,0,2
Morelos,8,8,7,7,1,7,7,0,0,0,0,0,0,0,0
Mugica,5,5,5,5,0,5,1,0,0,0,0,0,0,0,0
Nahuatzen,8,8,8,7,1,8,1,0,4,1,1,2,2,0,0
Nocupetaro,13,13,12,12,0,7,5,0,0,0,0,1,1,0,0
Nuevo Parangaricutiro,4,4,4,4,1,4,1,1,3,3,3,2,1,1,0
Nuevo Urecho,12,12,11,11,0,12,10,0,4,3,2,3,0,0,0
Numaran,8,8,8,8,0,5,0,0,0,0,0,0,0,0,0
Ocampo,9,9,9,9,0,9,2,0,3,3,3,0,0,0,0
Pajacuaran,10,10,10,10,0,7,0,0,0,0,0,2,1,0,0
Panindicuaro,18,18,18,12,3,15,6,2,0,0,0,1,1,1,0
Paracuaro,21,21,21,20,0,21,1,0,0,0,0,0,0,0,0
Paracho,8,8,8,6,0,7,1,1,4,1,1,4,2,1,0
Patzcuaro,32,30,30,27,4,21,4,3,8,7,5,12,8,3,2
Penjamillo,22,22,21,17,0,20,6,0,0,0,0,0,0,0,0
Periban,8,8,7,7,0,6,3,1,2,2,2,1,0,0,0
La Piedad,26,26,24,23,1,26,2,1,0,0,0,2,2,0,0
Purepero,3,3,3,3,0,3,2,0,0,0,0,0,0,0,0
Puruandiro,40,40,38,30,6,39,12,2,2,2,1,3,3,2,0
Querendaro,10,10,10,8,1,10,6,0,8,7,7,7,7,2,0
Quiroga,4,4,4,3,0,4,0,0,0,0,0,0,0,0,0
Cojumatlan de Regules,10,10,10,8,0,10,5,0,0,0,0,1,0,0,0
Los Reyes,18,18,18,15,0,10,1,0,5,1,0,3,1,0,0
Sahuayo,5,5,5,4,0,5,3,0,0,0,0,0,0,0,0
San Lucas,26,26,26,25,0,25,5,0,0,0,0,0,0,0,0
Santa Ana Maya,8,8,8,6,3,4,2,1,0,0,0,0,0,0,0
Salvador Escalante,37,37,36,29,2,30,4,0,18,10,7,30,23,4,0
Senguio,15,15,14,14,0,14,3,0,7,6,5,4,4,0,0
Susupuato,13,13,13,12,0,11,6,0,0,0,0,0,0,0,0
Tacambaro,20,20,20,16,2,12,2,0,3,2,1,3,3,3,0
Tancitaro,12,12,12,9,0,9,2,0,0,0,0,0,0,0,0
Tangamandapio,10,10,10,8,1,10,7,2,0,0,0,1,1,0,0
Tangancicuaro,21,21,21,21,2,21,11,1,2,2,1,3,1,0,0
Tanhuato,12,12,12,11,1,11,1,1,0,0,0,0,0,0,0
Taretan,14,14,13,11,3,13,5,2,4,3,4,12,12,6,0
Tarimbaro,29,29,28,27,10,28,10,4,1,1,0,1,1,0,0
Tepalcatepec,34,34,34,34,0,34,12,0,0,0,0,6,6,0,0
Tingambato,4,4,4,3,1,4,0,0,2,1,2,2,0,0,0
Tingüindin,7,7,7,7,1,4,2,0,3,2,1,0,0,0,0
Tiquicheo de Nicolas Romero,18,18,18,16,2,18,15,3,0,0,0,0,0,0,0
Tlalpujahua,11,11,10,9,1,11,1,1,5,5,5,1,1,0,0
Tlazazalca,10,10,10,10,1,9,6,1,0,0,0,0,0,0,0
Tocumbo,9,9,8,5,0,6,2,1,1,0,0,1,1,1,0
Tumbiscatio,12,12,12,12,0,12,9,0,5,4,1,3,2,1,0
Turicato,21,21,21,19,1,20,16,1,2,2,1,6,6,1,0
Tuxpan,16,16,15,15,1,4,0,0,2,2,1,2,2,1,0
Tuzantla,28,28,28,28,0,28,16,0,3,1,0,1,0,0,0
Tzintzuntzan,8,8,7,5,2,7,1,0,1,0,0,4,1,0,0
Tzitzio,4,4,4,4,0,4,3,0,0,0,0,0,0,0,0
Uruapan,31,28,27,25,1,18,4,0,7,6,2,10,6,1,3
Venustiano Carranza,8,8,8,7,0,8,0,0,1,0,0,1,0,0,0
Villamar,20,20,20,19,2,18,5,0,0,0,0,1,1,0,0
Vista Hermosa,6,6,6,5,0,3,0,0,0,0,0,0,0,0,0
Yurecuaro,13,13,13,12,1,11,1,0,0,0,0,1,0,0,0
Zacapu,24,23,22,21,1,16,8,1,7,6,5,1,1,0,1
Zamora,26,26,26,22,3,21,1,2,0,0,0,3,1,0,0
Zinaparo,7,7,7,7,0,6,0,0,2,1,1,0,0,0,0
Zinapecuaro,31,31,29,29,1,26,7,3,17,14,8,8,7,2,0
Ziracuaretiro,10,10,10,10,0,5,1,0,3,0,2,8,7,1,0
Zitacuaro,31,31,31,30,5,28,11,1,8,4,4,13,6,1,0
Jose Sixto Verduzco,18,18,18,18,0,18,8,0,0,0,0,1,1,0,0
Morelos,234,232,225,207,10,199,51,4,9,7,4,39,18,1,2
Amacuzac,4,4,4,3,0,4,1,0,0,0,0,3,0,0,0
Atlatlahucan,C,C,2,2,0,2,0,0,1,1,0,0,0,0,C
Axochiapan,7,7,7,7,0,6,1,0,0,0,0,0,0,0,0
Ayala,16,16,16,16,1,16,4,0,1,1,1,2,1,0,0
Coatlan del Rio,5,5,5,5,0,5,3,0,0,0,0,0,0,0,0
Cuautla,9,9,9,8,0,7,0,0,0,0,0,0,0,0,0
Cuernavaca,11,11,9,5,3,7,1,2,2,2,2,1,0,0,0
Emiliano Zapata,6,6,6,4,1,3,0,0,0,0,0,0,0,0,0
Huitzilac,C,C,1,1,0,2,0,0,0,0,0,1,0,0,C
Jantetelco,7,7,7,7,0,5,0,0,0,0,0,1,1,0,0
Jiutepec,7,6,6,5,1,3,0,0,0,0,0,1,0,0,1
Jojutla,9,9,9,9,0,9,0,0,0,0,0,0,0,0,0
Jonacatepec,4,4,4,4,0,4,1,0,0,0,0,0,0,0,0
Mazatepec,C,C,3,3,0,3,1,0,0,0,0,0,0,0,C
Miacatlan,6,6,6,6,0,6,4,0,0,0,0,0,0,0,0
Ocuituco,9,9,8,8,0,8,1,0,0,0,0,3,2,0,0
Puente de Ixtla,9,9,9,6,1,7,2,0,0,0,0,5,4,0,0
Temixco,8,8,8,6,0,7,2,0,0,0,0,4,3,0,0
Tepalcingo,10,10,10,10,0,10,4,0,0,0,0,5,1,1,0
Tepoztlan,C,C,2,2,0,2,0,0,0,0,0,1,0,0,C
Tetecala,3,3,3,3,0,3,2,0,0,0,0,0,0,0,0
Tetela del Volcan,7,7,7,7,1,6,0,1,1,0,0,2,2,0,0
Tlalnepantla,3,3,3,3,0,2,1,0,1,1,0,2,1,0,0
Tlaltizapan,17,16,16,14,2,13,3,0,0,0,0,0,0,0,1
Tlaquiltenango,19,19,18,17,0,19,14,0,1,1,0,2,1,0,0
Tlayacapan,7,7,7,7,0,2,0,0,1,0,0,0,0,0,0
Totolapan,6,6,6,6,0,6,0,0,1,1,1,0,0,0,0
Xochitepec,6,6,5,5,0,4,0,0,0,0,0,0,0,0,0
Yautepec,10,10,9,9,0,9,2,0,0,0,0,1,0,0,0
Yecapixtla,11,11,11,11,0,11,2,0,0,0,0,2,2,0,0
Zacatepec de Hidalgo,3,3,3,2,0,2,0,1,0,0,0,0,0,0,0
Zacualpan de Amilpas,C,C,2,2,0,2,2,0,0,0,0,2,0,0,C
Temoac,4,4,4,4,0,4,0,0,0,0,0,1,0,0,0
Nayarit,404,403,397,350,22,385,164,16,54,30,14,96,68,12,1
Acaponeta,24,24,23,22,0,24,19,0,1,1,1,7,7,1,0
Ahuacatlan,8,8,8,8,0,8,4,0,3,2,1,1,1,0,0
Amatlan de Cañas,17,17,14,14,0,16,12,0,0,0,0,13,12,0,0
Compostela,31,31,31,27,2,30,14,3,4,2,2,2,0,0,0
Huajicori,10,10,10,10,0,10,6,0,3,2,2,8,7,0,0
Ixtlan del Rio,10,10,10,2,0,10,8,0,2,1,1,1,1,1,0
Jala,10,10,10,8,1,10,3,0,5,3,1,2,1,1,0
Xalisco,16,16,16,14,1,14,0,0,0,0,0,6,5,1,0
Del Nayar,24,24,24,23,1,24,12,0,5,4,0,2,2,0,0
Rosamorada,32,31,31,31,0,31,24,0,2,1,0,4,2,0,1
Ruiz,7,7,7,7,2,6,4,0,2,1,0,5,3,1,0
San Blas,33,33,33,30,5,29,3,5,2,0,0,12,6,3,0
San Pedro Lagunillas,9,9,9,7,0,9,1,0,0,0,0,0,0,0,0
Santa Maria del Oro,17,17,17,15,0,17,4,0,3,1,1,2,1,1,0
Santiago Ixcuintla,58,58,58,54,4,56,11,1,2,1,0,7,4,1,0
Tecuala,25,25,24,20,1,24,10,1,0,0,0,6,5,0,0
Tepic,51,51,50,43,3,45,18,4,15,8,3,15,8,2,0
Tuxpan,6,6,6,6,0,6,2,0,1,0,0,0,0,0,0
La Yesca,4,4,4,3,1,4,3,1,2,2,1,3,3,0,0
Bahia de Banderas,12,12,12,6,1,12,6,1,2,1,1,0,0,0,0
Nuevo Leon,607,600,549,431,32,473,307,18,38,35,29,128,80,12,7
Abasolo,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Agualeguas,6,6,2,0,0,6,6,1,0,0,0,0,0,0,0
Los Aldamas,C,C,2,0,0,3,3,1,0,0,0,0,0,0,C
Allende,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Anahuac,13,13,7,3,1,13,9,0,0,0,0,3,2,0,0
Apodaca,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Aramberri,43,43,42,40,0,42,36,0,7,7,6,21,19,0,0
Bustamante,C,C,2,1,0,2,1,0,0,0,0,0,0,0,C
Cadereyta Jimenez,32,32,32,24,2,22,14,1,0,0,0,1,0,0,0
Carmen,C,C,0,0,0,1,0,0,0,0,0,0,0,0,C
Cerralvo,C,C,0,0,0,1,0,0,0,0,0,0,0,0,C
Cienega de Flores,C,C,2,0,0,2,1,1,0,0,0,0,0,0,C
China,4,4,3,2,0,4,3,0,0,0,0,1,0,0,0
Dr. Arroyo,106,106,106,101,1,100,74,0,1,1,0,30,17,0,0
Dr. Gonzalez,3,2,1,1,0,2,2,0,0,0,0,0,0,0,1
Galeana,110,110,110,96,19,54,30,4,10,7,8,22,15,1,0
Garcia,11,11,9,3,0,8,1,0,0,0,0,7,1,1,0
Gral. Bravo,C,C,1,0,0,1,1,0,0,0,0,0,0,0,C
Gral. Escobedo,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Gral. Teran,16,16,16,14,0,8,6,1,0,0,0,1,0,1,0
Gral. Zaragoza,15,15,15,15,0,14,12,0,6,6,2,0,0,0,0
Gral. Zuazua,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Guadalupe,C,C,1,0,0,0,0,0,0,0,0,0,0,0,C
Hualahuises,5,5,5,3,1,3,1,1,0,0,0,1,1,0,0
Iturbide,12,12,11,11,0,11,10,0,10,10,10,8,8,3,0
Juarez,4,4,4,1,0,4,1,0,0,0,0,0,0,0,0
Lampazos de Naranjo,7,7,2,1,0,6,5,0,0,0,0,0,0,0,0
Linares,68,67,65,48,2,56,28,1,1,1,1,8,5,1,1
Marin,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Mier y Noriega,14,13,13,12,0,12,8,0,0,0,0,4,2,0,1
Mina,23,23,19,6,2,19,9,4,0,0,0,5,3,1,0
Montemorelos,26,26,25,21,1,20,12,1,1,1,1,6,3,3,0
Monterrey,C,C,0,0,0,1,0,0,0,0,0,0,0,0,C
Paras,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0
Pesqueria,8,8,8,6,0,4,1,0,0,0,0,1,1,0,0
Los Ramones,4,4,4,3,0,4,2,0,0,0,0,0,0,0,0
Rayones,8,8,7,7,2,4,3,0,1,1,1,2,1,0,0
Sabinas Hidalgo,9,9,6,1,0,9,8,0,0,0,0,2,1,0,0
Salinas Victoria,7,7,7,2,0,7,4,0,0,0,0,2,0,0,0
Hidalgo,C,C,0,0,0,1,0,0,0,0,0,1,0,1,C
Santa Catarina,5,4,4,3,0,3,1,0,0,0,0,0,0,0,1
