INEGI. IX Censo Ejidal 2007,,,,,,,
Total de ejidos y comunidades segun disposicion y tipo de parcelas,,,,,,,cuadro 31
con destino especifico por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,parcelas_de_destino_especifico_ejidos_y_comunidades_con_parcelas_de_destino_especifico,parcelas_de_destino_especifico_parcela_escolar,parcelas_de_destino_especifico_unidad_productiva_para_el_desarrollo_integral_de_la_juventud,unidad_agricola_industrial_para_la_mujer_total,unidad_agricola_industrial_para_la_mujer_mujeres_participantes,sin_parcelas_de_este_tipo
San Francisco Jaltepetongo,C,C,1,0,0,0,C
San Francisco Lachigolo,C,C,1,0,0,0,C
San Francisco Nuxaño,C,C,1,0,0,0,C
San Francisco Ozolotepec,3,3,3,0,0,0,0
San Francisco Sola,C,C,1,0,0,0,C
San Francisco Telixtlahuaca,C,C,1,0,0,0,C
San Francisco Teopan,C,C,1,0,0,0,C
San Francisco Tlapancingo,C,C,1,0,0,0,C
San Gabriel Mixtepec,C,C,0,0,0,0,C
San Ildefonso Amatlan,C,C,1,0,0,0,C
San Ildefonso Sola,C,C,1,0,0,0,C
San Ildefonso Villa Alta,5,5,5,0,0,0,0
San Jacinto Amilpas,C,C,1,0,0,0,C
San Jacinto Tlacotepec,C,C,1,0,0,0,C
San Jeronimo Coatlan,C,C,2,0,0,0,C
San Jeronimo Silacayoapilla,C,C,1,0,0,0,C
San Jeronimo Sosola,6,5,5,0,0,0,1
San Jeronimo Taviche,C,C,1,1,1,0,C
San Jeronimo Tecoatl,C,C,0,0,0,0,C
San Jorge Nuchita,3,2,2,0,0,0,1
San Jose Ayuquila,C,C,1,0,0,0,C
San Jose Chiltepec,11,7,7,0,3,10,4
San Jose del Peñasco,C,C,1,0,0,0,C
San Jose Estancia Grande,C,C,1,0,0,0,C
San Jose Tenango,C,C,0,0,0,0,C
San Juan Achiutla,C,C,1,0,0,0,C
San Juan Atepec,C,C,1,0,0,0,C
Animas Trujano,C,C,1,0,0,0,C
San Juan Bautista Atatlahuca,3,2,2,0,0,0,1
San Juan Bautista Coixtlahuaca,3,3,3,0,0,0,0
San Juan Bautista Cuicatlan,16,12,12,1,1,22,4
San Juan Bautista Guelache,3,2,2,1,1,5,1
San Juan Bautista Jayacatlan,C,C,0,0,0,0,C
San Juan Bautista lo de Soto,C,C,1,0,0,0,C
San Juan Bautista Suchitepec,C,C,2,0,0,0,C
San Juan Bautista Tlacoatzintepec,C,C,0,0,0,0,C
San Juan Bautista Tlachichilco,C,C,1,0,0,0,C
San Juan Bautista Tuxtepec,68,61,61,0,6,25,7
San Juan Cacahuatepec,6,6,6,0,0,0,0
San Juan Cieneguilla,C,C,0,0,0,0,C
San Juan Coatzospam,C,C,0,0,0,0,C
San Juan Colorado,6,6,6,0,0,0,0
San Juan Comaltepec,3,3,3,0,1,25,0
San Juan Cotzocon,18,12,12,1,6,87,6
San Juan Chicomezuchil,C,C,1,0,0,0,C
San Juan Chilateca,C,C,1,0,0,0,C
San Juan del Estado,C,C,1,0,0,0,C
San Juan del Rio,C,C,1,0,0,0,C
San Juan Diuxi,C,C,1,0,0,0,C
San Juan Evangelista Analco,C,C,1,0,0,0,C
San Juan Guelavia,C,C,1,0,0,0,C
San Juan Guichicovi,31,26,26,2,3,49,5
San Juan Ihualtepec,C,C,1,0,0,0,C
San Juan Juquila Mixes,C,C,0,0,0,0,C
San Juan Juquila Vijanos,C,C,1,0,0,0,C
San Juan Lachao,C,C,0,0,0,0,C
San Juan Lachigalla,4,3,3,0,0,0,1
San Juan Lajarcia,C,C,1,0,0,0,C
San Juan Lalana,4,3,3,0,0,0,1
San Juan de los Cues,C,C,1,0,0,0,C
San Juan Mazatlan,20,12,12,0,4,10,8
San Juan Mixtepec -Dto. 08-,C,C,1,0,0,0,C
San Juan Mixtepec -Dto. 26-,C,C,1,0,0,0,C
San Juan Ñumi,3,3,3,0,0,0,0
San Juan Ozolotepec,4,4,4,0,0,0,0
San Juan Petlapa,6,4,4,0,0,0,2
San Juan Quiahije,C,C,1,0,0,0,C
San Juan Quiotepec,4,4,4,1,0,0,0
San Juan Sayultepec,3,2,2,1,0,0,1
San Juan Tabaa,C,C,1,0,0,0,C
San Juan Tamazola,C,C,2,0,0,0,C
San Juan Teita,C,C,0,0,0,0,C
San Juan Teitipac,C,C,1,0,0,0,C
San Juan Tepeuxila,5,5,5,0,0,0,0
San Juan Teposcolula,C,C,2,0,0,0,C
San Juan Yaee,3,3,3,0,0,0,0
San Juan Yatzona,C,C,1,0,0,0,C
San Juan Yucuita,C,C,2,0,0,0,C
San Lorenzo,3,2,2,0,0,0,1
San Lorenzo Albarradas,3,3,3,0,0,0,0
San Lorenzo Cacaotepec,3,2,2,0,0,0,1
San Lorenzo Texmelucan,C,C,1,0,0,0,C
San Lorenzo Victoria,C,C,2,0,0,0,C
San Lucas Camotlan,C,C,2,0,0,0,C
San Lucas Ojitlan,31,15,15,0,0,0,16
San Lucas Quiavini,C,C,1,0,1,10,C
San Luis Amatlan,C,C,2,0,0,0,C
San Marcos Arteaga,3,2,2,0,0,0,1
San Martin de los Cansecos,C,C,1,0,0,0,C
San Martin Huamelulpam,C,C,1,0,0,0,C
San Martin Itunyoso,C,C,0,0,0,0,C
San Martin Lachila,C,C,1,0,0,0,C
San Martin Peras,C,C,0,0,0,0,C
San Martin Tilcajete,C,C,1,0,0,0,C
San Martin Toxpalan,C,C,2,0,0,0,C
San Mateo Cajonos,C,C,0,0,0,0,C
Capulalpam de Mendez,C,C,1,0,1,12,C
San Mateo del Mar,C,C,0,0,0,0,C
San Mateo Etlatongo,C,C,1,0,0,0,C
San Mateo Nejapam,C,C,1,0,0,0,C
San Mateo Peñasco,C,C,1,0,0,0,C
San Mateo Rio Hondo,C,C,1,0,0,0,C
San Mateo Sindihui,C,C,1,0,0,0,C
San Mateo Tlapiltepec,C,C,1,0,0,0,C
San Melchor Betaza,C,C,2,0,0,0,C
San Miguel Achiutla,C,C,2,0,0,0,C
San Miguel Aloapam,C,C,1,0,0,0,C
San Miguel Amatitlan,9,5,5,0,0,0,4
San Miguel Coatlan,C,C,1,0,0,0,C
San Miguel Chicahua,C,C,1,0,0,0,C
San Miguel Chimalapa,C,C,1,0,0,0,C
San Miguel del Puerto,3,3,3,0,0,0,0
San Miguel Ejutla,C,C,0,0,0,0,C
San Miguel el Grande,C,C,0,0,0,0,C
San Miguel Huautla,C,C,1,0,0,0,C
San Miguel Mixtepec,C,C,1,0,0,0,C
San Miguel Panixtlahuaca,C,C,0,0,0,0,C
San Miguel Peras,C,C,1,0,0,0,C
San Miguel Piedras,C,C,1,0,0,0,C
San Miguel Quetzaltepec,C,C,0,0,0,0,C
San Miguel Santa Flor,C,C,1,0,0,0,C
Villa Sola de Vega,6,6,6,0,0,0,0
San Miguel Soyaltepec,35,32,32,0,5,0,3
San Miguel Suchixtepec,C,C,1,0,0,0,C
Villa Talea de Castro,3,2,2,0,0,0,1
San Miguel Tecomatlan,C,C,1,0,0,0,C
San Miguel Tenango,C,C,1,0,0,0,C
San Miguel Tequixtepec,C,C,2,0,0,0,C
San Miguel Tilquiapam,C,C,1,0,0,0,C
San Miguel Tlacamama,4,4,4,0,0,0,0
San Miguel Tlacotepec,C,C,1,0,0,0,C
San Miguel Tulancingo,C,C,0,0,0,0,C
San Miguel Yotao,C,C,1,0,0,0,C
San Nicolas Hidalgo,C,C,1,0,0,0,C
San Pablo Coatlan,3,3,3,0,0,0,0
San Pablo Cuatro Venados,C,C,1,0,0,0,C
San Pablo Etla,3,3,3,0,0,0,0
San Pablo Huitzo,C,C,2,0,0,0,C
San Pablo Huixtepec,C,C,1,0,1,25,C
San Pablo Macuiltianguis,C,C,1,0,0,0,C
San Pablo Tijaltepec,C,C,1,0,0,0,C
San Pablo Villa de Mitla,6,5,4,0,2,11,1
San Pablo Yaganiza,C,C,1,0,0,0,C
San Pedro Amuzgos,C,C,1,0,1,30,C
San Pedro Apostol,C,C,1,0,0,0,C
San Pedro Atoyac,3,3,3,0,0,0,0
San Pedro Cajonos,C,C,0,0,0,0,C
San Pedro Coxcaltepec Cantaros,C,C,2,0,0,0,C
San Pedro Comitancillo,C,C,0,0,0,0,C
San Pedro el Alto,C,C,1,0,0,0,C
San Pedro Huamelula,4,3,3,0,0,0,1
San Pedro Huilotepec,C,C,0,1,0,0,C
San Pedro Ixcatlan,8,7,7,0,0,0,1
San Pedro Ixtlahuaca,C,C,0,0,0,0,C
San Pedro Jaltepetongo,C,C,1,0,0,0,C
San Pedro Jicayan,C,C,1,0,0,0,C
San Pedro Jocotipac,C,C,1,0,0,0,C
San Pedro Juchatengo,C,C,1,0,0,0,C
San Pedro Martir,C,C,1,0,0,0,C
San Pedro Martir Quiechapa,C,C,1,0,0,0,C
San Pedro Martir Yucuxaco,C,C,1,0,0,0,C
San Pedro Mixtepec -Dto. 22-,C,C,0,0,0,0,C
San Pedro Mixtepec -Dto. 26-,C,C,1,0,0,0,C
San Pedro Molinos,C,C,0,0,0,0,C
San Pedro Nopala,C,C,1,0,0,0,C
San Pedro Ocopetatillo,C,C,0,0,0,0,C
San Pedro Ocotepec,C,C,0,0,0,0,C
San Pedro Pochutla,C,C,2,0,0,0,C
San Pedro Quiatoni,C,C,1,0,0,0,C
San Pedro Sochiapam,5,5,5,0,0,0,0
San Pedro Tapanatepec,8,4,4,1,2,22,4
San Pedro Taviche,C,C,2,0,0,0,C
San Pedro Teozacoalco,C,C,1,0,0,0,C
San Pedro Teutila,3,3,3,0,0,0,0
San Pedro Tidaa,C,C,1,0,0,0,C
San Pedro Topiltepec,C,C,2,0,0,0,C
San Pedro Totolapa,3,3,3,0,0,0,0
Villa de Tututepec de Melchor Ocampo,6,6,5,3,0,0,0
San Pedro Yaneri,C,C,2,0,0,0,C
San Pedro Yolox,6,4,4,1,1,4,2
San Pedro y San Pablo Ayutla,C,C,0,0,0,0,C
Villa de Etla,C,C,2,0,1,0,C
San Pedro y San Pablo Teposcolula,7,7,7,0,0,0,0
San Pedro y San Pablo Tequixtepec,8,8,8,1,0,0,0
San Pedro Yucunama,C,C,1,0,0,0,C
San Raymundo Jalpan,C,C,1,0,0,0,C
San Sebastian Abasolo,C,C,2,0,0,0,C
San Sebastian Coatlan,C,C,1,0,0,0,C
San Sebastian Ixcapa,7,7,7,0,0,0,0
San Sebastian Nicananduta,C,C,1,0,0,0,C
San Sebastian Rio Hondo,4,4,4,0,0,0,0
San Sebastian Tecomaxtlahuaca,3,0,0,0,0,0,3
San Sebastian Teitipac,C,C,2,0,0,0,C
San Sebastian Tutla,C,C,1,0,1,0,C
San Simon Almolongas,C,C,1,0,0,0,C
San Simon Zahuatlan,C,C,0,0,0,0,C
Santa Ana,C,C,1,0,0,0,C
Santa Ana Cuauhtemoc,C,C,1,0,0,0,C
Santa Ana del Valle,C,C,1,0,0,0,C
Santa Ana Tavela,C,C,1,0,1,0,C
Santa Ana Tlapacoyan,C,C,1,0,0,0,C
Santa Ana Yareni,C,C,0,0,0,0,C
Santa Ana Zegache,C,C,2,0,0,0,C
Santa Catalina Quieri,C,C,1,0,0,0,C
Santa Catarina Cuixtla,C,C,0,0,0,0,C
Santa Catarina Ixtepeji,C,C,2,0,0,0,C
Santa Catarina Juquila,6,1,1,0,0,0,5
Santa Catarina Lachatao,C,C,1,0,0,0,C
Santa Catarina Loxicha,C,C,1,0,0,0,C
Santa Catarina Mechoacan,C,C,1,0,0,0,C
Santa Catarina Minas,C,C,1,0,0,0,C
Santa Catarina Quiane,C,C,1,0,0,0,C
Santa Catarina Tayata,C,C,1,0,0,0,C
Santa Catarina Ticua,C,C,1,0,0,0,C
Santa Catarina Yosonotu,C,C,1,0,0,0,C
Santa Catarina Zapoquila,3,3,3,0,0,0,0
Santa Cruz Amilpas,C,C,0,2,0,0,C
Santa Cruz Itundujia,C,C,2,0,1,45,C
Santa Cruz Mixtepec,4,4,4,0,1,0,0
Santa Cruz Nundaco,C,C,1,0,0,0,C
Santa Cruz Papalutla,C,C,1,0,0,0,C
Santa Cruz Tacache de Mina,C,C,2,0,0,0,C
Santa Cruz Tacahua,C,C,0,0,0,0,C
Santa Cruz Tayata,C,C,1,0,1,30,C
Santa Cruz Xitla,C,C,1,0,0,0,C
Santa Cruz Xoxocotlan,5,3,3,0,0,0,2
Santa Cruz Zenzontepec,C,C,1,0,0,0,C
Santa Gertrudis,5,3,3,0,1,2,2
Santa Ines del Monte,C,C,1,0,0,0,C
Santa Lucia del Camino,C,C,1,0,0,0,C
Santa Lucia Miahuatlan,C,C,1,0,0,0,C
Santa Lucia Monteverde,4,4,4,0,0,0,0
Santa Lucia Ocotlan,C,C,1,0,0,0,C
Santa Maria Alotepec,3,2,2,0,0,0,1
Santa Maria Apazco,C,C,1,0,0,0,C
Heroica Ciudad de Tlaxiaco,8,7,7,0,1,69,1
Ayoquezco de Aldama,C,C,0,0,0,0,C
Santa Maria Atzompa,C,C,1,0,0,0,C
Santa Maria Camotlan,C,C,1,0,0,0,C
Santa Maria Colotepec,C,C,1,0,0,0,C
Santa Maria Cortijo,C,C,1,0,0,0,C
Santa Maria Coyotepec,C,C,2,0,0,0,C
Santa Maria Chachoapam,C,C,2,0,0,0,C
Villa de Chilapa de Diaz,4,3,3,1,0,0,1
Santa Maria Chilchotla,5,4,3,1,4,66,1
Santa Maria Chimalapa,3,2,2,0,0,0,1
Santa Maria del Rosario,C,C,1,0,0,0,C
Santa Maria del Tule,3,3,3,0,0,0,0
Santa Maria Ecatepec,9,4,4,0,0,0,5
Santa Maria Guelace,C,C,1,0,0,0,C
Santa Maria Guienagati,C,C,1,0,0,0,C
Santa Maria Huatulco,C,C,1,0,0,0,C
Santa Maria Huazolotitlan,6,6,6,1,0,0,0
Santa Maria Ipalapa,3,3,3,0,0,0,0
Santa Maria Ixcatlan,C,C,1,0,1,10,C
Santa Maria Jacatepec,15,10,10,0,1,0,5
Santa Maria Jalapa del Marques,C,C,0,0,0,0,C
Santa Maria Jaltianguis,C,C,1,0,0,0,C
Santa Maria Mixtequilla,C,C,1,0,0,0,C
Santa Maria Nativitas,C,C,1,1,0,0,C
Santa Maria Nduayaco,3,2,2,0,0,0,1
Santa Maria Papalo,C,C,1,0,0,0,C
Santa Maria Peñoles,4,3,3,0,0,0,1
Santa Maria Petapa,C,C,0,0,0,0,C
Santa Maria Quiegolani,C,C,1,0,0,0,C
Santa Maria Sola,4,3,3,0,0,0,1
Santa Maria Tataltepec,C,C,1,0,0,0,C
Santa Maria Tecomavaca,C,C,1,0,0,0,C
Santa Maria Temaxcalapa,C,C,1,0,1,12,C
Santa Maria Temaxcaltepec,C,C,1,0,0,0,C
Santa Maria Teopoxco,C,C,1,0,0,0,C
Santa Maria Tepantlali,C,C,1,0,0,0,C
Santa Maria Texcatitlan,C,C,1,1,0,0,C
Santa Maria Tlahuitoltepec,C,C,2,0,0,0,C
Santa Maria Tlalixtac,C,C,1,0,0,0,C
Santa Maria Tonameca,C,C,2,0,0,0,C
Santa Maria Totolapilla,C,C,0,0,1,27,C
Santa Maria Yalina,C,C,1,0,0,0,C
Santa Maria Yolotepec,C,C,1,0,0,0,C
Santa Maria Yosoyua,C,C,1,0,0,0,C
Santa Maria Yucuhiti,C,C,2,0,0,0,C
Santa Maria Zacatepec,C,C,1,0,0,0,C
Santa Maria Zaniza,C,C,1,0,0,0,C
Santa Maria Zoquitlan,C,C,1,0,0,0,C
Santiago Amoltepec,C,C,1,0,0,0,C
Santiago Apoala,C,C,1,0,0,0,C
Santiago Astata,C,C,1,0,0,0,C
Santiago Atitlan,C,C,1,0,0,0,C
Santiago Ayuquililla,C,C,2,0,0,0,C
Santiago Cacaloxtepec,C,C,1,0,0,0,C
Santiago Camotlan,4,2,2,1,0,0,2
Santiago Comaltepec,C,C,1,0,0,0,C
Santiago Chazumba,10,9,9,0,1,0,1
Santiago Choapam,6,5,5,0,0,0,1
Santiago del Rio,C,C,2,0,0,0,C
Santiago Huajolotitlan,7,6,6,0,2,12,1
Santiago Huauclilla,4,2,2,0,1,60,2
Santiago Ihuitlan Plumas,C,C,2,0,0,0,C
Santiago Ixcuintepec,C,C,1,0,0,0,C
Santiago Ixtayutla,7,6,6,0,0,0,1
Santiago Jamiltepec,6,5,5,0,0,0,1
Santiago Jocotepec,23,13,12,0,7,37,10
Santiago Juxtlahuaca,10,6,5,2,1,40,4
Santiago Lachiguiri,C,C,2,0,0,0,C
Santiago Lalopa,C,C,1,0,0,0,C
Santiago Laollaga,C,C,1,0,0,0,C
Santiago Laxopa,3,3,3,0,0,0,0
Santiago Llano Grande,3,3,3,0,0,0,0
Santiago Matatlan,3,2,2,0,0,0,1
Santiago Minas,C,C,1,0,0,0,C
Santiago Nacaltepec,5,4,4,0,0,0,1
Santiago Nejapilla,C,C,1,0,0,0,C
Santiago Nundiche,C,C,1,0,0,0,C
Santiago Nuyoo,3,3,3,0,0,0,0
Santiago Pinotepa Nacional,23,20,20,0,0,0,3
Santiago Suchilquitongo,6,4,4,2,0,0,2
Santiago Tamazola,4,4,4,0,1,90,0
Santiago Tapextla,3,3,3,0,0,0,0
Villa Tejupam de la Union,C,C,1,1,0,0,C
Santiago Tenango,C,C,1,0,0,0,C
Santiago Tepetlapa,C,C,1,0,0,0,C
Santiago Tetepec,6,6,6,1,0,0,0
Santiago Texcalcingo,C,C,1,0,0,0,C
Santiago Textitlan,C,C,2,0,0,0,C
Santiago Tilantongo,C,C,1,0,0,0,C
Santiago Tillo,C,C,2,1,0,0,C
Santiago Tlazoyaltepec,C,C,0,0,0,0,C
Santiago Xanica,C,C,2,0,0,0,C
Santiago Xiacui,3,2,2,0,0,0,1
Santiago Yaitepec,C,C,0,0,0,0,C
Santiago Yaveo,8,6,6,1,1,10,2
Santiago Yosondua,4,4,4,0,0,0,0
Santiago Yucuyachi,C,C,1,0,0,0,C
Santiago Zacatepec,3,3,3,0,0,0,0
Santiago Zoochila,C,C,1,1,0,0,C
Nuevo Zoquiapam,C,C,1,0,1,25,C
Santo Domingo Ingenio,C,C,1,0,0,0,C
Santo Domingo Albarradas,C,C,1,0,0,0,C
Santo Domingo Armenta,C,C,1,0,0,0,C
Santo Domingo Chihuitan,C,C,1,0,1,40,C
Santo Domingo de Morelos,C,C,1,0,0,0,C
Santo Domingo Ixcatlan,C,C,1,0,0,0,C
Santo Domingo Nuxaa,C,C,1,0,0,0,C
Santo Domingo Ozolotepec,C,C,0,0,0,0,C
Santo Domingo Petapa,C,C,1,0,0,0,C
Santo Domingo Roayaga,C,C,1,0,0,0,C
Santo Domingo Tehuantepec,17,15,15,3,3,65,2
Santo Domingo Teojomulco,C,C,1,0,0,0,C
Santo Domingo Tepuxtepec,C,C,0,0,0,0,C
Santo Domingo Tlatayapam,C,C,1,0,0,0,C
Santo Domingo Tomaltepec,C,C,1,0,0,0,C
Santo Domingo Tonala,4,1,1,0,0,0,3
Santo Domingo Tonaltepec,C,C,1,0,0,0,C
Santo Domingo Xagacia,C,C,0,0,0,0,C
Santo Domingo Yanhuitlan,C,C,1,0,0,0,C
Santo Domingo Zanatepec,6,5,5,0,1,23,1
Santos Reyes Nopala,4,4,4,0,0,0,0
Santos Reyes Papalo,C,C,0,0,0,0,C
Santos Reyes Tepejillo,C,C,1,0,0,0,C
Santos Reyes Yucuna,C,C,1,0,0,0,C
Santo Tomas Jalieza,5,3,3,1,0,0,2
Santo Tomas Mazaltepec,C,C,1,0,0,0,C
Santo Tomas Ocotepec,C,C,1,0,0,0,C
San Vicente Coatlan,C,C,1,0,0,0,C
San Vicente Lachixio,C,C,2,0,0,0,C
San Vicente Nuñu,C,C,1,0,0,0,C
Silacayoapam,9,7,7,1,0,0,2
Soledad Etla,C,C,1,0,0,0,C
Villa de Tamazulapam del Progreso,C,C,1,0,0,0,C
Tanetze de Zaragoza,C,C,2,0,0,0,C
Taniche,C,C,1,0,0,0,C
Tataltepec de Valdes,C,C,2,0,0,0,C
Teococuilco de Marcos Perez,C,C,0,0,0,0,C
Teotitlan de Flores Magon,C,C,1,0,0,0,C
Teotitlan del Valle,C,C,1,0,0,0,C
Teotongo,C,C,1,0,0,0,C
Tepelmeme Villa de Morelos,C,C,1,0,0,0,C
Tezoatlan de Segura y Luna,9,9,9,0,0,0,0
San Jeronimo Tlacochahuaya,3,3,3,0,0,0,0
Tlacolula de Matamoros,6,4,4,0,0,0,2
Tlacotepec Plumas,C,C,1,0,0,0,C
Tlalixtac de Cabrera,C,C,2,0,0,0,C
Totontepec Villa de Morelos,11,10,10,0,3,88,1
Trinidad Zaachila,5,1,1,0,0,0,4
La Trinidad Vista Hermosa,C,C,1,0,1,7,C
Valerio Trujano,C,C,1,0,0,0,C
San Juan Bautista Valle Nacional,24,19,19,0,0,0,5
Villa Diaz Ordaz,3,3,3,0,0,0,0
Yaxe,C,C,1,0,0,0,C
Magdalena Yodocono de Porfirio Diaz,C,C,1,0,0,0,C
Yogana,C,C,2,0,0,0,C
Yutanduchi de Guerrero,C,C,1,0,0,0,C
Villa de Zaachila,3,2,2,0,0,0,1
Zapotitlan del Rio,C,C,2,0,0,0,C
Zapotitlan Lagunas,C,C,1,0,0,0,C
Zapotitlan Palmas,C,C,2,0,0,0,C
Santa Ines de Zaragoza,C,C,1,0,0,0,C
Zimatlan de alvarez,8,7,7,0,0,0,1
Puebla,1194,968,956,52,115,1298,226
Acajete,8,5,5,0,0,0,3
Acateno,4,2,2,0,1,30,2
Acatlan,16,14,14,0,0,0,2
Acatzingo,9,9,9,6,1,3,0
Acteopan,C,C,1,0,0,0,C
Ahuacatlan,C,C,0,0,0,0,C
Ahuatlan,C,C,1,0,0,0,C
Ahuazotepec,6,6,6,0,0,0,0
Ahuehuetitla,3,3,3,0,0,0,0
Ajalpan,10,9,9,0,0,0,1
Albino Zertuche,C,C,0,0,0,0,C
Aljojuca,4,4,4,0,1,10,0
Altepexi,C,C,0,0,0,0,C
Amixtlan,C,C,1,0,0,0,C
Amozoc,7,5,5,0,0,0,2
Aquixtla,5,2,2,0,0,0,3
Atexcal,9,8,8,0,1,15,1
Atlixco,29,27,27,0,0,0,2
Atoyatempan,C,C,1,0,0,0,C
Atzala,C,C,1,0,1,15,C
Atzitzihuacan,9,6,6,0,0,0,3
Atzitzintla,5,4,4,0,0,0,1
Axutla,C,C,0,0,0,0,C
Ayotoxco de Guerrero,3,3,3,0,1,14,0
Calpan,3,3,3,0,1,0,0
Caltepec,9,7,7,0,0,0,2
Camocuautla,C,C,1,1,0,0,C
Caxhuacan,C,C,1,0,0,0,C
Coatzingo,C,C,2,1,0,0,C
Cohetzala,3,1,1,0,0,0,2
Cohuecan,C,C,2,1,0,0,C
Coronango,3,2,2,0,0,0,1
Coxcatlan,9,7,7,0,0,0,2
Coyomeapan,3,2,2,0,0,0,1
Coyotepec,4,2,2,0,0,0,2
Cuapiaxtla de Madero,C,C,1,0,0,0,C
Cuautempan,C,C,1,0,0,0,C
Cuautinchan,7,7,7,0,0,0,0
Cuautlancingo,3,1,1,0,0,0,2
Cuayuca de Andrade,5,5,5,0,0,0,0
Cuetzalan del Progreso,C,C,2,1,2,18,C
Cuyoaco,11,11,10,0,4,57,0
Chalchicomula de Sesma,24,24,24,1,0,0,0
Chapulco,C,C,2,0,0,0,C
Chiautla,6,5,5,0,0,0,1
Chiautzingo,5,5,5,0,0,0,0
Chiconcuautla,C,C,1,0,0,0,C
Chietla,21,17,17,2,2,15,4
Chignahuapan,45,39,38,1,3,78,6
Chignautla,C,C,0,0,1,60,C
Chila,4,3,3,0,0,0,1
Chila de la Sal,C,C,1,0,0,0,C
Honey,C,C,1,0,0,0,C
Chilchotla,C,C,2,0,1,10,C
Chinantla,3,2,2,0,0,0,1
Domingo Arenas,C,C,2,0,0,0,C
Eloxochitlan,C,C,2,0,0,0,C
Epatlan,4,3,3,0,0,0,1
Esperanza,9,8,8,0,0,0,1
Francisco Z. Mena,21,18,17,2,4,26,3
General Felipe angeles,5,5,5,3,0,0,0
Guadalupe,3,3,3,0,0,0,0
Guadalupe Victoria,10,9,9,0,2,3,1
Huaquechula,26,24,23,1,4,5,2
Huatlatlauca,8,3,3,0,0,0,5
Huauchinango,4,3,3,0,1,9,1
Huehuetlan el Chico,4,2,2,0,0,0,2
Huejotzingo,11,10,10,0,0,0,1
Hueytamalco,9,8,8,0,4,57,1
Hueytlalpan,C,C,0,0,0,0,C
Huitzilan de Serdan,C,C,1,0,0,0,C
Ixcamilpa de Guerrero,4,2,2,0,0,0,2
Ixcaquixtla,7,6,6,0,0,0,1
Ixtacamaxtitlan,24,23,23,1,0,0,1
Izucar de Matamoros,26,22,22,3,3,54,4
Jalpan,7,6,6,0,1,0,1
Jolalpan,9,5,5,0,2,27,4
Jonotla,4,4,4,0,2,4,0
Jopala,C,C,0,0,0,0,C
Juan C. Bonilla,C,C,1,0,1,10,C
Juan N. Mendez,3,3,3,0,0,0,0
Lafragua,7,6,6,0,0,0,1
Libres,6,6,6,0,2,17,0
La Magdalena Tlatlauquitepec,C,C,1,0,0,0,C
Mazapiltepec de Juarez,3,3,3,0,0,0,0
Mixtla,C,C,1,0,0,0,C
Molcaxac,9,9,9,0,2,25,0
Cañada Morelos,5,4,4,0,0,0,1
Nicolas Bravo,C,C,1,0,0,0,C
Nopalucan,6,5,5,0,1,12,1
Ocotepec,C,C,1,0,1,0,C
Ocoyucan,11,9,9,0,0,0,2
Olintla,C,C,0,0,0,0,C
Oriental,7,7,7,0,3,39,0
Pahuatlan,C,C,1,0,0,0,C
Palmar de Bravo,14,13,13,1,1,0,1
Pantepec,16,10,10,1,3,59,6
Petlalcingo,8,5,5,0,2,64,3
Piaxtla,5,5,5,0,0,0,0
Puebla,20,15,14,0,2,14,5
Quecholac,12,11,11,0,3,30,1
Rafael Lara Grajales,C,C,1,0,1,16,C
Los Reyes de Juarez,3,3,3,1,0,0,0
San Andres Cholula,6,2,2,0,0,0,4
San Antonio Cañada,C,C,1,0,0,0,C
San Diego la Mesa Tochimiltzingo,4,3,3,0,0,0,1
San Felipe Teotlalcingo,3,3,2,1,0,0,0
San Gabriel Chilac,4,2,2,1,0,0,2
San Jeronimo Tecuanipan,3,3,3,0,1,4,0
San Jeronimo Xayacatlan,3,2,2,0,0,0,1
San Jose Chiapa,7,6,5,0,2,22,1
San Jose Miahuatlan,8,6,6,0,1,8,2
San Juan Atenco,5,5,5,0,0,0,0
San Martin Texmelucan,11,8,8,0,0,0,3
San Martin Totoltepec,C,C,1,0,0,0,C
San Matias Tlalancaleca,3,3,3,1,1,20,0
San Miguel Xoxtla,C,C,1,0,0,0,C
San Nicolas Buenos Aires,7,5,4,0,3,0,2
San Nicolas de los Ranchos,3,2,2,1,0,0,1
San Pablo Anicano,6,5,5,0,0,0,1
San Pedro Cholula,3,0,0,0,0,0,3
San Pedro Yeloixtlahuaca,C,C,2,0,0,0,C
San Salvador el Seco,4,3,3,0,0,0,1
San Salvador el Verde,8,8,8,0,1,15,0
San Salvador Huixcolotla,C,C,1,0,0,0,C
San Sebastian Tlacotepec,C,C,1,0,0,0,C
Santa Catarina Tlaltempan,C,C,0,0,0,0,C
Santa Ines Ahuatempan,C,C,0,0,0,0,C
Santa Isabel Cholula,4,3,3,0,0,0,1
Santiago Miahuatlan,3,3,3,0,0,0,0
Huehuetlan el Grande,13,9,9,2,1,0,4
Santo Tomas Hueyotlipan,C,C,2,0,0,0,C
Soltepec,7,7,7,0,1,3,0
Tecali de Herrera,12,9,9,1,1,0,3
Tecamachalco,18,17,17,1,2,10,1
Tecomatlan,3,3,3,0,0,0,0
Tehuacan,12,8,8,0,4,19,4
Tehuitzingo,10,9,9,0,0,0,1
Tenampulco,8,5,5,0,1,8,3
