INEGI. IX Censo Ejidal 2007,,,,,,,
Total de ejidos y comunidades segun disposicion y tipo de parcelas,,,,,,,cuadro 31
con destino especifico por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,parcelas_de_destino_especifico_ejidos_y_comunidades_con_parcelas_de_destino_especifico,parcelas_de_destino_especifico_parcela_escolar,parcelas_de_destino_especifico_unidad_productiva_para_el_desarrollo_integral_de_la_juventud,unidad_agricola_industrial_para_la_mujer_total,unidad_agricola_industrial_para_la_mujer_mujeres_participantes,sin_parcelas_de_este_tipo
Ahumada,24,15,15,0,6,6,9
Aldama,24,19,18,1,9,249,5
Allende,21,20,20,0,4,0,1
Aquiles Serdan,C,C,2,2,2,5,C
Ascension,21,12,12,1,7,0,9
Bachiniva,11,10,10,0,0,0,1
Balleza,20,17,17,0,1,44,3
Batopilas,12,5,5,0,0,0,7
Bocoyna,26,20,20,0,0,0,6
Buenaventura,9,6,6,0,1,10,3
Camargo,24,13,13,0,4,11,11
Carichi,23,21,21,0,1,18,2
Casas Grandes,13,12,12,1,5,47,1
Coronado,6,6,6,0,0,0,0
Coyame del Sotol,12,8,7,0,6,5,4
La Cruz,5,4,4,0,1,0,1
Cuauhtemoc,26,23,23,0,3,41,3
Cusihuiriachi,21,17,17,0,2,47,4
Chihuahua,47,39,39,3,7,98,8
Chinipas,16,4,4,0,1,0,12
Delicias,4,3,3,0,0,0,1
Dr. Belisario Dominguez,9,8,8,0,0,0,1
Galeana,4,2,2,0,0,0,2
Santa Isabel,8,7,7,0,1,4,1
Gomez Farias,7,7,7,0,1,2,0
Gran Morelos,10,9,9,0,1,0,1
Guachochi,26,19,19,0,1,60,7
Guadalupe,7,7,7,0,1,0,0
Guadalupe y Calvo,45,28,28,0,3,62,17
Guazapares,11,5,5,0,2,0,6
Guerrero,50,47,47,1,3,55,3
Hidalgo del Parral,12,11,10,0,1,0,1
Huejotitan,8,6,6,0,1,20,2
Ignacio Zaragoza,4,4,4,0,0,0,0
Janos,14,11,11,0,1,22,3
Jimenez,53,45,45,4,16,181,8
Juarez,10,9,9,1,2,10,1
Julimes,6,3,3,1,0,0,3
Lopez,12,11,11,0,3,23,1
Madera,20,14,14,2,6,165,6
Maguarichi,5,4,4,0,0,0,1
Manuel Benavides,14,11,11,0,0,0,3
Matachi,5,5,5,0,1,24,0
Matamoros,8,8,8,1,0,0,0
Meoqui,4,1,1,0,0,0,3
Morelos,17,9,9,0,5,57,8
Moris,10,8,8,0,0,0,2
Namiquipa,12,12,12,0,0,0,0
Nonoava,C,C,2,0,0,0,C
Nuevo Casas Grandes,C,C,2,0,1,15,C
