INEGI. IX Censo Ejidal 2007,,,
"Total de ejidatarios, comuneros y posesionarios",,,cuadro 12
por entidad federativa y municipio,,,
,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros,posesionarios
Canatlan,8724,6783,1941
Canelas,260,250,10
Coneto de Comonfort,928,776,152
Cuencame,5246,3975,1271
Durango,12328,10090,2238
General Simon Bolivar,3032,2526,506
Gomez Palacio,6206,5746,460
Guadalupe Victoria,6101,4923,1178
Guanacevi,2548,2398,150
Hidalgo,1931,1862,69
Inde,3095,1618,1477
Lerdo,4267,3446,821
Mapimi,4129,3649,480
Mezquital,28478,28085,393
Nazas,2140,2050,90
Nombre de Dios,2984,2595,389
Ocampo,2606,2590,16
El Oro,5296,2955,2341
Otaez,3647,2296,1351
Panuco de Coronado,2501,2323,178
Peñon Blanco,1351,873,478
Poanas,3507,3164,343
Pueblo Nuevo,5784,5340,444
Rodeo,3116,1905,1211
San Bernardo,1392,1392,0
San Dimas,4519,4000,519
San Juan de Guadalupe,1924,1802,122
San Juan del Rio,2944,2607,337
San Luis del Cordero,647,597,50
San Pedro del Gallo,764,757,7
Santa Clara,2391,1805,586
Santiago Papasquiaro,10496,9037,1459
Suchil,1033,997,36
Tamazula,7588,5969,1619
Tepehuanes,5946,4543,1403
Tlahualilo,8682,6596,2086
Topia,1940,1830,110
Vicente Guerrero,1622,1344,278
Nuevo Ideal,4645,4396,249
Guanajuato,148147,108703,39444
Abasolo,4084,2753,1331
Acambaro,6219,5034,1185
San Miguel de Allende,7477,3314,4163
Apaseo el Alto,2355,1835,520
Apaseo el Grande,3266,2872,394
Atarjea,1322,859,463
Celaya,4420,3420,1000
Manuel Doblado,3621,2574,1047
Comonfort,2960,2355,605
Coroneo,220,164,56
Cortazar,1812,1406,406
Cueramaro,2340,1694,646
Doctor Mora,1325,1099,226
Dolores Hidalgo Cuna de la Independencia Nal.,3969,3055,914
Guanajuato,2957,1564,1393
Huanimaro,1644,1145,499
Irapuato,8879,6172,2707
Jaral del Progreso,2056,1873,183
Jerecuaro,4013,2861,1152
Leon,4778,3417,1361
Moroleon,427,364,63
Ocampo,1554,1304,250
Penjamo,10947,8500,2447
Pueblo Nuevo,377,259,118
Purisima del Rincon,1056,679,377
Romita,3994,2943,1051
Salamanca,4739,3319,1420
Salvatierra,7774,6761,1013
San Diego de la Union,2121,1949,172
San Felipe,7332,6449,883
San Francisco del Rincon,4266,1693,2573
San Jose Iturbide,645,429,216
San Luis de la Paz,2530,1883,647
Santa Catarina,171,170,1
Santa Cruz de Juventino Rosas,2991,2354,637
Santiago Maravatio,411,366,45
Silao,4125,3036,1089
Tarandacuao,458,339,119
Tarimoro,1528,1237,291
Tierra Blanca,362,192,170
Uriangato,483,359,124
Valle de Santiago,9054,6273,2781
Victoria,1362,1123,239
Villagran,1436,981,455
Xichu,2437,1676,761
Yuriria,5850,4599,1251
Guerrero,435574,335112,100462
Acapulco de Juarez,28381,13671,14710
Ahuacuotzingo,3956,3545,411
Ajuchitlan del Progreso,5987,5191,796
Alcozauca de Guerrero,4083,4083,0
Alpoyeca,647,647,0
Apaxtla,326,300,26
Arcelia,1783,1472,311
Atenango del Rio,1153,1067,86
Atlamajalcingo del Monte,2802,2691,111
Atlixtac,10110,7195,2915
Atoyac de alvarez,10470,5830,4640
Ayutla de los Libres,10992,10252,740
Azoyu,2934,1812,1122
Benito Juarez,2655,1576,1079
Buenavista de Cuellar,525,382,143
Coahuayutla de Jose Maria Izazaga,3439,2583,856
Cocula,1910,1606,304
Copala,2674,2559,115
Copalillo,2594,1954,640
Copanatoyac,6111,6111,0
Coyuca de Benitez,11329,6965,4364
Coyuca de Catalan,7629,6773,856
Cuajinicuilapa,3607,2178,1429
Cualac,1486,1486,0
Cuautepec,2517,2517,0
Cuetzala del Progreso,1662,1565,97
Cutzamala de Pinzon,4244,3979,265
Chilapa de alvarez,16556,12185,4371
Chilpancingo de los Bravo,6105,4899,1206
Florencio Villarreal,4414,2614,1800
General Canuto A. Neri,554,552,2
General Heliodoro Castillo,11636,10155,1481
Huamuxtitlan,2402,1672,730
Huitzuco de los Figueroa,3708,3540,168
Iguala de la Independencia,2747,2392,355
Igualapa,2435,2165,270
Ixcateopan de Cuauhtemoc,409,409,0
Jose Azueta,3536,2392,1144
Juan R. Escudero,2880,1318,1562
Leonardo Bravo,3664,3224,440
Malinaltepec,29410,20745,8665
Martir de Cuilapan,2132,1970,162
Metlatonoc,16375,15940,435
Mochitlan,1972,1528,444
Olinala ,2094,1985,109
Ometepec,6486,5626,860
Petatlan,4858,3535,1323
Pilcaya,837,406,431
Pungarabato,1342,1238,104
Quechultenango,6355,5713,642
San Luis Acatlan,11923,10922,1001
San Marcos,13193,6833,6360
San Miguel Totolapan,7501,7501,0
Taxco de Alarcon,4983,3396,1587
Tecoanapa,6906,5895,1011
Tecpan de Galeana,7525,4775,2750
Teloloapan,3955,3086,869
Tepecoacuilco de Trujano,4873,4475,398
Tetipac,648,601,47
Tixtla de Guerrero,2430,1877,553
Tlacoachistlahuaca,4017,3998,19
Tlacoapa,9170,4585,4585
Tlalchapa,2279,2045,234
Tlalixtaquilla de Maldonado,867,854,13
Tlapa de Comonfort,7750,6261,1489
Tlapehuala,2469,1515,954
La Union de Isidoro Montes de Oca,4390,2725,1665
Xalpatlahuac,1806,1606,200
Xochihuehuetlan,943,931,12
Xochistlahuaca,6042,3414,2628
Zapotitlan Tablas,5596,2798,2798
Zirandaro,4109,3713,396
Zitlala,4937,3821,1116
Eduardo Neri,4241,3057,1184
Acatepec,14358,14358,0
Marquelia,1031,742,289
Cochoapa el Grande,13000,10000,3000
Jose Joaquin de Herrera,5339,5339,0
Juchitan,1741,837,904
Iliatenco,8639,6959,1680
Hidalgo,217683,173511,44172
Acatlan,3252,2781,471
Acaxochitlan,1854,1775,79
Actopan,2769,2571,198
Agua Blanca de Iturbide,802,762,40
Ajacuba,1863,1642,221
Alfajayucan,2610,2565,45
Almoloya,1713,1521,192
Apan,3549,2741,808
El Arenal,1891,1565,326
Atitalaquia,1811,1043,768
Atlapexco,3338,1385,1953
Atotonilco el Grande,3906,3238,668
Atotonilco de Tula,2535,2189,346
Calnali,506,500,6
Cardonal,3263,2839,424
Cuautepec de Hinojosa,5000,3853,1147
Chapantongo,1784,1664,120
Chapulhuacan,2099,1951,148
Chilcuautla,2071,1998,73
Eloxochitlan,1044,829,215
Emiliano Zapata,906,733,173
Epazoyucan,1696,1543,153
Francisco I. Madero,2033,1841,192
Huasca de Ocampo,4238,2525,1713
Huautla,4663,4213,450
Huazalingo,2321,1362,959
Huehuetla,2217,1994,223
Huejutla de Reyes,9031,7233,1798
Huichapan,3971,3798,173
Ixmiquilpan,7932,5947,1985
Jacala de Ledezma,3133,2682,451
Jaltocan,2144,2000,144
Juarez Hidalgo,1037,1007,30
Lolotla,938,871,67
Metepec,954,857,97
San Agustin Metzquititlan,688,572,116
Metztitlan,3526,3148,378
Mineral del Chico,1197,579,618
Mineral del Monte,342,167,175
Mixquiahuala de Juarez,8471,5776,2695
Molango de Escamilla,1231,1126,105
Nicolas Flores,476,381,95
Nopala de Villagran,1398,1286,112
Omitlan de Juarez,1531,661,870
San Felipe Orizatlan,6760,5501,1259
Pacula,308,154,154
Pachuca de Soto,990,792,198
Pisaflores,275,269,6
Progreso de Obregon,226,226,0
Mineral de la Reforma,623,612,11
San Agustin Tlaxiaca,3135,2785,350
San Bartolo Tutotepec,181,152,29
San Salvador,5062,4287,775
Santiago de Anaya,2785,2010,775
Santiago Tulantepec de Lugo Guerrero,1020,635,385
Singuilucan,2071,1633,438
Tasquillo,2591,2434,157
Tecozautla,3543,3219,324
Tenango de Doria,409,409,0
Tepeapulco,1717,1381,336
Tepehuacan de Guerrero,5262,4736,526
Tepeji del Rio de Ocampo,6069,3050,3019
Tepetitlan,1748,1438,310
Tetepango,1527,1127,400
Villa de Tezontepec,314,301,13
Tezontepec de Aldama,4988,4251,737
Tianguistengo,2958,1901,1057
Tizayuca,876,829,47
Tlahuelilpan,654,576,78
Tlahuiltepa,1277,1250,27
Tlanalapa,790,683,107
Tlanchinol,8711,7167,1544
Tlaxcoapan,2057,2047,10
Tolcayuca,669,590,79
Tula de Allende,5370,3656,1714
Tulancingo de Bravo,2944,2002,942
Xochiatipan,3988,3035,953
Xochicoatlan,1297,1075,222
Yahualica,5968,3499,2469
Zacualtipan de angeles,1748,1276,472
Zapotlan de Juarez,1322,1302,20
Zempoala,4024,3724,300
Zimapan,7692,5783,1909
Jalisco,177307,137503,39804
Acatic,108,69,39
Acatlan de Juarez,1011,616,395
Ahualulco de Mercado,2784,1968,816
Amacueca,28,28,0
Amatitan,957,624,333
Ameca,6636,4808,1828
San Juanito de Escobedo,1835,1278,557
Arandas,379,79,300
El Arenal,1020,720,300
Atemajac de Brizuela,615,421,194
Atengo,830,753,77
Atenguillo,261,242,19
Atotonilco el Alto,1345,1171,174
Atoyac,773,683,90
Autlan de Navarro,2141,1810,331
Ayotlan,1713,1225,488
Ayutla,1360,1253,107
La Barca,5330,4158,1172
Bolaños,60,60,0
Cabo Corrientes,4767,4570,197
