INEGI. IX Censo Ejidal 2007,,,
"Total de ejidatarios, comuneros y posesionarios",,,cuadro 12
por entidad federativa y municipio,,,
,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros,posesionarios
San Pedro Yeloixtlahuaca,888,556,332
San Salvador el Seco,3559,3271,288
San Salvador el Verde,2262,1865,397
San Salvador Huixcolotla,532,432,100
San Sebastian Tlacotepec,119,119,0
Santa Catarina Tlaltempan,8,8,0
Santa Ines Ahuatempan,113,88,25
Santa Isabel Cholula,742,546,196
Santiago Miahuatlan,751,661,90
Huehuetlan el Grande,1887,1747,140
Santo Tomas Hueyotlipan,250,236,14
Soltepec,1288,1149,139
Tecali de Herrera,871,771,100
Tecamachalco,3146,2423,723
Tecomatlan,609,411,198
Tehuacan,12075,1130,10945
Tehuitzingo,2729,1338,1391
Tenampulco,753,654,99
Teopantlan,1126,1126,0
Teotlalco,498,472,26
Tepanco de Lopez,2244,1923,321
Tepatlaxco de Hidalgo,2553,1625,928
Tepeaca,4570,3522,1048
Tepemaxalco,234,234,0
Tepeojuma,802,704,98
Tepetzintla,409,208,201
Tepexco,876,861,15
Tepexi de Rodriguez,4100,3458,642
Tepeyahualco,3291,2352,939
Tepeyahualco de Cuauhtemoc,429,259,170
Tetela de Ocampo,337,282,55
Teziutlan,130,122,8
Tianguismanalco,989,988,1
Tilapa,796,591,205
Tlacotepec de Benito Juarez,6636,3798,2838
Tlacuilotepec,256,207,49
Tlachichuca,5204,4078,1126
Tlahuapan,4580,3307,1273
Tlanepantla,196,154,42
Tlapacoya,451,451,0
Tlapanala,912,890,22
Tlatlauquitepec,813,699,114
Tlaxco,53,53,0
Tochimilco,3647,2746,901
Tochtepec,555,422,133
Totoltepec de Guerrero,444,180,264
Tulcingo,561,497,64
Tuzamapan de Galeana,36,36,0
Tzicatlacoyan,1583,1066,517
Venustiano Carranza,1173,901,272
Vicente Guerrero,5769,1776,3993
Xayacatlan de Bravo,61,61,0
Xicotepec,983,860,123
Xicotlan,369,369,0
Xiutetelco,347,326,21
Xochiapulco,173,145,28
Xochiltepec,860,830,30
Xochitlan de Vicente Suarez,115,115,0
Xochitlan Todos Santos,732,499,233
Yehualtepec,2067,2016,51
Zacapala,623,591,32
Zacapoaxtla,2335,1772,563
Zacatlan,5506,5335,171
Zapotitlan,3775,3070,705
Zaragoza,716,358,358
Zautla,2077,1762,315
Zihuateutla,995,829,166
Zinacatepec,200,176,24
Zoquiapan,81,81,0
Zoquitlan,267,257,10
Queretaro,51069,35922,15147
Amealco de Bonfil,8328,4042,4286
Pinal de Amoles,1971,1303,668
Arroyo Seco,1531,1261,270
Cadereyta de Montes,8392,6345,2047
Colon,3653,3086,567
Corregidora,1510,1267,243
Ezequiel Montes,561,512,49
Huimilpan,1527,1133,394
Jalpan de Serra,647,545,102
Landa de Matamoros,176,172,4
El Marques,3363,2606,757
Pedro Escobedo,3396,2217,1179
Peñamiller,2393,1591,802
Queretaro,3368,2759,609
San Joaquin,515,503,12
San Juan del Rio,7310,4829,2481
Tequisquiapan,1844,1190,654
Toliman,584,561,23
Quintana Roo,52742,36107,16635
Cozumel,440,120,320
Felipe Carrillo Puerto,11980,8555,3425
Isla Mujeres,908,292,616
Othon P. Blanco,16522,15140,1382
Benito Juarez,7367,767,6600
Jose Maria Morelos,9653,5612,4041
Lazaro Cardenas,4003,3937,66
Solidaridad,1869,1684,185
San Luis Potosi,189646,153092,36554
Ahualulco,2448,1703,745
Alaquines,2144,1503,641
Aquismon,8694,6456,2238
Armadillo de los Infante,382,368,14
Cardenas,1804,1539,265
Catorce,2557,2401,156
Cedral,2321,2213,108
Cerritos,1333,1172,161
Cerro de San Pedro,251,157,94
Ciudad del Maiz,3935,3277,658
Ciudad Fernandez,3350,2090,1260
Tancanhuitz,2610,2179,431
Ciudad Valles,5556,4279,1277
Coxcatlan,2896,2765,131
Charcas,2225,2188,37
ebano,4213,3743,470
Guadalcazar,7146,6133,1013
Huehuetlan,2234,2056,178
Lagunillas,1060,847,213
Matehuala,4416,4336,80
Mexquitic de Carmona,4716,4544,172
Moctezuma,3099,2508,591
Rayon,2547,1934,613
Rioverde,9515,7038,2477
Salinas,4668,3914,754
San Antonio,1444,1293,151
San Ciro de Acosta,1252,930,322
San Luis Potosi,4973,4114,859
San Martin Chalchicuautla,3556,3183,373
San Nicolas Tolentino,656,581,75
Santa Catarina,2116,1731,385
Santa Maria del Rio,1012,880,132
Santo Domingo,4217,4119,98
San Vicente Tancuayalab,1239,1092,147
Soledad de Graciano Sanchez,1519,1438,81
Tamasopo,4660,4203,457
Tamazunchale,15555,13582,1973
Tampacan,1956,1575,381
Tampamolon Corona,1651,1512,139
Tamuin,6278,5765,513
Tanlajas,2520,1971,549
Tanquian de Escobedo,814,588,226
Tierra Nueva,60,60,0
Vanegas,1995,1958,37
Venado,2096,1986,110
Villa de Arriaga,1670,1443,227
Villa de Guadalupe,2251,2097,154
Villa de la Paz,471,416,55
Villa de Ramos,9599,6210,3389
Villa de Reyes,4833,2708,2125
Villa Hidalgo,3480,3057,423
Villa Juarez,3115,1871,1244
Axtla de Terrazas,3846,2537,1309
Xilitla,6913,3820,3093
Zaragoza,1355,873,482
Villa de Arista,1239,1202,37
Matlapa,3776,1762,2014
El Naranjo,1409,1192,217
Sinaloa,166257,152779,13478
Ahome,19510,17638,1872
Angostura,6246,6237,9
Badiraguato,12012,10509,1503
Concordia,4758,3453,1305
Cosala,3325,3170,155
Culiacan,20640,18897,1743
Choix,5167,4693,474
Elota,5797,5524,273
Escuinapa,3398,3094,304
El Fuerte,11638,10522,1116
Guasave,16840,15992,848
Mazatlan,4838,4382,456
Mocorito,8749,7469,1280
Rosario,5607,5096,511
Salvador Alvarado,3470,3384,86
San Ignacio,4822,4418,404
Sinaloa,20093,19044,1049
Navolato,9347,9257,90
Sonora,89324,78231,11093
Aconchi,500,500,0
Agua Prieta,329,322,7
alamos,5504,4959,545
Altar,332,302,30
Arivechi,454,426,28
Arizpe,945,879,66
Atil,123,123,0
Bacadehuachi,96,96,0
Bacanora,178,178,0
Bacerac,421,335,86
Bacoachi,219,195,24
Bacum,2505,2302,203
Banamichi,383,383,0
Baviacora,783,783,0
Bavispe,241,241,0
Benjamin Hill,150,124,26
Caborca,2465,2323,142
Cajeme,8255,7397,858
Cananea,554,529,25
Carbo,126,117,9
La Colorada,741,546,195
Cucurpe,543,341,202
Cumpas,1164,956,208
Divisaderos,229,201,28
Empalme,1472,1238,234
Etchojoa,6254,5913,341
Fronteras,685,685,0
Granados,194,194,0
Guaymas,5375,5153,222
Hermosillo,4981,2810,2171
Huachinera,188,180,8
Huasabas,236,236,0
Huatabampo,8842,7669,1173
Huepac,451,451,0
Imuris,680,497,183
Magdalena,877,766,111
Mazatan,378,266,112
Moctezuma,555,550,5
Naco,265,190,75
Nacori Chico,708,478,230
Nacozari de Garcia,358,321,37
Navojoa,5711,5390,321
Nogales,459,278,181
Onavas,98,56,42
Opodepe,651,571,80
Oquitoa,62,62,0
Pitiquito,789,757,32
Puerto Peñasco,1515,1438,77
Quiriego,942,919,23
Rayon,610,587,23
Rosario,884,765,119
Sahuaripa,1165,927,238
San Felipe de Jesus,140,140,0
San Javier,80,80,0
San Luis Rio Colorado,3167,2700,467
San Miguel de Horcasitas,404,372,32
San Pedro de la Cueva,902,860,42
Santa Ana,1107,650,457
Santa Cruz,290,230,60
Saric,369,369,0
Soyopa,522,440,82
Suaqui Grande,390,195,195
Tepache,245,112,133
Trincheras,433,221,212
Tubutama,593,389,204
Ures,1292,1123,169
Villa Hidalgo,331,310,21
Villa Pesqueira,446,419,27
Yecora,583,541,42
General Plutarco Elias Calles,1439,1383,56
Benito Juarez,1251,1221,30
San Ignacio Rio Muerto,2715,2571,144
Tabasco,113234,60606,52628
Balancan,5611,4733,878
Cardenas,17118,7570,9548
Centla,5998,3171,2827
Centro,9496,5619,3877
Comalcalco,13275,2518,10757
Cunduacan,10371,3409,6962
Emiliano Zapata,1400,1008,392
Huimanguillo,18571,10080,8491
Jalapa,1250,1059,191
Jalpa de Mendez,3722,1828,1894
Jonuta,6041,3636,2405
Macuspana,5483,4815,668
Nacajuca,2875,1839,1036
Paraiso,2190,1061,1129
Tacotalpa,3111,2457,654
Teapa,1526,1155,371
Tenosique,5196,4648,548
Tamaulipas,85005,76791,8214
Abasolo,2633,2519,114
Aldama,3646,3249,397
Altamira,2109,1928,181
Antiguo Morelos,1005,948,57
Burgos,1275,1232,43
Bustamante,1520,1393,127
Camargo,426,416,10
Casas,800,758,42
Cruillas,463,440,23
Gomez Farias,1146,1008,138
Gonzalez,4671,4270,401
Güemez,2119,1701,418
Guerrero,91,55,36
Gustavo Diaz Ordaz,702,649,53
Hidalgo,4757,4322,435
Jaumave,2599,2421,178
Jimenez,974,855,119
Llera,3055,2789,266
Mainero,535,527,8
El Mante,7476,7235,241
Matamoros,5896,4496,1400
Mendez,1464,1382,82
Miquihuana,586,569,17
Nuevo Laredo,705,598,107
Nuevo Morelos,373,354,19
Ocampo,1951,1781,170
Padilla,1432,1284,148
Palmillas,405,395,10
Reynosa,4853,4510,343
Rio Bravo,1797,1743,54
San Carlos,2238,2149,89
San Fernando,6318,5523,795
San Nicolas,306,303,3
Soto la Marina,3217,2672,545
Tampico,31,29,2
Tula,4368,3942,426
Valle Hermoso,1465,1458,7
Victoria,2329,1890,439
Villagran,1354,1282,72
Xicotencatl,1915,1716,199
Tlaxcala,52918,44216,8702
Amaxac de Guerrero,160,160,0
Atlangatepec,798,662,136
Altzayanca,1751,1560,191
Apizaco,1321,1106,215
Calpulalpan,2360,2047,313
El Carmen Tequexquitla,1206,1119,87
Cuapiaxtla,2098,1657,441
Cuaxomulco,78,78,0
Chiautempan,835,427,408
Muñoz de Domingo Arenas,511,477,34
Españita,1419,1122,297
Huamantla,4734,4183,551
Hueyotlipan,2562,2204,358
Ixtacuixtla de Mariano Matamoros,2712,1904,808
Ixtenco,1881,1731,150
Tepetitla de Lardizabal,511,485,26
Sanctorum de Lazaro Cardenas,1079,1010,69
Nanacamilpa de Mariano Arista,1740,1447,293
Nativitas,2720,2241,479
Panotla,1038,751,287
Santa Cruz Tlaxcala,451,385,66
Teolocholco,298,191,107
Terrenate,1483,1445,38
Tetla de la Solidaridad,1669,1211,458
Tetlatlahuca,528,504,24
Tlaxcala,317,292,25
Tlaxco,6031,4422,1609
Tocatlan,289,289,0
Totolac,236,118,118
Zitlaltepec de Trinidad Sanchez Santos,1370,1211,159
Tzompantepec,444,432,12
Xaloztoc,1614,1604,10
Xaltocan,420,420,0
Papalotla de Xicohtencatl,142,137,5
Xicohtzinco,256,256,0
Yauhquemecan,643,401,242
Zacatelco,1202,1152,50
Benito Juarez,704,554,150
Emiliano Zapata,751,406,345
Lazaro Cardenas,442,431,11
La Magdalena Tlaltelulco,349,349,0
San Damian Texoloc,126,126,0
San Jose Teacalco,560,460,100
San Lorenzo Axocomanitla,195,195,0
San Lucas Tecopilco,320,300,20
Santa Ana Nopalucan,376,366,10
Santa Apolonia Teacalco,188,188,0
Veracruz de Ignacio de la Llave,399471,294675,104796
Acajete,177,177,0
Acatlan,150,150,0
Acayucan,5929,2791,3138
Actopan,6466,3714,2752
Acula,692,552,140
Acultzingo,2254,1279,975
Camaron de Tejeda,535,401,134
Alto Lucero de Gutierrez Barrios,5207,1451,3756
Altotonga,1962,1771,191
Alvarado,2393,1629,764
Amatitlan,514,484,30
Naranjos Amatlan,367,339,28
Amatlan de los Reyes,1583,1276,307
angel R. Cabada,2077,1978,99
La Antigua,907,560,347
Apazapan,808,457,351
Atlahuilco,62,62,0
Atoyac,1422,1215,207
Atzacan,1875,737,1138
Atzalan,4758,2380,2378
Tlaltetela,2710,1304,1406
Banderilla,159,129,30
Benito Juarez,2475,2458,17
Boca del Rio,161,91,70
Calcahualco,314,280,34
Camerino Z. Mendoza,66,52,14
Carrillo Puerto,191,156,35
Catemaco,2503,2138,365
Cazones,2612,2018,594
Cerro Azul,435,383,52
Citlaltepetl,42,38,4
Coacoatzintla,187,123,64
Coahuitlan,658,345,313
Coatepec,3618,2083,1535
Coatzacoalcos,456,429,27
Coatzintla,1237,968,269
Coetzala,126,111,15
Colipa,653,480,173
Comapa,2146,1196,950
Cordoba,1142,1070,72
Cosamaloapan de Carpio,3323,2796,527
Coscomatepec,1636,1428,208
Cosoleacaque,1498,1427,71
Cotaxtla,1378,1030,348
Coxquihui,1429,457,972
Coyutla,2035,1141,894
Cuichapa,411,389,22
Cuitlahuac,928,800,128
Chacaltianguis,2436,2145,291
Chalma,1731,1694,37
Chiconamel,801,763,38
Chiconquiaco,1752,575,1177
Chicontepec,10359,8514,1845
Chinameca,637,579,58
Chinampa de Gorostiza,287,246,41
Las Choapas,6692,5839,853
Chocaman,819,704,115
Chontla,1989,1742,247
Chumatlan,500,500,0
Emiliano Zapata,6084,2724,3360
Espinal,1603,1466,137
Fortin,1927,830,1097
Gutierrez Zamora,858,678,180
Hidalgotitlan,2931,2600,331
Huatusco,623,623,0
Huayacocotla,2263,1693,570
Hueyapan de Ocampo,6931,4920,2011
Huiloapan,138,18,120
Ignacio de la Llave,2754,2182,572
Ilamatlan,2697,1921,776
Isla,2667,2311,356
Ixcatepec,325,320,5
Ixhuacan de los Reyes,480,480,0
Ixhuatlan del Cafe,1311,1311,0
Ixhuatlancillo,860,629,231
Ixhuatlan del Sureste,773,603,170
Ixhuatlan de Madero,8184,6143,2041
Ixmatlahuacan,520,459,61
Ixtaczoquitlan,6315,2608,3707
Jalacingo,1968,1311,657
Xalapa,1917,597,1320
Jalcomulco,5087,927,4160
Jaltipan,1129,983,146
Jamapa,1003,753,250
Jesus Carranza,2690,2473,217
Xico,2759,1068,1691
Jilotepec,1261,484,777
Juan Rodriguez Clara,4545,3891,654
Juchique de Ferrer,1556,952,604
Lerdo de Tejada,802,431,371
Maltrata,807,348,459
Manlio Fabio Altamirano,2607,1981,626
Mariano Escobedo,395,203,192
Martinez de la Torre,4840,3474,1366
Mecayapan,1990,1681,309
Medellin,3292,2150,1142
Miahuatlan,173,158,15
Minatitlan,7417,6700,717
Misantla,3442,2452,990
Moloacan,661,626,35
Naolinco,688,218,470
Nautla,1366,1245,121
Nogales,572,273,299
Oluta,567,318,249
Omealca,1932,1513,419
Otatitlan,200,182,18
Oteapan,446,296,150
Ozuluama de Mascareñas,1965,1836,129
Pajapan,1242,1141,101
Panuco,7131,6205,926
Papantla,7352,6314,1038
Paso del Macho,1855,1372,483
Paso de Ovejas,2715,1720,995
La Perla,138,96,42
Perote,4064,2813,1251
Platon Sanchez,1152,1122,30
Playa Vicente,4955,4577,378
Las Vigas de Ramirez,732,596,136
Pueblo Viejo,1043,928,115
Puente Nacional,2207,1430,777
Rafael Delgado,1168,461,707
Rafael Lucio,96,96,0
Los Reyes,257,212,45
Rio Blanco,60,55,5
Saltabarranca,362,356,6
San Andres Tuxtla,9244,7611,1633
San Juan Evangelista,2978,2582,396
Santiago Tuxtla,4767,4280,487
Sayula de Aleman,3072,2446,626
Soconusco,431,379,52
Soledad Atzompa,835,350,485
Soledad de Doblado,2565,1464,1101
Soteapan,3714,3394,320
Tamalin,299,267,32
Tamiahua,2850,2542,308
Tampico Alto,1490,1417,73
Tancoco,416,282,134
Tantima,964,897,67
Tantoyuca,18477,14276,4201
Castillo de Teayo,2599,1989,610
Tecolutla,2326,2051,275
Temapache,12142,9124,3018
Tempoal,3072,2613,459
Tenampa,948,891,57
Teocelo,119,114,5
Tepatlaxco,270,249,21
Tepetlan,1508,726,782
Tepetzintla,986,829,157
Tequila,199,31,168
Jose Azueta,2940,2834,106
Texcatepec,2626,1662,964
Texistepec,1291,1137,154
Tezonapa,6562,4828,1734
Tierra Blanca,5600,4662,938
Tihuatlan,5098,4410,688
Tlacojalpan,456,322,134
Tlacolulan,115,105,10
Tlacotalpan,889,838,51
Tlacotepec de Mejia,566,386,180
Tlachichilco,1405,1254,151
Tlalixcoyan,4703,3829,874
Tlalnelhuayocan,364,239,125
Tlapacoyan,1864,1139,725
Tlilapan,54,44,10
Tomatlan,125,125,0
Tonayan,173,128,45
Totutla,1200,830,370
Tuxpam,4801,3898,903
Tuxtilla,756,646,110
ursulo Galvan,2724,1998,726
Vega de Alatorre,868,693,175
Veracruz,1127,825,302
Villa Aldama,1201,956,245
Xoxocotla,1687,412,1275
Yanga,826,619,207
Yecuatla,212,173,39
Zacualpan,287,244,43
Zentla,619,567,52
Zongolica,7422,3969,3453
Zontecomatlan de Lopez y Fuentes,2926,2422,504
Zozocolco de Hidalgo,91,89,2
Agua Dulce,777,773,4
El Higo,1835,1462,373
Nanchital de Lazaro Cardenas del Rio,75,72,3
Tres Valles,2650,2326,324
Carlos A. Carrillo,1072,982,90
Tatahuicapan de Juarez,1911,1561,350
Uxpanapa,5520,4643,877
San Rafael,215,161,54
Santiago Sochiapan,47,47,0
Yucatan,155140,128865,26275
Abala,1115,1115,0
Acanceh,3838,2137,1701
Akil,524,524,0
Baca,1333,1283,50
Bokoba,517,517,0
Buctzotz,843,623,220
Cacalchen,1202,1181,21
Calotmul,936,671,265
Cansahcab,1366,1365,1
Cantamayec,386,386,0
Celestun,305,305,0
Cenotillo,696,668,28
Conkal,867,760,107
Cuncunul,276,234,42
Cuzama,832,832,0
Chacsinkin,502,477,25
Chankom,1068,809,259
Chapab,663,638,25
Chemax,4744,3177,1567
Chicxulub Pueblo,519,459,60
Chichimila,792,671,121
Chikindzonot,998,977,21
Chochola,502,502,0
Chumayel,394,324,70
Dzan,560,555,5
Dzemul,1197,1073,124
Dzidzantun,1095,945,150
Dzilam de Bravo,112,97,15
Dzilam Gonzalez,985,949,36
Dzitas,674,484,190
Dzoncauich,2522,2522,0
Espita,2552,1881,671
Halacho,3808,3808,0
Hocaba,1363,1363,0
Hoctun,1278,1270,8
Homun,1340,1256,84
Huhi,1327,1320,7
Hunucma,2882,2316,566
Ixil,398,345,53
Izamal,5305,4655,650
Kanasin,1678,1202,476
Kantunil,622,602,20
Kaua,344,280,64
Kinchil,850,850,0
Kopoma,578,578,0
Mama,483,283,200
Mani,949,579,370
Maxcanu,7438,5116,2322
Mayapan,464,214,250
Merida,9449,7675,1774
Mococha,521,463,58
Motul,4328,3518,810
Muna,2209,2009,200
Muxupip,1246,663,583
Opichen,1380,1380,0
Oxkutzcab,1314,1226,88
Panaba,775,698,77
Peto,2700,2515,185
Progreso,698,637,61
Quintana Roo,338,338,0
Rio Lagartos,90,90,0
Sacalum,941,780,161
Samahil,886,886,0
Sanahcat,519,508,11
San Felipe,167,130,37
Santa Elena,516,496,20
Seye,1708,1708,0
Sinanche,672,534,138
Sotuta,1130,1047,83
Sucila,1153,589,564
Sudzal,519,464,55
Suma,529,529,0
Tahdziu,634,634,0
Tahmek,833,783,50
Teabo,476,416,60
Tecoh,3278,3172,106
Tekal de Venegas,748,673,75
Tekanto,962,911,51
Tekax,4918,4063,855
Tekit,1845,1845,0
Tekom,403,353,50
Telchac,477,427,50
Telchac Puerto,54,54,0
Temax,1903,1901,2
Temozon,1790,1259,531
Tepakan,685,684,1
Tetiz,768,768,0
Teya,575,575,0
Ticul,2211,1356,855
Timucuy,882,879,3
Tinum,2307,1418,889
Tixcacalcupul,1148,425,723
Tixkokob,1745,1648,97
Tixmehuac,1262,849,413
Tixpehual,781,729,52
Tizimin,7478,5199,2279
Tunkas,985,877,108
Tzucacab,1788,1593,195
Uayma,701,494,207
Ucu,791,583,208
Uman,2706,2110,596
Valladolid,5116,3885,1231
Xocchel,421,407,14
Yaxcaba,3653,2980,673
Yaxkukul,504,382,122
Yobain,502,472,30
Zacatecas,124861,106661,18200
Apozol,568,545,23
Apulco,661,161,500
Atolinga,230,230,0
Benito Juarez,94,94,0
Calera,929,927,2
Cañitas de Felipe Pescador,1483,1470,13
Concepcion del Oro,1961,1889,72
Cuauhtemoc,739,550,189
Chalchihuites,339,286,53
Fresnillo,10563,9247,1316
Genaro Codina,1750,1612,138
General Enrique Estrada,94,94,0
General Francisco R. Murguia,4968,4696,272
El Plateado de Joaquin Amaro,400,275,125
General Panfilo Natera,3322,2247,1075
Guadalupe,5710,3737,1973
Huanusco,475,471,4
Jalpa,231,225,6
Jerez,4071,3848,223
Jimenez del Teul,493,442,51
Juan Aldama,4402,4145,257
Juchipila,203,182,21
Loreto,1545,1380,165
Luis Moya,1059,907,152
Mazapil,6733,6510,223
Melchor Ocampo,707,695,12
Mezquital del Oro,312,198,114
Miguel Auza,2772,2716,56
Monte Escobedo,261,219,42
Morelos,905,598,307
Nochistlan de Mejia,53,53,0
Noria de angeles,1230,1106,124
Ojocaliente,2717,2448,269
Panuco,4013,2931,1082
Pinos,10640,9135,1505
Rio Grande,5486,4704,782
Sain Alto,2904,2278,626
El Salvador,833,798,35
Sombrerete,8333,6481,1852
Susticacan,467,457,10
Tabasco,931,753,178
Tepechitlan,318,315,3
Tepetongo,914,914,0
Teul de Gonzalez Ortega,283,263,20
Tlaltenango de Sanchez Roman,1323,1323,0
Valparaiso,5322,4840,482
Vetagrande,1388,1002,386
Villa de Cos,6392,5201,1191
Villa Garcia,2218,1693,525
Villa Gonzalez Ortega,945,840,105
Villa Hidalgo,2210,1695,515
Villanueva,5275,4400,875
Zacatecas,1115,1054,61
Trancoso,1456,1270,186
Santa Maria de la Paz,115,111,4
"NOTA: La Informacion presentada corresponde a los datos captados en el cuestionario por medio de las preguntas:  19, 19.1 y 19.2",,,
http://www3.inegi.org.mx/sistemas/tabuladosbasicos/default.aspx?c=17351&s=est,,,
