INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades segun tipo de construcciones agropecuarias y forestales de su propiedad,,,,,,,,,,,,cuadro 23
por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_total,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bodegas,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_aves,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_cerdos,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_pozo_para_riego,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_baño_garrapaticida,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_sala_de_ordeña,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_aserradero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_otras_cosntrucciones,ejidos_y_comunidades_sin_construcciones_agropecuarias_ni_forestales_de_su_propiedad
Cuautitlan Izcalli,9,4,1,0,0,3,0,0,0,0,0,5
Valle de Chalco Solidaridad,C,C,1,0,0,0,1,0,0,0,1,C
Luvianos,3,3,3,0,0,2,0,1,0,0,1,0
San Jose del Rincon,50,12,7,0,4,3,0,0,0,2,3,38
Michoacan de Ocampo,1910,903,241,10,15,436,400,139,11,19,149,1007
Acuitzio,8,2,2,0,0,0,1,0,1,0,0,6
Aguililla,16,5,5,0,0,0,0,0,0,0,2,11
alvaro Obregon,23,18,5,0,0,2,14,1,0,0,6,5
Angamacutiro,24,15,1,0,0,6,11,4,0,0,0,9
Angangueo,6,2,1,0,0,2,1,0,0,0,0,4
Apatzingan,51,35,9,1,2,8,29,9,0,0,2,16
Aporo,C,C,0,0,0,0,0,0,0,0,0,C
Aquila,7,6,3,1,1,1,3,1,0,0,2,1
Ario,40,17,3,0,0,12,1,1,0,0,9,23
Arteaga,20,5,1,0,0,5,1,1,1,0,1,15
Briseñas,4,4,1,0,0,4,4,0,0,0,0,0
Buenavista,47,35,18,0,2,10,19,5,1,0,2,12
Caracuaro,12,3,0,0,0,1,1,0,0,0,2,9
Coahuayana,12,7,1,0,0,4,3,1,0,0,0,5
Coalcoman de Vazquez Pallares,10,1,0,0,0,0,0,0,0,1,0,9
Coeneo,35,19,0,1,0,8,8,3,0,0,9,16
Contepec,30,27,6,0,0,23,10,0,0,0,3,3
Copandaro,5,5,3,0,0,4,2,0,0,0,1,0
Cotija,19,12,0,0,0,5,7,0,0,0,1,7
Cuitzeo,9,8,2,0,1,3,6,3,0,0,1,1
Charapan,4,0,0,0,0,0,0,0,0,0,0,4
Charo,17,7,2,0,0,1,5,1,0,0,2,10
Chavinda,12,8,2,0,0,6,4,0,0,0,0,4
Cheran,C,C,0,0,0,1,0,0,0,1,1,C
Chilchota,13,3,0,0,0,0,1,0,0,0,3,10
Chinicuila,8,0,0,0,0,0,0,0,0,0,0,8
Chucandiro,14,8,3,0,0,6,3,1,0,0,1,6
Churintzio,16,8,0,0,0,5,3,0,0,0,1,8
Churumuco,25,9,0,0,0,5,0,4,0,0,0,16
Ecuandureo,17,13,2,0,0,5,10,2,1,0,0,4
Epitacio Huerta,15,14,5,0,0,14,5,0,0,0,0,1
Erongaricuaro,12,5,3,0,0,2,0,0,0,0,1,7
Gabriel Zamora,7,4,1,0,0,0,0,2,0,0,2,3
Hidalgo,31,16,2,1,0,5,1,0,0,4,6,15
La Huacana,68,22,6,0,0,12,4,7,1,0,1,46
Huandacareo,5,3,1,0,0,1,2,0,0,0,2,2
Huaniqueo,20,7,0,0,1,3,1,2,0,0,0,13
Huetamo,54,9,1,0,0,8,0,0,0,0,0,45
Huiramba,5,1,1,0,0,1,0,0,0,0,0,4
Indaparapeo,12,8,5,1,0,2,3,2,0,0,1,4
Irimbo,6,4,2,0,0,3,0,0,0,0,0,2
Ixtlan,13,11,0,0,0,1,8,0,0,0,4,2
Jacona,4,3,0,0,0,2,2,1,0,0,0,1
Jimenez,20,15,5,0,0,9,8,6,0,0,0,5
Jiquilpan,10,9,1,0,0,6,2,3,0,0,0,1
Juarez,9,4,2,0,0,2,1,0,0,0,0,5
Jungapeo,17,1,0,0,0,1,0,0,0,0,0,16
Lagunillas,5,1,0,0,0,0,0,1,0,0,0,4
Madero,15,5,2,0,0,3,0,1,0,0,0,10
Maravatio,34,23,4,1,0,15,15,0,0,0,0,11
Marcos Castellanos,8,1,0,0,0,0,0,1,0,0,0,7
Lazaro Cardenas,22,10,2,0,0,5,3,4,0,0,4,12
Morelia,83,38,15,0,0,20,11,4,2,0,4,45
Morelos,8,4,4,0,1,3,0,2,0,0,1,4
Mugica,5,5,5,0,0,2,3,3,0,0,3,0
Nahuatzen,8,4,0,0,0,2,1,0,0,0,2,4
Nocupetaro,13,2,2,0,0,0,0,0,0,0,0,11
Nuevo Parangaricutiro,4,3,2,0,0,0,2,0,0,2,1,1
Nuevo Urecho,12,0,0,0,0,0,0,0,0,0,0,12
Numaran,8,0,0,0,0,0,0,0,0,0,0,8
Ocampo,9,4,3,0,0,1,0,0,0,1,0,5
Pajacuaran,10,9,4,0,0,4,8,0,0,0,1,1
Panindicuaro,18,3,0,0,0,3,1,1,0,0,0,15
Paracuaro,21,15,3,0,0,5,7,5,0,0,1,6
Paracho,8,1,1,0,0,1,0,0,0,0,1,7
Patzcuaro,32,2,1,0,0,0,0,0,0,0,1,30
Penjamillo,22,12,0,0,1,8,8,1,0,0,4,10
Periban,8,3,0,0,0,2,2,0,0,0,0,5
La Piedad,26,8,0,0,0,6,4,0,0,0,0,18
Purepero,3,0,0,0,0,0,0,0,0,0,0,3
Puruandiro,40,27,5,1,1,19,17,8,0,0,11,13
Querendaro,10,6,2,0,0,3,2,2,0,1,0,4
Quiroga,4,2,1,0,0,2,0,0,0,0,1,2
Cojumatlan de Regules,10,4,1,0,0,0,4,0,0,0,0,6
Los Reyes,18,4,3,0,1,1,0,0,1,0,0,14
Sahuayo,5,3,1,1,1,2,3,0,1,0,0,2
San Lucas,26,4,1,0,0,4,0,0,0,0,1,22
Santa Ana Maya,8,6,1,0,0,1,6,3,0,0,0,2
Salvador Escalante,37,6,3,0,0,2,1,0,0,1,1,31
Senguio,15,6,1,0,0,5,1,0,0,0,0,9
Susupuato,13,3,0,0,0,2,2,0,0,1,0,10
Tacambaro,20,5,1,0,0,1,1,0,1,1,0,15
Tancitaro,12,1,0,0,0,1,0,0,0,0,0,11
Tangamandapio,10,3,1,0,0,2,2,1,0,0,1,7
Tangancicuaro,21,10,2,0,0,2,0,3,0,0,6,11
Tanhuato,12,11,1,0,0,5,11,0,0,0,0,1
Taretan,14,9,3,0,0,4,1,2,1,0,2,5
Tarimbaro,29,17,4,0,0,4,17,0,0,0,3,12
Tepalcatepec,34,22,8,0,0,6,0,12,0,0,0,12
Tingambato,4,3,1,0,0,0,1,0,0,1,3,1
Tingüindin,7,2,1,0,0,1,0,0,0,0,1,5
Tiquicheo de Nicolas Romero,18,9,0,0,0,8,0,0,0,0,1,9
Tlalpujahua,11,6,0,0,0,5,1,0,0,0,1,5
Tlazazalca,10,7,0,0,0,6,1,5,0,0,0,3
Tocumbo,9,3,0,0,0,2,3,0,0,0,0,6
Tumbiscatio,12,1,0,0,0,1,1,0,0,0,0,11
Turicato,21,4,2,0,0,2,0,1,0,0,1,17
Tuxpan,16,1,0,0,0,1,0,0,0,0,0,15
Tuzantla,28,3,0,0,0,3,1,0,0,0,0,25
Tzintzuntzan,8,0,0,0,0,0,0,0,0,0,0,8
Tzitzio,4,1,1,0,0,1,0,0,0,0,0,3
Uruapan,31,21,3,0,0,4,5,3,0,2,15,10
Venustiano Carranza,8,8,3,0,0,8,7,0,0,0,0,0
Villamar,20,14,4,0,0,10,6,3,0,0,0,6
Vista Hermosa,6,6,4,0,0,3,6,0,0,0,0,0
Yurecuaro,13,10,2,0,0,0,9,0,0,0,0,3
Zacapu,24,10,5,0,0,3,3,2,0,1,1,14
Zamora,26,22,5,0,0,17,16,8,0,0,0,4
Zinaparo,7,1,0,0,0,1,0,0,0,0,0,6
Zinapecuaro,31,17,7,0,1,6,7,1,0,2,3,14
Ziracuaretiro,10,2,0,0,0,0,2,0,0,0,0,8
Zitacuaro,31,17,7,1,0,5,3,1,0,0,7,14
Jose Sixto Verduzco,18,14,4,1,2,4,11,1,0,0,1,4
Morelos,234,159,86,3,4,88,54,29,0,1,43,75
Amacuzac,4,3,2,0,0,3,1,0,0,0,1,1
Atlatlahucan,C,C,1,0,0,0,1,0,0,0,0,C
Axochiapan,7,7,2,0,1,3,6,1,0,0,1,0
Ayala,16,12,6,2,0,11,4,2,0,0,0,4
Coatlan del Rio,5,2,0,0,0,2,0,0,0,0,0,3
Cuautla,9,6,5,0,0,3,5,0,0,0,0,3
Cuernavaca,11,6,1,0,0,5,1,0,0,0,3,5
Emiliano Zapata,6,4,1,0,0,0,2,0,0,0,1,2
Huitzilac,C,C,0,0,0,0,0,0,0,0,0,C
Jantetelco,7,7,4,0,0,7,2,3,0,0,1,0
Jiutepec,7,1,0,0,0,0,0,0,0,0,1,6
Jojutla,9,6,5,0,0,0,0,1,0,0,2,3
Jonacatepec,4,3,3,0,1,3,1,0,0,0,0,1
Mazatepec,C,C,2,0,0,1,3,1,0,0,0,C
Miacatlan,6,4,1,0,0,4,2,1,0,0,0,2
Ocuituco,9,5,5,0,0,1,0,0,0,0,0,4
Puente de Ixtla,9,7,5,0,0,3,3,0,0,0,0,2
Temixco,8,5,3,0,0,2,0,0,0,0,2,3
Tepalcingo,10,10,6,0,1,10,3,4,0,0,2,0
Tepoztlan,C,C,0,0,0,0,1,0,0,0,0,C
Tetecala,3,3,2,0,1,2,0,0,0,0,0,0
Tetela del Volcan,7,2,1,0,0,0,0,0,0,1,0,5
Tlalnepantla,3,3,1,0,0,0,0,0,0,0,2,0
Tlaltizapan,17,14,8,0,0,4,5,1,0,0,11,3
Tlaquiltenango,19,17,7,1,0,11,1,12,0,0,11,2
Tlayacapan,7,1,1,0,0,0,1,0,0,0,0,6
Totolapan,6,2,2,0,0,0,0,0,0,0,0,4
Xochitepec,6,3,3,0,0,0,2,0,0,0,1,3
Yautepec,10,9,3,0,0,5,7,2,0,0,1,1
Yecapixtla,11,4,2,0,0,3,1,1,0,0,0,7
Zacatepec de Hidalgo,3,3,1,0,0,0,1,0,0,0,2,0
Zacualpan de Amilpas,C,C,1,0,0,2,0,0,0,0,1,C
Temoac,4,3,2,0,0,3,1,0,0,0,0,1
Nayarit,404,260,108,1,5,103,73,79,5,10,45,144
Acaponeta,24,8,1,0,0,2,0,0,0,1,4,16
Ahuacatlan,8,8,5,0,0,7,5,1,0,0,4,0
Amatlan de Cañas,17,10,5,0,0,5,3,4,2,0,0,7
Compostela,31,22,8,0,0,8,11,10,2,1,13,9
Huajicori,10,4,0,0,0,1,0,3,0,2,0,6
Ixtlan del Rio,10,6,2,0,0,4,1,1,0,0,0,4
Jala,10,9,6,1,0,1,1,4,0,3,3,1
Xalisco,16,10,4,0,0,1,3,3,0,0,1,6
Del Nayar,24,11,2,0,0,4,1,2,0,2,4,13
Rosamorada,32,20,5,0,0,14,5,7,0,0,2,12
Ruiz,7,5,4,0,0,2,2,3,0,0,3,2
San Blas,33,26,18,0,1,4,4,7,0,1,1,7
San Pedro Lagunillas,9,6,2,0,3,0,4,3,0,0,0,3
Santa Maria del Oro,17,13,7,0,0,8,6,3,0,0,0,4
Santiago Ixcuintla,58,41,8,0,1,22,16,5,1,0,2,17
Tecuala,25,11,7,0,0,1,0,5,0,0,0,14
Tepic,51,32,19,0,0,12,5,11,0,0,5,19
Tuxpan,6,5,2,0,0,4,2,1,0,0,0,1
La Yesca,4,4,0,0,0,2,1,2,0,0,0,0
Bahia de Banderas,12,9,3,0,0,1,3,4,0,0,3,3
Nuevo Leon,607,420,88,8,3,326,82,87,1,8,40,187
Abasolo,C,C,0,0,0,0,0,0,0,0,0,C
Agualeguas,6,5,0,0,0,5,0,2,0,0,0,1
Los Aldamas,C,C,1,0,0,1,0,0,0,0,0,C
Allende,C,C,0,0,0,1,1,0,0,0,0,C
Anahuac,13,8,3,0,0,5,0,6,0,0,2,5
Apodaca,C,C,0,0,0,0,0,0,0,0,0,C
Aramberri,43,24,6,1,0,15,8,10,0,1,9,19
Bustamante,C,C,1,0,0,1,0,2,0,0,0,C
Cadereyta Jimenez,32,21,11,0,0,10,9,1,0,0,0,11
Carmen,C,C,0,0,0,0,0,1,0,0,0,C
Cerralvo,C,C,0,0,0,0,0,0,0,0,0,C
Cienega de Flores,C,C,0,0,0,0,0,0,0,0,0,C
China,4,4,2,0,0,4,0,0,0,0,0,0
Dr. Arroyo,106,105,9,1,0,104,8,13,0,0,12,1
Dr. Gonzalez,3,1,0,0,0,1,0,0,0,0,0,2
Galeana,110,74,24,2,1,59,32,7,0,1,5,36
Garcia,11,7,1,0,0,6,1,0,0,0,0,4
Gral. Bravo,C,C,0,0,0,0,0,0,0,0,0,C
Gral. Escobedo,C,C,0,0,0,0,0,1,0,0,0,C
Gral. Teran,16,11,7,0,0,3,1,1,0,0,1,5
Gral. Zaragoza,15,9,0,0,0,7,0,6,0,2,1,6
Gral. Zuazua,C,C,0,0,0,0,1,0,0,0,0,C
Guadalupe,C,C,0,0,0,0,0,0,0,0,0,C
Hualahuises,5,4,0,1,1,1,2,0,0,0,0,1
Iturbide,12,7,0,0,0,1,0,6,0,3,0,5
Juarez,4,1,0,0,0,0,0,0,0,0,1,3
Lampazos de Naranjo,7,0,0,0,0,0,0,0,0,0,0,7
Linares,68,44,11,1,1,37,3,12,0,0,2,24
Marin,C,C,0,0,0,0,0,0,1,0,0,C
Mier y Noriega,14,14,1,0,0,14,0,1,0,0,0,0
Mina,23,19,2,1,0,16,4,2,0,0,0,4
Montemorelos,26,10,5,0,0,5,2,0,0,1,0,16
Monterrey,C,C,0,0,0,0,0,0,0,0,0,C
Paras,3,2,0,0,0,1,0,2,0,0,0,1
Pesqueria,8,4,0,0,0,4,0,0,0,0,0,4
Los Ramones,4,2,0,0,0,1,0,1,0,0,0,2
Rayones,8,4,0,0,0,3,0,1,0,0,1,4
Sabinas Hidalgo,9,7,1,0,0,6,3,4,0,0,2,2
Salinas Victoria,7,5,0,0,0,2,3,1,0,0,0,2
Hidalgo,C,C,0,0,0,0,0,0,0,0,0,C
Santa Catarina,5,1,0,0,0,1,1,0,0,0,0,4
Santiago,9,4,0,0,0,3,1,0,0,0,0,5
Vallecillo,11,9,1,1,0,7,1,2,0,0,1,2
Villaldama,5,5,2,0,0,2,1,5,0,0,3,0
Oaxaca,1632,434,195,17,12,119,120,36,7,41,76,1198
Abejones,C,C,1,0,0,0,0,0,0,0,0,C
Acatlan de Perez Figueroa,38,8,4,0,0,0,5,0,0,0,1,30
Asuncion Cacalotepec,C,C,0,0,0,0,0,0,0,0,0,C
Asuncion Cuyotepeji,C,C,0,1,0,0,1,0,0,0,0,C
Asuncion Ixtaltepec,11,1,0,0,0,1,0,0,0,0,0,10
Asuncion Nochixtlan,11,1,0,0,0,1,0,0,0,0,0,10
Asuncion Tlacolulita,C,C,0,0,0,0,0,0,0,0,0,C
Ayotzintepec,6,1,1,0,0,0,0,0,0,0,0,5
El Barrio de la Soledad,C,C,1,2,1,0,0,0,0,0,0,C
Calihuala,4,1,0,0,0,0,1,0,0,0,0,3
Candelaria Loxicha,C,C,0,0,0,0,0,0,0,0,0,C
Cienega de Zimatlan,C,C,1,0,0,0,1,0,0,0,0,C
Ciudad Ixtepec,C,C,0,0,0,0,0,0,0,0,0,C
Coatecas Altas,C,C,0,0,0,1,0,0,0,0,0,C
Coicoyan de las Flores,C,C,0,0,0,0,0,0,0,0,0,C
La Compañia,C,C,0,0,0,1,0,0,0,0,0,C
Concepcion Buenavista,4,0,0,0,0,0,0,0,0,0,0,4
Concepcion Papalo,C,C,1,0,0,0,0,0,0,0,1,C
Constancia del Rosario,C,C,1,0,0,0,0,0,0,0,0,C
Cosolapa,8,2,1,0,0,0,0,0,0,0,1,6
Cosoltepec,3,3,0,0,0,2,0,2,0,0,0,0
Cuilapam de Guerrero,4,3,0,1,1,2,2,0,0,0,0,1
Cuyamecalco Villa de Zaragoza,C,C,0,0,0,0,0,0,0,0,0,C
Chahuites,C,C,1,0,0,0,0,0,0,0,0,C
Chalcatongo de Hidalgo,C,C,0,0,0,0,0,0,0,0,0,C
Chiquihuitlan de Benito Juarez,C,C,0,0,0,0,0,0,0,0,0,C
Heroica Ciudad de Ejutla de Crespo,13,3,0,0,0,3,1,1,0,0,0,10
Tamazulapam del Espiritu Santo,C,C,0,0,0,0,0,0,0,0,0,C
Fresnillo de Trujano,C,C,0,0,0,0,0,0,0,0,0,C
Guadalupe Etla,C,C,1,0,0,0,1,0,0,0,0,C
Guadalupe de Ramirez,C,C,0,0,0,1,0,0,0,0,0,C
Guelatao de Juarez,C,C,0,0,0,0,0,0,0,0,0,C
Guevea de Humboldt,C,C,0,0,0,0,0,0,0,0,0,C
Mesones Hidalgo,3,2,0,0,0,0,0,0,0,0,2,1
Villa Hidalgo,C,C,0,0,0,0,0,0,0,0,0,C
Heroica Ciudad de Huajuapan de Leon,8,5,2,0,0,2,3,0,0,0,1,3
Huautepec,C,C,0,0,0,0,0,0,0,0,0,C
Ixtlan de Juarez,10,3,3,0,0,0,0,0,0,1,1,7
Heroica Ciudad de Juchitan de Zaragoza,5,3,2,0,0,2,2,0,1,0,0,2
Loma Bonita,37,3,2,2,1,0,0,0,0,0,0,34
Magdalena Apasco,4,4,2,0,0,1,4,0,0,0,1,0
Magdalena Jaltepec,C,C,1,0,1,1,1,0,0,0,0,C
Santa Magdalena Jicotlan,C,C,1,0,0,0,0,0,0,0,0,C
Magdalena Mixtepec,C,C,0,0,0,0,0,0,0,0,0,C
Magdalena Ocotlan,C,C,0,0,0,0,0,0,0,0,1,C
Magdalena Peñasco,C,C,0,0,0,0,0,0,0,0,0,C
Magdalena Teitipac,C,C,0,0,0,0,0,0,0,0,0,C
Magdalena Tequisistlan,3,1,0,0,0,1,0,0,0,0,0,2
Magdalena Tlacotepec,C,C,0,0,0,0,0,0,0,0,0,C
Magdalena Zahuatlan,C,C,1,0,0,0,1,0,0,0,0,C
Mariscala de Juarez,3,1,1,0,1,0,0,0,0,0,0,2
Martires de Tacubaya,C,C,0,0,0,0,0,0,0,0,0,C
Matias Romero Avendaño,24,1,0,0,0,0,0,1,1,1,1,23
Miahuatlan de Porfirio Diaz,9,1,1,0,0,0,1,0,0,0,0,8
Mixistlan de la Reforma,C,C,0,0,0,0,0,0,0,0,0,C
Monjas,C,C,0,0,0,0,0,0,0,0,0,C
Nazareno Etla,C,C,0,0,0,0,1,0,0,0,0,C
Nejapa de Madero,9,1,1,0,0,0,0,0,0,0,0,8
Ixpantepec Nieves,3,1,1,0,0,0,0,0,0,0,0,2
Santiago Niltepec,4,1,1,0,0,0,1,0,0,0,0,3
Oaxaca de Juarez,9,0,0,0,0,0,0,0,0,0,0,9
Ocotlan de Morelos,10,2,1,0,0,0,1,0,0,0,0,8
"La ""Pe""",C,C,0,0,0,0,0,0,0,0,0,C
Pinotepa de Don Luis,C,C,0,0,0,0,0,0,0,0,0,C
San Jose del Progreso,C,C,0,0,0,1,0,0,0,0,0,C
Putla Villa de Guerrero,15,5,1,0,0,3,0,1,0,0,2,10
Santa Catarina Quioquitani,C,C,0,0,0,0,0,0,0,0,0,C
Reforma de Pineda,C,C,1,0,0,0,1,1,0,0,0,C
La Reforma,4,0,0,0,0,0,0,0,0,0,0,4
Reyes Etla,C,C,0,0,0,1,2,1,0,1,0,C
Rojas de Cuauhtemoc,C,C,0,0,0,0,1,0,0,0,0,C
Salina Cruz,3,2,2,0,0,0,1,0,0,0,1,1
San Agustin Amatengo,C,C,0,0,0,0,0,0,0,0,0,C
San Agustin Atenango,C,C,0,0,0,0,0,0,0,0,1,C
San Agustin Chayuco,5,3,3,0,0,1,0,0,0,0,0,2
San Agustin de las Juntas,C,C,1,0,0,0,2,0,0,0,0,C
San Agustin Etla,C,C,0,0,0,0,0,0,0,0,0,C
San Agustin Loxicha,C,C,0,0,0,0,0,0,0,0,0,C
San Agustin Tlacotepec,C,C,0,0,0,0,0,0,0,0,0,C
San Agustin Yatareni,C,C,0,0,0,0,0,0,0,0,0,C
San Andres Cabecera Nueva,C,C,1,0,0,0,0,0,0,1,1,C
San Andres Dinicuiti,3,2,0,0,0,0,2,1,0,0,1,1
San Andres Huaxpaltepec,C,C,1,0,0,0,0,0,0,1,0,C
San Andres Huayapam,C,C,0,0,0,1,0,0,0,0,0,C
San Andres Ixtlahuaca,C,C,1,0,0,1,0,0,0,0,0,C
San Andres Lagunas,C,C,0,0,0,0,0,0,0,0,0,C
San Andres Nuxiño,C,C,0,0,0,0,0,0,0,0,0,C
San Andres Sinaxtla,C,C,1,0,0,0,1,0,0,0,0,C
San Andres Solaga,3,0,0,0,0,0,0,0,0,0,0,3
San Andres Teotilalpam,C,C,1,0,0,0,0,0,0,0,0,C
San Andres Yaa,C,C,0,0,0,0,0,0,0,0,0,C
San Andres Zabache,C,C,0,0,0,0,0,0,0,0,0,C
San Andres Zautla,3,3,0,0,0,0,3,0,0,0,0,0
San Antonino Castillo Velasco,C,C,0,0,0,0,0,0,0,0,0,C
San Antonino el Alto,C,C,0,0,0,0,0,0,0,1,2,C
San Antonino Monte Verde,C,C,0,0,0,0,0,0,0,0,0,C
San Antonio Acutla,C,C,0,0,0,0,0,0,0,0,0,C
San Antonio de la Cal,C,C,0,0,0,1,0,0,0,0,0,C
San Antonio Huitepec,C,C,1,0,0,0,0,0,0,0,0,C
San Antonio Nanahuatipam,3,0,0,0,0,0,0,0,0,0,0,3
San Antonio Sinicahua,C,C,0,0,0,0,0,0,0,0,0,C
San Antonio Tepetlapa,3,1,0,0,0,0,0,0,0,0,1,2
San Baltazar Chichicapam,C,C,0,0,0,2,0,0,0,0,0,C
San Baltazar Loxicha,C,C,2,1,0,0,0,0,0,0,0,C
San Baltazar Yatzachi el Bajo,4,0,0,0,0,0,0,0,0,0,0,4
San Bartolo Coyotepec,4,2,1,0,0,1,2,0,0,0,0,2
San Bartolome Ayautla,C,C,1,0,1,0,0,0,0,0,0,C
San Bartolome Loxicha,C,C,1,0,0,0,0,0,0,0,0,C
San Bartolome Quialana,C,C,0,0,0,1,0,0,0,0,0,C
San Bartolome Yucuañe,C,C,0,0,0,1,0,1,0,0,0,C
San Bartolome Zoogocho,C,C,0,0,0,0,0,0,0,0,0,C
San Bartolo Soyaltepec,C,C,0,0,0,0,0,0,0,0,0,C
San Bartolo Yautepec,C,C,0,0,0,0,0,0,0,0,0,C
San Bernardo Mixtepec,3,1,0,0,0,1,0,0,0,0,0,2
San Blas Atempa,C,C,0,0,0,1,0,0,0,0,0,C
San Carlos Yautepec,18,2,1,0,0,0,0,0,0,1,0,16
San Cristobal Amatlan,4,2,2,0,0,1,0,0,0,0,0,2
San Cristobal Amoltepec,C,C,0,0,0,0,0,0,0,0,0,C
San Cristobal Suchixtlahuaca,C,C,1,0,0,1,0,0,0,0,0,C
San Dionisio del Mar,C,C,0,0,0,0,0,0,0,0,0,C
San Dionisio Ocotepec,5,1,1,0,0,0,0,0,0,0,0,4
San Dionisio Ocotlan,C,C,0,0,0,0,0,0,0,0,0,C
San Esteban Atatlahuca,C,C,1,0,0,0,0,0,0,1,0,C
San Felipe Jalapa de Diaz,12,0,0,0,0,0,0,0,0,0,0,12
San Felipe Tejalapam,C,C,0,0,0,0,0,0,0,0,0,C
San Felipe Usila,8,2,2,0,0,0,0,0,0,0,0,6
San Francisco Cahuacua,C,C,1,0,0,1,0,1,0,2,0,C
San Francisco Cajonos,C,C,0,0,0,0,0,0,0,0,0,C
San Francisco Chapulapa,C,C,0,0,0,0,0,0,0,0,0,C
San Francisco Chindua,C,C,0,0,0,0,1,0,0,0,0,C
San Francisco del Mar,C,C,1,0,0,0,0,0,0,0,1,C
San Francisco Huehuetlan,C,C,0,0,0,0,0,0,0,0,0,C
San Francisco Ixhuatan,3,2,2,0,0,0,2,0,0,0,0,1
San Francisco Jaltepetongo,C,C,0,0,0,0,0,0,0,0,1,C
San Francisco Lachigolo,C,C,0,0,0,0,0,0,0,0,0,C
San Francisco Nuxaño,C,C,0,0,0,0,0,0,0,0,0,C
San Francisco Ozolotepec,3,1,0,0,0,1,0,0,0,0,0,2
San Francisco Sola,C,C,1,0,0,1,0,0,0,0,0,C
San Francisco Telixtlahuaca,C,C,0,0,0,0,0,0,0,0,0,C
San Francisco Teopan,C,C,0,0,0,0,0,0,0,0,0,C
San Francisco Tlapancingo,C,C,0,0,0,0,0,0,0,0,0,C
San Gabriel Mixtepec,C,C,0,0,0,0,0,0,0,0,0,C
San Ildefonso Amatlan,C,C,1,0,0,0,0,0,0,0,0,C
San Ildefonso Sola,C,C,0,0,0,0,0,0,0,0,0,C
San Ildefonso Villa Alta,5,1,1,0,0,0,0,0,0,0,0,4
San Jacinto Amilpas,C,C,0,0,0,0,0,0,0,0,0,C
San Jacinto Tlacotepec,C,C,0,0,0,0,0,0,0,0,0,C
San Jeronimo Coatlan,C,C,2,0,0,0,0,0,0,1,0,C
San Jeronimo Silacayoapilla,C,C,1,0,0,0,0,0,0,0,0,C
San Jeronimo Sosola,6,2,1,0,0,0,0,0,0,0,1,4
San Jeronimo Taviche,C,C,0,0,0,0,0,0,0,0,0,C
San Jeronimo Tecoatl,C,C,0,0,0,0,0,0,0,0,0,C
San Jorge Nuchita,3,0,0,0,0,0,0,0,0,0,0,3
San Jose Ayuquila,C,C,0,0,0,0,0,0,0,0,0,C
San Jose Chiltepec,11,0,0,0,0,0,0,0,0,0,0,11
San Jose del Peñasco,C,C,0,0,0,0,0,0,0,0,0,C
San Jose Estancia Grande,C,C,0,0,0,0,0,1,1,0,0,C
San Jose Tenango,C,C,0,0,0,0,0,0,0,0,0,C
San Juan Achiutla,C,C,0,0,0,1,0,0,0,0,0,C
San Juan Atepec,C,C,1,0,0,0,0,0,0,0,0,C
Animas Trujano,C,C,0,0,0,0,1,0,0,0,0,C
San Juan Bautista Atatlahuca,3,1,0,0,0,0,0,0,0,0,1,2
San Juan Bautista Coixtlahuaca,3,0,0,0,0,0,0,0,0,0,0,3
San Juan Bautista Cuicatlan,16,3,1,0,0,2,0,0,0,0,0,13
San Juan Bautista Guelache,3,0,0,0,0,0,0,0,0,0,0,3
San Juan Bautista Jayacatlan,C,C,0,0,0,0,0,0,0,1,0,C
San Juan Bautista lo de Soto,C,C,0,0,0,0,1,0,0,0,0,C
San Juan Bautista Suchitepec,C,C,0,0,0,1,0,0,0,0,0,C
San Juan Bautista Tlacoatzintepec,C,C,0,0,0,0,0,0,0,0,0,C
San Juan Bautista Tlachichilco,C,C,0,0,0,0,0,0,0,0,0,C
San Juan Bautista Tuxtepec,68,8,6,0,0,1,0,1,0,0,0,60
San Juan Cacahuatepec,6,1,0,0,0,1,0,0,0,0,0,5
San Juan Cieneguilla,C,C,0,0,0,0,0,0,0,0,0,C
San Juan Coatzospam,C,C,1,0,0,0,0,0,0,0,0,C
San Juan Colorado,6,3,1,0,0,2,0,1,0,0,0,3
San Juan Comaltepec,3,0,0,0,0,0,0,0,0,0,0,3
San Juan Cotzocon,18,7,4,0,0,0,0,2,1,0,0,11
