INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades segun tipo de construcciones agropecuarias y forestales de su propiedad,,,,,,,,,,,,cuadro 23
por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_total,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bodegas,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_aves,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_naves_para_cerdos,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_pozo_para_riego,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_baño_garrapaticida,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_sala_de_ordeña,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_aserradero,ejidos_y_comunidades_con_construcciones_agropecuarias_y_forestales_de_su_propiedad_a_otras_cosntrucciones,ejidos_y_comunidades_sin_construcciones_agropecuarias_ni_forestales_de_su_propiedad
Chicomuselo,32,3,2,0,0,1,0,0,0,0,0,29
Chilon,25,2,1,0,0,0,0,0,0,0,1,23
Escuintla,35,2,2,0,0,0,0,0,0,0,0,33
Francisco Leon,6,0,0,0,0,0,0,0,0,0,0,6
Frontera Comalapa,38,14,6,0,0,1,0,3,0,0,6,24
Frontera Hidalgo,C,C,1,0,0,0,1,0,0,0,0,C
La Grandeza,3,1,1,0,0,0,0,0,0,0,0,2
Huehuetan,19,2,1,0,0,0,1,0,0,0,0,17
Huixtan,19,0,0,0,0,0,0,0,0,0,0,19
Huitiupan,50,0,0,0,0,0,0,0,0,0,0,50
Huixtla,20,3,1,0,0,0,0,1,0,0,2,17
La Independencia,32,6,4,0,1,1,4,2,0,0,0,26
Ixhuatan,6,2,1,0,0,0,0,0,0,0,1,4
Ixtacomitan,12,0,0,0,0,0,0,0,0,0,0,12
Ixtapa,32,3,1,0,0,2,2,1,1,0,0,29
Ixtapangajoya,4,2,0,1,1,0,0,0,0,0,1,2
Jiquipilas,64,20,8,0,0,14,1,3,0,0,0,44
Jitotol,22,0,0,0,0,0,0,0,0,0,0,22
Juarez,6,3,1,0,0,0,0,1,0,0,2,3
Larrainzar,3,0,0,0,0,0,0,0,0,0,0,3
La Libertad,4,0,0,0,0,0,0,0,0,0,0,4
Mapastepec,56,2,2,0,0,0,0,0,0,0,0,54
Las Margaritas,145,13,3,2,3,4,2,1,0,1,2,132
Mazapa de Madero,4,0,0,0,0,0,0,0,0,0,0,4
Mazatan,18,4,0,0,0,2,4,1,0,0,0,14
Metapa,C,C,1,0,0,0,1,0,0,0,0,C
Mitontic,C,C,0,0,0,0,0,0,0,0,0,C
Motozintla,43,2,1,0,0,0,1,0,0,0,0,41
Ocosingo,159,4,3,0,0,1,0,0,1,0,0,155
Ocotepec,C,C,0,0,0,0,0,0,0,0,0,C
Ocozocoautla de Espinosa,74,6,5,0,0,2,0,0,0,0,0,68
Ostuacan,29,8,0,0,0,0,0,0,0,0,8,21
Osumacinta,3,0,0,0,0,0,0,0,0,0,0,3
Oxchuc,3,0,0,0,0,0,0,0,0,0,0,3
Palenque,163,15,1,0,0,11,1,0,0,0,2,148
Pantelho,9,0,0,0,0,0,0,0,0,0,0,9
Pantepec,6,0,0,0,0,0,0,0,0,0,0,6
Pichucalco,9,3,1,0,0,0,0,0,0,0,2,6
Pijijiapan,70,7,4,0,0,0,1,3,0,0,0,63
El Porvenir,5,1,1,0,0,0,0,0,0,0,0,4
Villa Comaltitlan,19,3,1,0,0,1,0,1,0,0,1,16
Pueblo Nuevo Solistahuacan,21,0,0,0,0,0,0,0,0,0,0,21
Rayon,4,0,0,0,0,0,0,0,0,0,0,4
Reforma,7,0,0,0,0,0,0,0,0,0,0,7
Las Rosas,17,3,0,0,1,2,1,0,0,0,0,14
Sabanilla,19,0,0,0,0,0,0,0,0,0,0,19
Salto de Agua,86,1,1,0,0,0,0,0,0,0,0,85
San Cristobal de las Casas,16,0,0,0,0,0,0,0,0,0,0,16
San Fernando,18,3,0,0,0,3,0,0,0,0,0,15
Siltepec,18,5,5,0,0,0,0,0,0,0,0,13
Simojovel,53,1,0,0,0,0,0,0,0,0,1,52
Sitala,7,0,0,0,0,0,0,0,0,0,0,7
Socoltenango,33,0,0,0,0,0,0,0,0,0,0,33
Solosuchiapa,11,3,0,0,0,0,0,0,0,0,3,8
Soyalo,4,1,1,0,0,0,0,0,0,0,0,3
Suchiapa,9,2,2,0,0,1,0,0,0,0,0,7
Suchiate,17,9,1,0,0,4,2,0,1,0,8,8
Sunuapa,C,C,0,0,0,0,0,0,0,0,0,C
Tapachula,52,9,1,0,1,3,5,0,0,0,1,43
Tapalapa,C,C,0,0,0,0,0,1,0,0,0,C
Tapilula,4,0,0,0,0,0,0,0,0,0,0,4
Tecpatan,59,3,3,0,0,0,0,1,0,0,0,56
Tenejapa,7,0,0,0,0,0,0,0,0,0,0,7
Teopisca,16,1,1,0,0,1,0,0,0,0,0,15
Tila,29,1,1,0,0,0,0,0,0,0,0,28
Tonala,54,11,0,1,2,2,2,1,0,0,6,43
Totolapa,8,2,2,0,0,0,0,0,0,0,0,6
La Trinitaria,85,22,4,0,1,16,0,2,0,0,3,63
Tumbala,24,2,0,0,0,0,0,0,0,0,2,22
Tuxtla Gutierrez,6,1,1,0,0,1,0,0,0,0,0,5
Tuxtla Chico,7,1,1,0,0,0,0,0,0,0,0,6
Tuzantan,16,0,0,0,0,0,0,0,0,0,0,16
Tzimol,18,5,2,0,0,0,0,0,0,0,4,13
Union Juarez,12,2,2,0,0,0,0,0,0,0,0,10
Venustiano Carranza,41,7,4,0,0,1,0,2,0,0,1,34
Villa Corzo,71,12,11,0,0,2,0,0,0,0,2,59
Villaflores,67,28,20,0,2,7,7,2,1,0,3,39
Yajalon,8,0,0,0,0,0,0,0,0,0,0,8
San Lucas,C,C,1,0,0,0,0,0,0,0,0,C
Zinacantan,6,1,0,0,0,0,1,0,0,0,0,5
San Juan Cancuc,C,C,0,0,0,0,0,0,0,0,0,C
Aldama,C,C,0,0,0,0,0,0,0,0,0,C
Benemerito de las Americas,14,1,1,0,0,0,0,0,0,0,1,13
Maravilla Tenejapa,33,1,1,0,0,0,0,0,0,0,0,32
Marques de Comillas,23,2,2,0,0,0,0,0,0,0,0,21
Montecristo de Guerrero,5,1,1,0,0,0,0,0,0,0,0,4
San Andres Duraznal,5,0,0,0,0,0,0,0,0,0,0,5
Santiago el Pinar,C,C,0,0,0,0,0,0,0,0,0,C
Chihuahua,987,698,226,7,6,469,198,231,10,48,112,289
Ahumada,24,17,9,0,1,13,14,6,2,0,3,7
Aldama,24,20,5,1,0,16,12,1,0,0,5,4
Allende,21,21,5,1,0,19,9,2,0,0,5,0
Aquiles Serdan,C,C,0,0,0,2,0,0,0,0,1,C
Ascension,21,18,4,0,1,17,13,5,0,0,1,3
Bachiniva,11,10,8,0,0,4,4,6,0,0,0,1
Balleza,20,16,3,0,0,11,0,6,0,3,0,4
Batopilas,12,3,2,0,0,0,0,1,0,1,2,9
Bocoyna,26,14,7,0,0,2,0,10,0,1,0,12
Buenaventura,9,9,3,0,0,5,3,8,0,0,4,0
Camargo,24,22,7,0,0,21,17,2,1,0,0,2
Carichi,23,10,4,0,0,5,3,5,1,0,0,13
Casas Grandes,13,12,2,0,0,11,2,8,0,1,1,1
Coronado,6,5,1,0,0,4,3,4,0,0,0,1
Coyame del Sotol,12,12,5,0,0,12,5,1,0,0,6,0
La Cruz,5,3,0,0,0,3,0,0,0,0,2,2
Cuauhtemoc,26,25,6,1,1,19,3,9,1,0,6,1
Cusihuiriachi,21,15,6,0,0,10,1,9,0,0,2,6
Chihuahua,47,35,9,2,1,30,12,9,1,0,3,12
Chinipas,16,6,2,0,0,1,0,2,0,2,0,10
Delicias,4,2,2,0,0,0,0,0,1,0,0,2
Dr. Belisario Dominguez,9,9,3,0,0,9,0,4,0,0,9,0
Galeana,4,4,1,0,0,3,2,3,0,0,1,0
Santa Isabel,8,8,1,0,0,8,0,1,0,0,2,0
Gomez Farias,7,6,6,0,0,1,3,3,0,0,0,1
Gran Morelos,10,10,5,0,0,10,0,6,0,0,4,0
Guachochi,26,14,6,0,0,0,0,1,0,12,1,12
Guadalupe,7,4,0,0,0,3,4,0,0,0,0,3
Guadalupe y Calvo,45,7,1,0,0,1,0,4,0,5,0,38
Guazapares,11,4,0,0,0,0,0,1,0,2,1,7
Guerrero,50,32,20,1,1,14,7,5,0,0,10,18
Hidalgo del Parral,12,12,1,0,0,12,0,2,0,0,0,0
Huejotitan,8,8,1,0,0,6,1,4,0,0,0,0
Ignacio Zaragoza,4,4,2,0,0,1,0,4,0,0,0,0
Janos,14,11,3,0,0,7,6,5,0,1,2,3
Jimenez,53,45,11,0,0,37,28,1,2,0,3,8
Juarez,10,6,2,0,0,1,5,0,0,0,0,4
Julimes,6,5,2,0,0,3,1,0,0,0,0,1
Lopez,12,12,4,0,0,7,11,0,0,0,1,0
Madera,20,14,7,0,0,4,1,10,0,4,9,6
Maguarichi,5,1,0,0,0,0,1,0,0,0,0,4
Manuel Benavides,14,14,2,0,0,14,1,0,0,0,1,0
Matachi,5,5,2,0,0,4,0,4,0,1,3,0
Matamoros,8,6,2,0,0,2,0,5,0,0,0,2
Meoqui,4,1,0,0,0,1,0,0,0,0,1,3
Morelos,17,0,0,0,0,0,0,0,0,0,0,17
Moris,10,4,4,0,0,1,0,0,0,1,0,6
Namiquipa,12,12,6,0,0,4,3,7,1,0,1,0
Nonoava,C,C,0,0,0,3,0,2,0,0,1,C
Nuevo Casas Grandes,C,C,0,0,0,1,1,1,0,0,0,C
Ocampo,17,11,2,0,0,0,0,7,0,6,1,6
Ojinaga,33,10,1,0,0,10,0,0,0,0,0,23
Praxedis G. Guerrero,5,5,2,0,0,1,5,1,0,0,0,0
Riva Palacio,9,9,2,0,0,6,1,9,0,0,2,0
Rosales,11,9,3,0,0,6,3,2,0,0,0,2
Rosario,7,7,0,0,0,7,0,2,0,0,0,0
San Francisco de Borja,9,9,2,0,0,9,3,6,0,0,7,0
San Francisco de Conchos,7,6,0,0,0,5,2,0,0,0,2,1
San Francisco del Oro,4,4,0,0,0,4,1,3,0,0,0,0
Santa Barbara,9,8,1,0,0,6,0,6,0,0,0,1
Satevo,20,20,1,0,0,20,0,7,0,0,4,0
Saucillo,13,12,4,1,1,11,4,3,0,0,0,1
Temosachi,13,12,6,0,0,6,1,8,0,4,0,1
El Tule,4,3,1,0,0,3,0,1,0,0,0,1
Urique,29,14,12,0,0,1,0,1,0,2,0,15
Uruachi,19,5,4,0,0,0,0,0,0,2,0,14
Valle de Zaragoza,15,14,3,0,0,12,2,8,0,0,5,1
Distrito Federal,37,21,11,0,1,2,2,2,0,0,11,16
Cuajimalpa de Morelos,C,C,2,0,1,0,0,0,0,0,0,C
La Magdalena Contreras,3,3,1,0,0,0,0,0,0,0,2,0
Milpa Alta,8,6,3,0,0,1,0,1,0,0,5,2
alvaro Obregon,C,C,0,0,0,0,0,0,0,0,0,C
Tlahuac,7,3,1,0,0,1,1,1,0,0,1,4
Tlalpan,10,5,4,0,0,0,1,0,0,0,2,5
Xochimilco,4,1,0,0,0,0,0,0,0,0,1,3
Durango,1124,841,274,13,19,670,220,410,8,54,175,283
Canatlan,40,38,19,0,1,34,15,27,1,1,2,2
Canelas,C,C,0,0,0,0,0,0,0,0,0,C
Coneto de Comonfort,8,8,2,0,0,8,0,8,0,0,6,0
Cuencame,28,22,14,0,0,17,10,2,0,0,11,6
Durango,122,107,31,0,4,92,16,77,2,2,31,15
General Simon Bolivar,21,20,12,0,0,17,15,10,0,0,1,1
Gomez Palacio,98,32,15,2,1,10,11,5,1,0,1,66
Guadalupe Victoria,10,10,7,0,1,9,4,5,0,0,8,0
Guanacevi,40,26,2,0,0,13,0,8,0,10,8,14
Hidalgo,18,16,2,0,1,16,0,10,0,0,0,2
Inde,12,12,3,0,1,12,1,6,0,0,0,0
Lerdo,31,24,8,3,0,14,12,3,1,0,5,7
Mapimi,78,60,18,0,5,46,29,6,0,1,6,18
Mezquital,22,16,1,0,0,16,0,7,0,1,2,6
Nazas,24,23,10,1,0,19,11,6,0,0,17,1
Nombre de Dios,19,18,4,0,0,13,13,9,0,0,3,1
Ocampo,24,21,11,0,0,20,2,16,1,1,9,3
El Oro,25,22,1,0,0,20,1,17,0,0,0,3
Otaez,14,9,2,0,0,6,0,8,0,1,1,5
Panuco de Coronado,17,17,7,0,0,17,5,10,0,0,6,0
Peñon Blanco,5,4,2,0,0,4,0,1,0,0,0,1
Poanas,20,19,12,0,0,17,13,13,0,0,1,1
Pueblo Nuevo,24,22,11,0,0,17,0,15,0,12,17,2
Rodeo,29,28,4,1,0,28,3,16,0,0,2,1
San Bernardo,24,19,2,0,0,17,3,14,0,0,2,5
San Dimas,49,34,9,1,0,16,1,30,0,13,10,15
San Juan de Guadalupe,21,19,4,1,0,18,4,5,0,0,0,2
San Juan del Rio,22,20,4,0,0,20,4,10,0,0,1,2
San Luis del Cordero,C,C,1,0,1,2,1,2,0,0,0,C
San Pedro del Gallo,11,11,3,0,1,11,0,8,0,0,0,0
Santa Clara,6,6,2,0,0,5,0,4,0,0,1,0
Santiago Papasquiaro,62,39,12,0,0,34,5,14,0,4,6,23
Suchil,10,9,1,0,0,7,2,4,0,0,1,1
Tamazula,49,11,1,1,1,2,2,5,2,5,1,38
Tepehuanes,26,20,3,0,0,19,0,5,0,2,3,6
Tlahualilo,57,38,12,3,2,25,17,1,0,0,3,19
Topia,15,4,3,0,0,1,1,2,0,1,1,11
Vicente Guerrero,9,9,2,0,0,8,7,7,0,0,2,0
Nuevo Ideal,29,26,17,0,0,20,12,14,0,0,7,3
Guanajuato,1543,1112,169,2,9,566,681,48,4,0,91,431
Abasolo,47,30,4,0,0,11,26,0,0,0,0,17
Acambaro,69,60,11,0,0,30,49,5,0,0,5,9
San Miguel de Allende,61,48,6,0,0,41,19,3,0,0,1,13
Apaseo el Alto,28,21,4,0,0,9,17,0,0,0,1,7
Apaseo el Grande,39,33,3,0,0,14,22,1,0,0,7,6
Atarjea,12,9,0,0,0,8,0,5,0,0,0,3
Celaya,40,29,2,0,0,5,26,0,0,0,2,11
Manuel Doblado,33,24,1,0,0,10,19,2,0,0,1,9
Comonfort,32,13,1,0,0,8,4,0,0,0,0,19
Coroneo,C,C,0,0,0,3,1,0,0,0,0,C
Cortazar,23,20,3,0,0,6,18,1,0,0,3,3
Cueramaro,15,9,1,0,0,3,8,0,0,0,1,6
Doctor Mora,5,3,2,0,0,3,2,0,1,0,0,2
Dolores Hidalgo Cuna de la Independencia Nal.,60,47,10,0,0,36,27,0,0,0,2,13
Guanajuato,29,15,2,0,0,11,4,1,0,0,0,14
Huanimaro,20,18,0,0,0,4,18,0,0,0,1,2
Irapuato,80,50,6,0,0,12,39,3,0,0,2,30
Jaral del Progreso,15,11,2,0,0,0,10,2,0,0,1,4
Jerecuaro,42,34,8,0,0,29,9,3,0,0,9,8
Leon,50,40,8,0,4,28,12,0,1,0,1,10
Moroleon,8,2,0,0,0,2,1,0,0,0,0,6
Ocampo,16,14,0,0,0,14,0,1,0,0,4,2
Penjamo,151,103,9,1,0,15,96,1,0,0,1,48
Pueblo Nuevo,6,3,0,0,0,0,3,0,0,0,0,3
Purisima del Rincon,11,8,1,0,0,5,3,0,0,0,0,3
Romita,47,20,8,1,1,9,5,0,0,0,0,27
Salamanca,54,39,2,0,0,7,34,0,0,0,1,15
Salvatierra,58,43,5,0,0,24,24,1,0,0,9,15
San Diego de la Union,34,29,2,0,0,29,6,1,0,0,4,5
San Felipe,81,70,9,0,0,68,14,2,0,0,18,11
San Francisco del Rincon,26,15,1,0,0,10,8,1,0,0,1,11
San Jose Iturbide,3,3,0,0,0,2,2,0,0,0,0,0
San Luis de la Paz,24,23,9,0,4,20,8,6,0,0,0,1
Santa Catarina,C,C,0,0,0,1,0,0,0,0,0,C
Santa Cruz de Juventino Rosas,26,20,1,0,0,13,10,0,2,0,1,6
Santiago Maravatio,9,9,0,0,0,8,3,0,0,0,0,0
Silao,64,38,19,0,0,12,23,0,0,0,0,26
Tarandacuao,3,3,0,0,0,3,3,0,0,0,0,0
Tarimoro,14,13,5,0,0,6,10,0,0,0,2,1
Tierra Blanca,3,1,0,0,0,1,0,0,0,0,0,2
Uriangato,9,4,1,0,0,1,2,0,0,0,1,5
Valle de Santiago,98,63,13,0,0,8,54,0,0,0,2,35
Victoria,15,11,1,0,0,11,3,4,0,0,3,4
Villagran,11,9,5,0,0,0,7,0,0,0,2,2
Xichu,14,7,1,0,0,5,1,1,0,0,0,7
Yuriria,53,44,3,0,0,21,31,4,0,0,5,9
