INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades que realizan actividades no agropecuarias ni forestales en forma colectiva,,,,,,,,cuadro 20
segun tipo de actividad por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,actividades_no_agropecuarias_ni_forestales_ industriales,actividades_no_agropecuarias_ni_forestales_artesanales,actividades_no_agropecuarias_ni_forestales_extraccion_de_materiales _para _la_construccion,actividades_no_agropecuarias_ni_forestales_extraccion_de _otros _minerales,actividades_no_agropecuarias_ni_forestales_pesqueras,actividades_no_agropecuarias_ni_forestales_acuicultura,actividades_no_agropecuarias_ni_forestales_turisticas,actividades_no_agropecuarias_ni_forestales_otras
Cardonal,0,0,4,0,0,0,2,0
Cuautepec de Hinojosa,0,0,1,0,0,0,0,0
Chapantongo,0,0,0,0,1,0,0,0
Chapulhuacan,0,0,1,0,0,0,0,0
Emiliano Zapata,0,0,0,0,0,1,0,0
Epazoyucan,0,0,3,0,0,2,2,0
Huasca de Ocampo,1,0,3,1,3,3,5,0
Huautla,0,4,4,0,0,0,0,0
Huazalingo,0,0,1,0,1,0,0,0
Huehuetla,0,1,0,0,0,0,0,0
Huejutla de Reyes,0,0,4,0,0,0,2,0
Huichapan,2,0,6,0,6,3,1,0
Ixmiquilpan,0,0,0,0,0,0,3,0
Jacala de Ledezma,0,0,1,0,0,0,0,0
Jaltocan,0,1,0,0,0,0,0,0
Lolotla,0,0,2,0,0,0,0,0
Metepec,1,0,0,0,0,1,0,0
Mineral del Chico,0,0,1,0,1,0,1,0
Molango de Escamilla,0,1,0,0,0,0,1,0
Nicolas Flores,0,0,0,0,0,0,1,0
San Felipe Orizatlan,1,0,0,0,1,0,1,0
Pachuca de Soto,0,0,3,0,0,0,0,0
Pisaflores,0,0,1,0,0,0,0,0
San Agustin Tlaxiaca,0,0,3,0,1,0,0,0
Santiago de Anaya,0,0,0,0,0,2,1,0
Santiago Tulantepec de Lugo Guerrero,0,0,1,0,0,0,0,0
Singuilucan,0,1,2,0,0,1,1,1
Tasquillo,0,2,0,0,0,0,0,0
Tecozautla,1,1,7,0,4,0,2,0
Tepeapulco,0,1,0,0,1,1,1,0
Tepehuacan de Guerrero,0,0,2,0,1,0,0,0
Tepeji del Rio de Ocampo,0,0,8,0,2,0,0,0
Tepetitlan,0,0,2,0,1,2,0,0
Tetepango,0,0,1,0,0,1,0,0
Villa de Tezontepec,0,0,1,0,0,0,0,0
Tianguistengo,1,0,0,0,0,0,0,0
Tizayuca,0,0,1,0,0,0,0,0
Tlahuiltepa,0,0,1,0,0,0,0,0
Tlanchinol,0,0,1,0,0,0,0,1
Tula de Allende,0,1,2,0,1,1,0,0
Tulancingo de Bravo,0,0,0,0,0,0,1,0
Xochiatipan,0,0,3,0,0,0,0,0
Yahualica,0,0,2,0,0,1,0,0
Zacualtipan de angeles,0,0,2,0,0,1,0,0
Zapotlan de Juarez,0,0,1,0,0,0,0,0
Zempoala,0,1,4,0,0,0,1,0
Zimapan,0,1,6,1,4,1,1,0
Jalisco,22,20,67,11,52,15,16,7
Acatic,0,0,0,0,1,0,0,0
Ahualulco de Mercado,1,0,1,0,0,0,0,0
Ameca,0,0,2,1,1,0,0,0
Atemajac de Brizuela,2,0,1,0,0,0,0,0
Atengo,0,0,0,1,0,0,0,0
Autlan de Navarro,1,0,2,0,0,0,0,0
Ayotlan,0,0,1,0,1,0,1,1
Ayutla,2,0,0,0,1,0,2,0
Bolaños,0,1,0,0,0,0,0,0
Cabo Corrientes,0,0,0,0,1,0,1,0
Casimiro Castillo,0,1,0,0,0,0,0,0
Cihuatlan,0,0,1,1,1,0,0,0
Cuautitlan de Garcia Barragan,0,1,0,0,0,0,0,0
Cuautla,0,0,0,0,0,0,1,0
Cuquio,0,1,0,0,0,0,0,0
Chapala,0,0,1,0,1,0,0,0
Chimaltitan,1,0,0,0,0,0,0,0
Chiquilistlan,0,0,0,0,1,0,0,0
Degollado,0,2,2,0,1,0,0,0
Encarnacion de Diaz,0,0,1,0,0,2,0,2
Etzatlan,0,0,1,0,1,0,0,0
Hostotipaquillo,0,0,4,0,3,1,0,0
Huejucar,0,0,1,0,1,0,0,0
La Huerta,0,1,0,1,3,0,1,0
Ixtlahuacan del Rio,0,1,0,0,0,0,0,0
Jesus Maria,0,1,0,0,1,0,0,0
Jocotepec,0,0,2,0,0,0,0,0
Juanacatlan,2,0,1,0,0,0,0,0
Lagos de Moreno,1,1,1,0,1,2,0,0
El Limon,0,0,1,1,0,0,1,0
Magdalena,0,0,2,0,0,0,0,0
Mascota,0,0,0,0,1,0,0,0
Mazamitla,0,1,1,0,0,0,1,0
Mezquitic,0,3,1,0,0,0,1,1
Mixtlan,1,0,0,0,0,0,0,0
Ocotlan,1,0,1,0,0,0,0,0
Ojuelos de Jalisco,0,1,2,0,3,0,1,0
Pihuamo,0,0,0,1,0,0,0,0
Poncitlan,0,0,1,0,2,0,0,0
Puerto Vallarta,0,0,4,0,1,0,1,0
Villa Purificacion,0,0,0,1,0,0,0,0
Quitupan,0,0,0,0,1,0,0,0
San Cristobal de la Barranca,0,0,1,0,0,0,0,0
San Juan de los Lagos,1,0,0,0,0,0,0,0
Gomez Farias,0,0,0,0,1,0,0,0
San Sebastian del Oeste,0,0,1,1,2,0,0,0
Santa Maria de los angeles,0,0,0,0,1,0,0,0
Tala,0,2,2,0,1,1,1,0
Talpa de Allende,2,0,0,0,0,0,0,1
Tamazula de Gordiano,0,0,1,0,0,1,0,0
Tapalpa,0,0,1,0,1,0,1,0
Tecalitlan,0,0,0,0,0,1,0,0
Teocaltiche,0,0,1,0,0,0,0,0
Teocuitatlan de Corona,0,0,3,0,0,0,0,0
Tequila,0,0,0,0,0,0,0,1
Teuchitlan,0,1,2,0,1,0,0,0
Tizapan el Alto,0,0,2,0,2,0,0,0
Tlajomulco de Zuñiga,0,1,4,0,2,1,0,0
Tlaquepaque,1,0,0,0,0,0,0,0
Toliman,1,0,2,1,0,0,1,1
Tomatlan,3,0,0,1,5,3,1,0
Tonala,0,0,0,0,1,1,0,0
Tonila,0,0,0,0,0,1,0,0
Tototlan,0,0,0,0,3,0,0,0
Tuxcueca,0,0,0,0,3,0,0,0
Union de San Antonio,2,0,3,0,1,1,0,0
Union de Tula,0,0,2,0,0,0,0,0
San Gabriel,0,0,1,0,0,0,0,0
Villa Corona,0,0,0,0,1,0,0,0
Zacoalco de Torres,0,0,1,0,0,0,0,0
Zapopan,0,1,3,0,0,0,1,0
Zapotiltic,0,0,1,1,0,0,0,0
Zapotlan del Rey,0,0,1,0,0,0,0,0
Mexico,17,40,90,4,25,33,38,8
Acambay,0,3,1,0,1,1,0,0
Acolman,1,0,3,0,0,0,2,0
Aculco,1,1,3,0,0,1,0,0
Almoloya de Alquisiras,0,0,1,0,0,0,0,0
Almoloya de Juarez,2,1,1,1,1,0,0,0
Almoloya del Rio,0,0,0,0,1,0,0,0
Amanalco,1,1,1,0,0,5,2,0
Amatepec,0,0,1,0,0,0,0,0
Amecameca,0,0,0,0,0,0,1,0
Apaxco,0,0,2,0,0,0,0,0
Atlacomulco,1,3,4,1,1,2,0,0
Axapusco,0,1,3,0,0,0,0,0
Capulhuac,0,0,1,0,0,0,0,0
Coatepec Harinas,0,0,0,0,0,0,1,0
Chalco,0,0,0,0,0,2,1,0
Chiautla,0,0,0,0,0,0,0,1
Chicoloapan,0,0,1,0,0,0,1,0
Chiconcuac,0,0,0,0,0,0,0,1
Chimalhuacan,0,1,1,0,0,1,0,0
Donato Guerra,0,4,3,0,2,1,3,0
Ecatepec de Morelos,0,0,1,0,0,0,0,0
Ecatzingo,0,0,1,0,0,0,0,0
Hueypoxtla,0,0,1,0,0,0,0,0
Huixquilucan,0,0,2,0,0,0,0,1
Isidro Fabela,0,0,0,0,0,1,1,0
Ixtapaluca,0,0,3,0,0,0,0,1
Ixtapan del Oro,2,1,0,0,1,0,0,0
Ixtlahuaca,2,2,0,0,1,0,0,0
Jilotepec,0,0,4,0,2,0,0,0
Jilotzingo,0,0,4,0,0,0,0,0
Jiquipilco,0,0,1,0,3,1,0,0
Jocotitlan,0,0,1,0,1,1,1,0
Lerma,0,0,1,0,1,0,2,1
Malinalco,1,0,0,0,0,0,0,0
Morelos,0,3,1,0,1,0,0,0
Naucalpan de Juarez,0,0,1,0,0,2,2,0
Nicolas Romero,0,0,1,0,0,1,1,1
Ocoyoacac,0,1,0,0,1,2,2,0
Ocuilan,0,0,0,0,0,0,1,1
El Oro,0,1,0,0,0,0,0,0
Otzolotepec,0,1,3,0,0,0,1,0
Polotitlan,1,0,3,0,0,0,0,0
San Antonio la Isla,0,1,0,0,0,0,0,0
San Felipe del Progreso,0,2,1,0,0,0,0,0
San Martin de las Piramides,0,1,1,1,0,0,0,0
San Simon de Guerrero,0,1,0,0,0,0,0,0
Santo Tomas,0,0,0,0,0,0,1,0
Soyaniquilpan de Juarez,1,1,1,0,0,0,0,0
Tecamac,0,0,2,0,1,1,1,0
Tejupilco,0,0,2,0,0,0,0,0
Temascalapa,0,0,1,0,0,0,0,0
Temascalcingo,0,2,0,0,0,1,0,0
Temascaltepec,0,0,8,0,0,0,1,0
Tenancingo,0,1,3,0,0,0,1,0
Tenango del Valle,0,0,1,0,0,0,0,0
Teotihuacan,0,1,0,0,0,0,1,0
Tepetlaoxtoc,0,0,1,0,0,0,0,0
Tepetlixpa,0,0,1,0,0,0,0,0
Texcaltitlan,0,0,2,0,0,0,1,0
Texcoco,2,2,5,0,0,1,4,0
Tianguistenco,1,0,0,0,0,0,0,0
Timilpan,0,0,0,1,1,3,0,0
Tlalmanalco,0,0,1,0,0,0,2,0
Tlalnepantla de Baz,0,0,2,0,0,0,0,0
Tlatlaya,0,0,0,0,0,1,0,0
Toluca,0,0,2,0,1,0,1,0
Tultitlan,0,0,0,0,0,0,1,0
Valle de Bravo,0,1,0,0,0,0,0,0
Villa de Allende,1,1,1,0,0,1,0,0
Villa del Carbon,0,0,0,0,1,0,0,0
Villa Victoria,0,0,0,0,3,0,0,1
Xonacatlan,0,0,1,0,0,0,1,0
Zinacantepec,0,0,0,0,0,2,0,0
San Jose del Rincon,0,2,0,0,1,2,1,0
Michoacan de Ocampo,24,38,103,6,52,29,35,12
alvaro Obregon,0,0,3,0,3,0,0,0
Angamacutiro,0,0,1,0,0,0,0,0
Angangueo,0,1,0,0,0,0,1,0
Apatzingan,0,0,5,0,0,0,0,0
Aquila,0,4,1,3,6,0,4,1
Ario,0,0,4,0,1,1,0,7
Arteaga,0,0,0,0,3,0,0,0
Buenavista,0,1,1,0,1,0,0,0
Coahuayana,0,1,0,0,2,0,2,0
Coalcoman de Vazquez Pallares,1,0,0,0,0,0,0,0
Coeneo,0,0,3,0,0,0,0,1
Contepec,0,0,3,0,1,1,1,0
Cotija,0,0,1,0,1,0,0,0
Cuitzeo,0,0,1,0,0,0,0,0
Charapan,0,0,1,0,0,0,0,0
Chavinda,0,0,2,0,0,0,0,0
