INEGI. IX Censo Ejidal 2007,,,,,,,,
Total de ejidos y comunidades segun tipo de problematica interna,,,,,,,,cuadro 39
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,problematica_interna_de_linderos_al_interior_del_ejido,problematica_interna_de_linderos_con_sus_colindantes,problematica_interna_ invasion_de_terrenos,problematica_interna_ acceso_al_credito,problematica_interna_ erosion_o_salinidad_del_suelo,problematica_interna_ acceso_al_agua_para_riego,problematica_interna_otros_problemas
Tuzantan,16,1,3,1,13,11,11,0
Tzimol,18,0,0,0,12,4,7,3
Union Juarez,12,1,1,1,12,1,0,0
Venustiano Carranza,41,5,3,2,12,3,4,0
Villa Corzo,71,3,5,3,45,15,9,6
Villaflores,67,11,14,9,50,13,15,10
Yajalon,8,0,0,0,0,0,0,0
San Lucas,C,0,0,1,1,0,2,0
Zinacantan,6,1,0,0,2,0,0,1
San Juan Cancuc,C,1,0,0,1,1,1,0
Aldama,C,1,1,0,0,0,0,0
Benemerito de las Americas,14,0,1,0,8,4,5,0
Maravilla Tenejapa,33,0,0,1,0,2,0,0
Marques de Comillas,23,0,0,0,9,0,2,0
Montecristo de Guerrero,5,3,4,3,3,3,2,0
San Andres Duraznal,5,0,1,0,0,1,1,0
Santiago el Pinar,C,0,0,0,1,0,0,0
Chihuahua,987,191,255,246,373,188,243,31
Ahumada,24,3,3,3,20,7,8,1
Aldama,24,3,2,3,6,6,6,0
Allende,21,5,5,4,6,4,11,4
Aquiles Serdan,C,0,0,1,1,1,2,0
Ascension,21,2,3,2,19,10,11,0
Bachiniva,11,1,2,3,3,0,1,0
Balleza,20,6,9,9,2,2,2,0
Batopilas,12,5,6,6,11,4,0,0
Bocoyna,26,2,5,7,2,1,0,0
Buenaventura,9,2,2,3,5,2,5,1
Camargo,24,1,1,2,6,3,5,2
Carichi,23,0,1,6,0,1,0,0
Casas Grandes,13,3,10,7,12,5,12,1
Coronado,6,2,0,1,2,3,1,0
Coyame del Sotol,12,1,3,4,1,3,1,0
La Cruz,5,2,2,1,2,1,1,0
Cuauhtemoc,26,5,5,3,3,5,7,0
Cusihuiriachi,21,7,7,2,10,3,5,0
Chihuahua,47,4,8,7,9,6,4,0
Chinipas,16,1,3,1,3,2,0,0
Delicias,4,2,0,1,3,1,0,0
Dr. Belisario Dominguez,9,3,5,5,1,3,0,1
Galeana,4,1,1,0,2,1,2,0
Santa Isabel,8,3,5,4,1,0,1,1
Gomez Farias,7,1,1,2,3,1,0,0
Gran Morelos,10,3,4,2,0,1,1,0
Guachochi,26,11,10,10,7,7,3,0
Guadalupe,7,2,3,3,4,4,5,0
Guadalupe y Calvo,45,9,16,13,25,8,13,2
Guazapares,11,3,7,4,6,1,0,0
Guerrero,50,12,25,18,24,14,27,7
Hidalgo del Parral,12,4,3,1,5,1,0,1
Huejotitan,8,2,3,2,1,1,2,0
Ignacio Zaragoza,4,1,2,1,4,1,1,0
Janos,14,2,3,6,3,4,7,0
Jimenez,53,8,9,16,39,20,20,3
Juarez,10,2,4,4,4,4,5,1
Julimes,6,0,0,0,3,1,2,0
Lopez,12,1,2,1,5,0,1,0
Madera,20,5,7,8,6,5,2,3
Maguarichi,5,0,0,0,2,0,0,0
Manuel Benavides,14,3,4,4,3,3,1,0
Matachi,5,0,1,1,2,1,2,0
Matamoros,8,3,3,2,1,2,0,0
Meoqui,4,1,1,1,2,1,0,0
Morelos,17,8,8,4,7,1,2,0
Moris,10,3,1,0,6,1,2,0
Namiquipa,12,1,3,3,8,0,3,0
Nonoava,C,2,1,3,0,2,1,0
Nuevo Casas Grandes,C,0,0,0,1,1,1,0
Ocampo,17,6,7,7,4,0,2,0
Ojinaga,33,2,7,10,8,5,9,1
Praxedis G. Guerrero,5,0,0,0,4,5,4,0
Riva Palacio,9,1,2,2,4,2,5,0
Rosales,11,2,1,3,7,1,4,0
Rosario,7,4,3,3,1,1,0,0
San Francisco de Borja,9,3,4,5,2,4,2,0
San Francisco de Conchos,7,1,2,2,1,2,2,0
San Francisco del Oro,4,0,0,0,0,0,1,0
Santa Barbara,9,2,1,3,1,3,1,0
Satevo,20,1,3,1,1,2,5,0
Saucillo,13,0,0,0,3,1,5,1
Temosachi,13,3,5,6,5,1,11,1
El Tule,4,2,2,2,2,1,0,0
Urique,29,2,2,3,18,0,3,0
Uruachi,19,6,3,2,8,0,0,0
Valle de Zaragoza,15,5,4,3,3,1,3,0
Distrito Federal,37,17,27,20,18,26,17,5
Cuajimalpa de Morelos,C,0,3,2,2,2,1,0
La Magdalena Contreras,3,2,2,3,1,2,2,0
Milpa Alta,8,4,7,4,4,6,3,0
alvaro Obregon,C,0,2,2,0,1,0,0
Tlahuac,7,4,5,3,1,6,4,1
Tlalpan,10,4,5,4,7,7,6,0
Xochimilco,4,3,3,2,3,2,1,4
Durango,1124,184,345,268,480,165,301,92
Canatlan,40,6,12,11,19,10,9,2
Canelas,C,1,1,1,1,0,1,1
Coneto de Comonfort,8,1,2,2,0,2,1,0
Cuencame,28,10,12,11,24,6,13,4
Durango,122,26,45,22,50,16,28,31
General Simon Bolivar,21,4,5,7,14,4,6,1
Gomez Palacio,98,9,12,9,41,11,21,1
Guadalupe Victoria,10,3,5,2,8,4,3,0
Guanacevi,40,6,18,17,18,4,15,3
Hidalgo,18,3,5,3,7,7,13,0
Inde,12,1,6,4,4,1,2,0
Lerdo,31,6,7,6,23,12,16,1
Mapimi,78,10,12,17,45,4,28,4
Mezquital,22,7,16,12,4,5,4,1
Nazas,24,5,13,8,17,3,10,1
Nombre de Dios,19,8,8,5,9,2,4,2
Ocampo,24,7,6,8,16,4,11,2
El Oro,25,6,14,10,3,3,4,1
Otaez,14,5,7,5,2,4,4,1
Panuco de Coronado,17,5,4,3,7,1,7,1
Peñon Blanco,5,2,1,1,2,1,1,1
Poanas,20,1,2,3,9,5,4,1
Pueblo Nuevo,24,3,7,4,4,4,2,3
Rodeo,29,3,13,14,10,5,5,0
San Bernardo,24,0,0,0,16,0,11,0
San Dimas,49,5,26,17,7,2,3,7
San Juan de Guadalupe,21,2,6,4,6,7,4,0
San Juan del Rio,22,4,5,5,3,1,2,0
San Luis del Cordero,C,1,1,1,0,0,2,0
San Pedro del Gallo,11,0,4,1,5,4,9,0
Santa Clara,6,1,2,1,1,1,2,0
Santiago Papasquiaro,62,5,22,19,7,3,17,6
Suchil,10,2,2,1,0,0,0,0
Tamazula,49,2,11,4,26,1,6,1
Tepehuanes,26,6,12,10,4,11,8,12
Tlahualilo,57,8,8,10,48,7,13,2
Topia,15,1,5,4,3,1,3,1
Vicente Guerrero,9,0,1,0,2,0,0,1
Nuevo Ideal,29,9,7,6,15,9,9,0
Guanajuato,1543,222,245,201,518,222,421,28
Abasolo,47,5,3,3,12,4,23,1
Acambaro,69,8,10,12,20,8,14,2
San Miguel de Allende,61,11,9,16,20,4,15,4
Apaseo el Alto,28,2,3,3,7,2,4,0
Apaseo el Grande,39,4,8,9,10,10,17,2
Atarjea,12,3,9,7,3,6,0,0
Celaya,40,3,4,4,15,6,10,1
Manuel Doblado,33,6,3,4,17,4,8,0
Comonfort,32,7,7,7,11,8,5,0
Coroneo,C,2,1,1,2,1,2,0
Cortazar,23,0,3,0,13,2,7,0
Cueramaro,15,2,5,3,5,3,2,0
Doctor Mora,5,0,1,1,1,0,3,0
Dolores Hidalgo Cuna de la Independencia Nal.,60,10,11,11,17,12,13,1
Guanajuato,29,8,11,8,9,7,8,2
Huanimaro,20,2,4,2,5,0,5,0
Irapuato,80,7,10,7,23,5,17,0
Jaral del Progreso,15,1,2,1,5,0,2,0
Jerecuaro,42,12,8,3,11,10,8,1
Leon,50,6,7,7,10,3,12,0
Moroleon,8,0,0,1,5,0,2,0
Ocampo,16,6,6,5,6,7,9,1
Penjamo,151,16,23,10,63,9,40,0
Pueblo Nuevo,6,0,0,0,1,0,0,0
Purisima del Rincon,11,0,0,0,4,0,3,1
Romita,47,11,7,6,14,3,20,1
