INEGI. IX Censo Ejidal 2007,,,,,,,,
Total de ejidos y comunidades segun tipo de problematica interna,,,,,,,,cuadro 39
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,problematica_interna_de_linderos_al_interior_del_ejido,problematica_interna_de_linderos_con_sus_colindantes,problematica_interna_ invasion_de_terrenos,problematica_interna_ acceso_al_credito,problematica_interna_ erosion_o_salinidad_del_suelo,problematica_interna_ acceso_al_agua_para_riego,problematica_interna_otros_problemas
San Antonino Castillo Velasco,C,0,1,0,0,0,0,0
San Antonino el Alto,C,0,0,0,1,1,0,0
San Antonino Monte Verde,C,0,1,0,0,1,0,0
San Antonio Acutla,C,0,0,0,0,0,0,0
San Antonio de la Cal,C,0,0,0,0,1,0,0
San Antonio Huitepec,C,0,1,1,2,0,1,0
San Antonio Nanahuatipam,3,1,1,1,1,1,1,0
San Antonio Sinicahua,C,0,1,1,0,1,1,0
San Antonio Tepetlapa,3,1,2,2,2,2,2,1
San Baltazar Chichicapam,C,0,1,1,0,1,0,1
San Baltazar Loxicha,C,0,0,0,0,0,0,0
San Baltazar Yatzachi el Bajo,4,1,3,0,3,1,2,0
San Bartolo Coyotepec,4,1,2,1,1,1,2,0
San Bartolome Ayautla,C,1,2,2,2,0,0,1
San Bartolome Loxicha,C,0,1,1,0,0,0,0
San Bartolome Quialana,C,0,0,0,1,0,1,0
San Bartolome Yucuañe,C,0,1,1,1,0,1,0
San Bartolome Zoogocho,C,0,0,0,0,0,1,0
San Bartolo Soyaltepec,C,0,0,0,0,2,1,0
San Bartolo Yautepec,C,0,1,1,0,0,1,0
San Bernardo Mixtepec,3,1,1,2,1,1,0,0
San Blas Atempa,C,0,0,0,0,0,1,0
San Carlos Yautepec,18,4,12,11,7,8,8,0
San Cristobal Amatlan,4,1,2,1,0,3,0,0
San Cristobal Amoltepec,C,0,0,0,0,0,0,0
San Cristobal Suchixtlahuaca,C,0,1,1,1,1,0,0
San Dionisio del Mar,C,1,0,1,0,1,1,0
San Dionisio Ocotepec,5,0,0,0,1,0,2,0
San Dionisio Ocotlan,C,0,0,0,2,0,2,0
San Esteban Atatlahuca,C,1,1,1,2,1,1,0
San Felipe Jalapa de Diaz,12,2,2,2,4,0,0,0
San Felipe Tejalapam,C,1,2,1,2,1,2,0
San Felipe Usila,8,1,2,1,0,1,0,1
San Francisco Cahuacua,C,0,1,0,0,0,1,0
San Francisco Cajonos,C,0,0,0,0,0,1,0
San Francisco Chapulapa,C,0,2,2,2,0,0,1
San Francisco Chindua,C,0,0,0,1,1,1,0
San Francisco del Mar,C,0,1,1,0,0,0,0
San Francisco Huehuetlan,C,0,0,0,0,0,0,0
San Francisco Ixhuatan,3,0,0,0,2,2,0,0
San Francisco Jaltepetongo,C,0,1,1,0,1,1,1
San Francisco Lachigolo,C,0,0,0,0,0,0,0
San Francisco Nuxaño,C,0,0,0,1,0,1,0
San Francisco Ozolotepec,3,2,3,1,3,2,3,1
San Francisco Sola,C,0,1,0,0,0,1,0
San Francisco Telixtlahuaca,C,0,1,0,1,1,0,0
San Francisco Teopan,C,0,0,0,0,1,1,0
San Francisco Tlapancingo,C,0,1,1,1,0,1,0
San Gabriel Mixtepec,C,0,1,1,1,0,0,0
San Ildefonso Amatlan,C,0,0,0,0,0,0,0
San Ildefonso Sola,C,1,1,1,1,1,1,0
San Ildefonso Villa Alta,5,2,3,3,2,2,1,0
San Jacinto Amilpas,C,0,0,0,0,0,0,0
San Jacinto Tlacotepec,C,0,0,0,0,0,0,0
San Jeronimo Coatlan,C,2,2,2,2,1,0,0
San Jeronimo Silacayoapilla,C,0,0,0,0,0,0,0
San Jeronimo Sosola,6,0,0,0,3,5,5,4
San Jeronimo Taviche,C,0,0,0,1,0,0,0
San Jeronimo Tecoatl,C,0,0,0,0,0,0,0
San Jorge Nuchita,3,0,2,0,0,0,0,0
San Jose Ayuquila,C,1,0,1,0,0,0,0
San Jose Chiltepec,11,2,1,2,4,0,2,0
San Jose del Peñasco,C,0,0,0,0,0,0,0
San Jose Estancia Grande,C,0,0,0,0,0,0,0
San Jose Tenango,C,0,1,0,1,0,1,0
San Juan Achiutla,C,0,0,0,1,0,0,0
San Juan Atepec,C,1,0,0,1,0,1,0
Animas Trujano,C,0,1,0,0,0,0,0
San Juan Bautista Atatlahuca,3,1,1,0,0,3,2,3
San Juan Bautista Coixtlahuaca,3,0,1,0,0,2,2,0
San Juan Bautista Cuicatlan,16,2,5,4,4,4,8,2
San Juan Bautista Guelache,3,0,3,1,0,1,0,0
San Juan Bautista Jayacatlan,C,0,1,1,0,0,1,0
San Juan Bautista lo de Soto,C,0,1,1,1,0,1,0
San Juan Bautista Suchitepec,C,0,0,1,1,2,2,0
San Juan Bautista Tlacoatzintepec,C,0,1,1,0,0,0,0
San Juan Bautista Tlachichilco,C,0,0,0,1,0,0,0
San Juan Bautista Tuxtepec,68,18,15,9,29,7,28,0
San Juan Cacahuatepec,6,2,4,2,2,1,1,0
San Juan Cieneguilla,C,0,0,0,0,0,0,0
San Juan Coatzospam,C,1,1,0,1,1,0,0
San Juan Colorado,6,2,3,3,5,5,5,3
San Juan Comaltepec,3,0,1,0,0,0,2,0
San Juan Cotzocon,18,3,6,5,3,2,4,0
San Juan Chicomezuchil,C,0,0,0,0,0,0,0
San Juan Chilateca,C,0,0,0,1,0,0,0
San Juan del Estado,C,1,1,1,0,0,0,0
San Juan del Rio,C,0,0,0,0,1,0,1
San Juan Diuxi,C,0,0,0,0,0,0,0
San Juan Evangelista Analco,C,0,0,0,0,1,0,0
San Juan Guelavia,C,0,0,0,0,0,0,0
San Juan Guichicovi,31,9,12,7,17,4,16,1
San Juan Ihualtepec,C,0,0,0,0,1,1,1
San Juan Juquila Mixes,C,1,1,1,1,1,0,0
San Juan Juquila Vijanos,C,0,0,0,0,0,0,0
San Juan Lachao,C,0,1,0,0,0,0,0
San Juan Lachigalla,4,0,2,1,4,0,2,0
San Juan Lajarcia,C,2,2,1,2,1,0,0
San Juan Lalana,4,0,1,0,3,0,3,1
San Juan de los Cues,C,0,1,1,1,0,0,0
San Juan Mazatlan,20,1,3,3,2,2,3,0
San Juan Mixtepec -Dto. 08-,C,1,1,1,0,0,1,0
San Juan Mixtepec -Dto. 26-,C,0,1,0,0,0,0,1
San Juan Ñumi,3,0,2,2,3,3,3,0
San Juan Ozolotepec,4,1,0,1,3,1,2,1
San Juan Petlapa,6,1,1,1,6,3,3,0
San Juan Quiahije,C,0,1,1,0,0,0,0
San Juan Quiotepec,4,0,2,3,1,1,2,0
San Juan Sayultepec,3,1,2,1,2,1,0,0
San Juan Tabaa,C,0,1,0,0,0,0,0
San Juan Tamazola,C,0,1,1,1,2,2,0
San Juan Teita,C,0,1,1,0,1,0,0
San Juan Teitipac,C,1,1,1,0,1,0,0
San Juan Tepeuxila,5,1,2,2,1,0,0,0
San Juan Teposcolula,C,0,0,0,0,2,1,0
San Juan Yaee,3,0,0,0,1,0,1,0
San Juan Yatzona,C,0,0,0,0,0,0,0
San Juan Yucuita,C,0,0,0,1,2,0,0
San Lorenzo,3,0,1,0,1,1,2,0
San Lorenzo Albarradas,3,0,0,0,0,0,0,0
San Lorenzo Cacaotepec,3,1,1,0,3,1,1,0
San Lorenzo Texmelucan,C,1,1,0,1,1,1,0
San Lorenzo Victoria,C,0,1,1,1,1,2,0
San Lucas Camotlan,C,1,2,1,1,1,0,0
San Lucas Ojitlan,31,6,5,2,10,1,3,0
San Lucas Quiavini,C,1,0,0,0,0,0,0
San Luis Amatlan,C,1,2,2,1,1,0,0
San Marcos Arteaga,3,0,1,0,2,0,3,0
San Martin de los Cansecos,C,1,1,1,1,1,1,0
San Martin Huamelulpam,C,0,0,0,0,1,0,0
San Martin Itunyoso,C,1,1,1,0,1,0,0
San Martin Lachila,C,1,1,1,1,0,0,0
San Martin Peras,C,1,2,1,0,0,1,0
San Martin Tilcajete,C,0,1,1,1,1,0,0
San Martin Toxpalan,C,0,1,0,1,0,0,0
San Mateo Cajonos,C,0,0,0,1,1,1,0
Capulalpam de Mendez,C,0,1,0,1,1,0,0
San Mateo del Mar,C,0,1,1,0,0,0,0
San Mateo Etlatongo,C,0,1,0,0,2,1,2
San Mateo Nejapam,C,0,0,0,0,0,0,0
San Mateo Peñasco,C,0,0,0,1,2,1,0
San Mateo Rio Hondo,C,0,0,0,0,0,0,0
San Mateo Sindihui,C,1,1,1,0,1,1,1
San Mateo Tlapiltepec,C,0,0,0,1,1,1,0
San Melchor Betaza,C,0,1,0,1,0,0,0
San Miguel Achiutla,C,0,1,0,0,1,0,0
San Miguel Aloapam,C,0,0,0,0,1,1,0
San Miguel Amatitlan,9,2,2,1,1,2,4,1
San Miguel Coatlan,C,0,0,0,1,0,0,0
San Miguel Chicahua,C,0,0,0,0,1,0,0
San Miguel Chimalapa,C,2,2,2,1,0,1,0
San Miguel del Puerto,3,2,3,1,1,0,1,1
San Miguel Ejutla,C,0,0,0,0,0,0,0
San Miguel el Grande,C,1,1,1,1,0,0,0
San Miguel Huautla,C,0,1,0,0,0,1,1
San Miguel Mixtepec,C,0,1,0,0,0,0,0
San Miguel Panixtlahuaca,C,0,1,1,1,0,0,0
San Miguel Peras,C,1,1,1,1,1,1,1
San Miguel Piedras,C,0,1,1,1,1,1,0
San Miguel Quetzaltepec,C,0,1,0,1,1,0,0
San Miguel Santa Flor,C,0,1,1,0,0,0,1
Villa Sola de Vega,6,2,5,3,4,0,2,1
San Miguel Soyaltepec,35,4,7,2,16,0,20,0
San Miguel Suchixtepec,C,0,0,0,0,0,0,0
Villa Talea de Castro,3,0,0,0,0,1,0,0
San Miguel Tecomatlan,C,1,0,1,1,1,0,0
San Miguel Tenango,C,0,1,1,0,1,1,1
San Miguel Tequixtepec,C,0,1,1,1,2,2,0
San Miguel Tilquiapam,C,0,0,0,0,1,0,0
San Miguel Tlacamama,4,1,1,0,2,0,1,1
San Miguel Tlacotepec,C,0,0,0,0,0,1,0
San Miguel Tulancingo,C,0,0,0,0,0,0,0
San Miguel Yotao,C,1,1,1,0,0,0,0
San Nicolas Hidalgo,C,0,1,0,1,0,1,0
San Pablo Coatlan,3,0,2,1,1,0,0,0
San Pablo Cuatro Venados,C,1,1,1,1,1,0,0
San Pablo Etla,3,0,0,0,1,1,1,0
San Pablo Huitzo,C,0,2,1,0,0,0,1
San Pablo Huixtepec,C,0,1,1,0,0,0,0
San Pablo Macuiltianguis,C,0,1,0,1,2,1,0
San Pablo Tijaltepec,C,0,0,0,0,0,1,0
San Pablo Villa de Mitla,6,0,0,1,1,2,5,1
San Pablo Yaganiza,C,0,0,0,0,1,0,0
San Pedro Amuzgos,C,0,0,0,0,0,0,0
San Pedro Apostol,C,0,0,0,0,1,0,0
San Pedro Atoyac,3,0,3,2,2,1,0,0
San Pedro Cajonos,C,0,1,0,0,0,1,0
San Pedro Coxcaltepec Cantaros,C,1,0,0,0,1,1,0
San Pedro Comitancillo,C,1,1,1,0,1,0,0
San Pedro el Alto,C,1,0,0,1,0,1,0
San Pedro Huamelula,4,0,1,2,1,1,2,0
San Pedro Huilotepec,C,0,1,1,0,1,1,0
San Pedro Ixcatlan,8,3,0,1,3,2,1,1
San Pedro Ixtlahuaca,C,0,1,0,0,0,0,0
San Pedro Jaltepetongo,C,0,0,1,1,0,1,0
San Pedro Jicayan,C,0,0,0,1,0,1,0
San Pedro Jocotipac,C,0,0,0,1,0,1,1
San Pedro Juchatengo,C,0,0,1,0,0,0,0
San Pedro Martir,C,0,0,0,0,0,0,0
San Pedro Martir Quiechapa,C,0,1,0,0,0,0,0
San Pedro Martir Yucuxaco,C,0,0,0,0,1,0,0
San Pedro Mixtepec -Dto. 22-,C,0,1,1,1,1,0,0
San Pedro Mixtepec -Dto. 26-,C,0,1,0,0,0,0,0
San Pedro Molinos,C,0,1,0,0,1,0,0
San Pedro Nopala,C,0,0,0,1,1,0,0
San Pedro Ocopetatillo,C,0,0,0,0,0,0,0
San Pedro Ocotepec,C,0,1,1,1,0,0,0
San Pedro Pochutla,C,1,1,2,1,1,1,0
San Pedro Quiatoni,C,1,0,0,0,0,0,0
San Pedro Sochiapam,5,0,2,2,4,0,0,2
San Pedro Tapanatepec,8,1,2,1,8,2,0,0
San Pedro Taviche,C,0,2,1,1,0,0,0
San Pedro Teozacoalco,C,0,0,0,1,0,1,0
San Pedro Teutila,3,0,1,1,0,0,0,0
San Pedro Tidaa,C,0,0,0,1,1,1,0
San Pedro Topiltepec,C,0,0,0,1,2,2,0
San Pedro Totolapa,3,0,1,1,0,0,0,0
Villa de Tututepec de Melchor Ocampo,6,5,4,4,4,3,4,0
San Pedro Yaneri,C,1,1,1,0,0,0,0
San Pedro Yolox,6,0,1,0,0,3,4,2
San Pedro y San Pablo Ayutla,C,1,1,1,1,0,1,0
Villa de Etla,C,1,2,0,2,1,1,0
San Pedro y San Pablo Teposcolula,7,0,0,0,1,2,2,1
San Pedro y San Pablo Tequixtepec,8,2,4,3,5,7,6,0
San Pedro Yucunama,C,0,0,0,0,0,1,0
San Raymundo Jalpan,C,1,1,1,1,1,1,0
San Sebastian Abasolo,C,1,1,1,1,1,1,0
San Sebastian Coatlan,C,0,1,0,0,0,0,0
San Sebastian Ixcapa,7,1,2,2,4,2,0,0
San Sebastian Nicananduta,C,0,0,0,0,1,0,0
San Sebastian Rio Hondo,4,0,0,0,1,0,0,1
San Sebastian Tecomaxtlahuaca,3,0,2,0,1,1,1,0
San Sebastian Teitipac,C,1,1,1,0,0,1,0
San Sebastian Tutla,C,0,0,0,0,0,0,0
San Simon Almolongas,C,0,1,1,1,0,0,0
San Simon Zahuatlan,C,0,0,0,0,0,0,0
Santa Ana,C,0,0,0,0,0,0,0
Santa Ana Cuauhtemoc,C,0,0,0,1,0,0,0
Santa Ana del Valle,C,1,0,0,0,1,1,0
Santa Ana Tavela,C,0,1,0,0,0,0,0
Santa Ana Tlapacoyan,C,0,1,0,1,1,0,0
Santa Ana Yareni,C,0,0,0,1,1,1,0
Santa Ana Zegache,C,0,0,0,2,0,0,0
Santa Catalina Quieri,C,0,1,1,0,0,0,0
Santa Catarina Cuixtla,C,0,0,0,1,0,0,1
Santa Catarina Ixtepeji,C,0,0,0,0,0,0,0
Santa Catarina Juquila,6,0,5,5,1,0,0,0
Santa Catarina Lachatao,C,0,0,0,0,0,0,0
Santa Catarina Loxicha,C,0,0,0,1,0,0,0
Santa Catarina Mechoacan,C,1,0,0,1,0,1,0
Santa Catarina Minas,C,0,0,0,1,0,0,0
Santa Catarina Quiane,C,0,2,1,1,0,0,0
Santa Catarina Tayata,C,0,0,0,1,1,0,0
Santa Catarina Ticua,C,0,0,0,0,1,1,0
Santa Catarina Yosonotu,C,1,1,1,0,0,0,0
Santa Catarina Zapoquila,3,0,1,1,0,3,3,0
Santa Cruz Amilpas,C,0,0,1,0,0,0,0
Santa Cruz Itundujia,C,1,0,0,0,0,0,0
Santa Cruz Mixtepec,4,1,1,1,0,1,0,0
Santa Cruz Nundaco,C,0,1,1,1,1,1,0
Santa Cruz Papalutla,C,0,0,0,0,1,0,0
Santa Cruz Tacache de Mina,C,0,1,1,1,0,1,0
Santa Cruz Tacahua,C,1,1,0,1,1,1,0
Santa Cruz Tayata,C,1,0,0,0,1,0,0
Santa Cruz Xitla,C,0,1,1,0,0,1,0
Santa Cruz Xoxocotlan,5,0,2,0,1,1,0,1
Santa Cruz Zenzontepec,C,0,1,1,1,1,1,0
Santa Gertrudis,5,0,0,0,1,0,0,0
Santa Ines del Monte,C,0,0,0,1,0,1,0
Santa Lucia del Camino,C,0,0,0,1,1,2,0
Santa Lucia Miahuatlan,C,0,0,0,1,0,0,0
Santa Lucia Monteverde,4,3,3,3,1,2,2,0
Santa Lucia Ocotlan,C,0,0,0,1,0,1,0
Santa Maria Alotepec,3,3,1,2,3,0,1,0
Santa Maria Apazco,C,0,0,0,1,1,1,0
Heroica Ciudad de Tlaxiaco,8,1,4,3,4,4,5,0
Ayoquezco de Aldama,C,1,1,1,1,1,0,0
Santa Maria Atzompa,C,0,0,0,0,1,0,0
Santa Maria Camotlan,C,0,0,0,1,1,1,1
Santa Maria Colotepec,C,0,1,1,1,1,1,0
Santa Maria Cortijo,C,0,0,0,1,0,0,0
Santa Maria Coyotepec,C,0,1,1,1,1,1,0
Santa Maria Chachoapam,C,0,1,1,1,1,1,0
Villa de Chilapa de Diaz,4,1,1,1,1,2,0,0
Santa Maria Chilchotla,5,0,0,0,1,0,1,0
Santa Maria Chimalapa,3,1,2,1,1,1,0,0
Santa Maria del Rosario,C,0,0,0,1,1,1,0
Santa Maria del Tule,3,0,0,0,0,1,1,0
Santa Maria Ecatepec,9,0,4,3,5,0,3,0
Santa Maria Guelace,C,0,0,0,0,0,0,0
Santa Maria Guienagati,C,1,1,0,1,0,0,0
Santa Maria Huatulco,C,0,0,1,0,0,0,0
Santa Maria Huazolotitlan,6,1,1,1,5,0,1,1
Santa Maria Ipalapa,3,0,0,0,0,0,1,0
Santa Maria Ixcatlan,C,0,1,1,1,1,0,0
Santa Maria Jacatepec,15,1,1,2,2,1,1,0
Santa Maria Jalapa del Marques,C,0,1,1,1,0,1,0
Santa Maria Jaltianguis,C,0,0,0,0,1,1,0
Santa Maria Mixtequilla,C,0,0,0,1,1,1,0
Santa Maria Nativitas,C,0,0,0,0,1,0,0
Santa Maria Nduayaco,3,0,0,0,1,1,0,0
Santa Maria Papalo,C,0,1,0,0,0,0,0
Santa Maria Peñoles,4,1,3,2,0,3,1,0
Santa Maria Petapa,C,1,1,1,1,1,1,0
Santa Maria Quiegolani,C,0,1,1,1,1,2,0
Santa Maria Sola,4,1,2,2,0,1,3,0
Santa Maria Tataltepec,C,0,1,1,1,1,1,0
Santa Maria Tecomavaca,C,1,1,1,0,1,0,0
Santa Maria Temaxcalapa,C,0,0,0,1,0,0,0
Santa Maria Temaxcaltepec,C,0,1,0,0,0,0,0
Santa Maria Teopoxco,C,0,1,0,0,0,0,0
Santa Maria Tepantlali,C,1,0,0,0,0,0,0
Santa Maria Texcatitlan,C,0,1,1,1,1,1,0
Santa Maria Tlahuitoltepec,C,1,1,1,0,1,1,0
Santa Maria Tlalixtac,C,0,0,0,1,1,1,0
Santa Maria Tonameca,C,1,0,0,2,1,2,0
Santa Maria Totolapilla,C,0,1,1,1,1,1,0
Santa Maria Yalina,C,0,0,0,0,0,0,0
Santa Maria Yolotepec,C,0,0,0,1,0,1,0
Santa Maria Yosoyua,C,0,0,0,0,1,1,0
Santa Maria Yucuhiti,C,0,0,0,1,1,0,0
Santa Maria Zacatepec,C,0,0,0,0,0,0,0
Santa Maria Zaniza,C,0,1,1,0,0,0,0
Santa Maria Zoquitlan,C,0,1,0,0,0,0,0
Santiago Amoltepec,C,1,1,1,1,0,1,1
Santiago Apoala,C,0,0,0,0,1,1,0
Santiago Astata,C,1,1,0,1,1,1,0
Santiago Atitlan,C,1,1,0,0,0,0,0
Santiago Ayuquililla,C,0,1,0,1,1,1,1
Santiago Cacaloxtepec,C,0,0,0,0,0,0,0
Santiago Camotlan,4,2,1,0,2,0,0,0
Santiago Comaltepec,C,0,1,1,2,2,1,0
Santiago Chazumba,10,0,2,2,1,7,8,1
Santiago Choapam,6,2,4,3,2,0,1,0
Santiago del Rio,C,0,0,0,2,0,2,0
Santiago Huajolotitlan,7,0,0,0,2,1,2,0
Santiago Huauclilla,4,0,0,1,2,2,1,0
Santiago Ihuitlan Plumas,C,0,0,0,2,2,1,0
Santiago Ixcuintepec,C,0,1,1,0,0,1,0
Santiago Ixtayutla,7,4,4,3,4,1,2,0
Santiago Jamiltepec,6,0,1,1,2,0,3,1
Santiago Jocotepec,23,4,4,0,4,1,2,2
Santiago Juxtlahuaca,10,6,7,2,4,4,4,0
Santiago Lachiguiri,C,2,2,2,2,1,1,0
Santiago Lalopa,C,0,0,0,0,0,0,0
Santiago Laollaga,C,1,1,1,1,0,0,1
Santiago Laxopa,3,1,1,0,1,2,2,0
Santiago Llano Grande,3,1,1,0,2,1,1,0
Santiago Matatlan,3,0,0,1,0,1,1,0
Santiago Minas,C,1,1,1,0,1,1,0
Santiago Nacaltepec,5,0,2,2,3,4,5,5
Santiago Nejapilla,C,0,0,0,1,1,1,0
Santiago Nundiche,C,1,0,1,1,1,0,0
Santiago Nuyoo,3,1,3,2,3,0,1,0
Santiago Pinotepa Nacional,23,6,4,3,9,7,7,4
Santiago Suchilquitongo,6,1,1,1,0,1,2,1
Santiago Tamazola,4,0,2,1,1,1,1,1
Santiago Tapextla,3,0,1,0,2,0,0,0
Villa Tejupam de la Union,C,1,1,1,0,0,0,0
Santiago Tenango,C,0,1,1,1,1,1,0
Santiago Tepetlapa,C,0,0,0,1,0,0,0
Santiago Tetepec,6,2,2,2,3,0,1,0
Santiago Texcalcingo,C,0,0,0,0,0,1,0
Santiago Textitlan,C,1,2,1,0,1,1,0
Santiago Tilantongo,C,0,1,1,0,1,1,0
Santiago Tillo,C,0,0,0,2,0,0,1
Santiago Tlazoyaltepec,C,1,1,1,1,1,1,0
Santiago Xanica,C,1,0,0,2,2,2,1
Santiago Xiacui,3,0,0,0,0,1,2,1
Santiago Yaitepec,C,0,1,1,0,0,0,1
Santiago Yaveo,8,2,3,3,5,3,7,5
Santiago Yosondua,4,0,0,0,4,1,3,0
Santiago Yucuyachi,C,0,0,0,1,0,0,0
Santiago Zacatepec,3,0,0,0,1,0,1,0
Santiago Zoochila,C,0,0,0,1,0,1,1
Nuevo Zoquiapam,C,0,1,0,0,0,0,0
Santo Domingo Ingenio,C,0,1,0,0,1,0,0
Santo Domingo Albarradas,C,0,0,0,0,1,0,0
Santo Domingo Armenta,C,0,0,0,1,0,1,1
Santo Domingo Chihuitan,C,0,1,0,0,1,0,0
Santo Domingo de Morelos,C,0,0,0,0,0,1,0
Santo Domingo Ixcatlan,C,0,1,1,1,0,1,0
Santo Domingo Nuxaa,C,0,0,0,1,1,1,0
Santo Domingo Ozolotepec,C,1,1,1,1,1,1,1
Santo Domingo Petapa,C,1,1,1,0,0,1,0
Santo Domingo Roayaga,C,0,2,0,1,0,1,1
Santo Domingo Tehuantepec,17,3,4,5,8,7,10,0
Santo Domingo Teojomulco,C,1,1,0,1,0,0,0
Santo Domingo Tepuxtepec,C,0,0,0,1,0,0,0
Santo Domingo Tlatayapam,C,0,0,0,1,1,1,0
Santo Domingo Tomaltepec,C,1,0,1,1,0,0,0
Santo Domingo Tonala,4,1,2,1,1,1,1,0
Santo Domingo Tonaltepec,C,0,0,0,0,1,1,0
Santo Domingo Xagacia,C,0,1,0,0,0,0,0
Santo Domingo Yanhuitlan,C,0,0,0,1,0,0,1
Santo Domingo Zanatepec,6,0,1,2,4,2,2,0
Santos Reyes Nopala,4,2,2,2,2,1,0,0
Santos Reyes Papalo,C,0,1,1,0,0,0,0
Santos Reyes Tepejillo,C,0,1,1,0,0,0,0
Santos Reyes Yucuna,C,0,0,0,1,1,1,0
Santo Tomas Jalieza,5,2,3,2,1,0,2,2
Santo Tomas Mazaltepec,C,1,1,1,1,1,1,0
Santo Tomas Ocotepec,C,0,0,0,1,1,0,0
San Vicente Coatlan,C,0,1,1,1,0,0,0
San Vicente Lachixio,C,0,1,0,0,0,1,0
San Vicente Nuñu,C,0,0,0,0,1,0,0
Silacayoapam,9,2,5,3,6,7,9,0
Soledad Etla,C,1,1,1,1,1,1,0
Villa de Tamazulapam del Progreso,C,0,1,0,1,0,0,0
Tanetze de Zaragoza,C,0,0,0,0,0,0,0
Taniche,C,0,0,0,0,0,0,0
Tataltepec de Valdes,C,2,2,1,2,1,1,0
Teococuilco de Marcos Perez,C,0,0,0,1,0,0,0
Teotitlan de Flores Magon,C,0,0,0,1,0,1,0
Teotitlan del Valle,C,1,1,1,0,0,1,0
Teotongo,C,1,1,1,1,1,0,0
Tepelmeme Villa de Morelos,C,0,0,0,0,1,1,0
Tezoatlan de Segura y Luna,9,1,2,3,6,2,5,0
San Jeronimo Tlacochahuaya,3,0,1,1,0,0,0,0
Tlacolula de Matamoros,6,0,0,1,3,0,4,0
Tlacotepec Plumas,C,0,0,0,0,1,0,0
Tlalixtac de Cabrera,C,0,1,0,0,2,1,1
Totontepec Villa de Morelos,11,2,2,1,2,1,6,0
Trinidad Zaachila,5,1,2,2,1,0,1,0
La Trinidad Vista Hermosa,C,0,0,0,1,1,1,0
Valerio Trujano,C,0,1,1,0,0,0,0
San Juan Bautista Valle Nacional,24,2,7,7,7,1,2,0
Villa Diaz Ordaz,3,0,1,0,0,1,2,0
Yaxe,C,0,0,0,1,1,1,0
Magdalena Yodocono de Porfirio Diaz,C,0,0,0,0,1,1,0
Yogana,C,0,0,0,2,0,0,0
Yutanduchi de Guerrero,C,1,1,1,1,1,1,0
Villa de Zaachila,3,0,2,2,0,0,0,0
Zapotitlan del Rio,C,0,1,1,0,0,0,0
Zapotitlan Lagunas,C,0,1,0,0,1,0,0
Zapotitlan Palmas,C,0,0,0,0,0,0,0
Santa Ines de Zaragoza,C,0,0,0,1,1,0,0
Zimatlan de alvarez,8,3,3,2,1,3,1,0
Puebla,1194,174,292,191,414,214,346,42
Acajete,8,1,1,1,2,3,2,3
Acateno,4,0,1,0,1,1,1,0
Acatlan,16,3,3,4,4,2,3,1
Acatzingo,9,4,4,1,5,1,3,0
Acteopan,C,0,1,0,1,0,0,0
Ahuacatlan,C,0,0,0,0,0,0,0
Ahuatlan,C,0,0,0,1,0,1,0
Ahuazotepec,6,1,1,2,1,0,1,0
Ahuehuetitla,3,0,0,0,1,0,1,0
Ajalpan,10,2,4,4,5,2,2,0
Albino Zertuche,C,0,0,0,0,0,0,0
Aljojuca,4,0,1,1,2,0,0,1
Altepexi,C,0,0,1,0,0,2,0
Amixtlan,C,0,0,0,0,0,0,0
Amozoc,7,2,4,2,2,3,3,0
Aquixtla,5,0,0,0,0,0,0,0
Atexcal,9,1,2,1,0,1,1,0
Atlixco,29,5,7,4,10,4,19,1
Atoyatempan,C,0,0,0,1,0,1,0
Atzala,C,1,1,0,0,1,1,0
Atzitzihuacan,9,0,2,1,5,4,5,0
Atzitzintla,5,1,0,1,1,1,0,0
Axutla,C,0,1,1,0,1,1,0
Ayotoxco de Guerrero,3,1,1,1,2,2,2,1
Calpan,3,0,0,0,1,0,0,0
Caltepec,9,2,2,0,1,3,5,1
Camocuautla,C,0,0,0,0,0,0,0
Caxhuacan,C,0,0,0,0,0,0,0
Coatzingo,C,0,0,0,1,1,0,0
Cohetzala,3,1,2,1,2,0,2,0
Cohuecan,C,0,0,1,1,0,0,0
Coronango,3,0,0,0,1,0,1,0
Coxcatlan,9,3,3,1,4,0,2,0
Coyomeapan,3,1,3,2,1,1,0,0
Coyotepec,4,0,1,1,0,0,0,0
Cuapiaxtla de Madero,C,0,0,1,0,0,1,0
Cuautempan,C,0,0,0,0,0,0,0
Cuautinchan,7,2,2,2,2,3,5,0
Cuautlancingo,3,0,2,1,1,1,0,1
Cuayuca de Andrade,5,1,1,1,4,1,2,0
Cuetzalan del Progreso,C,1,1,1,0,1,0,0
Cuyoaco,11,1,2,0,10,1,3,3
Chalchicomula de Sesma,24,4,7,2,17,8,12,0
Chapulco,C,0,2,2,0,0,2,0
Chiautla,6,2,2,3,3,2,3,0
Chiautzingo,5,0,0,0,1,1,2,0
Chiconcuautla,C,0,1,0,1,0,1,0
Chietla,21,4,6,7,3,8,11,0
Chignahuapan,45,9,10,3,19,10,14,0
Chignautla,C,0,0,0,0,1,0,0
Chila,4,1,2,1,0,1,0,0
Chila de la Sal,C,0,0,0,1,0,0,0
Honey,C,0,0,0,0,0,0,0
Chilchotla,C,0,1,0,0,0,1,0
Chinantla,3,0,0,0,1,0,0,1
