INEGI. IX Censo Ejidal 2007,,,,,,,
"Ejidos y comunidades con asistencia a la escuela del presidente del comisariado,",,,,,,,cuadro 41
segun nivel maximo de estudios aprobado por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_asistencia_a_la_escuela_del_presidente_del_comisariado,nivel_maximo_de_estudios_aprobado_ninguno,nivel_maximo_de_estudios_aprobado_primaria,nivel_maximo_de_estudios_aprobado_secundaria,nivel_maximo_de_estudios_aprobado_preparatoria,nivel_maximo_de_estudios_aprobado_otros_estudios,nivel_maximo_de_estudios_aprobado_sin_asistencia_a_la_escuela
San Jeronimo Tecoatl,1,0,0,0,0,1,0
San Jorge Nuchita,3,0,3,0,0,0,0
San Jose Ayuquila,1,0,1,0,0,0,0
San Jose Chiltepec,9,0,8,1,0,0,2
San Jose del Peñasco,1,0,1,0,0,0,0
San Jose Estancia Grande,0,0,0,0,0,0,1
San Jose Tenango,1,0,1,0,0,0,0
San Juan Achiutla,1,0,1,0,0,0,0
San Juan Atepec,1,0,1,0,0,0,0
Animas Trujano,1,0,1,0,0,0,0
San Juan Bautista Atatlahuca,3,0,3,0,0,0,0
San Juan Bautista Coixtlahuaca,3,0,2,1,0,0,0
San Juan Bautista Cuicatlan,15,0,10,5,0,0,1
San Juan Bautista Guelache,3,0,1,0,0,2,0
San Juan Bautista Jayacatlan,1,0,1,0,0,0,0
San Juan Bautista lo de Soto,1,0,1,0,0,0,0
San Juan Bautista Suchitepec,2,0,0,1,0,1,0
San Juan Bautista Tlacoatzintepec,1,0,0,1,0,0,0
San Juan Bautista Tlachichilco,2,0,2,0,0,0,0
San Juan Bautista Tuxtepec,57,0,40,8,6,3,11
San Juan Cacahuatepec,5,0,5,0,0,0,1
San Juan Cieneguilla,1,0,1,0,0,0,0
San Juan Coatzospam,1,0,0,0,1,0,0
San Juan Colorado,4,0,4,0,0,0,2
San Juan Comaltepec,1,0,1,0,0,0,2
San Juan Cotzocon,17,0,9,4,3,1,1
San Juan Chicomezuchil,1,0,1,0,0,0,0
San Juan Chilateca,1,0,0,1,0,0,0
San Juan del Estado,1,0,1,0,0,0,0
San Juan del Rio,1,0,1,0,0,0,0
San Juan Diuxi,1,0,1,0,0,0,0
San Juan Evangelista Analco,1,0,1,0,0,0,0
San Juan Guelavia,1,0,1,0,0,0,0
San Juan Guichicovi,26,1,18,4,3,0,5
San Juan Ihualtepec,1,0,0,0,1,0,0
San Juan Juquila Mixes,1,0,0,0,0,1,0
San Juan Juquila Vijanos,1,0,1,0,0,0,0
San Juan Lachao,1,0,1,0,0,0,0
San Juan Lachigalla,2,0,2,0,0,0,2
San Juan Lajarcia,2,0,2,0,0,0,0
San Juan Lalana,3,0,3,0,0,0,1
San Juan de los Cues,1,0,1,0,0,0,0
San Juan Mazatlan,18,0,15,2,1,0,2
San Juan Mixtepec -Dto. 08-,1,0,0,0,1,0,0
San Juan Mixtepec -Dto. 26-,0,0,0,0,0,0,1
San Juan Ñumi,3,0,3,0,0,0,0
San Juan Ozolotepec,4,0,4,0,0,0,0
San Juan Petlapa,2,0,2,0,0,0,4
San Juan Quiahije,1,0,1,0,0,0,0
San Juan Quiotepec,4,0,1,2,0,1,0
San Juan Sayultepec,3,0,1,2,0,0,0
San Juan Tabaa,1,0,1,0,0,0,0
San Juan Tamazola,2,0,2,0,0,0,0
San Juan Teita,1,0,0,1,0,0,0
San Juan Teitipac,1,0,1,0,0,0,0
San Juan Tepeuxila,5,0,4,1,0,0,0
San Juan Teposcolula,2,0,0,1,0,1,0
San Juan Yaee,3,0,1,2,0,0,0
San Juan Yatzona,1,0,1,0,0,0,0
San Juan Yucuita,2,0,2,0,0,0,0
San Lorenzo,2,0,2,0,0,0,1
San Lorenzo Albarradas,3,0,3,0,0,0,0
San Lorenzo Cacaotepec,3,0,2,1,0,0,0
San Lorenzo Texmelucan,1,0,1,0,0,0,0
San Lorenzo Victoria,2,0,2,0,0,0,0
San Lucas Camotlan,2,1,1,0,0,0,0
San Lucas Ojitlan,31,0,23,8,0,0,0
San Lucas Quiavini,2,0,1,1,0,0,0
San Luis Amatlan,2,0,2,0,0,0,0
San Marcos Arteaga,3,0,2,1,0,0,0
San Martin de los Cansecos,1,0,1,0,0,0,0
San Martin Huamelulpam,1,0,1,0,0,0,0
San Martin Itunyoso,2,0,0,0,0,2,0
San Martin Lachila,1,0,1,0,0,0,0
San Martin Peras,2,1,1,0,0,0,0
San Martin Tilcajete,1,0,1,0,0,0,0
San Martin Toxpalan,2,0,1,1,0,0,0
San Mateo Cajonos,1,0,0,0,0,1,0
Capulalpam de Mendez,1,0,0,1,0,0,0
San Mateo del Mar,1,0,0,0,0,1,0
San Mateo Etlatongo,2,0,1,1,0,0,0
San Mateo Nejapam,1,0,1,0,0,0,0
San Mateo Peñasco,2,0,2,0,0,0,0
San Mateo Rio Hondo,1,0,1,0,0,0,0
San Mateo Sindihui,1,0,1,0,0,0,0
San Mateo Tlapiltepec,1,0,0,1,0,0,0
San Melchor Betaza,2,0,1,1,0,0,0
San Miguel Achiutla,1,0,1,0,0,0,1
San Miguel Aloapam,1,0,1,0,0,0,0
San Miguel Amatitlan,8,0,6,2,0,0,1
San Miguel Coatlan,1,0,1,0,0,0,0
San Miguel Chicahua,1,0,1,0,0,0,0
San Miguel Chimalapa,2,0,2,0,0,0,0
San Miguel del Puerto,3,0,3,0,0,0,0
San Miguel Ejutla,0,0,0,0,0,0,1
San Miguel el Grande,1,0,0,0,0,1,0
San Miguel Huautla,1,0,0,0,0,1,0
San Miguel Mixtepec,1,0,1,0,0,0,0
San Miguel Panixtlahuaca,1,0,0,0,1,0,0
San Miguel Peras,1,0,1,0,0,0,0
San Miguel Piedras,1,0,1,0,0,0,0
San Miguel Quetzaltepec,1,0,0,1,0,0,0
San Miguel Santa Flor,1,0,1,0,0,0,0
Villa Sola de Vega,5,0,4,1,0,0,1
San Miguel Soyaltepec,31,0,20,7,3,1,4
San Miguel Suchixtepec,1,0,0,0,1,0,0
Villa Talea de Castro,2,0,2,0,0,0,1
San Miguel Tecomatlan,1,0,1,0,0,0,0
San Miguel Tenango,1,0,1,0,0,0,0
San Miguel Tequixtepec,2,0,1,0,1,0,0
San Miguel Tilquiapam,2,0,2,0,0,0,0
San Miguel Tlacamama,4,0,3,0,1,0,0
San Miguel Tlacotepec,1,0,0,1,0,0,0
San Miguel Tulancingo,1,0,1,0,0,0,0
San Miguel Yotao,1,0,0,1,0,0,0
San Nicolas Hidalgo,2,0,2,0,0,0,0
San Pablo Coatlan,3,0,3,0,0,0,0
San Pablo Cuatro Venados,1,0,1,0,0,0,0
San Pablo Etla,3,0,2,0,1,0,0
San Pablo Huitzo,2,0,2,0,0,0,0
San Pablo Huixtepec,2,0,2,0,0,0,0
San Pablo Macuiltianguis,2,0,0,1,0,1,0
San Pablo Tijaltepec,1,0,1,0,0,0,0
San Pablo Villa de Mitla,6,0,6,0,0,0,0
San Pablo Yaganiza,1,0,0,1,0,0,0
San Pedro Amuzgos,1,0,1,0,0,0,0
San Pedro Apostol,1,0,0,0,1,0,0
San Pedro Atoyac,2,0,2,0,0,0,1
San Pedro Cajonos,1,0,1,0,0,0,0
San Pedro Coxcaltepec Cantaros,2,0,1,1,0,0,0
San Pedro Comitancillo,1,0,1,0,0,0,0
San Pedro el Alto,1,0,1,0,0,0,0
San Pedro Huamelula,4,0,3,1,0,0,0
San Pedro Huilotepec,1,0,1,0,0,0,0
San Pedro Ixcatlan,7,0,5,1,0,1,1
San Pedro Ixtlahuaca,1,0,1,0,0,0,0
San Pedro Jaltepetongo,1,0,0,1,0,0,0
San Pedro Jicayan,1,0,1,0,0,0,0
San Pedro Jocotipac,1,0,1,0,0,0,0
San Pedro Juchatengo,1,0,1,0,0,0,0
San Pedro Martir,1,0,1,0,0,0,0
San Pedro Martir Quiechapa,1,0,0,1,0,0,0
San Pedro Martir Yucuxaco,1,0,1,0,0,0,0
San Pedro Mixtepec -Dto. 22-,1,0,1,0,0,0,0
San Pedro Mixtepec -Dto. 26-,1,0,1,0,0,0,0
San Pedro Molinos,1,0,0,0,0,1,0
San Pedro Nopala,1,0,1,0,0,0,0
San Pedro Ocopetatillo,1,0,1,0,0,0,0
San Pedro Ocotepec,1,0,1,0,0,0,0
San Pedro Pochutla,2,0,1,0,1,0,0
San Pedro Quiatoni,1,0,1,0,0,0,0
San Pedro Sochiapam,4,0,4,0,0,0,1
San Pedro Tapanatepec,8,0,6,1,0,1,0
San Pedro Taviche,2,0,2,0,0,0,0
San Pedro Teozacoalco,1,0,1,0,0,0,0
San Pedro Teutila,3,0,3,0,0,0,0
San Pedro Tidaa,1,0,1,0,0,0,0
San Pedro Topiltepec,2,0,2,0,0,0,0
San Pedro Totolapa,3,0,1,2,0,0,0
Villa de Tututepec de Melchor Ocampo,6,0,5,0,0,1,0
San Pedro Yaneri,2,0,1,0,0,1,0
San Pedro Yolox,6,0,5,1,0,0,0
San Pedro y San Pablo Ayutla,1,0,0,0,0,1,0
Villa de Etla,2,0,2,0,0,0,0
San Pedro y San Pablo Teposcolula,7,0,4,0,1,2,0
San Pedro y San Pablo Tequixtepec,8,0,4,4,0,0,0
San Pedro Yucunama,1,0,1,0,0,0,0
San Raymundo Jalpan,1,0,1,0,0,0,0
San Sebastian Abasolo,2,0,2,0,0,0,0
San Sebastian Coatlan,1,0,1,0,0,0,0
San Sebastian Ixcapa,5,0,3,2,0,0,2
San Sebastian Nicananduta,1,0,1,0,0,0,0
San Sebastian Rio Hondo,3,0,3,0,0,0,1
San Sebastian Tecomaxtlahuaca,3,0,2,0,0,1,0
San Sebastian Teitipac,2,0,1,1,0,0,0
San Sebastian Tutla,2,0,0,0,0,2,0
San Simon Almolongas,2,0,2,0,0,0,0
San Simon Zahuatlan,0,0,0,0,0,0,1
Santa Ana,1,0,1,0,0,0,0
Santa Ana Cuauhtemoc,1,0,1,0,0,0,0
Santa Ana del Valle,1,0,1,0,0,0,0
Santa Ana Tavela,1,0,1,0,0,0,0
Santa Ana Tlapacoyan,1,0,1,0,0,0,0
Santa Ana Yareni,1,0,1,0,0,0,0
Santa Ana Zegache,2,0,1,0,1,0,0
Santa Catalina Quieri,1,0,1,0,0,0,0
Santa Catarina Cuixtla,1,0,1,0,0,0,0
Santa Catarina Ixtepeji,2,0,2,0,0,0,0
Santa Catarina Juquila,4,0,4,0,0,0,2
Santa Catarina Lachatao,1,0,1,0,0,0,0
Santa Catarina Loxicha,1,0,1,0,0,0,0
Santa Catarina Mechoacan,1,0,1,0,0,0,0
Santa Catarina Minas,1,0,1,0,0,0,0
Santa Catarina Quiane,2,0,1,0,0,1,0
Santa Catarina Tayata,1,0,0,1,0,0,0
Santa Catarina Ticua,1,0,0,1,0,0,0
Santa Catarina Yosonotu,0,0,0,0,0,0,1
Santa Catarina Zapoquila,3,0,3,0,0,0,0
Santa Cruz Amilpas,2,0,1,0,0,1,0
Santa Cruz Itundujia,2,0,1,1,0,0,0
Santa Cruz Mixtepec,4,0,4,0,0,0,0
Santa Cruz Nundaco,1,0,1,0,0,0,0
Santa Cruz Papalutla,1,0,1,0,0,0,0
Santa Cruz Tacache de Mina,2,0,2,0,0,0,0
Santa Cruz Tacahua,1,0,0,1,0,0,0
Santa Cruz Tayata,1,0,1,0,0,0,0
Santa Cruz Xitla,2,0,2,0,0,0,0
Santa Cruz Xoxocotlan,5,0,3,1,1,0,0
Santa Cruz Zenzontepec,1,0,1,0,0,0,0
Santa Gertrudis,4,0,3,1,0,0,1
Santa Ines del Monte,1,0,1,0,0,0,0
Santa Lucia del Camino,2,0,1,0,1,0,0
Santa Lucia Miahuatlan,1,0,1,0,0,0,0
Santa Lucia Monteverde,4,0,2,0,1,1,0
Santa Lucia Ocotlan,1,0,1,0,0,0,0
Santa Maria Alotepec,3,0,2,0,0,1,0
Santa Maria Apazco,1,0,0,1,0,0,0
Heroica Ciudad de Tlaxiaco,8,0,7,1,0,0,0
Ayoquezco de Aldama,1,0,1,0,0,0,0
Santa Maria Atzompa,1,0,1,0,0,0,0
Santa Maria Camotlan,1,0,1,0,0,0,0
Santa Maria Colotepec,1,0,1,0,0,0,0
Santa Maria Cortijo,1,0,1,0,0,0,0
Santa Maria Coyotepec,2,0,1,0,1,0,0
Santa Maria Chachoapam,2,0,1,1,0,0,0
Villa de Chilapa de Diaz,4,0,4,0,0,0,0
Santa Maria Chilchotla,4,0,4,0,0,0,1
Santa Maria Chimalapa,3,0,3,0,0,0,0
Santa Maria del Rosario,1,0,1,0,0,0,0
Santa Maria del Tule,3,0,3,0,0,0,0
Santa Maria Ecatepec,8,0,6,1,1,0,1
Santa Maria Guelace,1,0,1,0,0,0,0
Santa Maria Guienagati,1,0,1,0,0,0,0
Santa Maria Huatulco,1,0,0,0,1,0,0
Santa Maria Huazolotitlan,6,0,5,1,0,0,0
Santa Maria Ipalapa,3,0,1,2,0,0,0
Santa Maria Ixcatlan,1,0,1,0,0,0,0
Santa Maria Jacatepec,14,0,9,4,0,1,1
Santa Maria Jalapa del Marques,1,0,1,0,0,0,0
Santa Maria Jaltianguis,1,0,1,0,0,0,0
Santa Maria Mixtequilla,1,0,0,0,1,0,0
Santa Maria Nativitas,1,0,1,0,0,0,0
Santa Maria Nduayaco,3,0,1,2,0,0,0
Santa Maria Papalo,1,0,1,0,0,0,0
Santa Maria Peñoles,4,0,4,0,0,0,0
Santa Maria Petapa,1,0,1,0,0,0,0
Santa Maria Quiegolani,2,0,1,0,1,0,0
Santa Maria Sola,4,0,2,2,0,0,0
Santa Maria Tataltepec,1,0,1,0,0,0,0
Santa Maria Tecomavaca,1,0,1,0,0,0,0
Santa Maria Temaxcalapa,1,0,1,0,0,0,0
Santa Maria Temaxcaltepec,1,0,1,0,0,0,0
Santa Maria Teopoxco,1,0,0,1,0,0,0
Santa Maria Tepantlali,1,0,1,0,0,0,0
Santa Maria Texcatitlan,1,0,1,0,0,0,0
Santa Maria Tlahuitoltepec,2,0,1,0,0,1,0
Santa Maria Tlalixtac,1,0,0,0,1,0,0
Santa Maria Tonameca,2,0,1,1,0,0,0
Santa Maria Totolapilla,1,0,1,0,0,0,0
Santa Maria Yalina,1,0,1,0,0,0,0
Santa Maria Yolotepec,1,0,1,0,0,0,0
Santa Maria Yosoyua,1,0,0,0,0,1,0
Santa Maria Yucuhiti,2,0,0,1,0,1,0
Santa Maria Zacatepec,1,0,1,0,0,0,0
Santa Maria Zaniza,1,0,1,0,0,0,0
Santa Maria Zoquitlan,1,0,1,0,0,0,0
Santiago Amoltepec,1,0,1,0,0,0,0
Santiago Apoala,1,0,0,1,0,0,0
Santiago Astata,1,0,0,1,0,0,0
Santiago Atitlan,1,0,0,0,1,0,0
Santiago Ayuquililla,2,0,2,0,0,0,0
Santiago Cacaloxtepec,1,0,1,0,0,0,0
Santiago Camotlan,3,0,3,0,0,0,1
Santiago Comaltepec,2,0,2,0,0,0,0
Santiago Chazumba,10,0,9,1,0,0,0
Santiago Choapam,6,0,6,0,0,0,0
Santiago del Rio,1,0,1,0,0,0,1
Santiago Huajolotitlan,7,0,6,0,1,0,0
Santiago Huauclilla,3,0,1,2,0,0,1
Santiago Ihuitlan Plumas,2,0,2,0,0,0,0
Santiago Ixcuintepec,1,0,1,0,0,0,0
Santiago Ixtayutla,6,0,5,0,0,1,1
Santiago Jamiltepec,5,0,4,0,1,0,1
Santiago Jocotepec,21,0,20,1,0,0,2
Santiago Juxtlahuaca,9,0,5,1,1,2,1
Santiago Lachiguiri,2,0,1,1,0,0,0
Santiago Lalopa,1,0,1,0,0,0,0
Santiago Laollaga,2,0,2,0,0,0,0
Santiago Laxopa,3,0,2,0,0,1,0
Santiago Llano Grande,3,0,2,1,0,0,0
Santiago Matatlan,2,0,2,0,0,0,1
Santiago Minas,1,0,1,0,0,0,0
Santiago Nacaltepec,5,0,5,0,0,0,0
Santiago Nejapilla,1,0,1,0,0,0,0
Santiago Nundiche,1,0,1,0,0,0,0
Santiago Nuyoo,3,0,1,1,0,1,0
Santiago Pinotepa Nacional,17,0,15,1,0,1,6
Santiago Suchilquitongo,6,0,4,2,0,0,0
Santiago Tamazola,4,0,4,0,0,0,0
Santiago Tapextla,2,0,1,1,0,0,1
Villa Tejupam de la Union,1,0,1,0,0,0,0
Santiago Tenango,1,0,0,0,0,1,0
Santiago Tepetlapa,1,0,0,0,0,1,0
Santiago Tetepec,5,0,3,2,0,0,1
Santiago Texcalcingo,1,0,1,0,0,0,0
Santiago Textitlan,2,0,2,0,0,0,0
Santiago Tilantongo,1,0,1,0,0,0,0
Santiago Tillo,2,0,0,2,0,0,0
Santiago Tlazoyaltepec,1,0,0,0,1,0,0
Santiago Xanica,2,0,2,0,0,0,0
Santiago Xiacui,3,0,1,2,0,0,0
Santiago Yaitepec,1,0,1,0,0,0,0
Santiago Yaveo,8,0,6,1,1,0,0
Santiago Yosondua,4,0,3,0,0,1,0
Santiago Yucuyachi,1,0,1,0,0,0,0
Santiago Zacatepec,3,0,2,0,0,1,0
Santiago Zoochila,1,0,1,0,0,0,0
Nuevo Zoquiapam,1,0,1,0,0,0,0
Santo Domingo Ingenio,1,0,1,0,0,0,0
Santo Domingo Albarradas,1,0,1,0,0,0,0
Santo Domingo Armenta,0,0,0,0,0,0,1
Santo Domingo Chihuitan,1,0,1,0,0,0,0
Santo Domingo de Morelos,1,0,1,0,0,0,0
Santo Domingo Ixcatlan,1,0,0,1,0,0,0
Santo Domingo Nuxaa,1,0,1,0,0,0,0
Santo Domingo Ozolotepec,1,0,1,0,0,0,0
Santo Domingo Petapa,1,0,0,1,0,0,0
Santo Domingo Roayaga,2,0,1,1,0,0,0
Santo Domingo Tehuantepec,16,0,10,0,5,1,1
Santo Domingo Teojomulco,1,0,0,1,0,0,0
Santo Domingo Tepuxtepec,1,0,0,0,0,1,0
Santo Domingo Tlatayapam,1,0,0,1,0,0,0
Santo Domingo Tomaltepec,2,0,2,0,0,0,0
Santo Domingo Tonala,4,0,4,0,0,0,0
Santo Domingo Tonaltepec,1,0,0,0,0,1,0
Santo Domingo Xagacia,0,0,0,0,0,0,1
Santo Domingo Yanhuitlan,1,0,0,0,0,1,0
Santo Domingo Zanatepec,6,0,3,1,2,0,0
Santos Reyes Nopala,4,0,4,0,0,0,0
Santos Reyes Papalo,1,0,1,0,0,0,0
Santos Reyes Tepejillo,1,0,1,0,0,0,0
Santos Reyes Yucuna,1,0,1,0,0,0,0
Santo Tomas Jalieza,5,0,5,0,0,0,0
Santo Tomas Mazaltepec,1,0,1,0,0,0,0
Santo Tomas Ocotepec,1,0,0,1,0,0,0
San Vicente Coatlan,1,0,1,0,0,0,0
San Vicente Lachixio,2,0,2,0,0,0,0
San Vicente Nuñu,1,0,1,0,0,0,0
Silacayoapam,6,0,3,1,1,1,3
Soledad Etla,1,0,1,0,0,0,0
Villa de Tamazulapam del Progreso,1,0,1,0,0,0,0
Tanetze de Zaragoza,2,0,1,0,0,1,0
Taniche,1,0,1,0,0,0,0
Tataltepec de Valdes,2,0,2,0,0,0,0
Teococuilco de Marcos Perez,1,0,1,0,0,0,0
Teotitlan de Flores Magon,2,0,1,1,0,0,0
Teotitlan del Valle,2,0,2,0,0,0,0
Teotongo,1,0,0,0,1,0,0
Tepelmeme Villa de Morelos,1,0,0,1,0,0,0
Tezoatlan de Segura y Luna,9,0,8,1,0,0,0
San Jeronimo Tlacochahuaya,3,0,3,0,0,0,0
Tlacolula de Matamoros,6,0,4,1,0,1,0
Tlacotepec Plumas,1,0,1,0,0,0,0
Tlalixtac de Cabrera,2,0,1,0,0,1,0
Totontepec Villa de Morelos,5,0,4,0,1,0,6
Trinidad Zaachila,5,0,4,0,1,0,0
La Trinidad Vista Hermosa,1,0,1,0,0,0,0
Valerio Trujano,1,0,1,0,0,0,0
San Juan Bautista Valle Nacional,21,0,18,2,0,1,3
Villa Diaz Ordaz,3,0,3,0,0,0,0
Yaxe,0,0,0,0,0,0,1
Magdalena Yodocono de Porfirio Diaz,1,0,0,0,0,1,0
Yogana,2,0,2,0,0,0,0
Yutanduchi de Guerrero,1,0,1,0,0,0,0
Villa de Zaachila,3,0,2,0,1,0,0
Zapotitlan del Rio,2,0,1,1,0,0,0
Zapotitlan Lagunas,0,0,0,0,0,0,1
Zapotitlan Palmas,2,0,2,0,0,0,0
Santa Ines de Zaragoza,1,0,0,0,0,1,0
Zimatlan de alvarez,8,0,6,0,1,1,0
Puebla,1103,2,889,150,27,35,91
Acajete,7,0,4,3,0,0,1
Acateno,3,0,2,1,0,0,1
Acatlan,15,0,8,2,1,4,1
Acatzingo,9,0,8,1,0,0,0
Acteopan,3,0,3,0,0,0,0
Ahuacatlan,1,0,1,0,0,0,0
Ahuatlan,1,0,1,0,0,0,0
Ahuazotepec,6,0,6,0,0,0,0
Ahuehuetitla,3,0,2,0,0,1,0
Ajalpan,9,0,8,0,1,0,1
Albino Zertuche,1,0,1,0,0,0,0
Aljojuca,4,0,2,2,0,0,0
Altepexi,2,0,0,1,0,1,0
Amixtlan,1,0,1,0,0,0,0
Amozoc,6,0,4,1,0,1,1
Aquixtla,5,0,5,0,0,0,0
Atexcal,8,0,7,1,0,0,1
Atlixco,28,0,25,1,1,1,1
Atoyatempan,1,0,1,0,0,0,0
Atzala,1,0,0,0,1,0,0
Atzitzihuacan,9,0,7,2,0,0,0
Atzitzintla,5,0,4,1,0,0,0
Axutla,1,0,0,1,0,0,0
Ayotoxco de Guerrero,3,0,3,0,0,0,0
Calpan,3,0,2,1,0,0,0
Caltepec,9,0,9,0,0,0,0
Camocuautla,1,0,1,0,0,0,0
Caxhuacan,1,0,1,0,0,0,0
Coatzingo,1,0,1,0,0,0,1
Cohetzala,2,0,2,0,0,0,1
Cohuecan,2,0,2,0,0,0,0
Coronango,2,0,1,0,1,0,1
Coxcatlan,9,0,6,1,1,1,0
Coyomeapan,3,0,3,0,0,0,0
Coyotepec,4,0,3,1,0,0,0
Cuapiaxtla de Madero,1,0,1,0,0,0,0
Cuautempan,1,0,1,0,0,0,0
Cuautinchan,7,0,7,0,0,0,0
Cuautlancingo,2,0,2,0,0,0,1
Cuayuca de Andrade,5,0,4,1,0,0,0
Cuetzalan del Progreso,2,0,2,0,0,0,0
Cuyoaco,7,0,3,4,0,0,4
Chalchicomula de Sesma,22,0,14,4,2,2,2
Chapulco,2,0,1,1,0,0,0
Chiautla,5,0,4,0,0,1,1
Chiautzingo,5,0,5,0,0,0,0
Chiconcuautla,1,0,1,0,0,0,0
Chietla,19,0,16,3,0,0,2
Chignahuapan,43,0,37,4,2,0,2
Chignautla,2,0,2,0,0,0,0
Chila,4,0,4,0,0,0,0
Chila de la Sal,1,0,1,0,0,0,0
Honey,1,0,1,0,0,0,0
Chilchotla,2,0,2,0,0,0,0
Chinantla,2,0,2,0,0,0,1
Domingo Arenas,2,0,2,0,0,0,0
Eloxochitlan,2,0,1,0,0,1,0
Epatlan,3,0,2,1,0,0,1
Esperanza,9,0,9,0,0,0,0
Francisco Z. Mena,20,0,17,2,0,1,1
General Felipe angeles,5,0,5,0,0,0,0
Guadalupe,2,0,1,0,1,0,1
Guadalupe Victoria,9,0,6,1,2,0,1
Huaquechula,24,0,20,2,1,1,2
Huatlatlauca,7,0,5,2,0,0,1
Huauchinango,4,0,4,0,0,0,0
Huehuetlan el Chico,2,0,2,0,0,0,2
Huejotzingo,11,0,10,1,0,0,0
Hueytamalco,8,0,7,1,0,0,1
Hueytlalpan,1,0,1,0,0,0,1
Huitzilan de Serdan,2,0,2,0,0,0,0
Ixcamilpa de Guerrero,3,0,2,1,0,0,1
Ixcaquixtla,7,0,5,2,0,0,0
Ixtacamaxtitlan,22,0,17,4,1,0,2
Izucar de Matamoros,24,0,18,6,0,0,2
Jalpan,5,0,4,1,0,0,2
Jolalpan,8,0,8,0,0,0,1
Jonotla,4,0,3,1,0,0,0
Jopala,1,0,1,0,0,0,0
Juan C. Bonilla,2,0,2,0,0,0,0
Juan N. Mendez,3,0,3,0,0,0,0
Lafragua,7,0,5,1,1,0,0
Libres,6,0,5,0,1,0,0
La Magdalena Tlatlauquitepec,1,0,1,0,0,0,0
Mazapiltepec de Juarez,3,0,3,0,0,0,0
Mixtla,1,0,1,0,0,0,0
Molcaxac,9,0,8,1,0,0,0
Cañada Morelos,4,0,3,1,0,0,1
Nicolas Bravo,2,0,2,0,0,0,0
Nopalucan,6,0,6,0,0,0,0
Ocotepec,2,0,2,0,0,0,0
Ocoyucan,11,0,11,0,0,0,0
Olintla,1,0,1,0,0,0,0
Oriental,5,0,3,1,1,0,2
Pahuatlan,2,0,0,2,0,0,0
Palmar de Bravo,14,0,12,1,0,1,0
Pantepec,12,0,10,2,0,0,4
Petlalcingo,8,0,8,0,0,0,0
Piaxtla,4,0,3,0,1,0,1
Puebla,19,0,15,3,1,0,1
Quecholac,11,0,10,1,0,0,1
Rafael Lara Grajales,1,0,1,0,0,0,0
Los Reyes de Juarez,3,0,2,1,0,0,0
San Andres Cholula,5,0,3,0,0,2,1
San Antonio Cañada,1,0,1,0,0,0,1
San Diego la Mesa Tochimiltzingo,4,0,3,1,0,0,0
San Felipe Teotlalcingo,3,0,3,0,0,0,0
San Gabriel Chilac,4,0,3,1,0,0,0
San Jeronimo Tecuanipan,3,0,2,1,0,0,0
San Jeronimo Xayacatlan,3,0,3,0,0,0,0
San Jose Chiapa,7,0,7,0,0,0,0
San Jose Miahuatlan,8,0,8,0,0,0,0
San Juan Atenco,4,0,2,2,0,0,1
San Martin Texmelucan,11,0,10,0,1,0,0
San Martin Totoltepec,1,0,1,0,0,0,0
San Matias Tlalancaleca,3,0,2,0,1,0,0
San Miguel Xoxtla,1,0,0,1,0,0,0
San Nicolas Buenos Aires,4,0,3,1,0,0,3
San Nicolas de los Ranchos,2,0,2,0,0,0,1
San Pablo Anicano,5,0,4,1,0,0,1
San Pedro Cholula,3,0,1,2,0,0,0
San Pedro Yeloixtlahuaca,2,0,1,0,0,1,0
San Salvador el Seco,3,0,3,0,0,0,1
San Salvador el Verde,8,1,6,1,0,0,0
San Salvador Huixcolotla,1,0,1,0,0,0,0
San Sebastian Tlacotepec,1,0,1,0,0,0,0
Santa Catarina Tlaltempan,1,0,1,0,0,0,0
Santa Ines Ahuatempan,1,0,0,1,0,0,0
Santa Isabel Cholula,4,0,4,0,0,0,0
Santiago Miahuatlan,3,0,3,0,0,0,0
Huehuetlan el Grande,11,0,9,1,0,1,2
Santo Tomas Hueyotlipan,2,0,0,1,0,1,0
Soltepec,7,0,7,0,0,0,0
Tecali de Herrera,10,0,8,2,0,0,2
Tecamachalco,18,0,16,2,0,0,0
Tecomatlan,3,0,3,0,0,0,0
Tehuacan,11,0,7,2,1,1,1
Tehuitzingo,10,0,6,3,0,1,0
Tenampulco,7,0,4,3,0,0,1
Teopantlan,3,0,3,0,0,0,0
Teotlalco,4,0,3,0,0,1,0
Tepanco de Lopez,7,0,4,2,0,1,0
Tepatlaxco de Hidalgo,2,0,1,0,0,1,0
Tepeaca,22,0,18,4,0,0,1
Tepemaxalco,3,0,3,0,0,0,0
Tepeojuma,7,0,6,1,0,0,1
Tepetzintla,3,0,2,1,0,0,0
Tepexco,4,0,3,1,0,0,0
Tepexi de Rodriguez,11,0,6,4,0,1,1
Tepeyahualco,14,0,10,3,0,1,0
Tepeyahualco de Cuauhtemoc,2,0,1,0,1,0,0
Tetela de Ocampo,4,0,4,0,0,0,0
Teziutlan,2,0,2,0,0,0,0
Tianguismanalco,6,0,5,0,1,0,0
Tilapa,6,0,2,3,0,1,1
Tlacotepec de Benito Juarez,15,0,15,0,0,0,3
Tlacuilotepec,2,0,1,1,0,0,2
Tlachichuca,23,0,18,5,0,0,1
Tlahuapan,17,0,13,3,0,1,1
