INEGI. IX Censo Ejidal 2007,,,,,,,
"Ejidos y comunidades con asistencia a la escuela del presidente del comisariado,",,,,,,,cuadro 41
segun nivel maximo de estudios aprobado por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_asistencia_a_la_escuela_del_presidente_del_comisariado,nivel_maximo_de_estudios_aprobado_ninguno,nivel_maximo_de_estudios_aprobado_primaria,nivel_maximo_de_estudios_aprobado_secundaria,nivel_maximo_de_estudios_aprobado_preparatoria,nivel_maximo_de_estudios_aprobado_otros_estudios,nivel_maximo_de_estudios_aprobado_sin_asistencia_a_la_escuela
Tapalapa,1,0,1,0,0,0,1
Tapilula,3,0,3,0,0,0,1
Tecpatan,57,0,51,5,0,1,2
Tenejapa,6,0,5,1,0,0,1
Teopisca,13,0,13,0,0,0,3
Tila,25,0,21,4,0,0,4
Tonala,53,0,33,6,10,4,1
Totolapa,7,0,7,0,0,0,1
La Trinitaria,77,0,69,7,0,1,8
Tumbala,20,0,14,6,0,0,4
Tuxtla Gutierrez,6,0,4,0,1,1,0
Tuxtla Chico,7,0,2,5,0,0,0
Tuzantan,16,0,14,2,0,0,0
Tzimol,16,0,16,0,0,0,2
Union Juarez,12,0,12,0,0,0,0
Venustiano Carranza,37,0,34,2,1,0,4
Villa Corzo,63,7,38,10,5,3,8
Villaflores,65,0,51,8,4,2,2
Yajalon,6,0,5,1,0,0,2
San Lucas,2,0,2,0,0,0,0
Zinacantan,4,0,4,0,0,0,2
San Juan Cancuc,1,0,0,1,0,0,0
Aldama,1,0,1,0,0,0,0
Benemerito de las Americas,13,0,7,5,1,0,1
Maravilla Tenejapa,31,0,29,2,0,0,2
Marques de Comillas,21,0,17,3,1,0,2
Montecristo de Guerrero,3,0,2,1,0,0,2
San Andres Duraznal,5,0,5,0,0,0,0
Santiago el Pinar,1,0,0,1,0,0,0
Chihuahua,946,4,687,147,46,62,41
Ahumada,24,0,18,3,1,2,0
Aldama,22,0,13,5,2,2,2
Allende,20,0,11,4,2,3,1
Aquiles Serdan,2,0,1,0,0,1,0
Ascension,21,0,13,3,4,1,0
Bachiniva,11,0,9,2,0,0,0
Balleza,20,0,12,4,3,1,0
Batopilas,11,0,10,0,1,0,1
Bocoyna,25,0,19,5,0,1,1
Buenaventura,9,0,5,1,1,2,0
Camargo,24,0,17,5,1,1,0
Carichi,19,0,16,1,2,0,4
Casas Grandes,13,0,8,3,1,1,0
Coronado,6,0,5,1,0,0,0
Coyame del Sotol,12,0,8,1,2,1,0
La Cruz,5,0,3,1,1,0,0
Cuauhtemoc,26,0,19,6,0,1,0
Cusihuiriachi,21,0,15,5,1,0,0
Chihuahua,46,0,24,6,6,10,1
Chinipas,15,0,14,0,1,0,1
Delicias,4,1,2,0,0,1,0
Dr. Belisario Dominguez,9,0,8,1,0,0,0
Galeana,4,0,4,0,0,0,0
Santa Isabel,8,0,7,1,0,0,0
Gomez Farias,7,0,3,4,0,0,0
Gran Morelos,10,0,9,1,0,0,0
