INEGI. IX Censo Ejidal 2007,,,,
Ejidos y comunidades con superficie de uso comun segun pastos no cultivados,,,,cuadro 6
de agostadero o enmontada por entidad federativa y municipio,,,,
,,,,
,,,,
,,,,
entidad_federativa_y_municipio,total_de_ejidos_y_comunidades_con_superficie_de_uso_comun,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_total,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_principalmente_con_pastos_no_cultivados_total,ejidos_y_comunidades_con_pastos_no_cultivados_de_agostadero_o_enmontada_sembrada_alguna_vez en_los_ultimos_5_años
El Tule,4,4,4,0
Urique,29,20,16,9
Uruachi,19,9,6,0
Valle de Zaragoza,15,15,15,1
Distrito Federal,26,12,7,1
Cuajimalpa de Morelos,3,0,0,0
La Magdalena Contreras,3,1,1,0
Milpa Alta,5,5,3,1
alvaro Obregon,2,0,0,0
Tlahuac,3,1,0,0
Tlalpan,8,4,2,0
Xochimilco,2,1,1,0
Durango,1072,978,834,93
Canatlan,40,36,33,0
Canelas,3,2,2,2
Coneto de Comonfort,8,8,6,1
Cuencame,26,26,24,3
Durango,114,104,91,7
General Simon Bolivar,21,21,20,3
Gomez Palacio,73,53,21,7
Guadalupe Victoria,10,10,10,1
Guanacevi,40,34,33,2
Hidalgo,17,17,16,1
Inde,11,11,11,0
Lerdo,29,27,27,2
Mapimi,76,75,56,6
Mezquital,22,20,19,3
Nazas,24,24,21,4
Nombre de Dios,19,18,18,2
Ocampo,24,23,22,0
El Oro,25,25,24,2
Otaez,14,9,8,1
Panuco de Coronado,17,17,17,0
Peñon Blanco,5,5,5,0
Poanas,18,17,15,0
Pueblo Nuevo,24,18,16,1
Rodeo,29,29,24,1
San Bernardo,24,23,22,0
San Dimas,49,45,41,2
San Juan de Guadalupe,21,21,16,0
San Juan del Rio,22,21,21,1
San Luis del Cordero,2,2,2,1
San Pedro del Gallo,11,11,11,2
Santa Clara,6,6,6,0
Santiago Papasquiaro,62,49,38,4
Suchil,10,10,10,1
Tamazula,49,46,36,21
Tepehuanes,26,25,24,2
Tlahualilo,50,47,35,2
Topia,15,14,11,8
Vicente Guerrero,8,8,8,0
Nuevo Ideal,28,21,14,0
Guanajuato,1173,1053,807,55
Abasolo,27,26,25,1
Acambaro,53,44,40,5
San Miguel de Allende,56,54,47,3
Apaseo el Alto,25,23,8,3
Apaseo el Grande,30,30,17,0
Atarjea,12,1,0,0
Celaya,14,12,9,1
Manuel Doblado,28,25,19,1
Comonfort,32,29,28,1
Coroneo,3,3,3,1
Cortazar,18,18,16,0
Cueramaro,10,7,6,0
Doctor Mora,5,5,4,0
Dolores Hidalgo Cuna de la Independencia Nal.,56,51,43,3
Guanajuato,26,23,19,2
Huanimaro,12,12,10,1
Irapuato,46,42,34,4
Jaral del Progreso,9,9,8,0
Jerecuaro,40,38,13,0
Leon,34,29,25,0
Moroleon,7,6,1,0
Ocampo,16,16,16,0
Penjamo,108,104,83,2
Pueblo Nuevo,5,4,0,0
Purisima del Rincon,10,10,9,0
Romita,36,34,18,2
Salamanca,36,33,20,0
Salvatierra,41,35,32,2
San Diego de la Union,33,24,16,2
San Felipe,76,71,66,4
San Francisco del Rincon,19,19,18,0
San Jose Iturbide,3,3,3,0
San Luis de la Paz,21,20,19,2
Santa Catarina,2,2,2,0
Santa Cruz de Juventino Rosas,18,13,13,0
Santiago Maravatio,8,7,5,1
Silao,32,28,24,1
Tarandacuao,3,3,2,0
Tarimoro,10,8,7,0
Tierra Blanca,3,3,3,0
Uriangato,7,7,3,0
Valle de Santiago,67,60,31,8
Victoria,15,12,9,0
Villagran,1,1,0,1
Xichu,14,9,5,0
Yuriria,46,40,28,4
Guerrero,967,752,621,167
Acapulco de Juarez,31,19,15,4
Ahuacuotzingo,23,19,5,0
Ajuchitlan del Progreso,32,32,32,9
Alcozauca de Guerrero,14,13,10,1
Alpoyeca,4,4,3,0
Apaxtla,2,2,1,0
Arcelia,15,15,11,2
Atenango del Rio,14,14,14,1
Atlamajalcingo del Monte,7,7,7,0
Atlixtac,5,4,4,4
Atoyac de alvarez,28,23,21,9
Ayutla de los Libres,16,9,2,1
Azoyu,2,0,0,0
Buenavista de Cuellar,5,2,2,0
Coahuayutla de Jose Maria Izazaga,23,20,12,5
Cocula,15,15,13,4
Copala,1,1,0,0
Copalillo,9,8,8,0
Copanatoyac,8,8,5,2
Coyuca de Benitez,17,15,12,6
Coyuca de Catalan,53,52,52,15
Cuajinicuilapa,1,1,0,0
Cualac,1,1,1,0
Cuautepec,3,1,0,0
Cuetzala del Progreso,10,3,3,1
Cutzamala de Pinzon,19,14,13,1
Chilapa de alvarez,38,28,23,7
Chilpancingo de los Bravo,31,18,17,3
Florencio Villarreal,1,1,1,1
General Canuto A. Neri,2,1,1,1
General Heliodoro Castillo,7,4,3,2
Huamuxtitlan,7,6,6,4
Huitzuco de los Figueroa,21,21,21,4
Iguala de la Independencia,12,12,12,1
Igualapa,3,2,2,0
Ixcateopan de Cuauhtemoc,2,0,0,0
Jose Azueta,9,3,0,0
Juan R. Escudero,11,9,4,1
Leonardo Bravo,16,1,0,0
Malinaltepec,9,7,7,1
Martir de Cuilapan,11,4,4,3
Metlatonoc,9,8,7,1
Mochitlan,26,1,1,0
Olinala ,4,2,1,0
Ometepec,8,7,3,2
Petatlan,10,10,9,6
Pilcaya,6,6,6,1
Pungarabato,5,3,2,0
Quechultenango,26,21,17,5
San Luis Acatlan,16,14,10,3
San Marcos,18,16,9,3
San Miguel Totolapan,8,8,8,3
Taxco de Alarcon,19,13,12,2
Tecoanapa,28,24,19,5
Tecpan de Galeana,16,14,13,5
Teloloapan,17,15,12,3
Tepecoacuilco de Trujano,22,22,18,5
Tetipac,4,3,3,1
Tixtla de Guerrero,10,2,2,1
Tlacoachistlahuaca,11,10,6,1
Tlacoapa,3,1,1,1
Tlalchapa,11,11,11,1
Tlalixtaquilla de Maldonado,5,5,5,4
Tlapa de Comonfort,30,29,24,4
Tlapehuala,11,11,10,5
La Union de Isidoro Montes de Oca,23,15,13,5
Xalpatlahuac,7,6,6,0
Xochihuehuetlan,7,3,3,0
Xochistlahuaca,6,4,4,0
Zapotitlan Tablas,1,1,1,0
Zirandaro,25,24,22,3
Zitlala,11,11,9,3
Eduardo Neri,16,9,5,1
Acatepec,1,1,0,0
Marquelia,2,1,1,0
Cochoapa el Grande,1,1,1,0
Jose Joaquin de Herrera,1,1,0,0
Juchitan,1,0,0,0
Iliatenco,4,0,0,0
Hidalgo,1025,703,528,47
Acatlan,14,14,11,0
Acaxochitlan,11,7,6,0
Actopan,10,5,2,0
Agua Blanca de Iturbide,8,1,0,0
Ajacuba,6,6,2,0
Alfajayucan,27,25,20,0
Almoloya,13,13,12,0
Apan,14,14,10,0
El Arenal,8,6,6,0
Atitalaquia,5,5,4,0
Atlapexco,7,4,0,0
Atotonilco el Grande,24,19,19,0
Atotonilco de Tula,7,7,6,0
Calnali,2,0,0,0
Cardonal,20,15,14,2
Cuautepec de Hinojosa,23,15,12,0
Chapantongo,14,14,14,0
Chapulhuacan,20,11,10,2
Chilcuautla,6,5,5,0
Eloxochitlan,8,4,3,0
Emiliano Zapata,4,4,3,0
Epazoyucan,11,10,8,0
Francisco I. Madero,2,2,1,0
Huasca de Ocampo,26,19,16,1
Huautla,40,23,11,5
Huazalingo,11,11,8,7
Huehuetla,6,1,1,0
Huejutla de Reyes,24,14,10,3
Huichapan,35,35,33,1
Ixmiquilpan,20,17,12,1
Jacala de Ledezma,13,11,7,1
Jaltocan,12,4,0,0
Juarez Hidalgo,4,4,3,1
Lolotla,8,1,0,0
Metepec,11,10,7,0
San Agustin Metzquititlan,7,1,0,0
Metztitlan,19,15,10,0
Mineral del Chico,6,3,3,1
Mineral del Monte,2,1,1,0
Mixquiahuala de Juarez,5,4,4,0
Molango de Escamilla,12,1,1,0
Nicolas Flores,4,2,2,0
Nopala de Villagran,9,9,9,0
Omitlan de Juarez,4,2,2,0
San Felipe Orizatlan,39,25,2,0
Pacula,2,2,0,0
Pachuca de Soto,6,6,3,2
Pisaflores,6,2,2,0
Mineral de la Reforma,5,4,4,0
San Agustin Tlaxiaca,9,9,6,0
San Bartolo Tutotepec,7,1,0,1
San Salvador,8,4,3,0
Santiago de Anaya,10,6,1,0
Santiago Tulantepec de Lugo Guerrero,6,1,1,0
Singuilucan,14,11,11,0
Tasquillo,16,16,9,1
Tecozautla,32,32,30,2
Tenango de Doria,3,1,1,0
Tepeapulco,9,9,7,0
Tepehuacan de Guerrero,31,2,1,0
Tepeji del Rio de Ocampo,15,14,10,0
Tepetitlan,11,11,11,1
Tetepango,2,2,1,1
Villa de Tezontepec,1,1,1,1
Tezontepec de Aldama,3,3,3,0
Tianguistengo,24,6,3,1
Tizayuca,3,2,1,0
Tlahuelilpan,1,1,0,0
Tlahuiltepa,15,8,2,0
Tlanalapa,3,3,2,0
Tlanchinol,27,12,10,6
Tlaxcoapan,2,2,2,0
Tolcayuca,2,1,1,0
Tula de Allende,21,18,16,2
Tulancingo de Bravo,8,7,7,0
Xochiatipan,22,7,1,0
Xochicoatlan,15,3,3,0
Yahualica,20,9,4,0
Zacualtipan de angeles,19,6,4,1
Zapotlan de Juarez,3,3,3,0
Zempoala,19,17,14,1
Zimapan,44,42,40,2
Jalisco,1127,908,702,203
Acatic,2,2,2,0
Acatlan de Juarez,5,3,2,2
Ahualulco de Mercado,5,4,3,0
Amacueca,1,1,0,0
Amatitan,5,4,4,2
Ameca,30,12,7,0
San Juanito de Escobedo,5,3,3,0
Arandas,1,1,0,0
El Arenal,2,1,1,0
Atemajac de Brizuela,7,6,5,1
Atengo,11,11,10,7
Atenguillo,5,5,5,1
Atotonilco el Alto,14,13,9,3
Atoyac,10,7,1,2
Autlan de Navarro,24,19,17,2
Ayotlan,14,11,10,5
Ayutla,26,19,19,5
La Barca,8,7,5,1
Bolaños,1,1,1,1
Cabo Corrientes,20,13,5,2
Casimiro Castillo,15,15,15,1
Cihuatlan,12,8,7,0
Zapotlan el Grande,5,3,2,1
Cocula,13,9,9,2
Colotlan,5,5,3,0
Concepcion de Buenos Aires,7,4,1,0
Cuautitlan de Garcia Barragan,10,9,8,3
Cuautla,3,2,2,1
Cuquio,10,9,8,2
Chapala,5,5,4,1
Chimaltitan,2,2,2,1
Chiquilistlan,6,6,6,4
Degollado,14,11,6,0
Ejutla,3,3,3,1
Encarnacion de Diaz,10,9,3,0
Etzatlan,10,7,7,3
El Grullo,6,5,4,2
Guachinango,11,6,2,0
Guadalajara,1,0,0,0
Hostotipaquillo,17,16,15,5
Huejucar,5,5,4,0
Huejuquilla el Alto,3,3,2,1
La Huerta,23,19,12,3
Ixtlahuacan de los Membrillos,3,2,0,0
Ixtlahuacan del Rio,9,8,8,1
Jalostotitlan,1,1,1,0
Jamay,4,3,3,0
Jesus Maria,2,2,1,0
Jilotlan de los Dolores,13,12,10,1
Jocotepec,15,14,13,7
Juanacatlan,5,4,2,1
Juchitlan,7,7,7,3
Lagos de Moreno,42,41,27,2
El Limon,6,6,3,2
Magdalena,10,10,10,0
La Manzanilla de la Paz,2,2,1,0
Mascota,16,7,4,2
Mazamitla,15,12,10,8
Mexticacan,1,1,1,0
Mezquitic,8,8,5,0
Mixtlan,5,2,0,0
Ocotlan,9,6,6,1
Ojuelos de Jalisco,20,20,19,0
Pihuamo,10,9,6,1
Poncitlan,14,9,6,1
Puerto Vallarta,14,8,5,3
Villa Purificacion,12,12,8,5
Quitupan,15,11,9,5
El Salto,2,2,1,1
San Cristobal de la Barranca,2,2,0,0
San Diego de Alejandria,1,1,1,0
San Juan de los Lagos,1,1,1,0
San Marcos,4,4,4,2
San Martin Hidalgo,9,5,5,2
San Miguel el Alto,1,1,1,0
Gomez Farias,4,4,4,2
San Sebastian del Oeste,18,11,8,1
Santa Maria de los angeles,10,10,10,2
Sayula,5,4,4,3
Tala,11,9,8,0
Talpa de Allende,17,15,14,10
Tamazula de Gordiano,26,21,16,7
Tapalpa,7,3,3,0
Tecalitlan,15,11,8,5
Tecolotlan,20,20,20,6
Techaluta de Montenegro,2,2,0,2
Tenamaxtlan,11,11,11,7
Teocaltiche,7,7,6,0
Teocuitatlan de Corona,22,21,17,3
Tepatitlan de Morelos,1,1,0,1
Tequila,14,6,5,1
Teuchitlan,5,1,1,1
Tizapan el Alto,4,4,4,1
Tlajomulco de Zuñiga,18,18,10,5
Tlaquepaque,3,3,1,1
Toliman,9,8,6,0
Tomatlan,29,25,18,8
Tonala,5,4,3,0
Tonaya,2,2,2,0
Tonila,7,6,5,1
Tototlan,6,3,1,0
Tuxcacuesco,7,5,3,1
Tuxcueca,3,2,1,0
Tuxpan,14,10,7,3
Union de San Antonio,15,15,13,1
Union de Tula,13,11,11,3
Valle de Guadalupe,1,1,1,0
Valle de Juarez,4,0,0,0
San Gabriel,17,15,12,1
Villa Corona,5,5,5,1
Villa Guerrero,1,1,1,0
Villa Hidalgo,3,3,3,0
Cañadas de Obregon,1,1,1,0
Yahualica de Gonzalez Gallo,1,1,0,0
Zacoalco de Torres,14,14,6,3
Zapopan,30,23,16,1
Zapotiltic,14,12,11,4
Zapotitlan de Vadillo,4,3,3,1
Zapotlan del Rey,22,14,10,3
Zapotlanejo,10,5,1,1
Mexico,1044,660,482,69
Acambay,27,22,19,2
Acolman,10,6,4,0
Aculco,25,21,18,1
Almoloya de Alquisiras,12,7,7,1
