INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie de uso comun sin vegetacion,,,,,,,cuadro 11,,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun_sin_vegetacion,superficie_sin_vegetacion_(ha),superficies_sin_vegetacion_(ha)_arenales_o_pedregales,superficies_sin_vegetacion_(ha)_ensalitradas,superficies_sin_vegetacion_(ha)_erosionadas,superficies_sin_vegetacion_(ha)_cubiertas_por_agua,superficies_sin_vegetacion_(ha)_otras_superficies,ensalitradas,unidad_de_medida
Tala,9,3251.1200,2664.3700,200.0000,0.0000,6.0000,380.7500,200.0000,Hectarea
Talpa de Allende,6,600.3200,392.9600,0.0000,156.5300,0.0000,50.8300,0.0000,Hectarea
Tamazula de Gordiano,7,550.7600,467.0800,0.0000,19.3500,0.0000,64.3300,0.0000,Hectarea
Tecalitlan,6,80.7200,33.5300,0.9200,26.1900,0.0000,20.0800,0.9200,Hectarea
Tecolotlan,9,612.2000,445.4300,20.0000,34.2900,102.5600,9.9300,20.0000,Hectarea
Techaluta de Montenegro,1,5.9100,0.0000,0.0000,0.0000,0.0000,5.9100,0.0000,Hectarea
Tenamaxtlan,8,133.5000,89.3300,0.0000,0.8200,9.4000,33.9500,0.0000,Hectarea
Teocaltiche,3,27.9500,4.9200,0.0000,23.0300,0.0000,0.0000,0.0000,Hectarea
Tequila,7,543.5800,389.2900,0.0000,0.0000,0.0000,154.2900,0.0000,Hectarea
Teuchitlan,1,23.4000,23.4000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tizapan el Alto,1,12.5000,12.5000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tlajomulco de Zuñiga,12,499.9800,436.0600,1.5000,28.1000,1.6000,32.7200,1.5000,Hectarea
Tlaquepaque,2,2.8900,0.0000,0.0000,2.3900,0.0000,0.5000,0.0000,Hectarea
Toliman,3,226.5900,191.0600,0.0000,0.0000,0.0000,35.5200,0.0000,Hectarea
Tomatlan,9,2814.5900,2467.7600,2.9400,140.5000,0.0000,203.3800,2.9400,Hectarea
Tonala,4,148.6900,10.0600,0.0000,0.0000,3.0000,135.6300,0.0000,Hectarea
Tonila,4,303.5700,100.3700,0.0000,192.5000,0.0000,10.7000,0.0000,Hectarea
Tototlan,3,8.2500,0.0000,0.0000,0.0000,8.0000,0.2500,0.0000,Hectarea
Tuxcacuesco,4,9131.1300,7156.7200,0.0000,84.7900,0.0000,1889.6200,0.0000,Hectarea
Tuxpan,6,32.3400,30.3800,0.0000,1.9600,0.0000,0.0000,0.0000,Hectarea
Union de San Antonio,2,24.0500,19.0000,0.0000,0.0000,4.0000,1.0500,0.0000,Hectarea
Union de Tula,4,138.0900,37.0000,0.0000,3.4700,0.0000,97.6200,0.0000,Hectarea
Valle de Juarez,1,13.0400,0.0000,0.0000,13.0400,0.0000,0.0000,0.0000,Hectarea
San Gabriel,2,143.5000,59.8800,0.0000,81.9800,0.7700,0.8700,0.0000,Hectarea
Villa Corona,2,271.4400,271.2200,0.0000,0.0000,0.0000,0.2100,0.0000,Hectarea
Villa Guerrero,1,406.0200,90.2900,0.0000,0.0000,0.0000,315.7200,0.0000,Hectarea
Zacoalco de Torres,3,563.3300,0.0000,530.1700,0.0000,0.0000,33.1700,530.1700,Hectarea
Zapopan,10,1035.1500,832.5300,0.0000,7.8200,15.0500,179.7500,0.0000,Hectarea
Zapotiltic,5,339.8900,35.7500,0.0000,119.7200,3.0000,181.4200,0.0000,Hectarea
Zapotlan del Rey,1,172.0000,172.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Zapotlanejo,4,278.3500,202.3100,30.0000,0.0000,0.0000,46.0400,30.0000,Hectarea
Mexico,490,29369.7800,7024.3800,606.8900,2217.0600,1043.0900,18478.3600,606.8900,Hectarea
Acambay,11,311.3300,75.3500,0.0000,76.8900,12.0000,147.0900,0.0000,Hectarea
Acolman,6,190.9000,170.9000,20.0000,0.0000,0.0000,0.0000,20.0000,Hectarea
Aculco,23,1070.1800,517.2800,2.0000,184.9400,16.8000,349.1600,2.0000,Hectarea
Almoloya de Alquisiras,4,29.9800,10.9900,0.0000,18.9900,0.0000,0.0000,0.0000,Hectarea
Almoloya de Juarez,8,159.6200,116.6400,6.7800,10.3300,7.0300,18.8400,6.7800,Hectarea
Amanalco,12,131.2100,44.8000,2.7000,32.9100,39.6800,11.1100,2.7000,Hectarea
Amatepec,3,109.4400,1.0000,0.0000,0.0000,0.2100,108.2300,0.0000,Hectarea
Amecameca,4,27.4300,23.9800,0.0000,0.0000,0.0000,3.4500,0.0000,Hectarea
Atenco,2,121.9800,0.0000,121.9800,0.0000,0.0000,0.0000,121.9800,Hectarea
Atizapan,1,0.7500,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,Hectarea
Atizapan de Zaragoza,1,22.8600,0.0000,5.0000,0.0000,0.0000,17.8600,5.0000,Hectarea
Atlacomulco,23,764.3900,357.1600,13.3900,175.3900,52.8900,165.5600,13.3900,Hectarea
Atlautla,1,197.1700,0.0000,0.0000,0.0000,0.0000,197.1700,0.0000,Hectarea
Axapusco,11,114.1300,89.6900,0.0000,2.9400,18.5700,2.9400,0.0000,Hectarea
Ayapango,1,11.4600,6.3700,0.0000,5.0900,0.0000,0.0000,0.0000,Hectarea
Calimaya,1,49.2900,21.9000,0.0000,27.3800,0.0000,0.0000,0.0000,Hectarea
Coacalco de Berriozabal,1,9.8100,0.0000,0.0000,0.0000,0.0000,9.8100,0.0000,Hectarea
Coatepec Harinas,1,4.8900,4.8900,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Cocotitlan,1,2.7000,2.7000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Coyotepec,1,4.9900,0.0000,0.0000,0.0000,0.0000,4.9900,0.0000,Hectarea
Chalco,5,165.5100,53.1100,0.0000,102.4200,0.0000,9.9800,0.0000,Hectarea
Chapa de Mota,12,353.5800,46.8900,4.6600,21.6400,0.0500,280.3400,4.6600,Hectarea
Chapultepec,1,35.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Chiautla,1,9.0900,9.0900,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Chicoloapan,1,113.7300,30.0000,0.0000,0.0000,0.0000,83.7300,0.0000,Hectarea
Chimalhuacan,1,50.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Donato Guerra,9,252.9300,22.7500,6.0000,30.9200,62.0100,131.2500,6.0000,Hectarea
Ecatepec de Morelos,6,212.2400,75.3300,1.5000,7.6500,0.0000,127.7500,1.5000,Hectarea
Huehuetoca,1,100.0000,50.0000,0.0000,0.0000,0.0000,50.0000,0.0000,Hectarea
Hueypoxtla,5,1293.4700,271.4000,0.0000,50.0000,1.0000,971.0800,0.0000,Hectarea
Huixquilucan,3,122.1400,1.0300,8.7900,2.9300,0.0000,109.3900,8.7900,Hectarea
Isidro Fabela,2,313.1200,96.9500,48.4800,131.8500,29.0900,6.7500,48.4800,Hectarea
Ixtapaluca,4,578.4900,14.0000,3.9200,0.0000,5.0000,555.5700,3.9200,Hectarea
Ixtapan de la Sal,1,11.5000,0.0000,0.0000,0.0000,0.0000,11.5000,0.0000,Hectarea
Ixtlahuaca,26,715.2600,175.3200,24.5900,114.0400,340.2000,61.1100,24.5900,Hectarea
Jilotepec,17,810.8200,116.3200,22.1600,31.3500,89.2300,551.7600,22.1600,Hectarea
Jiquipilco,8,260.3500,60.6400,0.0000,0.0000,111.1400,88.5700,0.0000,Hectarea
Jocotitlan,2,22.8700,1.6500,0.0000,0.0000,21.2200,0.0000,0.0000,Hectarea
Juchitepec,2,396.9100,312.9600,0.0000,0.0000,0.0000,83.9500,0.0000,Hectarea
Lerma,8,144.5900,48.6400,0.0000,27.8800,61.5700,6.5000,0.0000,Hectarea
Malinalco,4,163.4700,149.8500,0.0000,5.0000,0.0000,8.6200,0.0000,Hectarea
Metepec,1,9.3200,0.0000,0.0000,0.0000,0.0000,9.3200,0.0000,Hectarea
Morelos,11,183.9400,121.7400,0.0000,35.2900,11.0200,15.8900,0.0000,Hectarea
Naucalpan de Juarez,5,733.0000,123.9300,0.0000,132.2800,0.0000,476.7900,0.0000,Hectarea
Nicolas Romero,4,1243.5600,33.6900,0.0000,20.9100,0.0000,1188.9600,0.0000,Hectarea
Nopaltepec,2,7.9200,2.0000,0.0000,0.0000,2.9100,3.0100,0.0000,Hectarea
Ocoyoacac,3,118.2600,12.0000,0.0000,0.0000,0.0000,106.2600,0.0000,Hectarea
Ocuilan,1,9693.9800,700.0000,0.0000,300.0000,0.0000,8693.9800,0.0000,Hectarea
El Oro,9,279.4800,67.5700,14.5000,7.4300,8.0900,181.8900,14.5000,Hectarea
Otumba,4,308.9400,226.5500,0.0000,62.1400,0.0000,20.2400,0.0000,Hectarea
Otzolotepec,3,50.3800,10.0000,0.0000,8.0000,7.7500,24.6300,0.0000,Hectarea
Ozumba,3,26.5900,20.2500,0.0000,0.0000,0.0000,6.3400,0.0000,Hectarea
La Paz,1,48.0000,48.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Polotitlan,7,111.4500,53.4000,0.0000,30.0800,0.0000,27.9700,0.0000,Hectarea
Rayon,1,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,Hectarea
San Felipe del Progreso,22,427.5400,235.8100,50.7000,29.6800,1.0000,110.3500,50.7000,Hectarea
San Martin de las Piramides,5,97.7000,7.0000,0.0000,0.0000,0.8700,89.8300,0.0000,Hectarea
San Simon de Guerrero,1,27.5900,20.0000,0.0000,0.0000,0.0000,7.5900,0.0000,Hectarea
Santo Tomas,1,66.1100,0.0000,0.0000,0.0000,0.0000,66.1100,0.0000,Hectarea
Soyaniquilpan de Juarez,7,125.3500,104.0500,0.0000,3.1500,4.7600,13.3900,0.0000,Hectarea
Sultepec,2,337.6800,295.5400,0.0000,40.1700,0.0000,1.9800,0.0000,Hectarea
Tecamac,6,15.9000,5.9000,2.5000,0.0000,2.0000,5.5000,2.5000,Hectarea
Tejupilco,1,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Temamatla,2,128.2100,99.0800,0.0000,29.1300,0.0000,0.0000,0.0000,Hectarea
Temascalapa,4,465.6400,392.5500,0.0000,19.1000,0.0000,53.9800,0.0000,Hectarea
Temascalcingo,14,686.2300,92.5700,2.0000,79.4700,6.0000,506.1900,2.0000,Hectarea
Temascaltepec,17,601.6500,183.0600,3.0000,16.6300,0.5000,398.4600,3.0000,Hectarea
Temoaya,3,54.1300,42.0000,0.0000,0.0000,0.0000,12.1300,0.0000,Hectarea
Tenancingo,2,5.6900,3.6900,0.0000,2.0000,0.0000,0.0000,0.0000,Hectarea
Tenango del Aire,3,17.9900,11.0000,0.0000,3.7100,0.0000,3.2800,0.0000,Hectarea
Tenango del Valle,1,24.2600,0.0000,24.2600,0.0000,0.0000,0.0000,24.2600,Hectarea
Teotihuacan,3,34.9000,16.8600,0.0000,4.5700,0.0000,13.4600,0.0000,Hectarea
Tepetlaoxtoc,4,101.9200,45.0000,25.0000,31.9200,0.0000,0.0000,25.0000,Hectarea
Tepetlixpa,3,41.0000,11.6300,0.0000,0.0000,0.0000,29.3800,0.0000,Hectarea
Tepotzotlan,5,517.4400,58.5400,0.9400,206.6100,1.7800,249.5800,0.9400,Hectarea
Texcaltitlan,5,106.2800,14.0000,3.0000,4.0000,3.0000,82.2900,3.0000,Hectarea
Texcalyacac,1,254.8400,0.0000,0.0000,0.0000,0.0000,254.8400,0.0000,Hectarea
Texcoco,9,168.6100,106.6900,55.0000,5.0000,0.0000,1.9200,55.0000,Hectarea
Tezoyuca,1,10.0000,0.0000,3.0000,0.0000,0.0000,7.0000,3.0000,Hectarea
Tianguistenco,1,4.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Timilpan,5,109.0900,0.0000,0.0000,10.0000,3.5700,95.5200,0.0000,Hectarea
Tlalnepantla de Baz,3,29.0000,23.9300,0.0000,2.0000,1.0000,2.0600,0.0000,Hectarea
Tlatlaya,2,61.3700,44.6000,14.2000,2.1300,0.0000,0.4400,14.2000,Hectarea
Toluca,4,22.9900,11.4900,0.0000,11.4900,0.0000,0.0000,0.0000,Hectarea
Tonatico,1,13.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tultitlan,2,17.3200,2.4100,0.0000,10.0900,0.0000,4.8200,0.0000,Hectarea
Valle de Bravo,9,478.0600,250.6600,58.1500,16.6400,84.6500,67.9500,58.1500,Hectarea
Villa de Allende,4,24.1500,8.8500,0.0000,2.4600,11.8300,1.0200,0.0000,Hectarea
Villa del Carbon,7,1421.2000,244.3800,48.2000,3.5000,6.9700,1118.1600,48.2000,Hectarea
Villa Guerrero,3,4.1400,2.9600,0.0000,0.0000,0.0000,1.1800,0.0000,Hectarea
Villa Victoria,6,24.7200,15.1000,0.0000,2.4200,1.0000,6.2000,0.0000,Hectarea
Xonacatlan,1,0.3100,0.3100,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Zacualpan,4,16.0000,6.0000,0.0000,10.0000,0.0000,0.0000,0.0000,Hectarea
Zumpahuacan,2,2.3400,1.5000,0.0000,0.0000,0.5000,0.3400,0.0000,Hectarea
Zumpango,4,206.2800,48.1200,0.0000,0.0000,1.0000,157.1600,0.0000,Hectarea
Cuautitlan Izcalli,5,158.4400,13.6700,0.0000,9.7800,0.0000,135.0000,0.0000,Hectarea
Valle de Chalco Solidaridad,1,20.0000,9.5000,9.5000,1.0000,0.0000,0.0000,9.5000,Hectarea
Luvianos,1,70.0000,70.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
San Jose del Rincon,13,94.3200,24.2200,0.0000,2.9700,15.2000,51.9300,0.0000,Hectarea
Michoacan de Ocampo,487,74330.2700,32945.7900,1088.1000,3488.5700,5373.9200,31433.9000,1088.1000,Hectarea
Acuitzio,1,95.3800,68.5000,0.0000,0.0000,0.0000,26.8800,0.0000,Hectarea
Aguililla,2,2339.5300,0.0000,0.0000,0.0000,0.0000,2339.5300,0.0000,Hectarea
alvaro Obregon,6,461.9500,62.5400,30.0000,9.0900,351.0600,9.2600,30.0000,Hectarea
Angamacutiro,4,422.1900,396.6900,0.0000,0.0000,0.0000,25.5000,0.0000,Hectarea
Angangueo,2,11.3300,11.3300,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Apatzingan,9,309.3900,164.1100,8.0600,0.0000,0.0000,137.2200,8.0600,Hectarea
Aquila,4,10811.3800,4591.3700,0.0000,0.0000,0.6700,6219.3400,0.0000,Hectarea
Ario,8,664.7300,389.7200,20.9800,101.4000,0.0000,152.6300,20.9800,Hectarea
Arteaga,7,2406.7600,152.3400,0.0000,0.0000,24.6400,2229.7800,0.0000,Hectarea
Buenavista,5,189.6700,153.2700,0.0000,0.0000,29.4100,7.0000,0.0000,Hectarea
Caracuaro,3,32.4100,29.4000,0.0000,0.0000,2.0000,1.0100,0.0000,Hectarea
Coahuayana,4,664.3700,410.3800,216.1400,0.0200,30.3700,7.4500,216.1400,Hectarea
Coalcoman de Vazquez Pallares,2,923.8000,73.8000,0.0000,0.0000,0.0000,850.0000,0.0000,Hectarea
Coeneo,2,221.5000,0.0000,0.0000,0.0000,0.0000,221.5000,0.0000,Hectarea
Contepec,21,1836.8800,1182.2100,0.0000,70.7200,30.0000,553.9400,0.0000,Hectarea
Cotija,10,536.8300,396.2300,79.0400,42.3900,10.0000,9.1800,79.0400,Hectarea
Cuitzeo,1,10.9400,10.9400,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Charo,5,711.6400,23.7500,0.0000,115.7800,0.0000,572.1200,0.0000,Hectarea
Chavinda,3,348.3600,327.1500,0.0000,0.0000,0.0000,21.2100,0.0000,Hectarea
Cheran,1,109.2400,60.0000,0.0000,30.0000,0.0000,19.2400,0.0000,Hectarea
Chilchota,6,396.0300,60.0000,10.0000,193.9900,0.0000,132.0400,10.0000,Hectarea
Chinicuila,3,7259.1500,1975.3600,0.0000,20.0000,3850.5600,1413.2300,0.0000,Hectarea
Churintzio,5,546.5900,429.3100,102.7500,6.4800,0.0000,8.0500,102.7500,Hectarea
Churumuco,6,6084.2600,7.1200,3.5000,0.0000,0.0000,6073.6500,3.5000,Hectarea
Ecuandureo,3,163.4500,2.0000,12.4300,50.0000,12.4300,86.6000,12.4300,Hectarea
Epitacio Huerta,7,483.3900,474.0000,0.0000,0.0000,9.0000,0.3900,0.0000,Hectarea
Erongaricuaro,3,502.8500,0.0000,0.0000,212.5100,15.3300,275.0000,0.0000,Hectarea
Hidalgo,14,144.7900,107.7300,1.9700,16.9300,10.9600,7.2100,1.9700,Hectarea
La Huacana,17,714.6200,571.3000,14.5500,99.9500,0.0000,28.8200,14.5500,Hectarea
Huandacareo,3,47.8400,42.8900,0.0000,4.9500,0.0000,0.0000,0.0000,Hectarea
Huaniqueo,3,16.8700,2.9700,0.0000,0.0000,0.0000,13.9100,0.0000,Hectarea
Huetamo,10,1395.3300,1005.3800,0.0000,0.0000,0.0000,389.9500,0.0000,Hectarea
Huiramba,2,33.9400,29.3100,0.0000,4.6300,0.0000,0.0000,0.0000,Hectarea
Indaparapeo,4,179.3200,48.4800,80.0000,50.0000,0.0000,0.8400,80.0000,Hectarea
Irimbo,2,49.0700,15.0000,0.0000,0.0000,6.2600,27.8100,0.0000,Hectarea
Jacona,2,171.7100,171.7100,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Jimenez,6,197.2500,103.0600,0.0000,0.8500,0.4300,92.9100,0.0000,Hectarea
Jiquilpan,1,20.0000,10.0000,0.0000,10.0000,0.0000,0.0000,0.0000,Hectarea
Juarez,7,302.1200,76.9000,6.0800,33.1600,10.0500,175.9300,6.0800,Hectarea
Jungapeo,8,1586.7200,340.0000,0.0000,900.0000,2.0000,344.7200,0.0000,Hectarea
Lagunillas,1,157.4800,0.0000,0.0000,0.0000,0.0000,157.4800,0.0000,Hectarea
Madero,1,10.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Maravatio,21,1909.9100,936.1600,12.3000,78.4300,40.7000,842.3300,12.3000,Hectarea
Lazaro Cardenas,6,48.4100,10.7000,0.0000,5.0000,0.0000,32.7100,0.0000,Hectarea
Morelia,18,523.6000,348.0900,3.0000,57.0600,24.4400,91.0100,3.0000,Hectarea
Morelos,2,31.9700,9.9000,0.0000,22.0700,0.0000,0.0000,0.0000,Hectarea
Nuevo Parangaricutiro,1,4.4200,4.4200,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Nuevo Urecho,2,49.5400,24.1000,0.0000,0.0000,0.0000,25.4400,0.0000,Hectarea
Numaran,2,248.6700,248.6700,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Ocampo,1,2.8000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Pajacuaran,2,198.9300,194.9800,3.9500,0.0000,0.0000,0.0000,3.9500,Hectarea
Panindicuaro,11,588.8200,275.0800,3.3000,25.0600,115.3600,170.0300,3.3000,Hectarea
Paracuaro,1,10.5500,0.0000,0.0000,0.0000,0.0000,10.5500,0.0000,Hectarea
Paracho,4,558.1800,523.3700,0.0000,0.0000,0.0000,34.8100,0.0000,Hectarea
Patzcuaro,2,4.0000,3.0000,0.0000,0.0000,0.0000,1.0000,0.0000,Hectarea
Penjamillo,13,529.7800,473.0700,0.0000,0.0000,4.0900,52.6300,0.0000,Hectarea
La Piedad,4,333.2800,331.8000,0.0000,0.0000,1.4800,0.0000,0.0000,Hectarea
Purepero,1,475.0400,0.0000,0.0000,0.0000,0.0000,475.0400,0.0000,Hectarea
Puruandiro,20,2818.8600,1158.0000,74.8800,22.4100,13.5000,1550.0800,74.8800,Hectarea
Querendaro,3,80.0000,47.0000,0.0000,22.0000,1.0000,10.0000,0.0000,Hectarea
Quiroga,3,573.3000,117.8500,248.1600,192.7300,0.0000,14.5600,248.1600,Hectarea
Los Reyes,3,113.0800,98.7700,0.0000,2.0000,0.0000,12.3100,0.0000,Hectarea
Sahuayo,1,4.1300,0.0000,0.0000,0.0000,4.1300,0.0000,0.0000,Hectarea
Santa Ana Maya,1,35.8500,18.1700,0.0000,0.0000,0.0000,17.6800,0.0000,Hectarea
Salvador Escalante,7,237.6500,195.8100,0.0000,0.0000,12.8000,29.0300,0.0000,Hectarea
Senguio,6,534.0100,341.3200,2.0000,28.0000,0.0000,162.6900,2.0000,Hectarea
Susupuato,8,185.8500,172.6600,0.0000,2.1900,0.0000,11.0000,0.0000,Hectarea
Tacambaro,2,9.6300,8.6300,1.0000,0.0000,0.0000,0.0000,1.0000,Hectarea
Tancitaro,1,144.1300,8.0000,0.0000,0.0000,0.0000,136.1300,0.0000,Hectarea
Tangamandapio,2,5936.7800,5931.7800,0.0000,0.0000,0.0000,5.0000,0.0000,Hectarea
Tangancicuaro,6,847.2800,602.4800,0.0000,218.2600,0.0000,26.5400,0.0000,Hectarea
Tanhuato,3,218.8200,163.0000,0.0000,0.0000,18.0000,37.8200,0.0000,Hectarea
Taretan,6,102.3800,60.4300,0.0000,0.0000,0.0000,41.9500,0.0000,Hectarea
Tarimbaro,8,973.5500,282.5500,100.0000,430.0000,0.0000,161.0000,100.0000,Hectarea
Tepalcatepec,3,60.8000,1.9600,1.9600,0.0000,0.0000,56.8800,1.9600,Hectarea
Tingüindin,3,153.5100,153.5100,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tiquicheo de Nicolas Romero,1,24.6000,24.6000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tlalpujahua,3,329.9900,27.7600,0.0000,0.0000,60.0000,242.2300,0.0000,Hectarea
Tlazazalca,2,230.1000,0.0000,0.0000,0.0000,0.0000,230.1000,0.0000,Hectarea
Tocumbo,3,193.2200,192.7200,0.5000,0.0000,0.0000,0.0000,0.5000,Hectarea
Tumbiscatio,3,4127.7700,483.7700,0.0000,80.0000,0.0000,3564.0000,0.0000,Hectarea
Turicato,6,527.6500,179.9800,0.0000,0.0000,10.0000,337.6700,0.0000,Hectarea
Tuxpan,4,15.4200,10.0000,0.0000,0.0000,0.5000,4.9200,0.0000,Hectarea
Tuzantla,10,1176.4300,302.5500,31.7800,123.1500,588.8800,130.0700,31.7800,Hectarea
Tzintzuntzan,2,40.4100,4.4800,6.0000,6.4800,0.0000,23.4400,6.0000,Hectarea
Tzitzio,1,98.4100,52.0900,0.0000,46.3200,0.0000,0.0000,0.0000,Hectarea
Uruapan,4,90.9700,26.3400,0.0000,50.0000,0.0000,14.6300,0.0000,Hectarea
Venustiano Carranza,1,8.0000,0.0000,8.0000,0.0000,0.0000,0.0000,8.0000,Hectarea
Villamar,2,124.0000,12.0000,0.0000,0.0000,12.0000,100.0000,0.0000,Hectarea
Yurecuaro,3,564.6800,564.6800,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Zacapu,8,827.9800,741.8900,0.0000,19.4500,15.7700,50.8700,0.0000,Hectarea
Zamora,17,3297.5800,3259.4800,0.0000,7.7500,0.0000,30.3500,0.0000,Hectarea
Zinaparo,1,26.6900,23.8200,0.0000,0.0000,0.0000,2.8800,0.0000,Hectarea
Zinapecuaro,8,159.0100,126.1100,5.0000,21.0000,5.0000,1.9000,5.0000,Hectarea
Ziracuaretiro,5,121.4900,22.2000,0.7700,0.0000,51.0000,47.5200,0.7700,Hectarea
Zitacuaro,11,222.6100,157.0500,0.0000,51.6600,0.1000,13.8100,0.0000,Hectarea
Jose Sixto Verduzco,1,4.7000,0.0000,0.0000,4.7000,0.0000,0.0000,0.0000,Hectarea
Morelos,53,4188.5800,1887.5000,173.0200,112.3600,54.4900,1961.2100,173.0200,Hectarea
Amacuzac,1,1.2400,0.0000,0.0000,0.0000,0.0000,1.2400,0.0000,Hectarea
Atlatlahucan,1,25.4400,25.4400,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Axochiapan,1,10.0000,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,Hectarea
Ayala,4,168.1300,142.4800,0.0000,0.0000,25.6500,0.0000,0.0000,Hectarea
Cuautla,1,7.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Cuernavaca,3,264.1200,135.6200,125.0000,0.0000,0.0000,3.5000,125.0000,Hectarea
Huitzilac,1,19.7700,19.7700,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Jantetelco,3,19.6100,10.0000,0.0000,7.0000,0.0000,2.6100,0.0000,Hectarea
Jiutepec,3,1888.5000,51.5000,0.0000,0.0000,0.0000,1837.0000,0.0000,Hectarea
Jojutla,1,4.2200,0.0000,0.0000,0.0000,0.0000,4.2200,0.0000,Hectarea
Mazatepec,1,1.8100,0.0000,0.0000,0.0000,0.0000,1.8100,0.0000,Hectarea
Puente de Ixtla,2,8.2000,8.2000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tepalcingo,5,62.7800,39.2000,0.0000,0.0000,17.3300,6.2500,0.0000,Hectarea
Tepoztlan,1,683.9800,683.9800,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tlalnepantla,1,21.7900,0.0000,0.0000,20.0000,0.0000,1.7900,0.0000,Hectarea
Tlaltizapan,9,584.3900,571.3200,4.2800,5.0000,1.0000,2.7900,4.2800,Hectarea
Tlaquiltenango,6,216.5000,112.5000,0.0000,4.0000,0.0000,100.0000,0.0000,Hectarea
Tlayacapan,1,0.7000,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Xochitepec,3,70.3000,70.3000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Yautepec,2,119.1000,0.0000,43.7400,75.3600,0.0000,0.0000,43.7400,Hectarea
Yecapixtla,1,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Zacualpan de Amilpas,1,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,Hectarea
Temoac,1,9.0000,8.5000,0.0000,0.0000,0.5000,0.0000,0.0000,Hectarea
Nayarit,135,61589.8900,14996.6500,9482.7600,3517.8600,14407.0400,19185.5800,9482.7600,Hectarea
Acaponeta,4,3870.6500,1116.9500,1200.0000,212.9900,600.0000,740.7100,1200.0000,Hectarea
Ahuacatlan,3,139.2100,9.8700,0.0000,3.0000,0.0000,126.3400,0.0000,Hectarea
Amatlan de Cañas,12,1288.0900,1130.4900,0.0000,13.2300,0.0000,144.3700,0.0000,Hectarea
Compostela,12,7123.8800,929.1000,674.1800,31.9400,67.9200,5420.7400,674.1800,Hectarea
Huajicori,2,2142.4400,785.3600,0.0000,10.0000,0.0000,1347.0800,0.0000,Hectarea
Ixtlan del Rio,7,942.4200,722.1500,0.0000,0.0000,1.7800,218.5000,0.0000,Hectarea
Jala,8,5804.9600,4904.1500,6.1900,0.0000,21.9300,872.6900,6.1900,Hectarea
Xalisco,3,24.9700,14.2400,0.0000,0.0000,0.0000,10.7300,0.0000,Hectarea
Del Nayar,19,10373.7100,1818.1200,8.9800,2480.8300,291.8300,5773.9500,8.9800,Hectarea
Rosamorada,6,3246.3000,84.5700,16.9100,55.3800,3084.5900,4.8400,16.9100,Hectarea
Ruiz,1,112.6800,63.1600,0.0000,0.0000,0.0000,49.5200,0.0000,Hectarea
San Blas,7,973.0700,16.0000,297.0000,11.0000,469.0000,180.0700,297.0000,Hectarea
San Pedro Lagunillas,4,505.3200,292.1300,21.4000,175.0000,0.0000,16.7900,21.4000,Hectarea
Santa Maria del Oro,3,298.2800,46.7900,0.0000,19.7900,0.0000,231.6900,0.0000,Hectarea
