INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie de uso comun sin vegetacion,,,,,,,cuadro 11,,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun_sin_vegetacion,superficie_sin_vegetacion_(ha),superficies_sin_vegetacion_(ha)_arenales_o_pedregales,superficies_sin_vegetacion_(ha)_ensalitradas,superficies_sin_vegetacion_(ha)_erosionadas,superficies_sin_vegetacion_(ha)_cubiertas_por_agua,superficies_sin_vegetacion_(ha)_otras_superficies,ensalitradas,unidad_de_medida
Praxedis G. Guerrero,2,1108.0800,1108.0800,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Riva Palacio,4,843.0000,842.0000,0.0000,0.0000,1.0000,0.0000,0.0000,Hectarea
Rosales,1,2654.2200,0.0000,0.0000,0.0000,2654.2200,0.0000,0.0000,Hectarea
Rosario,3,1091.5100,1091.5100,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
San Francisco de Borja,1,46.3800,10.0000,0.0000,10.0000,0.0000,26.3800,0.0000,Hectarea
San Francisco de Conchos,3,6238.9000,4618.1300,30.0000,0.0000,50.0000,1540.7700,30.0000,Hectarea
San Francisco del Oro,2,3944.0400,200.0000,2000.0000,0.0000,0.0000,1744.0400,2000.0000,Hectarea
Santa Barbara,5,225.4500,210.7800,5.0100,9.6600,0.0000,0.0000,5.0100,Hectarea
Saucillo,6,4948.7300,4948.7300,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Temosachi,7,9089.5200,9087.5200,0.0000,2.0000,0.0000,0.0000,0.0000,Hectarea
El Tule,1,50.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Urique,4,2011.5000,1766.2300,0.0000,0.0000,27.0400,218.2300,0.0000,Hectarea
Uruachi,4,63.0800,5.0000,1.0000,0.0000,12.0000,45.0800,1.0000,Hectarea
Valle de Zaragoza,4,2933.1000,125.8300,0.0000,0.0000,15.0000,2792.2700,0.0000,Hectarea
Distrito Federal,5,1015.8200,1013.8200,1.0000,1.0000,0.0000,0.0000,1.0000,Hectarea
La Magdalena Contreras,1,73.2700,73.2700,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Milpa Alta,1,896.1400,896.1400,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Tlahuac,1,2.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,Hectarea
Tlalpan,1,9.2000,9.2000,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Xochimilco,1,35.2100,35.2100,0.0000,0.0000,0.0000,0.0000,0.0000,Hectarea
Durango,370,493167.9300,127202.4800,5477.4300,24723.7700,1595.8600,334168.3900,5477.4300,Hectarea
Canatlan,4,1074.6200,100.0000,562.1000,100.0000,266.6900,45.8200,562.1000,Hectarea
Canelas,1,292.8300,0.5000,0.0000,0.0000,0.0000,292.3300,0.0000,Hectarea
Cuencame,6,3021.3300,57.8900,20.0000,0.0000,0.0000,2943.4400,20.0000,Hectarea
Durango,48,15971.2500,12932.7500,1448.6700,524.4800,319.9400,745.4100,1448.6700,Hectarea
General Simon Bolivar,8,16182.6000,16000.9200,130.1300,51.5500,0.0000,0.0000,130.1300,Hectarea
Gomez Palacio,37,2760.8200,319.1500,616.5500,412.6700,0.0000,1412.4500,616.5500,Hectarea
Guanacevi,19,9838.7800,4547.1600,3.0000,363.9000,0.0000,4924.7100,3.0000,Hectarea
Inde,2,59.8200,39.8200,0.0000,20.0000,0.0000,0.0000,0.0000,Hectarea
Lerdo,12,15090.7700,14342.0100,103.5000,2.2700,0.0000,643.0000,103.5000,Hectarea
Mapimi,25,14780.7700,6485.5400,131.1300,1312.1200,0.2400,6851.7300,131.1300,Hectarea
Mezquital,9,5581.1100,2214.1300,196.1400,3106.4500,13.4800,50.9100,196.1400,Hectarea
Nombre de Dios,5,92.5000,71.0000,0.0000,0.0000,20.0000,1.5000,0.0000,Hectarea
Ocampo,6,885.2900,543.4500,54.9800,51.0000,235.8600,0.0000,54.9800,Hectarea
El Oro,14,17071.6900,10556.1500,27.2600,913.4200,135.1600,5439.7000,27.2600,Hectarea
Otaez,7,2326.3600,2299.7600,6.9600,4.9100,0.9800,13.7600,6.9600,Hectarea
Panuco de Coronado,1,9.9500,3.3200,0.0000,6.6300,0.0000,0.0000,0.0000,Hectarea
Peñon Blanco,3,66.7200,0.0000,5.0000,19.9900,20.0000,21.7300,5.0000,Hectarea
Poanas,4,920.0000,415.0000,480.0000,0.0000,25.0000,0.0000,480.0000,Hectarea
Pueblo Nuevo,17,264583.3700,24010.2900,565.7900,170.0000,0.0000,239837.2900,565.7900,Hectarea
Rodeo,2,19.8200,9.9400,9.8800,0.0000,0.0000,0.0000,9.8800,Hectarea
San Dimas,30,7057.2400,5106.0200,98.5000,44.0000,263.8400,1544.8700,98.5000,Hectarea
San Juan de Guadalupe,2,3220.1500,1214.0100,0.0000,100.0000,0.0000,1906.1400,0.0000,Hectarea
