INEGI. IX Censo Ejidal 2007,,,,,
Total de ejidos y comunidades segun cuenten con grupos para la produccion,,,,,cuadro 33
y ejidatarios participantes por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,con_grupos_para_la_produccion_total,con_grupos_para_la_produccion_ejidatarios_participantes_total,con_grupos_para_la_produccion_ejidatarios_participantes_mujeres,sin_grupos_para_la_produccion
Panuco de Coronado,17,0,0,0,17
Peñon Blanco,5,0,0,0,5
Poanas,20,1,100,3,19
Pueblo Nuevo,24,7, 1 996,789,17
Rodeo,29,1,124,10,28
San Bernardo,24,0,0,0,24
San Dimas,49,8,849,222,41
San Juan de Guadalupe,21,2,37,2,19
San Juan del Río,22,0,0,0,22
San Luis del Cordero,     C,C,100,0,C
San Pedro del Gallo,11,0,0,0,11
Santa Clara,6,0,0,0,6
Santiago Papasquiaro,62,4,94,24,58
Suchil,10,2,52,10,8
Tamazula,49,1,6,6,48
Tepehuanes,26,3,62,5,23
Tlahualilo,57,7,204,53,50
Topia,15,2,65,10,13
Vicente Guerrero,9,1,21,0,8
Nuevo Ideal,29,0,0,0,29
Guanajuato, 1 543,60, 3 269,690, 1 483
Abasolo,47,1,40,2,46
Acambaro,69,1,30,0,68
San Miguel de Allende,61,3,70,11,58
Apaseo el Alto,28,1,10,3,27
Apaseo el Grande,39,1,10,0,38
Atarjea,12,0,0,0,12
Celaya,40,1,60,10,39
Manuel Doblado,33,0,0,0,33
Comonfort,32,1,17,8,31
Coroneo,     C,C,0,0,C
Cortazar,23,1,64,13,22
Cueramaro,15,0,0,0,15
Doctor Mora,5,0,0,0,5
Dolores Hidalgo Cuna de la Independencia Nal.,60,3,46,7,57
Guanajuato,29,0,0,0,29
Huanímaro,20,1,15,4,19
Irapuato,80,1,13,0,79
Jaral del Progreso,15,1,14,0,14
Jerecuaro,42,3,180,14,39
Leon,50,2,26,0,48
Moroleon,8,1,30,10,7
Ocampo,16,5,372,91,11
Penjamo,151,2,102,10,149
Pueblo Nuevo,6,0,0,0,6
Purísima del Rincon,11,0,0,0,11
Romita,47,0,0,0,47
Salamanca,54,2,75,6,52
Salvatierra,58,1,10,4,57
San Diego de la Union,34,1,110,15,33
San Felipe,81,6,884,244,75
San Francisco del Rincon,26,2,103,10,24
San Jose Iturbide,3,0,0,0,3
San Luis de la Paz,24,5,491,154,19
Santa Catarina,     C,C,0,0,C
Santa Cruz de Juventino Rosas,26,0,0,0,26
Santiago Maravatío,9,0,0,0,9
Silao,64,7,125,7,57
Tarandacuao,3,0,0,0,3
Tarimoro,14,0,0,0,14
Tierra Blanca,3,0,0,0,3
Uriangato,9,1,16,1,8
Valle de Santiago,98,0,0,0,98
Victoria,15,1,15,5,14
Villagran,11,3,251,56,8
Xichu,14,1,20,5,13
Yuriria,53,1,70,0,52
Guerrero, 1 259,105, 4 776,970, 1 154
Acapulco de Juarez,45,6,311,57,39
Ahuacuotzingo,28,0,0,0,28
Ajuchitlan del Progreso,39,2,114,16,37
Alcozauca de Guerrero,14,1,150,0,13
Alpoyeca,5,0,0,0,5
Apaxtla,4,0,0,0,4
Arcelia,23,3,24,10,20
Atenango del Río,14,2,60,3,12
Atlamajalcingo del Monte,7,0,0,0,7
Atlixtac,5,1,30,8,4
Atoyac de alvarez,36,7,270,33,29
Ayutla de los Libres,28,1,150,0,27
Azoyu,11,2,24,2,9
Benito Juarez,6,2,90,20,4
Buenavista de Cuellar,7,0,0,0,7
Coahuayutla de Jose María Izazaga,35,2,19,1,33
Cocula,16,0,0,0,16
Copala,6,0,0,0,6
Copalillo,9,2,24,12,7
Copanatoyac,8,0,0,0,8
Coyuca de Benítez,32,5,159,31,27
