INEGI. IX Censo Ejidal 2007,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad no agropecuaria ni forestal,,,,,,,,,,,cuadro 19
por entidad federativa y municipio,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_total,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_materiales_de_construccion,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_otros_minerales,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_pesquera,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_artesanal,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_industrial,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_turistica,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_acuicola,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_otras_actividades,sin_actividades_de_este_tipo
Guadalupe y Calvo,45,14,1,0,3,5,4,1,3,0,31
Guazapares,11,2,1,0,0,1,0,0,1,0,9
Guerrero,50,6,4,0,2,1,2,0,0,0,44
Hidalgo Del Parral,12,1,0,0,0,1,1,0,0,0,11
Huejotitan,8,0,0,0,0,0,0,0,0,0,8
Ignacio Zaragoza,4,0,0,0,0,0,0,0,0,0,4
Janos,14,2,1,0,0,0,0,2,1,0,12
Jimenez,53,3,1,0,0,0,0,1,0,2,50
Juarez,10,7,4,0,0,1,1,4,0,0,3
Julimes,6,0,0,0,0,0,0,0,0,0,6
Lopez,12,1,1,0,0,0,0,1,0,0,11
Madera,20,13,2,1,3,0,1,4,6,2,7
Maguarichi,5,0,0,0,0,0,0,0,0,0,5
Manuel Benavides,14,1,0,0,0,0,0,1,0,0,13
Matachi,5,1,0,0,0,0,1,0,0,0,4
Matamoros,8,4,2,1,1,0,0,1,1,0,4
Meoqui,4,0,0,0,0,0,0,0,0,0,4
Morelos,17,3,0,0,0,2,1,0,0,0,14
Moris,10,1,0,1,0,0,0,0,0,0,9
Namiquipa,12,2,1,0,1,0,0,1,1,0,10
Nonoava,C,C,0,0,0,0,0,0,0,0,C
Nuevo Casas Grandes,C,C,0,0,0,0,0,0,0,0,C
Ocampo,17,5,0,2,0,1,0,1,1,0,12
Ojinaga,33,8,4,2,0,1,0,1,0,0,25
Praxedis G. Guerrero,5,4,4,0,0,0,0,0,0,0,1
Riva Palacio,9,0,0,0,0,0,0,0,0,0,9
Rosales,11,2,0,0,2,0,0,0,0,0,9
Rosario,7,0,0,0,0,0,0,0,0,0,7
San Francisco De Borja,9,3,0,0,1,0,0,1,2,0,6
San Francisco De Conchos,7,3,0,0,2,0,1,3,1,0,4
San Francisco Del Oro,4,2,2,0,0,0,0,0,0,0,2
Santa Barbara,9,1,0,1,0,0,0,0,0,0,8
Satevo,20,0,0,0,0,0,0,0,0,0,20
Saucillo,13,2,2,0,0,0,0,0,1,0,11
Temosachi,13,5,0,1,3,1,0,0,0,0,8
El Tule,4,1,1,0,0,0,0,0,0,0,3
Urique,29,14,1,2,1,13,1,5,0,1,15
Uruachi,19,1,0,0,0,1,0,0,0,0,18
Valle De Zaragoza,15,4,1,0,4,0,0,0,0,0,11
