INEGI. IX Censo Ejidal 2007,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad no agropecuaria ni forestal,,,,,,,,,,,cuadro 19
por entidad federativa y municipio,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_total,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_materiales_de_construccion,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_extraccion_de_otros_minerales,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_pesquera,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_artesanal,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_industrial,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_turistica,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_acuicola,ejidos_y_comunidades_con_actividades_no_agropecuarias_ni_forestales_a_otras_actividades,sin_actividades_de_este_tipo
Ocampo,9,4,1,0,0,1,1,2,1,1,5
Pajacuaran,10,1,1,0,0,0,0,0,0,0,9
Panindicuaro,18,3,2,0,0,0,0,0,1,0,15
Paracuaro,21,0,0,0,0,0,0,0,0,0,21
Paracho,8,5,2,0,0,5,1,0,0,0,3
Patzcuaro,32,6,2,0,3,2,0,2,0,0,26
Penjamillo,22,5,2,0,4,0,0,0,0,0,17
Periban,8,1,0,0,0,0,0,1,0,0,7
La Piedad,26,0,0,0,0,0,0,0,0,0,26
Purepero,3,0,0,0,0,0,0,0,0,0,3
Puruandiro,40,13,5,0,7,1,1,1,3,0,27
Querendaro,10,4,3,1,1,1,2,1,2,0,6
Quiroga,4,3,0,0,3,2,0,0,0,0,1
Cojumatlan De Regules,10,9,1,0,4,0,0,0,7,0,1
Los Reyes,18,4,1,0,0,3,0,0,0,0,14
Sahuayo,5,1,0,0,1,0,1,0,0,0,4
San Lucas,26,4,3,0,0,1,0,0,0,0,22
Santa Ana Maya,8,5,0,0,3,0,0,0,5,0,3
Salvador Escalante,37,4,1,0,1,3,2,1,0,0,33
Senguio,15,3,0,0,0,3,0,3,0,0,12
Susupuato,13,1,1,0,0,0,0,0,0,0,12
Tacambaro,20,3,0,0,0,0,2,0,1,0,17
Tancitaro,12,2,1,0,1,0,0,0,0,0,10
Tangamandapio,10,3,3,0,0,1,0,0,0,0,7
Tangancicuaro,21,3,1,0,0,2,3,0,0,0,18
Tanhuato,12,0,0,0,0,0,0,0,0,0,12
Taretan,14,2,2,0,0,0,0,0,1,0,12
Tarimbaro,29,2,2,0,0,0,0,0,0,0,27
Tepalcatepec,34,4,4,0,0,0,0,0,0,0,30
Tingambato,4,2,1,0,0,1,0,1,0,1,2
Tingüindin,7,1,1,0,0,0,0,0,0,0,6
Tiquicheo De Nicolas Romero,18,2,0,0,2,0,0,0,0,0,16
Tlalpujahua,11,3,0,0,1,2,0,0,0,0,8
Tlazazalca,10,1,0,0,0,0,0,0,1,0,9
Tocumbo,9,0,0,0,0,0,0,0,0,0,9
Tumbiscatio,12,2,2,0,0,0,0,0,0,0,10
Turicato,21,0,0,0,0,0,0,0,0,0,21
Tuxpan,16,0,0,0,0,0,0,0,0,0,16
Tuzantla,28,2,1,0,0,0,0,0,1,0,26
Tzintzuntzan,8,4,0,0,2,3,0,0,0,0,4
Tzitzio,4,0,0,0,0,0,0,0,0,0,4
Uruapan,31,12,5,0,1,4,0,4,0,0,19
Venustiano Carranza,8,2,1,0,2,0,0,0,1,0,6
Villamar,20,8,4,0,1,0,1,0,2,0,12
Vista Hermosa,6,1,0,0,1,0,0,0,0,0,5
Yurecuaro,13,0,0,0,0,0,0,0,0,0,13
Zacapu,24,6,5,0,2,1,1,0,1,0,18
Zamora,26,3,3,0,0,0,0,0,0,0,23
Zinaparo,7,0,0,0,0,0,0,0,0,0,7
Zinapecuaro,31,9,4,3,3,1,1,4,3,0,22
Ziracuaretiro,10,4,2,0,1,0,0,1,0,0,6
Zitacuaro,31,14,3,0,1,6,3,3,5,0,17
Jose Sixto Verduzco,18,3,1,0,2,0,0,0,0,0,15
Morelos,234,102,36,2,25,15,9,27,39,2,132
Amacuzac,4,2,2,0,1,0,0,1,0,0,2
Atlatlahucan,C,C,2,0,0,0,0,0,0,0,C
Axochiapan,7,2,0,0,0,0,0,0,2,0,5
Ayala,16,6,3,0,2,0,0,1,3,0,10
Coatlan Del Rio,5,4,2,0,0,1,2,0,1,0,1
Cuautla,9,6,1,0,1,0,1,2,3,0,3
Cuernavaca,11,6,3,1,1,1,0,1,1,1,5
Emiliano Zapata,6,0,0,0,0,0,0,0,0,0,6
Huitzilac,C,C,1,0,0,1,0,0,0,0,C
Jantetelco,7,4,0,0,1,2,0,1,2,0,3
Jiutepec,7,4,1,0,1,1,0,2,1,1,3
Jojutla,9,4,2,0,0,0,1,2,2,0,5
Jonacatepec,4,1,0,0,0,0,0,0,1,0,3
Mazatepec,C,C,0,0,0,0,0,0,0,0,C
Miacatlan,6,3,1,0,1,1,2,1,1,0,3
Ocuituco,9,1,1,0,0,0,0,0,0,0,8
Puente De Ixtla,9,4,4,0,2,1,1,1,1,0,5
Temixco,8,5,2,0,0,1,0,2,1,0,3
Tepalcingo,10,5,0,0,3,0,0,1,2,0,5
Tepoztlan,C,C,2,0,0,1,0,1,0,0,C
Tetecala,3,2,0,0,2,0,1,0,1,0,1
Tetela Del Volcan,7,3,0,0,0,1,0,0,2,0,4
Tlalnepantla,3,1,0,0,0,1,0,0,0,0,2
Tlaltizapan,17,12,5,0,3,0,0,2,7,0,5
Tlaquiltenango,19,10,2,1,6,1,0,5,4,0,9
Tlayacapan,7,2,1,0,0,1,0,1,0,0,5
Totolapan,6,1,0,0,0,0,0,1,0,0,5
Xochitepec,6,3,0,0,1,0,0,0,2,0,3
Yautepec,10,2,0,0,0,0,0,2,0,0,8
Yecapixtla,11,3,1,0,0,1,1,0,1,0,8
Zacatepec De Hidalgo,3,1,0,0,0,0,0,0,1,0,2
Zacualpan De Amilpas,C,C,0,0,0,0,0,0,0,0,C
Temoac,4,0,0,0,0,0,0,0,0,0,4
Nayarit,404,172,51,6,91,36,22,20,27,4,232
Acaponeta,24,4,0,0,2,0,1,0,1,0,20
Ahuacatlan,8,1,1,0,0,0,0,0,0,0,7
Amatlan De Cañas,17,3,2,0,0,0,0,1,0,0,14
Compostela,31,13,5,1,4,2,2,1,6,0,18
Huajicori,10,2,0,1,0,0,2,0,0,0,8
Ixtlan Del Rio,10,1,1,0,0,0,0,0,0,0,9
Jala,10,2,2,0,0,0,1,0,0,0,8
Xalisco,16,6,3,0,1,0,3,1,0,1,10
Del Nayar,24,21,2,0,13,18,0,2,1,0,3
Rosamorada,32,14,1,0,11,1,0,0,5,1,18
Ruiz,7,5,2,0,2,0,1,1,3,1,2
San Blas,33,16,2,0,14,1,2,2,4,0,17
San Pedro Lagunillas,9,0,0,0,0,0,0,0,0,0,9
Santa Maria Del Oro,17,9,5,0,1,2,4,0,1,0,8
Santiago Ixcuintla,58,24,10,3,12,0,2,1,2,0,34
Tecuala,25,18,2,1,17,0,1,1,1,0,7
Tepic,51,20,7,0,8,8,2,5,2,0,31
Tuxpan,6,4,2,0,2,0,0,0,1,0,2
La Yesca,4,1,0,0,0,1,0,0,0,0,3
Bahia De Banderas,12,8,4,0,4,3,1,5,0,1,4
Nuevo Leon,607,75,15,4,3,7,13,18,22,2,532
Abasolo,C,C,0,0,0,0,0,0,0,0,C
Agualeguas,6,0,0,0,0,0,0,0,0,0,6
Los Aldamas,C,C,0,0,0,0,0,0,0,0,C
Allende,C,C,0,0,0,0,0,0,0,0,C
Anahuac,13,9,1,0,0,0,0,9,0,0,4
Apodaca,C,C,0,0,0,0,0,0,0,0,C
Aramberri,43,4,1,2,0,0,1,1,0,0,39
Bustamante,C,C,0,0,0,1,0,0,0,0,C
Cadereyta Jimenez,32,2,1,0,0,1,0,0,0,1,30
Carmen,C,C,0,0,0,0,1,0,0,0,C
Cerralvo,C,C,1,0,0,0,0,0,0,0,C
Cienega De Flores,C,C,0,0,0,0,0,0,0,0,C
China,4,0,0,0,0,0,0,0,0,0,4
Dr. Arroyo,106,3,2,0,0,0,1,0,0,0,103
Dr. Gonzalez,3,0,0,0,0,0,0,0,0,0,3
Galeana,110,6,2,1,1,0,1,1,0,0,104
Garcia,11,1,1,0,0,0,0,0,0,0,10
Gral. Bravo,C,C,0,0,0,0,0,0,0,0,C
Gral. Escobedo,C,C,0,0,0,1,2,1,0,0,C
Gral. Teran,16,12,0,0,0,0,0,0,12,0,4
Gral. Zaragoza,15,0,0,0,0,0,0,0,0,0,15
Gral. Zuazua,C,C,0,0,0,0,1,0,0,0,C
Guadalupe,C,C,0,0,0,0,0,0,1,0,C
Hualahuises,5,2,0,0,0,0,1,0,1,0,3
Iturbide,12,4,2,0,0,0,0,2,0,1,8
Juarez,4,4,0,0,0,0,1,0,3,0,0
Lampazos De Naranjo,7,0,0,0,0,0,0,0,0,0,7
Linares,68,6,1,0,2,0,1,1,1,0,62
Marin,C,C,0,0,0,0,0,0,1,0,C
Mier y Noriega,14,1,1,0,0,0,1,0,0,0,13
Mina,23,5,0,1,0,2,1,2,0,0,18
Montemorelos,26,2,0,0,0,1,0,0,1,0,24
Monterrey,C,C,0,0,0,0,0,0,1,0,C
Paras,3,0,0,0,0,0,0,0,0,0,3
Pesqueria,8,1,0,0,0,0,0,0,1,0,7
Los Ramones,4,0,0,0,0,0,0,0,0,0,4
Rayones,8,1,1,0,0,0,0,0,0,0,7
Sabinas Hidalgo,9,0,0,0,0,0,0,0,0,0,9
Salinas Victoria,7,1,0,0,0,0,1,0,0,0,6
Hidalgo,C,C,0,0,0,0,0,0,0,0,C
Santa Catarina,5,0,0,0,0,0,0,0,0,0,5
Santiago,9,1,0,0,0,1,0,1,0,0,8
Vallecillo,11,1,1,0,0,0,0,0,0,0,10
Villaldama,5,0,0,0,0,0,0,0,0,0,5
Oaxaca,1632,648,313,14,106,316,59,62,93,20,984
Abejones,C,C,1,0,0,0,0,0,0,0,C
Acatlan De Perez Figueroa,38,9,3,0,2,2,0,0,4,0,29
Asuncion Cacalotepec,C,C,0,0,0,0,0,0,0,0,C
Asuncion Cuyotepeji,C,C,0,0,0,0,0,0,0,0,C
Asuncion Ixtaltepec,11,3,3,0,0,1,1,0,0,0,8
Asuncion Nochixtlan,11,5,2,0,0,2,1,1,0,1,6
Asuncion Tlacolulita,C,C,0,0,0,0,0,0,0,0,C
Ayotzintepec,6,0,0,0,0,0,0,0,0,0,6
El Barrio De la Soledad,C,C,1,0,0,0,1,0,0,0,C
Calihuala,4,0,0,0,0,0,0,0,0,0,4
Candelaria Loxicha,C,C,1,0,0,0,0,0,0,0,C
Cienega De Zimatlan,C,C,0,0,0,0,0,0,0,0,C
Ciudad Ixtepec,C,C,1,0,0,1,0,0,0,0,C
Coatecas Altas,C,C,0,0,0,0,0,0,0,0,C
Coicoyan De las Flores,C,C,0,0,0,0,0,0,0,0,C
La Compañia,C,C,0,0,0,0,0,0,0,0,C
Concepcion Buenavista,4,2,0,0,0,2,0,0,0,0,2
Concepcion Papalo,C,C,0,0,0,0,0,0,0,0,C
Constancia Del Rosario,C,C,0,0,0,0,0,0,0,0,C
Cosolapa,8,3,1,0,0,0,0,0,3,0,5
Cosoltepec,3,1,0,0,0,1,0,0,0,0,2
Cuilapam De Guerrero,4,0,0,0,0,0,0,0,0,0,4
Cuyamecalco Villa De Zaragoza,C,C,0,0,0,0,0,0,0,0,C
Chahuites,C,C,1,0,1,0,0,0,1,0,C
Chalcatongo De Hidalgo,C,C,0,0,0,1,0,0,0,0,C
Chiquihuitlan De Benito Juarez,C,C,1,0,0,1,0,0,1,0,C
Heroica Ciudad De Ejutla De Crespo,13,1,0,0,0,0,0,0,1,0,12
Tamazulapam Del Espiritu Santo,C,C,1,0,0,1,0,0,1,0,C
Fresnillo De Trujano,C,C,0,0,0,0,0,0,0,0,C
Guadalupe Etla,C,C,0,0,0,0,0,0,0,0,C
Guadalupe De Ramirez,C,C,0,0,0,0,0,0,1,0,C
Guelatao De Juarez,C,C,0,0,1,1,0,1,0,0,C
Guevea De Humboldt,C,C,1,0,0,0,0,0,0,0,C
Mesones Hidalgo,3,0,0,0,0,0,0,0,0,0,3
Villa Hidalgo,C,C,0,0,0,0,0,0,0,0,C
Heroica Ciudad De Huajuapan De Leon,8,5,3,0,1,3,1,0,0,0,3
Huautepec,C,C,0,0,0,0,0,0,1,0,C
Ixtlan De Juarez,10,6,4,0,0,2,1,1,3,0,4
Heroica Ciudad De Juchitan De Zaragoza,5,5,0,0,4,2,2,0,1,0,0
Loma Bonita,37,1,0,0,0,1,0,0,0,0,36
Magdalena Apasco,4,2,2,1,0,2,2,0,0,0,2
Magdalena Jaltepec,C,C,1,0,0,1,0,0,0,0,C
Santa Magdalena Jicotlan,C,C,0,0,0,0,0,0,0,0,C
Magdalena Mixtepec,C,C,0,0,0,0,0,0,0,0,C
Magdalena Ocotlan,C,C,0,0,0,1,0,0,0,0,C
Magdalena Peñasco,C,C,1,0,0,1,0,0,0,0,C
Magdalena Teitipac,C,C,0,0,0,0,0,0,0,0,C
Magdalena Tequisistlan,3,1,1,0,0,0,0,0,0,0,2
Magdalena Tlacotepec,C,C,0,0,0,1,0,1,0,1,C
Magdalena Zahuatlan,C,C,0,0,0,0,0,0,0,0,C
Mariscala De Juarez,3,1,1,0,0,0,0,0,0,0,2
Martires De Tacubaya,C,C,1,0,1,1,0,0,0,0,C
Matias Romero Avendaño,24,6,2,0,3,0,0,0,1,0,18
Miahuatlan De Porfirio Diaz,9,1,1,0,0,0,1,0,0,0,8
Mixistlan De la Reforma,C,C,0,0,0,0,0,0,0,0,C
Monjas,C,C,0,0,0,0,0,0,0,0,C
Nazareno Etla,C,C,0,0,0,0,0,0,0,0,C
Nejapa De Madero,9,1,1,0,0,1,0,0,0,0,8
Ixpantepec Nieves,3,2,1,0,0,2,0,0,0,0,1
Santiago Niltepec,4,1,0,0,1,0,0,0,0,0,3
Oaxaca De Juarez,9,2,2,0,0,0,0,0,0,0,7
Ocotlan De Morelos,10,4,2,0,0,3,0,0,0,0,6
"La ""Pe""",C,C,0,0,0,0,0,0,0,0,C
Pinotepa De Don Luis,C,C,0,0,0,1,0,0,0,0,C
San Jose Del Progreso,C,C,0,1,0,0,0,0,0,0,C
Putla Villa De Guerrero,15,7,4,0,1,2,1,0,2,0,8
Santa Catarina Quioquitani,C,C,0,0,0,0,0,0,0,0,C
Reforma De Pineda,C,C,1,0,0,0,0,0,0,0,C
La Reforma,4,3,3,0,0,0,0,0,0,0,1
Reyes Etla,C,C,1,0,0,0,1,0,0,0,C
Rojas De Cuauhtemoc,C,C,0,0,0,0,0,0,1,0,C
Salina Cruz,3,2,1,0,1,0,0,0,0,0,1
San Agustin Amatengo,C,C,1,0,0,0,0,0,0,0,C
San Agustin Atenango,C,C,0,0,0,1,0,0,0,0,C
San Agustin Chayuco,5,0,0,0,0,0,0,0,0,0,5
San Agustin De las Juntas,C,C,1,0,0,1,1,0,0,0,C
San Agustin Etla,C,C,0,0,0,0,0,1,0,0,C
San Agustin Loxicha,C,C,1,0,0,0,0,0,1,0,C
San Agustin Tlacotepec,C,C,0,0,0,0,0,0,0,0,C
San Agustin Yatareni,C,C,1,0,0,1,0,0,0,0,C
San Andres Cabecera Nueva,C,C,1,0,0,0,0,0,1,0,C
San Andres Dinicuiti,3,2,1,0,0,2,0,0,0,0,1
San Andres Huaxpaltepec,C,C,1,0,0,1,0,0,0,0,C
San Andres Huayapam,C,C,0,0,0,0,1,0,0,0,C
San Andres Ixtlahuaca,C,C,0,0,0,0,0,0,0,0,C
San Andres Lagunas,C,C,0,0,0,1,0,0,0,0,C
San Andres Nuxiño,C,C,0,0,0,1,0,0,0,0,C
San Andres Sinaxtla,C,C,0,0,0,0,0,0,0,0,C
San Andres Solaga,3,1,0,0,0,1,0,0,0,0,2
San Andres Teotilalpam,C,C,2,0,0,0,0,0,0,0,C
San Andres Yaa,C,C,1,0,0,1,0,0,0,0,C
San Andres Zabache,C,C,0,0,0,0,0,0,0,0,C
San Andres Zautla,3,1,1,0,0,0,0,0,0,0,2
San Antonino Castillo Velasco,C,C,0,0,0,1,0,0,0,0,C
San Antonino el Alto,C,C,0,0,0,0,0,0,0,0,C
San Antonino Monte Verde,C,C,0,0,0,0,0,0,0,0,C
San Antonio Acutla,C,C,0,0,0,1,0,0,0,0,C
San Antonio De la Cal,C,C,0,0,0,0,0,0,0,0,C
San Antonio Huitepec,C,C,1,0,0,0,0,0,0,0,C
San Antonio Nanahuatipam,3,0,0,0,0,0,0,0,0,0,3
San Antonio Sinicahua,C,C,1,0,0,1,0,0,0,0,C
San Antonio Tepetlapa,3,2,1,0,1,1,0,0,0,0,1
San Baltazar Chichicapam,C,C,1,0,0,1,0,0,0,0,C
San Baltazar Loxicha,C,C,2,0,0,0,0,0,0,0,C
San Baltazar Yatzachi el Bajo,4,3,1,0,0,1,0,0,0,1,1
San Bartolo Coyotepec,4,2,1,1,0,1,0,0,1,0,2
San Bartolome Ayautla,C,C,0,0,0,1,0,0,1,0,C
San Bartolome Loxicha,C,C,0,0,0,1,0,0,1,0,C
San Bartolome Quialana,C,C,0,0,0,0,0,0,0,0,C
San Bartolome Yucuañe,C,C,0,0,0,1,0,0,0,0,C
San Bartolome Zoogocho,C,C,0,0,0,0,0,0,0,0,C
San Bartolo Soyaltepec,C,C,1,0,0,0,0,0,0,0,C
San Bartolo Yautepec,C,C,0,0,1,0,0,0,1,0,C
San Bernardo Mixtepec,3,2,2,0,0,0,0,0,0,0,1
San Blas Atempa,C,C,1,0,1,1,0,0,0,0,C
San Carlos Yautepec,18,6,0,1,0,4,1,0,0,0,12
San Cristobal Amatlan,4,3,1,0,0,3,0,0,0,0,1
San Cristobal Amoltepec,C,C,0,0,0,0,0,0,0,0,C
San Cristobal Suchixtlahuaca,C,C,0,0,0,0,0,0,0,0,C
San Dionisio Del Mar,C,C,0,0,1,0,0,0,0,0,C
San Dionisio Ocotepec,5,3,0,0,0,2,1,0,0,0,2
San Dionisio Ocotlan,C,C,0,0,0,0,0,0,0,0,C
San Esteban Atatlahuca,C,C,0,0,0,1,0,0,0,0,C
San Felipe Jalapa De Diaz,12,1,0,0,0,1,0,0,0,0,11
San Felipe Tejalapam,C,C,1,0,0,0,0,0,0,0,C
San Felipe Usila,8,4,0,0,0,4,0,0,0,0,4
San Francisco Cahuacua,C,C,0,0,0,0,0,0,0,0,C
San Francisco Cajonos,C,C,1,0,0,2,0,0,0,0,C
San Francisco Chapulapa,C,C,0,0,0,0,0,0,0,0,C
San Francisco Chindua,C,C,0,0,0,0,0,0,0,0,C
San Francisco Del Mar,C,C,1,0,1,1,0,0,1,0,C
San Francisco Huehuetlan,C,C,0,0,0,0,0,0,0,0,C
San Francisco Ixhuatan,3,3,0,0,3,0,0,0,1,0,0
San Francisco Jaltepetongo,C,C,0,0,0,1,0,0,0,0,C
San Francisco Lachigolo,C,C,0,0,0,0,0,0,1,0,C
San Francisco Nuxaño,C,C,0,0,0,0,0,0,0,0,C
San Francisco Ozolotepec,3,0,0,0,0,0,0,0,0,0,3
San Francisco Sola,C,C,0,0,0,0,0,0,1,0,C
San Francisco Telixtlahuaca,C,C,1,0,0,0,0,0,1,0,C
San Francisco Teopan,C,C,0,0,0,0,0,0,0,0,C
San Francisco Tlapancingo,C,C,1,0,0,0,0,0,0,0,C
San Gabriel Mixtepec,C,C,1,0,0,0,0,0,0,0,C
San Ildefonso Amatlan,C,C,0,0,0,1,0,0,0,0,C
San Ildefonso Sola,C,C,1,0,0,1,0,0,0,0,C
San Ildefonso Villa Alta,5,3,3,0,0,1,0,0,0,0,2
San Jacinto Amilpas,C,C,0,0,0,0,0,0,0,0,C
San Jacinto Tlacotepec,C,C,0,0,0,0,0,0,0,0,C
San Jeronimo Coatlan,C,C,0,0,0,0,0,0,0,0,C
San Jeronimo Silacayoapilla,C,C,1,0,0,1,0,0,0,0,C
San Jeronimo Sosola,6,1,0,0,0,1,0,0,0,0,5
San Jeronimo Taviche,C,C,0,0,0,0,0,0,0,0,C
San Jeronimo Tecoatl,C,C,0,0,0,0,0,0,0,0,C
San Jorge Nuchita,3,1,1,0,0,0,0,0,0,0,2
San Jose Ayuquila,C,C,0,0,0,0,0,0,0,0,C
San Jose Chiltepec,11,0,0,0,0,0,0,0,0,0,11
San Jose Del Peñasco,C,C,0,0,0,0,0,0,0,0,C
San Jose Estancia Grande,C,C,1,0,0,1,0,0,0,0,C
San Jose Tenango,C,C,0,0,0,0,0,0,0,0,C
San Juan Achiutla,C,C,1,0,0,0,0,0,0,0,C
San Juan Atepec,C,C,1,0,1,0,0,0,1,0,C
Animas Trujano,C,C,0,0,0,0,0,0,0,0,C
San Juan Bautista Atatlahuca,3,1,0,0,0,1,0,0,0,0,2
San Juan Bautista Coixtlahuaca,3,2,1,0,0,1,0,0,0,0,1
San Juan Bautista Cuicatlan,16,7,4,0,0,3,0,0,0,0,9
San Juan Bautista Guelache,3,0,0,0,0,0,0,0,0,0,3
San Juan Bautista Jayacatlan,C,C,1,0,0,0,0,0,0,0,C
San Juan Bautista lo De Soto,C,C,1,0,0,0,0,0,0,0,C
San Juan Bautista Suchitepec,C,C,0,0,1,1,0,1,1,0,C
San Juan Bautista Tlacoatzintepec,C,C,0,0,0,1,0,0,0,0,C
San Juan Bautista Tlachichilco,C,C,1,0,0,0,0,0,0,0,C
San Juan Bautista Tuxtepec,68,15,4,0,3,1,3,0,5,2,53
San Juan Cacahuatepec,6,4,1,1,0,1,0,0,1,1,2
San Juan Cieneguilla,C,C,0,0,0,0,0,0,0,0,C
San Juan Coatzospam,C,C,1,0,0,0,0,0,0,0,C
San Juan Colorado,6,5,3,0,0,3,1,1,0,0,1
San Juan Comaltepec,3,0,0,0,0,0,0,0,0,0,3
San Juan Cotzocon,18,3,1,0,2,0,0,0,1,0,15
San Juan Chicomezuchil,C,C,1,0,0,0,0,0,0,0,C
San Juan Chilateca,C,C,0,0,0,0,0,0,0,0,C
San Juan Del Estado,C,C,0,0,0,0,0,0,0,0,C
San Juan Del Rio,C,C,1,0,0,1,0,0,1,0,C
San Juan Diuxi,C,C,1,0,0,0,0,0,0,0,C
San Juan Evangelista Analco,C,C,0,0,0,1,0,0,1,1,C
San Juan Guelavia,C,C,0,0,0,0,0,0,0,0,C
San Juan Guichicovi,31,9,1,0,2,7,0,0,0,0,22
San Juan Ihualtepec,C,C,1,0,0,0,0,0,0,0,C
San Juan Juquila Mixes,C,C,1,0,0,0,0,0,0,0,C
San Juan Juquila Vijanos,C,C,0,0,0,1,0,0,0,0,C
San Juan Lachao,C,C,0,0,0,0,0,0,0,0,C
San Juan Lachigalla,4,0,0,0,0,0,0,0,0,0,4
San Juan Lajarcia,C,C,1,0,0,1,0,0,0,0,C
San Juan Lalana,4,1,1,1,1,1,1,1,1,0,3
San Juan De los Cues,C,C,1,0,0,0,0,0,1,0,C
San Juan Mazatlan,20,3,2,0,1,1,0,0,0,0,17
San Juan Mixtepec -Dto. 08-,C,C,1,0,0,1,0,0,0,0,C
San Juan Mixtepec -Dto. 26-,C,C,0,0,0,1,0,0,0,0,C
San Juan Ñumi,3,2,1,0,0,2,0,0,0,0,1
San Juan Ozolotepec,4,0,0,0,0,0,0,0,0,0,4
San Juan Petlapa,6,5,1,0,1,4,1,1,0,0,1
San Juan Quiahije,C,C,1,0,0,0,1,0,0,0,C
San Juan Quiotepec,4,0,0,0,0,0,0,0,0,0,4
San Juan Sayultepec,3,1,1,0,0,0,0,0,0,0,2
San Juan Tabaa,C,C,1,0,0,0,0,0,0,0,C
San Juan Tamazola,C,C,0,0,0,0,0,0,0,0,C
San Juan Teita,C,C,1,0,0,1,0,0,1,0,C
San Juan Teitipac,C,C,0,0,0,1,0,0,0,0,C
San Juan Tepeuxila,5,0,0,0,0,0,0,0,0,0,5
San Juan Teposcolula,C,C,0,0,0,0,0,0,0,0,C
San Juan Yaee,3,3,0,0,0,3,0,0,0,0,0
San Juan Yatzona,C,C,1,0,0,0,0,0,0,0,C
San Juan Yucuita,C,C,0,0,0,0,0,0,0,0,C
San Lorenzo,3,3,0,0,0,3,0,0,0,0,0
San Lorenzo Albarradas,3,3,1,0,0,3,0,1,0,0,0
San Lorenzo Cacaotepec,3,1,1,0,0,0,0,0,0,0,2
San Lorenzo Texmelucan,C,C,0,0,0,0,0,0,0,0,C
San Lorenzo Victoria,C,C,1,0,0,0,0,0,0,0,C
San Lucas Camotlan,C,C,0,0,0,0,0,0,0,0,C
San Lucas Ojitlan,31,12,1,0,11,2,0,0,0,0,19
San Lucas Quiavini,C,C,1,0,0,0,0,0,0,0,C
San Luis Amatlan,C,C,1,0,0,1,0,0,0,0,C
San Marcos Arteaga,3,1,1,0,0,0,0,1,0,0,2
San Martin De los Cansecos,C,C,0,0,0,0,0,0,0,0,C
San Martin Huamelulpam,C,C,1,1,0,0,0,0,0,0,C
San Martin Itunyoso,C,C,0,0,0,2,0,0,0,0,C
San Martin Lachila,C,C,0,0,0,1,0,0,0,0,C
San Martin Peras,C,C,0,0,0,0,0,0,0,0,C
San Martin Tilcajete,C,C,0,0,0,0,0,0,0,0,C
San Martin Toxpalan,C,C,1,0,0,0,0,0,0,0,C
San Mateo Cajonos,C,C,1,0,0,1,0,0,0,0,C
Capulalpam De Mendez,C,C,1,0,0,1,1,1,1,0,C
San Mateo Del Mar,C,C,1,0,1,1,0,0,1,0,C
San Mateo Etlatongo,C,C,0,0,0,0,0,0,0,0,C
San Mateo Nejapam,C,C,0,0,0,0,0,0,0,0,C
San Mateo Peñasco,C,C,0,0,0,0,0,0,0,0,C
San Mateo Rio Hondo,C,C,0,0,0,0,0,0,0,0,C
San Mateo Sindihui,C,C,1,0,0,0,0,0,0,0,C
San Mateo Tlapiltepec,C,C,0,0,0,0,0,0,0,0,C
San Melchor Betaza,C,C,0,0,0,0,0,0,0,0,C
San Miguel Achiutla,C,C,1,0,0,0,0,0,0,0,C
San Miguel Aloapam,C,C,0,0,0,0,0,0,1,0,C
San Miguel Amatitlan,9,5,1,0,0,3,2,0,0,0,4
San Miguel Coatlan,C,C,0,0,0,1,0,0,0,0,C
San Miguel Chicahua,C,C,0,0,0,0,0,0,0,0,C
San Miguel Chimalapa,C,C,0,0,0,0,0,0,0,0,C
San Miguel Del Puerto,3,2,1,0,1,1,0,2,1,0,1
San Miguel Ejutla,C,C,0,0,0,0,0,0,0,0,C
San Miguel el Grande,C,C,1,0,0,1,0,0,0,0,C
San Miguel Huautla,C,C,1,0,0,1,0,0,0,0,C
San Miguel Mixtepec,C,C,0,0,0,0,0,0,0,0,C
San Miguel Panixtlahuaca,C,C,0,0,0,1,0,0,0,0,C
San Miguel Peras,C,C,1,0,0,0,0,0,1,0,C
San Miguel Piedras,C,C,0,0,0,1,0,0,1,0,C
San Miguel Quetzaltepec,C,C,0,0,0,0,0,0,0,0,C
San Miguel Santa Flor,C,C,1,0,0,0,0,0,0,0,C
Villa Sola De Vega,6,4,2,0,0,2,0,1,0,1,2
San Miguel Soyaltepec,35,12,3,0,9,3,0,0,4,0,23
San Miguel Suchixtepec,C,C,0,0,0,0,0,0,0,0,C
Villa Talea De Castro,3,2,0,0,0,1,1,0,1,0,1
San Miguel Tecomatlan,C,C,0,0,0,0,0,0,0,0,C
San Miguel Tenango,C,C,1,0,0,1,0,0,0,0,C
San Miguel Tequixtepec,C,C,0,0,0,0,0,1,0,0,C
San Miguel Tilquiapam,C,C,1,0,0,1,1,0,0,0,C
San Miguel Tlacamama,4,3,1,0,2,0,0,0,0,0,1
