INEGI. IX Censo Ejidal 2007,,,,,
Ejidos y comunidades sin permanencia de la mayoria de los jovenes,,,,,cuadro 17
segun lugar de destino por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_sin_permanencia_de_la_mayoria_de_los_jovenes,lugar_de_destino_dentro_del_pais_areas_urbanas,lugar_de_destino_dentro_del_pais_areas rurales,lugar_de_destino_fuera_del_pais_a_estados_unidos,lugar_de_destino_fuera_del_pais_a_otro_pais
Santa Maria Mixtequilla,0,0,0,0,0
Santa Maria Nativitas,0,0,0,0,0
Santa Maria Nduayaco,2,1,0,1,0
Santa Maria Papalo,0,0,0,0,0
Santa Maria Peñoles,1,1,0,0,0
Santa Maria Petapa,0,0,0,0,0
Santa Maria Quiegolani,0,0,0,0,0
Santa Maria Sola,2,0,0,2,0
Santa Maria Tataltepec,0,0,0,0,0
Santa Maria Tecomavaca,0,0,0,0,0
Santa Maria Temaxcalapa,0,0,0,0,0
Santa Maria Temaxcaltepec,0,0,0,0,0
Santa Maria Teopoxco,0,0,0,0,0
Santa Maria Tepantlali,0,0,0,0,0
Santa Maria Texcatitlan,0,0,0,0,0
Santa Maria Tlahuitoltepec,1,1,0,0,0
Santa Maria Tlalixtac,0,0,0,0,0
Santa Maria Tonameca,1,0,0,1,0
Santa Maria Totolapilla,1,0,0,1,0
Santa Maria Yalina,1,0,0,1,0
Santa Maria Yolotepec,1,1,0,0,0
Santa Maria Yosoyua,1,0,0,1,0
Santa Maria Yucuhiti,0,0,0,0,0
Santa Maria Zacatepec,1,0,0,1,0
Santa Maria Zaniza,0,0,0,0,0
Santa Maria Zoquitlan,1,0,0,1,0
Santiago Amoltepec,1,0,0,1,0
Santiago Apoala,1,1,0,0,0
Santiago Astata,0,0,0,0,0
Santiago Atitlan,0,0,0,0,0
Santiago Ayuquililla,1,0,0,1,0
Santiago Cacaloxtepec,1,1,0,0,0
Santiago Camotlan,2,0,0,2,0
Santiago Comaltepec,1,1,0,0,0
Santiago Chazumba,6,5,0,1,0
Santiago Choapam,1,1,0,0,0
Santiago del Rio,2,0,0,2,0
Santiago Huajolotitlan,6,1,0,5,0
Santiago Huauclilla,0,0,0,0,0
Santiago Ihuitlan Plumas,1,1,0,0,0
Santiago Ixcuintepec,0,0,0,0,0
Santiago Ixtayutla,2,0,0,2,0
Santiago Jamiltepec,4,0,0,4,0
Santiago Jocotepec,15,4,0,11,0
Santiago Juxtlahuaca,3,0,0,3,0
Santiago Lachiguiri,0,0,0,0,0
Santiago Lalopa,0,0,0,0,0
Santiago Laollaga,1,1,0,0,0
Santiago Laxopa,0,0,0,0,0
Santiago Llano Grande,0,0,0,0,0
Santiago Matatlan,0,0,0,0,0
Santiago Minas,1,0,0,1,0
Santiago Nacaltepec,3,2,0,1,0
Santiago Nejapilla,1,1,0,0,0
Santiago Nundiche,0,0,0,0,0
Santiago Nuyoo,0,0,0,0,0
Santiago Pinotepa Nacional,5,0,1,4,0
Santiago Suchilquitongo,1,1,0,0,0
Santiago Tamazola,4,0,0,4,0
Santiago Tapextla,1,0,0,1,0
Villa Tejupam de la Union,0,0,0,0,0
Santiago Tenango,0,0,0,0,0
Santiago Tepetlapa,0,0,0,0,0
Santiago Tetepec,2,1,0,1,0
Santiago Texcalcingo,0,0,0,0,0
Santiago Textitlan,1,0,0,1,0
Santiago Tilantongo,0,0,0,0,0
Santiago Tillo,1,0,0,1,0
Santiago Tlazoyaltepec,1,0,0,1,0
Santiago Xanica,0,0,0,0,0
Santiago Xiacui,0,0,0,0,0
Santiago Yaitepec,1,0,0,1,0
Santiago Yaveo,2,0,0,2,0
Santiago Yosondua,2,0,0,2,0
Santiago Yucuyachi,1,0,0,1,0
Santiago Zacatepec,0,0,0,0,0
Santiago Zoochila,1,0,0,1,0
Nuevo Zoquiapam,0,0,0,0,0
Santo Domingo Ingenio,1,0,0,1,0
Santo Domingo Albarradas,1,0,0,1,0
Santo Domingo Armenta,0,0,0,0,0
Santo Domingo Chihuitan,1,1,0,0,0
Santo Domingo de Morelos,0,0,0,0,0
Santo Domingo Ixcatlan,1,0,0,1,0
Santo Domingo Nuxaa,0,0,0,0,0
Santo Domingo Ozolotepec,0,0,0,0,0
Santo Domingo Petapa,0,0,0,0,0
Santo Domingo Roayaga,0,0,0,0,0
Santo Domingo Tehuantepec,2,0,1,1,0
Santo Domingo Teojomulco,0,0,0,0,0
Santo Domingo Tepuxtepec,0,0,0,0,0
Santo Domingo Tlatayapam,1,1,0,0,0
Santo Domingo Tomaltepec,0,0,0,0,0
Santo Domingo Tonala,3,1,0,2,0
Santo Domingo Tonaltepec,1,1,0,0,0
Santo Domingo Xagacia,0,0,0,0,0
Santo Domingo Yanhuitlan,0,0,0,0,0
Santo Domingo Zanatepec,1,1,0,0,0
Santos Reyes Nopala,1,0,0,1,0
Santos Reyes Papalo,0,0,0,0,0
Santos Reyes Tepejillo,1,0,0,1,0
Santos Reyes Yucuna,1,1,0,0,0
Santo Tomas Jalieza,0,0,0,0,0
Santo Tomas Mazaltepec,1,0,0,1,0
Santo Tomas Ocotepec,1,0,0,1,0
San Vicente Coatlan,0,0,0,0,0
San Vicente Lachixio,1,0,0,1,0
San Vicente Nuñu,0,0,0,0,0
Silacayoapam,7,0,0,7,0
Soledad Etla,0,0,0,0,0
Villa de Tamazulapam del Progreso,0,0,0,0,0
Tanetze de Zaragoza,0,0,0,0,0
Taniche,0,0,0,0,0
Tataltepec de Valdes,1,0,0,1,0
Teococuilco de Marcos Perez,1,0,1,0,0
Teotitlan de Flores Magon,2,1,0,1,0
Teotitlan del Valle,0,0,0,0,0
Teotongo,1,0,0,1,0
Tepelmeme Villa de Morelos,1,1,0,0,0
Tezoatlan de Segura y Luna,8,0,0,8,0
San Jeronimo Tlacochahuaya,1,0,0,1,0
Tlacolula de Matamoros,2,0,0,2,0
Tlacotepec Plumas,1,1,0,0,0
Tlalixtac de Cabrera,0,0,0,0,0
Totontepec Villa de Morelos,7,4,0,3,0
Trinidad Zaachila,1,0,0,1,0
La Trinidad Vista Hermosa,1,0,0,1,0
Valerio Trujano,1,1,0,0,0
San Juan Bautista Valle Nacional,11,1,0,10,0
Villa Diaz Ordaz,3,0,0,3,0
Yaxe,0,0,0,0,0
Magdalena Yodocono de Porfirio Diaz,0,0,0,0,0
Yogana,2,0,0,2,0
Yutanduchi de Guerrero,0,0,0,0,0
Villa de Zaachila,1,0,0,1,0
Zapotitlan del Rio,0,0,0,0,0
Zapotitlan Lagunas,1,0,0,1,0
Zapotitlan Palmas,0,0,0,0,0
Santa Ines de Zaragoza,0,0,0,0,0
Zimatlan de alvarez,3,1,0,2,0
Puebla,517,139,19,358,1
Acajete,6,4,0,2,0
Acateno,3,1,1,1,0
Acatlan,14,0,0,14,0
Acatzingo,7,3,2,2,0
Acteopan,2,0,0,2,0
Ahuacatlan,1,0,0,1,0
Ahuatlan,0,0,0,0,0
Ahuazotepec,2,1,0,1,0
Ahuehuetitla,3,0,0,3,0
Ajalpan,0,0,0,0,0
Albino Zertuche,1,0,0,1,0
Aljojuca,2,0,0,2,0
Altepexi,0,0,0,0,0
Amixtlan,0,0,0,0,0
Amozoc,3,0,0,3,0
Aquixtla,3,2,0,1,0
Atexcal,5,1,1,3,0
Atlixco,7,0,0,7,0
Atoyatempan,0,0,0,0,0
Atzala,0,0,0,0,0
Atzitzihuacan,5,0,0,5,0
Atzitzintla,0,0,0,0,0
Axutla,0,0,0,0,0
Ayotoxco de Guerrero,2,0,1,1,0
Calpan,2,0,0,2,0
Caltepec,5,3,0,2,0
Camocuautla,1,1,0,0,0
Caxhuacan,0,0,0,0,0
Coatzingo,2,0,0,2,0
Cohetzala,2,0,0,2,0
Cohuecan,1,0,0,1,0
Coronango,0,0,0,0,0
Coxcatlan,0,0,0,0,0
Coyomeapan,2,0,0,2,0
Coyotepec,3,3,0,0,0
Cuapiaxtla de Madero,0,0,0,0,0
Cuautempan,1,1,0,0,0
Cuautinchan,5,4,1,0,0
Cuautlancingo,0,0,0,0,0
Cuayuca de Andrade,3,0,1,2,0
Cuetzalan del Progreso,0,0,0,0,0
Cuyoaco,9,6,0,3,0
Chalchicomula de Sesma,13,1,0,12,0
Chapulco,1,0,0,1,0
Chiautla,0,0,0,0,0
Chiautzingo,1,0,0,1,0
Chiconcuautla,0,0,0,0,0
Chietla,8,0,0,8,0
Chignahuapan,25,4,0,21,0
Chignautla,1,0,0,1,0
Chila,1,0,0,1,0
Chila de la Sal,1,0,0,1,0
Honey,1,0,0,1,0
Chilchotla,1,1,0,0,0
Chinantla,3,0,0,3,0
Domingo Arenas,1,0,0,1,0
Eloxochitlan,0,0,0,0,0
Epatlan,2,0,0,2,0
Esperanza,3,1,0,2,0
Francisco Z. Mena,8,8,0,0,0
General Felipe angeles,3,1,1,0,1
Guadalupe,2,0,0,2,0
Guadalupe Victoria,4,4,0,0,0
Huaquechula,16,0,0,16,0
Huatlatlauca,5,2,0,3,0
Huauchinango,0,0,0,0,0
Huehuetlan el Chico,2,0,0,2,0
Huejotzingo,5,1,0,4,0
Hueytamalco,7,2,2,3,0
Hueytlalpan,1,0,0,1,0
Huitzilan de Serdan,0,0,0,0,0
Ixcamilpa de Guerrero,3,0,1,2,0
Ixcaquixtla,3,1,0,2,0
Ixtacamaxtitlan,13,7,0,6,0
Izucar de Matamoros,14,0,0,14,0
Jalpan,4,2,0,2,0
Jolalpan,7,0,0,7,0
Jonotla,1,0,0,1,0
Jopala,0,0,0,0,0
Juan C. Bonilla,1,0,0,1,0
Juan N. Mendez,1,0,0,1,0
Lafragua,2,2,0,0,0
Libres,3,1,1,1,0
La Magdalena Tlatlauquitepec,0,0,0,0,0
Mazapiltepec de Juarez,3,1,0,2,0
Mixtla,0,0,0,0,0
Molcaxac,3,0,0,3,0
Cañada Morelos,1,0,0,1,0
Nicolas Bravo,0,0,0,0,0
Nopalucan,1,0,0,1,0
Ocotepec,1,0,0,1,0
Ocoyucan,3,0,0,3,0
Olintla,1,0,0,1,0
Oriental,3,2,0,1,0
Pahuatlan,1,1,0,0,0
Palmar de Bravo,2,0,0,2,0
Pantepec,13,10,0,3,0
Petlalcingo,3,1,0,2,0
Piaxtla,5,0,0,5,0
Puebla,2,0,0,2,0
Quecholac,3,1,0,2,0
Rafael Lara Grajales,1,1,0,0,0
Los Reyes de Juarez,2,0,2,0,0
San Andres Cholula,0,0,0,0,0
San Antonio Cañada,2,0,0,2,0
San Diego la Mesa Tochimiltzingo,1,0,0,1,0
San Felipe Teotlalcingo,0,0,0,0,0
San Gabriel Chilac,1,0,0,1,0
San Jeronimo Tecuanipan,1,0,0,1,0
San Jeronimo Xayacatlan,3,2,0,1,0
San Jose Chiapa,1,0,0,1,0
San Jose Miahuatlan,6,1,1,4,0
San Juan Atenco,5,2,0,3,0
San Martin Texmelucan,1,0,0,1,0
San Martin Totoltepec,0,0,0,0,0
San Matias Tlalancaleca,0,0,0,0,0
San Miguel Xoxtla,0,0,0,0,0
San Nicolas Buenos Aires,2,2,0,0,0
San Nicolas de los Ranchos,0,0,0,0,0
San Pablo Anicano,6,0,0,6,0
San Pedro Cholula,0,0,0,0,0
San Pedro Yeloixtlahuaca,2,0,0,2,0
San Salvador el Seco,3,3,0,0,0
San Salvador el Verde,0,0,0,0,0
San Salvador Huixcolotla,0,0,0,0,0
San Sebastian Tlacotepec,0,0,0,0,0
Santa Catarina Tlaltempan,1,1,0,0,0
Santa Ines Ahuatempan,1,0,0,1,0
Santa Isabel Cholula,0,0,0,0,0
Santiago Miahuatlan,0,0,0,0,0
Huehuetlan el Grande,4,0,0,4,0
Santo Tomas Hueyotlipan,0,0,0,0,0
Soltepec,1,1,0,0,0
Tecali de Herrera,2,1,0,1,0
Tecamachalco,1,0,0,1,0
Tecomatlan,2,0,0,2,0
Tehuacan,2,0,0,2,0
Tehuitzingo,9,0,0,9,0
Tenampulco,8,5,1,2,0
Teopantlan,2,1,0,1,0
Teotlalco,1,0,0,1,0
Tepanco de Lopez,0,0,0,0,0
Tepatlaxco de Hidalgo,0,0,0,0,0
Tepeaca,5,0,0,5,0
Tepemaxalco,2,0,0,2,0
Tepeojuma,8,0,0,8,0
Tepetzintla,1,1,0,0,0
Tepexco,1,0,0,1,0
Tepexi de Rodriguez,8,4,1,3,0
Tepeyahualco,4,3,0,1,0
Tepeyahualco de Cuauhtemoc,0,0,0,0,0
Tetela de Ocampo,2,1,0,1,0
Teziutlan,1,0,1,0,0
Tianguismanalco,3,0,0,3,0
Tilapa,7,0,0,7,0
Tlacotepec de Benito Juarez,2,0,1,1,0
Tlacuilotepec,4,2,0,2,0
Tlachichuca,6,0,0,6,0
Tlahuapan,5,2,0,3,0
Tlanepantla,1,0,0,1,0
Tlapacoya,2,0,0,2,0
Tlapanala,2,0,0,2,0
Tlatlauquitepec,1,0,0,1,0
Tlaxco,1,1,0,0,0
Tochimilco,4,1,0,3,0
Tochtepec,3,0,0,3,0
Totoltepec de Guerrero,0,0,0,0,0
Tulcingo,2,0,0,2,0
Tuzamapan de Galeana,0,0,0,0,0
Tzicatlacoyan,0,0,0,0,0
Venustiano Carranza,8,2,0,6,0
Vicente Guerrero,1,0,0,1,0
Xayacatlan de Bravo,1,0,0,1,0
Xicotepec,5,3,0,2,0
Xicotlan,1,0,0,1,0
Xiutetelco,1,1,0,0,0
Xochiapulco,1,1,0,0,0
Xochiltepec,2,0,0,2,0
Xochitlan de Vicente Suarez,1,0,0,1,0
Xochitlan Todos Santos,1,0,0,1,0
Yehualtepec,3,0,0,3,0
Zacapala,7,1,0,6,0
Zacapoaxtla,2,2,0,0,0
Zacatlan,8,3,0,5,0
Zapotitlan,2,0,0,2,0
Zaragoza,2,1,0,1,0
Zautla,2,2,0,0,0
Zihuateutla,7,3,0,4,0
Zinacatepec,0,0,0,0,0
Zoquiapan,2,1,0,1,0
Zoquitlan,0,0,0,0,0
Queretaro,171,19,8,144,0
Amealco de Bonfil,17,2,1,14,0
Pinal de Amoles,12,0,1,11,0
Arroyo Seco,9,0,0,9,0
Cadereyta de Montes,22,2,1,19,0
Colon,10,7,0,3,0
Corregidora,2,0,0,2,0
Ezequiel Montes,7,0,0,7,0
Huimilpan,9,0,0,9,0
Jalpan de Serra,4,0,1,3,0
Landa de Matamoros,3,0,0,3,0
El Marques,17,0,1,16,0
Pedro Escobedo,3,0,0,3,0
Peñamiller,10,2,2,6,0
Queretaro,11,1,0,10,0
San Joaquin,3,0,0,3,0
San Juan del Rio,24,0,1,23,0
Tequisquiapan,3,0,0,3,0
Toliman,5,5,0,0,0
Quintana Roo,67,39,2,26,0
Cozumel,0,0,0,0,0
Felipe Carrillo Puerto,6,6,0,0,0
Isla Mujeres,0,0,0,0,0
Othon P. Blanco,52,24,2,26,0
Benito Juarez,0,0,0,0,0
Jose Maria Morelos,6,6,0,0,0
Lazaro Cardenas,1,1,0,0,0
Solidaridad,2,2,0,0,0
San Luis Potosi,783,328,44,411,0
Ahualulco,7,0,1,6,0
Alaquines,11,0,0,11,0
Aquismon,20,11,0,9,0
Armadillo de los Infante,5,2,0,3,0
Cardenas,1,0,1,0,0
Catorce,5,3,0,2,0
Cedral,10,2,0,8,0
Cerritos,11,0,0,11,0
Cerro de San Pedro,0,0,0,0,0
Ciudad del Maiz,23,2,0,21,0
Ciudad Fernandez,13,0,0,13,0
Tancanhuitz,23,23,0,0,0
Ciudad Valles,20,12,2,6,0
Coxcatlan,17,17,0,0,0
Charcas,13,7,0,6,0
ebano,32,9,3,20,0
Guadalcazar,33,12,0,21,0
Huehuetlan,9,8,1,0,0
Lagunillas,7,0,0,7,0
Matehuala,20,2,5,13,0
Mexquitic de Carmona,10,0,2,8,0
Moctezuma,27,1,1,25,0
Rayon,6,0,0,6,0
Rioverde,37,1,0,36,0
Salinas,8,0,0,8,0
San Antonio,8,8,0,0,0
San Ciro de Acosta,4,0,0,4,0
San Luis Potosi,14,1,1,12,0
San Martin Chalchicuautla,47,32,14,1,0
San Nicolas Tolentino,5,0,0,5,0
Santa Catarina,5,0,0,5,0
Santa Maria del Rio,5,1,1,3,0
Santo Domingo,18,0,0,18,0
San Vicente Tancuayalab,16,14,0,2,0
Soledad de Graciano Sanchez,1,0,0,1,0
Tamasopo,13,0,0,13,0
Tamazunchale,21,18,1,2,0
Tampacan,17,15,2,0,0
Tampamolon Corona,27,27,0,0,0
Tamuin,67,37,3,27,0
Tanlajas,16,16,0,0,0
Tanquian de Escobedo,5,5,0,0,0
Tierra Nueva,0,0,0,0,0
Vanegas,8,4,0,4,0
Venado,15,1,0,14,0
Villa de Arriaga,0,0,0,0,0
Villa de Guadalupe,12,0,0,12,0
Villa de la Paz,3,0,0,3,0
Villa de Ramos,12,0,0,12,0
Villa de Reyes,1,0,0,1,0
Villa Hidalgo,18,1,2,15,0
Villa Juarez,7,0,2,5,0
Axtla de Terrazas,11,9,2,0,0
Xilitla,19,16,0,3,0
Zaragoza,1,1,0,0,0
Villa de Arista,6,1,0,5,0
Matlapa,7,7,0,0,0
El Naranjo,6,2,0,4,0
Sinaloa,469,145,30,293,1
Ahome,27,9,2,16,0
Angostura,46,13,2,31,0
Badiraguato,14,9,1,4,0
Concordia,3,1,0,2,0
Cosala,11,0,0,11,0
Culiacan,38,8,3,26,1
Choix,35,2,2,31,0
Elota,7,2,0,5,0
Escuinapa,6,2,0,4,0
El Fuerte,39,11,2,26,0
Guasave,72,32,9,31,0
Mazatlan,5,3,0,2,0
Mocorito,35,7,0,28,0
Rosario,17,8,1,8,0
Salvador Alvarado,12,2,0,10,0
San Ignacio,19,14,2,3,0
Sinaloa,68,11,6,51,0
Navolato,15,11,0,4,0
Sonora,367,235,32,99,1
Aconchi,0,0,0,0,0
Agua Prieta,1,1,0,0,0
alamos,21,16,1,4,0
Altar,4,2,0,2,0
Arivechi,1,0,0,1,0
Arizpe,2,1,1,0,0
Atil,0,0,0,0,0
Bacadehuachi,0,0,0,0,0
Bacanora,3,1,0,2,0
Bacerac,0,0,0,0,0
Bacoachi,3,1,0,2,0
Bacum,18,9,5,4,0
Banamichi,2,2,0,0,0
Baviacora,2,1,0,1,0
Bavispe,0,0,0,0,0
Benjamin Hill,0,0,0,0,0
Caborca,42,27,6,9,0
Cajeme,19,10,5,4,0
Cananea,4,1,1,2,0
Carbo,0,0,0,0,0
La Colorada,0,0,0,0,0
Cucurpe,1,1,0,0,0
Cumpas,6,0,0,6,0
Divisaderos,1,0,0,1,0
Empalme,3,3,0,0,0
Etchojoa,22,20,2,0,0
Fronteras,1,0,0,1,0
Granados,1,0,0,1,0
Guaymas,14,11,0,3,0
Hermosillo,8,7,0,1,0
Huachinera,0,0,0,0,0
Huasabas,1,0,0,1,0
Huatabampo,33,10,11,12,0
Huepac,1,0,0,1,0
Imuris,3,1,0,2,0
Magdalena,1,0,0,1,0
Mazatan,1,1,0,0,0
Moctezuma,3,0,0,3,0
Naco,1,0,0,1,0
Nacori Chico,1,1,0,0,0
Nacozari de Garcia,1,1,0,0,0
Navojoa,13,12,0,1,0
Nogales,1,0,0,1,0
Onavas,0,0,0,0,0
Opodepe,1,1,0,0,0
Oquitoa,1,0,0,1,0
Pitiquito,8,8,0,0,0
Puerto Peñasco,17,17,0,0,0
Quiriego,6,6,0,0,0
Rayon,2,0,0,2,0
Rosario,1,1,0,0,0
Sahuaripa,13,3,0,10,0
San Felipe de Jesus,0,0,0,0,0
San Javier,1,1,0,0,0
San Luis Rio Colorado,22,22,0,0,0
San Miguel de Horcasitas,0,0,0,0,0
San Pedro de la Cueva,0,0,0,0,0
Santa Ana,1,1,0,0,0
Santa Cruz,0,0,0,0,0
Saric,5,0,0,5,0
Soyopa,2,2,0,0,0
Suaqui Grande,0,0,0,0,0
Tepache,2,0,0,2,0
Trincheras,0,0,0,0,0
Tubutama,4,0,0,4,0
Ures,8,8,0,0,0
Villa Hidalgo,0,0,0,0,0
Villa Pesqueira,1,1,0,0,0
Yecora,2,2,0,0,0
General Plutarco Elias Calles,16,12,0,3,1
Benito Juarez,0,0,0,0,0
San Ignacio Rio Muerto,15,10,0,5,0
Tabasco,155,81,8,66,0
Balancan,24,16,0,8,0
Cardenas,18,13,0,5,0
Centla,2,2,0,0,0
Centro,2,2,0,0,0
Comalcalco,6,2,1,3,0
Cunduacan,4,1,1,2,0
Emiliano Zapata,1,0,0,1,0
Huimanguillo,45,16,3,26,0
Jalapa,1,1,0,0,0
Jalpa de Mendez,3,3,0,0,0
Jonuta,1,0,1,0,0
Macuspana,8,7,0,1,0
Nacajuca,1,1,0,0,0
Paraiso,2,0,1,1,0
Tacotalpa,7,7,0,0,0
Teapa,0,0,0,0,0
Tenosique,30,10,1,19,0
Tamaulipas,566,228,24,313,1
Abasolo,32,1,1,30,0
Aldama,35,6,1,28,0
Altamira,14,1,1,12,0
Antiguo Morelos,15,0,0,15,0
Burgos,13,1,0,12,0
Bustamante,2,0,0,2,0
Camargo,5,1,1,3,0
Casas,8,4,0,4,0
Cruillas,5,2,0,3,0
Gomez Farias,9,8,0,1,0
Gonzalez,36,5,0,30,1
Güemez,6,2,0,4,0
Guerrero,2,1,0,1,0
Gustavo Diaz Ordaz,3,1,1,1,0
Hidalgo,45,35,0,10,0
Jaumave,4,3,0,1,0
Jimenez,4,3,0,1,0
Llera,35,15,1,19,0
Mainero,13,5,7,1,0
El Mante,71,18,0,53,0
Matamoros,18,4,0,14,0
Mendez,8,4,0,4,0
Miquihuana,1,1,0,0,0
Nuevo Laredo,7,7,0,0,0
Nuevo Morelos,2,1,0,1,0
Ocampo,3,1,1,1,0
Padilla,6,3,0,3,0
Palmillas,4,1,0,3,0
Reynosa,27,17,1,9,0
Rio Bravo,2,2,0,0,0
San Carlos,12,10,0,2,0
San Fernando,14,4,0,10,0
San Nicolas,2,2,0,0,0
Soto la Marina,24,17,0,7,0
Tampico,0,0,0,0,0
Tula,22,2,0,20,0
Valle Hermoso,9,8,0,1,0
Victoria,8,7,0,1,0
Villagran,22,10,9,3,0
Xicotencatl,18,15,0,3,0
Tlaxcala,87,40,11,36,0
Amaxac de Guerrero,0,0,0,0,0
Atlangatepec,3,0,1,2,0
Altzayanca,6,5,0,1,0
Apizaco,0,0,0,0,0
Calpulalpan,4,1,0,3,0
El Carmen Tequexquitla,3,3,0,0,0
Cuapiaxtla,6,6,0,0,0
Cuaxomulco,0,0,0,0,0
Chiautempan,0,0,0,0,0
Muñoz de Domingo Arenas,3,0,2,1,0
Españita,9,5,0,4,0
Huamantla,2,2,0,0,0
Hueyotlipan,9,6,0,3,0
Ixtacuixtla de Mariano Matamoros,9,1,0,8,0
Ixtenco,0,0,0,0,0
Tepetitla de Lardizabal,0,0,0,0,0
Sanctorum de Lazaro Cardenas,2,1,0,1,0
Nanacamilpa de Mariano Arista,3,0,0,3,0
Nativitas,6,2,0,4,0
Panotla,1,1,0,0,0
Santa Cruz Tlaxcala,1,1,0,0,0
Teolocholco,0,0,0,0,0
Terrenate,1,1,0,0,0
Tetla de la Solidaridad,1,0,1,0,0
Tetlatlahuca,0,0,0,0,0
Tlaxcala,0,0,0,0,0
Tlaxco,11,2,6,3,0
Tocatlan,0,0,0,0,0
Totolac,0,0,0,0,0
Zitlaltepec de Trinidad Sanchez Santos,0,0,0,0,0
Tzompantepec,0,0,0,0,0
Xaloztoc,0,0,0,0,0
Xaltocan,3,0,1,2,0
Papalotla de Xicohtencatl,0,0,0,0,0
Xicohtzinco,0,0,0,0,0
Yauhquemecan,1,1,0,0,0
Zacatelco,0,0,0,0,0
Benito Juarez,1,1,0,0,0
Emiliano Zapata,0,0,0,0,0
Lazaro Cardenas,0,0,0,0,0
La Magdalena Tlaltelulco,1,1,0,0,0
San Damian Texoloc,0,0,0,0,0
San Jose Teacalco,0,0,0,0,0
San Lorenzo Axocomanitla,0,0,0,0,0
San Lucas Tecopilco,1,0,0,1,0
Santa Ana Nopalucan,0,0,0,0,0
Santa Apolonia Teacalco,0,0,0,0,0
Veracruz de Ignacio de la Llave,1754,625,215,909,5
Acajete,0,0,0,0,0
Acatlan,0,0,0,0,0
Acayucan,24,10,3,11,0
Actopan,13,0,0,13,0
Acula,3,0,1,2,0
Acultzingo,2,2,0,0,0
Camaron de Tejeda,1,0,0,1,0
Alto Lucero de Gutierrez Barrios,11,1,0,10,0
Altotonga,8,3,0,5,0
Alvarado,9,2,2,5,0
Amatitlan,2,0,0,2,0
Naranjos Amatlan,6,5,1,0,0
Amatlan de los Reyes,10,0,0,10,0
angel R. Cabada,12,7,3,2,0
La Antigua,2,1,0,1,0
Apazapan,1,0,0,1,0
Atlahuilco,0,0,0,0,0
Atoyac,9,2,0,7,0
Atzacan,1,0,0,1,0
Atzalan,17,1,0,16,0
Tlaltetela,3,0,1,2,0
Banderilla,0,0,0,0,0
Benito Juarez,15,14,1,0,0
Boca del Rio,0,0,0,0,0
Calcahualco,1,0,0,1,0
Camerino Z. Mendoza,0,0,0,0,0
Carrillo Puerto,2,0,0,2,0
Catemaco,11,6,1,4,0
Cazones,18,15,1,2,0
Cerro Azul,6,6,0,0,0
Citlaltepetl,1,1,0,0,0
Coacoatzintla,0,0,0,0,0
Coahuitlan,2,1,1,0,0
Coatepec,1,1,0,0,0
Coatzacoalcos,1,0,0,1,0
Coatzintla,13,10,0,3,0
Coetzala,0,0,0,0,0
Colipa,3,0,0,3,0
Comapa,4,1,1,2,0
Cordoba,9,2,2,5,0
Cosamaloapan de Carpio,9,3,1,5,0
Coscomatepec,1,1,0,0,0
Cosoleacaque,2,2,0,0,0
Cotaxtla,8,0,0,8,0
Coxquihui,4,3,1,0,0
Coyutla,7,5,0,2,0
Cuichapa,1,0,0,1,0
Cuitlahuac,10,0,0,10,0
Chacaltianguis,2,0,0,2,0
Chalma,10,0,10,0,0
Chiconamel,9,0,7,2,0
Chiconquiaco,2,0,0,2,0
Chicontepec,34,34,0,0,0
Chinameca,5,1,3,1,0
Chinampa de Gorostiza,2,2,0,0,0
Las Choapas,57,5,1,51,0
Chocaman,1,0,0,1,0
Chontla,9,9,0,0,0
Chumatlan,1,1,0,0,0
Emiliano Zapata,1,0,0,1,0
Espinal,12,4,1,7,0
Fortin,2,0,1,1,0
Gutierrez Zamora,12,2,9,1,0
Hidalgotitlan,25,5,0,20,0
Huatusco,7,3,1,3,0
Huayacocotla,12,3,0,9,0
Hueyapan de Ocampo,12,4,4,4,0
Huiloapan,0,0,0,0,0
Ignacio de la Llave,29,2,3,24,0
Ilamatlan,6,1,0,5,0
Isla,18,1,0,17,0
Ixcatepec,2,2,0,0,0
Ixhuacan de los Reyes,3,2,1,0,0
Ixhuatlan del Cafe,4,0,0,4,0
Ixhuatlancillo,0,0,0,0,0
Ixhuatlan del Sureste,5,4,0,1,0
Ixhuatlan de Madero,61,61,0,0,0
Ixmatlahuacan,2,0,0,2,0
Ixtaczoquitlan,2,0,0,2,0
Jalacingo,8,3,2,3,0
Xalapa,0,0,0,0,0
Jalcomulco,2,2,0,0,0
Jaltipan,2,1,1,0,0
Jamapa,4,1,0,3,0
Jesus Carranza,24,0,1,23,0
Xico,0,0,0,0,0
Jilotepec,0,0,0,0,0
Juan Rodriguez Clara,38,0,0,38,0
Juchique de Ferrer,8,2,1,5,0
Lerdo de Tejada,2,0,1,1,0
Maltrata,1,0,1,0,0
Manlio Fabio Altamirano,5,2,0,3,0
Mariano Escobedo,0,0,0,0,0
Martinez de la Torre,16,0,3,13,0
Mecayapan,6,0,1,5,0
Medellin,12,9,1,2,0
Miahuatlan,2,0,0,2,0
Minatitlan,58,13,16,28,1
Misantla,16,6,0,10,0
Moloacan,4,2,0,2,0
Naolinco,0,0,0,0,0
Nautla,8,0,0,8,0
Nogales,3,0,1,2,0
Oluta,1,0,0,1,0
