INEGI. IX Censo Ejidal 2007,,,,,,
Ejidos y comunidades con permanencia de la mayoria de los jovenes segun,,,,,,cuadro 16
actividad a la que se integran por entidad federativa y municipio,,,,,,
,,,,,,
,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_permanencia_de_la mayoria_de_los_jovenes,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_agropecuarias_o_forestales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_comerciales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_artesanales,ejidos_y_comunidades_segun_actividad_a_la_que_se_integran_otras,no_se_integran_a_las_actividades
Tuxcacuesco,1,1,0,0,0,0
Tuxcueca,1,1,0,0,0,0
Tuxpan,6,3,0,0,0,3
Union de San Antonio,13,2,0,0,1,10
Union de Tula,3,2,0,0,0,1
Valle de Guadalupe,0,0,0,0,0,0
Valle de Juarez,0,0,0,0,0,0
San Gabriel,7,3,1,0,1,2
Villa Corona,0,0,0,0,0,0
Villa Guerrero,0,0,0,0,0,0
Villa Hidalgo,2,2,0,0,0,0
Cañadas de Obregon,0,0,0,0,0,0
Yahualica de Gonzalez Gallo,1,0,0,0,0,1
Zacoalco de Torres,9,3,0,0,0,6
Zapopan,24,9,0,0,0,15
Zapotiltic,10,6,0,0,0,4
Zapotitlan de Vadillo,3,3,0,0,0,0
Zapotlan del Rey,12,6,0,0,0,6
Zapotlanejo,2,2,0,0,0,0
Mexico,947,376,17,6,23,525
Acambay,21,14,0,0,0,7
Acolman,12,5,0,0,0,7
Aculco,18,7,0,0,1,10
Almoloya de Alquisiras,3,3,0,0,0,0
Almoloya de Juarez,33,9,0,1,1,22
Almoloya del Rio,4,1,0,0,0,3
Amanalco,13,9,0,0,0,4
Amatepec,1,1,0,0,0,0
Amecameca,10,3,0,0,0,7
Apaxco,2,1,0,0,1,0
Atenco,5,0,0,0,0,5
Atizapan,1,0,0,0,1,0
Atizapan de Zaragoza,1,0,0,0,0,1
Atlacomulco,25,11,0,0,2,12
Atlautla,3,0,0,0,0,3
Axapusco,14,4,0,0,0,10
Ayapango,3,2,0,0,0,1
Calimaya,8,6,1,0,0,1
Capulhuac,4,2,1,0,0,1
Coacalco de Berriozabal,2,1,0,0,0,1
Coatepec Harinas,9,8,0,0,0,1
Cocotitlan,2,1,0,0,0,1
Coyotepec,1,0,0,0,0,1
Cuautitlan,2,1,0,0,0,1
Chalco,14,4,0,0,0,10
Chapa de Mota,15,4,1,0,1,9
Chapultepec,1,1,0,0,0,0
Chiautla,5,1,0,0,0,4
Chicoloapan,1,0,0,0,0,1
Chiconcuac,1,0,1,0,0,0
Chimalhuacan,1,1,0,0,0,0
Donato Guerra,16,3,0,0,2,11
Ecatepec de Morelos,5,1,0,0,0,4
Ecatzingo,2,1,0,0,0,1
Huehuetoca,3,0,0,0,0,3
Hueypoxtla,9,3,0,0,0,6
Huixquilucan,7,0,0,0,1,6
Isidro Fabela,3,1,0,0,0,2
Ixtapaluca,9,2,0,0,0,7
Ixtapan de la Sal,0,0,0,0,0,0
Ixtapan del Oro,8,4,0,0,0,4
Ixtlahuaca,33,11,2,2,2,16
Jaltenco,1,1,0,0,0,0
Jilotepec,21,10,1,0,0,10
Jilotzingo,7,4,0,0,0,3
Jiquipilco,11,9,0,0,0,2
Jocotitlan,13,1,0,0,0,12
Joquicingo,3,1,0,0,1,1
Juchitepec,2,0,0,0,0,2
Lerma,19,2,0,0,0,17
Malinalco,8,5,0,0,0,3
Melchor Ocampo,2,0,0,0,0,2
Metepec,5,0,0,0,0,5
Mexicaltzingo,1,0,0,0,0,1
Morelos,8,3,1,0,0,4
Naucalpan de Juarez,8,1,0,0,0,7
Nextlalpan,3,3,0,0,0,0
Nicolas Romero,7,3,0,0,0,4
Nopaltepec,4,3,0,0,0,1
Ocoyoacac,7,0,1,0,3,3
Ocuilan,4,2,0,0,0,2
El Oro,10,4,0,0,1,5
Otumba,6,3,0,0,0,3
Otzoloapan,0,0,0,0,0,0
Otzolotepec,10,2,1,0,0,7
Ozumba,4,1,0,0,0,3
Papalotla,1,0,0,0,0,1
La Paz,1,0,0,0,0,1
Polotitlan,9,1,0,0,0,8
Rayon,4,0,0,0,0,4
San Antonio la Isla,2,0,0,0,0,2
San Felipe del Progreso,25,11,3,1,2,8
San Martin de las Piramides,8,3,0,0,0,5
San Mateo Atenco,1,1,0,0,0,0
San Simon de Guerrero,0,0,0,0,0,0
Santo Tomas,3,1,0,0,0,2
Soyaniquilpan de Juarez,4,0,0,0,0,4
Sultepec,4,4,0,0,0,0
Tecamac,9,2,0,0,0,7
Tejupilco,1,1,0,0,0,0
Temamatla,2,1,0,0,0,1
Temascalapa,11,3,1,0,0,7
Temascalcingo,19,2,0,0,0,17
Temascaltepec,30,23,0,0,0,7
Temoaya,8,3,1,0,0,4
Tenancingo,17,10,1,0,0,6
Tenango del Aire,4,1,0,0,0,3
Tenango del Valle,11,5,0,0,0,6
Teoloyucan,3,1,0,0,0,2
Teotihuacan,8,3,0,0,0,5
Tepetlaoxtoc,10,8,0,0,0,2
Tepetlixpa,4,2,1,0,0,1
Tepotzotlan,5,1,0,0,0,4
Tequixquiac,3,3,0,0,0,0
Texcaltitlan,3,3,0,0,0,0
Texcalyacac,1,0,0,0,0,1
Texcoco,31,7,0,0,2,22
Tezoyuca,2,0,0,0,0,2
Tianguistenco,3,2,0,0,0,1
Timilpan,3,1,0,0,0,2
Tlalmanalco,5,1,0,0,0,4
Tlalnepantla de Baz,5,0,0,0,0,5
Tlatlaya,10,6,0,0,0,4
Toluca,22,3,0,1,0,18
Tonatico,3,3,0,0,0,0
Tultepec,2,0,0,0,0,2
Tultitlan,4,1,0,0,0,3
Valle de Bravo,19,6,0,1,0,12
Villa de Allende,29,15,0,0,0,14
Villa del Carbon,8,4,0,0,0,4
Villa Guerrero,9,7,0,0,0,2
Villa Victoria,20,15,0,0,1,4
Xonacatlan,3,0,0,0,0,3
Zacazonapan,1,1,0,0,0,0
Zacualpan,1,1,0,0,0,0
Zinacantepec,17,2,0,0,0,15
Zumpahuacan,1,1,0,0,0,0
Zumpango,8,1,0,0,0,7
Cuautitlan Izcalli,8,1,0,0,0,7
Valle de Chalco Solidaridad,2,0,0,0,0,2
Luvianos,0,0,0,0,0,0
San Jose del Rincon,26,21,0,0,1,4
Michoacan de Ocampo,731,496,4,4,17,210
Acuitzio,5,2,0,0,0,3
Aguililla,6,3,0,0,0,3
alvaro Obregon,4,2,0,0,0,2
Angamacutiro,3,2,0,0,0,1
Angangueo,0,0,0,0,0,0
Apatzingan,37,28,1,0,0,8
Aporo,1,0,0,0,0,1
Aquila,4,3,0,1,0,0
Ario,20,18,0,0,0,2
Arteaga,9,7,0,0,0,2
Briseñas,0,0,0,0,0,0
Buenavista,29,24,0,0,0,5
Caracuaro,2,2,0,0,0,0
Coahuayana,3,3,0,0,0,0
Coalcoman de Vazquez Pallares,3,3,0,0,0,0
Coeneo,13,11,0,0,0,2
Contepec,9,7,0,0,0,2
Copandaro,0,0,0,0,0,0
Cotija,7,4,0,0,0,3
Cuitzeo,3,3,0,0,0,0
Charapan,1,1,0,0,0,0
Charo,10,9,0,0,0,1
Chavinda,1,1,0,0,0,0
Cheran,0,0,0,0,0,0
Chilchota,7,4,0,0,1,2
Chinicuila,6,5,0,0,0,1
Chucandiro,2,2,0,0,0,0
Churintzio,4,4,0,0,0,0
Churumuco,7,3,0,0,4,0
Ecuandureo,6,3,0,0,0,3
Epitacio Huerta,3,2,0,0,0,1
Erongaricuaro,3,1,0,0,0,2
Gabriel Zamora,6,5,0,0,0,1
Hidalgo,15,9,0,0,0,6
La Huacana,15,10,0,0,2,3
Huandacareo,0,0,0,0,0,0
Huaniqueo,4,3,0,0,0,1
Huetamo,14,11,0,0,0,3
Huiramba,3,1,0,0,0,2
Indaparapeo,1,0,0,0,0,1
Irimbo,1,0,0,1,0,0
Ixtlan,4,3,0,0,0,1
Jacona,4,3,0,0,0,1
Jimenez,4,3,0,0,1,0
Jiquilpan,2,1,0,0,0,1
Juarez,4,3,0,0,0,1
Jungapeo,4,4,0,0,0,0
Lagunillas,3,0,0,0,0,3
Madero,9,9,0,0,0,0
Maravatio,4,4,0,0,0,0
Marcos Castellanos,2,0,0,0,0,2
Lazaro Cardenas,17,7,0,0,0,10
Morelia,37,22,0,0,2,13
Morelos,1,1,0,0,0,0
Mugica,1,1,0,0,0,0
Nahuatzen,1,1,0,0,0,0
Nocupetaro,4,4,0,0,0,0
Nuevo Parangaricutiro,4,4,0,0,0,0
Nuevo Urecho,8,8,0,0,0,0
Numaran,6,6,0,0,0,0
Ocampo,1,0,0,0,1,0
Pajacuaran,2,1,0,0,0,1
Panindicuaro,5,3,0,0,1,1
Paracuaro,9,9,0,0,0,0
Paracho,5,3,0,0,0,2
Patzcuaro,17,2,0,0,3,12
Penjamillo,10,9,0,0,0,1
Periban,8,4,0,0,0,4
La Piedad,4,4,0,0,0,0
Purepero,0,0,0,0,0,0
Puruandiro,9,5,0,0,0,4
Querendaro,2,1,0,0,0,1
Quiroga,1,0,0,0,0,1
Cojumatlan de Regules,2,2,0,0,0,0
Los Reyes,11,3,0,0,0,8
Sahuayo,1,1,0,0,0,0
San Lucas,8,6,0,0,0,2
Santa Ana Maya,4,3,0,0,0,1
Salvador Escalante,17,10,0,0,0,7
Senguio,6,0,0,0,0,6
Susupuato,7,5,0,0,0,2
Tacambaro,9,5,0,0,0,4
Tancitaro,8,8,0,0,0,0
Tangamandapio,2,1,0,0,0,1
Tangancicuaro,6,5,0,1,0,0
Tanhuato,4,4,0,0,0,0
Taretan,13,8,0,0,0,5
Tarimbaro,4,3,0,0,1,0
Tepalcatepec,14,11,1,0,0,2
Tingambato,3,2,0,1,0,0
Tingüindin,2,2,0,0,0,0
Tiquicheo de Nicolas Romero,2,1,0,0,0,1
Tlalpujahua,6,4,1,0,0,1
Tlazazalca,3,3,0,0,0,0
Tocumbo,4,2,0,0,0,2
Tumbiscatio,8,6,0,0,0,2
Turicato,7,5,0,0,0,2
Tuxpan,4,4,0,0,0,0
Tuzantla,4,4,0,0,0,0
Tzintzuntzan,4,0,0,0,1,3
Tzitzio,2,2,0,0,0,0
Uruapan,24,14,0,0,0,10
Venustiano Carranza,0,0,0,0,0,0
Villamar,4,3,0,0,0,1
Vista Hermosa,3,3,0,0,0,0
Yurecuaro,9,8,0,0,0,1
Zacapu,15,4,0,0,0,11
Zamora,17,12,0,0,0,5
Zinaparo,2,2,0,0,0,0
Zinapecuaro,5,2,0,0,0,3
Ziracuaretiro,8,5,0,0,0,3
Zitacuaro,13,9,0,0,0,4
Jose Sixto Verduzco,7,3,1,0,0,3
Morelos,168,91,1,0,0,76
Amacuzac,1,1,0,0,0,0
Atlatlahucan,2,2,0,0,0,0
Axochiapan,4,4,0,0,0,0
Ayala,13,6,0,0,0,7
Coatlan del Rio,2,2,0,0,0,0
Cuautla,8,1,0,0,0,7
Cuernavaca,9,1,0,0,0,8
Emiliano Zapata,6,1,0,0,0,5
Huitzilac,2,2,0,0,0,0
Jantetelco,4,4,0,0,0,0
Jiutepec,7,1,0,0,0,6
Jojutla,4,3,0,0,0,1
Jonacatepec,2,2,0,0,0,0
Mazatepec,3,1,0,0,0,2
Miacatlan,3,3,0,0,0,0
Ocuituco,5,3,0,0,0,2
Puente de Ixtla,7,2,0,0,0,5
Temixco,6,2,0,0,0,4
Tepalcingo,5,5,0,0,0,0
Tepoztlan,2,0,0,0,0,2
Tetecala,1,0,0,0,0,1
Tetela del Volcan,4,4,0,0,0,0
Tlalnepantla,3,3,0,0,0,0
Tlaltizapan,13,6,0,0,0,7
Tlaquiltenango,11,8,0,0,0,3
Tlayacapan,6,5,1,0,0,0
Totolapan,6,4,0,0,0,2
Xochitepec,6,1,0,0,0,5
Yautepec,8,2,0,0,0,6
Yecapixtla,9,6,0,0,0,3
Zacatepec de Hidalgo,1,1,0,0,0,0
Zacualpan de Amilpas,2,2,0,0,0,0
Temoac,3,3,0,0,0,0
Nayarit,246,154,3,1,20,68
Acaponeta,9,3,0,0,2,4
Ahuacatlan,3,1,0,0,0,2
Amatlan de Cañas,1,1,0,0,0,0
Compostela,22,14,0,0,0,8
Huajicori,8,7,0,0,0,1
Ixtlan del Rio,4,2,0,0,0,2
Jala,6,3,0,0,0,3
Xalisco,11,9,0,0,0,2
Del Nayar,23,21,0,0,1,1
Rosamorada,18,12,0,0,4,2
Ruiz,5,5,0,0,0,0
San Blas,16,13,1,0,0,2
San Pedro Lagunillas,1,1,0,0,0,0
Santa Maria del Oro,10,8,0,0,0,2
Santiago Ixcuintla,31,23,0,0,0,8
Tecuala,16,6,1,0,5,4
Tepic,46,20,0,1,4,21
Tuxpan,3,1,1,0,1,0
La Yesca,1,1,0,0,0,0
Bahia de Banderas,12,3,0,0,3,6
Nuevo Leon,414,211,0,0,3,200
Abasolo,1,0,0,0,0,1
Agualeguas,1,0,0,0,0,1
Los Aldamas,0,0,0,0,0,0
Allende,0,0,0,0,0,0
Anahuac,7,5,0,0,0,2
Apodaca,1,0,0,0,0,1
Aramberri,16,14,0,0,0,2
Bustamante,2,1,0,0,0,1
Cadereyta Jimenez,24,6,0,0,1,17
Carmen,1,0,0,0,0,1
Cerralvo,0,0,0,0,0,0
Cienega de Flores,2,0,0,0,0,2
China,2,1,0,0,0,1
Dr. Arroyo,54,37,0,0,0,17
Dr. Gonzalez,3,0,0,0,0,3
Galeana,94,81,0,0,0,13
Garcia,9,1,0,0,0,8
Gral. Bravo,1,1,0,0,0,0
Gral. Escobedo,2,0,0,0,0,2
Gral. Teran,10,6,0,0,0,4
Gral. Zaragoza,9,8,0,0,0,1
Gral. Zuazua,1,0,0,0,0,1
Guadalupe,1,0,0,0,0,1
Hualahuises,5,0,0,0,0,5
Iturbide,10,6,0,0,0,4
Juarez,4,1,0,0,0,3
Lampazos de Naranjo,0,0,0,0,0,0
Linares,54,9,0,0,0,45
Marin,1,0,0,0,0,1
Mier y Noriega,8,7,0,0,0,1
Mina,22,9,0,0,1,12
Montemorelos,21,1,0,0,0,20
Monterrey,1,0,0,0,0,1
Paras,3,3,0,0,0,0
Pesqueria,8,1,0,0,0,7
Los Ramones,3,1,0,0,0,2
Rayones,7,5,0,0,0,2
Sabinas Hidalgo,1,0,0,0,0,1
Salinas Victoria,7,3,0,0,0,4
Hidalgo,1,0,0,0,0,1
Santa Catarina,5,1,0,0,0,4
Santiago,3,1,0,0,0,2
Vallecillo,5,1,0,0,1,3
Villaldama,4,1,0,0,0,3
Oaxaca,995,697,12,7,12,267
Abejones,1,1,0,0,0,0
Acatlan de Perez Figueroa,23,14,1,0,0,8
Asuncion Cacalotepec,1,1,0,0,0,0
Asuncion Cuyotepeji,0,0,0,0,0,0
Asuncion Ixtaltepec,10,4,0,0,0,6
Asuncion Nochixtlan,5,3,0,0,0,2
Asuncion Tlacolulita,2,2,0,0,0,0
Ayotzintepec,3,2,0,0,0,1
El Barrio de la Soledad,1,0,0,0,0,1
Calihuala,0,0,0,0,0,0
Candelaria Loxicha,1,1,0,0,0,0
Cienega de Zimatlan,0,0,0,0,0,0
Ciudad Ixtepec,1,0,0,0,0,1
Coatecas Altas,2,2,0,0,0,0
Coicoyan de las Flores,1,1,0,0,0,0
La Compañia,1,1,0,0,0,0
Concepcion Buenavista,4,3,0,0,0,1
Concepcion Papalo,1,1,0,0,0,0
Constancia del Rosario,1,1,0,0,0,0
Cosolapa,6,3,0,0,0,3
Cosoltepec,0,0,0,0,0,0
Cuilapam de Guerrero,4,2,0,0,0,2
Cuyamecalco Villa de Zaragoza,2,1,0,0,0,1
Chahuites,0,0,0,0,0,0
Chalcatongo de Hidalgo,0,0,0,0,0,0
Chiquihuitlan de Benito Juarez,0,0,0,0,0,0
Heroica Ciudad de Ejutla de Crespo,7,1,0,0,0,6
Tamazulapam del Espiritu Santo,0,0,0,0,0,0
Fresnillo de Trujano,0,0,0,0,0,0
Guadalupe Etla,1,0,0,0,0,1
Guadalupe de Ramiirez,1,1,0,0,0,0
Guelatao de Juarez,1,1,0,0,0,0
Guevea de Humboldt,0,0,0,0,0,0
Mesones Hidalgo,2,1,0,0,0,1
Villa Hidalgo,1,0,0,0,0,1
Heroica Ciudad de Huajuapan de Leon,2,1,0,0,0,1
Huautepec,1,1,0,0,0,0
Ixtlan de Juarez,7,4,0,0,0,3
Heroica Ciudad de Juchitan de Zaragoza,5,2,0,0,0,3
Loma Bonita,10,6,0,0,0,4
Magdalena Apasco,2,1,0,1,0,0
Magdalena Jaltepec,1,0,0,0,0,1
Santa Magdalena Jicotlan,0,0,0,0,0,0
Magdalena Mixtepec,2,2,0,0,0,0
Magdalena Ocotlan,1,0,0,0,0,1
Magdalena Peñasco,1,1,0,0,0,0
Magdalena Teitipac,0,0,0,0,0,0
Magdalena Tequisistlan,2,2,0,0,0,0
Magdalena Tlacotepec,0,0,0,0,0,0
Magdalena Zahuatlan,0,0,0,0,0,0
Mariscala de Juarez,0,0,0,0,0,0
Martires de Tacubaya,0,0,0,0,0,0
Matias Romero Avendaño,9,7,0,0,0,2
Miahuatlan de Porfirio Diaz,5,4,0,0,0,1
Mixistlan de la Reforma,0,0,0,0,0,0
Monjas,0,0,0,0,0,0
Nazareno Etla,1,1,0,0,0,0
Nejapa de Madero,6,5,0,0,0,1
Ixpantepec Nieves,0,0,0,0,0,0
Santiago Niltepec,1,0,0,0,0,1
Oaxaca de Juarez,8,3,0,0,0,5
Ocotlan de Morelos,8,6,0,0,0,2
"La ""Pe""",1,1,0,0,0,0
Pinotepa de Don Luis,1,1,0,0,0,0
San Jose del Progreso,2,2,0,0,0,0
Putla Villa de Guerrero,9,6,0,0,0,3
Santa Catarina Quioquitani,1,1,0,0,0,0
Reforma de Pineda,0,0,0,0,0,0
La Reforma,3,2,0,0,0,1
Reyes Etla,2,2,0,0,0,0
Rojas de Cuauhtemoc,0,0,0,0,0,0
Salina Cruz,3,1,0,0,0,2
San Agustin Amatengo,0,0,0,0,0,0
San Agustin Atenango,1,1,0,0,0,0
San Agustin Chayuco,2,1,0,0,0,1
San Agustin de las Juntas,2,1,0,0,0,1
San Agustin Etla,1,1,0,0,0,0
San Agustin Loxicha,1,1,0,0,0,0
San Agustin Tlacotepec,0,0,0,0,0,0
San Agustin Yatareni,1,0,0,0,0,1
San Andres Cabecera Nueva,1,1,0,0,0,0
San Andres Dinicuiti,2,1,0,0,0,1
San Andres Huaxpaltepec,1,1,0,0,0,0
San Andres Huayapam,1,1,0,0,0,0
San Andres Ixtlahuaca,0,0,0,0,0,0
San Andres Lagunas,1,1,0,0,0,0
San Andres Nuxiño,0,0,0,0,0,0
San Andres Sinaxtla,0,0,0,0,0,0
San Andres Solaga,2,2,0,0,0,0
San Andres Teotilalpam,1,1,0,0,0,0
San Andres Yaa,0,0,0,0,0,0
San Andres Zabache,0,0,0,0,0,0
San Andres Zautla,3,1,0,0,0,2
San Antonino Castillo Velasco,1,0,0,0,0,1
San Antonino el Alto,1,1,0,0,0,0
San Antonino Monte Verde,0,0,0,0,0,0
San Antonio Acutla,1,1,0,0,0,0
San Antonio de la Cal,1,0,0,0,1,0
San Antonio Huitepec,2,1,0,0,0,1
San Antonio Nanahuatipam,2,1,0,0,0,1
San Antonio Sinicahua,1,1,0,0,0,0
San Antonio Tepetlapa,2,1,0,0,0,1
San Baltazar Chichicapam,0,0,0,0,0,0
San Baltazar Loxicha,0,0,0,0,0,0
San Baltazar Yatzachi el Bajo,1,1,0,0,0,0
San Bartolo Coyotepec,4,2,0,1,0,1
San Bartolome Ayautla,2,2,0,0,0,0
San Bartolome Loxicha,1,1,0,0,0,0
San Bartolome Quialana,0,0,0,0,0,0
San Bartolome Yucuañe,1,1,0,0,0,0
San Bartolome Zoogocho,0,0,0,0,0,0
San Bartolo Soyaltepec,2,2,0,0,0,0
San Bartolo Yautepec,1,0,0,0,0,1
San Bernardo Mixtepec,1,1,0,0,0,0
San Blas Atempa,1,1,0,0,0,0
San Carlos Yautepec,15,12,0,0,0,3
San Cristobal Amatlan,3,3,0,0,0,0
San Cristobal Amoltepec,0,0,0,0,0,0
San Cristobal Suchixtlahuaca,0,0,0,0,0,0
San Dionisio del Mar,1,1,0,0,0,0
San Dionisio Ocotepec,2,2,0,0,0,0
San Dionisio Ocotlan,2,1,0,0,0,1
San Esteban Atatlahuca,1,0,0,0,0,1
San Felipe Jalapa de Diaz,4,3,0,0,0,1
San Felipe Tejalapam,0,0,0,0,0,0
San Felipe Usila,8,6,0,0,0,2
San Francisco Cahuacua,1,1,0,0,0,0
San Francisco Cajonos,0,0,0,0,0,0
San Francisco Chapulapa,2,2,0,0,0,0
San Francisco Chindua,1,0,0,0,0,1
San Francisco del Mar,1,0,0,0,0,1
San Francisco Huehuetlan,0,0,0,0,0,0
San Francisco Ixhuatan,1,1,0,0,0,0
San Francisco Jaltepetongo,0,0,0,0,0,0
San Francisco Lachigolo,1,0,0,0,0,1
San Francisco Nuxaño,1,0,0,0,0,1
San Francisco Ozolotepec,3,3,0,0,0,0
San Francisco Sola,1,1,0,0,0,0
San Francisco Telixtlahuaca,2,0,0,0,0,2
San Francisco Teopan,0,0,0,0,0,0
San Francisco Tlapancingo,0,0,0,0,0,0
San Gabriel Mixtepec,1,1,0,0,0,0
San Ildefonso Amatlan,1,1,0,0,0,0
San Ildefonso Sola,1,1,0,0,0,0
San Ildefonso Villa Alta,4,3,0,0,0,1
San Jacinto Amilpas,1,0,0,0,0,1
San Jacinto Tlacotepec,0,0,0,0,0,0
San Jeronimo Coatlan,1,1,0,0,0,0
San Jeronimo Silacayoapilla,1,0,0,0,1,0
San Jeronimo Sosola,3,3,0,0,0,0
San Jeronimo Taviche,2,2,0,0,0,0
San Jeronimo Tecoatl,0,0,0,0,0,0
San Jorge Nuchita,0,0,0,0,0,0
San Jose Ayuquila,0,0,0,0,0,0
San Jose Chiltepec,8,3,0,0,0,5
San Jose del Peñasco,0,0,0,0,0,0
San Jose Estancia Grande,1,0,0,0,0,1
San Jose Tenango,1,0,0,0,0,1
San Juan Achiutla,0,0,0,0,0,0
San Juan Atepec,0,0,0,0,0,0
Animas Trujano,0,0,0,0,0,0
San Juan Bautista Atatlahuca,2,1,1,0,0,0
San Juan Bautista Coixtlahuaca,1,1,0,0,0,0
San Juan Bautista Cuicatlan,13,7,0,0,0,6
San Juan Bautista Guelache,2,2,0,0,0,0
San Juan Bautista Jayacatlan,0,0,0,0,0,0
San Juan Bautista lo de Soto,1,1,0,0,0,0
San Juan Bautista Suchitepec,0,0,0,0,0,0
San Juan Bautista Tlacoatzintepec,1,0,0,1,0,0
San Juan Bautista Tlachichilco,1,1,0,0,0,0
San Juan Bautista Tuxtepec,44,23,0,0,0,21
San Juan Cacahuatepec,5,4,0,0,0,1
San Juan Cieneguilla,0,0,0,0,0,0
San Juan Coatzospam,1,1,0,0,0,0
San Juan Colorado,5,5,0,0,0,0
San Juan Comaltepec,3,3,0,0,0,0
San Juan Cotzocon,9,7,0,0,1,1
San Juan Chicomezuchil,1,0,0,0,0,1
San Juan Chilateca,1,1,0,0,0,0
San Juan del Estado,1,1,0,0,0,0
San Juan del Rio,1,1,0,0,0,0
San Juan Diuxi,0,0,0,0,0,0
San Juan Evangelista Analco,1,1,0,0,0,0
San Juan Guelavia,0,0,0,0,0,0
San Juan Guichicovi,20,10,0,0,0,10
San Juan Ihualtepec,1,1,0,0,0,0
San Juan Juquila Mixes,0,0,0,0,0,0
San Juan Juquila Vijanos,1,1,0,0,0,0
San Juan Lachao,1,0,0,0,0,1
San Juan Lachigalla,3,3,0,0,0,0
San Juan Lajarcia,1,1,0,0,0,0
San Juan Lalana,2,2,0,0,0,0
San Juan de los Cues,0,0,0,0,0,0
San Juan Mazatlan,14,11,0,0,3,0
San Juan Mixtepec -Dto. 08-,0,0,0,0,0,0
San Juan Mixtepec -Dto. 26-,1,1,0,0,0,0
San Juan Ñumi,1,0,0,0,0,1
San Juan Ozolotepec,3,3,0,0,0,0
San Juan Petlapa,6,6,0,0,0,0
San Juan Quiahije,1,1,0,0,0,0
San Juan Quiotepec,2,2,0,0,0,0
San Juan Sayultepec,2,1,0,0,0,1
San Juan Tabaa,1,0,0,0,0,1
San Juan Tamazola,1,1,0,0,0,0
San Juan Teita,0,0,0,0,0,0
San Juan Teitipac,0,0,0,0,0,0
San Juan Tepeuxila,4,4,0,0,0,0
San Juan Teposcolula,1,0,1,0,0,0
San Juan Yaee,3,3,0,0,0,0
San Juan Yatzona,1,1,0,0,0,0
San Juan Yucuita,2,1,0,0,0,1
San Lorenzo,1,1,0,0,0,0
San Lorenzo Albarradas,3,3,0,0,0,0
San Lorenzo Cacaotepec,2,0,0,0,0,2
San Lorenzo Texmelucan,1,1,0,0,0,0
San Lorenzo Victoria,1,1,0,0,0,0
San Lucas Camotlan,2,2,0,0,0,0
San Lucas Ojitlan,27,16,0,0,1,10
San Lucas Quiavini,2,2,0,0,0,0
San Luis Amatlan,1,1,0,0,0,0
San Marcos Arteaga,0,0,0,0,0,0
San Martin de los Cansecos,0,0,0,0,0,0
San Martin Huamelulpam,0,0,0,0,0,0
San Martin Itunyoso,2,1,0,0,0,1
San Martin Lachila,0,0,0,0,0,0
San Martin Peras,2,2,0,0,0,0
San Martin Tilcajete,1,0,0,0,0,1
San Martin Toxpalan,2,1,0,0,0,1
San Mateo Cajonos,0,0,0,0,0,0
Capulalpam de Mendez,1,1,0,0,0,0
San Mateo del Mar,1,1,0,0,0,0
San Mateo Etlatongo,1,0,0,0,0,1
San Mateo Nejapam,0,0,0,0,0,0
San Mateo Peñasco,1,1,0,0,0,0
San Mateo Rio Hondo,1,1,0,0,0,0
San Mateo Sindihui,1,0,0,0,1,0
San Mateo Tlapiltepec,0,0,0,0,0,0
San Melchor Betaza,2,2,0,0,0,0
San Miguel Achiutla,1,1,0,0,0,0
San Miguel Aloapam,1,1,0,0,0,0
San Miguel Amatitlan,3,3,0,0,0,0
San Miguel Coatlan,1,1,0,0,0,0
San Miguel Chicahua,1,1,0,0,0,0
San Miguel Chimalapa,1,0,0,0,0,1
San Miguel del Puerto,3,2,0,0,0,1
San Miguel Ejutla,1,0,0,0,0,1
San Miguel el Grande,1,1,0,0,0,0
San Miguel Huautla,1,1,0,0,0,0
San Miguel Mixtepec,1,1,0,0,0,0
San Miguel Panixtlahuaca,1,1,0,0,0,0
San Miguel Peras,1,1,0,0,0,0
San Miguel Piedras,1,1,0,0,0,0
San Miguel Quetzaltepec,1,1,0,0,0,0
San Miguel Santa Flor,1,1,0,0,0,0
Villa Sola de Vega,5,5,0,0,0,0
San Miguel Soyaltepec,18,15,0,0,0,3
San Miguel Suchixtepec,1,1,0,0,0,0
Villa Talea de Castro,3,2,0,0,1,0
San Miguel Tecomatlan,1,0,0,0,0,1
San Miguel Tenango,1,1,0,0,0,0
San Miguel Tequixtepec,1,1,0,0,0,0
San Miguel Tilquiapam,1,0,0,0,0,1
San Miguel Tlacamama,2,1,0,0,0,1
San Miguel Tlacotepec,0,0,0,0,0,0
San Miguel Tulancingo,0,0,0,0,0,0
San Miguel Yotao,1,1,0,0,0,0
San Nicolas Hidalgo,0,0,0,0,0,0
San Pablo Coatlan,1,1,0,0,0,0
San Pablo Cuatro Venados,1,1,0,0,0,0
San Pablo Etla,3,3,0,0,0,0
San Pablo Huitzo,2,2,0,0,0,0
San Pablo Huixtepec,1,0,0,0,0,1
San Pablo Macuiltianguis,1,1,0,0,0,0
San Pablo Tijaltepec,1,1,0,0,0,0
San Pablo Villa de Mitla,4,2,0,1,1,0
San Pablo Yaganiza,0,0,0,0,0,0
San Pedro Amuzgos,1,1,0,0,0,0
San Pedro Apostol,0,0,0,0,0,0
San Pedro Atoyac,3,3,0,0,0,0
