INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Matias Romero Avendaño,12,474,364,110,467,357,110,12
Miahuatlan de Porfirio Diaz,4,464,389,75,464,389,75,5
Mixistlan de la Reforma,1,100,40,60,0,0,0,1
Monjas,1,616,359,257,616,359,257,0
Nazareno Etla,1,200,130,70,150,100,50,0
Nejapa de Madero,3,49,40,9,49,40,9,6
Ixpantepec Nieves,1,141,115,26,141,115,26,2
Santiago Niltepec,3,58,51,7,58,51,7,1
Oaxaca de Juarez,3,406,153,253,0,0,0,6
Ocotlan de Morelos,5,4207,2935,1272,203,131,72,5
"La ""Pe""",0,0,0,0,0,0,0,2
Pinotepa de Don Luis,1,250,200,50,250,200,50,0
San Jose del Progreso,2,1070,1000,70,1070,1000,70,0
Putla Villa de Guerrero,11,2768,1863,905,2648,1843,805,4
Santa Catarina Quioquitani,0,0,0,0,0,0,0,1
Reforma de Pineda,1,30,30,0,20,20,0,0
La Reforma,4,376,303,73,376,303,73,0
Reyes Etla,2,182,97,85,182,97,85,0
Rojas de Cuauhtemoc,0,0,0,0,0,0,0,1
Salina Cruz,3,162,110,52,162,110,52,0
San Agustin Amatengo,0,0,0,0,0,0,0,2
San Agustin Atenango,1,1000,400,600,1000,400,600,1
San Agustin Chayuco,4,462,404,58,324,266,58,1
San Agustin de las Juntas,2,609,8,601,9,8,1,0
San Agustin Etla,0,0,0,0,0,0,0,1
San Agustin Loxicha,0,0,0,0,0,0,0,1
San Agustin Tlacotepec,0,0,0,0,0,0,0,1
San Agustin Yatareni,1,5,0,5,0,0,0,0
San Andres Cabecera Nueva,1,1028,528,500,1028,528,500,0
San Andres Dinicuiti,0,0,0,0,0,0,0,3
San Andres Huaxpaltepec,1,100,50,50,100,50,50,0
San Andres Huayapam,0,0,0,0,0,0,0,1
San Andres Ixtlahuaca,2,230,194,36,200,170,30,0
San Andres Lagunas,1,700,400,300,0,0,0,0
San Andres Nuxiño,1,103,73,30,103,73,30,0
San Andres Sinaxtla,0,0,0,0,0,0,0,2
San Andres Solaga,0,0,0,0,0,0,0,3
San Andres Teotilalpam,2,220,168,52,210,159,51,0
San Andres Yaa,1,300,250,50,300,250,50,0
San Andres Zabache,0,0,0,0,0,0,0,1
San Andres Zautla,2,308,267,41,308,267,41,1
San Antonino Castillo Velasco,0,0,0,0,0,0,0,1
San Antonino el Alto,0,0,0,0,0,0,0,2
San Antonino Monte Verde,0,0,0,0,0,0,0,1
San Antonio Acutla,0,0,0,0,0,0,0,1
San Antonio de la Cal,1,40,20,20,40,20,20,0
San Antonio Huitepec,1,100,50,50,0,0,0,1
San Antonio Nanahuatipam,0,0,0,0,0,0,0,3
San Antonio Sinicahua,0,0,0,0,0,0,0,1
San Antonio Tepetlapa,1,15,10,5,15,10,5,2
San Baltazar Chichicapam,0,0,0,0,0,0,0,2
San Baltazar Loxicha,0,0,0,0,0,0,0,2
San Baltazar Yatzachi el Bajo,0,0,0,0,0,0,0,4
San Bartolo Coyotepec,0,0,0,0,0,0,0,4
San Bartolome Ayautla,2,1849,849,1000,200,150,50,0
San Bartolome Loxicha,0,0,0,0,0,0,0,1
San Bartolome Quialana,1,250,125,125,0,0,0,0
San Bartolome Yucuañe,0,0,0,0,0,0,0,1
San Bartolome Zoogocho,0,0,0,0,0,0,0,1
San Bartolo Soyaltepec,1,27,27,0,27,27,0,1
San Bartolo Yautepec,0,0,0,0,0,0,0,1
San Bernardo Mixtepec,0,0,0,0,0,0,0,3
San Blas Atempa,1,2800,1400,1400,2800,1400,1400,0
San Carlos Yautepec,5,464,345,119,153,85,68,13
San Cristobal Amatlan,2,332,182,150,332,182,150,2
San Cristobal Amoltepec,0,0,0,0,0,0,0,1
San Cristobal Suchixtlahuaca,1,125,95,30,125,95,30,0
San Dionisio del Mar,1,600,595,5,600,595,5,0
San Dionisio Ocotepec,4,226,226,0,226,226,0,1
San Dionisio Ocotlan,0,0,0,0,0,0,0,2
San Esteban Atatlahuca,2,1000,700,300,1000,700,300,0
San Felipe Jalapa de Diaz,7,464,386,78,464,386,78,5
San Felipe Tejalapam,0,0,0,0,0,0,0,2
San Felipe Usila,1,6,6,0,6,6,0,7
San Francisco Cahuacua,0,0,0,0,0,0,0,2
San Francisco Cajonos,0,0,0,0,0,0,0,2
San Francisco Chapulapa,0,0,0,0,0,0,0,2
San Francisco Chindua,0,0,0,0,0,0,0,2
San Francisco del Mar,0,0,0,0,0,0,0,1
San Francisco Huehuetlan,1,700,600,100,400,300,100,0
San Francisco Ixhuatan,3,13,13,0,13,13,0,0
San Francisco Jaltepetongo,0,0,0,0,0,0,0,1
San Francisco Lachigolo,1,115,92,23,115,92,23,0
San Francisco Nuxaño,0,0,0,0,0,0,0,1
San Francisco Ozolotepec,3,503,462,41,503,462,41,0
San Francisco Sola,0,0,0,0,0,0,0,1
San Francisco Telixtlahuaca,1,4,3,1,4,3,1,1
San Francisco Teopan,1,10,10,0,10,10,0,0
San Francisco Tlapancingo,0,0,0,0,0,0,0,1
San Gabriel Mixtepec,1,35,0,35,18,0,18,0
San Ildefonso Amatlan,0,0,0,0,0,0,0,1
San Ildefonso Sola,1,50,30,20,50,30,20,0
San Ildefonso Villa Alta,2,148,118,30,30,20,10,3
San Jacinto Amilpas,1,200,100,100,0,0,0,0
San Jacinto Tlacotepec,1,51,36,15,51,36,15,0
San Jeronimo Coatlan,0,0,0,0,0,0,0,2
San Jeronimo Silacayoapilla,1,100,75,25,100,75,25,0
San Jeronimo Sosola,1,50,25,25,50,25,25,5
San Jeronimo Taviche,0,0,0,0,0,0,0,2
San Jeronimo Tecoatl,1,500,300,200,100,70,30,0
San Jorge Nuchita,1,80,70,10,80,70,10,2
San Jose Ayuquila,1,9,9,0,9,9,0,0
San Jose Chiltepec,5,226,139,87,72,57,15,6
San Jose del Peñasco,0,0,0,0,0,0,0,1
San Jose Estancia Grande,1,72,55,17,72,55,17,0
San Jose Tenango,0,0,0,0,0,0,0,1
San Juan Achiutla,1,472,347,125,472,347,125,0
San Juan Atepec,1,400,200,200,400,200,200,0
Animas Trujano,1,25,15,10,25,15,10,0
San Juan Bautista Atatlahuca,1,49,45,4,49,45,4,2
San Juan Bautista Coixtlahuaca,1,55,55,0,0,0,0,2
San Juan Bautista Cuicatlan,8,517,356,161,515,355,160,8
San Juan Bautista Guelache,1,102,74,28,102,74,28,2
San Juan Bautista Jayacatlan,0,0,0,0,0,0,0,1
San Juan Bautista lo de Soto,1,250,150,100,250,150,100,0
San Juan Bautista Suchitepec,1,50,40,10,50,40,10,1
San Juan Bautista Tlacoatzintepec,0,0,0,0,0,0,0,1
San Juan Bautista Tlachichilco,0,0,0,0,0,0,0,2
San Juan Bautista Tuxtepec,28,405,311,94,294,230,64,40
San Juan Cacahuatepec,5,347,293,54,321,273,48,1
San Juan Cieneguilla,0,0,0,0,0,0,0,1
San Juan Coatzospam,1,2000,800,1200,800,500,300,0
San Juan Colorado,3,90,85,5,90,85,5,3
San Juan Comaltepec,0,0,0,0,0,0,0,3
San Juan Cotzocon,4,22,16,6,21,15,6,14
San Juan Chicomezuchil,1,256,231,25,256,231,25,0
San Juan Chilateca,0,0,0,0,0,0,0,1
San Juan del Estado,1,50,30,20,50,30,20,0
San Juan del Rio,0,0,0,0,0,0,0,1
San Juan Diuxi,0,0,0,0,0,0,0,1
San Juan Evangelista Analco,0,0,0,0,0,0,0,1
San Juan Guelavia,1,100,85,15,100,85,15,0
San Juan Guichicovi,20,995,794,201,572,422,150,11
San Juan Ihualtepec,1,8,8,0,8,8,0,0
San Juan Juquila Mixes,1,600,450,150,50,40,10,0
San Juan Juquila Vijanos,0,0,0,0,0,0,0,1
San Juan Lachao,1,800,700,100,800,700,100,0
San Juan Lachigalla,2,346,316,30,346,316,30,2
San Juan Lajarcia,1,15,10,5,15,10,5,1
San Juan Lalana,3,640,570,70,540,470,70,1
San Juan de los Cues,0,0,0,0,0,0,0,1
San Juan Mazatlan,5,209,187,22,150,140,10,15
San Juan Mixtepec -Dto. 08-,1,1000,700,300,1000,700,300,0
San Juan Mixtepec -Dto. 26-,0,0,0,0,0,0,0,1
San Juan Ñumi,3,2256,1553,703,2256,1553,703,0
San Juan Ozolotepec,3,475,328,147,475,328,147,1
San Juan Petlapa,0,0,0,0,0,0,0,6
San Juan Quiahije,1,1600,1200,400,1600,1200,400,0
San Juan Quiotepec,2,615,509,106,615,509,106,2
San Juan Sayultepec,0,0,0,0,0,0,0,3
San Juan Tabaa,0,0,0,0,0,0,0,1
San Juan Tamazola,1,40,30,10,40,30,10,1
San Juan Teita,0,0,0,0,0,0,0,1
San Juan Teitipac,1,2500,2380,120,2500,2380,120,0
San Juan Tepeuxila,1,394,119,275,0,0,0,4
San Juan Teposcolula,1,80,50,30,0,0,0,1
San Juan Yaee,0,0,0,0,0,0,0,3
San Juan Yatzona,0,0,0,0,0,0,0,1
San Juan Yucuita,1,38,38,0,0,0,0,1
San Lorenzo,3,636,610,26,636,610,26,0
San Lorenzo Albarradas,2,35,35,0,10,10,0,1
San Lorenzo Cacaotepec,3,546,431,115,96,81,15,0
San Lorenzo Texmelucan,0,0,0,0,0,0,0,1
San Lorenzo Victoria,2,100,58,42,74,44,30,0
San Lucas Camotlan,2,1450,1050,400,650,450,200,0
San Lucas Ojitlan,20,411,330,81,386,315,71,11
San Lucas Quiavini,1,60,60,0,60,60,0,1
San Luis Amatlan,1,5,0,5,5,0,5,1
San Marcos Arteaga,1,20,16,4,20,16,4,2
San Martin de los Cansecos,0,0,0,0,0,0,0,1
San Martin Huamelulpam,0,0,0,0,0,0,0,1
San Martin Itunyoso,2,618,493,125,618,493,125,0
San Martin Lachila,0,0,0,0,0,0,0,1
San Martin Peras,0,0,0,0,0,0,0,2
San Martin Tilcajete,1,300,300,0,300,300,0,0
San Martin Toxpalan,1,40,35,5,40,35,5,1
San Mateo Cajonos,1,180,90,90,180,90,90,0
Capulalpam de Mendez,1,50,50,0,0,0,0,0
San Mateo del Mar,1,1050,1050,0,1050,1050,0,0
San Mateo Etlatongo,0,0,0,0,0,0,0,2
San Mateo Nejapam,0,0,0,0,0,0,0,1
San Mateo Peñasco,2,320,140,180,247,112,135,0
San Mateo Rio Hondo,0,0,0,0,0,0,0,1
San Mateo Sindihui,0,0,0,0,0,0,0,1
San Mateo Tlapiltepec,1,213,207,6,213,207,6,0
San Melchor Betaza,0,0,0,0,0,0,0,2
San Miguel Achiutla,0,0,0,0,0,0,0,2
San Miguel Aloapam,0,0,0,0,0,0,0,1
San Miguel Amatitlan,2,163,131,32,163,131,32,7
San Miguel Coatlan,1,1000,300,700,0,0,0,0
San Miguel Chicahua,0,0,0,0,0,0,0,1
San Miguel Chimalapa,1,27,15,12,27,15,12,1
San Miguel del Puerto,2,250,170,80,250,170,80,1
San Miguel Ejutla,1,9,8,1,9,8,1,0
San Miguel el Grande,0,0,0,0,0,0,0,1
San Miguel Huautla,0,0,0,0,0,0,0,1
San Miguel Mixtepec,0,0,0,0,0,0,0,1
San Miguel Panixtlahuaca,0,0,0,0,0,0,0,1
San Miguel Peras,1,800,600,200,0,0,0,0
San Miguel Piedras,1,150,110,40,0,0,0,0
San Miguel Quetzaltepec,1,3120,1620,1500,3120,1620,1500,0
San Miguel Santa Flor,1,100,90,10,18,16,2,0
Villa Sola de Vega,1,1600,900,700,1600,900,700,5
San Miguel Soyaltepec,15,442,382,60,380,334,46,20
San Miguel Suchixtepec,0,0,0,0,0,0,0,1
Villa Talea de Castro,1,3,1,2,3,1,2,2
San Miguel Tecomatlan,1,5,0,5,5,0,5,0
San Miguel Tenango,0,0,0,0,0,0,0,1
San Miguel Tequixtepec,0,0,0,0,0,0,0,2
San Miguel Tilquiapam,2,825,625,200,825,625,200,0
San Miguel Tlacamama,1,4,3,1,0,0,0,3
San Miguel Tlacotepec,1,50,42,8,50,42,8,0
San Miguel Tulancingo,1,133,93,40,133,93,40,0
San Miguel Yotao,1,6,1,5,6,1,5,0
San Nicolas Hidalgo,0,0,0,0,0,0,0,2
San Pablo Coatlan,0,0,0,0,0,0,0,3
San Pablo Cuatro Venados,1,1000,400,600,0,0,0,0
San Pablo Etla,3,117,108,9,116,107,9,0
San Pablo Huitzo,1,68,68,0,68,68,0,1
San Pablo Huixtepec,0,0,0,0,0,0,0,2
San Pablo Macuiltianguis,0,0,0,0,0,0,0,2
San Pablo Tijaltepec,1,4835,2335,2500,4835,2335,2500,0
San Pablo Villa de Mitla,2,1087,572,515,387,372,15,4
San Pablo Yaganiza,0,0,0,0,0,0,0,1
San Pedro Amuzgos,1,1617,1597,20,1617,1597,20,0
San Pedro Apostol,0,0,0,0,0,0,0,1
San Pedro Atoyac,3,169,144,25,160,138,22,0
San Pedro Cajonos,0,0,0,0,0,0,0,1
San Pedro Coxcaltepec Cantaros,0,0,0,0,0,0,0,2
San Pedro Comitancillo,1,28,17,11,28,17,11,0
San Pedro el Alto,0,0,0,0,0,0,0,1
San Pedro Huamelula,4,2541,2526,15,41,36,5,0
San Pedro Huilotepec,1,218,167,51,218,167,51,0
San Pedro Ixcatlan,7,272,178,94,272,178,94,1
San Pedro Ixtlahuaca,1,15,12,3,15,12,3,0
San Pedro Jaltepetongo,0,0,0,0,0,0,0,1
San Pedro Jicayan,1,700,600,100,700,600,100,0
San Pedro Jocotipac,1,158,83,75,158,83,75,0
San Pedro Juchatengo,0,0,0,0,0,0,0,1
San Pedro Martir,1,31,20,11,31,20,11,0
San Pedro Martir Quiechapa,0,0,0,0,0,0,0,1
San Pedro Martir Yucuxaco,0,0,0,0,0,0,0,1
San Pedro Mixtepec -Dto. 22-,1,300,300,0,80,80,0,0
San Pedro Mixtepec -Dto. 26-,0,0,0,0,0,0,0,1
San Pedro Molinos,1,292,92,200,292,92,200,0
San Pedro Nopala,1,20,14,6,20,14,6,0
San Pedro Ocopetatillo,1,100,75,25,60,35,25,0
San Pedro Ocotepec,1,180,170,10,0,0,0,0
San Pedro Pochutla,2,40550,32500,8050,25550,21750,3800,0
San Pedro Quiatoni,0,0,0,0,0,0,0,1
San Pedro Sochiapam,0,0,0,0,0,0,0,5
San Pedro Tapanatepec,4,414,360,54,409,355,54,4
San Pedro Taviche,1,1,1,0,1,1,0,1
San Pedro Teozacoalco,0,0,0,0,0,0,0,1
San Pedro Teutila,3,816,609,207,566,362,204,0
San Pedro Tidaa,0,0,0,0,0,0,0,1
San Pedro Topiltepec,0,0,0,0,0,0,0,2
San Pedro Totolapa,0,0,0,0,0,0,0,3
Villa de Tututepec de Melchor Ocampo,5,6550,4550,2000,3550,2550,1000,1
San Pedro Yaneri,1,40,20,20,40,20,20,1
San Pedro Yolox,3,45,24,21,45,24,21,3
San Pedro y San Pablo Ayutla,0,0,0,0,0,0,0,1
Villa de Etla,2,136,115,21,136,115,21,0
San Pedro y San Pablo Teposcolula,1,300,200,100,0,0,0,6
San Pedro y San Pablo Tequixtepec,3,63,53,10,63,53,10,5
San Pedro Yucunama,0,0,0,0,0,0,0,1
San Raymundo Jalpan,1,15,4,11,15,4,11,0
San Sebastian Abasolo,1,41,15,26,41,15,26,1
San Sebastian Coatlan,0,0,0,0,0,0,0,1
San Sebastian Ixcapa,3,370,355,15,370,355,15,4
San Sebastian Nicananduta,0,0,0,0,0,0,0,1
San Sebastian Rio Hondo,2,57,52,5,57,52,5,2
San Sebastian Tecomaxtlahuaca,0,0,0,0,0,0,0,3
San Sebastian Teitipac,2,64,39,25,64,39,25,0
San Sebastian Tutla,1,143,118,25,10,8,2,1
San Simon Almolongas,1,30,15,15,30,15,15,1
San Simon Zahuatlan,0,0,0,0,0,0,0,1
Santa Ana,1,606,401,205,606,401,205,0
Santa Ana Cuauhtemoc,1,70,65,5,30,25,5,0
Santa Ana del Valle,0,0,0,0,0,0,0,1
Santa Ana Tavela,1,237,207,30,237,207,30,0
Santa Ana Tlapacoyan,1,3,3,0,0,0,0,0
Santa Ana Yareni,0,0,0,0,0,0,0,1
Santa Ana Zegache,1,406,402,4,406,402,4,1
Santa Catalina Quieri,0,0,0,0,0,0,0,1
Santa Catarina Cuixtla,0,0,0,0,0,0,0,1
Santa Catarina Ixtepeji,2,156,156,0,156,156,0,0
Santa Catarina Juquila,3,2137,1532,605,2112,1512,600,3
Santa Catarina Lachatao,0,0,0,0,0,0,0,1
Santa Catarina Loxicha,0,0,0,0,0,0,0,1
Santa Catarina Mechoacan,1,800,608,192,800,608,192,0
Santa Catarina Minas,0,0,0,0,0,0,0,1
Santa Catarina Quiane,1,186,116,70,186,116,70,1
Santa Catarina Tayata,1,514,228,286,514,228,286,0
Santa Catarina Ticua,1,500,300,200,500,300,200,0
Santa Catarina Yosonotu,0,0,0,0,0,0,0,1
Santa Catarina Zapoquila,2,157,141,16,156,140,16,1
Santa Cruz Amilpas,2,55,29,26,55,29,26,0
Santa Cruz Itundujia,1,6,4,2,6,4,2,1
Santa Cruz Mixtepec,1,30,23,7,30,23,7,3
Santa Cruz Nundaco,1,1000,600,400,1000,600,400,0
Santa Cruz Papalutla,1,600,280,320,600,280,320,0
Santa Cruz Tacache de Mina,2,50,44,6,50,44,6,0
Santa Cruz Tacahua,0,0,0,0,0,0,0,1
Santa Cruz Tayata,1,63,55,8,63,55,8,0
Santa Cruz Xitla,1,1200,700,500,1200,700,500,1
Santa Cruz Xoxocotlan,1,4,4,0,4,4,0,4
Santa Cruz Zenzontepec,0,0,0,0,0,0,0,1
Santa Gertrudis,3,68,68,0,68,68,0,2
Santa Ines del Monte,0,0,0,0,0,0,0,1
Santa Lucia del Camino,0,0,0,0,0,0,0,2
Santa Lucia Miahuatlan,1,400,240,160,400,240,160,0
Santa Lucia Monteverde,1,1670,1170,500,1670,1170,500,3
Santa Lucia Ocotlan,1,80,70,10,80,70,10,0
Santa Maria Alotepec,2,150,136,14,150,136,14,1
Santa Maria Apazco,0,0,0,0,0,0,0,1
Heroica Ciudad de Tlaxiaco,7,5543,3730,1813,5543,3730,1813,1
Ayoquezco de Aldama,0,0,0,0,0,0,0,1
Santa Maria Atzompa,1,5,5,0,5,5,0,0
Santa Maria Camotlan,1,70,55,15,70,55,15,0
Santa Maria Colotepec,1,760,456,304,760,456,304,0
Santa Maria Cortijo,1,57,34,23,57,34,23,0
Santa Maria Coyotepec,1,100,75,25,100,75,25,1
Santa Maria Chachoapam,1,110,90,20,110,90,20,1
Villa de Chilapa de Diaz,0,0,0,0,0,0,0,4
Santa Maria Chilchotla,3,127,106,21,102,97,5,2
Santa Maria Chimalapa,1,41,22,19,41,22,19,2
Santa Maria del Rosario,1,353,200,153,120,90,30,0
Santa Maria del Tule,2,46,41,5,46,41,5,1
Santa Maria Ecatepec,2,107,94,13,50,40,10,7
Santa Maria Guelace,1,70,49,21,70,49,21,0
Santa Maria Guienagati,0,0,0,0,0,0,0,1
Santa Maria Huatulco,1,2000,1600,400,2000,1600,400,0
Santa Maria Huazolotitlan,5,363,308,55,363,308,55,1
Santa Maria Ipalapa,3,610,535,75,580,520,60,0
Santa Maria Ixcatlan,0,0,0,0,0,0,0,1
Santa Maria Jacatepec,7,153,114,39,122,93,29,8
Santa Maria Jalapa del Marques,0,0,0,0,0,0,0,1
Santa Maria Jaltianguis,1,164,128,36,164,128,36,0
Santa Maria Mixtequilla,1,800,730,70,800,730,70,0
Santa Maria Nativitas,0,0,0,0,0,0,0,1
Santa Maria Nduayaco,0,0,0,0,0,0,0,3
Santa Maria Papalo,0,0,0,0,0,0,0,1
Santa Maria Peñoles,4,1795,1418,377,845,538,307,0
Santa Maria Petapa,1,500,400,100,500,400,100,0
Santa Maria Quiegolani,1,15,11,4,15,11,4,1
Santa Maria Sola,1,15,11,4,15,11,4,3
Santa Maria Tataltepec,0,0,0,0,0,0,0,1
Santa Maria Tecomavaca,0,0,0,0,0,0,0,1
Santa Maria Temaxcalapa,0,0,0,0,0,0,0,1
Santa Maria Temaxcaltepec,0,0,0,0,0,0,0,1
Santa Maria Teopoxco,1,700,500,200,200,130,70,0
Santa Maria Tepantlali,0,0,0,0,0,0,0,1
Santa Maria Texcatitlan,1,100,40,60,100,40,60,0
Santa Maria Tlahuitoltepec,1,3500,3300,200,3500,3300,200,1
Santa Maria Tlalixtac,1,100,50,50,100,50,50,0
Santa Maria Tonameca,2,2800,2350,450,2800,2350,450,0
Santa Maria Totolapilla,1,40,40,0,40,40,0,0
Santa Maria Yalina,0,0,0,0,0,0,0,1
Santa Maria Yolotepec,0,0,0,0,0,0,0,1
Santa Maria Yosoyua,1,288,138,150,288,138,150,0
Santa Maria Yucuhiti,1,800,650,150,800,650,150,1
Santa Maria Zacatepec,1,12936,6936,6000,12936,6936,6000,0
Santa Maria Zaniza,0,0,0,0,0,0,0,1
Santa Maria Zoquitlan,1,100,100,0,100,100,0,0
Santiago Amoltepec,0,0,0,0,0,0,0,1
Santiago Apoala,0,0,0,0,0,0,0,1
Santiago Astata,1,642,552,90,642,552,90,0
Santiago Atitlan,1,900,800,100,900,800,100,0
Santiago Ayuquililla,0,0,0,0,0,0,0,2
Santiago Cacaloxtepec,0,0,0,0,0,0,0,1
Santiago Camotlan,1,10,10,0,10,10,0,3
Santiago Comaltepec,1,25,10,15,25,10,15,1
Santiago Chazumba,5,688,312,376,88,52,36,5
Santiago Choapam,1,180,170,10,180,170,10,5
Santiago del Rio,0,0,0,0,0,0,0,2
Santiago Huajolotitlan,3,11,8,3,11,8,3,4
Santiago Huauclilla,0,0,0,0,0,0,0,4
Santiago Ihuitlan Plumas,1,60,45,15,60,45,15,1
Santiago Ixcuintepec,0,0,0,0,0,0,0,1
Santiago Ixtayutla,4,848,810,38,848,810,38,3
Santiago Jamiltepec,5,482,419,63,332,284,48,1
Santiago Jocotepec,12,108,84,24,66,42,24,11
Santiago Juxtlahuaca,6,8455,4639,3816,8455,4639,3816,4
Santiago Lachiguiri,1,720,681,39,720,681,39,1
Santiago Lalopa,0,0,0,0,0,0,0,1
Santiago Laollaga,1,108,88,20,108,88,20,1
Santiago Laxopa,2,96,53,43,0,0,0,1
Santiago Llano Grande,3,156,90,66,144,79,65,0
Santiago Matatlan,2,60,60,0,60,60,0,1
Santiago Minas,0,0,0,0,0,0,0,1
Santiago Nacaltepec,3,184,153,31,184,153,31,2
Santiago Nejapilla,0,0,0,0,0,0,0,1
Santiago Nundiche,1,386,186,200,386,186,200,0
Santiago Nuyoo,1,95,55,40,0,0,0,2
Santiago Pinotepa Nacional,20,1185,927,258,1034,794,240,3
Santiago Suchilquitongo,5,325,243,82,325,243,82,1
Santiago Tamazola,1,59,55,4,59,55,4,3
Santiago Tapextla,3,157,128,29,154,125,29,0
Villa Tejupam de la Union,0,0,0,0,0,0,0,1
Santiago Tenango,0,0,0,0,0,0,0,1
Santiago Tepetlapa,1,230,150,80,230,150,80,0
Santiago Tetepec,5,366,328,38,137,136,1,1
Santiago Texcalcingo,0,0,0,0,0,0,0,1
Santiago Textitlan,0,0,0,0,0,0,0,2
Santiago Tilantongo,0,0,0,0,0,0,0,1
Santiago Tillo,0,0,0,0,0,0,0,2
Santiago Tlazoyaltepec,0,0,0,0,0,0,0,1
Santiago Xanica,2,770,480,290,770,480,290,0
Santiago Xiacui,2,201,201,0,201,201,0,1
Santiago Yaitepec,0,0,0,0,0,0,0,1
Santiago Yaveo,1,10,0,10,0,0,0,7
Santiago Yosondua,0,0,0,0,0,0,0,4
Santiago Yucuyachi,0,0,0,0,0,0,0,1
Santiago Zacatepec,1,800,650,150,800,650,150,2
Santiago Zoochila,0,0,0,0,0,0,0,1
Nuevo Zoquiapam,1,420,420,0,40,40,0,0
Santo Domingo Ingenio,1,800,450,350,700,450,250,0
Santo Domingo Albarradas,0,0,0,0,0,0,0,1
Santo Domingo Armenta,1,115,102,13,100,100,0,0
Santo Domingo Chihuitan,1,148,146,2,148,146,2,0
Santo Domingo de Morelos,0,0,0,0,0,0,0,1
Santo Domingo Ixcatlan,0,0,0,0,0,0,0,1
Santo Domingo Nuxaa,0,0,0,0,0,0,0,1
Santo Domingo Ozolotepec,1,350,200,150,350,200,150,0
Santo Domingo Petapa,1,7000,6600,400,6500,6425,75,0
Santo Domingo Roayaga,1,10,10,0,10,10,0,1
Santo Domingo Tehuantepec,12,1216,981,235,1160,945,215,5
Santo Domingo Teojomulco,0,0,0,0,0,0,0,1
Santo Domingo Tepuxtepec,1,30,30,0,30,30,0,0
Santo Domingo Tlatayapam,0,0,0,0,0,0,0,1
Santo Domingo Tomaltepec,2,12,12,0,12,12,0,0
Santo Domingo Tonala,2,200,165,35,200,165,35,2
Santo Domingo Tonaltepec,1,5,4,1,5,4,1,0
Santo Domingo Xagacia,0,0,0,0,0,0,0,1
Santo Domingo Yanhuitlan,0,0,0,0,0,0,0,1
Santo Domingo Zanatepec,4,46,36,10,46,36,10,2
Santos Reyes Nopala,3,3500,1800,1700,3000,1800,1200,1
Santos Reyes Papalo,1,520,500,20,520,500,20,0
Santos Reyes Tepejillo,1,177,132,45,177,132,45,0
Santos Reyes Yucuna,0,0,0,0,0,0,0,1
Santo Tomas Jalieza,3,155,150,5,55,50,5,2
Santo Tomas Mazaltepec,0,0,0,0,0,0,0,1
Santo Tomas Ocotepec,1,400,250,150,400,250,150,0
San Vicente Coatlan,0,0,0,0,0,0,0,1
San Vicente Lachixio,0,0,0,0,0,0,0,2
San Vicente Nuñu,0,0,0,0,0,0,0,1
Silacayoapam,2,62,37,25,62,37,25,7
Soledad Etla,1,300,200,100,300,200,100,0
Villa de Tamazulapam del Progreso,0,0,0,0,0,0,0,1
Tanetze de Zaragoza,0,0,0,0,0,0,0,2
Taniche,1,20,20,0,20,20,0,0
Tataltepec de Valdes,2,548,343,205,548,343,205,0
Teococuilco de Marcos Perez,0,0,0,0,0,0,0,1
Teotitlan de Flores Magon,1,600,500,100,600,500,100,1
Teotitlan del Valle,1,50,30,20,50,30,20,1
Teotongo,0,0,0,0,0,0,0,1
Tepelmeme Villa de Morelos,0,0,0,0,0,0,0,1
Tezoatlan de Segura y Luna,0,0,0,0,0,0,0,9
San Jeronimo Tlacochahuaya,3,415,372,43,415,372,43,0
Tlacolula de Matamoros,3,182,132,50,46,31,15,3
Tlacotepec Plumas,1,92,82,10,92,82,10,0
Tlalixtac de Cabrera,1,479,279,200,479,279,200,1
Totontepec Villa de Morelos,2,180,180,0,180,180,0,9
Trinidad Zaachila,1,60,30,30,60,30,30,4
La Trinidad Vista Hermosa,0,0,0,0,0,0,0,1
Valerio Trujano,1,179,125,54,179,125,54,0
San Juan Bautista Valle Nacional,9,197,176,21,105,93,12,15
Villa Diaz Ordaz,0,0,0,0,0,0,0,3
Yaxe,1,150,120,30,150,120,30,0
Magdalena Yodocono de Porfirio Diaz,0,0,0,0,0,0,0,1
Yogana,0,0,0,0,0,0,0,2
Yutanduchi de Guerrero,0,0,0,0,0,0,0,1
Villa de Zaachila,3,110,72,38,110,72,38,0
Zapotitlan del Rio,0,0,0,0,0,0,0,2
Zapotitlan Lagunas,0,0,0,0,0,0,0,1
Zapotitlan Palmas,0,0,0,0,0,0,0,2
Santa Ines de Zaragoza,1,130,105,25,130,105,25,0
Zimatlan de alvarez,2,1025,690,335,1025,690,335,6
Puebla,757,91880,60808,31072,69535,50208,19327,437
Acajete,8,3605,2883,722,2905,2219,686,0
Acateno,2,27,21,6,27,21,6,2
Acatlan,8,788,633,155,593,454,139,8
