INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Simojovel,31,1145,1098,47,398,392,6,22
Sitala,1,10,10,0,10,10,0,6
Socoltenango,29,583,512,71,575,509,66,4
Solosuchiapa,5,181,167,14,181,167,14,6
Soyalo,1,109,94,15,0,0,0,3
Suchiapa,4,672,568,104,672,568,104,5
Suchiate,14,547,457,90,547,457,90,3
Sunuapa,0,0,0,0,0,0,0,1
Tapachula,36,1903,1341,562,1622,1179,443,16
Tapalapa,2,201,126,75,201,126,75,0
Tapilula,4,1109,608,501,1109,608,501,0
Tecpatan,33,754,529,225,684,475,209,26
Tenejapa,0,0,0,0,0,0,0,7
Teopisca,4,94,78,16,68,53,15,12
Tila,17,1829,1753,76,340,314,26,12
Tonala,22,322,286,36,312,279,33,32
Totolapa,5,739,714,25,739,714,25,3
La Trinitaria,38,2724,2453,271,2558,2307,251,47
Tumbala,14,1319,1173,146,438,436,2,10
Tuxtla Gutierrez,6,8769,7448,1321,8769,7448,1321,0
Tuxtla Chico,6,162,111,51,162,111,51,1
Tuzantan,13,1097,790,307,1012,760,252,3
Tzimol,7,293,278,15,293,278,15,11
Union Juarez,9,503,364,139,503,364,139,3
Venustiano Carranza,26,8675,8410,265,8613,8356,257,15
Villa Corzo,39,3386,2747,639,2106,1812,294,32
Villaflores,32,21934,9679,12255,21821,9570,12251,35
Yajalon,2,200,190,10,200,190,10,6
San Lucas,2,164,139,25,164,139,25,0
Zinacantan,0,0,0,0,0,0,0,6
San Juan Cancuc,1,5500,5500,0,5500,5500,0,0
Aldama,1,400,350,50,0,0,0,0
Benemerito de las Americas,9,179,134,45,179,134,45,5
Maravilla Tenejapa,15,179,158,21,120,102,18,18
Marques de Comillas,18,334,242,92,270,192,78,5
Montecristo de Guerrero,3,292,279,13,122,117,5,2
San Andres Duraznal,4,104,64,40,43,43,0,1
Santiago el Pinar,1,100,60,40,0,0,0,0
Chihuahua,390,20765,16890,3875,12916,11195,1721,597
Ahumada,9,2322,1293,1029,315,287,28,15
Aldama,1,60,50,10,60,50,10,23
Allende,13,98,90,8,84,76,8,8
Aquiles Serdan,0,0,0,0,0,0,0,2
Ascension,10,975,931,44,777,760,17,11
Bachiniva,9,563,480,83,537,461,76,2
Balleza,7,2556,2017,539,132,93,39,13
Batopilas,4,76,61,15,26,26,0,8
Bocoyna,11,335,263,72,229,202,27,15
Buenaventura,4,159,135,24,60,46,14,5
Camargo,6,12,12,0,5,5,0,18
Carichi,6,889,788,101,889,788,101,17
Casas Grandes,3,25,18,7,13,10,3,10
Coronado,3,6,6,0,5,5,0,3
Coyame del Sotol,3,9,9,0,0,0,0,9
La Cruz,1,172,141,31,172,141,31,4
Cuauhtemoc,17,550,446,104,510,416,94,9
Cusihuiriachi,3,46,43,3,45,42,3,18
Chihuahua,18,390,339,51,204,184,20,29
Chinipas,4,273,218,55,0,0,0,12
Delicias,3,53,50,3,53,50,3,1
Dr. Belisario Dominguez,5,57,55,2,47,45,2,4
Galeana,1,319,319,0,319,319,0,3
Santa Isabel,4,9,7,2,9,7,2,4
Gomez Farias,5,674,557,117,659,543,116,2
Gran Morelos,6,42,37,5,42,37,5,4
Guachochi,5,201,134,67,10,8,2,21
Guadalupe,2,55,50,5,5,5,0,5
Guadalupe y Calvo,25,2359,1906,453,1804,1429,375,20
Guazapares,3,24,21,3,0,0,0,8
Guerrero,28,230,211,19,155,148,7,22
Hidalgo del Parral,0,0,0,0,0,0,0,12
Huejotitan,3,75,69,6,22,19,3,5
Ignacio Zaragoza,1,980,980,0,980,980,0,3
Janos,2,100,82,18,100,82,18,12
Jimenez,20,142,124,18,125,107,18,33
Juarez,9,158,129,29,90,79,11,1
Julimes,0,0,0,0,0,0,0,6
Lopez,9,108,89,19,6,6,0,3
Madera,9,99,89,10,78,68,10,11
Maguarichi,4,156,133,23,116,102,14,1
Manuel Benavides,2,9,9,0,9,9,0,12
