INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Total de ejidos y comunidades segun compravente de tierras ejidales, tipo de participantes",,,,,,,,,,Cuadro 38
y superficie vendida por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio, ejidos_y_comunidades,con_compraventa_de_tierras_ejidales_total,con_compraventa_de_tierras_ejidales_entro_ejidatarios,con_compraventa_de_tierras_ejidales_con_avecindados_o_posesionarios,con_compraventa_de_tierras_ejidales_con_personas_ajenas_al_ejido,principales_compradores_ejidatarios,principales_compradores_avecindados_o_posesionarios,principales_compradores_personas_ajenas_al_ejido,superficie_vendida_en_los_ultimos_10 años_(ha),no_reportan_compraventa
Zinaparo,7,4,3,2,3,2,0,2,120,3
Zinapecuaro,31,21,18,14,9,14,3,4,513.5,10
Ziracuaretiro,10,7,4,6,6,0,2,5,631,3
Zitacuaro,31,23,18,16,15,11,5,7,799,8
Jose Sixto Verduzco,18,16,15,6,4,13,2,1,537,2
Morelos,234,185,141,139,131,85,20,80,8716.45,49
Amacuzac,4,4,4,4,4,0,2,2,349,0
Atlatlahucan,C,C,0,0,2,0,0,2,210,C
Axochiapan,7,6,5,5,3,4,1,1,225,1
Ayala,16,16,14,15,11,9,2,5,272,0
Coatlan del Rio,5,4,4,3,2,3,0,1,65,1
Cuautla,9,5,5,3,4,2,1,2,636,4
Cuernavaca,11,7,3,5,6,1,0,6,618,4
Emiliano Zapata,6,4,3,2,3,1,0,3,50,2
Huitzilac,C,C,1,1,1,1,0,0,10,C
Jantetelco,7,6,6,5,3,5,1,0,273,1
Jiutepec,7,7,4,7,5,2,0,5,151.15,0
Jojutla,9,8,5,5,6,2,2,4,545,1
Jonacatepec,4,4,4,4,2,4,0,0,110,0
Mazatepec,C,C,2,3,2,0,2,1,61.1,C
Miacatlan,6,4,4,3,3,4,0,0,190,2
Ocuituco,9,4,3,3,2,3,0,1,326,5
Puente de Ixtla,9,8,6,6,8,2,0,6,1070,1
Temixco,8,7,4,5,7,1,0,6,718.5,1
Tepalcingo,10,8,8,7,2,7,1,0,302,2
Tepoztlan,C,C,0,1,1,0,0,1,10,C
Tetecala,3,3,3,3,3,2,0,1,100,0
Tetela del Volcan,7,6,6,6,4,4,0,2,56,1
Tlalnepantla,3,2,1,0,1,1,0,1,60,1
Tlaltizapan,17,13,7,9,10,4,1,8,286.2,4
Tlaquiltenango,19,11,9,6,6,8,1,2,710,8
Tlayacapan,7,6,5,3,5,3,1,2,198,1
Totolapan,6,3,2,2,2,1,0,2,50,3
Xochitepec,6,5,5,5,5,1,0,4,390,1
Yautepec,10,10,3,6,9,1,1,8,228,0
Yecapixtla,11,9,7,5,6,5,1,3,271,2
Zacatepec de Hidalgo,3,3,3,3,1,1,2,0,43.5,0
Zacualpan de Amilpas,C,C,1,1,0,1,0,0,0,C
Temoac,4,4,4,3,2,2,1,1,132,0
Nayarit,404,322,286,243,249,171,34,117,46408.61,82
Acaponeta,24,18,18,14,14,12,3,3,1816,6
Ahuacatlan,8,8,7,6,4,7,0,1,944,0
Amatlan de Cañas,17,16,15,4,4,15,1,0,805,1
Compostela,31,28,26,23,23,20,2,6,3275.53,3
Huajicori,10,0,0,0,0,0,0,0,0,10
Ixtlan del Rio,10,6,5,0,2,4,0,2,1342,4
Jala,10,10,9,6,3,7,1,2,1327,0
Xalisco,16,15,14,12,12,5,1,9,1762,1
Del Nayar,24,1,1,0,0,1,0,0,0,23
Rosamorada,32,28,21,21,23,12,6,10,4160.33,4
Ruiz,7,4,4,4,4,0,2,2,5600,3
San Blas,33,33,32,27,29,18,1,14,3985,0
San Pedro Lagunillas,9,7,7,6,6,5,0,2,1212,2
Santa Maria del Oro,17,14,14,13,12,6,1,7,1078,3
Santiago Ixcuintla,58,56,50,47,43,31,10,15,3995.5,2
Tecuala,25,20,17,16,18,13,1,6,2978.5,5
Tepic,51,42,34,29,36,9,3,30,5894.75,9
Tuxpan,6,5,5,5,5,4,0,1,1448,1
La Yesca,4,2,2,1,2,1,0,1,0,2
Bahia de Banderas,12,9,5,9,9,1,2,6,4785,3
Nuevo Leon,607,389,259,163,254,149,38,202,83985.61,218
Abasolo,C,C,0,0,0,0,0,0,0,C
Agualeguas,6,5,5,1,1,5,0,0,645,1
Los Aldamas,C,C,1,0,0,1,0,0,40,C
Allende,C,C,0,0,1,0,0,1,10,C
Anahuac,13,12,6,5,12,3,0,9,11579,1
Apodaca,C,C,1,1,1,0,1,0,88,C
Aramberri,43,29,23,13,9,17,6,6,1428,14
Bustamante,C,C,2,1,2,0,0,2,1622,C
Cadereyta Jimenez,32,31,20,17,29,2,3,26,8285.86,1
Carmen,C,C,0,0,1,0,0,1,1000,C
Cerralvo,C,C,1,0,1,0,0,1,5000,C
Cienega de Flores,C,C,2,2,2,0,0,2,1503,C
China,4,4,4,4,3,2,0,2,3780,0
Dr. Arroyo,106,51,45,18,9,44,2,5,871,55
Dr. Gonzalez,3,1,0,0,1,0,0,1,0,2
Galeana,110,41,25,12,20,21,5,15,1925.5,69
Garcia,11,11,4,2,10,1,0,10,4531,0
Gral. Bravo,C,C,1,1,1,0,0,1,17,C
Gral. Escobedo,C,C,2,2,2,0,0,2,1964,C
Gral. Teran,16,16,12,11,14,4,2,10,2064.75,0
Gral. Zaragoza,15,0,0,0,0,0,0,0,0,15
Gral. Zuazua,C,C,0,0,1,0,0,1,100,C
Guadalupe,C,C,0,0,1,0,0,1,98,C
Hualahuises,5,4,1,1,4,0,1,3,2215,1
Iturbide,12,2,2,1,1,1,0,1,13,10
Juarez,4,4,4,2,4,0,0,4,1510,0
Lampazos de Naranjo,7,2,1,1,0,1,1,0,36,5
Linares,68,61,36,28,47,19,7,35,9541,7
Marin,C,C,1,1,1,0,0,1,300,C
Mier y Noriega,14,10,10,3,1,9,0,1,130,4
Mina,23,14,6,4,12,4,1,9,4119,9
Montemorelos,26,23,13,9,20,3,1,19,2703.5,3
Monterrey,C,C,1,1,1,0,0,1,0,C
Paras,3,2,1,1,2,1,0,1,980,1
Pesqueria,8,8,5,6,7,0,2,6,761,0
Los Ramones,4,4,0,0,4,0,0,4,875,0
Rayones,8,3,2,1,2,1,0,2,160,5
Sabinas Hidalgo,9,8,6,3,6,4,0,4,2684,1
Salinas Victoria,7,7,4,4,6,0,3,4,6802,0
Hidalgo,C,C,0,0,0,0,0,0,0,C
Santa Catarina,5,3,2,1,2,2,0,1,37,2
Santiago,9,3,0,1,2,0,1,2,24,6
Vallecillo,11,10,8,3,7,4,1,5,4107,1
Villaldama,5,4,2,2,4,0,1,3,436,1
Oaxaca,1632,785,721,464,300,586,87,112,86363.59,847
Abejones,C,C,0,0,0,0,0,0,0,C
Acatlan de Perez Figueroa,38,24,23,17,12,22,1,1,791,14
Asuncion Cacalotepec,C,C,0,0,0,0,0,0,0,C
Asuncion Cuyotepeji,C,C,1,1,0,1,0,0,10,C
Asuncion Ixtaltepec,11,8,8,5,1,8,0,0,590,3
Asuncion Nochixtlan,11,4,4,1,1,3,0,1,217,7
Asuncion Tlacolulita,C,C,0,0,0,0,0,0,0,C
Ayotzintepec,6,5,4,2,0,4,1,0,607,1
El Barrio de la Soledad,C,C,1,1,1,0,0,1,300,C
Calihuala,4,0,0,0,0,0,0,0,0,4
Candelaria Loxicha,C,C,1,1,1,0,1,0,500,C
Cienega de Zimatlan,C,C,1,0,1,1,0,0,20,C
Ciudad Ixtepec,C,C,1,1,1,0,0,1,70,C
Coatecas Altas,C,C,0,0,0,0,0,0,0,C
Coicoyan de las Flores,C,C,0,0,0,0,0,0,0,C
La Compañia,C,C,0,0,0,0,0,0,0,C
Concepcion Buenavista,4,0,0,0,0,0,0,0,0,4
Concepcion Papalo,C,C,1,0,0,1,0,0,10,C
Constancia del Rosario,C,C,2,2,0,2,0,0,34,C
Cosolapa,8,5,5,4,4,2,1,2,85,3
Cosoltepec,3,0,0,0,0,0,0,0,0,3
Cuilapam de Guerrero,4,2,1,2,2,1,0,1,8,2
Cuyamecalco Villa de Zaragoza,C,C,0,0,0,0,0,0,0,C
Chahuites,C,C,1,1,0,1,0,0,100,C
Chalcatongo de Hidalgo,C,C,1,1,1,0,1,0,100,C
Chiquihuitlan de Benito Juarez,C,C,1,0,0,1,0,0,20,C
Heroica Ciudad de Ejutla de Crespo,13,5,3,3,1,2,2,1,593,8
Tamazulapam del Espiritu Santo,C,C,1,1,0,0,1,0,5,C
Fresnillo de Trujano,C,C,0,0,0,0,0,0,0,C
Guadalupe Etla,C,C,1,1,1,0,1,0,60,C
Guadalupe de Ramirez,C,C,1,0,0,1,0,0,30,C
Guelatao de Juarez,C,C,0,0,0,0,0,0,0,C
Guevea de Humboldt,C,C,0,0,0,0,0,0,0,C
Mesones Hidalgo,3,2,2,1,1,1,1,0,30,1
Villa Hidalgo,C,C,0,0,0,0,0,0,0,C
Heroica Ciudad de Huajuapan de Juarez,8,4,4,3,3,1,0,3,53,4
Huautepec,C,C,1,0,0,1,0,0,0,C
Ixtlan de Juarez,10,0,0,0,0,0,0,0,0,10
Heroica Ciudad de Juchitan de Zaragoza,5,4,4,4,2,3,1,0,514,1
Loma Bonita,37,23,17,12,13,17,0,6,2039.5,14
Magdalena Apasco,4,3,3,3,2,2,0,1,53.59,1
Magdalena Jaltepec,C,C,1,1,1,1,0,0,0,C
Santa Magdalena Jicotlan,C,C,1,1,1,1,0,0,0,C
Magdalena Mixtepec,C,C,1,0,0,1,0,0,5,C
Magdalena Ocotlan,C,C,0,0,0,0,0,0,0,C
Magdalena Peñasco,C,C,1,0,0,1,0,0,3000,C
Magdalena Teitipac,C,C,0,0,0,0,0,0,0,C
Magdalena Tequisistlan,3,0,0,0,0,0,0,0,0,3
Magdalena Tlacotepec,C,C,1,0,0,1,0,0,10,C
Magdalena Zahuatlan,C,C,0,0,0,0,0,0,0,C
Mariscala de Juarez,3,0,0,0,0,0,0,0,0,3
Martires de Tacubaya,C,C,1,2,2,1,1,0,120,C
Matias Romero Avendaño,24,22,22,14,9,16,2,4,14582,2
Miahuatlan de Porfirio Diaz,9,2,2,1,0,2,0,0,43,7
Mixistlan de la Reforma,C,C,1,1,0,1,0,0,10,C
Monjas,C,C,1,1,1,0,0,1,200,C
Nazareno Etla,C,C,1,1,1,1,0,0,15,C
Nejapa de Madero,9,5,5,2,1,5,0,0,273,4
Ixpantepec Nieves,3,2,2,1,0,2,0,0,15,1
Santiago Niltepec,4,4,4,2,3,4,0,0,8065,0
Oaxaca de Juarez,9,6,3,5,5,1,2,3,428,3
Ocotlan de Morelos,10,5,4,2,1,4,0,1,20,5
"La ""Pe""",C,C,0,0,0,0,0,0,0,C
Pinotepa de Don Luis,C,C,1,1,0,1,0,0,40,C
San Jose del Progreso,C,C,2,2,2,1,1,0,40,C
Putla Villa de Guerrero,15,10,10,8,2,7,3,0,177,5
Santa Catarina Quioquitani,C,C,1,0,0,1,0,0,20,C
Reforma de Pineda,C,C,1,1,1,1,0,0,1600,C
La Reforma,4,4,4,2,0,4,0,0,853,0
Reyes Etla,C,C,2,2,2,0,1,1,29,C
Rojas de Cuauhtemoc,C,C,0,0,1,0,0,1,10,C
Salina Cruz,3,3,3,3,1,2,1,0,63,0
San Agustin Amatengo,C,C,0,0,0,0,0,0,0,C
San Agustin Atenango,C,C,2,1,0,1,1,0,21,C
San Agustin Chayuco,5,4,4,2,0,4,0,0,390,1
San Agustin de las Juntas,C,C,2,2,2,2,0,0,14,C
San Agustin Etla,C,C,0,0,0,0,0,0,0,C
San Agustin Loxicha,C,C,1,1,1,1,0,0,2000,C
San Agustin Tlacotepec,C,C,0,0,0,0,0,0,0,C
San Agustin Yatareni,C,C,0,0,0,1,0,0,0,C
San Andres Cabecera Nueva,C,C,1,1,0,1,0,0,500,C
San Andres Dinicuiti,3,2,2,1,0,2,0,0,1,1
San Andres Huaxpaltepec,C,C,1,1,1,1,0,0,10,C
San Andres Huayapam,C,C,1,1,1,0,0,1,2,C
San Andres Ixtlahuaca,C,C,0,0,0,0,0,0,0,C
San Andres Lagunas,C,C,1,0,0,1,0,0,3,C
San Andres Nuxiño,C,C,0,0,0,0,0,0,0,C
San Andres Sinaxtla,C,C,1,1,1,1,0,0,15,C
San Andres Solaga,3,0,0,0,0,0,0,0,0,3
San Andres Teotilalpam,C,C,1,1,0,1,0,0,200,C
San Andres Yaa,C,C,0,0,0,0,0,0,0,C
San Andres Zabache,C,C,0,0,0,0,0,0,0,C
San Andres Zautla,3,1,1,0,0,1,0,0,1,2
San Antonino Castillo Velasco,C,C,0,0,0,0,0,0,0,C
San Antonino el Alto,C,C,2,0,0,2,0,0,3.5,C
San Antonino Monte Verde,C,C,0,0,0,0,0,0,0,C
San Antonio Acutla,C,C,0,0,0,0,0,0,0,C
San Antonio de la Cal,C,C,1,1,0,1,0,0,20,C
San Antonio Huitepec,C,C,0,0,0,0,0,0,0,C
San Antonio Nanahuatipam,3,0,0,0,0,0,0,0,0,3
San Antonio Sinicahua,C,C,1,0,0,1,0,0,30,C
San Antonio Tepetlapa,3,1,1,1,1,1,0,0,15,2
San Baltazar Chichicapam,C,C,0,0,0,0,0,0,0,C
San Baltazar Loxicha,C,C,0,0,0,0,0,0,0,C
San Baltazar Yatzachi el Bajo,4,1,1,0,0,1,0,0,0,3
San Bartolo Coyotepec,4,3,3,3,2,2,0,1,90,1
San Bartolome Ayautla,C,C,0,0,0,0,0,0,0,C
San Bartolome Loxicha,C,C,0,0,0,0,0,0,0,C
San Bartolome Quialana,C,C,0,0,0,0,0,0,0,C
San Bartolome Yucuañe,C,C,0,0,0,0,0,0,0,C
San Bartolome Zoogocho,C,C,0,0,0,0,0,0,0,C
San Bartolo Soyaltepec,C,C,0,0,0,0,0,0,0,C
San Bartolo Yautepec,C,C,0,0,0,0,0,0,0,C
San Bernardo Mixtepec,3,1,1,1,0,1,0,0,3,2
San Blas Atempa,C,C,1,1,1,1,0,0,1000,C
San Carlos Yautepec,18,3,3,2,0,3,0,0,85,15
San Cristobal Amatlan,4,3,3,1,0,3,0,0,25,1
San Cristobal Amoltepec,C,C,1,0,0,1,0,0,1,C
San Cristobal Suchixtlahuaca,C,C,0,0,0,0,0,0,0,C
San Dionisio del Mar,C,C,1,0,0,1,0,0,20,C
San Dionisio Ocotepec,5,2,2,0,0,2,0,0,2030,3
San Dionisio Ocotlan,C,C,2,0,0,2,0,0,12,C
San Esteban Atatlahuca,C,C,2,2,0,1,1,0,35.5,C
San Felipe Jalapa de Diaz,12,8,6,5,4,5,0,3,270,4
San Felipe Tejalapam,C,C,0,0,0,0,0,0,0,C
San Felipe Usila,8,1,1,0,1,0,0,1,0,7
San Francisco Cahuacua,C,C,0,0,0,0,0,0,0,C
San Francisco Cajonos,C,C,0,0,0,0,0,0,0,C
San Francisco Chapulapa,C,C,0,0,0,0,0,0,0,C
San Francisco Chindua,C,C,1,0,0,1,0,0,10,C
San Francisco del Mar,C,C,0,0,0,0,0,0,0,C
San Francisco Huehuetlan,C,C,0,0,0,0,0,0,0,C
San Francisco Ixhuatan,3,3,3,3,1,3,0,0,480,0
San Francisco Jaltepetongo,C,C,1,0,0,1,0,0,20,C
San Francisco Lachigolo,C,C,1,1,1,0,0,1,30,C
San Francisco Nuxaño,C,C,0,0,0,0,0,0,0,C
San Francisco Ozolotepec,3,0,0,0,0,0,0,0,0,3
San Francisco Sola,C,C,0,0,0,0,0,0,0,C
San Francisco Telixtlahuaca,C,C,0,0,0,0,0,0,0,C
San Francisco Teopan,C,C,1,1,0,1,0,0,50,C
San Francisco Tlapancingo,C,C,1,1,0,1,0,0,20,C
San Gabriel Mixtepec,C,C,1,0,0,1,0,0,300,C
San Ildefonso Amatlan,C,C,0,0,0,0,0,0,0,C
San Ildefonso Sola,C,C,1,1,0,0,1,0,2,C
San Ildefonso Villa Alta,5,2,2,0,0,2,0,0,3,3
San Jacinto Amilpas,C,C,1,1,0,0,1,0,0,C
San Jacinto Tlacotepec,C,C,0,0,0,0,0,0,0,C
San Jeronimo Coatlan,C,C,0,0,0,0,0,0,0,C
San Jeronimo Silacayoapilla,C,C,1,0,0,1,0,0,3,C
San Jeronimo Sosola,6,0,0,0,0,0,0,0,0,6
San Jeronimo Taviche,C,C,0,0,0,0,0,0,0,C
San Jeronimo Tecoatl,C,C,1,1,0,1,0,0,50,C
San Jorge Nuchita,3,0,0,0,0,0,0,0,0,3
San Jose Ayuquila,C,C,0,0,0,0,0,0,0,C
San Jose Chiltepec,11,6,5,3,3,4,1,1,221,5
San Jose del Peñasco,C,C,0,0,0,0,0,0,0,C
San Jose Estancia Grande,C,C,1,1,1,1,0,0,0,C
San Jose Tenango,C,C,1,1,1,1,0,0,0,C
San Juan Achiutla,C,C,0,0,0,0,0,0,0,C
San Juan Atepec,C,C,0,0,0,0,0,0,0,C
Animas Trujano,C,C,1,1,0,1,0,0,10,C
San Juan Bautista Atatlahuca,3,0,0,0,0,0,0,0,0,3
San Juan Bautista Coixtlahuaca,3,0,0,0,0,0,0,0,0,3
San Juan Bautista Cuicatlan,16,12,11,9,5,11,0,1,86,4
San Juan Bautista Guelache,3,1,0,1,1,0,0,1,6,2
San Juan Bautista Jayacatlan,C,C,0,0,0,0,0,0,0,C
San Juan Bautista lo de Soto,C,C,1,1,0,1,0,0,600,C
San Juan Bautista Suchitepec,C,C,2,1,0,2,0,0,1,C
San Juan Bautista Tlacoatzintepec,C,C,0,0,0,0,0,0,0,C
San Juan Bautista Tlachichilco,C,C,0,0,0,0,0,0,0,C
San Juan Bautista Tuxtepec,68,54,51,31,32,40,5,9,3742.75,14
San Juan Cacahuatepec,6,3,3,3,0,2,1,0,178,3
San Juan Cieneguilla,C,C,0,0,0,0,0,0,0,C
San Juan Coatzospam,C,C,0,0,0,0,0,0,0,C
San Juan Colorado,6,4,4,4,1,4,0,0,90,2
San Juan Comaltepec,3,0,0,0,0,0,0,0,0,3
San Juan Cotzocon,18,11,11,9,6,8,1,2,1834,7
San Juan Chicomezuchil,C,C,0,0,0,0,0,0,0,C
San Juan Chilateca,C,C,1,0,0,1,0,0,2,C
San Juan del Estado,C,C,0,0,0,0,0,0,0,C
San Juan del Rio,C,C,0,0,0,0,0,0,0,C
San Juan Diuxi,C,C,0,0,0,0,0,0,0,C
San Juan Evangelista Analco,C,C,0,0,0,0,0,0,0,C
San Juan Guelavia,C,C,1,0,0,1,0,0,15,C
San Juan Guichicovi,31,24,19,16,12,12,9,3,2707,7
San Juan Ihualtepec,C,C,1,0,0,1,0,0,20,C
San Juan Juquila Mixes,C,C,1,0,0,1,0,0,500,C
San Juan Juquila Vijanos,C,C,0,0,0,0,0,0,0,C
San Juan Lachao,C,C,0,0,0,0,0,0,0,C
San Juan Lachigalla,4,2,2,0,0,2,0,0,28,2
San Juan Lajarcia,C,C,0,0,0,0,0,0,0,C
San Juan Lalana,4,2,2,1,1,2,0,0,200,2
San Juan de los Cues,C,C,1,0,0,0,1,0,200,C
San Juan Mazatlan,20,10,10,8,3,7,2,1,1490,10
San Juan Mixtepec -Dto. 08-,C,C,1,1,0,1,0,0,300,C
San Juan Mixtepec -Dto. 26-,C,C,0,1,0,0,1,0,4,C
San Juan Ñumi,3,0,0,0,0,0,0,0,0,3
San Juan Ozolotepec,4,0,0,0,0,0,0,0,0,4
San Juan Petlapa,6,0,0,0,0,0,0,0,0,6
San Juan Quiahije,C,C,0,0,0,0,0,0,0,C
San Juan Quiotepec,4,0,0,0,0,0,0,0,0,4
San Juan Sayultepec,3,0,0,0,0,0,0,0,0,3
San Juan Tabaa,C,C,0,0,0,0,0,0,0,C
San Juan Tamazola,C,C,1,0,0,1,0,0,2,C
San Juan Teita,C,C,0,0,0,0,0,0,0,C
San Juan Teitipac,C,C,0,0,1,0,0,1,300,C
San Juan Tepeuxila,5,1,1,1,0,1,0,0,7,4
San Juan Teposcolula,C,C,1,0,0,1,0,0,4,C
San Juan Yaee,3,1,1,0,0,1,0,0,5,2
San Juan Yatzona,C,C,0,0,0,0,0,0,0,C
San Juan Yucuita,C,C,0,0,0,0,0,0,0,C
San Lorenzo,3,3,3,3,0,3,0,0,90,0
San Lorenzo Albarradas,3,0,0,0,0,0,0,0,0,3
San Lorenzo Cacaotepec,3,2,2,2,2,1,0,1,30,1
San Lorenzo Texmelucan,C,C,1,0,0,1,0,0,10,C
San Lorenzo Victoria,C,C,0,0,0,0,0,0,0,C
San Lucas Camotlan,C,C,0,0,0,0,0,0,0,C
San Lucas Ojitlan,31,14,13,8,9,9,0,5,541,17
San Lucas Quiavini,C,C,1,0,0,1,0,0,2,C
San Luis Amatlan,C,C,1,0,0,1,0,0,10,C
San Marcos Arteaga,3,0,0,0,0,0,0,0,0,3
San Martin de los Cansecos,C,C,1,0,0,1,0,0,2,C
San Martin Huamelulpam,C,C,1,0,0,1,0,0,5,C
San Martin Itunyoso,C,C,0,0,0,0,0,0,0,C
San Martin Lachila,C,C,1,0,0,1,0,0,6,C
San Martin Peras,C,C,0,0,0,0,0,0,0,C
San Martin Tilcajete,C,C,0,0,0,0,0,0,0,C
San Martin Toxpalan,C,C,0,0,0,0,0,0,0,C
San Mateo Cajonos,C,C,0,0,0,0,0,0,0,C
Capulalpam de Mendez,C,C,0,0,0,0,0,0,0,C
San Mateo del Mar,C,C,1,0,0,1,0,0,5.5,C
San Mateo Etlatongo,C,C,2,1,1,2,0,0,40,C
San Mateo Nejapam,C,C,0,0,0,0,0,0,0,C
San Mateo Peñasco,C,C,1,1,0,1,0,0,2,C
San Mateo Rio Hondo,C,C,0,0,0,0,0,0,0,C
San Mateo Sindihui,C,C,1,0,0,1,0,0,0.25,C
San Mateo Tlapiltepec,C,C,0,0,0,0,0,0,0,C
San Melchor Betaza,C,C,0,0,1,0,0,1,150,C
San Miguel Achiutla,C,C,0,0,0,0,0,0,0,C
San Miguel Aloapam,C,C,0,0,0,0,0,0,0,C
San Miguel Amatitlan,9,1,1,0,0,0,1,0,5,8
San Miguel Coatlan,C,C,0,0,0,0,0,0,0,C
San Miguel Chicahua,C,C,0,0,0,0,0,0,0,C
San Miguel Chimalapa,C,C,1,0,0,1,0,0,200,C
San Miguel del Puerto,3,2,2,1,0,2,0,0,114,1
San Miguel Ejutla,C,C,0,0,0,0,0,0,0,C
San Miguel el Grande,C,C,1,0,0,1,0,0,50,C
San Miguel Huautla,C,C,0,0,0,0,0,0,0,C
San Miguel Mixtepec,C,C,0,0,0,0,0,0,0,C
San Miguel Panixtlahuaca,C,C,0,0,0,0,0,0,0,C
San Miguel Peras,C,C,1,0,0,1,0,0,100,C
San Miguel Piedras,C,C,0,0,0,0,0,0,0,C
San Miguel Quetzaltepec,C,C,0,0,0,0,0,0,0,C
San Miguel Santa Flor,C,C,0,0,0,0,0,0,0,C
Villa Sola de Vega,6,1,1,0,0,1,0,0,3,5
San Miguel Soyaltepec,35,25,21,13,12,15,2,8,1075,10
San Miguel Suchixtepec,C,C,0,0,0,0,0,0,0,C
Villa Talea de Castro,3,2,2,0,0,2,0,0,84,1
San Miguel Tecomatlan,C,C,0,0,0,0,0,0,0,C
San Miguel Tenango,C,C,0,0,0,0,0,0,0,C
San Miguel Tequixtepec,C,C,1,1,0,1,0,0,10,C
San Miguel Tilquiapam,C,C,0,0,0,0,0,0,0,C
San Miguel Tlacamama,4,3,3,2,0,3,0,0,320,1
San Miguel Tlacotepec,C,C,0,1,0,0,1,0,200,C
San Miguel Tulancingo,C,C,0,0,0,0,0,0,0,C
San Miguel Yotao,C,C,1,0,0,1,0,0,7,C
San Nicolas Hidalgo,C,C,0,0,0,0,0,0,0,C
San Pablo Coatlan,3,1,1,1,0,1,0,0,6,2
San Pablo Cuatro Venados,C,C,0,0,0,0,0,0,0,C
San Pablo Etla,3,1,1,1,1,0,0,1,32,2
San Pablo Huitzo,C,C,0,0,1,0,0,1,3,C
San Pablo Huixtepec,C,C,1,0,0,1,0,0,15,C
San Pablo Macuiltianguis,C,C,0,0,0,0,0,0,0,C
San Pablo Tijaltepec,C,C,0,0,0,0,0,0,0,C
San Pablo Villa de Mitla,6,3,3,1,1,2,1,0,38,3
San Pablo Yaganiza,C,C,0,0,0,0,0,0,0,C
San Pedro Amuzgos,C,C,0,0,0,0,0,0,0,C
San Pedro Apostol,C,C,1,0,0,1,0,0,10,C
San Pedro Atoyac,3,2,2,1,0,2,0,0,72,1
San Pedro Cajonos,C,C,0,0,0,0,0,0,0,C
San Pedro Coxcaltepec Cantaros,C,C,1,0,0,1,0,0,1,C
San Pedro Comitancillo,C,C,1,1,0,1,0,0,15,C
San Pedro el Alto,C,C,1,1,1,1,0,0,10,C
San Pedro Huamelula,4,4,3,4,3,2,1,1,82,0
San Pedro Huilotepec,C,C,1,1,1,1,0,0,8,C
San Pedro Ixcatlan,8,1,1,1,1,0,1,0,30,7
San Pedro Ixtlahuaca,C,C,1,1,0,1,0,0,10,C
San Pedro Jaltepetongo,C,C,1,0,0,1,0,0,10,C
San Pedro Jicayan,C,C,1,1,0,1,0,0,20,C
San Pedro Jocotipac,C,C,0,0,0,0,0,0,0,C
San Pedro Juchatengo,C,C,0,0,0,0,0,0,0,C
San Pedro Martir,C,C,0,0,0,0,0,0,0,C
San Pedro Martir Quiechapa,C,C,0,0,0,0,0,0,0,C
San Pedro Martir Yucuxaco,C,C,1,1,1,1,0,0,12,C
San Pedro Mixtepec -Dto. 22-,C,C,1,0,0,1,0,0,650,C
San Pedro Mixtepec -Dto. 26-,C,C,0,0,0,0,0,0,0,C
San Pedro Molinos,C,C,0,0,0,0,0,0,0,C
San Pedro Nopala,C,C,1,0,0,1,0,0,2,C
San Pedro Ocopetatillo,C,C,0,0,0,0,0,0,0,C
San Pedro Ocotepec,C,C,0,0,0,0,0,0,0,C
San Pedro Pochutla,C,C,1,2,1,0,2,0,1020,C
San Pedro Quiatoni,C,C,0,0,0,0,0,0,0,C
San Pedro Sochiapam,5,0,0,0,0,0,0,0,0,5
San Pedro Tapanatepec,8,7,5,2,5,3,1,3,3940,1
San Pedro Taviche,C,C,2,0,0,2,0,0,5,C
San Pedro Teozacoalco,C,C,0,0,0,0,0,0,0,C
San Pedro Teutila,3,1,1,0,0,1,0,0,10,2
San Pedro Tidaa,C,C,0,0,0,0,0,0,0,C
San Pedro Topiltepec,C,C,0,0,0,0,0,0,0,C
San Pedro Totolapa,3,3,3,2,2,3,0,0,16,0
Villa de Tututepec de Melchor Ocampo,6,2,2,2,2,1,1,0,400,4
San Pedro Yaneri,C,C,0,0,0,0,0,0,0,C
San Pedro Yolox,6,0,0,0,0,0,0,0,0,6
San Pedro y San Pablo Ayutla,C,C,0,0,0,0,0,0,0,C
Villa de Etla,C,C,1,1,2,0,0,2,20,C
San Pedro y San Pablo Teposcolula,7,1,1,1,1,1,0,0,5,6
San Pedro y San Pablo Tequixtepec,8,2,2,1,0,2,0,0,10,6
San Pedro Yucunama,C,C,1,0,0,1,0,0,1,C
San Raymundo Jalpan,C,C,0,1,1,0,0,1,100,C
San Sebastian Abasolo,C,C,1,0,1,1,0,1,45,C
San Sebastian Coatlan,C,C,0,0,0,0,0,0,0,C
San Sebastian Ixcapa,7,7,7,1,0,6,0,1,228,0
San Sebastian Nicananduta,C,C,0,0,0,0,0,0,0,C
San Sebastian Rio Hondo,4,3,3,2,0,3,0,0,52,1
San Sebastian Tecomaxtlahuaca,3,2,2,1,0,2,0,0,510,1
San Sebastian Teitipac,C,C,0,0,0,0,0,0,0,C
San Sebastian Tutla,C,C,2,2,1,1,0,1,10,C
San Simon Almolongas,C,C,1,0,0,1,0,0,50,C
San Simon Zahuatlan,C,C,0,0,0,0,0,0,0,C
Santa Ana,C,C,0,0,0,0,0,0,0,C
Santa Ana Cuauhtemoc,C,C,0,0,0,0,0,0,0,C
