INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Total de ejidos y comunidades segun compravente de tierras ejidales, tipo de participantes",,,,,,,,,,Cuadro 38
y superficie vendida por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio, ejidos_y_comunidades,con_compraventa_de_tierras_ejidales_total,con_compraventa_de_tierras_ejidales_entro_ejidatarios,con_compraventa_de_tierras_ejidales_con_avecindados_o_posesionarios,con_compraventa_de_tierras_ejidales_con_personas_ajenas_al_ejido,principales_compradores_ejidatarios,principales_compradores_avecindados_o_posesionarios,principales_compradores_personas_ajenas_al_ejido,superficie_vendida_en_los_ultimos_10 años_(ha),no_reportan_compraventa
Santiago el Pinar,C,C,1,1,0,1,0,0,150,C
Chihuahua,987,618,516,279,351,392,50,176,145770.85,369
Ahumada,24,18,14,9,12,9,2,7,3674,6
Aldama,24,16,13,6,11,9,0,7,1990,8
Allende,21,19,11,10,15,8,5,6,2018,2
Aquiles Serdan,C,C,0,1,0,0,1,0,90,C
Ascension,21,16,16,2,4,14,1,1,2690,5
Bachiniva,11,9,8,6,5,7,0,2,1095,2
Balleza,20,11,9,7,5,9,0,2,1456,9
Batopilas,12,5,5,0,0,5,0,0,77,7
Bocoyna,26,5,5,2,2,4,0,1,38,21
Buenaventura,9,8,7,5,7,5,0,3,11850,1
Camargo,24,19,18,4,10,13,0,6,7902,5
Carichi,23,13,13,11,10,12,1,0,723,10
Casas Grandes,13,12,12,8,7,9,0,3,2563,1
Coronado,6,5,3,3,3,3,1,1,52,1
Coyame del Sotol,12,11,11,9,8,6,3,2,2173.5,1
La Cruz,5,1,1,0,0,1,0,0,50,4
Cuauhtemoc,26,21,18,10,12,11,3,7,2448,5
Cusihuiriachi,21,15,11,7,4,9,4,2,1004,6
Chihuahua,47,36,25,14,24,16,0,20,17457.6,11
Chinipas,16,4,4,4,3,4,0,0,737.75,12
Delicias,4,4,4,2,3,3,0,1,165,0
Dr. Belisario Dominguez,9,6,5,2,1,6,0,0,176,3
Galeana,4,3,2,1,2,2,0,1,2400,1
Santa Isabel,8,7,6,6,5,5,1,1,364,1
Gomez Farias,7,7,6,7,7,4,1,2,1200,0
Gran Morelos,10,10,10,8,4,8,0,2,382,0
Guachochi,26,7,5,2,4,5,0,2,527,19
Guadalupe,7,6,5,2,5,3,0,3,530,1
Guadalupe y Calvo,45,16,11,7,7,9,4,3,372,29
Guazapares,11,1,1,0,0,0,0,1,100,10
Guerrero,50,37,31,22,17,26,5,6,4932,13
Hidalgo del Parral,12,11,8,3,7,6,0,5,375,1
Huejotitan,8,5,5,1,0,4,1,0,216,3
Ignacio Zaragoza,4,2,2,0,1,2,0,0,9300,2
Janos,14,13,13,5,9,9,2,2,5398,1
Jimenez,53,40,30,9,32,15,3,22,27099,13
Juarez,10,10,9,9,10,1,0,9,5608,0
Julimes,6,5,5,2,2,5,0,0,327,1
Lopez,12,9,3,3,8,2,0,7,916,3
Madera,20,13,12,9,5,12,1,0,757,7
Maguarichi,5,0,0,0,0,0,0,0,0,5
Manuel Benavides,14,12,12,4,5,11,0,1,30,2
Matachi,5,5,5,2,1,4,1,0,273,0
Matamoros,8,6,6,2,2,6,0,0,1390,2
Meoqui,4,2,2,0,1,2,0,0,600,2
Morelos,17,3,3,0,0,3,0,0,25,14
Moris,10,1,1,1,0,0,1,0,300,9
Namiquipa,12,10,10,8,4,9,0,1,2470,2
Nonoava,C,C,2,1,1,1,1,0,3500,C
Nuevo Casas Grandes,C,C,2,2,2,0,0,2,500,C
Ocampo,17,4,3,3,3,3,0,1,5,13
Ojinaga,33,22,12,1,16,7,0,15,1589,11
Praxedis G. Guerrero,5,5,5,2,4,2,0,3,570,0
Riva Palacio,9,7,6,3,4,5,0,2,1162,2
Rosales,11,8,5,2,4,4,2,2,436,3
Rosario,7,3,3,2,2,3,0,0,110,4
San Francisco de Borja,9,8,8,7,3,6,1,1,508,1
San Francisco de Conchos,7,6,6,1,0,4,1,1,887,1
San Francisco del Oro,4,2,2,0,1,2,0,0,24,2
Santa Barbara,9,6,5,4,2,5,1,0,217,3
Satevo,20,16,15,2,8,15,0,1,7140,4
Saucillo,13,7,5,1,5,4,0,3,210,6
Temosachi,13,6,6,2,0,6,0,0,773,7
El Tule,4,3,3,1,0,2,1,0,105,1
Urique,29,3,3,3,3,0,1,2,43,26
Uruachi,19,0,0,0,0,0,0,0,0,19
Valle de Zaragoza,15,12,9,7,9,7,1,4,1671,3
Distrito Federal,37,16,7,9,15,6,0,10,310.5,21
Cuajimalpa de Morelos,C,C,0,1,1,0,0,1,0,C
La Magdalena Contreras,3,3,0,1,3,0,0,3,160,0
Milpa Alta,8,3,2,2,3,2,0,1,9,5
alvaro Obregon,C,C,0,0,1,0,0,1,0,C
Tlahuac,7,4,3,2,3,2,0,2,105,3
Tlalpan,10,3,2,2,3,2,0,1,25,7
Xochimilco,4,1,0,1,1,0,0,1,11.5,3
Durango,1124,682,536,349,340,379,96,207,83767.65,442
Canatlan,40,29,29,16,12,21,4,4,4900,11
Canelas,C,C,1,0,0,1,0,0,0,C
Coneto de Comonfort,8,7,5,3,2,4,2,1,218,1
Cuencame,28,24,20,14,10,18,1,5,2316,4
Durango,122,87,68,52,62,29,13,45,12017,35
General Simon Bolivar,21,12,11,5,2,10,1,1,513,9
Gomez Palacio,98,83,31,31,70,12,12,59,9098.5,15
Guadalupe Victoria,10,10,9,7,4,9,0,1,2127,0
Guanacevi,40,13,13,4,0,12,1,0,314,27
Hidalgo,18,16,15,12,10,11,2,3,5852,2
Inde,12,5,5,0,0,5,0,0,1124,7
Lerdo,31,23,13,16,17,4,9,10,3978,8
Mapimi,78,52,31,20,26,23,5,24,13565.14,26
Mezquital,22,10,9,3,3,7,1,2,102,12
Nazas,24,19,14,13,11,7,6,6,531.5,5
Nombre de Dios,19,18,16,17,15,6,5,7,2503,1
Ocampo,24,18,17,9,7,15,2,1,1892.5,6
El Oro,25,14,14,6,2,13,0,1,763.78,11
Otaez,14,2,2,0,0,2,0,0,4,12
Panuco de Coronado,17,15,14,9,7,9,4,2,1006,2
Peñon Blanco,5,5,4,2,3,3,0,2,435,0
Poanas,20,16,12,6,6,12,0,4,2722,4
Pueblo Nuevo,24,4,2,2,1,2,2,0,682.28,20
Rodeo,29,24,22,18,8,8,12,4,482,5
San Bernardo,24,14,14,0,1,14,0,0,568,10
San Dimas,49,3,3,0,0,3,0,0,65,46
San Juan de Guadalupe,21,6,4,4,1,3,2,1,152,15
San Juan del Rio,22,19,18,12,2,18,0,1,4489,3
San Luis del Cordero,C,C,1,1,1,1,0,0,100,C
San Pedro del Gallo,11,6,5,4,2,4,2,0,195,5
Santa Clara,6,6,6,4,1,6,0,0,1290,0
Santiago Papasquiaro,62,25,25,13,7,23,0,2,2370,37
Suchil,10,7,7,2,2,7,0,0,309,3
