INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades agropecuarias y forestales con construcciones de su propiedad,,,,,,,,,,,,cuadro 25
segun tipo y cantidad por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bordos_para_riego_o_abrevadero,cantidad_de_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_pozo_para_riego,cantidad_de_pozos_para_riego,ejidos_y_comunidades_con_baños_garrapaticidas,cantidad_de_baños_garrapaticidas,ejidos_y_comunidades_con_salas_de_ordeña,cantidad_de_salas_de_ordeña,ejidos_y_comunidades_con_aserradero,cantidad_de_aserraderos,ejidos_y_comunidades_con_otras_construcciones,cantidad_de_otras_construcciones
Suchiate,4,5,2,3,0,0,1,4,0,0,8,9
Tapachula,3,127,5,27,0,0,0,0,0,0,1,1
Tapalapa,0,0,0,0,1,1,0,0,0,0,0,0
Tecpatan,0,0,0,0,1,20,0,0,0,0,0,0
Teopisca,1,6,0,0,0,0,0,0,0,0,0,0
Tonala,2,47,2,5,1,1,0,0,0,0,6,6
La Trinitaria,16,41,0,0,2,2,0,0,0,0,3,3
Tumbala,0,0,0,0,0,0,0,0,0,0,2,3
Tuxtla Gutierrez,1,1,0,0,0,0,0,0,0,0,0,0
Tzimol,0,0,0,0,0,0,0,0,0,0,4,21
Venustiano Carranza,1,2,0,0,2,6,0,0,0,0,1,1
Villa Corzo,2,40,0,0,0,0,0,0,0,0,2,2
Villaflores,7,48,7,104,2,2,1,1,0,0,3,5
Zinacantan,0,0,1,1,0,0,0,0,0,0,0,0
Benemerito de las Americas,0,0,0,0,0,0,0,0,0,0,1,3
Chihuahua,469,2950,198,1520,231,299,10,15,48,67,112,191
Ahumada,13,60,14,100,6,9,2,3,0,0,3,10
Aldama,16,64,12,50,1,1,0,0,0,0,5,5
Allende,19,43,9,16,2,2,0,0,0,0,5,5
Aquiles Serdan,2,4,0,0,0,0,0,0,0,0,1,1
Ascension,17,150,13,200,5,9,0,0,0,0,1,11
Bachiniva,4,9,4,10,6,6,0,0,0,0,0,0
Balleza,11,103,0,0,6,7,0,0,3,3,0,0
Batopilas,0,0,0,0,1,1,0,0,1,2,2,3
Bocoyna,2,2,0,0,10,11,0,0,1,1,0,0
Buenaventura,5,155,3,108,8,22,0,0,0,0,4,12
Camargo,21,74,17,46,2,2,1,1,0,0,0,0
Carichi,5,5,3,3,5,5,1,1,0,0,0,0
Casas Grandes,11,223,2,14,8,14,0,0,1,2,1,1
Coronado,4,8,3,14,4,4,0,0,0,0,0,0
Coyame del Sotol,12,52,5,11,1,1,0,0,0,0,6,25
La Cruz,3,9,0,0,0,0,0,0,0,0,2,2
Cuauhtemoc,19,49,3,11,9,9,1,1,0,0,6,8
Cusihuiriachi,10,13,1,1,9,9,0,0,0,0,2,2
Chihuahua,30,121,12,41,9,9,1,2,0,0,3,3
Chinipas,1,1,0,0,2,2,0,0,2,2,0,0
Delicias,0,0,0,0,0,0,1,4,0,0,0,0
Dr. Belisario Dominguez,9,66,0,0,4,7,0,0,0,0,9,15
Galeana,3,118,2,65,3,5,0,0,0,0,1,2
Santa Isabel,8,43,0,0,1,1,0,0,0,0,2,2
Gomez Farias,1,30,3,11,3,3,0,0,0,0,0,0
Gran Morelos,10,56,0,0,6,6,0,0,0,0,4,4
Guachochi,0,0,0,0,1,1,0,0,12,12,1,1
Guadalupe,3,17,4,25,0,0,0,0,0,0,0,0
Guadalupe y Calvo,1,1,0,0,4,4,0,0,5,12,0,0
Guazapares,0,0,0,0,1,1,0,0,2,2,1,1
Guerrero,14,25,7,47,5,5,0,0,0,0,10,23
Hidalgo del Parral,12,53,0,0,2,2,0,0,0,0,0,0
Huejotitan,6,28,1,2,4,4,0,0,0,0,0,0
Ignacio Zaragoza,1,5,0,0,4,7,0,0,0,0,0,0
Janos,7,106,6,165,5,5,0,0,1,1,2,2
Jimenez,37,106,28,113,1,1,2,2,0,0,3,8
Juarez,1,3,5,6,0,0,0,0,0,0,0,0
Julimes,3,7,1,1,0,0,0,0,0,0,0,0
Lopez,7,24,11,41,0,0,0,0,0,0,1,1
Madera,4,8,1,1,10,16,0,0,4,10,9,11
Maguarichi,0,0,1,2,0,0,0,0,0,0,0,0
