INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades agropecuarias y forestales con construcciones de su propiedad,,,,,,,,,,,,cuadro 25
segun tipo y cantidad por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bordos_para_riego_o_abrevadero,cantidad_de_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_pozo_para_riego,cantidad_de_pozos_para_riego,ejidos_y_comunidades_con_baños_garrapaticidas,cantidad_de_baños_garrapaticidas,ejidos_y_comunidades_con_salas_de_ordeña,cantidad_de_salas_de_ordeña,ejidos_y_comunidades_con_aserradero,cantidad_de_aserraderos,ejidos_y_comunidades_con_otras_construcciones,cantidad_de_otras_construcciones
Zacatepec de Hidalgo,0,0,1,3,0,0,0,0,0,0,2,2
Zacualpan de Amilpas,2,6,0,0,0,0,0,0,0,0,1,1
Temoac,3,4,1,3,0,0,0,0,0,0,0,0
Nayarit,103,1412,73,1355,79,115,5,11,10,12,45,122
Acaponeta,2,40,0,0,0,0,0,0,1,1,4,45
Ahuacatlan,7,63,5,10,1,1,0,0,0,0,4,10
Amatlan de Cañas,5,21,3,9,4,4,2,2,0,0,0,0
Compostela,8,429,11,500,10,15,2,7,1,1,13,22
Huajicori,1,3,0,0,3,4,0,0,2,2,0,0
Ixtlan del Rio,4,54,1,12,1,1,0,0,0,0,0,0
Jala,1,2,1,3,4,4,0,0,3,3,3,3
Xalisco,1,4,3,23,3,3,0,0,0,0,1,1
Del Nayar,4,35,1,2,2,3,0,0,2,2,4,6
Rosamorada,14,57,5,152,7,7,0,0,0,0,2,2
Ruiz,2,301,2,8,3,5,0,0,0,0,3,6
San Blas,4,22,4,8,7,7,0,0,1,3,1,1
San Pedro Lagunillas,0,0,4,13,3,3,0,0,0,0,0,0
Santa Maria del Oro,8,55,6,8,3,4,0,0,0,0,0,0
Santiago Ixcuintla,22,199,16,505,5,8,1,2,0,0,2,2
Tecuala,1,1,0,0,5,5,0,0,0,0,0,0
Tepic,12,84,5,8,11,14,0,0,0,0,5,8
Tuxpan,4,25,2,87,1,1,0,0,0,0,0,0
La Yesca,2,11,1,1,2,16,0,0,0,0,0,0
Bahia de Banderas,1,6,3,6,4,10,0,0,0,0,3,16
Nuevo Leon,326,1041,82,399,87,92,1,1,8,8,40,56
Agualeguas,5,11,0,0,2,2,0,0,0,0,0,0
Los Aldamas,1,1,0,0,0,0,0,0,0,0,0,0
Allende,1,1,1,1,0,0,0,0,0,0,0,0
Anahuac,5,17,0,0,6,6,0,0,0,0,2,2
Aramberri,15,36,8,30,10,10,0,0,1,1,9,17
Bustamante,1,5,0,0,2,2,0,0,0,0,0,0
Cadereyta Jimenez,10,11,9,92,1,1,0,0,0,0,0,0
Carmen,0,0,0,0,1,1,0,0,0,0,0,0
China,4,33,0,0,0,0,0,0,0,0,0,0
Dr. Arroyo,104,347,8,12,13,13,0,0,0,0,12,15
Dr. Gonzalez,1,1,0,0,0,0,0,0,0,0,0,0
Galeana,59,195,32,191,7,8,0,0,1,1,5,7
Garcia,6,209,1,1,0,0,0,0,0,0,0,0
Gral. Escobedo,0,0,0,0,1,1,0,0,0,0,0,0
Gral. Teran,3,6,1,1,1,1,0,0,0,0,1,1
Gral. Zaragoza,7,19,0,0,6,6,0,0,2,2,1,1
Gral. Zuazua,0,0,1,1,0,0,0,0,0,0,0,0
Hualahuises,1,1,2,2,0,0,0,0,0,0,0,0
Iturbide,1,1,0,0,6,6,0,0,3,3,0,0
Juarez,0,0,0,0,0,0,0,0,0,0,1,1
Linares,37,37,3,3,12,12,0,0,0,0,2,2
Marin,0,0,0,0,0,0,1,1,0,0,0,0
Mier y Noriega,14,14,0,0,1,1,0,0,0,0,0,0
Mina,16,43,4,24,2,2,0,0,0,0,0,0
Montemorelos,5,5,2,3,0,0,0,0,1,1,0,0
Paras,1,3,0,0,2,2,0,0,0,0,0,0
Pesqueria,4,4,0,0,0,0,0,0,0,0,0,0
Los Ramones,1,1,0,0,1,1,0,0,0,0,0,0
Rayones,3,3,0,0,1,1,0,0,0,0,1,1
Sabinas Hidalgo,6,8,3,8,4,8,0,0,0,0,2,3
Salinas Victoria,2,2,3,8,1,1,0,0,0,0,0,0
Santa Catarina,1,3,1,1,0,0,0,0,0,0,0,0
Santiago,3,3,1,8,0,0,0,0,0,0,0,0
Vallecillo,7,18,1,3,2,2,0,0,0,0,1,1
Villaldama,2,3,1,10,5,5,0,0,0,0,3,5
Oaxaca,119,532,120,2737,36,63,7,38,41,69,76,116
Acatlan de Perez Figueroa,0,0,5,9,0,0,0,0,0,0,1,2
Asuncion Cuyotepeji,0,0,1,3,0,0,0,0,0,0,0,0
Asuncion Ixtaltepec,1,1,0,0,0,0,0,0,0,0,0,0
Asuncion Nochixtlan,1,3,0,0,0,0,0,0,0,0,0,0
Calihuala,0,0,1,1,0,0,0,0,0,0,0,0
Cienega de Zimatlan,0,0,1,6,0,0,0,0,0,0,0,0
Coatecas Altas,1,1,0,0,0,0,0,0,0,0,0,0
La Compañia,1,5,0,0,0,0,0,0,0,0,0,0
Concepcion Papalo,0,0,0,0,0,0,0,0,0,0,1,1
Cosolapa,0,0,0,0,0,0,0,0,0,0,1,7
Cosoltepec,2,9,0,0,2,2,0,0,0,0,0,0
Cuilapam de Guerrero,2,5,2,15,0,0,0,0,0,0,0,0
Heroica Ciudad de Ejutla de Crespo,3,9,1,300,1,1,0,0,0,0,0,0
Guadalupe Etla,0,0,1,2,0,0,0,0,0,0,0,0
Guadalupe de Ramirez,1,4,0,0,0,0,0,0,0,0,0,0
Mesones Hidalgo,0,0,0,0,0,0,0,0,0,0,2,2
Heroica Ciudad de Huajuapan de Leon,2,4,3,16,0,0,0,0,0,0,1,1
Ixtlan de Juarez,0,0,0,0,0,0,0,0,1,1,1,1
Heroica Ciudad de Juchitan de Zaragoza,2,2,2,6,0,0,1,1,0,0,0,0
Magdalena Apasco,1,1,4,47,0,0,0,0,0,0,1,1
Magdalena Jaltepec,1,5,1,4,0,0,0,0,0,0,0,0
Magdalena Ocotlan,0,0,0,0,0,0,0,0,0,0,1,1
Magdalena Tequisistlan,1,20,0,0,0,0,0,0,0,0,0,0
Magdalena Zahuatlan,0,0,1,1,0,0,0,0,0,0,0,0
Matias Romero Avendaño,0,0,0,0,1,3,1,18,1,1,1,2
Miahuatlan de Porfirio Diaz,0,0,1,7,0,0,0,0,0,0,0,0
Nazareno Etla,0,0,1,4,0,0,0,0,0,0,0,0
Santiago Niltepec,0,0,1,3,0,0,0,0,0,0,0,0
Ocotlan de Morelos,0,0,1,2,0,0,0,0,0,0,0,0
San Jose del Progreso,1,2,0,0,0,0,0,0,0,0,0,0
Putla Villa de Guerrero,3,13,0,0,1,6,0,0,0,0,2,2
Reforma de Pineda,0,0,1,4,1,1,0,0,0,0,0,0
Reyes Etla,1,1,2,8,1,2,0,0,1,5,0,0
Rojas de Cuauhtemoc,0,0,1,1,0,0,0,0,0,0,0,0
Salina Cruz,0,0,1,4,0,0,0,0,0,0,1,1
San Agustin Atenango,0,0,0,0,0,0,0,0,0,0,1,1
San Agustin Chayuco,1,5,0,0,0,0,0,0,0,0,0,0
San Agustin de las Juntas,0,0,2,4,0,0,0,0,0,0,0,0
San Andres Cabecera Nueva,0,0,0,0,0,0,0,0,1,3,1,1
San Andres Dinicuiti,0,0,2,7,1,1,0,0,0,0,1,1
San Andres Huaxpaltepec,0,0,0,0,0,0,0,0,1,1,0,0
San Andres Huayapam,1,1,0,0,0,0,0,0,0,0,0,0
San Andres Ixtlahuaca,1,9,0,0,0,0,0,0,0,0,0,0
San Andres Sinaxtla,0,0,1,3,0,0,0,0,0,0,0,0
San Andres Zautla,0,0,3,6,0,0,0,0,0,0,0,0
San Antonino el Alto,0,0,0,0,0,0,0,0,1,1,2,2
San Antonio de la Cal,1,1,0,0,0,0,0,0,0,0,0,0
San Antonio Tepetlapa,0,0,0,0,0,0,0,0,0,0,1,1
San Baltazar Chichicapam,2,3,0,0,0,0,0,0,0,0,0,0
San Bartolo Coyotepec,1,2,2,4,0,0,0,0,0,0,0,0
San Bartolome Quialana,1,3,0,0,0,0,0,0,0,0,0,0
San Bartolome Yucuañe,1,4,0,0,1,1,0,0,0,0,0,0
San Bernardo Mixtepec,1,2,0,0,0,0,0,0,0,0,0,0
San Blas Atempa,1,4,0,0,0,0,0,0,0,0,0,0
San Carlos Yautepec,0,0,0,0,0,0,0,0,1,1,0,0
San Cristobal Amatlan,1,2,0,0,0,0,0,0,0,0,0,0
San Cristobal Suchixtlahuaca,1,1,0,0,0,0,0,0,0,0,0,0
San Esteban Atatlahuca,0,0,0,0,0,0,0,0,1,2,0,0
San Francisco Cahuacua,1,1,0,0,1,2,0,0,2,2,0,0
San Francisco Chindua,0,0,1,2,0,0,0,0,0,0,0,0
San Francisco del Mar,0,0,0,0,0,0,0,0,0,0,1,1
San Francisco Ixhuatan,0,0,2,4,0,0,0,0,0,0,0,0
San Francisco Jaltepetongo,0,0,0,0,0,0,0,0,0,0,1,2
San Francisco Ozolotepec,1,7,0,0,0,0,0,0,0,0,0,0
San Francisco Sola,1,1,0,0,0,0,0,0,0,0,0,0
San Jeronimo Coatlan,0,0,0,0,0,0,0,0,1,1,0,0
San Jeronimo Sosola,0,0,0,0,0,0,0,0,0,0,1,1
San Jose Estancia Grande,0,0,0,0,1,1,1,10,0,0,0,0
San Juan Achiutla,1,2,0,0,0,0,0,0,0,0,0,0
Animas Trujano,0,0,1,2,0,0,0,0,0,0,0,0
San Juan Bautista Atatlahuca,0,0,0,0,0,0,0,0,0,0,1,1
San Juan Bautista Cuicatlan,2,12,0,0,0,0,0,0,0,0,0,0
San Juan Bautista Jayacatlan,0,0,0,0,0,0,0,0,1,1,0,0
San Juan Bautista lo de Soto,0,0,1,15,0,0,0,0,0,0,0,0
San Juan Bautista Suchitepec,1,1,0,0,0,0,0,0,0,0,0,0
San Juan Bautista Tuxtepec,1,1,0,0,1,2,0,0,0,0,0,0
San Juan Cacahuatepec,1,1,0,0,0,0,0,0,0,0,0,0
San Juan Colorado,2,65,0,0,1,2,0,0,0,0,0,0
San Juan Cotzocon,0,0,0,0,2,3,1,6,0,0,0,0
San Juan del Estado,1,1,0,0,0,0,0,0,0,0,0,0
San Juan del Rio,0,0,1,1,0,0,0,0,0,0,0,0
San Juan Ihualtepec,1,3,0,0,0,0,0,0,0,0,0,0
San Juan Juquila Mixes,1,1,0,0,0,0,0,0,0,0,0,0
San Juan Lajarcia,0,0,0,0,1,1,1,1,0,0,0,0
San Juan Mazatlan,0,0,0,0,0,0,0,0,0,0,1,1
San Juan Petlapa,0,0,0,0,0,0,0,0,1,4,0,0
San Juan Quiahije,0,0,0,0,0,0,0,0,1,1,0,0
San Juan Quiotepec,1,1,0,0,0,0,0,0,0,0,0,0
San Juan Sayultepec,0,0,1,2,0,0,0,0,0,0,0,0
San Juan Teita,0,0,0,0,0,0,0,0,0,0,1,1
San Lorenzo Cacaotepec,2,3,1,35,0,0,0,0,0,0,0,0
San Lucas Quiavini,0,0,1,1,0,0,0,0,0,0,0,0
San Marcos Arteaga,1,4,0,0,0,0,0,0,0,0,1,2
San Martin Tilcajete,1,3,0,0,0,0,0,0,0,0,0,0
Capulalpam de Mendez,1,1,1,1,0,0,0,0,1,1,1,1
San Mateo Etlatongo,2,4,1,8,0,0,0,0,0,0,0,0
San Mateo Sindihui,1,1,0,0,0,0,0,0,0,0,0,0
San Miguel Aloapam,0,0,0,0,0,0,0,0,1,1,1,1
San Miguel Amatitlan,1,3,0,0,0,0,0,0,0,0,0,0
San Miguel Mixtepec,0,0,0,0,0,0,0,0,1,1,0,0
San Miguel Piedras,1,5,0,0,0,0,0,0,0,0,0,0
Villa Sola de Vega,1,1,0,0,0,0,0,0,1,1,1,1
San Miguel Tecomatlan,0,0,1,1,0,0,0,0,0,0,0,0
San Miguel Tilquiapam,1,2,0,0,0,0,0,0,0,0,0,0
San Miguel Tlacamama,1,2,0,0,0,0,0,0,0,0,0,0
San Nicolas Hidalgo,1,2,0,0,0,0,0,0,0,0,0,0
San Pablo Etla,2,5,1,2,0,0,0,0,1,1,2,2
San Pablo Huitzo,2,6,1,5,0,0,0,0,0,0,1,1
San Pablo Huixtepec,1,6,1,9,0,0,0,0,0,0,0,0
San Pablo Macuiltianguis,0,0,0,0,0,0,0,0,1,1,0,0
San Pablo Villa de Mitla,0,0,0,0,0,0,0,0,0,0,1,4
San Pablo Yaganiza,1,1,0,0,0,0,0,0,0,0,0,0
San Pedro Apostol,0,0,1,3,0,0,0,0,0,0,0,0
San Pedro Huamelula,2,43,3,8,0,0,0,0,0,0,0,0
San Pedro Huilotepec,1,15,0,0,0,0,0,0,0,0,0,0
San Pedro Jaltepetongo,1,2,0,0,0,0,0,0,0,0,0,0
San Pedro Jocotipac,1,8,0,0,0,0,0,0,0,0,0,0
San Pedro Juchatengo,0,0,0,0,0,0,0,0,0,0,1,1
San Pedro Pochutla,0,0,1,15,0,0,0,0,0,0,0,0
San Pedro Quiatoni,0,0,0,0,0,0,0,0,0,0,1,1
San Pedro Tapanatepec,0,0,0,0,0,0,0,0,0,0,1,1
San Pedro Totolapa,0,0,0,0,1,1,0,0,0,0,0,0
Villa de Tututepec de Melchor Ocampo,0,0,1,30,0,0,0,0,1,1,0,0
San Pedro Yolox,0,0,0,0,0,0,0,0,1,1,0,0
Villa de Etla,1,2,0,0,0,0,0,0,0,0,0,0
San Pedro y San Pablo Tequixtepec,3,8,0,0,2,2,0,0,0,0,3,7
San Sebastian Abasolo,0,0,2,506,0,0,0,0,0,0,1,1
San Sebastian Ixcapa,0,0,0,0,1,1,0,0,0,0,0,0
San Sebastian Rio Hondo,0,0,0,0,0,0,0,0,0,0,2,2
San Sebastian Tecomaxtlahuaca,0,0,0,0,0,0,0,0,0,0,1,1
San Sebastian Teitipac,1,1,1,1,0,0,0,0,0,0,0,0
Santa Ana del Valle,0,0,0,0,0,0,0,0,0,0,1,1
Santa Ana Tavela,0,0,0,0,1,1,0,0,0,0,0,0
Santa Catalina Quieri,0,0,0,0,0,0,0,0,0,0,1,1
Santa Catarina Ixtepeji,0,0,0,0,0,0,0,0,1,1,2,5
Santa Catarina Lachatao,0,0,0,0,0,0,0,0,1,2,1,2
Santa Catarina Quiane,1,1,1,2,0,0,0,0,0,0,0,0
Santa Catarina Ticua,1,5,0,0,0,0,0,0,0,0,0,0
Santa Catarina Zapoquila,0,0,0,0,0,0,0,0,0,0,1,1
Santa Cruz Amilpas,0,0,1,3,0,0,0,0,0,0,0,0
Santa Cruz Itundujia,0,0,0,0,1,4,0,0,2,13,0,0
Santa Cruz Mixtepec,1,1,1,1,0,0,0,0,0,0,0,0
Santa Cruz Papalutla,0,0,1,100,0,0,0,0,0,0,0,0
Santa Cruz Xoxocotlan,0,0,1,3,0,0,0,0,0,0,0,0
Santa Cruz Zenzontepec,0,0,0,0,0,0,0,0,1,1,1,8
Santa Gertrudis,0,0,1,3,0,0,0,0,0,0,0,0
Santa Lucia del Camino,0,0,0,0,0,0,0,0,0,0,1,1
Santa Lucia Miahuatlan,1,1,0,0,0,0,0,0,0,0,0,0
Santa Lucia Monteverde,1,2,2,7,0,0,0,0,0,0,0,0
Santa Lucia Ocotlan,1,1,1,1,0,0,0,0,0,0,0,0
Santa Maria Apazco,1,2,0,0,0,0,0,0,0,0,0,0
Santa Maria Atzompa,0,0,0,0,0,0,0,0,1,1,0,0
Santa Maria Camotlan,0,0,1,1,0,0,0,0,0,0,0,0
Santa Maria Colotepec,0,0,1,60,0,0,0,0,0,0,0,0
Santa Maria Cortijo,1,6,1,5,1,1,0,0,0,0,0,0
Santa Maria Coyotepec,0,0,2,17,0,0,0,0,1,6,0,0
Villa de Chilapa de Diaz,0,0,1,3,0,0,0,0,0,0,0,0
Santa Maria del Tule,0,0,1,3,0,0,0,0,0,0,0,0
Santa Maria Guelace,0,0,1,25,0,0,0,0,0,0,0,0
Santa Maria Huazolotitlan,0,0,2,612,0,0,0,0,0,0,1,1
Santa Maria Ipalapa,0,0,0,0,2,2,0,0,0,0,0,0
Santa Maria Jacatepec,0,0,0,0,0,0,0,0,0,0,1,1
Santa Maria Jalapa del Marques,1,4,0,0,0,0,0,0,0,0,0,0
Santa Maria Mixtequilla,1,3,0,0,0,0,0,0,0,0,0,0
Santa Maria Nativitas,0,0,0,0,0,0,0,0,0,0,1,2
Santa Maria Sola,1,1,0,0,0,0,0,0,0,0,0,0
Santa Maria Tataltepec,1,2,1,1,0,0,0,0,0,0,0,0
Santa Maria Tonameca,0,0,2,250,1,4,0,0,0,0,0,0
Santa Maria Totolapilla,1,2,0,0,0,0,0,0,0,0,0,0
Santa Maria Zaniza,1,1,0,0,0,0,0,0,1,1,0,0
Santa Maria Zoquitlan,1,10,1,10,1,2,0,0,0,0,0,0
Santiago Astata,0,0,1,2,0,0,0,0,0,0,0,0
Santiago Cacaloxtepec,0,0,0,0,0,0,1,1,0,0,0,0
Santiago Chazumba,1,4,0,0,0,0,0,0,0,0,3,3
Santiago Choapam,0,0,0,0,0,0,0,0,1,1,0,0
Santiago Huajolotitlan,0,0,3,25,0,0,0,0,0,0,0,0
Santiago Huauclilla,1,1,0,0,0,0,0,0,0,0,0,0
Santiago Jamiltepec,1,3,1,100,1,5,1,1,0,0,0,0
Santiago Juxtlahuaca,0,0,0,0,0,0,0,0,1,1,1,1
Santiago Lachiguiri,0,0,0,0,1,3,0,0,0,0,0,0
Santiago Laxopa,0,0,0,0,0,0,0,0,1,1,0,0
Santiago Llano Grande,0,0,1,50,0,0,0,0,0,0,0,0
Santiago Matatlan,1,1,0,0,0,0,0,0,0,0,1,1
Santiago Nacaltepec,0,0,0,0,0,0,0,0,0,0,1,1
Santiago Nuyoo,1,2,0,0,0,0,0,0,0,0,0,0
Santiago Pinotepa Nacional,0,0,2,75,1,1,0,0,0,0,1,1
Santiago Suchilquitongo,1,2,5,80,0,0,0,0,0,0,0,0
Santiago Tapextla,0,0,0,0,1,1,0,0,0,0,0,0
Villa Tejupam de la Union,0,0,1,2,0,0,0,0,0,0,0,0
Santiago Tetepec,0,0,0,0,1,2,0,0,0,0,0,0
Santiago Textitlan,0,0,0,0,0,0,0,0,2,3,1,3
Santiago Tilantongo,1,2,0,0,0,0,0,0,0,0,0,0
Santiago Tlazoyaltepec,0,0,1,1,0,0,0,0,0,0,0,0
Santiago Xiacui,0,0,0,0,0,0,0,0,2,2,1,1
Santiago Yosondua,0,0,0,0,0,0,0,0,0,0,1,3
Santiago Zoochila,0,0,0,0,0,0,0,0,0,0,1,1
Nuevo Zoquiapam,0,0,0,0,0,0,0,0,1,1,0,0
Santo Domingo Ingenio,1,1,0,0,0,0,0,0,0,0,0,0
Santo Domingo Armenta,0,0,0,0,0,0,0,0,0,0,1,1
Santo Domingo Tehuantepec,1,1,2,20,0,0,0,0,0,0,0,0
Santo Domingo Tonala,1,3,0,0,0,0,0,0,0,0,1,1
Santo Domingo Yanhuitlan,0,0,0,0,0,0,0,0,0,0,1,1
Santo Domingo Zanatepec,2,100,0,0,0,0,0,0,0,0,2,9
Santos Reyes Nopala,0,0,0,0,0,0,0,0,0,0,1,1
Santo Tomas Jalieza,2,3,1,10,0,0,0,0,0,0,0,0
Santo Tomas Mazaltepec,0,0,1,1,0,0,0,0,0,0,0,0
San Vicente Lachixio,0,0,0,0,0,0,0,0,1,1,1,1
Soledad Etla,0,0,1,4,0,0,0,0,0,0,0,0
Villa de Tamazulapam del Progreso,0,0,1,2,0,0,0,0,0,0,0,0
Taniche,1,1,1,1,0,0,0,0,0,0,0,0
Teotitlan de Flores Magon,0,0,1,10,0,0,0,0,0,0,0,0
Teotongo,0,0,1,5,0,0,0,0,0,0,0,0
San Jeronimo Tlacochahuaya,0,0,2,81,0,0,0,0,0,0,0,0
Tlacolula de Matamoros,2,2,0,0,0,0,0,0,0,0,0,0
Tlalixtac de Cabrera,1,3,0,0,0,0,0,0,0,0,0,0
San Juan Bautista Valle Nacional,0,0,0,0,0,0,0,0,0,0,1,1
Villa Diaz Ordaz,0,0,0,0,0,0,0,0,0,0,1,1
Yaxe,0,0,1,25,1,1,0,0,0,0,0,0
Magdalena Yodocono de Porfirio Diaz,0,0,1,1,0,0,0,0,0,0,0,0
Yutanduchi de Guerrero,1,7,0,0,1,2,0,0,0,0,0,0
Villa de Zaachila,0,0,1,6,0,0,0,0,0,0,0,0
Zapotitlan del Rio,1,1,0,0,1,1,0,0,0,0,0,0
Zapotitlan Palmas,1,2,1,10,0,0,0,0,0,0,1,1
Zimatlan de alvarez,1,4,1,1,1,1,0,0,2,2,1,1
Puebla,127,582,273,852,2,2,0,0,11,15,74,93
Acajete,0,0,1,1,0,0,0,0,0,0,0,0
Acatlan,2,4,3,17,0,0,0,0,0,0,2,5
Acatzingo,3,7,4,4,0,0,0,0,0,0,1,1
Ahuazotepec,0,0,1,1,0,0,0,0,0,0,0,0
Ajalpan,0,0,0,0,0,0,0,0,0,0,1,1
Altepexi,0,0,1,6,0,0,0,0,0,0,0,0
Atexcal,1,1,0,0,0,0,0,0,0,0,0,0
Atlixco,15,23,9,30,0,0,0,0,0,0,2,2
Atoyatempan,0,0,1,1,0,0,0,0,0,0,1,1
Atzala,0,0,1,5,0,0,0,0,0,0,0,0
Atzitzihuacan,0,0,1,2,0,0,0,0,0,0,1,1
Atzitzintla,0,0,1,1,0,0,0,0,0,0,0,0
Cohetzala,1,3,0,0,0,0,0,0,0,0,0,0
Cohuecan,0,0,0,0,1,1,0,0,0,0,0,0
Coronango,0,0,1,1,0,0,0,0,0,0,0,0
Coxcatlan,1,5,1,1,0,0,0,0,1,1,0,0
Cuapiaxtla de Madero,0,0,1,6,0,0,0,0,0,0,0,0
Cuautempan,0,0,0,0,0,0,0,0,0,0,1,1
Cuautinchan,1,4,2,3,0,0,0,0,0,0,0,0
Cuautlancingo,0,0,2,4,0,0,0,0,0,0,0,0
Cuyoaco,0,0,1,3,0,0,0,0,0,0,0,0
Chalchicomula de Sesma,0,0,8,19,0,0,0,0,0,0,0,0
Chapulco,0,0,1,1,0,0,0,0,0,0,0,0
Chiautla,3,27,0,0,1,1,0,0,0,0,0,0
Chiautzingo,2,4,5,13,0,0,0,0,0,0,0,0
Chietla,5,6,11,32,0,0,0,0,0,0,2,6
Chignahuapan,9,15,0,0,0,0,0,0,4,7,5,6
Chignautla,0,0,0,0,0,0,0,0,1,1,0,0
Chinantla,1,4,1,2,0,0,0,0,0,0,0,0
Domingo Arenas,0,0,1,1,0,0,0,0,0,0,0,0
Epatlan,1,4,1,4,0,0,0,0,0,0,0,0
Esperanza,1,3,7,15,0,0,0,0,0,0,0,0
Francisco Z. Mena,2,27,0,0,0,0,0,0,0,0,0,0
General Felipe angeles,0,0,2,6,0,0,0,0,0,0,0,0
Guadalupe,1,1,0,0,0,0,0,0,0,0,0,0
Guadalupe Victoria,0,0,4,6,0,0,0,0,0,0,0,0
Huaquechula,2,3,11,36,0,0,0,0,0,0,1,1
Huatlatlauca,1,1,0,0,0,0,0,0,0,0,0,0
Huauchinango,0,0,0,0,0,0,0,0,0,0,1,1
Huehuetlan el Chico,2,4,1,1,0,0,0,0,0,0,0,0
Huejotzingo,1,1,7,17,0,0,0,0,0,0,1,1
Hueytamalco,1,1,0,0,0,0,0,0,0,0,3,3
Ixcamilpa de Guerrero,1,4,0,0,0,0,0,0,0,0,0,0
Ixcaquixtla,0,0,5,12,0,0,0,0,0,0,0,0
Ixtacamaxtitlan,1,1,0,0,0,0,0,0,0,0,2,2
Izucar de Matamoros,1,30,6,13,0,0,0,0,0,0,1,3
Jolalpan,4,15,1,1,0,0,0,0,0,0,1,3
Juan C. Bonilla,0,0,1,2,0,0,0,0,0,0,0,0
Lafragua,0,0,1,1,0,0,0,0,1,1,1,1
Libres,0,0,5,37,0,0,0,0,0,0,2,2
Mixtla,0,0,1,3,0,0,0,0,0,0,0,0
Molcaxac,0,0,1,3,0,0,0,0,0,0,0,0
Cañada Morelos,2,8,0,0,0,0,0,0,0,0,1,1
Nicolas Bravo,1,4,0,0,0,0,0,0,0,0,0,0
Ocoyucan,1,1,1,6,0,0,0,0,0,0,0,0
Olintla,0,0,0,0,0,0,0,0,0,0,1,1
Oriental,1,3,6,18,0,0,0,0,0,0,0,0
Palmar de Bravo,1,2,14,59,0,0,0,0,0,0,0,0
Petlalcingo,0,0,1,5,0,0,0,0,0,0,0,0
Piaxtla,1,5,2,24,0,0,0,0,0,0,0,0
Puebla,2,2,0,0,0,0,0,0,0,0,0,0
Quecholac,1,2,10,32,0,0,0,0,0,0,1,1
Los Reyes de Juarez,0,0,3,13,0,0,0,0,0,0,0,0
San Andres Cholula,0,0,0,0,0,0,0,0,0,0,2,2
San Antonio Cañada,1,50,0,0,0,0,0,0,0,0,1,1
San Diego la Mesa Tochimiltzingo,1,2,0,0,0,0,0,0,0,0,1,1
San Felipe Teotlalcingo,0,0,2,9,0,0,0,0,0,0,0,0
San Jeronimo Tecuanipan,0,0,1,1,0,0,0,0,0,0,0,0
San Jose Chiapa,0,0,2,9,0,0,0,0,0,0,0,0
San Jose Miahuatlan,2,3,1,1,0,0,0,0,0,0,0,0
San Martin Texmelucan,2,2,9,19,0,0,0,0,0,0,3,3
San Matias Tlalancaleca,1,3,2,12,0,0,0,0,0,0,0,0
San Nicolas Buenos Aires,0,0,4,22,0,0,0,0,0,0,0,0
San Pablo Anicano,0,0,2,3,0,0,0,0,0,0,0,0
San Pedro Yeloixtlahuaca,1,1,1,5,0,0,0,0,0,0,0,0
San Salvador el Verde,3,7,8,22,0,0,0,0,1,1,1,1
San Salvador Huixcolotla,0,0,1,30,0,0,0,0,0,0,1,1
Santa Isabel Cholula,2,2,1,1,0,0,0,0,0,0,0,0
Santiago Miahuatlan,2,4,2,7,0,0,0,0,0,0,0,0
Huehuetlan el Grande,4,5,0,0,0,0,0,0,0,0,0,0
Santo Tomas Hueyotlipan,0,0,2,6,0,0,0,0,0,0,1,1
Tecali de Herrera,1,1,4,9,0,0,0,0,0,0,1,1
Tecamachalco,2,2,12,20,0,0,0,0,0,0,3,3
Tehuacan,0,0,7,7,0,0,0,0,0,0,1,1
Teotlalco,3,13,0,0,0,0,0,0,0,0,0,0
Tepanco de Lopez,2,15,4,4,0,0,0,0,0,0,2,2
Tepeaca,3,4,18,62,0,0,0,0,0,0,1,1
Tepeojuma,0,0,3,5,0,0,0,0,0,0,0,0
Tepexco,2,2,0,0,0,0,0,0,0,0,0,0
Tepexi de Rodriguez,3,3,4,9,0,0,0,0,0,0,0,0
Tepeyahualco,0,0,5,41,0,0,0,0,0,0,0,0
Tepeyahualco de Cuauhtemoc,0,0,2,10,0,0,0,0,0,0,0,0
Tianguismanalco,0,0,2,11,0,0,0,0,0,0,0,0
Tilapa,2,2,4,11,0,0,0,0,0,0,2,4
Tlacotepec de Benito Juarez,5,11,4,5,0,0,0,0,0,0,6,6
Tlachichuca,0,0,4,8,0,0,0,0,0,0,2,2
Tlahuapan,4,7,6,19,0,0,0,0,0,0,2,2
Tlanepantla,0,0,1,1,0,0,0,0,0,0,0,0
Tlapanala,0,0,1,5,0,0,0,0,0,0,0,0
Tlatlauquitepec,0,0,0,0,0,0,0,0,1,1,4,9
Tochtepec,1,4,2,7,0,0,0,0,0,0,0,0
Totoltepec de Guerrero,1,1,0,0,0,0,0,0,0,0,0,0
Tzicatlacoyan,1,2,0,0,0,0,0,0,0,0,0,0
Venustiano Carranza,1,1,0,0,0,0,0,0,0,0,0,0
Vicente Guerrero,0,0,0,0,0,0,0,0,2,3,0,0
Xochitlan Todos Santos,2,9,0,0,0,0,0,0,0,0,0,0
Yehualtepec,0,0,1,1,0,0,0,0,0,0,0,0
